Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg11960393__LOX	0.15666	0.85708	0.1477	0.58112	0.04801	0.62885	0.080711	0.56311	0.062124	0.22654	0.70901	0.066508	0.036043	0.088982	0.0817	0.69695	0.10312	0.086451	0.141	0.10906	0.098225	0.12348	0.11497	0.040866	0.05076	0.0732	0.87965	0.035018	0.88385	0.068359	0.15413	0.84381
Meth__cg12356261__NES	0.054918	0.75496	0.20091	0.15627	0.52144	0.1757	0.66815	0.38804	0.1365	0.64485	0.75319	0.23699	0.76091	0.10364	0.039576	0.041668	0.76753	0.045433	0.059235	0.038673	0.078858	0.083031	0.07495	0.049182	0.29523	0.59285	0.24599	0.046712	0.49895	0.044908	0.060586	0.33501
Meth__cg21618439__CORO2A	0.01853	0.67601	0.059941	0.030992	0.64313	0.32237	0.017188	0.020893	0.021576	0.055717	0.03732	0.032458	0.026134	0.085439	0.099115	0.045813	0.025914	0.015092	0.03832	0.02985	0.050326	0.036246	0.028698	0.016684	0.014879	0.27147	0.014431	0.03134	0.20403	0.021523	0.025666	0.14375
Meth__cg01427567__TMC4	0.11875	0.11053	0.2551	0.11702	0.47201	0.11302	0.093075	0.13533	0.13816	0.23739	0.1836	0.12211	0.12006	0.14951	0.1125	0.13345	0.69092	0.12296	0.39161	0.16573	0.15801	0.14157	0.20409	0.52486	0.12426	0.12146	0.094335	0.12353	0.093271	0.11979	0.12567	0.11363
Meth__cg19287277__RKHD3	0.13617	0.04384	0.041917	0.032708	0.030901	0.041719	0.05716	0.036769	0.04414	0.023102	0.085042	0.039621	0.044382	0.12675	0.037489	0.033609	0.03947	0.069266	0.64304	0.045497	0.077557	0.11492	0.063793	0.038236	0.055016	0.035285	0.033011	0.038985	0.034161	0.039091	0.035306	0.03613
Meth__cg25604883__AK5	0.92038	0.97273	0.48484	0.69526	0.87564	0.88679	0.4759	0.60207	0.27143	0.47054	0.91114	0.030543	0.12145	0.069935	0.83098	0.43126	0.36676	0.43356	0.90101	0.31417	0.047571	0.7938	0.0289	0.022103	0.097709	0.65704	0.5847	0.02942	0.52943	0.52088	0.81993	0.92936
Meth__cg06521852__HRIHFB2122	0.071962	0.047983	0.047966	0.1164	0.11228	0.068998	0.069883	0.054447	0.026325	0.16029	0.088073	0.083076	0.057365	0.11974	0.032592	0.05353	0.48438	0.025508	0.059372	0.042407	0.055152	0.064038	0.062873	0.028219	0.033787	0.048673	0.032246	0.036087	0.022489	0.062103	0.045559	0.036834
Meth__cg15520279__HOXD8	0.98144	0.022715	0.023171	0.020308	0.89328	0.026691	0.020341	0.034736	0.50134	0.13261	0.97556	0.023227	0.41585	0.060801	0.015127	0.90997	0.03394	0.98442	0.96206	0.97679	0.051472	0.43635	0.040184	0.62465	0.69662	0.023344	0.01867	0.98218	0.014354	0.97762	0.98597	0.98279
Meth__cg09970593__OPRD1	0.13429	0.88155	0.17505	0.13298	0.88559	0.39636	0.75508	0.26032	0.68894	0.77108	0.83972	0.13304	0.6484	0.17407	0.55323	0.35328	0.86767	0.16803	0.73429	0.10903	0.17889	0.5239	0.28599	0.11963	0.07067	0.094748	0.35804	0.058495	0.59419	0.14067	0.45003	0.60264
Meth__cg01939428__UBE3C	0.10224	0.11369	0.079925	0.090719	0.072436	0.10129	0.096774	0.095756	0.0848	0.23021	0.12796	0.39839	0.84574	0.15324	0.061894	0.085801	0.10171	0.060967	0.16557	0.083126	0.10251	0.12678	0.14007	0.067196	0.061806	0.095468	0.072157	0.071383	0.092391	0.094308	0.072024	0.093762
Meth__cg00746981__HDGF	0.066917	0.48884	0.081265	0.039327	0.041391	0.05108	0.10627	0.052413	0.064124	0.055329	0.3539	0.059836	0.049956	0.12694	0.056249	0.044865	0.055475	0.060301	0.081697	0.080466	0.052916	0.081078	0.082679	0.050786	0.04263	0.053446	0.036297	0.061145	0.039202	0.062135	0.049097	0.051035
Meth__cg26799802__PHLDA2	0.023484	0.034802	0.044648	0.02966	0.33547	0.027098	0.023858	0.02731	0.37504	0.062222	0.046703	0.038605	0.024913	0.046877	0.027586	0.16234	0.030201	0.031016	0.034512	0.032773	0.031426	0.046738	0.043085	0.050592	0.028535	0.021634	0.032395	0.026925	0.017055	0.036128	0.026866	0.025178
Meth__cg08918749__LPL	0.87543	0.878	0.18739	0.13548	0.88038	0.86145	0.19538	0.11513	0.25774	0.062179	0.79618	0.41532	0.071348	0.13319	0.88035	0.25883	0.077495	0.1272	0.80762	0.15806	0.12142	0.8505	0.12977	0.047672	0.043854	0.25616	0.071505	0.065518	0.87765	0.061029	0.5333	0.41344
Meth__cg12478809__COX5A	0.042654	0.04788	0.051685	0.060267	0.70105	0.058361	0.035958	0.066001	0.045217	0.086632	0.084152	0.060141	0.081318	0.14149	0.10413	0.28165	0.048714	0.046378	0.080191	0.050064	0.091359	0.087588	0.10815	0.040998	0.033706	0.058906	0.07006	0.049233	0.063622	0.055866	0.056887	0.065451
Meth__cg25924032__BMS1L	0.21991	0.045364	0.019247	0.021278	0.49407	0.20925	0.14906	0.037029	0.045398	0.030783	0.070846	0.020055	0.024939	0.052928	0.29267	0.36092	0.033537	0.021332	0.51904	0.033065	0.033355	0.3391	0.026936	0.018051	0.026019	0.027445	0.15989	0.01952	0.34644	0.050336	0.046428	0.018554
Meth__cg10976172__FLJ32130	0.067711	0.089162	0.40618	0.070446	0.26048	0.085447	0.039815	0.10064	0.072746	0.044512	0.091159	0.068379	0.066229	0.10352	0.081479	0.085653	0.083136	0.19319	0.14216	0.28396	0.1094	0.12958	0.32141	0.078314	0.074867	0.075602	0.061466	0.10401	0.4666	0.091542	0.079028	0.075554
Meth__cg15127324__CENTD1	0.049909	0.0875	0.076859	0.18966	0.48188	0.068878	0.058833	0.41301	0.16152	0.13384	0.084903	0.051956	0.078881	0.12532	0.27107	0.22617	0.40758	0.083503	0.11128	0.060659	0.11382	0.088028	0.098717	0.05965	0.46126	0.17082	0.27287	0.047535	0.65527	0.052108	0.15204	0.17453
Meth__cg17274064__ERG	0.56482	0.65635	0.52368	0.8089	0.57103	0.68241	0.092712	0.092781	0.097777	0.10206	0.52895	0.14377	0.055983	0.10688	0.28692	0.87201	0.10943	0.32475	0.22768	0.31796	0.32259	0.39023	0.3847	0.041497	0.044772	0.13844	0.83079	0.055114	0.6423	0.058197	0.74596	0.66832
Meth__cg19547629__MYRIP	0.55903	0.94306	0.043323	0.26615	0.9132	0.81554	0.49257	0.037421	0.93889	0.61637	0.42947	0.12489	0.35196	0.23906	0.95863	0.41282	0.32673	0.87392	0.85429	0.033394	0.30351	0.35325	0.060756	0.092499	0.11102	0.6221	0.048353	0.045326	0.79525	0.034826	0.37691	0.44118
Meth__cg03149130__DIRAS2	0.17811	0.54033	0.14005	0.052927	0.79865	0.18749	0.42084	0.43701	0.58066	0.10693	0.81794	0.29976	0.22389	0.14356	0.13327	0.4967	0.13116	0.10234	0.75859	0.073855	0.12558	0.29553	0.21727	0.051256	0.10154	0.11066	0.83942	0.085007	0.78904	0.068299	0.33257	0.282
Meth__cg23996241__AP2B1	0.024115	0.030667	0.39821	0.021969	0.022525	0.021782	0.017043	0.025847	0.019218	0.021733	0.047615	0.019718	0.021104	0.041773	0.018024	0.021832	0.026685	0.024276	0.064167	0.026148	0.041764	0.042063	0.044463	0.025664	0.026712	0.025559	0.018145	0.030394	0.018127	0.021176	0.021372	0.024478
Meth__cg13176979__HMGN3	0.074923	0.8857	0.3415	0.14069	0.60626	0.13627	0.097706	0.25852	0.15213	0.57352	0.33718	0.61544	0.27111	0.69867	0.23297	0.4769	0.36415	0.061188	0.3159	0.089257	0.13887	0.11114	0.11382	0.068275	0.47312	0.48731	0.25694	0.17346	0.23624	0.25092	0.1937	0.16356
Meth__cg23855392__MTHFS	0.090665	0.11197	0.062269	0.11769	0.56992	0.079262	0.068198	0.092167	0.047649	0.088444	0.51334	0.30813	0.050272	0.09323	0.072805	0.083944	0.06724	0.064124	0.54134	0.053865	0.11579	0.38145	0.12204	0.087233	0.038595	0.13765	0.075167	0.046102	0.068135	0.044564	0.077049	0.080791
Meth__cg24860534__CDC42BPA	0.036584	0.81657	0.071098	0.32725	0.69761	0.12615	0.041338	0.11408	0.045362	0.92186	0.87019	0.61512	0.11513	0.5219	0.1678	0.36732	0.50515	0.16675	0.4744	0.043262	0.74014	0.13836	0.65177	0.22328	0.040346	0.86937	0.89038	0.33617	0.1921	0.050686	0.37994	0.61239
Meth__cg12315302__HIST1H4D	0.11961	0.69353	0.089825	0.86715	0.88415	0.30182	0.84254	0.82262	0.44584	0.098472	0.8251	0.58387	0.065189	0.21655	0.38634	0.12772	0.094028	0.086672	0.76684	0.1398	0.20836	0.18153	0.81217	0.040789	0.073075	0.080482	0.86197	0.37973	0.58445	0.090053	0.83985	0.80124
Meth__cg18542098__FLJ36445	0.032852	0.044937	0.031334	0.02757	0.96469	0.05598	0.97776	0.41796	0.033953	0.87443	0.10039	0.7374	0.96699	0.31788	0.053616	0.035427	0.95631	0.03313	0.93541	0.035019	0.492	0.053737	0.043999	0.74378	0.029828	0.83903	0.030072	0.039215	0.021016	0.02832	0.038541	0.033928
Meth__cg08675664__ALDH7A1	0.14198	0.88185	0.060548	0.12573	0.050203	0.061157	0.70032	0.064831	0.072447	0.026134	0.38095	0.060894	0.05799	0.11351	0.091446	0.099011	0.063634	0.095934	0.12685	0.059311	0.090109	0.10335	0.051032	0.057728	0.052565	0.11879	0.11198	0.056535	0.31554	0.063204	0.064608	0.090936
Meth__cg15307268__GPR176	0.08981	0.074607	0.11536	0.067002	0.071253	0.084414	0.05905	0.07533	0.062332	0.079684	0.19306	0.068548	0.083812	0.13839	0.05312	0.17035	0.35783	0.059582	0.85358	0.063736	0.1642	0.078953	0.11602	0.060268	0.062193	0.6462	0.35329	0.053623	0.069861	0.073371	0.10701	0.082186
Meth__cg12024906__HKR1	0.027965	0.50831	0.031167	0.025254	0.33453	0.034269	0.97489	0.039419	0.035578	0.051344	0.49872	0.067712	0.025459	0.054434	0.054348	0.026243	0.025643	0.023971	0.91799	0.036337	0.063335	0.076291	0.029957	0.028098	0.02937	0.50477	0.074267	0.025246	0.036925	0.033159	0.66432	0.73018
Meth__cg07378350__GDF5	0.54505	0.94347	0.80505	0.11172	0.92972	0.79963	0.82574	0.069669	0.36406	0.49491	0.61789	0.24268	0.73576	0.42381	0.17077	0.61453	0.086694	0.1899	0.83013	0.17538	0.093576	0.22653	0.069715	0.071293	0.070783	0.87844	0.76155	0.052065	0.61665	0.07062	0.059329	0.12474
Meth__cg01049530__BMP3	0.049387	0.97738	0.058933	0.082549	0.60174	0.89559	0.073241	0.070554	0.93429	0.11499	0.096083	0.052821	0.091068	0.081071	0.94552	0.66492	0.11498	0.062527	0.60525	0.05103	0.82813	0.94535	0.073052	0.054823	0.05144	0.10871	0.046989	0.046918	0.96188	0.056976	0.62491	0.62841
Meth__cg05594230__INGX	0.57364	0.90674	0.27633	0.61582	0.94436	0.048715	0.0563	0.29027	0.044463	0.048626	0.91455	0.1322	0.33297	0.13852	0.93712	0.95169	0.30958	0.35825	0.85131	0.14735	0.05957	0.35179	0.12756	0.049096	0.034366	0.14827	0.40777	0.04912	0.92863	0.29009	0.050258	0.914
Meth__cg11483915__SLC40A1	0.04591	0.94673	0.0403	0.043431	0.931	0.052955	0.10827	0.046828	0.043951	0.40902	0.26562	0.10484	0.0467	0.066902	0.92625	0.68904	0.47735	0.047566	0.41606	0.043303	0.10179	0.078853	0.045952	0.31153	0.19438	0.65565	0.032053	0.031211	0.41378	0.050207	0.048421	0.039854
Meth__cg11455040__SLC45A3	0.064119	0.22997	0.75241	0.71781	0.60036	0.78582	0.067886	0.13127	0.068782	0.13537	0.26638	0.15759	0.055568	0.076279	0.16669	0.50271	0.050434	0.12904	0.31568	0.0834	0.065051	0.074191	0.11718	0.044487	0.047573	0.13141	0.80263	0.056863	0.070079	0.05937	0.62121	0.91677
Meth__cg00047050__CUL5	0.092269	0.10811	0.44268	0.25242	0.068272	0.10797	0.19343	0.078839	0.049287	0.17286	0.087833	0.1151	0.05739	0.16017	0.066264	0.18814	0.066986	0.088729	0.14348	0.061065	0.13701	0.09455	0.12433	0.033899	0.049064	0.38935	0.49012	0.10214	0.068864	0.068174	0.07166	0.087823
Meth__cg04329382__FLJ27365	0.40057	0.064645	0.8226	0.67788	0.68875	0.84172	0.056457	0.86849	0.85108	0.097449	0.80254	0.31112	0.33913	0.63559	0.89502	0.42962	0.80544	0.89358	0.47729	0.85648	0.49429	0.45237	0.75062	0.041198	0.076272	0.10046	0.044448	0.82426	0.052548	0.87459	0.34806	0.064757
Meth__cg09667582__UBE2Q2	0.096486	0.76302	0.10243	0.11243	0.56876	0.087703	0.14438	0.12456	0.083176	0.47946	0.31429	0.097936	0.268	0.2716	0.052646	0.36097	0.088301	0.16282	0.78959	0.067882	0.11121	0.21007	0.1716	0.052229	0.074174	0.14914	0.40783	0.086717	0.088505	0.12924	0.09515	0.45619
Meth__cg21656748__SCARB2	0.031107	0.038035	0.028895	0.034106	0.51956	0.030315	0.024849	0.043724	0.025575	0.070104	0.13929	0.03323	0.023733	0.040582	0.22914	0.1199	0.080316	0.02	0.08554	0.031255	0.04746	0.09981	0.078633	0.021396	0.026959	0.033506	0.03065	0.016455	0.035158	0.032578	0.033102	0.034309
Meth__cg16249454__CXCL2	0.023875	0.022435	0.025954	0.021103	0.089794	0.078958	0.028059	0.091278	0.029988	0.020634	0.039564	0.076915	0.02023	0.041026	0.044244	0.079515	0.022166	0.01936	0.056035	0.024332	0.042946	0.086578	0.027536	0.025069	0.014448	0.020216	0.78633	0.015745	0.75764	0.026162	0.033448	0.359
Meth__cg03524627__CDC25B	0.040884	0.92642	0.040119	0.073309	0.081989	0.44872	0.11796	0.042418	0.059348	0.26371	0.28349	0.27026	0.043734	0.23643	0.1337	0.042519	0.053981	0.070289	0.085808	0.14108	0.048147	0.051714	0.18491	0.03148	0.038085	0.042206	0.4154	0.03265	0.057232	0.04405	0.33659	0.54998
Meth__cg08761447__PARP11	0.07506	0.056925	0.078369	0.057036	0.1275	0.13373	0.062645	0.062585	0.91057	0.053998	0.10563	0.086864	0.068407	0.064316	0.096118	0.048233	0.10148	0.06813	0.1089	0.063559	0.15092	0.13603	0.098845	0.081217	0.1535	0.1076	0.042046	0.06815	0.069503	0.1006	0.057526	0.051542
Meth__cg17133183__CRABP1	0.098735	0.96273	0.74191	0.70967	0.94227	0.060044	0.77084	0.94624	0.047883	0.13203	0.89996	0.049476	0.03633	0.082613	0.9567	0.068385	0.12266	0.03657	0.89506	0.21945	0.11348	0.85848	0.13815	0.025342	0.04635	0.060187	0.8693	0.04181	0.9503	0.037824	0.43732	0.67538
Meth__cg23988310__SCG2	0.13786	0.66486	0.099716	0.10666	0.093386	0.11271	0.84785	0.097466	0.11755	0.17481	0.1964	0.12449	0.085122	0.26248	0.10094	0.73451	0.072665	0.073534	0.16631	0.099115	0.21884	0.14534	0.12424	0.05839	0.09762	0.10884	0.26207	0.063398	0.56327	0.10839	0.095458	0.13417
Meth__cg05674444__C21orf99	0.096849	0.24527	0.1332	0.17065	0.10315	0.24778	0.44173	0.11859	0.43303	0.13062	0.14513	0.54105	0.22598	0.16163	0.21978	0.12858	0.41704	0.096867	0.18908	0.12452	0.089165	0.14433	0.08493	0.11475	0.080916	0.1345	0.12959	0.08734	0.21556	0.118	0.1184	0.087619
Meth__cg15239123__SMOC1	0.95158	0.52987	0.69414	0.60681	0.73334	0.57074	0.062623	0.92938	0.31621	0.053545	0.76533	0.30559	0.16967	0.063723	0.93369	0.94673	0.072842	0.060604	0.86867	0.13486	0.063318	0.88557	0.074772	0.038584	0.032389	0.033173	0.47895	0.037445	0.94194	0.040817	0.5322	0.81818
Meth__cg17592734__ZNF175	0.013971	0.01113	0.38772	0.0097757	0.011775	0.50161	0.0091931	0.012676	0.9467	0.098046	0.1938	0.13364	0.011885	0.036751	0.97132	0.016186	0.016211	0.014436	0.024965	0.016648	0.027518	0.018811	0.51851	0.018328	0.015073	0.015151	0.010303	0.017399	0.011184	0.014337	0.011766	0.016655
Meth__cg24921089__AMPD3	0.57167	0.18457	0.065099	0.55513	0.64503	0.056171	0.29428	0.1003	0.43117	0.0355	0.7508	0.48018	0.043508	0.074582	0.58756	0.87365	0.85797	0.10173	0.49597	0.041634	0.06026	0.13649	0.31561	0.051028	0.035349	0.48764	0.55292	0.039406	0.86764	0.043001	0.036169	0.045103
Meth__cg14839257__RPS6KA2	0.53649	0.52985	0.035182	0.027106	0.64874	0.10497	0.17957	0.0255	0.31361	0.049644	0.82195	0.035842	0.03085	0.21339	0.052938	0.19603	0.051324	0.020715	0.82433	0.029217	0.097658	0.58247	0.066944	0.021634	0.04025	0.33707	0.5529	0.02413	0.80969	0.033995	0.29391	0.85471
Meth__cg10084993__SLC9A3R2	0.086291	0.86207	0.11748	0.11035	0.9141	0.10997	0.62646	0.23786	0.49253	0.89558	0.68785	0.18129	0.2242	0.69926	0.1275	0.9361	0.82418	0.17633	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.093598	0.066262	0.13306	0.10192	0.071443	0.10927
Meth__cg13080465__MANSC1	0.034756	0.060095	0.040006	0.032851	0.95701	0.063974	0.048344	0.056062	0.03672	0.060442	0.24836	0.05316	0.029763	0.19425	0.047176	0.10697	0.093671	0.032791	0.28591	0.029692	0.10998	0.05152	0.092179	0.035716	0.028405	0.062246	0.035094	0.032478	0.043482	0.071406	0.041815	0.042012
Meth__cg12118465__EFHD1	0.043445	0.86369	0.054422	0.2466	0.18868	0.041482	0.035068	0.043422	0.038904	0.42024	0.68317	0.17518	0.019171	0.079557	0.055019	0.34076	0.026529	0.033195	0.64904	0.067206	0.065204	0.074623	0.055857	0.031562	0.032524	0.19019	0.46752	0.021467	0.48857	0.043354	0.040412	0.090377
Meth__cg06366981__HPGD	0.04251	0.19723	0.046679	0.030321	0.9231	0.07358	0.38507	0.048223	0.033474	0.46031	0.35223	0.042409	0.044308	0.072003	0.05638	0.86767	0.18808	0.043911	0.27517	0.033486	0.11529	0.09516	0.12637	0.3139	0.023813	0.27005	0.056777	0.037511	0.93937	0.049049	0.053	0.034397
Meth__cg16387606__HIST2H4	0.076337	0.11423	0.11385	0.079338	0.097703	0.11849	0.088944	0.10651	0.10066	0.046053	0.12703	0.058113	0.048305	0.097153	0.098202	0.11928	0.05221	0.104	0.5018	0.15391	0.086259	0.12559	0.11931	0.18012	0.042064	0.10005	0.062774	0.13684	0.40008	0.10524	0.11608	0.11284
Meth__cg04367351__PLA2R1	0.049206	0.91504	0.036583	0.081795	0.37418	0.81595	0.053166	0.090824	0.052491	0.19053	0.87864	0.073097	0.059576	0.15245	0.64949	0.048393	0.49266	0.051487	0.69314	0.073245	0.12852	0.85257	0.1055	0.03373	0.034767	0.056205	0.70293	0.046881	0.84211	0.079111	0.073182	0.065057
Meth__cg16332577__C17orf37	0.047126	0.55258	0.081618	0.043123	0.15408	0.067734	0.045865	0.057638	0.27465	0.25794	0.25375	0.13188	0.065484	0.089158	0.12252	0.052802	0.21013	0.072406	0.18765	0.089622	0.10647	0.15598	0.075836	0.45961	0.056267	0.049974	0.058245	0.24286	0.040661	0.081413	0.050082	0.051879
Meth__cg05333568__C1orf65	0.46178	0.548	0.093281	0.050435	0.68964	0.34994	0.36153	0.044402	0.34228	0.63338	0.60161	0.051369	0.045705	0.097986	0.26048	0.55022	0.57927	0.072655	0.48591	0.063703	0.052701	0.20953	0.063744	0.067459	0.075225	0.093097	0.28109	0.047484	0.34182	0.040163	0.09701	0.13602
Meth__cg22055427__P2RY1	0.048284	0.77504	0.04356	0.034233	0.32119	0.067849	0.077724	0.16119	0.050759	0.057434	0.080084	0.060068	0.052859	0.06693	0.23027	0.21616	0.056153	0.031505	0.54503	0.057148	0.082164	0.088213	0.093694	0.046352	0.038599	0.087957	0.057929	0.045005	0.039605	0.053411	0.039008	0.052339
Meth__cg01078871__FBXO33	0.034617	0.056697	0.038933	0.028123	0.038728	0.043256	0.023113	0.038166	0.046	0.041702	0.059354	0.03878	0.035968	0.057524	0.039587	0.037111	0.65315	0.049001	0.1082	0.048866	0.051143	0.11672	0.083449	0.038565	0.042185	0.039987	0.028098	0.038916	0.031953	0.043884	0.046543	0.043165
Meth__cg26902873__PRKX	0.50354	0.40155	0.035283	0.42708	0.043324	0.075714	0.038384	0.079557	0.03679	0.1256	0.47358	0.050363	0.048787	0.046025	0.039687	0.29537	0.14567	0.06205	0.43651	0.054229	0.066833	0.11297	0.035043	0.035896	0.044023	0.037077	0.036448	0.033402	0.34551	0.06772	0.047141	0.063
Meth__cg22709192__HOXC11	0.75197	0.017964	0.02203	0.55598	0.7157	0.60361	0.026282	0.98739	0.022775	0.02242	0.033697	0.70241	0.022079	0.029904	0.96966	0.98979	0.36631	0.030304	0.83912	0.017826	0.82961	0.02853	0.93381	0.7034	0.022017	0.65672	0.024863	0.019083	0.016283	0.25055	0.037874	0.48101
Meth__cg07558455__ANKRD38	0.15664	0.95922	0.18515	0.06569	0.91346	0.83406	0.97891	0.47034	0.045722	0.032759	0.29193	0.042149	0.061025	0.089104	0.85432	0.042228	0.54229	0.26311	0.85373	0.070127	0.11501	0.89199	0.069522	0.044892	0.025405	0.21701	0.039612	0.026117	0.48337	0.051345	0.36084	0.59838
Meth__cg26335299__C16orf48	0.084009	0.11412	0.79595	0.060264	0.094062	0.072941	0.16602	0.13769	0.93805	0.086667	0.46573	0.49578	0.050823	0.085735	0.66935	0.046038	0.065613	0.1073	0.07451	0.086952	0.064635	0.080846	0.23953	0.070551	0.13412	0.065244	0.040946	0.071649	0.049401	0.057035	0.071497	0.081984
Meth__cg05719902__LOC136306	0.62022	0.070585	0.096723	0.23394	0.94658	0.56036	0.12775	0.073537	0.072677	0.19613	0.23689	0.069753	0.20656	0.14385	0.086918	0.86187	0.30775	0.069788	0.9039	0.087311	0.3682	0.73474	0.1327	0.51398	0.15094	0.53713	0.048244	0.062488	0.59251	0.080448	0.51157	0.5288
Meth__cg10988561__PDCD6	0.082511	0.18797	0.034214	0.072163	0.22035	0.053402	0.21648	0.10277	0.16762	0.20763	0.29679	0.046619	0.17869	0.073962	0.030593	0.046678	0.10836	0.023324	0.37	0.036137	0.049033	0.10683	0.048487	0.038807	0.062873	0.068304	0.082983	0.023571	0.12372	0.056135	0.053967	0.048797
Meth__cg03714916__CDKN1A	0.04702	0.40454	0.31232	0.50378	0.5242	0.32003	0.15541	0.202	0.046007	0.30312	0.28493	0.3155	0.050449	0.047263	0.43133	0.78645	0.63653	0.04316	0.10041	0.3983	0.11588	0.15741	0.094926	0.037904	0.040763	0.035057	0.55386	0.27324	0.42126	0.13588	0.059764	0.049769
Meth__cg05120641__CHAC1	0.032895	0.02156	0.03863	0.024981	0.022708	0.025641	0.02049	0.028775	0.028313	0.01516	0.044031	0.02789	0.020262	0.039524	0.026051	0.021897	0.029785	0.024404	0.039178	0.031712	0.037037	0.031484	0.037276	0.025965	0.029197	0.022604	0.02121	0.027866	0.022695	0.036946	0.037574	0.52617
Meth__cg14688956__PAK3	0.9075	0.81818	0.3336	0.20514	0.91059	0.46237	0.38902	0.5312	0.70024	0.16156	0.76282	0.30343	0.027334	0.060936	0.80783	0.20366	0.15017	0.31649	0.89277	0.042113	0.40275	0.74486	0.11836	0.030938	0.043887	0.36855	0.88057	0.030925	0.84388	0.43367	0.33367	0.89747
Meth__cg02104644__SYT7	0.091047	0.16944	0.042296	0.04431	0.90859	0.099982	0.5855	0.26317	0.035846	0.74153	0.61506	0.041405	0.2077	0.075754	0.078958	0.031047	0.56458	0.050995	0.80424	0.068984	0.049462	0.14466	0.17046	0.038845	0.041624	0.91618	0.048662	0.026293	0.055244	0.24633	0.056814	0.055619
Meth__cg03169715__HAS3	0.041348	0.26407	0.07138	0.12115	0.044403	0.53003	0.67242	0.36643	0.48049	0.051226	0.10798	0.053928	0.049928	0.078481	0.62924	0.038298	0.5881	0.048824	0.8601	0.10527	0.055957	0.088253	0.077265	0.054463	0.035785	0.3315	0.13981	0.039198	0.51452	0.074209	0.15032	0.39123
Meth__cg08923450__HEY2	0.17844	0.057107	0.056345	0.065716	0.21934	0.13343	0.048853	0.071616	0.053304	0.12953	0.13601	0.057876	0.16828	0.092505	0.2864	0.12642	0.068422	0.12301	0.16314	0.052249	0.08939	0.51613	0.070364	0.058329	0.049241	0.062033	0.068795	0.049017	0.069823	0.047159	0.063324	0.053
Meth__cg19310430__C11orf45	0.088996	0.85555	0.27917	0.62354	0.69087	0.62937	0.057924	0.65858	0.038275	0.15264	0.18408	0.16544	0.064545	0.11705	0.68789	0.86945	0.040158	0.3612	0.44088	0.59428	0.12565	0.19227	0.063509	0.12635	0.035129	0.078541	0.61033	0.081181	0.75161	0.30176	0.33021	0.79632
Meth__cg17489622__TMEM24	0.045933	0.72819	0.11386	0.062289	0.45414	0.15781	0.15304	0.10549	0.032115	0.63003	0.26865	0.17261	0.057919	0.16268	0.11619	0.096823	0.26385	0.042254	0.088748	0.12372	0.054849	0.13015	0.097631	0.031044	0.027064	0.035159	0.20892	0.10094	0.13185	0.037485	0.070376	0.054189
Meth__cg12728032__ELF5	0.099195	0.25314	0.055069	0.11541	0.20075	0.091379	0.12335	0.063429	0.1445	0.073974	0.39871	0.054822	0.69142	0.3814	0.077253	0.60534	0.57474	0.044368	0.35253	0.078688	0.39324	0.35557	0.065063	0.12293	0.1659	0.21163	0.067462	0.048534	0.48637	0.051311	0.15539	0.091433
Meth__cg03380773__FLJ25169	0.16436	0.96626	0.41613	0.61533	0.5884	0.9668	0.92833	0.94337	0.40804	0.082732	0.92072	0.26082	0.030562	0.043463	0.94403	0.94354	0.93272	0.17417	0.34533	0.67906	0.032852	0.22062	0.73667	0.026866	0.028127	0.020328	0.65199	0.022949	0.89358	0.067969	0.55748	0.80094
Meth__cg04434339__ST6GAL2	0.044605	0.52409	0.039688	0.031403	0.50659	0.91644	0.064277	0.032268	0.032518	0.0812	0.12829	0.040486	0.048638	0.07903	0.84333	0.42825	0.034907	0.039083	0.79837	0.47594	0.37413	0.88712	0.12819	0.039866	0.022915	0.093304	0.58709	0.025265	0.64032	0.032998	0.066663	0.047857
Meth__cg15717808__KCNQ5	0.02378	0.97477	0.1088	0.43167	0.60793	0.55088	0.013924	0.028632	0.020261	0.019989	0.43757	0.040467	0.011736	0.036928	0.75904	0.059128	0.05838	0.045247	0.38793	0.023217	0.02715	0.070883	0.035718	0.019356	0.01494	0.084547	0.048972	0.016137	0.81229	0.029039	0.39658	0.6464
Meth__cg11700584__RPL36AL	0.05321	0.095842	0.45248	0.032659	0.048744	0.064331	0.058884	0.04513	0.079348	0.075345	0.050955	0.040512	0.023077	0.10137	0.038071	0.069317	0.0678	0.84651	0.043915	0.078739	0.054889	0.079451	0.055195	0.050412	0.033083	0.043494	0.043724	0.037407	0.040256	0.18319	0.057408	0.032007
Meth__cg04154812__CALCOCO2	0.10316	0.099497	0.1052	0.077931	0.10371	0.12899	0.80262	0.12315	0.1061	0.091949	0.10021	0.092931	0.099247	0.10044	0.095021	0.13449	0.11014	0.11725	0.12413	0.10941	0.10382	0.1404	0.11866	0.12429	0.096002	0.085817	0.056608	0.098353	0.097895	0.12909	0.076412	0.089138
