Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg13744194__OCLN	0.074304	0.062901	0.096695	0.052789	0.54991	0.086447	0.55502	0.087338	0.12273	0.067802	0.94811	0.086562	0.15962	0.059417	0.11567	0.084397	0.11472	0.26943	0.096373	0.073297	0.31577	0.5625	0.082053	0.37848	0.085198	0.080839	0.93918	0.17278	0.087677	0.072991	0.082127	0.083929	0.56579	0.62197	0.24615	0.14774	0.07912	0.085601	0.071159	0.074273
Meth__cg13796218__C1orf187	0.076495	0.12985	0.062578	0.10532	0.76554	0.10814	0.90008	0.13256	0.046581	0.071535	0.63334	0.42168	0.73603	0.11433	0.06983	0.81131	0.47236	0.36818	0.17368	0.062633	0.057888	0.789	0.14385	0.75032	0.070556	0.099539	0.88962	0.24095	0.38849	0.061092	0.0981	0.062873	0.4469	0.080454	0.74028	0.075167	0.082762	0.15279	0.25801	0.18659
Meth__cg17686885__TOM1L1	0.040621	0.50217	0.2265	0.091196	0.64305	0.059217	0.78546	0.61575	0.07488	0.062885	0.30154	0.62502	0.84488	0.076522	0.11631	0.32774	0.17543	0.82955	0.37578	0.17563	0.23286	0.52035	0.17762	0.5	0.070471	0.10541	0.43571	0.062608	0.25527	0.31996	0.039205	0.44549	0.5052	0.2576	0.68656	0.13697	0.072017	0.23937	0.35777	0.12526
Meth__cg09872616__MEST	0.9656	0.025962	0.30246	0.029133	0.96217	0.51588	0.95005	0.48581	0.4475	0.025139	0.95909	0.49318	0.61317	0.038579	0.38427	0.96188	0.94478	0.64948	0.021396	0.041468	0.5901	0.93047	0.13707	0.50787	0.076179	0.049737	0.96582	0.1746	0.055228	0.050183	0.94682	0.95354	0.031312	0.53551	0.96117	0.93053	0.026441	0.031723	0.048108	0.02728
Meth__cg19580810__RAB25	0.099988	0.050562	0.088267	0.056962	0.86798	0.089921	0.88454	0.15854	0.12851	0.14805	0.8073	0.2503	0.23371	0.038933	0.11588	0.21856	0.07881	0.80537	0.088248	0.074521	0.21466	0.86245	0.06447	0.85185	0.14751	0.10558	0.87641	0.078888	0.074675	0.27169	0.83685	0.080202	0.84889	0.049983	0.040285	0.078047	0.17464	0.037945	0.18713	0.036921
Meth__cg19221369__TAF13	0.075181	0.073178	0.14654	0.17849	0.057484	0.081468	0.088956	0.060651	0.14006	0.097638	0.10217	0.1052	0.54701	0.11249	0.12959	0.061962	0.14947	0.070723	0.10002	0.07253	0.10285	0.078682	0.12911	0.083946	0.10579	0.10711	0.072604	0.10637	0.14687	0.13386	0.056734	0.074543	0.098467	0.47672	0.066621	0.42264	0.11171	0.11628	0.15755	0.11521
Meth__cg07850604__INSM2	0.30374	0.042459	0.037172	0.36843	0.031894	0.45441	0.10324	0.028696	0.052325	0.04551	0.067819	0.043812	0.094032	0.028305	0.042239	0.030937	0.080029	0.055758	0.46057	0.29286	0.22142	0.037121	0.88066	0.8441	0.040543	0.065477	0.031801	0.10341	0.038032	0.059125	0.027579	0.02783	0.69495	0.028538	0.39975	0.065059	0.073807	0.096814	0.44612	0.05586
Meth__cg25093045__FLJ46481	0.10205	0.032211	0.35298	0.5327	0.067861	0.38321	0.18789	0.83974	0.031731	0.76777	0.52014	0.26509	0.50292	0.028019	0.030169	0.22574	0.17331	0.030835	0.59805	0.44765	0.9276	0.053784	0.75588	0.074183	0.59426	0.050382	0.74566	0.36629	0.045061	0.071114	0.027496	0.033277	0.036804	0.03436	0.30744	0.15661	0.46086	0.26481	0.18794	0.23253
Meth__cg05997860__ADAM21	0.23264	0.034324	0.67978	0.50797	0.057585	0.36837	0.12927	0.78136	0.67081	0.080261	0.16681	0.2504	0.21527	0.10846	0.45761	0.20881	0.053191	0.062792	0.1216	0.19866	0.78004	0.098212	0.76245	0.10979	0.21511	0.069855	0.075935	0.07838	0.094743	0.12316	0.28709	0.042182	0.19056	0.80283	0.38118	0.14421	0.19574	0.43065	0.52163	0.30075
Meth__cg13461509__ECHDC2	0.028479	0.035757	0.22637	0.033422	0.05131	0.041102	0.12034	0.46817	0.15797	0.034784	0.04805	0.043956	0.07342	0.27737	0.14539	0.40793	0.063805	0.11395	0.036479	0.032896	0.038118	0.037147	0.034479	0.089654	0.059444	0.042699	0.035226	0.099847	0.059152	0.064971	0.037733	0.035204	0.056423	0.029666	0.023266	0.11649	0.035382	0.039753	0.083407	0.045023
Meth__cg12858460__EOMES	0.58499	0.065293	0.072857	0.090619	0.056546	0.88393	0.058137	0.10847	0.052943	0.5063	0.19194	0.11798	0.12651	0.9062	0.11369	0.052632	0.10912	0.43241	0.32198	0.4839	0.53928	0.061381	0.5664	0.8722	0.051759	0.67342	0.050642	0.57015	0.067829	0.16429	0.088974	0.050012	0.057154	0.052164	0.87869	0.52327	0.21166	0.58818	0.63564	0.88564
Meth__cg22510822__OR1E2	0.92987	0.044681	0.50973	0.22236	0.22212	0.41102	0.20661	0.73945	0.075617	0.093272	0.41715	0.46416	0.33855	0.075384	0.077602	0.81066	0.37506	0.039841	0.51812	0.61682	0.85946	0.056568	0.23461	0.10691	0.067905	0.11895	0.2754	0.77202	0.10483	0.41832	0.073371	0.24698	0.24362	0.89057	0.87677	0.16647	0.86119	0.3616	0.17174	0.43921
Meth__cg09068528__ACADL	0.08331	0.059242	0.834	0.26599	0.5813	0.94684	0.58092	0.091919	0.080101	0.95512	0.17972	0.19319	0.84743	0.59097	0.061186	0.12969	0.12476	0.77014	0.80262	0.5194	0.95827	0.066628	0.95715	0.52557	0.92954	0.1369	0.12087	0.92491	0.29195	0.13426	0.069565	0.070888	0.39876	0.082199	0.93346	0.80404	0.92721	0.9462	0.88602	0.91709
Meth__cg26320696__PARVA	0.045123	0.045545	0.058436	0.21509	0.094598	0.13378	0.020873	0.05585	0.057892	0.076424	0.098856	0.046501	0.11485	0.19498	0.04316	0.042573	0.080539	0.033349	0.3308	0.41893	0.45703	0.04359	0.032377	0.055866	0.044526	0.067879	0.035571	0.11977	0.042105	0.058355	0.032857	0.027294	0.26751	0.21816	0.062335	0.074991	0.040244	0.24667	0.096005	0.35727
Meth__cg01357116__ATOH1	0.07053	0.070476	0.097386	0.053918	0.50735	0.07955	0.20526	0.35862	0.12445	0.054387	0.071953	0.097976	0.13254	0.047846	0.10161	0.089813	0.10023	0.068758	0.088478	0.075047	0.19892	0.10306	0.050571	0.13161	0.048758	0.13848	0.047457	0.11977	0.080943	0.070661	0.050188	0.068281	0.085168	0.058444	0.1588	0.18805	0.077873	0.078994	0.088443	0.0675
Meth__cg19836283__ITGA11	0.065608	0.039021	0.34873	0.38667	0.81355	0.93446	0.12346	0.70331	0.17709	0.19306	0.93225	0.17051	0.80915	0.038033	0.16579	0.10705	0.065674	0.043255	0.84162	0.94364	0.59994	0.045571	0.75192	0.67259	0.20391	0.060444	0.6418	0.82028	0.11882	0.092887	0.082616	0.67305	0.065443	0.84847	0.66241	0.07659	0.10985	0.78269	0.15965	0.84309
Meth__cg01346718__CSNK1E	0.064285	0.13141	0.13578	0.12717	0.75483	0.19053	0.63658	0.17916	0.14903	0.17277	0.23345	0.58873	0.30305	0.50275	0.18172	0.33513	0.20503	0.11726	0.39383	0.27603	0.44402	0.75817	0.097957	0.19836	0.21841	0.187	0.3262	0.19512	0.24362	0.13831	0.098087	0.068539	0.17664	0.062957	0.14511	0.26672	0.16425	0.13205	0.21874	0.083173
Meth__cg08216808__ARPC2	0.42145	0.41504	0.74634	0.78113	0.18728	0.77409	0.44054	0.10574	0.8393	0.83233	0.047722	0.57824	0.39914	0.72135	0.59663	0.13057	0.15888	0.033673	0.31576	0.15841	0.24844	0.039481	0.90932	0.52696	0.41779	0.10514	0.14657	0.068955	0.22797	0.25299	0.043074	0.44417	0.074839	0.8368	0.45062	0.21596	0.093198	0.58544	0.38166	0.85595
Meth__cg03681481__OVOL1	0.040764	0.050693	0.39277	0.040256	0.72467	0.084454	0.92877	0.15508	0.38095	0.30013	0.083069	0.079139	0.46009	0.032427	0.35275	0.55819	0.12435	0.37821	0.037631	0.047418	0.039086	0.94591	0.06052	0.91772	0.058041	0.11165	0.57688	0.068096	0.4096	0.097232	0.74025	0.052813	0.12185	0.030648	0.064453	0.073395	0.11137	0.19243	0.18297	0.14252
Meth__cg23146358__CDKN1C	0.10182	0.084681	0.082219	0.27315	0.031053	0.076687	0.03211	0.14646	0.084698	0.059381	0.16472	0.034151	0.14251	0.028806	0.092732	0.048739	0.17851	0.027675	0.61718	0.61678	0.050468	0.056963	0.077931	0.16631	0.11053	0.081641	0.064234	0.13876	0.1349	0.1002	0.048566	0.084263	0.056357	0.066115	0.027115	0.071615	0.079078	0.13725	0.3262	0.1647
Meth__cg02115041__NPBWR1	0.65467	0.035659	0.79099	0.20496	0.27125	0.63816	0.58513	0.9424	0.052427	0.52272	0.69559	0.27728	0.91743	0.25411	0.066097	0.57853	0.21991	0.049932	0.30918	0.50383	0.34728	0.22493	0.93072	0.31197	0.43667	0.071429	0.53734	0.38733	0.59711	0.065115	0.078641	0.093887	0.11354	0.039123	0.25483	0.16893	0.58309	0.80995	0.67616	0.66864
Meth__cg01731685__IL17R	0.37647	0.45195	0.61803	0.32924	0.090887	0.64904	0.086758	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.62559	0.10443	0.074706	0.10766	0.018433	0.63692	0.40935	0.68685	0.088502	0.32082	0.14194	0.572	0.26916	0.10689	0.2893	0.19292	0.40455	0.032373	0.04102	0.056704	0.41133	0.19279	0.1343	0.15419	0.19033	0.21814	0.25008
Meth__cg08159444__PNMA5	0.10401	0.084835	0.79764	0.49079	0.089533	0.35319	0.15571	0.8699	0.82829	0.62976	0.2479	0.69585	0.67884	0.030903	0.63722	0.31986	0.14108	0.055721	0.6638	0.53828	0.26706	0.13323	0.47047	0.15356	0.16386	0.052681	0.1333	0.13471	0.13272	0.251	0.21964	0.039111	0.045927	0.67663	0.17077	0.18889	0.71452	0.15713	0.052324	0.24173
Meth__cg02774439__HAND2	0.92696	0.056757	0.93519	0.52137	0.051204	0.87441	0.13834	0.42387	0.061265	0.06042	0.053218	0.12877	0.69848	0.36333	0.23613	0.082824	0.1032	0.14743	0.85356	0.80055	0.91523	0.053735	0.88157	0.81346	0.75534	0.34389	0.057201	0.85131	0.48438	0.064165	0.047154	0.036746	0.14737	0.050008	0.9242	0.43971	0.91076	0.73893	0.86886	0.9004
Meth__cg19384697__UPK3B	0.077999	0.07585	0.34731	0.0963	0.46246	0.15257	0.71781	0.10996	0.078267	0.10479	0.096249	0.063856	0.25621	0.18838	0.12869	0.15206	0.097802	0.11949	0.069637	0.084561	0.45866	0.47694	0.066121	0.76983	0.11446	0.11524	0.20845	0.14927	0.087739	0.072077	0.10636	0.37344	0.55879	0.32279	0.078963	0.084227	0.069977	0.13846	0.10491	0.37555
Meth__cg20143092__CD44	0.16043	0.13835	0.73874	0.76383	0.13215	0.91294	0.12346	0.077751	0.71146	0.088204	0.085008	0.3599	0.23973	0.085929	0.76338	0.074611	0.18547	0.07369	0.58463	0.15737	0.16771	0.10082	0.37042	0.11951	0.15348	0.094381	0.085481	0.74589	0.082819	0.10348	0.063107	0.09857	0.056797	0.94037	0.75992	0.055487	0.51858	0.24624	0.23333	0.86917
Meth__cg10364513__RXRG	0.19848	0.042288	0.21699	0.056336	0.95135	0.73901	0.85937	0.98419	0.11845	0.051935	0.70508	0.19318	0.96354	0.060505	0.088997	0.61707	0.27146	0.3159	0.4393	0.14545	0.96522	0.11603	0.034834	0.93203	0.54192	0.12531	0.52731	0.54939	0.85106	0.079117	0.22745	0.45531	0.42144	0.93674	0.94798	0.071121	0.062047	0.19249	0.11219	0.55244
Meth__cg04195127__WFDC1	0.081364	0.060436	0.62937	0.75313	0.039273	0.36285	0.18084	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.056954	0.031148	0.76046	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.7235	0.062592	0.28567	0.14335	0.027295	0.028976	0.03284	0.49539	0.08684	0.074656	0.92969	0.08101	0.51031	0.06488
Meth__cg12738197__ZNF572	0.43549	0.024916	0.86537	0.3753	0.029814	0.50486	0.32158	0.90266	0.29014	0.4033	0.82174	0.063282	0.69758	0.027897	0.16448	0.18388	0.070987	0.12544	0.15059	0.14997	0.046421	0.049236	0.26661	0.21356	0.061898	0.065387	0.034136	0.74665	0.046159	0.053516	0.044724	0.25438	0.053904	0.77897	0.63162	0.091295	0.035151	0.38926	0.10806	0.37265
Meth__cg23547429__SLC43A3	0.015846	0.03007	0.5699	0.67022	0.24891	0.18976	0.034069	0.01504	0.021196	0.11412	0.2199	0.022272	0.035018	0.032177	0.032061	0.028379	0.027173	0.021224	0.51436	0.68819	0.80838	0.10566	0.23381	0.033535	0.36659	0.045644	0.43444	0.033182	0.02349	0.047867	0.021132	0.02594	0.057202	0.58964	0.042823	0.032138	0.021989	0.050141	0.025423	0.15638
Meth__cg25524473__DUSP5	0.08984	0.22189	0.15788	0.36416	0.10067	0.05589	0.20785	0.065255	0.17997	0.25754	0.56657	0.068172	0.080142	0.054969	0.18636	0.39229	0.095475	0.076609	0.30823	0.14014	0.037428	0.29974	0.19157	0.046884	0.34737	0.1356	0.035095	0.096112	0.1003	0.44408	0.10367	0.055874	0.038239	0.4536	0.033342	0.08755	0.086457	0.038552	0.2188	0.12273
Meth__cg09188980__CALCA	0.57323	0.02454	0.78848	0.57746	0.38576	0.86411	0.11066	0.93739	0.026457	0.051644	0.84325	0.10219	0.72171	0.03744	0.029289	0.55868	0.10474	0.020752	0.7659	0.62603	0.040874	0.09968	0.21263	0.64577	0.11268	0.032792	0.14777	0.87687	0.066996	0.034056	0.51407	0.16266	0.057143	0.67153	0.65527	0.086032	0.92195	0.30606	0.36845	0.23917
Meth__cg06797533__ADFP	0.55927	0.072518	0.056011	0.10917	0.05701	0.075904	0.421	0.0349	0.25849	0.043526	0.035856	0.35618	0.25783	0.047978	0.22762	0.8241	0.10296	0.94575	0.035983	0.040489	0.42579	0.040085	0.03979	0.10744	0.063345	0.094254	0.042214	0.79608	0.057559	0.077388	0.3987	0.2648	0.96713	0.069806	0.85779	0.10663	0.059871	0.04496	0.10894	0.54673
Meth__cg17520176__ZMYM4	0.049943	0.048755	0.059501	0.057405	0.044327	0.073576	0.040939	0.057523	0.036364	0.051692	0.056835	0.083952	0.16553	0.035459	0.042128	0.066351	0.075209	0.047594	0.049351	0.073812	0.057991	0.057805	0.068658	0.1492	0.070389	0.12836	0.038551	0.089233	0.064336	0.090094	0.030784	0.037037	0.04051	0.046604	0.040537	0.17787	0.075749	0.50479	0.10469	0.57577
Meth__cg01343729__ZNF688	0.044454	0.034711	0.045827	0.026992	0.040532	0.049447	0.11413	0.0427	0.031439	0.042612	0.043152	0.029595	0.078233	0.030348	0.039598	0.034202	0.04124	0.030814	0.044338	0.059417	0.039439	0.057352	0.042997	0.083293	0.054304	0.041555	0.042222	0.063305	0.051484	0.062373	0.040295	0.035896	0.032609	0.033004	0.025599	0.08369	0.053726	0.050445	0.092276	0.054042
Meth__cg05820087__ATP13A4	0.11772	0.092339	0.11928	0.069182	0.32099	0.81292	0.12544	0.84996	0.74457	0.10542	0.72547	0.21363	0.72403	0.10641	0.41463	0.60686	0.24422	0.074251	0.40561	0.16886	0.81942	0.22899	0.076696	0.33599	0.13846	0.19884	0.31673	0.62622	0.72106	0.24858	0.80119	0.40069	0.11219	0.33045	0.23072	0.10437	0.10123	0.14329	0.20911	0.092671
Meth__cg07374632__PCSK1N	0.5715	0.5215	0.076108	0.48381	0.030953	0.04252	0.062636	0.068812	0.59031	0.64818	0.081695	0.66914	0.62519	0.63319	0.5386	0.60713	0.5395	0.028205	0.058468	0.05635	0.54684	0.51869	0.51311	0.8603	0.53953	0.446	0.53186	0.88913	0.058655	0.54608	0.67374	0.15407	0.53209	0.035685	0.91414	0.05561	0.51564	0.4959	0.5525	0.042984
Meth__cg13370916__STARD8	0.1058	0.56303	0.63637	0.25263	0.32194	0.24474	0.62474	0.60881	0.049891	0.053602	0.78134	0.21581	0.54353	0.044738	0.053519	0.74032	0.074295	0.03058	0.04408	0.046987	0.10568	0.20253	0.63222	0.061725	0.04237	0.062296	0.070143	0.52735	0.028253	0.099283	0.02817	0.067277	0.038853	0.63254	0.1537	0.11043	0.70634	0.1064	0.52972	0.79126
Meth__cg18592307__WDR76	0.028492	0.020354	0.086969	0.025902	0.016201	0.020048	0.051317	0.018051	0.22982	0.030842	0.016546	0.020237	0.03021	0.023222	0.18886	0.030153	0.028783	0.013412	0.027373	0.027334	0.020512	0.027188	0.054218	0.035916	0.035373	0.046067	0.030337	0.02639	0.029152	0.032334	0.026283	0.025789	0.021534	0.50945	0.013923	0.052597	0.041159	0.05546	0.039555	0.12931
Meth__cg09257092__ITPR2	0.040779	0.033463	0.10076	0.032991	0.89377	0.069544	0.30432	0.33655	0.3551	0.048751	0.044896	0.046542	0.37703	0.045306	0.31425	0.4252	0.14104	0.066175	0.037153	0.071772	0.031091	0.053942	0.034756	0.26732	0.33378	0.060675	0.4839	0.3288	0.31584	0.048896	0.046472	0.033783	0.045202	0.15046	0.38054	0.088927	0.048492	0.23603	0.062433	0.06979
Meth__cg00401678__EMR3	0.35557	0.054999	0.30157	0.16115	0.11757	0.25427	0.23181	0.7799	0.078731	0.13043	0.49099	0.36387	0.22148	0.085393	0.086776	0.33759	0.087834	0.074921	0.16299	0.17368	0.22916	0.11516	0.35587	0.1069	0.13081	0.15864	0.13183	0.2459	0.14181	0.078057	0.10537	0.086848	0.064495	0.1612	0.26707	0.21059	0.16778	0.20758	0.15272	0.24382
Meth__cg09501516__RGS4	0.07035	0.035424	0.18713	0.031031	0.63998	0.085297	0.33388	0.93843	0.64129	0.096045	0.18267	0.185	0.51168	0.034783	0.48656	0.26763	0.12887	0.87273	0.082842	0.097699	0.90525	0.070265	0.11652	0.66185	0.079933	0.10619	0.73086	0.31798	0.12393	0.09019	0.036895	0.89237	0.095636	0.85667	0.16365	0.13359	0.057454	0.063214	0.23828	0.10391
Meth__cg08088390__DEFB125	0.86803	0.084438	0.72163	0.58569	0.041132	0.71882	0.29711	0.75259	0.8495	0.66775	0.70927	0.7256	0.7327	0.066217	0.5708	0.22878	0.15936	0.10202	0.33873	0.16551	0.59604	0.088569	0.48013	0.16946	0.14965	0.09457	0.082443	0.081723	0.09636	0.18516	0.096774	0.18755	0.1211	0.87638	0.60805	0.14337	0.27846	0.44994	0.079558	0.51614
Meth__cg16796590__MFSD2	0.062007	0.054488	0.064838	0.059126	0.054045	0.061235	0.22026	0.04755	0.070323	0.065488	0.075139	0.13243	0.53645	0.051148	0.077828	0.064838	0.10341	0.04	0.70457	0.53027	0.15345	0.065979	0.1073	0.086163	0.0763	0.12776	0.054849	0.093759	0.041879	0.14876	0.027378	0.02846	0.065264	0.082412	0.051599	0.18732	0.08298	0.13361	0.12054	0.10865
Meth__cg08445039__FKBP9	0.024539	0.15646	0.253	0.11233	0.021066	0.17194	0.027822	0.022698	0.1218	0.27434	0.025721	0.063485	0.055412	0.45705	0.11462	0.040185	0.031954	0.017983	0.065292	0.075508	0.034731	0.025783	0.38301	0.048216	0.2678	0.033913	0.020806	0.11476	0.054707	0.0719	0.028148	0.025528	0.019976	0.15165	0.035235	0.039834	0.02985	0.043117	0.19792	0.038743
Meth__cg19278165__DSCR1	0.038947	0.033684	0.33829	0.05358	0.024423	0.072283	0.062844	0.034638	0.031549	0.044172	0.025247	0.053374	0.085199	0.03892	0.037187	0.044546	0.053724	0.028362	0.4612	0.34058	0.0515	0.029243	0.041856	0.47306	0.0718	0.073494	0.031995	0.78789	0.035037	0.049446	0.027261	0.022155	0.028831	0.19937	0.029878	0.12523	0.030788	0.044752	0.094595	0.0554
Meth__cg06297145__NFXL1	0.060312	0.065239	0.062356	0.040842	0.34523	0.063467	0.28239	0.31602	0.057896	0.070435	0.0688	0.040503	0.1336	0.046714	0.060489	0.069778	0.12335	0.098599	0.029313	0.068873	0.13496	0.065849	0.078824	0.15411	0.057537	0.096957	0.40319	0.15414	0.075955	0.090646	0.072449	0.084064	0.25811	0.11832	0.087537	0.15296	0.059483	0.052094	0.12078	0.060776
Meth__cg04133652__MLLT6	0.032843	0.057746	0.056751	0.040082	0.44755	0.044089	0.51254	0.070432	0.31849	0.042027	0.044627	0.11246	0.10003	0.027058	0.30016	0.10993	0.19784	0.0237	0.03925	0.04137	0.050897	0.12889	0.039199	0.056193	0.048889	0.03876	0.63693	0.057351	0.040473	0.043373	0.044936	0.035672	0.21495	0.06981	0.030065	0.060203	0.084207	0.026658	0.083466	0.035796
Meth__cg25153340__PLEKHK1	0.048699	0.034652	0.096752	0.049301	0.80658	0.055659	0.1775	0.06583	0.092346	0.030835	0.060547	0.1012	0.11134	0.028221	0.093392	0.049413	0.086985	0.25701	0.055185	0.043381	0.064338	0.079051	0.044312	0.14695	0.059496	0.10389	0.13866	0.072682	0.049837	0.042382	0.031792	0.046117	0.26628	0.13405	0.038959	0.043073	0.050485	0.040718	0.08284	0.052228
Meth__cg05468303__DGCR6	0.049874	0.36945	0.16823	0.083111	0.73025	0.081757	0.056791	0.13167	0.481	0.081883	0.037057	0.23862	0.30046	0.074132	0.38467	0.29121	0.17558	0.26363	0.099421	0.067009	0.55459	0.10171	0.047361	0.57943	0.048959	0.074846	0.46859	0.077299	0.40824	0.20432	0.042269	0.042834	0.65241	0.091826	0.048932	0.14376	0.072568	0.048064	0.47215	0.057202
Meth__cg04329382__FLJ27365	0.40057	0.85458	0.8226	0.67788	0.68875	0.84172	0.85307	0.056457	0.062846	0.86849	0.85108	0.097449	0.80254	0.64966	0.31112	0.093929	0.63559	0.03723	0.89502	0.88391	0.42962	0.80544	0.89358	0.47729	0.85648	0.49429	0.065135	0.45237	0.6544	0.75062	0.041198	0.076272	0.10046	0.044448	0.052548	0.19722	0.87459	0.34806	0.21937	0.064757
Meth__cg13191049__DMN	0.97259	0.6425	0.055603	0.98039	0.05648	0.96842	0.1072	0.04782	0.070633	0.97407	0.063312	0.068574	0.1764	0.048419	0.053097	0.051755	0.21918	0.077069	0.97866	0.88735	0.7998	0.069113	0.61663	0.94357	0.079309	0.87869	0.080545	0.1555	0.069957	0.12531	0.074122	0.05522	0.068552	0.079014	0.66641	0.96432	0.063514	0.072033	0.14701	0.078935
Meth__cg08505473__PRIMA1	0.030739	0.024052	0.030217	0.021201	0.61018	0.042298	0.052601	0.053254	0.020727	0.031725	0.05038	0.047034	0.15308	0.022213	0.034062	0.033195	0.086272	0.020067	0.027231	0.04349	0.057911	0.078338	0.017429	0.36198	0.030576	0.037741	0.36554	0.078906	0.29604	0.031149	0.024841	0.031882	0.024816	0.033286	0.11384	0.065845	0.030272	0.022443	0.057551	0.02338
Meth__cg05882691__HIST1H3H	0.18797	0.14451	0.16943	0.46288	0.1493	0.15854	0.21951	0.20064	0.15816	0.24261	0.78739	0.13964	0.23321	0.12172	0.18261	0.16214	0.20065	0.21711	0.16361	0.19601	0.19008	0.17397	0.84158	0.34661	0.16025	0.27202	0.2456	0.24114	0.14789	0.2984	0.14023	0.1528	0.16557	0.19528	0.88547	0.28469	0.18681	0.2101	0.21531	0.26521
Meth__cg24358465__HIST1H2AG	0.047799	0.019637	0.033708	0.91227	0.024192	0.86877	0.0553	0.039513	0.025315	0.98345	0.06696	0.040009	0.078318	0.99088	0.036839	0.026458	0.037636	0.027891	0.026439	0.036141	0.037061	0.033947	0.035739	0.055669	0.040663	0.07291	0.047039	0.052465	0.024491	0.077364	0.018767	0.02818	0.058729	0.057862	0.7382	0.94992	0.040383	0.068771	0.072032	0.07563
Meth__cg07849904__MN1	0.11474	0.16014	0.20315	0.22837	0.072058	0.20299	0.057198	0.11854	0.068817	0.14889	0.22686	0.045074	0.16876	0.12669	0.104	0.093405	0.16016	0.068605	0.18325	0.20656	0.095834	0.11802	0.11723	0.54005	0.094433	0.14148	0.062361	0.15875	0.091155	0.096903	0.075348	0.079152	0.066674	0.061412	0.11822	0.10294	0.082399	0.086831	0.28255	0.12024
Meth__cg02676865__UBTD1	0.071118	0.89832	0.96518	0.82476	0.041939	0.85065	0.11162	0.67022	0.067923	0.69974	0.077852	0.0956	0.18566	0.067766	0.080167	0.079763	0.096762	0.039126	0.96045	0.9357	0.94871	0.072519	0.82364	0.65784	0.93217	0.099961	0.048505	0.13725	0.060676	0.93632	0.51974	0.044783	0.049362	0.077008	0.94575	0.056561	0.078638	0.25741	0.45438	0.94383
Meth__cg20582779__KIAA1822L	0.030765	0.065578	0.16167	0.38394	0.89204	0.51365	0.76369	0.94361	0.30964	0.087321	0.89759	0.65228	0.80189	0.028926	0.22127	0.78551	0.095305	0.39417	0.55584	0.40177	0.53923	0.52297	0.062385	0.61527	0.43764	0.063404	0.69432	0.76155	0.74571	0.10542	0.037226	0.89938	0.30469	0.54653	0.23177	0.11541	0.065158	0.1954	0.049803	0.17431
Meth__cg17740645__GRB7	0.026383	0.020314	0.024664	0.016207	0.96282	0.017445	0.95961	0.021405	0.022197	0.031168	0.015845	0.021025	0.029935	0.011674	0.031476	0.022543	0.037018	0.20297	0.021618	0.025644	0.021321	0.95615	0.020539	0.14106	0.018997	0.040881	0.97038	0.043819	0.03087	0.032267	0.91443	0.015787	0.28615	0.019383	0.018701	0.027146	0.017684	0.023099	0.032877	0.018295
Meth__cg25895922__MLPH	0.020461	0.02065	0.021786	0.014833	0.19667	0.02494	0.048871	0.59171	0.02238	0.018086	0.4485	0.10246	0.055094	0.014484	0.02266	0.38286	0.061052	0.94759	0.014937	0.02664	0.019256	0.028782	0.017056	0.040878	0.026476	0.023438	0.022127	0.10639	0.0362	0.037194	0.025003	0.53722	0.70073	0.020521	0.01524	0.049111	0.021778	0.023791	0.031367	0.032341
Meth__cg00044245__EPHA7	0.053977	0.049882	0.059708	0.044852	0.86817	0.075852	0.72108	0.053767	0.043358	0.051898	0.41407	0.18086	0.52518	0.049504	0.068036	0.064082	0.19622	0.25416	0.060648	0.05409	0.059169	0.052228	0.028538	0.39122	0.047507	0.11917	0.052537	0.10575	0.79536	0.051859	0.048628	0.096043	0.10593	0.043115	0.84235	0.0962	0.05432	0.054751	0.14375	0.047183
Meth__cg03000846__RAC3	0.03887	0.052198	0.79613	0.167	0.8844	0.25557	0.97373	0.38286	0.2407	0.49661	0.028168	0.95977	0.59755	0.33858	0.21708	0.45242	0.56206	0.9526	0.68227	0.61985	0.03108	0.96952	0.55245	0.94933	0.93265	0.32386	0.96502	0.057362	0.96197	0.18263	0.52379	0.61736	0.97042	0.50434	0.01872	0.1515	0.5172	0.023817	0.32739	0.023589
Meth__cg09440340__C1orf161	0.022491	0.013458	0.021681	0.062179	0.088401	0.068353	0.88818	0.9465	0.26402	0.060992	0.7782	0.014843	0.034168	0.020265	0.21568	0.12442	0.027292	0.026781	0.019244	0.040574	0.39264	0.29039	0.021417	0.81055	0.02872	0.034641	0.91936	0.074397	0.1141	0.046144	0.43185	0.63033	0.071714	0.022993	0.10635	0.11755	0.025029	0.043318	0.025248	0.14199
