Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751
Meth__cg11563860__CNTN4	0.83424	0.057111	0.10696	0.71136	0.47753	0.61884	0.8342	0.12258	0.62559	0.80227	0.07344	0.82098	0.51049	0.17296	0.44294	0.65361	0.53723	0.35958	0.19589	0.055602	0.1294	0.3207	0.51431	0.29204	0.80234	0.23269	0.063268	0.16654	0.79616	0.06166	0.075088	0.42325	0.065084	0.066757	0.080107	0.17316	0.25623	0.80379
Meth__cg24924779__KCNG1	0.45081	0.059255	0.53987	0.13994	0.076837	0.80165	0.4482	0.77241	0.067664	0.055079	0.10756	0.076121	0.067438	0.28217	0.24394	0.053203	0.047206	0.39338	0.081816	0.10243	0.5414	0.64972	0.43225	0.10991	0.18484	0.89723	0.071283	0.11522	0.89282	0.087164	0.044417	0.08453	0.36938	0.085147	0.047252	0.57945	0.11175	0.048887
Meth__cg19504245__TNNT1	0.043725	0.032642	0.70188	0.055356	0.16695	0.53309	0.19196	0.70505	0.73818	0.030327	0.052454	0.40707	0.18212	0.32398	0.027369	0.03452	0.62319	0.081711	0.069246	0.021464	0.059518	0.050608	0.63732	0.37427	0.15018	0.18813	0.11592	0.04706	0.62889	0.070463	0.26304	0.035674	0.028584	0.12166	0.033136	0.41956	0.15293	0.20805
Meth__cg00212549__SEMA5B	0.14883	0.14393	0.088132	0.11504	0.097062	0.071123	0.14296	0.35693	0.11889	0.14525	0.13229	0.11858	0.10125	0.26691	0.083195	0.14182	0.16113	0.088388	0.11679	0.13502	0.088015	0.10279	0.81111	0.13247	0.082694	0.23148	0.11073	0.18719	0.13744	0.18005	0.068671	0.13099	0.2086	0.28836	0.088258	0.344	0.15705	0.1583
Meth__cg07730301__ALDH3B1	0.037045	0.033833	0.060726	0.52782	0.45252	0.037604	0.63302	0.025716	0.43035	0.062311	0.2633	0.054053	0.048058	0.07126	0.11914	0.072757	0.067626	0.03659	0.098661	0.028451	0.40203	0.46871	0.09524	0.057631	0.24429	0.050087	0.23596	0.40755	0.4583	0.078578	0.036838	0.035578	0.030858	0.17163	0.043234	0.46222	0.085389	0.20536
Meth__cg05275752__GALM	0.73145	0.072736	0.44551	0.93874	0.056455	0.9142	0.048693	0.81135	0.63208	0.94544	0.050812	0.75866	0.89354	0.9244	0.067738	0.88456	0.14366	0.94344	0.90541	0.63582	0.24403	0.70812	0.78736	0.029103	0.31371	0.079579	0.53986	0.14041	0.11771	0.053133	0.052088	0.24061	0.90709	0.17821	0.43623	0.93899	0.065184	0.77588
Meth__cg07711097__GML	0.10916	0.044799	0.81316	0.9413	0.90593	0.21173	0.39699	0.84668	0.91371	0.15597	0.69177	0.85139	0.7763	0.74063	0.020881	0.19562	0.56019	0.81812	0.071994	0.016556	0.81592	0.79967	0.7901	0.94323	0.97011	0.34313	0.80075	0.047148	0.61889	0.049251	0.042108	0.049564	0.042415	0.82483	0.033448	0.81052	0.089895	0.075805
Meth__cg02729303__FLJ20152	0.076979	0.063059	0.075667	0.34097	0.67656	0.31001	0.096769	0.56395	0.54516	0.14452	0.06931	0.59652	0.10638	0.1984	0.13492	0.13554	0.16314	0.61676	0.16951	0.06114	0.70507	0.51508	0.37374	0.56902	0.7567	0.55646	0.12383	0.12388	0.18406	0.069726	0.78171	0.11952	0.28788	0.067291	0.048566	0.2461	0.31463	0.38906
Meth__cg24478387__SUMF2	0.11589	0.079762	0.086212	0.063434	0.074694	0.077262	0.097227	0.24	0.067334	0.076671	0.12791	0.0793	0.076738	0.11392	0.072322	0.08588	0.087277	0.070071	0.1711	0.090987	0.062215	0.1215	0.1118	0.088195	0.37014	0.14675	0.072159	0.15413	0.10775	0.11342	0.079388	0.060361	0.092244	0.088947	0.87502	0.071618	0.11351	0.098301
Meth__cg15948326__C11orf45	0.034961	0.015478	0.4701	0.016524	0.019576	0.64771	0.019323	0.045674	0.013055	0.023218	0.01767	0.017257	0.035165	0.034362	0.01485	0.013316	0.015058	0.023631	0.023281	0.062886	0.019133	0.021716	0.026802	0.022917	0.018942	0.50529	0.018879	0.024894	0.059541	0.026897	0.039816	0.014006	0.017688	0.20894	0.018538	0.8196	0.061411	0.02459
Meth__cg22478614__DEFB4	0.28287	0.021362	0.91765	0.12257	0.35208	0.023489	0.053082	0.034359	0.47607	0.14975	0.027813	0.38095	0.87236	0.29478	0.021565	0.14991	0.36433	0.49339	0.047105	0.014241	0.85625	0.60818	0.35873	0.032531	0.90716	0.26906	0.29036	0.061768	0.063311	0.035241	0.026075	0.021707	0.036893	0.70779	0.026959	0.14773	0.039703	0.28148
Meth__cg19326876__ATP10A	0.075105	0.39586	0.93174	0.92511	0.6768	0.64617	0.92422	0.16164	0.531	0.10144	0.15412	0.42273	0.050346	0.24828	0.26199	0.10292	0.56987	0.15598	0.16521	0.041021	0.92499	0.92184	0.13557	0.56219	0.25276	0.44042	0.87584	0.081671	0.87249	0.15692	0.038537	0.36495	0.2327	0.030015	0.032174	0.032235	0.077351	0.15746
Meth__cg09185773__WASF3	0.16078	0.12983	0.86467	0.1568	0.16498	0.041239	0.90603	0.23358	0.13678	0.08046	0.39929	0.083687	0.59443	0.45011	0.13126	0.16595	0.37125	0.05523	0.16517	0.081178	0.11953	0.13905	0.91631	0.1925	0.23944	0.33321	0.12226	0.088366	0.70656	0.15553	0.056961	0.064358	0.067013	0.15342	0.13192	0.12022	0.18163	0.21186
Meth__cg05882522__EHD3	0.044777	0.052199	0.078977	0.050309	0.039479	0.043897	0.050397	0.050424	0.029213	0.043153	0.042992	0.042242	0.076089	0.14728	0.044051	0.052467	0.038286	0.044333	0.087678	0.040224	0.041039	0.047557	0.043199	0.045012	0.03661	0.62275	0.04693	0.084146	0.11007	0.063491	0.043576	0.050294	0.041987	0.055646	0.049158	0.059979	0.057177	0.044985
Meth__cg12792011__ZNF329	0.026352	0.032072	0.033866	0.0277	0.018067	0.025246	0.031036	0.048651	0.025487	0.020528	0.023515	0.1117	0.015433	0.027302	0.68885	0.020008	0.03194	0.019725	0.026012	0.017822	0.027884	0.022762	0.025487	0.050313	0.022456	0.4366	0.027641	0.025499	0.047543	0.02603	0.029771	0.024854	0.026873	0.01252	0.016365	0.02195	0.065817	0.95307
Meth__cg13518327__THRB	0.075853	0.085283	0.065043	0.08374	0.077158	0.38795	0.071211	0.32192	0.060174	0.075873	0.07304	0.073924	0.074577	0.12758	0.067108	0.065538	0.53712	0.060894	0.08515	0.6164	0.20695	0.066553	0.055763	0.070182	0.065271	0.71853	0.07575	0.09717	0.15374	0.11512	0.066437	0.058679	0.085326	0.59407	0.070221	0.064935	0.12336	0.070291
Meth__cg27420123__FSHB	0.19518	0.046391	0.045281	0.18074	0.072032	0.10625	0.28062	0.098658	0.33875	0.79805	0.49003	0.21939	0.20453	0.085838	0.65105	0.55915	0.30356	0.056456	0.12506	0.069784	0.071902	0.060864	0.15558	0.08844	0.26389	0.13556	0.1516	0.085803	0.084207	0.082905	0.57119	0.67913	0.065071	0.077301	0.048142	0.057132	0.082749	0.089321
Meth__cg24762359__ATP12A	0.043633	0.045777	0.064687	0.053002	0.050961	0.79009	0.05965	0.72965	0.065101	0.02265	0.051203	0.17341	0.087469	0.11009	0.09274	0.047168	0.065885	0.17718	0.088496	0.067723	0.063903	0.045648	0.089839	0.07127	0.036964	0.71291	0.049236	0.11735	0.28779	0.07663	0.069001	0.088918	0.13563	0.095107	0.047	0.14606	0.10189	0.044759
Meth__cg00465284__LRRTM1	0.051453	0.030711	0.86411	0.95856	0.058007	0.93392	0.95895	0.90386	0.95553	0.038988	0.062368	0.9649	0.9535	0.65344	0.72231	0.25714	0.54288	0.089541	0.045462	0.032609	0.96376	0.93361	0.50898	0.32315	0.41446	0.90198	0.47688	0.089411	0.92502	0.0514	0.033738	0.038361	0.38792	0.4224	0.039933	0.95976	0.22602	0.72524
Meth__cg10893007__NBR2	0.045623	0.062044	0.076095	0.052174	0.027837	0.036716	0.053785	0.10182	0.049216	0.065153	0.033242	0.048729	0.045973	0.093893	0.024943	0.053725	0.027689	0.75046	0.094503	0.046456	0.029181	0.051701	0.48339	0.040232	0.040941	0.077253	0.074286	0.06567	0.12906	0.13944	0.048365	0.051104	0.065447	0.075713	0.044578	0.054737	0.088542	0.049369
Meth__cg03809891__ZNF442	0.0615	0.036704	0.040639	0.028202	0.044859	0.02521	0.033902	0.035331	0.91985	0.034977	0.042103	0.034236	0.019071	0.062547	0.031967	0.029877	0.25224	0.022149	0.045813	0.038526	0.027017	0.1284	0.034108	0.027235	0.025766	0.33109	0.039037	0.060401	0.18776	0.11737	0.032398	0.32604	0.031022	0.045428	0.029351	0.048477	0.035787	0.044676
Meth__cg04402875__RET	0.052179	0.053728	0.16618	0.068359	0.036836	0.6623	0.044056	0.54597	0.23264	0.10544	0.041667	0.046739	0.035785	0.51306	0.037785	0.043038	0.041128	0.046092	0.083253	0.028	0.034929	0.054758	0.039371	0.037022	0.030634	0.88035	0.063895	0.059654	0.054995	0.067202	0.042701	0.11571	0.055698	0.041262	0.038026	0.032864	0.14683	0.039883
Meth__cg01962826__GRM4	0.089279	0.041097	0.47919	0.91302	0.85921	0.16539	0.36231	0.80337	0.61775	0.066617	0.10677	0.56963	0.87606	0.67403	0.05137	0.28991	0.39556	0.3827	0.18528	0.032925	0.82683	0.49211	0.93213	0.81244	0.66667	0.55652	0.69927	0.16187	0.91452	0.096121	0.12707	0.12124	0.036327	0.83718	0.037829	0.76304	0.041152	0.2542
Meth__cg26624118__SLC43A1	0.056489	0.058664	0.58778	0.1577	0.17923	0.048167	0.20732	0.080692	0.10518	0.055873	0.074709	0.070038	0.10673	0.41494	0.056206	0.1699	0.28893	0.05419	0.10832	0.042796	0.071443	0.077279	0.075353	0.065391	0.08084	0.12874	0.067129	0.063667	0.17079	0.13241	0.054404	0.11457	0.051943	0.081882	0.047327	0.79098	0.2186	0.25335
Meth__cg19400725__RILP	0.050873	0.05533	0.069845	0.058433	0.032847	0.052317	0.063923	0.055201	0.088015	0.049619	0.051508	0.93571	0.066672	0.072955	0.059447	0.51228	0.057292	0.072454	0.087452	0.052156	0.056104	0.067755	0.046105	0.065922	0.061225	0.10706	0.076119	0.048527	0.11262	0.086853	0.049216	0.047536	0.032835	0.051984	0.057946	0.046145	0.16551	0.095279
Meth__cg07637239__KCNK18	0.89531	0.027951	0.82638	0.88551	0.83159	0.12817	0.64108	0.11634	0.53946	0.42794	0.45269	0.63835	0.41311	0.24382	0.034483	0.37585	0.3801	0.85057	0.073238	0.037095	0.81849	0.79132	0.090987	0.053188	0.94385	0.10905	0.53359	0.051062	0.41076	0.10317	0.049801	0.3717	0.036266	0.36402	0.037322	0.068764	0.18325	0.48895
Meth__cg18282619__ZNF706	0.061461	0.054315	0.075587	0.043639	0.028528	0.043568	0.044805	0.21456	0.029772	0.086084	0.047897	0.033379	0.052023	0.088145	0.038923	0.054564	0.038326	0.042438	0.055603	0.038025	0.028788	0.029022	0.06465	0.031812	0.038939	0.081479	0.057284	0.15983	0.064303	0.085722	0.034538	0.045635	0.051356	0.092538	0.039488	0.051941	0.12481	0.062739
Meth__cg25093045__FLJ46481	0.10205	0.032211	0.88853	0.35298	0.5327	0.067861	0.38321	0.18789	0.83974	0.031731	0.76777	0.52014	0.26509	0.50292	0.028019	0.030169	0.22574	0.33483	0.17331	0.030835	0.59805	0.44765	0.9276	0.053784	0.75588	0.074183	0.59426	0.050382	0.36629	0.071114	0.027496	0.033277	0.036804	0.03436	0.030412	0.30744	0.15661	0.26481
Meth__cg04589904__ADRB1	0.047455	0.93216	0.14931	0.068982	0.49876	0.35488	0.43703	0.33696	0.043949	0.77546	0.43806	0.059447	0.060245	0.67706	0.049374	0.6764	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.41958	0.065403	0.11979	0.055497	0.065796	0.9044	0.82007	0.075616	0.88029	0.11783	0.62189	0.11626	0.85841	0.080198	0.17425
Meth__cg17554194__HLA-B	0.10247	0.03202	0.11165	0.059033	0.048618	0.06445	0.15732	0.1486	0.49103	0.34469	0.052322	0.048601	0.08898	0.22561	0.036872	0.28195	0.13717	0.035221	0.080482	0.03587	0.094621	0.18353	0.10435	0.53313	0.54324	0.13038	0.041879	0.039115	0.05747	0.064633	0.12306	0.03614	0.19347	0.077293	0.042605	0.079995	0.34495	0.15406
Meth__cg20119015__CENTD1	0.09265	0.065147	0.10319	0.10923	0.067954	0.25276	0.091086	0.16644	0.055253	0.11012	0.096413	0.090718	0.075823	0.13874	0.043258	0.086196	0.096604	0.071329	0.10903	0.060728	0.060719	0.096749	0.084022	0.093526	0.060628	0.13066	0.073989	0.13817	0.17364	0.15236	0.067225	0.070761	0.09115	0.057306	0.059883	0.59886	0.11835	0.090866
Meth__cg26152597__ZBTB20	0.062711	0.063606	0.056632	0.060173	0.055872	0.055495	0.068042	0.092047	0.048612	0.064074	0.048747	0.046143	0.056465	0.52575	0.041054	0.071562	0.047762	0.061955	0.064403	0.051041	0.056353	0.078266	0.056685	0.064754	0.043598	0.084863	0.064015	0.078996	0.11545	0.10211	0.0541	0.055001	0.076291	0.079377	0.038665	0.063269	0.10371	0.056477
Meth__cg17296078__UBTD1	0.042608	0.90896	0.077569	0.94971	0.81039	0.028461	0.73245	0.11408	0.62164	0.048162	0.57498	0.041958	0.064178	0.11947	0.055525	0.051733	0.10784	0.031397	0.051926	0.028348	0.93434	0.89476	0.94691	0.034493	0.87553	0.61842	0.88291	0.1149	0.1481	0.89471	0.48093	0.031497	0.049809	0.14496	0.061032	0.85363	0.10777	0.29837
Meth__cg19055231__STAC	0.76327	0.065162	0.039476	0.92712	0.13442	0.038438	0.92847	0.034857	0.023621	0.050088	0.089373	0.90614	0.053059	0.10935	0.92654	0.051187	0.49542	0.040867	0.089246	0.029941	0.35623	0.40602	0.29855	0.081727	0.92573	0.09228	0.63863	0.10303	0.86768	0.29445	0.068551	0.030101	0.032966	0.91124	0.088744	0.6006	0.055533	0.93164
Meth__cg01851399__PKP2	0.054199	0.037204	0.056183	0.050078	0.030731	0.85238	0.044428	0.06203	0.032354	0.063067	0.06194	0.047875	0.11162	0.15477	0.041352	0.065593	0.047652	0.26211	0.10894	0.56663	0.034991	0.043366	0.040078	0.18541	0.040408	0.064107	0.052345	0.070875	0.072304	0.092886	0.068659	0.034593	0.26088	0.036256	0.028725	0.076885	0.06226	0.049752
Meth__cg12718440__C10orf83	0.070428	0.071226	0.11376	0.073556	0.067195	0.62415	0.077099	0.3878	0.046395	0.062352	0.052858	0.08284	0.046733	0.84986	0.035864	0.078865	0.066446	0.077535	0.1394	0.13775	0.060195	0.051243	0.2451	0.10024	0.045365	0.22888	0.06506	0.082797	0.11169	0.092462	0.052143	0.066639	0.067189	0.13466	0.061298	0.049862	0.1027	0.056531
Meth__cg14844130__VPREB1	0.29641	0.048397	0.3718	0.53914	0.41014	0.051145	0.13786	0.13178	0.19669	0.27951	0.18341	0.086059	0.32712	0.197	0.050626	0.18069	0.12585	0.25547	0.078659	0.03415	0.38864	0.30154	0.8197	0.071214	0.80661	0.11526	0.11143	0.064155	0.12614	0.11881	0.036022	0.071231	0.057661	0.078912	0.062373	0.10701	0.094616	0.092254
Meth__cg19626078__KNDC1	0.054987	0.03652	0.081975	0.071466	0.045098	0.048651	0.065951	0.042194	0.093168	0.056661	0.0519	0.95812	0.61269	0.11925	0.038163	0.066328	0.12997	0.060097	0.073171	0.037598	0.05064	0.045738	0.045664	0.051663	0.085291	0.17112	0.086204	0.1744	0.95312	0.057941	0.085298	0.05056	0.040842	0.04886	0.043847	0.042937	0.064038	0.065576
Meth__cg27132814__C20orf79	0.51757	0.051434	0.56885	0.79757	0.68384	0.051717	0.34161	0.21536	0.87841	0.89837	0.46006	0.25412	0.6612	0.3957	0.051443	0.79917	0.56897	0.25382	0.36356	0.044186	0.5387	0.57262	0.71461	0.069459	0.89586	0.066365	0.18178	0.10308	0.2409	0.087176	0.090596	0.37188	0.086993	0.48375	0.050194	0.23175	0.16645	0.26514
Meth__cg03270167__RAMP1	0.52447	0.059941	0.62502	0.91555	0.095491	0.772	0.57585	0.91444	0.97084	0.24927	0.063973	0.1607	0.86305	0.86414	0.090438	0.18147	0.93742	0.049743	0.11734	0.90325	0.46677	0.057863	0.95774	0.44283	0.83398	0.20822	0.92618	0.050847	0.73866	0.091022	0.94538	0.033564	0.089207	0.93249	0.62604	0.92856	0.20902	0.59211
Meth__cg27190537__SUMF2	0.050167	0.038494	0.032467	0.03068	0.043417	0.036197	0.051945	0.084823	0.026345	0.037886	0.040559	0.059163	0.065192	0.060819	0.028242	0.03874	0.038996	0.038659	0.071098	0.056837	0.036301	0.052353	0.052021	0.034203	0.11005	0.11241	0.047727	0.1075	0.1349	0.052004	0.044893	0.033175	0.057466	0.046339	0.85029	0.051111	0.058966	0.053427
Meth__cg25473396__MPG	0.22116	0.38866	0.61936	0.617	0.43326	0.70085	0.40837	0.027057	0.031927	0.5742	0.5083	0.16368	0.17392	0.32445	0.93672	0.51468	0.11679	0.050247	0.10385	0.015296	0.21512	0.33065	0.71829	0.034695	0.5937	0.032377	0.65229	0.27277	0.79813	0.43867	0.022141	0.016362	0.014739	0.089029	0.063592	0.17705	0.1831	0.41193
Meth__cg24838010__SLC26A11	0.045369	0.043678	0.38366	0.080653	0.027524	0.050659	0.061192	0.86421	0.84472	0.036511	0.32794	0.049852	0.74233	0.31811	0.030673	0.043237	0.07811	0.097455	0.72459	0.17316	0.033988	0.05	0.033958	0.14231	0.046223	0.81635	0.041175	0.062295	0.070986	0.038888	0.036295	0.75871	0.83486	0.059154	0.032342	0.034056	0.079325	0.033385
Meth__cg04072323__SKIP	0.88689	0.028335	0.91524	0.91358	0.32068	0.90501	0.89998	0.093651	0.62355	0.066119	0.060612	0.90847	0.14957	0.72901	0.64143	0.13411	0.87837	0.15339	0.094747	0.11595	0.70091	0.66166	0.57377	0.042592	0.89506	0.85324	0.57021	0.12044	0.83308	0.12888	0.059529	0.084511	0.092319	0.23877	0.048071	0.80104	0.10335	0.86247
Meth__cg06456031__FLJ11000	0.092898	0.064077	0.075478	0.099291	0.074112	0.8554	0.085895	0.3489	0.8686	0.36127	0.081578	0.092923	0.10959	0.12865	0.04847	0.32163	0.79726	0.17039	0.12548	0.26549	0.072659	0.08759	0.13421	0.075789	0.049968	0.11257	0.080563	0.14547	0.19788	0.071909	0.45786	0.87439	0.092658	0.086778	0.082507	0.1192	0.10499	0.089524
Meth__cg06196379__TREM1	0.14161	0.26734	0.8738	0.79891	0.67663	0.040308	0.41866	0.17272	0.66359	0.68628	0.69373	0.44526	0.75107	0.51084	0.032525	0.72525	0.40988	0.74308	0.11004	0.021995	0.49712	0.43676	0.83426	0.097922	0.28294	0.0866	0.55806	0.050501	0.52635	0.27158	0.028516	0.043436	0.037478	0.58869	0.12573	0.29627	0.22799	0.22286
Meth__cg19162106__GPC5	0.071957	0.07069	0.95398	0.059566	0.032277	0.82858	0.67915	0.17068	0.061404	0.046823	0.077393	0.091127	0.071687	0.84584	0.97966	0.040926	0.041378	0.7838	0.16999	0.20951	0.063946	0.071845	0.069731	0.042082	0.03711	0.19894	0.066165	0.37085	0.83092	0.067687	0.051382	0.04336	0.071354	0.062014	0.038109	0.078686	0.95749	0.058322
Meth__cg19803984__SNRPN	0.91735	0.035401	0.27351	0.94727	0.044967	0.28995	0.9018	0.17237	0.85965	0.87738	0.06949	0.71909	0.47013	0.1563	0.85265	0.77396	0.31977	0.36252	0.084808	0.044217	0.067084	0.12952	0.18273	0.073982	0.44604	0.18882	0.8846	0.062084	0.76663	0.050456	0.069516	0.052778	0.071532	0.085922	0.065363	0.088879	0.21584	0.10863
Meth__cg15210427__CST9L	0.89454	0.22279	0.83429	0.89698	0.78067	0.028283	0.39384	0.023089	0.057645	0.10265	0.68244	0.12458	0.56696	0.41427	0.029804	0.11849	0.079038	0.12768	0.061728	0.030258	0.7802	0.823	0.94388	0.033912	0.93696	0.031235	0.49292	0.58551	0.028298	0.13013	0.04177	0.034676	0.048325	0.78658	0.035733	0.14042	0.37707	0.48963
Meth__cg04044684__CHFR	0.04995	0.42412	0.069051	0.11607	0.04252	0.89939	0.04607	0.49876	0.12651	0.07423	0.038865	0.041684	0.1526	0.72711	0.031036	0.070666	0.19334	0.038032	0.10799	0.36815	0.038409	0.040811	0.11521	0.064897	0.038508	0.70976	0.058024	0.064831	0.099366	0.18874	0.034747	0.1116	0.81699	0.044138	0.092621	0.18867	0.11398	0.07824
Meth__cg03086857__EDNRB	0.90774	0.040041	0.35006	0.92459	0.7845	0.48191	0.91146	0.52623	0.91971	0.60107	0.049301	0.90535	0.30949	0.27958	0.27518	0.29104	0.74718	0.11271	0.11388	0.034773	0.19739	0.26901	0.33794	0.081535	0.95136	0.90313	0.92012	0.081457	0.26886	0.19462	0.035997	0.038259	0.93351	0.89502	0.030776	0.20729	0.090275	0.82597
Meth__cg26699283__AMID	0.06004	0.12332	0.076164	0.4888	0.67209	0.51629	0.074004	0.067885	0.046744	0.14331	0.65482	0.92649	0.24002	0.68054	0.89708	0.17076	0.077443	0.051141	0.1245	0.048211	0.088562	0.068913	0.42729	0.4727	0.2533	0.082483	0.074588	0.06423	0.33788	0.15129	0.42232	0.31424	0.042614	0.93158	0.039338	0.049921	0.8139	0.10381
Meth__cg04837997__AP3S2	0.027103	0.028647	0.024358	0.024166	0.028266	0.043764	0.028977	0.11794	0.067453	0.063435	0.034857	0.032143	0.030921	0.063525	0.031647	0.065319	0.031915	0.024127	0.046827	0.038991	0.019799	0.038197	0.042372	0.034771	0.028743	0.26696	0.029099	0.027073	0.06889	0.046643	0.027605	0.025535	0.12624	0.039935	0.036761	0.040939	0.047368	0.031922
Meth__cg15272690__HSPC065	0.056936	0.051312	0.069625	0.065065	0.042613	0.43704	0.064427	0.037602	0.10589	0.06162	0.0517	0.064937	0.044193	0.065223	0.038474	0.06119	0.056223	0.2597	0.14925	0.050375	0.05047	0.061447	0.063055	0.050345	0.05812	0.24119	0.048495	0.11723	0.12799	0.12834	0.047825	0.07368	0.065673	0.077598	0.048713	0.053762	0.14165	0.052405
Meth__cg19764407__CDKN2B	0.064621	0.048487	0.3241	0.086972	0.049597	0.055226	0.057417	0.068457	0.045894	0.041258	0.047717	0.040945	0.046558	0.11352	0.041602	0.04589	0.042151	0.28455	0.11485	0.05587	0.05026	0.073166	0.04883	0.050618	0.038592	0.42566	0.093451	0.12123	0.11676	0.075169	0.23922	0.21578	0.11861	0.059073	0.0487	0.0421	0.08148	0.059308
Meth__cg22740783__CGREF1	0.14409	0.067183	0.8973	0.5419	0.18843	0.74918	0.61844	0.80058	0.67328	0.087258	0.34826	0.23817	0.6774	0.82585	0.48678	0.080945	0.63247	0.046464	0.13687	0.041588	0.44046	0.049205	0.76791	0.76971	0.23774	0.74728	0.77275	0.15013	0.19346	0.10243	0.095652	0.05266	0.08914	0.59054	0.43329	0.28795	0.13628	0.54461
Meth__cg07826255__SGCA	0.12084	0.13586	0.18578	0.37489	0.133	0.32957	0.1215	0.15059	0.43688	0.2815	0.11288	0.22782	0.43508	0.18446	0.044563	0.20495	0.14602	0.096187	0.19176	0.087977	0.18765	0.11497	0.70799	0.38558	0.54626	0.093098	0.12479	0.09612	0.23299	0.20104	0.044899	0.08299	0.08604	0.13116	0.14792	0.15485	0.12377	0.080553
Meth__cg04609859__HOXB4	0.93434	0.03755	0.044684	0.64059	0.036734	0.031238	0.82236	0.11576	0.87354	0.48533	0.42034	0.32749	0.94638	0.73548	0.16273	0.41116	0.11962	0.030202	0.074571	0.44629	0.89809	0.69944	0.30421	0.28431	0.94034	0.75829	0.63583	0.04459	0.48567	0.070417	0.29009	0.036709	0.21774	0.38674	0.043763	0.048776	0.72442	0.47201
Meth__cg09146695__LEF1	0.070533	0.055806	0.23805	0.062928	0.054207	0.81078	0.063236	0.28404	0.057627	0.056393	0.05299	0.050982	0.038734	0.16538	0.051988	0.063566	0.059044	0.057906	0.19928	0.05163	0.057019	0.10165	0.044202	0.077701	0.047051	0.20767	0.075889	0.13036	0.15056	0.085915	0.043407	0.054221	0.068213	0.05358	0.052103	0.06466	0.068826	0.072622
Meth__cg04739570__PODXL2	0.066825	0.058281	0.60351	0.069193	0.044006	0.67678	0.67613	0.86933	0.052799	0.065917	0.084987	0.055498	0.61847	0.79551	0.0417	0.052468	0.11182	0.55203	0.18264	0.32317	0.71109	0.28045	0.060963	0.8478	0.097177	0.84827	0.73387	0.12336	0.89681	0.098513	0.062706	0.36705	0.083231	0.10311	0.071464	0.070805	0.12386	0.058443
Meth__cg09204187__FLJ14346	0.28527	0.33077	0.85601	0.79095	0.32857	0.051261	0.11141	0.15697	0.043721	0.52666	0.56877	0.032864	0.78793	0.20076	0.91657	0.5149	0.075583	0.058749	0.099806	0.23236	0.55673	0.33261	0.24761	0.59085	0.89659	0.06706	0.40741	0.11229	0.30048	0.49272	0.032698	0.039689	0.060331	0.74909	0.45811	0.036196	0.25966	0.11231
Meth__cg07443748__CESK1	0.88322	0.12393	0.65753	0.84947	0.55211	0.052044	0.71624	0.088641	0.48532	0.16396	0.61206	0.69543	0.14883	0.098286	0.041842	0.20245	0.44559	0.60145	0.02948	0.031988	0.83568	0.83665	0.04405	0.1331	0.92652	0.03965	0.64572	0.079212	0.11724	0.052074	0.078189	0.045546	0.11852	0.85878	0.15757	0.16906	0.18858	0.61666
Meth__cg18638496__FGF5	0.080441	0.055192	0.8306	0.1352	0.053736	0.054837	0.51674	0.081153	0.28256	0.068265	0.073458	0.26869	0.9169	0.48878	0.24531	0.063372	0.085507	0.25397	0.11172	0.047647	0.85925	0.9206	0.60978	0.060338	0.33424	0.081389	0.48876	0.076332	0.85712	0.080419	0.04913	0.060035	0.048347	0.044801	0.092707	0.8228	0.79413	0.37858
Meth__cg09360654__MUTYH	0.13669	0.072242	0.085718	0.64848	0.29374	0.07973	0.26931	0.15173	0.10703	0.27945	0.34488	0.065452	0.61886	0.15197	0.082192	0.27735	0.12243	0.07476	0.12868	0.060982	0.12277	0.20638	0.53544	0.38716	0.27596	0.16635	0.17191	0.30443	0.10927	0.15336	0.061424	0.055745	0.11895	0.068436	0.079153	0.084842	0.17645	0.074068
Meth__cg24765079__CDH1	0.032984	0.44751	0.01587	0.020128	0.01495	0.95691	0.016003	0.95764	0.022096	0.019466	0.015585	0.026203	0.028475	0.022511	0.017336	0.029217	0.025792	0.6555	0.027684	0.26161	0.012174	0.021828	0.025896	0.96518	0.012193	0.93287	0.018492	0.027533	0.046969	0.59897	0.03232	0.012272	0.54377	0.027506	0.012658	0.016177	0.025431	0.011449
Meth__cg07243519__UFM1	0.040736	0.035878	0.033767	0.035927	0.029889	0.027057	0.035055	0.071117	0.020399	0.039735	0.050752	0.059813	0.054184	0.082474	0.025421	0.037316	0.034058	0.033156	0.097866	0.49217	0.026754	0.030835	0.043101	0.046438	0.031828	0.077534	0.038381	0.044615	0.060903	0.07628	0.029865	0.035185	0.043742	0.02787	0.040706	0.042144	0.092969	0.037058
Meth__cg02528468__ATP11B	0.047581	0.081499	0.046152	0.21768	0.61569	0.042253	0.31367	0.031198	0.047508	0.045569	0.07591	0.047215	0.021558	0.066048	0.49743	0.053686	0.040172	0.035449	0.092487	0.046483	0.050454	0.042733	0.66459	0.049894	0.043758	0.094901	0.052083	0.074088	0.17117	0.2377	0.046464	0.035576	0.034732	0.26334	0.043795	0.038881	0.6315	0.080511
