Cell lines	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg08210616__ZNF502	0.071199	0.83655	0.27249	0.31149	0.8168	0.86536	0.39156	0.83127	0.63679	0.62838	0.082533	0.20359	0.23818	0.071943	0.75719	0.59422	0.25855	0.4459	0.53921	0.083609	0.58191	0.19133	0.092692	0.28857	0.38156	0.28897	0.17659
Meth__cg25766046__ROR2	0.067673	0.58464	0.059433	0.9783	0.56496	0.078498	0.088808	0.69946	0.66671	0.59906	0.064875	0.08094	0.17866	0.10204	0.82514	0.58312	0.45415	0.41851	0.94328	0.046652	0.060775	0.25959	0.37691	0.02841	0.046673	0.040112	0.044992
Meth__cg09717545__KISS1R	0.14981	0.46507	0.057166	0.30306	0.22449	0.68559	0.15493	0.94985	0.77231	0.1312	0.94259	0.13281	0.20515	0.44505	0.72296	0.22012	0.22793	0.19202	0.88931	0.15292	0.28545	0.20951	0.087722	0.68012	0.09944	0.3763	0.10577
Meth__cg20580177__LRFN3	0.039341	0.63636	0.20963	0.12578	0.088625	0.1186	0.33193	0.075067	0.18515	0.30243	0.21205	0.60738	0.35619	0.066698	0.64363	0.38144	0.077489	0.11057	0.38579	0.83584	0.107	0.06829	0.054188	0.072782	0.11991	0.21318	0.077385
Meth__cg21039631__CD58	0.13439	0.21295	0.53791	0.37054	0.52876	0.048417	0.18618	0.37086	0.045403	0.031703	0.12084	0.26389	0.0362	0.3026	0.16322	0.032422	0.4367	0.16627	0.039522	0.047417	0.03824	0.45474	0.23446	0.3644	0.041597	0.4901	0.61963
Meth__cg07639720__BNC1	0.15118	0.18854	0.50791	0.33556	0.86212	0.84776	0.8318	0.60121	0.45326	0.084565	0.14814	0.035921	0.075965	0.22299	0.49725	0.78595	0.42252	0.57083	0.83083	0.60236	0.29475	0.14946	0.19236	0.17807	0.075212	0.24006	0.20858
Meth__cg00187380__HOXC5	0.059799	0.030275	0.89137	0.57297	0.47585	0.043439	0.051731	0.04396	0.72613	0.029504	0.9002	0.033419	0.8742	0.046594	0.031791	0.053287	0.34487	0.81231	0.44335	0.04274	0.090641	0.088631	0.87407	0.9047	0.8965	0.7538	0.90023
Meth__cg24054653__C1GALT1C1	0.020904	0.017411	0.53549	0.011924	0.018406	0.27417	0.016235	0.015724	0.029525	0.024633	0.13102	0.5915	0.066887	0.015464	0.012625	0.017462	0.57801	0.51316	0.051384	0.020691	0.31952	0.066806	0.52826	0.2438	0.62964	0.49095	0.016018
Meth__cg26551843__RPS6KL1	0.041156	0.047187	0.042974	0.042429	0.045228	0.24348	0.050692	0.78221	0.74692	0.035152	0.075109	0.039093	0.088331	0.070789	0.045614	0.049128	0.050551	0.040293	0.062549	0.16214	0.085059	0.076859	0.042084	0.045145	0.046523	0.040208	0.046512
Meth__cg19786920__FLJ14001	0.70646	0.30985	0.30841	0.86979	0.75015	0.088742	0.20254	0.20117	0.31142	0.070808	0.10999	0.10463	0.15839	0.15064	0.090183	0.12138	0.7741	0.35932	0.23716	0.094129	0.13601	0.3425	0.8925	0.89783	0.083211	0.69196	0.90538
RS_G17301__KRT17__KRT17	2.3353	2.1138	5.2677	2.8894	1.9821	13.2654	1.7849	4.7247	9.171	5.215	13.8349	0	9.2183	4.3464	7.482	1.5306	0.60515	13.2263	1.9	4.2829	5.4408	0.99742	3.7136	0.35345	3.5577	2.8037	1.9077
Meth__cg16621987__DGCR2	0.040078	0.19273	0.034397	0.049759	0.05027	0.066188	0.044764	0.21961	0.058494	0.026713	0.054659	0.056902	0.069101	0.022466	0.1634	0.13746	0.035707	0.066731	0.078511	0.13604	0.096906	0.026893	0.043153	0.18074	0.022947	0.035284	0.039016
Meth__cg02764897__KRTAP13-1	0.099792	0.73457	0.37666	0.069961	0.628	0.87395	0.12011	0.56667	0.23984	0.55132	0.50193	0.061673	0.19529	0.1469	0.07763	0.14631	0.099328	0.15364	0.099395	0.17239	0.15216	0.22203	0.059292	0.13952	0.087845	0.20924	0.27829
Meth__cg07422345__CEBPA	0.036282	0.060622	0.037028	0.048003	0.069728	0.10616	0.047873	0.061735	0.15704	0.027141	0.045551	0.054136	0.11058	0.081947	0.035998	0.095581	0.048362	0.037286	0.35024	0.10097	0.091598	0.072714	0.047538	0.032239	0.042589	0.035207	0.037893
Meth__cg13950558__BLOC1S3	0.052052	0.14282	0.12053	0.19013	0.17053	0.17899	0.19968	0.073847	0.22522	0.10818	0.25812	0.12371	0.10276	0.057326	0.10871	0.083731	0.19809	0.30502	0.84681	0.13787	0.065945	0.10894	0.061432	0.032413	0.10634	0.075351	0.055734
RS_G1328__ADD2__ADD2	0.2254	0.4463	0.25086	0	0.13381	6.7679	4.9889	4.1361	0.33157	0	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	0	4.463	0.073313	0.089001	0.18417	0
Meth__cg26632776__LRRC3	0.050458	0.076557	0.035111	0.052941	0.50894	0.15874	0.045936	0.05889	0.33486	0.43561	0.046961	0.082168	0.10659	0.16522	0.045921	0.076161	0.03683	0.060009	0.78943	0.060174	0.13174	0.11283	0.04724	0.037341	0.051073	0.047763	0.048437
Meth__cg03883348__KLC3	0.042558	0.75109	0.12148	0.72197	0.20696	0.13963	0.24703	0.53574	0.25453	0.069762	0.154	0.37459	0.11948	0.40407	0.23669	0.090816	0.11866	0.046688	0.50006	0.49828	0.10397	0.063822	0.073966	0.057385	0.042099	0.2309	0.10165
Meth__cg27092035__ARL10	0.067793	0.85203	0.32766	0.040972	0.59624	0.06741	0.8727	0.87907	0.93513	0.57341	0.90462	0.062879	0.22191	0.029583	0.96244	0.92796	0.48795	0.288	0.91342	0.62491	0.87819	0.15939	0.043555	0.94684	0.077733	0.089166	0.073331
Meth__cg00877887__LOC405753	0.023047	0.78259	0.064428	0.54114	0.079194	0.50183	0.79216	0.72197	0.70782	0.056839	0.15502	0.0948	0.023217	0.033917	0.87375	0.84571	0.42371	0.91428	0.59616	0.50494	0.59138	0.033354	0.04473	0.1135	0.33781	0.42453	0.26479
Meth__cg00806490__CDH13	0.075245	0.87733	0.342	0.93061	0.54065	0.83611	0.40449	0.95531	0.72278	0.56569	0.5875	0.792	0.10568	0.088401	0.67143	0.53704	0.24675	0.36749	0.95535	0.85437	0.94824	0.11818	0.10165	0.16312	0.079313	0.33494	0.075484
Meth__cg01805540__CACNB2	0.02738	0.9699	0.01655	0.028852	0.51156	0.5614	0.046834	0.62556	0.72104	0.15695	0.03808	0.021279	0.063798	0.056028	0.026081	0.35864	0.055334	0.024224	0.95892	0.89087	0.93058	0.051593	0.031119	0.97042	0.02946	0.025316	0.02553
Meth__cg08062469__SPAG5	0.031273	0.037482	0.0284	0.035816	0.0385	0.32718	0.048855	0.036798	0.12629	0.021773	0.043773	0.030535	0.10762	0.033803	0.041228	0.039482	0.045932	0.051643	0.10441	0.69303	0.076987	0.067408	0.027481	0.020385	0.033751	0.064248	0.036638
Meth__cg05045781__FHL3	0.059329	0.40637	0.13797	0.21844	0.11833	0.17362	0.25619	0.089823	0.14809	0.24726	0.10335	0.14557	0.13788	0.12676	0.11995	0.29767	0.13443	0.30142	0.40821	0.08839	0.074345	0.1155	0.054221	0.087396	0.13832	0.11363	0.11984
Meth__cg03679734__CKMT1B	0.042737	0.84522	0.077657	0.57647	0.49875	0.36364	0.37833	0.42739	0.34659	0.68434	0.6795	0.053665	0.057525	0.039051	0.60022	0.67905	0.14789	0.054969	0.14196	0.73097	0.87784	0.19427	0.052467	0.036947	0.073032	0.063778	0.059853
Meth__cg07330329__TRIM48	0.065597	0.39617	0.12532	0.062487	0.41774	0.1816	0.080043	0.44044	0.07149	0.122	0.077626	0.054476	0.19588	0.12098	0.125	0.15743	0.13627	0.3495	0.10679	0.18739	0.10526	0.082513	0.086803	0.091285	0.048917	0.21578	0.2038
RS_G269__PRSS3__PRSS3	0.82397	0	0	0	0	1.1189	0.31429	3.9888	1.0975	0	4.0374	0	3.7863	0.24885	0.22944	0	0	0.49577	7.8197	0.50247	0.96621	0	0	0	3.8493	0	0
Meth__cg11538128__ZNF354C	0.039662	0.42772	0.023673	0.026538	0.92049	0.29691	0.042473	0.034506	0.76748	0.12697	0.028823	0.025579	0.081885	0.037631	0.24824	0.35578	0.741	0.027479	0.83853	0.85919	0.087925	0.083617	0.032161	0.26094	0.037876	0.033754	0.047652
Meth__cg24884084__SPRR1B	0.042383	0.35597	0.18739	0.051433	0.090595	0.72339	0.080472	0.062671	0.47324	0.040528	0.071565	0.062283	0.12855	0.059441	0.12311	0.14245	0.071857	0.64201	0.095248	0.090493	0.078917	0.061117	0.051745	0.055212	0.3535	0.080445	0.080071
Meth__cg07031996__MTF1	0.039499	0.44024	0.10082	0.047448	0.2619	0.23157	0.18537	0.14455	0.097303	0.049571	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.90034	0.37892	0.15474	0.29812	0.06485	0.02577	0.1262	0.050524	0.15297	0.067504
Meth__cg12195695__ARMC7	0.068169	0.22149	0.070468	0.076766	0.057034	0.061632	0.12764	0.068182	0.11492	0.49989	0.12653	0.10305	0.084741	0.11416	0.076831	0.055268	0.091949	0.38701	0.499	0.27403	0.10183	0.32087	0.03865	0.049599	0.058731	0.046432	0.057751
Meth__cg09263755__CCT6B	0.043567	0.052295	0.045881	0.041318	0.055883	0.12346	0.061401	0.044884	0.048878	0.034701	0.055872	0.031276	0.072033	0.047888	0.041723	0.087788	0.036556	0.064712	0.35808	0.039602	0.10445	0.068878	0.037898	0.034934	0.047047	0.043632	0.040131
RS_G22203__AC068228.8__AC068228.8	3.9353	2.0361	0.41371	0	0.42214	0	1.8201	0	1.7286	1.8523	0.743	0	2.3202	0.24946	1.7006	1.2123	0	0.85055	0	1.6003	0.68164	0	0.38692	1.583	0	0	0
RS_G1513__PTPRH__PTPRH	4.9381	0.81529	4.0987	4.148	0.13715	3.7678	1.2026	3.5699	5.5253	2.6446	1.1762	1.6527	5.0929	3.5538	2.4093	0.67046	6.0085	2.5402	2.2747	0.48253	0	4.3622	8.1775	5.0748	2.1391	4.5197	5.4053
Meth__cg15534084__ZNF649	0.16107	0.1768	0.11398	0.090142	0.7291	0.60356	0.14071	0.27986	0.30303	0.10494	0.20793	0.11283	0.17528	0.21687	0.90452	0.80229	0.10891	0.16865	0.70985	0.19171	0.24873	0.21886	0.14647	0.24579	0.11292	0.21064	0.24302
Meth__cg06327515__PCDHB14	0.026111	0.57689	0.029439	0.91812	0.86716	0.93822	0.035597	0.2735	0.43971	0.40246	0.89387	0.61693	0.75171	0.023639	0.87937	0.22219	0.2516	0.9321	0.21208	0.4001	0.10413	0.084431	0.035547	0.7445	0.034697	0.10837	0.14709
Meth__cg00657582__CHD8	0.63826	0.41741	0.047593	0.058498	0.081652	0.12486	0.2823	0.055762	0.061737	0.34098	0.087675	0.065923	0.071042	0.74512	0.049156	0.069347	0.058543	0.23435	0.24151	0.16389	0.066585	0.33991	0.046336	0.055331	0.048537	0.065014	0.076076
Meth__cg17018517__ENTPD2	0.077471	0.30706	0.052983	0.90269	0.21618	0.23232	0.27286	0.18888	0.89553	0.068372	0.55633	0.26888	0.22567	0.25128	0.271	0.21747	0.15306	0.18594	0.75824	0.26412	0.15456	0.12619	0.11756	0.078325	0.44963	0.068577	0.073863
Meth__cg09472203__AP3B2	0.038143	0.044816	0.048083	0.038023	0.047212	0.056488	0.051626	0.046709	0.12245	0.048619	0.052829	0.041547	0.093085	0.36316	0.035337	0.04485	0.036818	0.039388	0.069654	0.04208	0.90271	0.065209	0.042317	0.033559	0.038146	0.037399	0.040672
Meth__cg16614500__TMEM80	0.093408	0.12939	0.067777	0.070142	0.11382	0.12094	0.095421	0.10607	0.20271	0.091408	0.14918	0.084519	0.15691	0.079477	0.095185	0.10058	0.068143	0.07785	0.092398	0.11784	0.075691	0.14347	0.054513	0.085268	0.058533	0.15687	0.13225
Meth__cg04688368__KCNMA1	0.083148	0.081713	0.064329	0.065887	0.096815	0.23114	0.07517	0.71577	0.2704	0.25695	0.092153	0.096959	0.19321	0.070239	0.13155	0.099244	0.09799	0.15577	0.75946	0.097687	0.12017	0.13525	0.078981	0.10085	0.086505	0.082975	0.094045
Meth__cg26478074__HSD17B12	0.017947	0.020452	0.19839	0.51815	0.35306	0.028726	0.018948	0.024171	0.030477	0.015363	0.018462	0.023297	0.029802	0.019164	0.016937	0.029923	0.96855	0.016458	0.065398	0.024858	0.058581	0.079137	0.01853	0.77344	0.024691	0.16389	0.68344
Meth__cg03933322__CSAD	0.18652	0.3121	0.061424	0.11079	0.2467	0.96276	0.16347	0.37706	0.13559	0.19238	0.057476	0.088347	0.30855	0.063844	0.18331	0.26353	0.25669	0.31524	0.10291	0.18069	0.23947	0.082491	0.16355	0.08012	0.073333	0.070257	0.17652
Meth__cg00050312__PRKCA	0.026335	0.032752	0.022563	0.017088	0.054169	0.032495	0.02704	0.032714	0.041956	0.11339	0.035035	0.035211	0.11514	0.02094	0.030118	0.043769	0.031691	0.025516	0.052639	0.028	0.67863	0.045687	0.018743	0.024301	0.027726	0.018902	0.019815
Meth__cg21224759__PIN4	0.097465	0.074761	0.34946	0.076505	0.074415	0.089047	0.091592	0.072021	0.098396	0.34665	0.15797	0.4107	0.30988	0.066562	0.064124	0.075813	0.47423	0.4564	0.094324	0.081046	0.21421	0.39924	0.070252	0.38302	0.43862	0.4302	0.075325
Meth__cg24391122__SNAPC2	0.13566	0.60953	0.11358	0.046018	0.22332	0.08064	0.1154	0.058081	0.32073	0.043602	0.12749	0.074011	0.19104	0.046888	0.36611	0.1531	0.075341	0.14684	0.15333	0.23106	0.108	0.14975	0.034824	0.13121	0.13402	0.078672	0.064999
Meth__cg00747849__SLC25A1	0.023187	0.042252	0.026043	0.023373	0.054563	0.047466	0.025988	0.029771	0.075034	0.032731	0.031517	0.02513	0.067394	0.019595	0.019432	0.031676	0.030983	0.031395	0.16555	0.029723	0.050055	0.040987	0.020396	0.019112	0.033107	0.025989	0.024948
Meth__cg16749578__NR2F6	0.13776	0.18009	0.040287	0.5636	0.40436	0.58969	0.19748	0.71566	0.35272	0.12162	0.77029	0.13821	0.17449	0.77832	0.34266	0.32035	0.14083	0.036552	0.24356	0.20468	0.53346	0.10127	0.6676	0.054052	0.041777	0.090986	0.077044
Meth__cg05898102__PCDHB10	0.019017	0.36453	0.036148	0.13926	0.076855	0.42496	0.036783	0.0363	0.09125	0.14923	0.39512	0.034811	0.11395	0.049024	0.038049	0.22219	0.064186	0.34984	0.067959	0.053056	0.13614	0.030311	0.18043	0.054175	0.052809	0.069337	0.031455
Meth__cg06186861__ZNF501	0.049734	0.79956	0.054842	0.91917	0.89038	0.9266	0.077431	0.87701	0.75688	0.37534	0.068877	0.067059	0.10883	0.056629	0.73613	0.46592	0.27569	0.066858	0.6073	0.44239	0.39256	0.07561	0.049744	0.094812	0.29549	0.089722	0.21957
Meth__cg20797766__PRSS27	0.071979	0.23743	0.11662	0.053177	0.51569	0.063866	0.33229	0.048387	0.1294	0.2422	0.090562	0.049602	0.07847	0.048181	0.2359	0.29862	0.7065	0.064893	0.058605	0.44299	0.2447	0.061582	0.043534	0.045551	0.045258	0.042974	0.046119
Meth__cg06284322__TAF7	0.040821	0.14696	0.07168	0.053418	0.060062	0.080219	0.11468	0.48487	0.11771	0.078378	0.12388	0.076612	0.09344	0.099291	0.039974	0.076315	0.06138	0.071155	0.078851	0.098032	0.079383	0.1087	0.045881	0.066627	0.096681	0.081933	0.074691
Meth__cg17525406__AJAP1	0.077423	0.72213	0.10457	0.93031	0.94053	0.94905	0.086829	0.95143	0.84765	0.40955	0.080446	0.63209	0.37338	0.70152	0.27547	0.14322	0.052492	0.11493	0.90078	0.80826	0.83938	0.10333	0.048908	0.87917	0.069104	0.0851	0.084304
Meth__cg16176600__FRK	0.036175	0.040952	0.060506	0.1546	0.07307	0.025321	0.050741	0.056023	0.052599	0.026039	0.028197	0.042439	0.057048	0.386	0.020193	0.063301	0.92401	0.029029	0.096493	0.036933	0.8219	0.071197	0.21121	0.70239	0.040274	0.096561	0.037256
Meth__cg03717979__MSX1	0.040405	0.44024	0.63399	0.07746	0.94918	0.94094	0.51928	0.035478	0.89579	0.81763	0.92889	0.36494	0.1307	0.57364	0.63684	0.84598	0.037398	0.046866	0.89682	0.6054	0.91319	0.14792	0.037803	0.21323	0.04838	0.50705	0.62672
Meth__cg12667808__KIAA0082	0.1885	0.093342	0.029041	0.039877	0.05507	0.05122	0.028366	0.239	0.073374	0.051814	0.040015	0.025171	0.10278	0.03971	0.033209	0.047657	0.043425	0.056617	0.22063	0.053385	0.069479	0.044041	0.026581	0.028006	0.050441	0.046246	0.040951
Meth__cg11688219__THAP3	0.19208	0.23969	0.20483	0.060988	0.086789	0.20958	0.53875	0.08329	0.47452	0.29037	0.038345	0.097729	0.49022	0.041834	0.28621	0.2074	0.065126	0.21558	0.14219	0.10641	0.21926	0.17754	0.036888	0.044543	0.077056	0.10438	0.088617
Meth__cg11732619__SLIT3	0.040291	0.051743	0.03326	0.032471	0.38912	0.90191	0.04744	0.96157	0.70434	0.09537	0.048377	0.518	0.15651	0.030693	0.9653	0.73138	0.048627	0.042643	0.89602	0.050471	0.57943	0.070068	0.029545	0.077493	0.044735	0.04783	0.05521
Meth__cg26309134__ZNF542	0.019986	0.9819	0.032272	0.54365	0.98064	0.97477	0.028213	0.98064	0.89469	0.63587	0.88318	0.029058	0.11529	0.22461	0.98613	0.98058	0.02782	0.022947	0.96333	0.59054	0.94905	0.036343	0.021331	0.95729	0.033802	0.96055	0.97855
Meth__cg11668923__ADAM12	0.058553	0.092926	0.052223	0.063016	0.96006	0.084633	0.049045	0.959	0.93703	0.03427	0.065305	0.043532	0.14238	0.035333	0.96461	0.28838	0.045891	0.29481	0.93159	0.88255	0.90476	0.074943	0.040201	0.83224	0.052245	0.086952	0.053796
Meth__cg11850311__ID1	0.031663	0.031729	0.022262	0.020533	0.055341	0.02166	0.07981	0.040119	0.052289	0.046641	0.041797	0.021526	0.056222	0.025866	0.038424	0.096581	0.035551	0.051224	0.093952	0.045086	0.041653	0.066356	0.032719	0.038547	0.060447	0.031708	0.026214
Meth__cg11780934__ANKRD13B	0.044294	0.046823	0.037463	0.036782	0.054338	0.033086	0.05773	0.050227	0.28975	0.029365	0.04657	0.040766	0.066343	0.048665	0.036341	0.054118	0.043999	0.047441	0.15179	0.050788	0.072993	0.044405	0.039222	0.041103	0.043501	0.041746	0.041475
Meth__cg09231514__QIL1	0.028816	0.94405	0.024377	0.17749	0.33856	0.12778	0.40542	0.45972	0.15444	0.033647	0.070924	0.44236	0.095935	0.23105	0.65722	0.42214	0.036754	0.097556	0.82458	0.42024	0.75398	0.071843	0.047361	0.13034	0.2632	0.045407	0.051906
Meth__cg08694544__RTBDN	0.027052	0.15248	0.041839	0.95289	0.039985	0.31554	0.039096	0.95576	0.6576	0.028039	0.95327	0.20931	0.075276	0.57891	0.93843	0.67345	0.028109	0.092084	0.87976	0.35618	0.29328	0.068337	0.1977	0.034106	0.041423	0.061834	0.0432
Meth__cg11479591__MECP2	0.032468	0.054347	0.23713	0.13156	0.039363	0.30747	0.12307	0.036163	0.069196	0.089679	0.20202	0.37631	0.074437	0.029737	0.035338	0.034895	0.44976	0.46162	0.15439	0.034195	0.49009	0.035708	0.43242	0.16271	0.52745	0.344	0.039737
Meth__cg09622447__CBS	0.059904	0.096604	0.046375	0.057869	0.087092	0.11024	0.11261	0.054532	0.1727	0.080286	0.057954	0.065177	0.056201	0.066298	0.078347	0.099896	0.077771	0.10213	0.894	0.056394	0.054264	0.047007	0.078282	0.065523	0.39705	0.060892	0.060111
Meth__cg25112191__RORC	0.028408	0.091963	0.063136	0.35332	0.35254	0.89386	0.0331	0.84209	0.24153	0.17455	0.31252	0.20532	0.032072	0.1257	0.47218	0.32785	0.022248	0.17929	0.71286	0.40712	0.66426	0.11274	0.11035	0.014347	0.031027	0.22586	0.16289
Meth__cg22151768__FBXL14	0.067726	0.06943	0.22388	0.03373	0.053836	0.054066	0.077313	0.34665	0.20299	0.032848	0.063969	0.049145	0.092355	0.092231	0.1197	0.070963	0.029389	0.057162	0.21277	0.060142	0.060503	0.12618	0.026216	0.028701	0.051173	0.056694	0.042812
Meth__cg22197787__KCNH1	0.037857	0.085851	0.025793	0.040274	0.046505	0.22295	0.047628	0.5494	0.81288	0.1881	0.6429	0.026599	0.08378	0.039043	0.040785	0.057233	0.036973	0.11362	0.77621	0.041838	0.23846	0.088852	0.036334	0.498	0.045293	0.20777	0.03956
Meth__cg11400333__MGC33486	0.04302	0.45569	0.058885	0.2758	0.41465	0.24618	0.047049	0.084294	0.31316	0.040897	0.10405	0.066271	0.086461	0.05712	0.59201	0.51235	0.037713	0.20095	0.64432	0.17071	0.83763	0.14143	0.039502	0.13106	0.03738	0.054691	0.054054
Meth__cg24139739__EFNB1	0.034729	0.0563	0.41381	0.042172	0.052601	0.033496	0.042989	0.04445	0.096779	0.36881	0.16162	0.42375	0.25124	0.033191	0.07956	0.055323	0.58154	0.52856	0.1051	0.038464	0.39216	0.48648	0.63014	0.46624	0.49761	0.35562	0.043834
Meth__cg15977272__EFNB1	0.095643	0.054832	0.4532	0.051197	0.066995	0.053418	0.056394	0.057803	0.075259	0.60304	0.085162	0.30261	0.46283	0.057172	0.049753	0.054902	0.61491	0.59633	0.074135	0.060833	0.62572	0.66863	0.62991	0.49777	0.54533	0.23917	0.048194
Meth__cg24599739__DDT	0.55288	0.97456	0.13907	0.031453	0.4202	0.97818	0.96723	0.028793	0.95969	0.53901	0.96726	0.025299	0.26369	0.60455	0.64339	0.96772	0.029468	0.39723	0.048058	0.035868	0.047608	0.43616	0.86588	0.018443	0.035451	0.56346	0.95016
Meth__cg27654142__ZFP2	0.033415	0.046562	0.024876	0.039427	0.048866	0.13895	0.042636	0.036426	0.41429	0.96926	0.03812	0.034646	0.081174	0.037891	0.40862	0.48651	0.035078	0.03047	0.48952	0.038654	0.15951	0.078429	0.031094	0.036896	0.044642	0.042678	0.042346
Meth__cg15286905__ACBD5	0.046197	0.055683	0.030575	0.044537	0.056776	0.016674	0.079057	0.042954	0.226	0.39777	0.066611	0.036736	0.070844	0.045666	0.055208	0.042972	0.12564	0.058429	0.074185	0.077442	0.056661	0.064568	0.054701	0.047935	0.040066	0.039371	0.041097
Meth__cg00908551__FANCF	0.091072	0.1045	0.061214	0.52566	0.093215	0.099178	0.090905	0.13581	0.69352	0.10258	0.067714	0.065872	0.10502	0.44151	0.11231	0.094707	0.095152	0.076443	0.45626	0.09966	0.13902	0.1148	0.069437	0.057227	0.065499	0.068342	0.075328
Meth__cg01989224__NDN	0.026996	0.85517	0.033914	0.093224	0.76729	0.39205	0.049303	0.59774	0.094887	0.039951	0.45342	0.047572	0.085618	0.019546	0.10191	0.063876	0.21493	0.21016	0.10813	0.45465	0.23036	0.054651	0.032998	0.13916	0.032976	0.13108	0.055602
Meth__cg21958798__GUCY1A2	0.071005	0.05986	0.040047	0.043829	0.08048	0.17559	0.063333	0.7822	0.41599	0.044174	0.45515	0.051117	0.11032	0.39908	0.075292	0.095106	0.15125	0.045755	0.89516	0.063151	0.10547	0.1003	0.036589	0.061707	0.053104	0.07082	0.083785
RS_G11441__TM4SF18__TM4SF18	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	6.1745	0.21054	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	0	1.5581	0.76783	0.97751	1.224	0.11762
Meth__cg01934790__FBXL16	0.1927	0.27971	0.16304	0.16109	0.54812	0.43969	0.047925	0.68644	0.78443	0.33629	0.63273	0.33832	0.28018	0.038323	0.35667	0.39315	0.61962	0.12559	0.75061	0.11512	0.16179	0.10304	0.053463	0.054936	0.062885	0.15221	0.1294
Meth__cg16792800__GPC6	0.067094	0.072961	0.030554	0.041833	0.55223	0.96319	0.89934	0.083026	0.64295	0.76942	0.059979	0.56858	0.18589	0.04729	0.52496	0.074363	0.081161	0.10651	0.13141	0.079054	0.17857	0.085842	0.040158	0.41226	0.049348	0.063996	0.05752
Meth__cg10689889__MAF	0.044304	0.029423	0.039799	0.60228	0.031847	0.017065	0.02536	0.04113	0.04794	0.020911	0.038083	0.20417	0.06753	0.026528	0.020209	0.025743	0.03243	0.021392	0.75018	0.026459	0.053983	0.091042	0.022786	0.035293	0.038404	0.031595	0.039285
Meth__cg08465862__PFKP	0.043004	0.089132	0.066439	0.042329	0.076019	0.048938	0.048854	0.11021	0.13826	0.16334	0.047907	0.050495	0.088151	0.056075	0.10494	0.35349	0.044145	0.067505	0.097775	0.5543	0.31078	0.099529	0.043431	0.10468	0.048753	0.090795	0.048048
Meth__cg07629017__NPBWR1	0.026729	0.70462	0.20359	0.24813	0.25824	0.92345	0.082041	0.84587	0.84297	0.16056	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.59927	0.9439	0.61655	0.28008	0.4629	0.073766	0.23572	0.095186	0.68269	0.65619	0.31899
Meth__cg01858173__ROM1	0.030626	0.083324	0.042185	0.035132	0.049994	0.67883	0.035478	0.068087	0.05139	0.023038	0.03772	0.029743	0.076653	0.023636	0.042346	0.049291	0.029096	0.062155	0.044965	0.051594	0.051071	0.050235	0.034326	0.031268	0.045038	0.053596	0.041572
Meth__cg09374949__ISYNA1	0.46293	0.62426	0.052458	0.58406	0.065715	0.059676	0.049591	0.068799	0.36624	0.054665	0.59179	0.062387	0.079556	0.9626	0.64923	0.2449	0.048176	0.062798	0.97288	0.066482	0.12983	0.063644	0.054183	0.044358	0.051379	0.063939	0.067021
Meth__cg25133753__WFDC11	0.088457	0.29844	0.10828	0.046339	0.30344	0.13235	0.11388	0.073822	0.21776	0.12103	0.11607	0.079781	0.081174	0.074145	0.096061	0.21508	0.84965	0.58717	0.13615	0.12273	0.071499	0.087372	0.086688	0.055373	0.16347	0.1074	0.098709
Meth__cg19033555__DEFB1	0.11038	0.89048	0.074641	0.047971	0.37876	0.91306	0.37518	0.79391	0.84113	0.11622	0.74385	0.90991	0.69503	0.052569	0.54734	0.21381	0.11731	0.92113	0.2122	0.20399	0.76548	0.10563	0.077799	0.71953	0.47687	0.15614	0.069029
Meth__cg05964373__TEX9	0.033327	0.42889	0.041478	0.040466	0.048359	0.037497	0.054151	0.056697	0.098679	0.047346	0.062328	0.047865	0.079529	0.047801	0.043261	0.056178	0.046036	0.04451	0.12059	0.089576	0.1487	0.061352	0.041515	0.04214	0.083429	0.044938	0.040347
Meth__cg17926057__PSMD10	0.087146	0.083926	0.13458	0.047606	0.0918	0.36963	0.058351	0.07136	0.056519	0.077197	0.13347	0.42402	0.10237	0.0554	0.047796	0.065163	0.42341	0.25364	0.11716	0.087226	0.21799	0.10719	0.37117	0.14717	0.43687	0.090699	0.080417
Meth__cg02756845__MAPK8IP2	0.19146	0.25071	0.056626	0.40026	0.51618	0.43584	0.18548	0.11698	0.78422	0.15463	0.082465	0.14007	0.1921	0.44619	0.33026	0.34181	0.068071	0.24598	0.90323	0.16304	0.94498	0.17626	0.06414	0.15485	0.099289	0.21921	0.11194
Meth__cg02115041__NPBWR1	0.035659	0.79099	0.20496	0.27125	0.63816	0.9424	0.52272	0.69559	0.91743	0.25411	0.57853	0.052839	0.21991	0.049932	0.30918	0.50383	0.34728	0.93072	0.31197	0.43667	0.38733	0.065115	0.078641	0.25483	0.58309	0.80995	0.66864
