Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg11504897__NRN1	0.71248	0.13355	0.2036	0.23187	0.17096	0.73864	0.91686	0.53527	0.10196	0.48291	0.55657	0.16727	0.18441	0.19641	0.086957	0.24143	0.1365	0.85746	0.42814	0.2273	0.10845	0.92095	0.38222	0.18857	0.94573	0.20638	0.12034	0.11563	0.12634	0.10842	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg14541939__NDUFA1	0.58069	0.044255	0.065848	0.042752	0.36834	0.039396	0.05624	0.4453	0.2569	0.53122	0.04755	0.02284	0.065808	0.27728	0.37229	0.55841	0.098003	0.036232	0.055681	0.047549	0.046492	0.14131	0.044457	0.16491	0.39787	0.055993	0.53043	0.034854	0.17869	0.03738	0.29021	0.067666	0.57756	0.45053	0.048838
Meth__cg15452426__DFFA	0.025776	0.031381	0.12117	0.29543	0.037025	0.027631	0.035472	0.029664	0.18654	0.048698	0.02782	0.10955	0.037142	0.13797	0.024151	0.041574	0.095373	0.21788	0.068809	0.062815	0.078029	0.071158	0.39648	0.044074	0.054143	0.05627	0.021705	0.024447	0.11113	0.07733	0.029087	0.20275	0.046117	0.030155	0.2242
Meth__cg11719157__PITPNA	0.089367	0.080186	0.38627	0.08956	0.074867	0.70041	0.52573	0.17793	0.078278	0.096133	0.060399	0.29248	0.39681	0.086928	0.69398	0.2571	0.098322	0.47428	0.34439	0.42686	0.31384	0.60882	0.68938	0.13756	0.13393	0.23229	0.24373	0.070171	0.13831	0.073203	0.57863	0.53847	0.12652	0.14663	0.43009
Meth__cg14161730__TIMP1	0.35594	0.065045	0.14231	0.83017	0.18896	0.052533	0.34067	0.34679	0.059628	0.60511	0.4094	0.29915	0.20277	0.07177	0.088999	0.11423	0.10984	0.11697	0.46679	0.34934	0.074464	0.26938	0.69521	0.33319	0.40898	0.077682	0.062861	0.11654	0.091624	0.13271	0.25905	0.17409	0.4521	0.094962	0.28409
Meth__cg21675030__ABHD10	0.050169	0.04343	0.040212	0.051552	0.046873	0.044694	0.06995	0.33271	0.047598	0.061673	0.0282	0.061406	0.1162	0.038856	0.036218	0.046699	0.073367	0.021631	0.040876	0.050781	0.043765	0.073472	0.044825	0.058496	0.20342	0.050735	0.034626	0.036242	0.053516	0.044272	0.049345	0.093676	0.04465	0.054681	0.046443
Meth__cg10057295__STK24	0.062993	0.78806	0.17506	0.66259	0.54615	0.14506	0.41137	0.6765	0.075259	0.70848	0.061627	0.10627	0.26882	0.096301	0.35789	0.048721	0.064289	0.42148	0.21592	0.82682	0.18231	0.099047	0.20564	0.094688	0.79955	0.62679	0.047715	0.051583	0.077137	0.12032	0.042638	0.054518	0.2404	0.094154	0.28111
Meth__cg07177852__CCDC68	0.045669	0.06777	0.81776	0.77318	0.034861	0.73384	0.41893	0.87147	0.048037	0.056738	0.78421	0.094676	0.604	0.14336	0.83558	0.45333	0.30857	0.60082	0.059812	0.064478	0.1431	0.31051	0.79122	0.13209	0.78365	0.071694	0.44013	0.034291	0.50008	0.64309	0.76648	0.58195	0.046742	0.55808	0.66778
Meth__cg20141916__PLEK2	0.025739	0.016512	0.027725	0.024958	0.012363	0.96235	0.022959	0.021807	0.01681	0.025009	0.025692	0.014583	0.033263	0.015887	0.71779	0.023761	0.033179	0.13087	0.014599	0.017465	0.10086	0.0377	0.023185	0.03183	0.020557	0.035861	0.24596	0.018641	0.012534	0.015672	0.027347	0.02304	0.019842	0.016765	0.72204
Meth__cg05512756__UGT3A1	0.50939	0.16207	0.32174	0.84839	0.81495	0.061982	0.58542	0.40288	0.42832	0.39305	0.32724	0.07168	0.18351	0.28756	0.24918	0.22694	0.034235	0.027963	0.33441	0.54255	0.333	0.073624	0.57414	0.059359	0.12493	0.066896	0.097421	0.50352	0.029906	0.053045	0.10186	0.050439	0.81006	0.40941	0.28747
Meth__cg01353347__IRAK1	0.65538	0.037818	0.061584	0.043707	0.57226	0.041336	0.063497	0.51432	0.043323	0.73944	0.059658	0.052713	0.1043	0.048987	0.56952	0.61715	0.46739	0.034011	0.038294	0.064526	0.71843	0.11757	0.07634	0.52878	0.59333	0.068973	0.63883	0.051808	0.73461	0.033922	0.4703	0.13588	0.69324	0.53697	0.04872
Meth__cg07159490__NXPH4	0.045044	0.44995	0.88041	0.19188	0.057085	0.067523	0.10667	0.066819	0.15821	0.31743	0.65332	0.93631	0.75993	0.19839	0.79158	0.12756	0.16764	0.033849	0.18253	0.088191	0.46614	0.36484	0.074489	0.050266	0.14423	0.17291	0.16777	0.026195	0.056567	0.42545	0.39249	0.038087	0.053626	0.22732	0.23552
Meth__cg27610561__SLC2A10	0.084748	0.19747	0.94814	0.059762	0.43409	0.89157	0.095835	0.89039	0.92983	0.49355	0.9582	0.89256	0.90539	0.55302	0.8837	0.95718	0.89835	0.95577	0.39821	0.68533	0.93058	0.85798	0.069955	0.066386	0.10163	0.26406	0.6479	0.94005	0.70686	0.032595	0.028574	0.20765	0.06148	0.057998	0.075305
Meth__cg11005826__IGF2AS	0.12698	0.062355	0.63848	0.22124	0.079854	0.59868	0.15109	0.6061	0.089198	0.098934	0.84389	0.76533	0.74153	0.10114	0.20185	0.23364	0.17536	0.095636	0.69707	0.61976	0.10685	0.89915	0.88171	0.081839	0.73155	0.090395	0.072282	0.082935	0.096966	0.090909	0.71136	0.16996	0.12167	0.10899	0.088751
Meth__cg01602416__GCSH	0.024711	0.015045	0.015778	0.041507	0.016048	0.013604	0.014449	0.64372	0.015932	0.020932	0.019197	0.011611	0.02963	0.01576	0.017673	0.015161	0.02105	0.018504	0.022848	0.018671	0.032675	0.022022	0.0186	0.015562	0.040066	0.022888	0.024033	0.030248	0.039745	0.022233	0.013124	0.015108	0.019089	0.018492	0.024431
Meth__cg13461509__ECHDC2	0.028479	0.035757	0.13069	0.22637	0.033422	0.05131	0.041102	0.46817	0.15797	0.034784	0.04805	0.043956	0.07342	0.14539	0.40793	0.044108	0.063805	0.11395	0.036479	0.032896	0.037147	0.089654	0.059444	0.042699	0.099847	0.064971	0.037733	0.035204	0.056423	0.023944	0.023266	0.11649	0.035382	0.039753	0.045023
Meth__cg01344452__DGKE	0.52863	0.027848	0.055292	0.98279	0.019757	0.018677	0.024533	0.016311	0.021609	0.017345	0.027965	0.023468	0.059647	0.16961	0.77481	0.021388	0.059368	0.7446	0.010265	0.026037	0.032247	0.96652	0.72598	0.052438	0.054731	0.10036	0.027672	0.018258	0.98513	0.026162	0.023205	0.03065	0.028237	0.026726	0.018922
Meth__cg02397514__HES4	0.054613	0.034298	0.058817	0.033688	0.022799	0.034801	0.045608	0.081664	0.025342	0.024197	0.042039	0.07116	0.040636	0.030305	0.68297	0.045846	0.063478	0.40481	0.032468	0.062256	0.062236	0.06668	0.042044	0.0472	0.088115	0.083226	0.056342	0.026103	0.064567	0.020218	0.02964	0.1284	0.031838	0.024017	0.024289
Meth__cg26366091__CHI3L2	0.11997	0.1181	0.27539	0.82538	0.85301	0.58066	0.6766	0.66206	0.15017	0.78447	0.15538	0.092481	0.21476	0.13057	0.10375	0.029111	0.10985	0.15361	0.86075	0.87699	0.32774	0.8636	0.48284	0.6345	0.77473	0.15469	0.1068	0.1046	0.11267	0.076892	0.31266	0.21918	0.73033	0.71054	0.74038
Meth__cg08820801__FBXO17	0.93584	0.80773	0.06298	0.97276	0.033358	0.016496	0.79433	0.01796	0.13021	0.56912	0.031096	0.064203	0.95169	0.22527	0.019565	0.014604	0.43192	0.014157	0.058838	0.82559	0.023953	0.031208	0.72689	0.078879	0.89326	0.85478	0.02684	0.019343	0.022066	0.84976	0.016953	0.048014	0.73798	0.79033	0.95731
Meth__cg27657283__LEPRE1	0.065804	0.063036	0.10471	0.090968	0.072172	0.041649	0.12208	0.62597	0.042883	0.046107	0.06556	0.091477	0.20373	0.040656	0.071195	0.096496	0.069792	0.064946	0.070391	0.075571	0.082629	0.15846	0.096449	0.19927	0.098442	0.098917	0.03837	0.075213	0.10654	0.06112	0.064626	0.28164	0.11419	0.10607	0.087833
Meth__cg05076631__PGF	0.089854	0.10754	0.13756	0.6165	0.11186	0.95987	0.66404	0.098927	0.067065	0.11871	0.078992	0.082321	0.10768	0.074546	0.084398	0.068072	0.095813	0.061426	0.28147	0.07119	0.060471	0.13569	0.091017	0.098801	0.75111	0.1153	0.090111	0.058828	0.051135	0.06136	0.11445	0.14492	0.746	0.52134	0.50808
Meth__cg15705469__ZNF71	0.046444	0.038719	0.04281	0.043708	0.042687	0.033792	0.038868	0.039668	0.035375	0.03712	0.040432	0.028288	0.079698	0.035489	0.053338	0.035109	0.10116	0.034163	0.28443	0.13138	0.035362	0.081025	0.044239	0.11255	0.1655	0.052297	0.046016	0.043864	0.038207	0.030023	0.024341	0.078336	0.047728	0.048443	0.045271
Meth__cg06659128__TMLHE	0.14781	0.18596	0.056131	0.059871	0.2368	0.048365	0.42966	0.55131	0.049165	0.047611	0.051343	0.044203	0.073135	0.14463	0.066249	0.32084	0.083865	0.044344	0.038144	0.052428	0.054815	0.27706	0.28572	0.07622	0.30655	0.14783	0.056996	0.038613	0.057604	0.053056	0.52212	0.070456	0.47992	0.51227	0.47187
Meth__cg05844583__SLC19A3	0.48805	0.037317	0.080431	0.8285	0.072839	0.065882	0.097584	0.59008	0.056312	0.064377	0.057363	0.10235	0.81316	0.051207	0.045005	0.03313	0.10238	0.057225	0.38822	0.33762	0.06883	0.15916	0.37027	0.079466	0.36753	0.061939	0.056358	0.036398	0.043487	0.03552	0.075193	0.23904	0.097696	0.60632	0.51382
Meth__cg26547788__HDHD1A	0.4783	0.070081	0.52355	0.090793	0.075581	0.085002	0.1131	0.10252	0.091776	0.072069	0.11008	0.16356	0.15898	0.10085	0.071953	0.1011	0.15155	0.078436	0.076204	0.11098	0.084723	0.13178	0.087641	0.1307	0.11643	0.14041	0.10126	0.078741	0.092951	0.44959	0.35042	0.1392	0.079031	0.084569	0.084856
Meth__cg10662787__LGTN	0.020649	0.01751	0.022864	0.33387	0.020456	0.76597	0.029886	0.018191	0.056888	0.025099	0.021579	0.028774	0.069191	0.04731	0.032796	0.017621	0.02794	0.020131	0.015775	0.023455	0.026002	0.05993	0.025171	0.031842	0.034682	0.025721	0.021215	0.028285	0.024066	0.025691	0.029298	0.095183	0.02241	0.024299	0.020591
Meth__cg18440048__ZNF70	0.096413	0.10368	0.085372	0.61933	0.51992	0.26813	0.7141	0.05119	0.20076	0.34421	0.10454	0.12711	0.19761	0.15679	0.1113	0.2259	0.11583	0.3606	0.054847	0.080605	0.30056	0.1684	0.62182	0.069584	0.11203	0.123	0.054975	0.068174	0.074399	0.11516	0.36607	0.21398	0.2983	0.065231	0.06397
Meth__cg19063397__POLD1	0.025321	0.03312	0.12939	0.36476	0.073787	0.36557	0.022133	0.057315	0.3221	0.48758	0.038816	0.26787	0.18839	0.27006	0.11064	0.35523	0.075106	0.42916	0.18998	0.097515	0.14873	0.052162	0.17519	0.040662	0.11098	0.065911	0.042588	0.11109	0.071611	0.14484	0.084522	0.026518	0.10329	0.10956	0.043655
Meth__cg12582366__FLJ32130	0.05414	0.69618	0.28483	0.46773	0.022832	0.064936	0.044184	0.24705	0.05935	0.030945	0.1122	0.079283	0.20534	0.059019	0.80417	0.031852	0.11636	0.026415	0.07234	0.052821	0.053552	0.051089	0.48272	0.10137	0.05914	0.55045	0.067949	0.029704	0.35536	0.14202	0.668	0.21292	0.035656	0.033763	0.028411
Meth__cg12738197__ZNF572	0.43549	0.024916	0.049695	0.86537	0.3753	0.029814	0.50486	0.90266	0.29014	0.4033	0.82174	0.063282	0.69758	0.16448	0.18388	0.34805	0.070987	0.12544	0.15059	0.14997	0.049236	0.21356	0.061898	0.065387	0.74665	0.053516	0.044724	0.25438	0.053904	0.02557	0.63162	0.091295	0.035151	0.38926	0.37265
Meth__cg01952458__ATP6V1B2	0.038435	0.026395	0.14334	0.045603	0.031212	0.095782	0.064643	0.032258	0.066073	0.039679	0.032992	0.043816	0.30601	0.06752	0.086647	0.10588	0.19456	0.031139	0.043176	0.060499	0.054376	0.33849	0.064317	0.05412	0.088571	0.032444	0.021745	0.016592	0.03386	0.047659	0.067746	0.034506	0.032694	0.063793	0.063991
Meth__cg16431978__KRTAP13-3	0.91546	0.11336	0.11506	0.8727	0.56309	0.1856	0.65723	0.96686	0.91576	0.1252	0.78814	0.15811	0.14538	0.76757	0.4421	0.12492	0.17376	0.1301	0.16782	0.12839	0.13594	0.11816	0.12601	0.20477	0.14899	0.11274	0.12642	0.60003	0.12696	0.10928	0.092801	0.099415	0.11294	0.29879	0.41199
Meth__cg02121943__TBX3	0.10279	0.077348	0.096289	0.078902	0.082534	0.09228	0.10655	0.82	0.092194	0.10067	0.081467	0.050161	0.14371	0.092167	0.076609	0.086121	0.15778	0.070109	0.069719	0.086016	0.078248	0.35612	0.085799	0.12691	0.13998	0.11445	0.081381	0.091089	0.083368	0.080822	0.076054	0.073417	0.089888	0.0809	0.086915
Meth__cg23917399__TNFAIP8	0.96369	0.77156	0.05625	0.60082	0.34349	0.14994	0.96867	0.043999	0.035041	0.78782	0.053638	0.027591	0.58199	0.044866	0.041288	0.040253	0.094002	0.045908	0.58048	0.52492	0.61861	0.93751	0.96692	0.44208	0.64782	0.36093	0.7711	0.03494	0.050161	0.037809	0.97349	0.089825	0.45205	0.96513	0.95622
Meth__cg14009688__CALD1	0.39371	0.053199	0.072507	0.64896	0.12356	0.063161	0.62244	0.076398	0.057855	0.077276	0.079697	0.12522	0.69184	0.058352	0.053295	0.029725	0.090646	0.069061	0.064074	0.38757	0.080692	0.12864	0.10778	0.1349	0.67742	0.16135	0.066341	0.059869	0.10962	0.08753	0.18979	0.30398	0.11815	0.79401	0.72938
Meth__cg20308511__SAT	0.41702	0.071116	0.062569	0.045164	0.21502	0.040019	0.058896	0.069431	0.077924	0.40514	0.047895	0.3629	0.056394	0.064483	0.042056	0.045696	0.34774	0.438	0.038454	0.06553	0.035305	0.097292	0.040937	0.43502	0.12389	0.34705	0.34999	0.048693	0.39673	0.04426	0.026101	0.088157	0.28953	0.22345	0.050049
Meth__cg03332271__MST1R	0.03343	0.027381	0.036909	0.58423	0.072558	0.89531	0.049083	0.021673	0.90112	0.2638	0.92047	0.031613	0.056879	0.62628	0.029813	0.25328	0.05373	0.56592	0.60485	0.47159	0.88951	0.090669	0.035506	0.10015	0.079842	0.070666	0.41574	0.020682	0.50363	0.02593	0.032353	0.0715	0.32621	0.029669	0.034321
Meth__cg21006686__NOS1	0.94101	0.037051	0.9372	0.8299	0.83227	0.31155	0.83437	0.54561	0.034891	0.88465	0.54905	0.52718	0.76192	0.031561	0.46924	0.6053	0.051531	0.037815	0.89638	0.8798	0.12451	0.14028	0.85875	0.042599	0.41752	0.13984	0.069146	0.75959	0.033841	0.032686	0.31518	0.2174	0.93336	0.53417	0.53299
Meth__cg18611245__ZGPAT	0.067047	0.099651	0.099911	0.43502	0.54202	0.054237	0.35095	0.10638	0.085765	0.59701	0.037915	0.16831	0.1352	0.092656	0.096894	0.055208	0.054076	0.052151	0.22721	0.12107	0.6198	0.083508	0.11149	0.31145	0.084063	0.1695	0.046112	0.065809	0.13169	0.049979	0.053221	0.35608	0.89933	0.053818	0.056105
Meth__cg10226546__NFATC2	0.13682	0.074806	0.60618	0.39783	0.08771	0.88973	0.15567	0.10393	0.25237	0.16795	0.82509	0.19669	0.61321	0.18656	0.27873	0.7492	0.2771	0.8454	0.091945	0.051511	0.89691	0.38647	0.11003	0.26394	0.75312	0.087212	0.50658	0.16447	0.88409	0.088675	0.78513	0.15241	0.17553	0.14022	0.12496
Meth__cg21369988__C1QDC1	0.044456	0.23669	0.079098	0.12029	0.14383	0.030742	0.38932	0.061289	0.17391	0.0813	0.037972	0.03588	0.10675	0.178	0.053622	0.026423	0.053324	0.027127	0.30151	0.08673	0.069789	0.046174	0.17543	0.079219	0.10091	0.1078	0.02977	0.025953	0.029478	0.083681	0.042539	0.097103	0.060634	0.20935	0.27486
Meth__cg18424091__HSPA1L	0.089442	0.4122	0.059935	0.80735	0.096963	0.069888	0.1181	0.029744	0.096307	0.71742	0.088271	0.084709	0.46922	0.090065	0.095455	0.041311	0.050937	0.057541	0.32948	0.24351	0.084475	0.12739	0.47496	0.1586	0.15323	0.28011	0.036238	0.046968	0.89106	0.04643	0.053062	0.22742	0.082226	0.11608	0.13261
Meth__cg01731685__IL17R	0.37647	0.45195	0.82848	0.61803	0.32924	0.090887	0.64904	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.10443	0.074706	0.040661	0.10766	0.018433	0.63692	0.40935	0.088502	0.14194	0.572	0.26916	0.2893	0.40455	0.032373	0.04102	0.056704	0.24109	0.19279	0.1343	0.15419	0.19033	0.25008
Meth__cg16512727__C12orf4	0.023632	0.018192	0.66931	0.32097	0.25887	0.81219	0.23114	0.094226	0.71862	0.088648	0.021432	0.44477	0.52418	0.62282	0.39435	0.043291	0.19329	0.024943	0.079116	0.10459	0.91227	0.37187	0.15625	0.027068	0.029424	0.16254	0.87027	0.40798	0.5108	0.047496	0.3793	0.088803	0.47187	0.13083	0.076109
Meth__cg01254505__BST2	0.0529	0.05737	0.032168	0.86271	0.059505	0.82313	0.037133	0.355	0.025393	0.040973	0.047926	0.040457	0.10246	0.064596	0.24002	0.78776	0.043948	0.16586	0.28971	0.18821	0.14348	0.49107	0.38278	0.13129	0.064168	0.15357	0.81867	0.022638	0.037982	0.034494	0.061135	0.069307	0.41292	0.04999	0.032962
Meth__cg06736444__SRRM2	0.17802	0.60944	0.47205	0.91976	0.47069	0.071374	0.02697	0.034064	0.67231	0.62382	0.022995	0.9382	0.57582	0.58978	0.63599	0.93804	0.31431	0.68182	0.02278	0.2588	0.51625	0.075171	0.79393	0.67711	0.047786	0.82819	0.024177	0.30548	0.9107	0.86416	0.15586	0.044965	0.20576	0.028273	0.027279
Meth__cg20420433__HLXB9	0.047722	0.32756	0.90087	0.22066	0.13299	0.90805	0.37057	0.56294	0.064093	0.48623	0.24034	0.94142	0.68498	0.092267	0.80796	0.49582	0.3249	0.45518	0.080023	0.12474	0.91222	0.15035	0.10058	0.094471	0.049322	0.48493	0.10869	0.078449	0.53783	0.3772	0.10385	0.080188	0.061715	0.12841	0.042652
Meth__cg22392276__CKB	0.23319	0.12478	0.89637	0.30238	0.15917	0.55243	0.13457	0.21355	0.30754	0.16049	0.5853	0.36398	0.25454	0.25028	0.91543	0.21123	0.16592	0.13176	0.56019	0.50097	0.20941	0.27523	0.15951	0.22565	0.14917	0.19189	0.1349	0.25993	0.099782	0.085258	0.12	0.12104	0.10335	0.12824	0.12499
Meth__cg22085335__KCNF1	0.032211	0.030268	0.41356	0.040613	0.032174	0.87547	0.04045	0.12298	0.033125	0.031099	0.045822	0.044732	0.12482	0.03859	0.042101	0.04415	0.059556	0.26687	0.032109	0.042747	0.040352	0.29105	0.037592	0.056552	0.59915	0.040237	0.047174	0.045532	0.044404	0.041855	0.13647	0.051467	0.036041	0.041373	0.038447
Meth__cg08935301__LMCD1	0.045213	0.076532	0.83862	0.057518	0.059077	0.88231	0.10236	0.058442	0.84883	0.064235	0.14061	0.47486	0.67258	0.63355	0.88169	0.04709	0.15846	0.077885	0.25008	0.099237	0.50345	0.56357	0.18338	0.13701	0.052632	0.067126	0.29411	0.095348	0.52334	0.041284	0.053999	0.088465	0.047985	0.055767	0.18009
Meth__cg11021744__SLC6A1	0.75774	0.067222	0.90571	0.42081	0.064779	0.59549	0.92218	0.64898	0.074946	0.10163	0.078716	0.15673	0.88423	0.11372	0.071352	0.060705	0.16127	0.36633	0.92846	0.91598	0.058191	0.74586	0.10863	0.55556	0.80153	0.094862	0.16129	0.24661	0.39798	0.086771	0.78724	0.12626	0.09912	0.62155	0.57498
Meth__cg15427567__FLJ20859	0.027096	0.017064	0.04019	0.49084	0.021546	0.019598	0.02924	0.012447	0.023595	0.02238	0.61062	0.032383	0.030367	0.028407	0.021219	0.026801	0.054978	0.022723	0.018174	0.020274	0.029265	0.043367	0.021382	0.056636	0.028067	0.031161	0.020379	0.020295	0.024182	0.023561	0.017067	0.045359	0.022119	0.023356	0.018826
Meth__cg15547534__MGC22793	0.057866	0.039319	0.31873	0.040413	0.20542	0.10063	0.069442	0.067645	0.092118	0.081764	0.21177	0.10609	0.079416	0.12	0.04929	0.10574	0.092042	0.25308	0.061672	0.081693	0.076806	0.12808	0.096682	0.10349	0.12754	0.11414	0.036279	0.051497	0.027268	0.037239	0.048105	0.089606	0.043247	0.052554	0.050973
Meth__cg19630689__SERPINA12	0.3261	0.044609	0.55411	0.87038	0.86734	0.05366	0.73796	0.085198	0.18412	0.64472	0.093902	0.32075	0.72553	0.15381	0.1011	0.18948	0.09096	0.10676	0.87734	0.90191	0.068045	0.15656	0.82592	0.072364	0.19893	0.070552	0.5026	0.8657	0.51746	0.040066	0.73803	0.29577	0.83511	0.57684	0.79907
Meth__cg11027330__METRN	0.035977	0.17044	0.25765	0.57173	0.19258	0.85753	0.51166	0.32589	0.14857	0.18866	0.63194	0.9183	0.82757	0.10723	0.52677	0.68417	0.24374	0.36082	0.21721	0.07408	0.36269	0.51115	0.24812	0.045396	0.036267	0.26737	0.052091	0.27114	0.69901	0.057411	0.39572	0.099751	0.17845	0.097986	0.031241
Meth__cg02609749__ZNF276	0.040488	0.031532	0.05043	0.043169	0.042756	0.0565	0.051229	0.04768	0.03969	0.04339	0.06622	0.051216	0.051027	0.038126	0.061435	0.037025	0.073818	0.026079	0.025845	0.04013	0.12949	0.040367	0.046089	0.051956	0.049216	0.047669	0.30796	0.022892	0.033237	0.048619	0.026978	0.046525	0.037673	0.033849	0.031815
Meth__cg14289985__ZNF471	0.87626	0.041294	0.50006	0.67389	0.41752	0.052055	0.93421	0.34582	0.037117	0.041456	0.057813	0.093449	0.84552	0.059625	0.054118	0.038262	0.11542	0.10478	0.89436	0.48861	0.033281	0.76511	0.066357	0.10799	0.90475	0.21547	0.056913	0.10337	0.7456	0.34194	0.93107	0.12694	0.054144	0.14873	0.12696
Meth__cg21012874__SNCG	0.039843	0.40089	0.10547	0.9687	0.16422	0.9821	0.045003	0.98288	0.98256	0.86527	0.97982	0.47719	0.061464	0.88611	0.68395	0.98531	0.24019	0.97728	0.89607	0.98038	0.9665	0.20866	0.07063	0.37075	0.95214	0.60302	0.97973	0.97642	0.92872	0.092364	0.74599	0.13787	0.027308	0.64295	0.050501
Meth__cg06609475__NDUFS6	0.065259	0.042671	0.037871	0.065992	0.17256	0.043297	0.44607	0.049655	0.68919	0.49909	0.044767	0.095921	0.19532	0.5454	0.058429	0.03472	0.080144	0.32213	0.070681	0.056263	0.051698	0.08476	0.11249	0.11479	0.097521	0.089818	0.04345	0.053736	0.29068	0.044387	0.040852	0.35513	0.062647	0.2982	0.10163
Meth__cg06722216__NOL4	0.52991	0.017395	0.42015	0.028435	0.022763	0.62269	0.031126	0.045316	0.015469	0.021478	0.57875	0.062601	0.097868	0.01905	0.034785	0.50901	0.29391	0.01833	0.21401	0.045061	0.048119	0.93513	0.032874	0.03104	0.043399	0.039975	0.029471	0.016852	0.093633	0.023999	0.16792	0.78514	0.027343	0.020311	0.024443
Meth__cg07864632__TRIP12	0.048921	0.40984	0.069061	0.079124	0.089538	0.046805	0.63421	0.068828	0.05293	0.75428	0.048793	0.094144	0.15128	0.077959	0.053146	0.037898	0.088566	0.034536	0.27101	0.082685	0.32091	0.38403	0.14376	0.068167	0.10781	0.52663	0.043776	0.038172	0.096879	0.098928	0.14466	0.099951	0.10778	0.13061	0.20679
Meth__cg03256955__TGFBR2	0.055375	0.084128	0.069305	0.14645	0.36047	0.048731	0.20211	0.042862	0.059697	0.37092	0.078094	0.084879	0.17671	0.091266	0.050714	0.032389	0.081879	0.051855	0.33582	0.10314	0.057966	0.10633	0.45152	0.10365	0.28386	0.10283	0.053641	0.046627	0.042829	0.052677	0.88452	0.084514	0.19387	0.15027	0.76893
Meth__cg02471507__CHMP4C	0.035746	0.026935	0.030717	0.031784	0.026769	0.81272	0.029804	0.01592	0.0304	0.031117	0.031002	0.017	0.04383	0.032691	0.032277	0.030156	0.087942	0.12144	0.024087	0.025812	0.26732	0.069641	0.030847	0.057746	0.061966	0.047229	0.3071	0.023331	0.023198	0.018538	0.025682	0.10296	0.030768	0.029357	0.031645
Meth__cg06717231__ZNF559	0.11932	0.028852	0.024842	0.02882	0.030196	0.026468	0.034909	0.18271	0.025482	0.037195	0.96613	0.033217	0.037052	0.076422	0.021242	0.019754	0.049795	0.021104	0.9688	0.10405	0.022895	0.046386	0.42289	0.045355	0.038395	0.07178	0.021478	0.022934	0.032374	0.028473	0.020321	0.047896	0.034627	0.046453	0.10916
Meth__cg14520892__POLA	0.61299	0.20017	0.059127	0.04567	0.43403	0.039164	0.060876	0.09978	0.065072	0.6517	0.052943	0.76963	0.39867	0.0624	0.040861	0.081196	0.48999	0.49548	0.048336	0.065157	0.03175	0.29449	0.46358	0.39449	0.38125	0.55582	0.59827	0.066901	0.57106	0.027663	0.016481	0.051443	0.45509	0.36996	0.046401
Meth__cg24373308__BAG2	0.12045	0.075632	0.033605	0.84061	0.15998	0.022604	0.070499	0.023181	0.02595	0.2292	0.017546	0.025493	0.4497	0.066015	0.4871	0.031093	0.098574	0.01576	0.034695	0.030044	0.022324	0.033258	0.12334	0.053069	0.24625	0.070083	0.012787	0.015525	0.030379	0.03074	0.95304	0.10335	0.035121	0.81027	0.93393
Meth__cg10557828__PLOD2	0.17733	0.34428	0.35269	0.84018	0.75757	0.045085	0.3045	0.098373	0.77987	0.76474	0.096752	0.059869	0.097126	0.81206	0.15086	0.04822	0.12335	0.078204	0.68266	0.10566	0.10829	0.15805	0.77553	0.70204	0.64271	0.30781	0.0744	0.039385	0.68212	0.055179	0.35056	0.15897	0.11762	0.79237	0.83655
Meth__cg13391638__FLJ13576	0.073346	0.12327	0.14633	0.80202	0.10281	0.91887	0.16029	0.11803	0.92761	0.10315	0.095943	0.80007	0.37664	0.78569	0.23904	0.070866	0.50349	0.080724	0.24408	0.10533	0.18814	0.83675	0.29583	0.10933	0.17035	0.17312	0.059313	0.05526	0.072471	0.1933	0.077792	0.13894	0.11922	0.10626	0.48697
Meth__cg15942481__CAPS2	0.070735	0.081653	0.82409	0.54776	0.046001	0.053904	0.053376	0.070049	0.16875	0.062773	0.36596	0.16966	0.14814	0.1317	0.85239	0.21123	0.085414	0.050159	0.049737	0.046974	0.065423	0.090944	0.052271	0.32894	0.13791	0.13456	0.40449	0.054697	0.088041	0.041889	0.37944	0.070072	0.054511	0.059172	0.1214
Meth__cg06268694__CELSR1	0.52938	0.044622	0.97856	0.04444	0.043023	0.97954	0.036228	0.98374	0.97027	0.046891	0.9835	0.50995	0.060222	0.82529	0.54771	0.039517	0.065766	0.89487	0.027105	0.052949	0.25142	0.93083	0.043537	0.041302	0.70956	0.13669	0.075981	0.053994	0.98979	0.029094	0.25305	0.096289	0.046955	0.04317	0.048843
Meth__cg22874046__ICAM1	0.037525	0.032438	0.045336	0.23791	0.10044	0.96981	0.035613	0.99064	0.13321	0.041632	0.025617	0.074268	0.11008	0.12936	0.92224	0.71472	0.10083	0.086201	0.031829	0.43609	0.43028	0.18231	0.041868	0.040753	0.1159	0.048864	0.10746	0.026309	0.022156	0.020708	0.96743	0.074328	0.041611	0.18037	0.6762
