Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg03334529__ZNF663	0.087649	0.039588	0.57758	0.50113	0.066829	0.73786	0.23648	0.57124	0.55366	0.83326	0.71107	0.18991	0.32847	0.13317	0.27852	0.22534	0.75796	0.11349	0.056673	0.65107	0.75636	0.24708	0.045362	0.15977	0.080281	0.075898	0.63627	0.18697	0.050634	0.065758	0.068386	0.052277	0.83853	0.33265	0.066888	0.1304	0.42397	0.13921	0.25728
Meth__cg14950072__LAMA1	0.86176	0.061177	0.46649	0.086907	0.41559	0.81447	0.25156	0.8267	0.13488	0.3244	0.87628	0.47221	0.25307	0.13042	0.15512	0.43897	0.18504	0.096697	0.041944	0.36267	0.29576	0.05983	0.84503	0.40285	0.68601	0.13781	0.050296	0.21389	0.13232	0.25459	0.054838	0.051794	0.29258	0.37771	0.39477	0.75061	0.49819	0.78707	0.18975
Meth__cg02416716__ZNF215	0.91816	0.023036	0.64033	0.28786	0.57204	0.79937	0.031908	0.85627	0.027152	0.032081	0.032959	0.083002	0.52098	0.04719	0.1046	0.030464	0.027014	0.10126	0.024947	0.28419	0.12859	0.035571	0.44298	0.10415	0.39083	0.050856	0.027922	0.24267	0.08998	0.024963	0.022017	0.028077	0.41553	0.67671	0.04453	0.047229	0.18663	0.27311	0.31316
Meth__cg13490971__NDFIP1	0.07186	0.14525	0.61765	0.57782	0.19291	0.39272	0.13055	0.32298	0.4173	0.44005	0.18803	0.39472	0.11669	0.8337	0.383	0.088882	0.28516	0.22274	0.060597	0.33453	0.3469	0.1526	0.28449	0.24188	0.31288	0.083458	0.085498	0.13691	0.22737	0.04406	0.05684	0.15751	0.34048	0.12589	0.17895	0.13304	0.28585	0.21024	0.21405
U133A__PLS3	7.4402	8.1478	6.684	6.6342	10.0973	5.9543	9.0506	9.6656	8.887	8.3576	8.6835	9.8794	9.4261	3.407	9.6483	11.1688	10.1743	10.073	9.1672	5.0117	3.273	8.691	5.8468	9.2106	7.8484	9.2009	9.4815	9.7297	8.6187	9.3368	8.8304	8.2318	4.6121	7.5828	7.7544	2.9017	8.1646	8.7256	8.5997
Meth__cg05674036__OR3A3	0.89646	0.047907	0.90611	0.064415	0.26425	0.77176	0.17319	0.18099	0.15042	0.20312	0.67165	0.82614	0.34597	0.058618	0.10672	0.47052	0.8099	0.13136	0.037267	0.65212	0.86192	0.074898	0.76694	0.095853	0.077361	0.16819	0.10404	0.062465	0.10664	0.056157	0.097149	0.11877	0.8216	0.5167	0.093765	0.8326	0.48692	0.20597	0.12267
Meth__cg25563456__WT1	0.11411	0.038851	0.94927	0.93011	0.92916	0.03111	0.037926	0.97197	0.27557	0.78538	0.034069	0.051926	0.056056	0.063726	0.2264	0.93442	0.034854	0.093287	0.031894	0.94064	0.67252	0.043206	0.64211	0.7935	0.89608	0.062959	0.67179	0.04393	0.046772	0.038257	0.049108	0.18151	0.11039	0.35849	0.58877	0.76763	0.22711	0.90409	0.77528
Meth__cg03086857__EDNRB	0.90774	0.040041	0.92459	0.7845	0.48191	0.91146	0.52623	0.91971	0.60107	0.049301	0.90535	0.30949	0.27958	0.27518	0.29104	0.74718	0.11271	0.11388	0.034773	0.26901	0.33794	0.081535	0.95136	0.90313	0.92012	0.081457	0.91436	0.10811	0.19462	0.035997	0.038259	0.93351	0.89502	0.20729	0.090275	0.40969	0.82597	0.73647	0.63561
Meth__cg18236079__HS3ST3A1	0.94843	0.073629	0.90971	0.82601	0.84876	0.19731	0.12679	0.96818	0.90567	0.08753	0.95732	0.4757	0.84987	0.92601	0.88027	0.61015	0.059594	0.073691	0.031005	0.37981	0.16461	0.033795	0.91083	0.74306	0.061645	0.077132	0.062592	0.60936	0.13333	0.61643	0.055402	0.047339	0.52972	0.30225	0.6918	0.070319	0.68931	0.85591	0.93073
Meth__cg03770147__KLF7	0.030254	0.02291	0.027746	0.043402	0.02794	0.034898	0.023864	0.02822	0.018783	0.033337	0.044778	0.10206	0.10105	0.022145	0.38351	0.025772	0.025053	0.05334	0.025696	0.079874	0.11122	0.024443	0.17192	0.11882	0.026637	0.068668	0.024598	0.028498	0.038493	0.026002	0.023591	0.019703	0.026973	0.021844	0.039266	0.051018	0.026992	0.084223	0.026762
Meth__cg16168311__APOA1BP	0.06511	0.022157	0.14415	0.085667	0.073387	0.07233	0.1189	0.88964	0.076569	0.17188	0.07316	0.11225	0.22703	0.050888	0.074836	0.068097	0.093374	0.053693	0.023383	0.13527	0.18989	0.16032	0.17885	0.064622	0.1014	0.061848	0.070955	0.088862	0.066501	0.047527	0.027192	0.029414	0.067247	0.03515	0.061897	0.11223	0.041714	0.13867	0.030127
Meth__cg00673191__DOPEY2	0.068182	0.072102	0.091344	0.086237	0.83658	0.090206	0.51088	0.86324	0.68077	0.058868	0.65159	0.2425	0.26187	0.092826	0.47178	0.65658	0.56674	0.16736	0.29676	0.090241	0.092583	0.775	0.068129	0.081341	0.12534	0.24718	0.8347	0.34218	0.10886	0.80671	0.69971	0.41973	0.077041	0.070452	0.10426	0.086177	0.085878	0.17674	0.089568
U133A__TNC	5.3228	4.6808	5.0294	4.8493	6.8118	4.6548	6.2793	5.8077	9.2972	4.909	6.0354	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	4.7272	7.5415	7.5353	5.0349	5.0495	6.0046	6.2086	7.7184	6.4274	4.904	7.4837	8.1507	6.8616	5.1442	7.8556	4.9164	6.5265	5.2553	5.9237	4.8657
Meth__cg04513422__LOC283487	0.49463	0.12456	0.65108	0.83539	0.049121	0.85199	0.042454	0.1521	0.057214	0.8543	0.84342	0.22335	0.36535	0.43123	0.065228	0.058811	0.059166	0.20007	0.029201	0.62284	0.055704	0.035941	0.49689	0.10028	0.51746	0.065162	0.032935	0.079769	0.15542	0.038551	0.051638	0.047799	0.83531	0.84775	0.75645	0.77443	0.73714	0.48471	0.82718
U133A__RAB31	6.2413	8.0673	5.1431	7.7963	8.3412	5.7159	8.009	8.1732	6.3882	5.2803	6.3372	6.0256	7.7825	6.0134	5.7421	7.6507	9.5565	6.5396	8.4846	8.1669	5.4419	9.649	4.7638	8.3981	8.3539	8.6618	8.0149	8.4926	8.156	9.8536	8.2197	8.2362	5.2265	5.4669	6.4993	7.2702	5.4727	5.523	8.7646
Meth__cg07849904__MN1	0.11474	0.16014	0.20315	0.22837	0.072058	0.20299	0.057198	0.11854	0.068817	0.14889	0.22686	0.045074	0.16876	0.12669	0.104	0.093405	0.079578	0.16016	0.068605	0.20656	0.095834	0.11802	0.11723	0.54005	0.094433	0.14148	0.062361	0.091155	0.096903	0.075348	0.079152	0.066674	0.061412	0.11822	0.10294	0.082399	0.086831	0.28255	0.12024
Meth__cg23413307__LCE1F	0.93902	0.032613	0.94734	0.94516	0.051213	0.85413	0.1686	0.32907	0.38308	0.34012	0.083517	0.29025	0.67017	0.024385	0.34461	0.07154	0.13799	0.10165	0.057349	0.15147	0.83141	0.062328	0.96688	0.096042	0.88003	0.21483	0.18513	0.077305	0.12876	0.033431	0.083577	0.064938	0.92143	0.47586	0.20476	0.9169	0.70791	0.91074	0.8137
Meth__cg01731685__IL17R	0.37647	0.45195	0.61803	0.32924	0.090887	0.64904	0.086758	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.62559	0.10443	0.074706	0.040661	0.10766	0.018433	0.40935	0.68685	0.088502	0.32082	0.14194	0.572	0.26916	0.10689	0.19292	0.40455	0.032373	0.04102	0.056704	0.41133	0.19279	0.1343	0.15419	0.19033	0.21814	0.25008
Meth__cg00810473__SNX22	0.0212	0.018652	0.087846	0.025072	0.74063	0.034108	0.58468	0.018404	0.029144	0.023504	0.0335	0.042439	0.063071	0.01493	0.03371	0.98005	0.027498	0.053693	0.044951	0.027483	0.020259	0.022351	0.022635	0.018938	0.022817	0.033403	0.022735	0.031359	0.048518	0.44675	0.019931	0.65564	0.026381	0.014741	0.098734	0.025223	0.46547	0.055968	0.64902
Meth__cg24377133__HHCM	0.074172	0.034234	0.24288	0.055517	0.023314	0.087524	0.099856	0.049109	0.027229	0.10541	0.056773	0.046534	0.14376	0.031908	0.032999	0.041332	0.077271	0.081162	0.02887	0.1041	0.050959	0.034113	0.54789	0.066833	0.044699	0.088663	0.029198	0.046849	0.053889	0.045545	0.045573	0.059919	0.058447	0.053364	0.06712	0.15783	0.046641	0.13958	0.031219
Meth__cg05997860__ADAM21	0.23264	0.034324	0.67978	0.50797	0.057585	0.36837	0.12927	0.78136	0.67081	0.080261	0.16681	0.2504	0.21527	0.10846	0.45761	0.20881	0.4499	0.053191	0.062792	0.19866	0.78004	0.098212	0.76245	0.10979	0.21511	0.069855	0.075935	0.094743	0.12316	0.28709	0.042182	0.19056	0.80283	0.38118	0.14421	0.19574	0.43065	0.52163	0.30075
Meth__cg07928641__LAMC1	0.042299	0.031199	0.36813	0.77123	0.041011	0.29479	0.056169	0.037192	0.033145	0.071306	0.039495	0.040208	0.060549	0.066998	0.196	0.044743	0.028126	0.099674	0.033517	0.42716	0.26034	0.030984	0.14953	0.11702	0.045353	0.052917	0.02968	0.037584	0.079166	0.048085	0.026756	0.036663	0.73002	0.029946	0.10378	0.50888	0.32589	0.32693	0.044299
Meth__cg08590939__OXCT1	0.052523	0.080204	0.20992	0.85325	0.029701	0.91022	0.025918	0.041699	0.035581	0.91788	0.052928	0.037889	0.4535	0.6434	0.041804	0.034303	0.028064	0.051387	0.032012	0.67333	0.14732	0.057413	0.41786	0.55231	0.19414	0.067456	0.038602	0.041142	0.099256	0.035851	0.041438	0.029812	0.8242	0.53131	0.83674	0.067649	0.24821	0.55911	0.90935
Meth__cg17332016__FLJ10847	0.051957	0.038504	0.44518	0.28407	0.34099	0.090765	0.038331	0.096548	0.05826	0.64825	0.1629	0.10919	0.73806	0.045866	0.21864	0.12913	0.039659	0.069547	0.031161	0.31265	0.30061	0.037299	0.43159	0.085788	0.13357	0.12439	0.042989	0.19706	0.089927	0.037566	0.04451	0.044406	0.28562	0.50234	0.06174	0.052873	0.10102	0.88482	0.49176
Meth__cg15177917__DAND5	0.072618	0.053579	0.32468	0.053425	0.31521	0.044261	0.33783	0.44975	0.032182	0.0674	0.56129	0.2634	0.14517	0.053194	0.032433	0.13683	0.12792	0.082768	0.048202	0.14777	0.33144	0.050752	0.49528	0.26877	0.26071	0.06127	0.32929	0.045157	0.091019	0.33094	0.32304	0.03917	0.15379	0.11892	0.050053	0.19341	0.078483	0.13782	0.25338
Meth__cg05368341__SYT6	0.79814	0.022642	0.20845	0.72944	0.86968	0.67266	0.19903	0.6689	0.028894	0.042782	0.95141	0.90911	0.70965	0.15055	0.2834	0.059179	0.067418	0.058789	0.030863	0.58842	0.29454	0.064623	0.94632	0.66216	0.74312	0.056169	0.12985	0.63149	0.092273	0.028532	0.032918	0.062222	0.95964	0.54873	0.4523	0.88991	0.23627	0.95059	0.14639
Meth__cg19363546__POU2F3	0.68206	0.090929	0.46999	0.18748	0.874	0.47312	0.63877	0.66205	0.053322	0.18715	0.59587	0.74655	0.8082	0.1566	0.057557	0.77491	0.14392	0.13895	0.041158	0.94544	0.9583	0.43179	0.13508	0.79921	0.54966	0.086911	0.60989	0.33383	0.099664	0.06837	0.50889	0.12486	0.82054	0.86442	0.11439	0.08038	0.13129	0.24473	0.29295
Meth__cg00756058__DZIP1	0.96833	0.030265	0.56045	0.024725	0.030488	0.62167	0.023509	0.34321	0.019434	0.97643	0.026764	0.017164	0.89565	0.59635	0.024186	0.4943	0.026056	0.097789	0.018138	0.96711	0.97205	0.02222	0.53529	0.9283	0.97159	0.095064	0.016357	0.026942	0.046695	0.026231	0.017612	0.018472	0.030433	0.77069	0.86617	0.024053	0.66824	0.95078	0.94356
Meth__cg12406559__ZNF532	0.91344	0.93042	0.86113	0.65717	0.065192	0.83474	0.16021	0.076037	0.7128	0.83341	0.12665	0.16352	0.19673	0.075748	0.69876	0.1885	0.032781	0.11551	0.073847	0.91448	0.93584	0.13701	0.88756	0.19709	0.47903	0.32182	0.13831	0.13118	0.91357	0.10545	0.050257	0.067582	0.9119	0.9	0.16723	0.39293	0.34716	0.65046	0.78647
Meth__cg17074212__ZNF215	0.97205	0.068662	0.75008	0.20639	0.45317	0.93288	0.10393	0.1933	0.046028	0.072445	0.09769	0.14137	0.19139	0.045097	0.052598	0.090379	0.051815	0.19783	0.05037	0.21831	0.10083	0.060467	0.92322	0.13321	0.3232	0.075006	0.07845	0.086746	0.037302	0.051181	0.076269	0.062541	0.82373	0.73017	0.066667	0.31298	0.4701	0.37675	0.48267
Meth__cg24652919__WDR58	0.32183	0.14301	0.63943	0.39614	0.079496	0.49403	0.15512	0.10356	0.18871	0.41756	0.57642	0.2601	0.23013	0.37365	0.23152	0.11797	0.064309	0.16586	0.067547	0.38103	0.8217	0.077942	0.40989	0.085484	0.71752	0.62762	0.052773	0.12381	0.21957	0.053232	0.054077	0.072009	0.28568	0.16937	0.44675	0.18536	0.36448	0.61297	0.2875
Meth__cg19421752__SLC6A18	0.27382	0.016742	0.56107	0.15219	0.063318	0.16637	0.036964	0.39659	0.03004	0.033522	0.11488	0.48348	0.26336	0.015534	0.02816	0.093166	0.57447	0.066081	0.029934	0.36169	0.044358	0.26478	0.82287	0.10736	0.043941	0.031042	0.071341	0.049917	0.038	0.042168	0.030271	0.024366	0.059478	0.048863	0.056188	0.24922	0.068784	0.065458	0.0607
Meth__cg08675664__ALDH7A1	0.14198	0.066356	0.060548	0.12573	0.050203	0.061157	0.029625	0.70032	0.055282	0.064831	0.072447	0.026134	0.38095	0.18011	0.060894	0.058953	0.05799	0.11351	0.071636	0.061238	0.099011	0.063634	0.095934	0.12685	0.059311	0.090109	0.054593	0.060142	0.051032	0.057728	0.052565	0.11879	0.11198	0.31554	0.068857	0.063204	0.064608	0.34641	0.090936
Meth__cg22492020__FLJ20516	0.13526	0.099952	0.12733	0.1674	0.06342	0.073527	0.03534	0.090892	0.15613	0.25254	0.057956	0.053618	0.067828	0.06116	0.16014	0.06073	0.059048	0.11692	0.064016	0.070665	0.38023	0.092954	0.30821	0.093854	0.090132	0.098119	0.06387	0.066144	0.11271	0.076951	0.062252	0.12162	0.37202	0.062927	0.057988	0.32902	0.17517	0.095943	0.090952
Meth__cg02721374__OR1D2	0.88902	0.12577	0.75777	0.12962	0.17312	0.54779	0.21855	0.81727	0.10118	0.15674	0.65628	0.5308	0.61189	0.082999	0.10312	0.65469	0.88802	0.10727	0.075506	0.34278	0.5593	0.077614	0.48739	0.091254	0.11402	0.1422	0.18405	0.12569	0.42159	0.13611	0.069619	0.14214	0.86522	0.66685	0.10571	0.33026	0.36556	0.20808	0.39387
Meth__cg01962826__GRM4	0.089279	0.041097	0.91302	0.85921	0.16539	0.36231	0.80337	0.61775	0.066617	0.10677	0.56963	0.87606	0.67403	0.05137	0.28991	0.39556	0.3827	0.18528	0.032925	0.49211	0.93213	0.81244	0.66667	0.55652	0.69927	0.16187	0.21267	0.248	0.096121	0.12707	0.12124	0.036327	0.83718	0.76304	0.041152	0.87814	0.2542	0.12927	0.050127
Meth__cg23307338__MS4A12	0.82011	0.065797	0.878	0.79959	0.063929	0.74208	0.26601	0.64687	0.87876	0.1826	0.69952	0.073604	0.70437	0.36127	0.71406	0.27083	0.2795	0.10716	0.061543	0.22124	0.82485	0.11705	0.81949	0.12099	0.59733	0.32056	0.084798	0.074499	0.13415	0.27858	0.064525	0.10894	0.73041	0.60982	0.10355	0.83054	0.74878	0.80604	0.6684
Meth__cg13599477__NET1	0.063484	0.063019	0.073501	0.032983	0.31483	0.087093	0.21191	0.034529	0.036085	0.057872	0.68387	0.12439	0.48141	0.31156	0.14524	0.0527	0.032024	0.10814	0.91499	0.051402	0.063076	0.75352	0.052514	0.092577	0.047207	0.10117	0.091077	0.058091	0.084677	0.9369	0.04576	0.089041	0.033168	0.058292	0.084853	0.070337	0.77298	0.20257	0.83308
Meth__cg00718513__	0.28091	0.04774	0.12325	0.38122	0.046487	0.06697	0.11945	0.11187	0.48577	0.12091	0.13058	0.11412	0.085273	0.039001	0.31714	0.075766	0.044891	0.059576	0.092951	0.064197	0.054758	0.054758	0.21622	0.10417	0.12465	0.13973	0.038398	0.047305	0.057172	0.041052	0.062521	0.064757	0.3744	0.060901	0.18206	0.17159	0.11628	0.10426	0.099275
Meth__cg22634689__TMEM121	0.047993	0.048422	0.053	0.035897	0.15265	0.056113	0.15718	0.037551	0.066363	0.048806	0.047546	0.14067	0.3984	0.038014	0.085212	0.046477	0.051574	0.084257	0.06793	0.052091	0.047979	0.080955	0.038518	0.8472	0.062278	0.10073	0.058471	0.15957	0.073914	0.041322	0.077346	0.078039	0.0446	0.035061	0.086172	0.052528	0.046309	0.20346	0.04486
Meth__cg06353318__OTOP2	0.31641	0.084528	0.55347	0.34029	0.63523	0.58603	0.75	0.95563	0.075636	0.18094	0.94011	0.8847	0.90331	0.19059	0.089329	0.30286	0.23585	0.072175	0.053768	0.90783	0.22039	0.071333	0.25023	0.82868	0.8733	0.19351	0.33826	0.29202	0.086453	0.05531	0.097933	0.05941	0.29125	0.95288	0.13373	0.16733	0.17561	0.18325	0.38995
Meth__cg07704144__SNPH	0.095289	0.044406	0.052237	0.41148	0.046418	0.49669	0.079412	0.88681	0.045547	0.07937	0.43286	0.059137	0.92046	0.054452	0.056902	0.058156	0.048933	0.092676	0.033999	0.55585	0.34827	0.052809	0.053009	0.12111	0.065616	0.071707	0.047168	0.05041	0.072628	0.045177	0.060532	0.044009	0.68049	0.96716	0.14121	0.060074	0.16265	0.15736	0.64025
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.32747	0.16054	0.043837	0.91661	0.55406	0.055249	0.025571	0.52581	0.31239	0.17183	0.53049	0.034415	0.032459	0.34492	0.036044	0.064078	0.0634	0.58161	0.56386	0.065736	0.18401	0.94513	0.055457	0.08382	0.27023	0.056103	0.098284	0.031221	0.10139	0.058012	0.054921	0.59689	0.048349	0.036028	0.098418	0.44442	0.20912
Meth__cg04527363__GRM7	0.82774	0.083151	0.75659	0.88205	0.45654	0.74305	0.13184	0.32255	0.88621	0.085175	0.64897	0.7402	0.13475	0.093199	0.58641	0.70604	0.40217	0.16983	0.074108	0.11417	0.89306	0.2278	0.8474	0.33464	0.078752	0.11231	0.1053	0.12117	0.098135	0.081972	0.78245	0.21986	0.63572	0.36873	0.14828	0.26985	0.15638	0.20898	0.32786
Meth__cg20077393__CGN	0.016357	0.054677	0.049024	0.025824	0.073702	0.026236	0.30312	0.28852	0.024293	0.055547	0.018115	0.14477	0.30111	0.017583	0.033959	0.038077	0.10669	0.074375	0.18008	0.02058	0.02065	0.036632	0.020771	0.073872	0.062615	0.030092	0.17081	0.12249	0.056334	0.02779	0.037023	0.26601	0.019004	0.062745	0.055478	0.024758	0.17956	0.051708	0.36055
Meth__cg00401678__EMR3	0.35557	0.054999	0.30157	0.16115	0.11757	0.25427	0.23181	0.7799	0.078731	0.13043	0.49099	0.36387	0.22148	0.085393	0.086776	0.33759	0.58399	0.087834	0.074921	0.17368	0.22916	0.11516	0.35587	0.1069	0.13081	0.15864	0.13183	0.14181	0.078057	0.10537	0.086848	0.064495	0.1612	0.26707	0.21059	0.16778	0.20758	0.15272	0.24382
U133A__PDGFC	5.5151	4.7072	5.306	4.2114	8.5446	4.2682	7.4629	7.5679	8.1244	3.5487	4.7294	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	6.8294	8.4198	4.7499	8.8223	6.3115	7.8914	4.062	5.1023	5.7918	4.4004	5.4727	4.4081	5.9931
Meth__cg02913089__PDE8A	0.23057	0.043466	0.85759	0.20879	0.031453	0.38754	0.038771	0.85011	0.4078	0.44356	0.077795	0.058214	0.26275	0.22268	0.34916	0.034146	0.036529	0.091077	0.026553	0.052969	0.80076	0.053453	0.87473	0.089324	0.1563	0.10706	0.041494	0.038485	0.060715	0.091287	0.026941	0.30845	0.04286	0.1504	0.052473	0.059146	0.23276	0.18282	0.094156
Meth__cg03973663__LYN	0.078525	0.061648	0.084351	0.032846	0.86859	0.056897	0.71429	0.3023	0.91793	0.034635	0.92582	0.67003	0.88329	0.086025	0.767	0.87148	0.9304	0.16543	0.81605	0.079744	0.65056	0.93678	0.047105	0.15364	0.10029	0.18803	0.91853	0.84505	0.074676	0.9126	0.42793	0.14908	0.045052	0.29198	0.18533	0.05233	0.08799	0.21953	0.12318
Meth__cg01657408__FLJ31951	0.056304	0.019914	0.78202	0.69986	0.02413	0.39119	0.021587	0.02268	0.023422	0.055705	0.02247	0.01303	0.0276	0.091871	0.030309	0.01793	0.022291	0.037063	0.020359	0.29784	0.96092	0.033927	0.74468	0.036342	0.80535	0.047826	0.022802	0.025491	0.041725	0.021192	0.025951	0.023311	0.73507	0.021771	0.039444	0.32079	0.37812	0.43254	0.82648
Meth__cg18219951__GABRG2	0.16308	0.060276	0.37071	0.085969	0.07614	0.11421	0.085762	0.19981	0.29191	0.084848	0.68721	0.095469	0.17578	0.076949	0.22915	0.15073	0.098958	0.1468	0.095361	0.10273	0.11866	0.10928	0.20169	0.11689	0.088433	0.089539	0.045005	0.065384	0.077028	0.057186	0.10966	0.28276	0.28195	0.069846	0.090738	0.088407	0.11147	0.15988	0.097542
Meth__cg11389172__SLC18A3	0.96797	0.036608	0.62869	0.035917	0.59167	0.7594	0.4335	0.97049	0.030848	0.073454	0.96725	0.9659	0.93546	0.31632	0.45131	0.03212	0.056989	0.10151	0.045148	0.92193	0.57392	0.055168	0.97295	0.88866	0.49338	0.089143	0.028821	0.36924	0.092823	0.2888	0.11863	0.18628	0.55978	0.90208	0.34564	0.93316	0.33849	0.9376	0.065386
Meth__cg13794888__RNUT1	0.073685	0.070883	0.6934	0.30232	0.049213	0.074253	0.066705	0.098152	0.062044	0.069888	0.073051	0.03029	0.6326	0.56246	0.25742	0.062086	0.060068	0.11336	0.059598	0.64267	0.14425	0.06178	0.054646	0.14743	0.62673	0.091897	0.052716	0.053308	0.071663	0.052397	0.053451	0.05947	0.26572	0.053678	0.10141	0.43058	0.056595	0.071679	0.058736
Meth__cg10758292__DEFA1	0.16248	0.068423	0.33185	0.1273	0.066962	0.1376	0.17638	0.58153	0.22176	0.10036	0.76492	0.62327	0.86463	0.057351	0.27473	0.143	0.63345	0.15311	0.033838	0.18921	0.15366	0.099421	0.73651	0.15921	0.13974	0.16744	0.1534	0.079289	0.04676	0.10331	0.047098	0.082263	0.6606	0.31738	0.14052	0.37842	0.091669	0.16266	0.076957
Meth__cg01911082__CSMD3	0.14959	0.012962	0.20964	0.021941	0.096183	0.7801	0.081878	0.7405	0.02236	0.030032	0.17742	0.52549	0.34704	0.1276	0.03002	0.31183	0.055433	0.053961	0.017936	0.56524	0.62828	0.045229	0.23306	0.89605	0.032069	0.076469	0.02622	0.39564	0.027266	0.024689	0.25121	0.041607	0.52622	0.068251	0.017906	0.15682	0.050972	0.47711	0.021657
Meth__cg24355091__PSARL	0.033504	0.022216	0.40931	0.24701	0.41862	0.21692	0.69966	0.43313	0.083028	0.13843	0.055614	0.15176	0.097395	0.11873	0.088421	0.034563	0.039491	0.2161	0.026068	0.38323	0.778	0.046136	0.13954	0.16853	0.062457	0.10672	0.10155	0.076503	0.049066	0.030163	0.043296	0.055014	0.1935	0.053828	0.088499	0.25689	0.13736	0.12893	0.16383
Meth__cg05337441__APOB	0.063603	0.030815	0.30368	0.06024	0.08168	0.11445	0.062659	0.10999	0.033676	0.045242	0.36328	0.27217	0.32117	0.023443	0.043726	0.11891	0.3442	0.047721	0.033098	0.041781	0.63009	0.15179	0.098845	0.11382	0.046236	0.055731	0.062464	0.042761	0.045032	0.052087	0.035091	0.035148	0.1219	0.088126	0.089299	0.042382	0.039527	0.09521	0.043158
Meth__cg21514871__MEFV	0.16273	0.037197	0.74092	0.74923	0.26662	0.29947	0.13601	0.80902	0.55672	0.54917	0.54575	0.54762	0.6131	0.068397	0.37524	0.29406	0.66647	0.37252	0.078349	0.51963	0.32144	0.61556	0.59594	0.11754	0.1162	0.066983	0.13284	0.47508	0.072854	0.043781	0.55684	0.087785	0.25719	0.12541	0.087192	0.41155	0.293	0.18672	0.22273
Meth__cg25488206__RBM9	0.084582	0.09994	0.064376	0.78919	0.037693	0.82889	0.055631	0.035925	0.066058	0.28147	0.88381	0.066496	0.095462	0.053662	0.067146	0.055365	0.060377	0.062629	0.036458	0.58167	0.92516	0.054122	0.8935	0.083587	0.080861	0.060621	0.052391	0.062047	0.10394	0.058769	0.043314	0.062231	0.18055	0.19939	0.12041	0.75208	0.81659	0.093183	0.66964
Meth__cg17404915__OVOL2	0.047399	0.037864	0.046047	0.032537	0.6685	0.068304	0.86445	0.034505	0.042803	0.068241	0.035902	0.088712	0.12702	0.061721	0.043344	0.049794	0.038615	0.054328	0.15242	0.04444	0.056425	0.057055	0.032977	0.86392	0.05496	0.070609	0.91744	0.062554	0.086553	0.5219	0.032558	0.088424	0.037966	0.029595	0.1059	0.067688	0.0672	0.10243	0.067883
Meth__cg02422694__HOXB4	0.85288	0.040165	0.62235	0.062092	0.038815	0.79084	0.038348	0.57267	0.29239	0.42335	0.48432	0.84927	0.79198	0.21999	0.26402	0.28696	0.062763	0.1021	0.50899	0.63029	0.47695	0.35063	0.8913	0.87256	0.77022	0.087323	0.040328	0.058646	0.10436	0.51582	0.076262	0.81624	0.59284	0.51045	0.65983	0.25375	0.34509	0.41069	0.57776
U133A__PRKRIR	9.1253	7.7476	9.338	7.918	7.5965	6.9452	6.3444	7.0352	8.6927	8.1006	7.8564	7.6003	8.2642	6.9316	8.4684	7.7516	7.5375	8.1211	7.1304	7.9468	10.7632	6.8576	8.5159	8.0769	7.458	7.2631	6.6417	8.3202	7.5467	6.8547	8.0119	7.9799	7.1922	10.7226	7.8441	7.7156	6.7416	6.3769	7.6098
U133A__SLC39A6	7.7971	6.2623	8.41	9.7579	7.1998	7.8475	5.9221	7.3674	7.4381	7.3231	6.8048	5.6466	7.0401	6.3356	6.5261	6.3182	7.2364	6.9683	6.666	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.2922	6.2491	6.2838	6.153	7.6162	7.6329	7.1446	7.6467	7.1279	8.8267	9.2532	6.6951	11.5676
Meth__cg11465163__DIRAS3	0.47609	0.06072	0.093347	0.90494	0.93095	0.13692	0.67295	0.9565	0.059287	0.11851	0.31337	0.13374	0.15741	0.046408	0.18689	0.7676	0.064369	0.24141	0.4082	0.62443	0.51426	0.21475	0.91791	0.88533	0.24476	0.21985	0.26922	0.07436	0.085516	0.47171	0.42907	0.51041	0.5962	0.38943	0.43227	0.10438	0.50104	0.49143	0.50297
Meth__cg00466436__DEFB126	0.13893	0.078573	0.43727	0.52993	0.064742	0.32211	0.14474	0.43592	0.54073	0.21127	0.099086	0.079862	0.32552	0.055385	0.35987	0.22798	0.17334	0.12753	0.12086	0.15625	0.5664	0.073691	0.21831	0.11265	0.12672	0.10246	0.078097	0.073806	0.085663	0.067368	0.57453	0.11397	0.74348	0.1012	0.4029	0.21432	0.22261	0.088973	0.22877
