Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G11471__NMNAT3__NMNAT3	3.2876	0.98265	3.7081	3.9964	0.2993	6.1909	0.33705	1.2249	1.0633	4.365	0	2.136	3.923	1.0631	0	0	2.6955	0.097999	0	2.2258	1.1246	1.6219	3.0718	0	1.3699	1.3746	4.781	2.5735	5.1841	5.1134	0	0.5434
RS_G11896__SLITRK5__SLITRK5	4.4036	3.1192	0.25167	0.55999	7.5383	0.33996	2.6478	1.5099	3.2337	0.23193	0.20843	2.0435	1.4606	1.2422	5.1145	4.0805	3.7712	0.38943	3.1632	0.89617	3.81	0.33673	0.21086	3.1578	2.9616	3.3742	0.06974	0.56419	0.60653	3.5177	4.3354	5.212
RS_G5529__G0S2__G0S2	1.0387	0.48117	0	0	0	0	0	0	0	1.1623	5.0443	8.9996	2.0382	0	0	0	2.0825	2.064	7.3596	0	8.7926	1.026	0	0	0	10.221	2.8424	3.4734	0	1.347	0	0
RS_G1374__ACACB__ACACB	3.908	5.2688	3.2278	2.9195	2.2539	6.1215	0.62692	2.9029	4.272	2.6055	2.7762	2.8917	3.4241	2.2371	1.1644	2.6825	3.9113	0	2.0041	6.5934	3.3443	3.3371	4.1871	3.6865	4.39	4.4947	2.4266	3.4655	4.0283	3.3294	5.1677	2.0258
RS_G2073__TDRD1__TDRD1	6.424	5.8676	0	0	0	0.10419	0.085849	0.055694	0.10872	6.1381	0.21942	0	0.080184	6.8676	0	1.2116	0	5.9104	0.11527	4.4935	0	0	0	6.8683	0	0	4.7758	0	6.067	1.306	1.0273	0
SNP__LARGE	-0.004	-0.142	-0.161	-0.475	-0.154	0.018	0.287	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	-0.368	-0.549	-0.439	0.167	-3.103	-0.239	0.115	-0.013	0.314	-0.226	-0.182	-0.306	-2.398	-0.065	-2.538	-0.327	0.369	0.08
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.26857	3.8867	5.6499	6.545	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	4.9621	4.8179
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	6.7313	0.074104	0	0	1.1689	0.54354	0	0	0	0	0	0.40834
RS_G22235__AC087350.3__AC087350.3	6.7584	3.3757	0	4.1748	0	2.4007	8.6826	7.0026	2.5144	5.3739	9.9573	0	6.5159	4.2809	6.6282	8.6943	4.2513	7.319	0.31621	5.0434	3.8004	0.80904	1.6475	4.3854	4.6914	10.1015	7.7291	2.8659	3.0354	5.2584	3.1179	0.82242
RS_G21531__RAET1G__RAET1G	2.8144	2.9198	0.47879	0.54993	1.5764	0.57314	2.3707	3.0707	2.3424	1.2131	1.9137	2.2095	4.5472	2.9135	2.2515	1.926	1.1822	3.9902	1.8867	1.3469	3.5775	1.9008	0.51649	3.4867	1.5783	5.3644	2.4284	7.7615	3.7997	4.5337	1.2429	1.1426
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	0	4.5337	0	2.8049	0.24842	0	0	0.38986	0	0	0.69648	0.74274	7.5473	9.9341	7.1862	4.1111	5.4714	0.31492
RS_G5057__FKBP1B__FKBP1B	1.9851	2.7594	2.1489	1.8948	1.23	0.48755	3.562	3.1728	3.1942	4.5799	0.90864	3.5513	3.3906	1.6684	2.7726	4.3029	1.5406	1.0391	2.7095	2.5102	1.6759	1.8057	0	3.8746	5.3924	4.0097	0	3.3648	0	2.1257	0	0.89388
RS_G4351__COL7A1__COL7A1	4.9884	2.3752	2.4012	0.98581	0.77562	1.255	0.93156	2.5782	1.5435	3.2919	1.7096	5.7269	4.2544	2.9007	2.5551	2.0228	2.8981	0.94048	9.3014	1.4589	2.1883	4.099	5.5402	1.9774	3.883	6.541	3.4674	9.9568	3.5282	4.0318	3.1168	0.65322
RS_G22701__ATP10A__ATP10A	7.5074	0.25087	0	2.7124	0	0	4.4453	2.6536	0	0.069701	4.892	0.22617	4.9408	0	0	4.6253	0.75404	4.7523	3.1988	0	3.3339	0.08933	0.17543	0	6.5671	0.10086	3.9696	4.7707	6.3999	5.6339	3.9525	1.7496
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.095561	1.2518	0.04683	0	0	8.5985	2.6669	0	2.3223	0	0.767	0.25878	0.42998
RS_G17779__SERPINA5__SERPINA5	2.8363	0.88334	1.7537	7.4424	0	0.23529	0	0.36698	0.35356	1.8683	0.82706	0	1.0527	4.4296	0	2.936	0.50421	1.9214	2.4654	7.4494	1.7123	4.375	0	0	0	3.2862	3.8223	4.998	8.8759	1.1276	3.3835	0
RS_G9656__TEX9__TEX9	4.2374	1.2952	4.0477	4.067	2.5317	6.9286	2.6932	2.1361	2.019	3.7916	0.57729	2.784	2.0646	4.3718	3.5552	3.5397	4.1276	3.9276	1.5805	2.2238	2.9177	5.2171	7.8711	3.9164	1.006	0.63633	4.2606	3.1244	3.0016	3.9567	3.575	3.4162
RS_G12875__MFSD7__MFSD7	5.9134	5.9466	0	5.134	0.87243	1.5542	0.39831	0.27981	2.9756	3.974	0.50965	1.6432	2.5464	0.69369	0.24852	0	1.8338	0.32742	1.3851	1.087	3.1895	1.7338	2.1995	5.7598	1.462	3.5056	0	0.37387	4.665	7.7798	5.0269	3.5491
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	1.2197	1.541	6.9593	2.3812	5.6695	0	0	0	0.53834	0	4.4929	3.7126	2.7817	5.326	2.0164	1.8496	0	0	0
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	8.5654	6.2827	8.6321	6.4726	10.8643	1.743	5.1633	8.3696	10.0805	1.1812	5.8895	7.5892	3.3056
RS_G28763__AC004510.1__AC004510.1	4.18	3.003	2.4121	1.6074	0	0.35542	3.6551	0.20787	4.8439	0.65083	1.3738	8.3064	10.732	8.894	0	2.8922	0.17524	8.3564	0.54728	0.49128	3.2587	3.0726	0.58147	1.8833	0.59034	8.2401	1.6626	9.2063	1.1354	2.6933	0	0.48286
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	8.8839	10.4834	4.1418	13.2784	6.112	6.4925	3.8402	8.314	6.6113	3.6695	1.0938	9.938	8.0841	2.1658	3.1152	12.988	8.1643	5.2927
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	4.6158	3.4109	1.6547	2.3654	0	8.7349	3.9007	5.1671	4.9748	4.4277	7.0622	4.7747	5.8747
RS_G3568__KRT23__KRT23	9.9798	4.0091	1.9457	8.0301	0.60861	1.1911	6.0621	0.49245	1.7194	2.2382	9.2509	1.7172	8.506	8.955	3.2441	8.0106	1.2587	8.7022	0.26738	0.77332	0.74167	4.1622	3.8232	5.989	0	4.1409	6.7984	8.2329	7.9631	10.5322	5.121	0.93588
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	1.1394	0.80572	0	0.22422	0.99046	5.91	0.23448	3.8161	5.5146	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	3.7889	2.5183
RS_G3621__RASD1__RASD1	5.969	3.1449	0.68218	4.3604	1.2555	2.573	2.5312	1.9517	9.8031	1.1515	3.5046	3.8191	1.2438	1.4534	3.8761	1.8056	1.9539	1.1264	2.8615	8.3099	5.2432	4.799	2.2009	1.6598	1.155	3.3133	8.5541	3.1136	2.7128	0.32639	2.5211	1.6951
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	0	2.1342	4.5726	0	3.0978	0	0	0.40592	0	0	0	0.20974	0	2.4223	0	1.1025	4.9864	5.5342
RS_G1599__KCNK2__KCNK2	1.0389	0.62798	0	5.2556	5.8207	0	2.2276	6.1906	0.15029	3.4816	1.01	1.3134	2.1757	4.0574	2.5515	1.2762	2.0309	0	6.6978	3.5015	0.9363	4.4893	4.8645	0.74341	0	3.8843	1.4099	0.85665	0	7.8925	5.6046	2.9884
RS_G22203__AC068228.8__AC068228.8	1.211	3.9353	2.0361	0.41371	0	0.42214	0	1.0851	1.6436	1.8201	0	5.6945	3.5015	1.7286	1.8523	0.743	0	2.3202	0.24946	1.2123	0	1.6003	0.68164	0	0.38692	0	1.1511	5.0313	1.583	0	0	0
RS_G7177__OASL__OASL	4.4911	1.7777	0.97103	6.8272	1.337	1.2602	1.554	4.611	1.6683	3.7442	10.6972	1.8634	8.7426	5.6195	3.7297	0.99833	5.4605	9.5817	0.28875	4.3836	5.2892	3.3996	3.0473	0.59656	2.0833	6.5224	6.2748	6.1035	2.6117	4.8781	3.9024	1.989
SNP__ANKRD15	-0.657	-0.203	-1.013	-3.018	0.182	-0.496	-0.451	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	0.296	-0.27	0.831	0.742	-2.347	0.366	0.112	-0.84	-0.627	-0.228	-0.826	-2.804	-0.41	-0.332	-0.181	-0.306	-0.084	-0.001
RS_G22410__KRT6A__KRT6A	3.5895	2.5889	2.9468	0.55164	2.2719	0.71416	10.8969	3.7479	0.58643	0.5174	4.0519	13.3732	10.576	4.7344	0	5.5642	0.38198	5.0609	0.61854	0.83309	0.66193	2.9479	4.5726	0.69475	1.5973	12.9285	9.936	14.7791	14.0538	1.3901	1.3633	1.0956
RS_G4707__OLFML3__OLFML3	5.2801	0.43101	0.28131	6.1475	4.1278	7.1685	0.40889	1.2181	0.39365	3.2528	0	0.39538	1.9049	1.9945	2.0256	1.5895	9.084	0.33632	4.7223	0.47602	2.4568	6.4233	0	0	0	0	0	2.0853	3.3348	6.7764	4.5297	0
SNP__SLC25A18	-0.01	-0.086	-0.134	-0.467	2.812	0.05	0.5	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.217	0.723	0.172	0.157	1.888	-0.122	0.062	0.328	-0.202	-0.752	2.554	0.227	0.058	-0.3	-0.32	0.37	0.095
RS_G8740__AFF3__AFF3	0.44693	0.29226	4.8621	7.33	5.4881	6.8921	0.58624	3.254	3.5345	5.2327	2.2544	0.19739	0.1946	0.030628	0.86284	1.9919	3.4856	0.29365	4.3984	3.673	0.84566	5.9017	1.941	0	1.8813	1.9608	0.46496	0.28438	5.0712	6.2548	2.3747	0.30224
RS_G2495__BMP7__BMP7	0.16836	6.9255	10.0501	6.3611	0	2.0604	5.351	3.0984	8.6894	4.3807	4.587	3.1715	7.535	3.4675	0	6.6048	4.2437	0	0.6962	8.2041	0.37066	5.0916	0	7.9847	3.247	0.39782	8.1684	1.2355	4.2213	2.7631	5.1115	4.2664
RS_G13165__AC055839.9__AC055839.9	2.1562	0	1.3571	3.4608	4.4711	0	3.2713	1.452	1.0082	0.41047	0.39879	3.2727	0	0.52644	1.385	1.1335	1.8594	4.3024	4.3497	0.55378	2.6327	1.5017	0	0	3.9832	0	0	2.0505	2.5645	2.4145	3.4531	0.88875
RS_G1435__LAMP3__LAMP3	0.62064	1.9683	1.0047	1.3769	0.22252	1.1839	5.1333	1.5909	0.88608	2.8659	9.5505	4.2488	5.5942	4.0768	1.8962	4.792	1.4715	6.877	0.97266	1.0233	1.085	0.59349	0.78725	0	3.2642	2.8191	5.5633	3.373	4.535	5.5329	0.7314	0.65096
RS_G15485__TH__TH	0.21303	9.0793	2.3729	4.2067	0	0	0.41538	0	11.2101	2.4775	0.43724	0	0.82904	1.695	0	0	0	0	1.018	2.0259	0.2489	5.6676	0.44832	6.7501	0.45547	1.0089	0	3.2061	3.3023	2.331	4.2082	1.1147
RS_G1108__HES2__HES2	4.4607	3.9302	2.8301	3.7611	1.2035	3.2374	5.4767	2.0637	3.8406	3.773	0.79735	5.1219	4.3317	3.298	1.9966	3.1671	1.5783	7.0011	1.8801	2.8103	3.3004	1.7809	1.2412	3.0231	1.9509	3.0032	6.1151	5.2663	0.95994	2.2767	2.1743	2.2709
RS_G11011__PDZK1IP1__PDZK1IP1	8.8939	5.1203	0	0.39	1.3271	0	4.385	0.76975	0	0	8.5938	1.1708	7.7195	2.9333	4.7973	9.5445	0.92984	11.5825	0.436	0	0	0	0.88496	2.9495	1.1043	8.6643	7.0538	3.5271	0.5957	2.5331	2.3211	0.5381
RS_G8887__PLAC8__PLAC8	3.4307	0.78955	1.4119	1.8455	6.3471	2.1601	3.6961	2.6576	2.0722	2.8257	3.7442	4.2756	6.833	4.3387	2.2481	2.138	2.6302	1.977	3.3026	2.2767	7.9065	2.0243	1.8874	2.7574	2.9311	5.5878	2.4519	7.3535	6.9757	3.1961	2.3072	1.8458
RS_G7480__IL1RN__IL1RN	2.0463	0.66889	2.8104	4.7974	0	2.1334	3.2427	0.13026	1.045	3.8693	1.7232	3.4976	6.3153	4.7985	0.57981	4.6906	0.21629	4.1087	2.7149	1.6923	0	1.396	1.4041	1.7651	0	4.5067	4.2315	3.3613	0.2421	0.64061	1.8077	1.5411
RS_G7046__SAA2__SAA2	2.9556	0.70957	0	0	0.74843	0	3.3906	0	0	0	4.3264	1.932	4.8681	1.4123	0	6.5567	0.42948	6.1314	0	0	0	0	0	3.0788	0.73192	6.3223	0	8.5787	0	0	2.1893	0
RS_G1735__HSD17B2__HSD17B2	1.8766	6.0188	2.0365	0.48433	0	0	1.2357	0	1.522	2.4537	0	4.7163	5.7492	1.6943	7.1172	3.2596	0	4.7601	4.3823	0.18232	0.32372	5.396	0	5.9517	0	0	8.5345	3.3103	8.1036	4.1073	4.4738	0
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	0	0	1.6783	2.1958	0	0.54237	1.3136	14.2018	7.7474	10.6798	0	4.337	0
SNP__MGAM	0.006	-2.204	0.355	0.322	-0.135	0.422	0.042	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.465	0.018	0.485	0.239	0.089	-0.145	-0.041	-0.409	-1.689	0.526	-3.317	-0.327	0.23	-0.287	-0.321	-0.042	0.028
RS_G17022__IFITM1__IFITM1	4.1688	6.5642	0	9.3264	6.1064	4.4432	9.9995	9.2552	2.5984	3.4169	14.0221	6.7156	9.6267	10.438	3.9334	7.6444	4.3719	13.821	7.8255	7.9265	5.5216	1.1189	0	6.0727	7.1558	11.4136	10.9242	7.8003	0.67796	8.022	5.2924	0
RS_G15600__TMEM46__TMEM46	2.893	0	7.3461	8.6498	7.9881	6.3119	5.7037	0.74527	1.9434	4.0751	0.30927	1.052	5.2526	4.1	8.497	3.8335	2.9939	0	0.20205	4.4623	0.70078	5.6394	3.8354	0	0.68267	2.7968	3.177	2.0895	1.2532	6.1793	4.0311	0.57015
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	0.25223	5.1619	0	5.4855	0.070492	0.82882	0	0	3.6661	0	2.0069	0	0	0	0
RS_G3635__ALDH3A1__ALDH3A1	8.6087	0.44329	0	0.40401	3.9326	0.41226	2.035	4.9079	0	1.3562	0	8.9426	7.48	1.663	0.71221	5.3914	0.2053	2.0839	1.1224	0	0.68465	1.8151	0	0	4.9876	3.6765	10.2825	8.7613	3.0595	0.24588	2.199	1.1971
RS_G6246__SOX15__SOX15	3.4901	2.1503	6.5709	1.7357	3.2643	2.2208	6.5765	2.3815	2.2611	2.3751	1.84	9.8631	6.3973	0.82454	2.4836	5.6528	1.9218	2.6222	3.9876	3.1797	3.065	5.971	3.1706	3.8824	3.8058	6.0787	4.1406	7.8524	7.5597	3.2225	1.8228	1.6718
RS_G11273__ALPP__ALPP	0.61363	3.528	0.28662	0.61007	0.47579	0.3482	6.0634	0.75014	0.094933	0.23971	0.30143	4.7477	9.1099	4.7778	0	7.3442	0.717	2.647	1.7801	0.2582	6.8379	1.0915	0.79138	6.9332	0.45731	9.2234	3.5744	10.3246	7.6574	0.38143	0.74304	0.13455
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.5471	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	3.2421	2.1103	0	1.4246	0.38086	1.6506	0	5.1903	5.6421	4.6372	0	3.9762	5.7091	0.87957	2.9579	0	2.8438	2.6927
RS_G7392__SCEL__SCEL	7.4589	0.19101	0.23274	0.90402	0	0	1.0418	0.11996	0.22106	0	0	2.4506	4.643	5.5403	0.70496	4.4201	0	2.1167	0	0	3.143	0.15304	0.65658	1.2372	0	2.3295	5.9209	4.6049	0.43201	0.24223	0	0
RS_G6452__GATA5__GATA5	0	4.94	1.3896	5.8865	0	0.8752	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	0	1.0026	0	0	0.28951	0	3.0839	0.85482	0	0	0	4.1711	0.66483	4.124	4.5765	2.8352	0.27519
RS_G9735__HSPB8__HSPB8	6.9159	4.2737	4.1342	10.9436	0	8.9073	0	1.7163	1.5084	9.6107	1.9996	6.399	5.2617	2.9086	1.7138	1.1226	0.24708	4.8246	5.9738	6.7034	1.8549	8.6261	0	0	0	1.2387	7.9368	4.4231	8.4206	6.3513	8.9851	4.3188
RS_G12106__FBN1__FBN1	1.2014	1.8895	2.1102	0.65511	7.5586	2.1463	1.108	8.4746	0.6436	0.18388	0.66708	3.0923	4.1752	1.0146	0.74839	4.3982	6.9848	4.5742	9.8221	1.5016	5.7106	1.3307	3.0962	1.224	5.4877	1.9859	0.49329	2.2667	1.2437	0.29429	1.0261	0.5397
RS_G18569__ACSL5__ACSL5	4.0017	6.8688	0.8864	1.1563	0.26438	0.27539	0	0.71455	0.72692	0.099674	0.79755	4.3891	5.4941	6.1864	3.7539	2.465	0.84555	7.0282	3.1101	0.26954	8.0381	0.13281	0.24714	7.5421	0	3.431	4.3078	5.681	0.92507	0	1.2179	0.29214
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	0	1.9934	7.0512	2.5686	5.708	0.28477	2.3956	0.30446	0.37271	0	5.2065	0.9963	0	0.51857	7.5456	0	0.70319	0.30943
RS_G22683__RP13-238F13.2__RP13-238F13.2	0.41194	0	0	0.26619	0	0	5.0298	0	0	0	3.4183	4.0214	4.4978	0.96075	1.9342	4.8181	0	1.9117	0	0	0	0.25739	0	2.1859	0	0	2.9233	3.198	0.54298	2.9385	0	0
RS_G2174__SCARF2__SCARF2	0.99226	1.4054	2.0403	4.0099	8.0048	1.1916	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	1.8754	2.3524	4.2897	4.5508	0	7.0169	3.4351	2.0464	2.2091	2.4421	4.3461	4.064	4.2022
RS_G2087__CRISP3__CRISP3	12.2314	7.1355	1.9518	1.8899	0.23487	0	0	0	7.5024	2.8094	1.3866	0	1.6931	3.6823	4.0308	1.6394	0.1214	6.0817	0.26944	2.9367	0	2.0069	0	8.4934	0	1.1939	2.3662	0.36223	12.7601	5.5423	4.6837	1.6889
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	2.4511	3.8537	4.2693	3.4924	3.1903	3.4285	2.316	2.3458	2.0891	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.5497	2.8662
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	9.6008	0.4589	8.6745	4.204	9.5072	1.276	2.3445	4.4718	5.1828	7.4045	10.2263	10.6767	6.5261
RS_G7745__IFI44L__IFI44L	0.23732	0	0	4.5645	0.60514	0	0.99127	3.5141	0	2.0578	9.2152	1.5653	3.916	4.217	4.1907	0.47385	1.9555	10.2427	1.0245	0.60717	1.9467	0	0	0	0	7.3195	7.3714	2.6778	0.41582	0	0	0
RS_G17651__RAB42__RAB42	4.7677	1.7656	2.9216	3.4162	2.642	3.0762	2.7951	4.0546	3.3722	3.8698	4.7778	2.9868	4.3234	2.3992	3.6447	2.7081	3.7617	4.3767	3.3539	2.8852	1.9088	2.7932	3.1032	2.7408	2.8262	7.8286	3.4768	4.0306	2.1449	2.5359	2.5914	2.6712
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	3.9423	4.4599	2.2384	2.795	0.92187	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9342	3.0285	2.9598	3.4945	0.25785	2.954	1.0921	0.61006	1.0796	0.10982	2.6449	1.8505	0.94161
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	5.7149	0.74174	0	0	1.7984	3.3971	3.6119	0.39506	1.3707	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	0.70066	0
RS_G961__COL17A1__COL17A1	0.78057	1.2182	3.5799	0.57122	0.52555	0.13654	5.7701	0.37132	1.2112	0.4913	1.2963	10.0366	7.6715	3.2624	0.17465	7.6051	0	0.081001	3.6348	0.13294	3.5943	3.3934	2.6571	1.3123	0.97317	5.6195	4.52	6.5876	5.2315	0	1.6642	0.77239
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.86591	0	0.36315	4.6507	3.6118	4.0025	0.92933	4.6996	0.24783	0.22552	0.35049	0	2.3777	0.35275	0	0	0	2.3037	1.2322
RS_G4968__GDA__GDA	0.10563	0.60521	0	0.089202	0.08965	0.04757	6.0545	0.10286	0.047751	0.23587	0	5.0147	3.2095	0	0	5.0122	0	2.4387	3.1359	0	0.38708	0.044528	0	0	0.084976	5.2678	0.79784	2.3435	0.050969	0	0.066214	0
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	0	0.83238	0	0.45042	0	0	0	0	0	0	1.7475	0	2.7222	0.6426
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	0.89178	4.0871	0	6.8365	0.168	5.8953	0.26802	3.6486	0.47906	7.1336	0	0	5.449	4.4458	0.96487	0	5.4337	1.2718
RS_G9937__PID1__PID1	3.531	3.4933	0.99515	2.4397	2.7231	0	3.8103	7.2734	3.7721	1.9968	4.77	1.9694	1.4947	1.1073	0.17537	5.107	5.6305	3.47	5.7238	1.2408	3.9905	0	0	4.4948	5.1605	9.1818	2.9212	4.2784	5.3652	0.53315	2.6993	1.5765
RS_G3490__CXCL12__CXCL12	0	0	2.9622	3.9301	0.4426	5.8654	3.0639	8.8931	1.0707	2.2694	3.4802	0.50156	0.42784	0	0	0	3.9302	0	6.1614	4.9364	0	4.2011	0	0	0.49502	0	0	0	0	2.6646	3.6662	0
RS_G13967__SAA1__SAA1	5.8686	2.466	0.66682	0	0.60947	0	5.8748	1.1505	0	0	7.8222	2.818	8.6219	3.2463	0	8.7643	1.3519	8.9175	0	0	2.3174	0	2.2873	2.3878	0.9773	9.2618	0	9.6673	1.97	0	2.2783	0
RS_G12909__PCSK9__PCSK9	0.224	0.24897	2.5636	0	0	0.14829	0.234	0.43977	0.35935	0.85135	0.25092	6.1286	5.334	0	0.27453	1.6052	0.38632	9.485	1.4526	0.074324	0	1.2053	0	0.63762	0	10.6319	5.9443	8.6141	0.36774	0	0.20373	0.20416
RS_G8803__AC092042.2__AC092042.2	2.9259	4.6984	1.6913	0.92682	0.19927	0.93976	1.0901	0.51281	0.11158	0.60724	1.935	4.1974	2.6195	2.2947	0.37621	1.21	0.36989	3.1885	2.7063	0.53398	0	1.3681	0.3487	3.0623	0	0.93099	4.4882	0	1.5699	4.9666	0.62196	0.89976
RS_G4449__TP53I3__TP53I3	6.2147	5.1241	4.0524	3.1718	5.9533	5.2338	6.097	3.1749	5.1934	3.9811	5.0749	4.6901	5.846	6.3916	6.3165	7.5979	5.7409	4.9518	6.7277	6.3196	7.1538	6.6031	7.0284	4.1156	6.9599	7.4397	1.4907	7.1911	5.3831	11.8603	6.1034	5.2564
RS_G3953__GPRC5D__GPRC5D	2.6057	2.7512	2.6011	3.2717	0	2.0069	2.0219	4.3231	3.6325	3.1167	1.9299	4.4397	1.2847	1.6856	0	0	0	2.1575	3.41	2.534	2.7768	3.0597	3.4671	2.661	0	0	2.8574	3.3235	3.671	0	0	0.34313
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.6208	0.92349	3.4038	1.0708	0	3.8555	1.6321	0.59612	3.1292	1.0472	4.6096	7.4302	1.0654	4.9661	0.91013	0	6.4231	4.5946	3.3807	8.5304	1.4481	0.43164	3.1699	3.7784	3.5099
RS_G6759__XAF1__XAF1	0.70494	0.24912	0.077767	3.8743	4.3757	0.34105	0.51684	0.78531	0.15423	0.37371	8.1182	1.6447	5.2741	3.6319	3.557	0.3472	4.516	7.9514	1.8859	0.55715	0.070228	0	0.25471	0	2.2428	4.2314	6.9815	4.6265	0.15909	0.9767	0.10585	0.10335
RS_G11659__FOXQ1__FOXQ1	1.3317	0	0	0.32199	0	0	4.9799	0.24861	0	0	1.0826	8.1771	6.1798	2.8295	0	0	0.11238	5.7483	4.8724	0	4.4486	0.59161	0	0	0	4.3107	3.5072	6.8165	3.8679	0	0	0
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6486	6.2823	1.4311	1.9978	0	1.8031	5.7124	8.5429	3.6724	3.048	5.5259	1.7547	0.9293
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	6.7007	1.2431	1.4693	6.9239	6.7744	12.4501	7.6521	3.4383	9.9669	2.3008	10.6566	3.9295	1.6805	0.72684	3.0384	2.1965	1.5744	1.8388	11.3122	12.7978	9.5632	12.3241	3.8277	3.2686	3.0416
