Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg04893119__PI15	0.77355	0.075998	0.56548	0.096756	0.49656	0.14649	0.63203	0.40414	0.093759	0.26595	0.216	0.13487	0.44961	0.72807	0.20727	0.25308	0.088683	0.2787	0.82845	0.26577	0.58963	0.12713	0.10439	0.078378	0.50927	0.64908	0.058219	0.087666	0.18581	0.10349
Meth__cg17027046__ITPA	0.13265	0.13604	0.13155	0.09837	0.099947	0.15497	0.11298	0.38693	0.11572	0.075461	0.15534	0.10328	0.15823	0.10651	0.19297	0.18887	0.16271	0.17405	0.15904	0.099443	0.14937	0.17021	0.25484	0.16724	0.10974	0.13318	0.131	0.18342	0.20188	0.1652
Meth__cg20485165__WFDC12	0.60352	0.02287	0.6111	0.44386	0.37527	0.105	0.94379	0.26209	0.30425	0.96059	0.79015	0.045389	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.90316	0.87012	0.13672	0.14014	0.21203	0.040174	0.89291	0.44841	0.10655	0.3905	0.22681	0.22674
Meth__cg19033555__DEFB1	0.1961	0.11038	0.89048	0.074641	0.047971	0.37876	0.91306	0.37518	0.79391	0.85897	0.84113	0.11622	0.74385	0.90991	0.69503	0.052569	0.54734	0.21381	0.11731	0.92113	0.2122	0.20399	0.76548	0.10563	0.077799	0.45484	0.71953	0.47687	0.15614	0.069029
Meth__cg06185738__SLC17A6	0.096722	0.027128	0.062086	0.025008	0.050647	0.077487	0.85935	0.035328	0.31065	0.080685	0.077636	0.033251	0.066409	0.48566	0.13622	0.043342	0.040822	0.053949	0.89614	0.14529	0.055861	0.042259	0.86002	0.048231	0.032825	0.034096	0.049497	0.032245	0.042905	0.23107
Meth__cg27104271__SLCO2B1	0.20386	0.076145	0.77247	0.45474	0.050422	0.21907	0.51522	0.13397	0.16116	0.51634	0.26347	0.05733	0.20016	0.3351	0.10292	0.06229	0.2839	0.29975	0.76462	0.55458	0.13106	0.17712	0.1048	0.10051	0.07606	0.064228	0.079155	0.29328	0.18993	0.17414
Meth__cg08690031__CDCA7	0.098668	0.076317	0.089914	0.43964	0.081869	0.11293	0.057071	0.077033	0.064507	0.094862	0.061966	0.88304	0.056356	0.070093	0.12813	0.79551	0.80158	0.79193	0.067262	0.069866	0.20309	0.5848	0.16167	0.15338	0.031696	0.043485	0.02967	0.10496	0.70793	0.32012
Meth__cg03602500__FLJ00060	0.11584	0.05722	0.072757	0.062924	0.12062	0.094706	0.40187	0.071063	0.41951	0.6293	0.27524	0.035201	0.098106	0.2786	0.16778	0.0477	0.067395	0.11796	0.079068	0.84499	0.23515	0.060248	0.11128	0.069715	0.066575	0.079573	0.13724	0.10284	0.059836	0.06868
Meth__cg02721374__OR1D2	0.88902	0.12577	0.75777	0.12962	0.17312	0.54779	0.81727	0.15674	0.65628	0.5308	0.61189	0.082999	0.65469	0.88802	0.10727	0.075506	0.27554	0.34278	0.5593	0.48739	0.091254	0.11402	0.33333	0.42159	0.13611	0.069619	0.66685	0.33026	0.36556	0.39387
Meth__cg03464416__RPL10	0.29175	0.10284	0.13926	0.2965	0.044466	0.092711	0.77732	0.067116	0.056461	0.187	0.12142	0.034128	0.39406	0.66814	0.14067	0.10954	0.048007	0.066101	0.65254	0.57267	0.17465	0.087452	0.27435	0.081437	0.41715	0.036505	0.13096	0.69503	0.31173	0.076412
Meth__cg02946850__GRM8	0.54437	0.025803	0.81848	0.031751	0.69226	0.48042	0.27586	0.14019	0.6881	0.15909	0.17997	0.066885	0.21969	0.41247	0.10585	0.069539	0.12884	0.09275	0.76126	0.87078	0.25446	0.2696	0.27641	0.044114	0.10827	0.38338	0.18048	0.13211	0.39904	0.22465
Meth__cg16678925__OR1A2	0.35912	0.059737	0.26526	0.092102	0.049199	0.14652	0.20863	0.077075	0.25049	0.2	0.18696	0.077347	0.4041	0.50873	0.16539	0.047113	0.078709	0.14242	0.13808	0.45299	0.083909	0.061542	0.16904	0.068466	0.07235	0.050005	0.28671	0.16314	0.11151	0.17753
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.63909	0.10767	0.27788	0.21835	0.77333	0.13245	0.25376	0.23782	0.2509	0.16485	0.20077	0.22465	0.14815	0.16475	0.13124	0.15774	0.78845	0.16157	0.45484	0.1721	0.29889	0.087942	0.10622	0.20464	0.10853	0.12659	0.14646	0.14324
Meth__cg11784785__SLC6A5	0.12135	0.042445	0.55237	0.16432	0.082744	0.27229	0.74339	0.063939	0.27194	0.23303	0.17547	0.042355	0.24838	0.072869	0.11032	0.054137	0.13782	0.12033	0.49009	0.60206	0.11908	0.070268	0.23579	0.10913	0.053044	0.059605	0.18932	0.28081	0.13866	0.094408
Meth__cg05828624__REG1A	0.59271	0.11688	0.88003	0.090413	0.14558	0.76402	0.66054	0.12989	0.31849	0.62568	0.14474	0.20107	0.33424	0.12905	0.24965	0.12652	0.090954	0.10497	0.14491	0.47312	0.20518	0.1462	0.70619	0.1746	0.51529	0.8387	0.11224	0.14362	0.3206	0.17422
Meth__cg08159444__PNMA5	0.10401	0.084835	0.79764	0.49079	0.089533	0.35319	0.8699	0.62976	0.2479	0.69585	0.67884	0.030903	0.31986	0.73281	0.14108	0.055721	0.6638	0.53828	0.26706	0.47047	0.15356	0.16386	0.13471	0.251	0.21964	0.039111	0.17077	0.71452	0.15713	0.24173
Meth__cg18869368__MAGEH1	0.46386	0.052479	0.90801	0.063655	0.41904	0.090787	0.17366	0.3382	0.86655	0.415	0.49655	0.12529	0.074251	0.39837	0.25285	0.11209	0.072887	0.08791	0.48039	0.3953	0.78979	0.12046	0.35276	0.077756	0.81638	0.13609	0.10478	0.30174	0.069981	0.077616
Meth__cg15856055__ZNF511	0.10907	0.076625	0.2137	0.07098	0.75434	0.13097	0.1839	0.11932	0.12576	0.48033	0.19231	0.11323	0.14645	0.41767	0.1078	0.50479	0.071195	0.093719	0.15988	0.25448	0.41294	0.091023	0.12438	0.18684	0.10969	0.13865	0.073964	0.25554	0.059835	0.09375
Meth__cg26264314__NALP5	0.52213	0.10505	0.29003	0.087779	0.3019	0.6522	0.14929	0.05931	0.40746	0.50704	0.29776	0.075045	0.11008	0.32294	0.11429	0.070866	0.26136	0.56491	0.78229	0.8903	0.4574	0.054332	0.7319	0.077142	0.45839	0.078236	0.15962	0.63416	0.10879	0.062364
Meth__cg01535453__ACADS	0.50289	0.96803	0.92864	0.15151	0.97295	0.10014	0.04812	0.21009	0.093761	0.071077	0.93647	0.98089	0.072031	0.050949	0.13158	0.048585	0.16734	0.12486	0.091584	0.10465	0.58504	0.96465	0.94702	0.93738	0.1287	0.076404	0.034667	0.062523	0.96573	0.96446
Meth__cg10798171__ICA1	0.12069	0.20148	0.26476	0.20939	0.56121	0.14064	0.1511	0.2617	0.52717	0.52028	0.49772	0.083839	0.18041	0.4088	0.20277	0.22455	0.14369	0.12283	0.15133	0.60317	0.3972	0.12813	0.12587	0.22277	0.16491	0.093974	0.060194	0.11647	0.11336	0.10264
Meth__cg12685753__TEKT1	0.070802	0.054663	0.49705	0.1292	0.89891	0.2017	0.41027	0.13821	0.80118	0.4034	0.33898	0.077705	0.46884	0.12483	0.090134	0.036312	0.07449	0.1263	0.51615	0.1594	0.6563	0.086073	0.59434	0.15785	0.060512	0.041783	0.27729	0.091681	0.17144	0.084378
Meth__cg09226684__KLK10	0.57287	0.087975	0.2924	0.10584	0.38722	0.10052	0.17463	0.10219	0.86567	0.72887	0.12721	0.13035	0.12659	0.27874	0.10526	0.2206	0.095399	0.12513	0.63634	0.36703	0.29566	0.11556	0.56308	0.076601	0.11019	0.11508	0.11587	0.088704	0.1027	0.086381
Meth__cg10011232__FKBP8	0.060302	0.062962	0.2847	0.096478	0.10394	0.066089	0.067281	0.04891	0.18668	0.44289	0.14697	0.059522	0.32332	0.46137	0.44873	0.06358	0.060771	0.055044	0.21091	0.15536	0.12931	0.092035	0.10577	0.23134	0.059636	0.048043	0.064425	0.09758	0.084791	0.069137
Meth__cg19803984__SNRPN	0.91735	0.035401	0.94727	0.044967	0.28995	0.9018	0.85965	0.06949	0.71909	0.47013	0.1563	0.85265	0.31977	0.36252	0.084808	0.044217	0.067084	0.12952	0.18273	0.44604	0.18882	0.8846	0.76663	0.050456	0.069516	0.052778	0.088879	0.046319	0.10863	0.1844
Meth__cg23447996__SYK	0.13343	0.095417	0.14174	0.082443	0.55392	0.37867	0.55779	0.10152	0.7121	0.168	0.098669	0.20413	0.17038	0.43939	0.10948	0.085471	0.14679	0.096425	0.57126	0.23115	0.34617	0.2493	0.84099	0.26182	0.11554	0.30635	0.15646	0.08708	0.1058	0.12679
Meth__cg09212468__C16orf50	0.15963	0.065779	0.69262	0.13229	0.14998	0.16303	0.23542	0.098786	0.41223	0.35375	0.32882	0.12546	0.22174	0.83574	0.28821	0.11559	0.13416	0.12811	0.14257	0.13592	0.29399	0.18077	0.15721	0.11365	0.077495	0.13815	0.21269	0.13571	0.19465	0.18143
Meth__cg10071275__MYT1	0.12511	0.092764	0.10019	0.10137	0.85357	0.13432	0.83154	0.11294	0.84276	0.94948	0.19941	0.11955	0.47015	0.66379	0.18482	0.45813	0.14765	0.21422	0.10606	0.58901	0.70847	0.10562	0.19864	0.13973	0.25298	0.42164	0.10277	0.14533	0.088365	0.087373
RS_G8354__PMAIP1__PMAIP1	4.0124	3.1341	5.0862	4.7247	5.4108	3.4802	5.7681	3.9484	9.8502	4.8414	5.4832	0	2.9297	7.3392	6.0246	5.9079	2.6823	2.1942	6.0173	3.7396	6.9079	4.193	0.73814	1.8729	4.2525	4.0255	2.6193	3.0695	4.9198	3.01
Meth__cg08955609__APOE	0.023596	0.03179	0.29571	0.036658	0.67491	0.067427	0.62356	0.040101	0.80753	0.34698	0.23688	0.024524	0.62586	0.57156	0.067426	0.056207	0.07577	0.036009	0.41677	0.042072	0.56178	0.24307	0.71274	0.040279	0.03766	0.56072	0.28176	0.02875	0.030139	0.11701
Meth__cg08462247__MYEOV2	0.049983	0.045671	0.057271	0.048431	0.04244	0.053238	0.11957	0.062364	0.066574	0.12452	0.063824	0.095431	0.04631	0.13	0.090085	0.045453	0.035637	0.051327	0.060563	0.058912	0.48551	0.060363	0.095276	0.081346	0.065839	0.034881	0.04852	0.061357	0.047894	0.042385
Meth__cg15164103__MEST	0.10477	0.061122	0.10935	0.067746	0.83768	0.32679	0.77847	0.070967	0.7729	0.22371	0.18813	0.048666	0.48316	0.093475	0.086716	0.73864	0.069605	0.075672	0.6032	0.044821	0.39966	0.082264	0.13324	0.084048	0.85847	0.074231	0.4498	0.075451	0.06903	0.080966
Meth__cg24103438__NLGN4X	0.10104	0.055249	0.89519	0.098592	0.60554	0.8119	0.77614	0.075739	0.79332	0.55414	0.20375	0.2094	0.54644	0.21377	0.11096	0.097753	0.09748	0.29677	0.45027	0.91049	0.36429	0.07921	0.86194	0.19376	0.078474	0.43556	0.55461	0.088434	0.60429	0.21661
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	8.3035	7.0863	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	9.1787	7.8424	7.1251	7.997	8.7783	8.8604	8.5107
Meth__cg05592527__ARMCX6	0.50842	0.015967	0.60709	0.024396	0.015995	0.024666	0.12514	0.014175	0.024186	0.052509	0.09996	0.01353	0.13646	0.40133	0.027895	0.017847	0.021919	0.019277	0.31885	0.51303	0.034347	0.021007	0.11808	0.037522	0.024677	0.017078	0.11828	0.63794	0.020721	0.079713
Meth__cg00918005__REG3G	0.26406	0.031475	0.72241	0.02899	0.04975	0.41682	0.31524	0.047778	0.57417	0.41454	0.14365	0.12811	0.051394	0.034809	0.12534	0.040323	0.037726	0.043386	0.39129	0.31686	0.16202	0.049876	0.3855	0.046597	0.039331	0.15312	0.07183	0.044771	0.056515	0.036532
Meth__cg25964007__WDRPUH	0.44006	0.046409	0.956	0.038259	0.031039	0.11515	0.07625	0.055853	0.95395	0.11441	0.89946	0.041344	0.94115	0.96268	0.13531	0.036696	0.036809	0.34898	0.19543	0.049195	0.53691	0.046077	0.15515	0.052408	0.94933	0.042509	0.59001	0.049353	0.57615	0.94144
Meth__cg17267907__DEFA1	0.079797	0.085964	0.27797	0.04751	0.08843	0.066651	0.32653	0.071761	0.45452	0.69664	0.10474	0.063077	0.12358	0.54883	0.16369	0.082422	0.39191	0.22157	0.1132	0.29573	0.10665	0.076552	0.086207	0.15035	0.13807	0.089117	0.085364	0.67088	0.11661	0.11841
Meth__cg03109701__TMEM118	0.10425	0.10342	0.17629	0.093787	0.12641	0.13245	0.23292	0.19932	0.12563	0.62979	0.17258	0.054601	0.12931	0.10072	0.10902	0.10307	0.10046	0.096438	0.11237	0.68031	0.13181	0.091906	0.19869	0.25918	0.9388	0.075434	0.065751	0.45734	0.1321	0.090623
Meth__cg17477756__HNRPM	0.065482	0.069109	0.060962	0.11164	0.30307	0.053649	0.09445	0.088973	0.049769	0.050464	0.089642	0.050901	0.052216	0.049351	0.114	0.070249	0.06431	0.078009	0.058708	0.045672	0.3366	0.083528	0.14249	0.11389	0.031271	0.037675	0.054838	0.068003	0.081102	0.12351
Meth__cg00162401__GSTA4	0.03517	0.026356	0.031388	0.027022	0.023592	0.029733	0.021647	0.68135	0.021013	0.027681	0.047678	0.023375	0.024402	0.026665	0.053233	0.023132	0.61832	0.49014	0.028292	0.032552	0.092873	0.91444	0.92573	0.045995	0.022211	0.027083	0.43231	0.047115	0.056068	0.040998
Meth__cg08935003__MS4A6E	0.14696	0.069858	0.56533	0.08967	0.084832	0.11345	0.20032	0.082323	0.21459	0.078575	0.49254	0.11166	0.15752	0.33098	0.17373	0.070431	0.10775	0.086098	0.7592	0.1585	0.17892	0.097564	0.19215	0.097599	0.083561	0.062073	0.10616	0.080221	0.11311	0.098361
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	1.4841	0.66661	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	6.4578	0	0	3.8345	2.2284	6.4281	3.0258
Meth__cg07141002__H1F0	0.069085	0.063198	0.28667	0.068176	0.74185	0.19321	0.11178	0.07772	0.4004	0.91041	0.82011	0.037489	0.67905	0.25618	0.049072	0.036808	0.054973	0.077499	0.26212	0.14414	0.1156	0.059791	0.12487	0.34537	0.50288	0.91821	0.043365	0.83895	0.064607	0.065383
Meth__cg21179457__INSM2	0.039607	0.048792	0.056435	0.035811	0.036894	0.06103	0.049834	0.04124	0.49247	0.093199	0.069956	0.034169	0.060584	0.065368	0.0428	0.055864	0.04874	0.072793	0.057803	0.59659	0.13776	0.058477	0.073482	0.079641	0.06801	0.037991	0.043634	0.04893	0.076698	0.098369
Meth__cg06716436__EDG5	0.02261	0.034796	0.030067	0.063404	0.24943	0.029095	0.028869	0.04741	0.025488	0.024052	0.073647	0.035394	0.022356	0.026431	0.053688	0.016496	0.03571	0.028851	0.024611	0.033315	0.065283	0.038391	0.035271	0.045621	0.019075	0.019691	0.036588	0.061477	0.038752	0.045031
Meth__cg02611282__CREB5	0.30175	0.060912	0.18208	0.1126	0.28222	0.1517	0.58887	0.099298	0.19469	0.3658	0.45172	0.04998	0.18079	0.45498	0.087625	0.13833	0.22452	0.10819	0.20188	0.08697	0.55852	0.15179	0.16646	0.12054	0.26409	0.18589	0.25208	0.15096	0.10717	0.10962
Meth__cg23799313__PAQR7	0.074643	0.03129	0.090851	0.053866	0.443	0.043641	0.32986	0.053814	0.082471	0.083239	0.081552	0.047554	0.11418	0.37085	0.12001	0.34088	0.064523	0.090024	0.067745	0.19927	0.6003	0.077852	0.066436	0.074615	0.51678	0.12556	0.029388	0.054137	0.037208	0.04449
Meth__cg27519236__KIFC3	0.10299	0.91867	0.71866	0.098568	0.032391	0.5963	0.037754	0.041388	0.049771	0.03909	0.91267	0.53276	0.037426	0.029542	0.1546	0.036692	0.92174	0.89375	0.047158	0.059077	0.10197	0.85888	0.84109	0.43408	0.028421	0.02837	0.94481	0.39809	0.92052	0.89771
Meth__cg05820087__ATP13A4	0.11772	0.092339	0.11928	0.069182	0.32099	0.81292	0.84996	0.10542	0.72547	0.21363	0.72403	0.10641	0.60686	0.38771	0.24422	0.074251	0.40561	0.16886	0.81942	0.076696	0.33599	0.13846	0.62622	0.24858	0.80119	0.40069	0.23072	0.10123	0.14329	0.092671
RS_G12129__GABRB3__GABRB3	6.1029	0.22135	3.7179	0	0	0	0.38963	0	4.6902	0.31319	0	4.453	0.32792	0	0	0	0	0	6.0912	1.1978	1.4035	0	0	0	0.29687	0	0	0.54281	0	2.6963
Meth__cg19580810__RAB25	0.099988	0.050562	0.088267	0.056962	0.86798	0.089921	0.15854	0.14805	0.8073	0.2503	0.23371	0.038933	0.21856	0.86002	0.07881	0.80537	0.088248	0.074521	0.21466	0.06447	0.85185	0.14751	0.078888	0.27169	0.83685	0.080202	0.040285	0.17464	0.037945	0.036921
Meth__cg00660989__BTBD5	0.038142	0.019807	0.041488	0.025568	0.03809	0.061573	0.055036	0.031533	0.087927	0.12939	0.070339	0.038462	0.041461	0.026143	0.12801	0.056867	0.03453	0.033911	0.052216	0.26896	0.10509	0.031804	0.061951	0.042291	0.5815	0.03635	0.043263	0.058079	0.044965	0.031114
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	4.4855	2.5012	3.0563	1.0451	3.614	1.0041	2.1619	3.6414	4.6007	6.7091	5.158	1.0037	2.8448	2.0232	0.83225	1.4749	4.0786	4.4021	3.4789	2.2518	5.5087	5.8134	0.56077
Meth__cg04543012__TFCP2	0.055556	0.55941	0.066756	0.5058	0.044228	0.66306	0.049007	0.82217	0.069782	0.039964	0.79522	0.46995	0.042294	0.041877	0.097796	0.041207	0.83399	0.84444	0.079434	0.052965	0.069326	0.22594	0.089238	0.18701	0.043906	0.047447	0.045533	0.048305	0.45878	0.80361
Meth__cg14062083__KRTAP13-4	0.3599	0.092754	0.70426	0.18263	0.31269	0.51225	0.84213	0.088055	0.74122	0.56026	0.136	0.12687	0.26425	0.14473	0.1518	0.10203	0.08579	0.11592	0.45137	0.63552	0.16262	0.10766	0.51998	0.11364	0.060177	0.76776	0.1173	0.093449	0.16195	0.27739
RS_G1435__LAMP3__LAMP3	0.62064	1.9683	1.0047	1.3769	0.22252	1.1839	5.1333	2.8659	9.5505	5.5942	4.0768	1.8962	4.792	1.4715	6.877	0.97266	1.1293	1.0233	1.7863	2.7514	1.085	0.59349	0.78725	0	3.2642	2.8191	4.535	0.78899	0.7314	0.65096
Meth__cg26164184__FCN2	0.9376	0.10469	0.76232	0.76149	0.28841	0.63137	0.45562	0.38554	0.83093	0.91218	0.87724	0.054698	0.6877	0.95427	0.086957	0.045661	0.53506	0.5676	0.93989	0.95076	0.10145	0.23082	0.11448	0.069767	0.2363	0.11086	0.77248	0.64765	0.38241	0.26073
Meth__cg21094154__TNFSF11	0.15516	0.12349	0.25304	0.089754	0.1151	0.16357	0.63327	0.16861	0.43652	0.65955	0.2884	0.20582	0.55016	0.70551	0.10674	0.1881	0.076174	0.17964	0.30939	0.75188	0.16989	0.11537	0.13738	0.12044	0.06226	0.82343	0.20771	0.37284	0.18948	0.10703
Meth__cg12164282__PXDN	0.033207	0.046064	0.3242	0.035923	0.052728	0.95826	0.052586	0.033855	0.98032	0.084798	0.043843	0.028681	0.97095	0.035614	0.043387	0.029765	0.12223	0.047652	0.24873	0.03535	0.058999	0.054987	0.92111	0.058146	0.18982	0.022964	0.82865	0.048988	0.047517	0.054313
Meth__cg02282237__PRKCH	0.037052	0.034112	0.04672	0.045245	0.35064	0.033673	0.047537	0.027137	0.52881	0.062951	0.083862	0.021405	0.033821	0.082258	0.071117	0.23806	0.031315	0.036207	0.051635	0.67167	0.83074	0.029517	0.07084	0.049731	0.38074	0.033077	0.032091	0.034876	0.026521	0.037701
Meth__cg06194808__MGC9712	0.039015	0.030417	0.047525	0.028877	0.95859	0.040862	0.89272	0.039881	0.59916	0.095047	0.1619	0.034433	0.048879	0.96215	0.046484	0.96763	0.050401	0.03651	0.060679	0.20614	0.82698	0.038014	0.089286	0.11732	0.11915	0.12042	0.058457	0.047601	0.035964	0.031224
Meth__cg17240454__SPDEF	0.071921	0.080569	0.16096	0.42174	0.85402	0.15374	0.85936	0.68586	0.87125	0.79173	0.60177	0.08789	0.80445	0.85362	0.74246	0.25603	0.40124	0.61252	0.10161	0.15248	0.4453	0.12263	0.21596	0.14137	0.86674	0.67935	0.058771	0.098917	0.068695	0.068567
Meth__cg25268718__PSME1	0.071893	0.069773	0.17458	0.22885	0.77674	0.24859	0.26522	0.095301	0.8254	0.55866	0.34527	0.041492	0.26614	0.43667	0.24196	0.44847	0.26676	0.17444	0.37581	0.096833	0.5871	0.12062	0.13104	0.098056	0.10086	0.090032	0.17126	0.09019	0.11202	0.14596
Meth__cg23188547__CDC6	0.036233	0.034139	0.079664	0.03191	0.077016	0.046542	0.17391	0.079587	0.04885	0.34936	0.097653	0.029494	0.038057	0.16336	0.067368	0.044665	0.03343	0.11031	0.053757	0.075227	0.10219	0.040303	0.065544	0.029046	0.037251	0.043568	0.039283	0.03158	0.048145	0.04126
Meth__cg10331038__TNR	0.72192	0.10113	0.71691	0.65478	0.10661	0.31627	0.55569	0.30075	0.64481	0.70742	0.58222	0.062142	0.40734	0.80283	0.15589	0.10515	0.1725	0.18641	0.77713	0.77064	0.17413	0.22302	0.75055	0.10235	0.10366	0.13604	0.27883	0.60593	0.16747	0.19026
Meth__cg17667972__KRT4	0.064151	0.055905	0.12257	0.13073	0.82456	0.38613	0.87979	0.24276	0.87293	0.38339	0.59368	0.074512	0.84292	0.91842	0.20487	0.25826	0.53302	0.39959	0.84193	0.26566	0.13789	0.45755	0.12586	0.13727	0.87828	0.86231	0.23067	0.1034	0.15454	0.23901
Meth__cg19421752__SLC6A18	0.27382	0.016742	0.56107	0.15219	0.063318	0.16637	0.39659	0.033522	0.11488	0.48348	0.26336	0.015534	0.093166	0.57447	0.066081	0.029934	0.18047	0.36169	0.044358	0.82287	0.10736	0.043941	0.10925	0.038	0.042168	0.030271	0.048863	0.24922	0.068784	0.0607
Meth__cg15177917__DAND5	0.072618	0.053579	0.32468	0.053425	0.31521	0.044261	0.44975	0.0674	0.56129	0.2634	0.14517	0.053194	0.13683	0.12792	0.082768	0.048202	0.099958	0.14777	0.33144	0.49528	0.26877	0.26071	0.50388	0.091019	0.33094	0.32304	0.11892	0.19341	0.078483	0.25338
Meth__cg22889448__EMR1	0.15658	0.0815	0.46728	0.10172	0.077471	0.17238	0.85497	0.10746	0.093557	0.3285	0.48162	0.076829	0.37262	0.24796	0.081442	0.081274	0.12371	0.17574	0.23575	0.29782	0.081218	0.089414	0.10584	0.11374	0.083968	0.078177	0.088272	0.097588	0.15957	0.0981
Meth__cg15767406__ZNF660	0.3189	0.025519	0.36896	0.088942	0.24494	0.39771	0.74056	0.31861	0.20859	0.61261	0.10127	0.033109	0.10692	0.2686	0.047011	0.059615	0.079303	0.083052	0.76681	0.1631	0.0735	0.11215	0.21966	0.099441	0.039278	0.067362	0.10284	0.37365	0.053632	0.065649
Meth__cg00351011__LASS4	0.040496	0.04971	0.050211	0.051995	0.48613	0.055957	0.049472	0.058807	0.039901	0.037597	0.081024	0.027347	0.037445	0.043697	0.068708	0.13852	0.051858	0.048947	0.032635	0.035575	0.069596	0.043052	0.10399	0.065003	0.032737	0.18913	0.037511	0.047535	0.051959	0.046566
Meth__cg14314889__OR1E2	0.57682	0.033208	0.64087	0.03974	0.11834	0.15843	0.23179	0.063533	0.41599	0.55985	0.16041	0.054154	0.23011	0.37169	0.14849	0.02276	0.10887	0.28114	0.85211	0.39538	0.16138	0.035748	0.15532	0.057372	0.032783	0.12302	0.50192	0.75214	0.21919	0.047609
Meth__cg03529436__ORF1-FL49	0.055066	0.39409	0.80856	0.67765	0.16734	0.056884	0.054205	0.70077	0.075271	0.22571	0.57156	0.57212	0.056963	0.047627	0.24362	0.080625	0.3414	0.35065	0.09823	0.067251	0.06041	0.14851	0.14533	0.4465	0.035335	0.047852	0.17739	0.049671	0.36789	0.40715
Meth__cg08684473__LILRB5	0.75687	0.023954	0.85973	0.37832	0.34512	0.13879	0.83932	0.85345	0.9275	0.88568	0.35306	0.038081	0.48329	0.90611	0.070884	0.021723	0.86906	0.88004	0.35516	0.65536	0.25766	0.13241	0.34857	0.051722	0.39406	0.031293	0.47521	0.84321	0.40336	0.23817
Meth__cg18917378__BCAS1	0.064876	0.044466	0.047498	0.04833	0.27358	0.047544	0.89978	0.046767	0.30694	0.1488	0.073962	0.046452	0.5417	0.82707	0.26178	0.039681	0.037449	0.05945	0.049269	0.041126	0.59626	0.044455	0.14137	0.046566	0.42585	0.70947	0.048967	0.051877	0.039871	0.038021
Meth__cg12277666__TDRD5	0.0742	0.03414	0.18943	0.035659	0.89198	0.038193	0.038334	0.034988	0.75208	0.096427	0.67597	0.024254	0.92768	0.18493	0.083028	0.076846	0.025415	0.032042	0.38973	0.074805	0.91422	0.040459	0.048801	0.035376	0.33224	0.5485	0.94624	0.03263	0.033805	0.04377
Meth__cg01860753__RASSF5	0.1632	0.12248	0.1831	0.087403	0.13263	0.1837	0.14556	0.20926	0.22644	0.22554	0.24363	0.12884	0.17805	0.21542	0.15097	0.18531	0.11562	0.1396	0.19491	0.15421	0.23562	0.19891	0.1592	0.20138	0.19111	0.18933	0.1799	0.11484	0.14272	0.17472
Meth__cg18731813__ARMCX1	0.19047	0.10313	0.89837	0.068381	0.69977	0.61861	0.92446	0.10519	0.93067	0.78371	0.89634	0.42988	0.85411	0.52553	0.1066	0.11544	0.067737	0.059172	0.49528	0.44568	0.13811	0.70909	0.73691	0.22448	0.72694	0.11089	0.78849	0.70974	0.38753	0.90103
Meth__cg14587868__TGM1	0.088428	0.072753	0.47331	0.13028	0.74384	0.10767	0.39387	0.082194	0.75387	0.36723	0.26703	0.15344	0.45122	0.68745	0.18133	0.10752	0.16422	0.22176	0.40781	0.37685	0.282	0.52407	0.32182	0.098021	0.12654	0.71042	0.058632	0.099312	0.19899	0.2383
Meth__cg03872376__ZP4	0.59478	0.14235	0.78115	0.068656	0.78385	0.60791	0.83556	0.12848	0.88164	0.14253	0.48752	0.25132	0.82968	0.91546	0.63965	0.092523	0.082792	0.11629	0.11087	0.77396	0.49071	0.10067	0.22584	0.28165	0.11564	0.64087	0.08604	0.12263	0.5854	0.4338
RS_G6626__MAP1B__MAP1B	1.6802	0.12335	2.6488	3.0439	5.4526	0.64596	7.5131	2.1305	6.6239	4.0338	2.7093	5.0187	4.8936	8.088	4.8333	9.1024	2.9921	3.5005	3.9959	2.2071	7.6542	1.7013	0.79208	0.17791	7.6968	2.768	2.5995	1.4591	2.7946	0.59431
Meth__cg24341236__MTCP1	0.47031	0.023812	0.037464	0.071162	0.024789	0.031663	0.26944	0.027359	0.036051	0.043588	0.034425	0.020773	0.45031	0.41042	0.060484	0.026029	0.020874	0.025317	0.54323	0.4911	0.08364	0.026888	0.36917	0.040748	0.54193	0.018999	0.26193	0.61201	0.35161	0.031114
