Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G3648__CCL2__CCL2	3.6403	0.54392	0.65074	3.6296	6.3911	2.7066	0	3.1093	0	0.783	2.6054	0	0	6.1951	3.0177	6.4836	4.4802	6.7484	5.2483	0	0	10.2673	3.763	0	0	0	3.3073	3.2444	1.3981	0	0	0	0.81051
RS_G2210__PRODH__PRODH	6.6996	8.8601	8.1502	4.8255	0.12095	8.7378	5.7577	0.77143	8.8848	5.7828	1.603	2.3836	5.1535	2.1092	6.5093	3.4667	0.7919	0.3561	1.043	4.9495	1.9741	0.11484	10.9405	11.3567	8.0182	1.3588	2.1155	10.7743	4.0417	8.8787	7.139	9.1687	9.3919
RS_G1435__LAMP3__LAMP3	0.62064	1.9683	1.0047	1.3769	0.22252	1.1839	5.1333	1.5909	0.88608	2.8659	9.5505	4.2488	5.5942	4.0768	1.8962	4.792	1.4715	6.877	0.97266	1.1293	1.0233	1.085	0.59349	0.78725	0	3.2642	2.8191	5.5633	3.373	4.535	5.5329	0.7314	0.65096
RS_G28377__AL450306.14__AL450306.14	3.5215	4.8024	0.74196	2.0401	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	3.1078	2.2624	1.7205	2.1189	1.5042	3.1047	3.2992	2.1669	2.5187	2.2729	3.5767	2.7609	5.8757	2.1186	2.6059	4.5232	2.9519	2.4941	7.538
RS_G13473__C18orf4__C18orf4	2.916	0.19285	1.8636	0.81516	6.8813	2.0898	3.5813	2.2879	0.32997	0.85351	1.2471	4.2512	0.70224	0.051857	2.0646	2.9336	0.30277	0.5877	5.6726	0.27885	0.83484	3.6129	0.593	0.79273	0.074512	4.3534	3.7589	0.58445	2.8849	3.8849	0.37249	1.2527	2.7154
RS_G11355__NFASC__NFASC	1.5238	2.6199	3.8705	3.5415	0	0.46207	1.1935	0.66933	0.12432	1.2733	5.5101	3.0635	2.2495	0.46045	0.04732	5.5934	4.7633	1.7588	0.053461	0.5979	0.91564	0.89043	0.83418	0.24318	0.67438	3.7217	1.9647	0.53225	1.3598	2.2215	0.54778	0.82443	1.5125
RS_G18405__S100A2__S100A2	5.2484	3.6935	3.4186	3.8443	8.6925	2.6605	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.0365	3.6585	11.2875	8.0382	9.5068	5.9126	5.1554	2.1463	4.8228	3.2845	5.5373	1.1917	8.571	10.041	5.5117	13.4869	5.0461	4.175	3.0922	4.4221
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	0.3789	3.0125	6.0192	0	9.3304	0.3731	0	9.9268	0	0	0	2.0368	0	0	0.57078	3.6571	3.931	0.7318	0
RS_G2294__HMOX1__HMOX1	5.2324	7.003	4.0314	6.9044	8.3669	7.1545	6.8174	8.6229	4.7288	5.8914	7.281	6.3735	5.5572	5.7747	6.1383	8.4909	6.3885	7.3288	7.8988	5.4815	5.1931	6.3582	7.0571	5.3533	7.157	13.0503	7.1352	7.3386	7.2448	6.2813	5.8474	9.0714	8.756
RS_G4506__FN1__FN1	4.4659	5.6734	2.1232	6.6339	12.0664	2.308	6.2799	13.1575	2.6835	8.1794	5.3713	6.1008	6.4374	6.0504	5.7624	10.4557	11.6619	6.9695	14.314	7.9571	5.8399	8.9032	4.4927	4.0323	5.2383	3.1511	10.3215	1.9746	11.44	5.2825	5.777	3.9021	1.7401
RS_G18071__CXCL17__CXCL17	1.6218	1.6066	6.1534	1.2095	0	0.74132	0.6322	0.45695	3.1228	1.3713	0	0	3.6124	9.5671	6.8488	3.7511	0	12.3037	0	2.1353	2.7126	0	5.9685	0.3767	0	0.38286	0	3.7402	1.4859	0	0	6.5787	4.2359
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	2.8645	9.8429	7.3739	5.4273	1.8777	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	6.1014	4.2464	2.9113	5.8621	4.0999	5.1531	5.5304	2.123	2.0455	4.343	5.0315	5.96	3.8626	2.5385
RS_G16385__ASCL2__ASCL2	1.3561	1.7678	6.3934	5.118	0	0.60927	3.6364	0	7.9802	1.7904	3.6262	1.2266	0.97424	1.6838	2.9164	0	0	0	0	6.1358	5.1486	0	4.9558	2.2584	1.324	0	0	5.8229	3.1506	4.2456	3.9544	5.2367	5.0406
RS_G12257__B2M__B2M	11.205	9.5507	10.0365	10.7284	12.7723	9.9151	11.1783	13.0887	9.4968	10.4742	13.8925	12.2174	12.0721	13.0742	9.3201	12.5616	11.9706	15.751	10.0038	8.7483	10.1023	12.5876	9.4284	10.1329	11.3537	9.1302	10.4107	11.9582	10.8859	11.3149	11.3883	10.9148	8.6662
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	1.2518	0.04683	0	0	8.5985	2.6669	0	2.3223	0	0.767	0.25878	0.42998
RS_G5395__INHBA__INHBA	0	1.4027	0.57218	4.9365	8.116	0.34649	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	1.0348	7.1808	4.9604	4.2951	9.2718	0.8871	1.8265	3.1375	0.27195	1.5506	0	2.5634	8.5917	1.4331	4.6019	0	1.2706	1.0054	0
SNP__ADAM32	0.027	-0.542	-0.204	1.083	0.534	0.98	-0.335	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	0.011	-0.376	0.243	-1.129	0.042	-0.433	-0.696	-0.275	0.134	0.072	-0.599	-0.199	-0.194	0.725	-0.349	1.672	0.319	-0.507	-0.445
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.3939	4.9255	3.0329	2.556	1.8108	6.114	3.719	3.1641	2.8856	2.5922	7.4251	2.4886	6.8145	5.2442	4.2484	3.6189	4.1613	4.3151	2.8052
RS_G11215__EN1__EN1	0	1.6203	1.7416	2.0997	3.3363	0	6.9753	4.5556	2.3857	0	6.6847	4.0274	2.9926	1.3909	0.92511	6.7749	1.863	2.198	4.1982	0	0	0	0.12776	0.30582	0	5.4291	7.244	3.8745	1.2845	0	0	0	0
RS_G10910__CCL5__CCL5	3.492	1.9053	2.6625	4.9081	3.0073	3.5739	3.4087	4.5538	3.411	4.4292	11.2916	2.7366	8.0883	4.4286	4.7918	6.4101	4.0382	7.181	3.9801	4.6098	3.2963	2.3663	3.9704	3.0851	2.8075	2.8119	4.4957	7.2268	4.2972	3.0975	3.9904	1.8219	3.0076
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	0.70526	6.4738	0.096448	0	6.0583	0	0	0	5.8239	1.5169	0	1.5046	0.30151	0	1.9553	0.64638
RS_G2174__SCARF2__SCARF2	0.99226	1.4054	2.0403	4.0099	8.0048	1.1916	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	3.9993	1.8754	2.3524	4.2897	4.5508	0	7.0169	3.4351	2.0464	2.2091	2.4421	4.3461	4.064	4.2022
RS_G7177__OASL__OASL	4.4911	1.7777	0.97103	6.8272	1.337	1.2602	1.554	4.611	1.6683	3.7442	10.6972	1.8634	8.7426	5.6195	3.7297	0.99833	5.4605	9.5817	0.28875	4.2687	4.3836	5.2892	3.3996	3.0473	0.59656	2.0833	6.5224	6.2748	6.1035	2.6117	4.8781	3.9024	1.989
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0.38169	7.4316	0	0	1.3209	0	0	5.7033	1.0654	0.72076	4.5769	1.4133	3.7182	0.61657	0	6.0253	7.372	0.68983	0	0	5.1657	0	0.90882	0	9.1072	8.0858
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.2823	1.4311	1.9978	0	1.8031	5.7124	8.5429	3.6724	3.048	5.5259	1.7547	0.9293
SNP__ESR1	0.006	0.125	-0.415	-0.507	-0.091	-0.558	0.167	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	-0.452	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.118	0.237	-0.704	0.044	0.161	-0.195	-0.001	-0.147	0.226	-0.325	-0.454	0.015
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.9196	4.938	10.6909	0.88895	13.8151	5.0202	3.678	7.6313	5.1513	0.86484	2.4509	9.1319	9.7023	7.0085	9.4911	5.3568	5.7383	5.3044	5.3749
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	0	5.4188	3.9292	0.45519	5.6902	0	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0
RS_G8167__HAPLN3__HAPLN3	0.97429	3.796	0	1.3925	4.9751	0	5.7826	5.9487	0	0.19085	3.582	2.0912	1.8122	2.3328	0	5.5488	1.5702	3.4771	5.8556	1.9629	1.2117	4.7196	0.067181	0	1.043	3.0194	6.4629	2.2116	2.8552	1.4751	0	0	0.19905
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	5.3794	9.638	8.0489	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	7.3184	6.7812
RS_G11812__GEM__GEM	3.4128	0.39241	0.65863	3.922	5.2987	6.9453	3.3766	6.9016	3.2647	1.7787	5.7468	2.6702	1.7895	3.1414	1.255	3.4334	7.1501	4.5528	7.2633	2.3845	2.808	6.6694	2.2264	0	0	9.784	1.7987	4.2186	4.1378	1.5477	3.517	2.6213	0.81572
SNP__GSTM1	1.308	0.102	-0.243	-0.13	1.142	0.296	0.868	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	1.676	-0.444	2.34	1.976	1.276	2.435	2.546	1.813	-0.172	-0.063	1.282	0.164	0.188	-0.384	-0.27	0.043	-0.303	1.499	1.386
RS_G17946__SBSN__SBSN	1.9388	3.1448	0.52859	1.4897	2.4916	0.49703	2.2271	6.162	0.70795	2.5177	0.92766	0	4.1818	2.9815	2.0545	2.7617	5.2222	2.5925	7.2725	4.2779	0.48448	0	1.0301	0.79145	0	2.6291	2.7459	2.1709	5.4825	0.5273	1.5102	0	0.37031
SNP__HLA-DRB5	-0.372	-0.275	1.173	-0.434	-1.003	-0.07	0.144	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.479	-0.785	1.626	0.025	1.158	1.099	0.857	-0.42	-1.807	-0.056	-0.222	1.776	1.042	0.284	-0.019	1.208	0.011	-0.222	-0.379
RS_G9954__CACNA2D1__CACNA2D1	2.1335	0	1.1668	3.9351	0.97323	0.32384	2.57	3.6111	0.45332	7.0533	0	1.3672	0.38075	3.3847	1.7386	0	4.5934	0.23314	5.0469	0	0	3.7067	0.72084	0	0	4.0027	2.8864	2.4024	0.69703	0	2.5334	2.8936	4.7378
RS_G2940__PDGFRL__PDGFRL	2.6739	4.1099	2.9019	3.515	0	4.2179	3.9699	7.0584	1.7974	3.4083	3.6951	1.7797	1.169	2.143	3.6444	4.6062	1.2527	2.0745	4.794	4.7959	5.5508	3.2887	1.1575	0	0	1.1272	1.7769	1.2043	0	1.0353	0	4.5822	3.1866
RS_G22179__AC104692.1__AC104692.1	0	1.0213	6.1553	5.323	4.6508	0	0	1.8859	5.2296	1.4075	5.5417	2.2715	0	4.987	1.7182	7.6104	0	4.8789	0	0	0	5.5001	0.65229	0	0	6.7274	5.1084	7.147	0	0	0	0	0
SNP__LOC442117	0.015	-0.202	-0.174	-1.788	-0.878	0.066	-0.432	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	-1.562	0.116	-0.052	-0.234	-1.502	-2.091	-1.975	-0.008	-1.681	-0.307	-0.04	0.033
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	3.5201	7.1076	2.7576	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	4.8458	6.9805
RS_G18787__SERPINB2__SERPINB2	0	0	0	0	1.1115	0	3.2226	0	0	0	0.68625	8.935	7.0426	1.6439	0	3.9413	0.41102	8.0819	6.2158	0	0	0.56362	0	0.38777	0	0	4.3306	3.1332	4.8748	0	0	2.543	5.4605
RS_G12004__RET__RET	1.3467	3.1518	7.9063	5.6597	0.87543	5.1853	0.89165	0.30187	8.0782	9.1389	0.31723	1.7701	1.0823	1.4569	2.1055	1.1764	1.548	0	0.10745	6.9421	7.479	0.99732	6.4964	5.759	0	0.32614	0.097243	2.6192	0.14819	5.6052	2.6186	3.7588	1.5535
