Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg00567479__FARP2	0.060055	0.049735	0.05296	0.046887	0.078419	0.060286	0.049869	0.47907	0.081187	0.057009	0.054922	0.1922	0.12585	0.099349	0.067075	0.050529	0.040364	0.11173	0.049481	0.11599	0.044616	0.056651	0.071112	0.051707	0.12861	0.056187	0.082654	0.14029	0.086134	0.032614	0.046901	0.051394	0.059611	0.062021	0.16385	0.082592	0.070321	0.14755	0.12218
Meth__cg02322989__LRP1B	0.062129	0.064298	0.74125	0.068115	0.073911	0.078368	0.18471	0.071192	0.061829	0.072092	0.30791	0.11039	0.89342	0.044464	0.073095	0.077762	0.067565	0.069796	0.06858	0.1429	0.06614	0.13606	0.063922	0.061448	0.091416	0.066912	0.095124	0.12749	0.090365	0.068611	0.057997	0.066338	0.090681	0.47112	0.089358	0.068953	0.063583	0.20672	0.068895
Meth__cg20566118__TNC	0.043682	0.044278	0.045701	0.041188	0.083164	0.03008	0.053524	0.057435	0.033979	0.048054	0.08637	0.060101	0.043069	0.043493	0.04091	0.039207	0.031867	0.070009	0.034814	0.08149	0.10605	0.14559	0.039417	0.10875	0.066013	0.040677	0.057046	0.091469	0.060117	0.041493	0.025814	0.032828	0.57764	0.095649	0.059677	0.053443	0.049643	0.11233	0.049879
Meth__cg05251000__FREQ	0.13028	0.68634	0.11591	0.19548	0.21354	0.062998	0.18953	0.90787	0.046403	0.56117	0.05481	0.8035	0.23022	0.49254	0.14121	0.35542	0.046233	0.20407	0.050861	0.34345	0.19926	0.22895	0.28195	0.54086	0.19163	0.2879	0.15863	0.31888	0.63603	0.19251	0.16377	0.040339	0.50691	0.80296	0.17996	0.85124	0.18055	0.59881	0.063384
Meth__cg16312163__ALDH1L1	0.9282	0.75918	0.96311	0.85219	0.66465	0.8855	0.82307	0.93425	0.041358	0.89453	0.54004	0.44098	0.91043	0.12883	0.037791	0.6057	0.024633	0.053629	0.036313	0.94776	0.91882	0.11119	0.63885	0.059426	0.79009	0.20781	0.058787	0.48845	0.047526	0.029801	0.028902	0.029733	0.44723	0.70742	0.073307	0.57187	0.52976	0.9254	0.81315
Meth__cg11618577__KRTCAP3	0.018845	0.56951	0.96911	0.97246	0.84277	0.97121	0.015931	0.027563	0.62178	0.32949	0.020156	0.46041	0.95464	0.78333	0.692	0.018964	0.97336	0.056379	0.97335	0.31636	0.22678	0.029379	0.9675	0.19384	0.94986	0.34096	0.024756	0.039089	0.60624	0.87465	0.019757	0.96868	0.97415	0.97928	0.8934	0.97338	0.45358	0.064248	0.016067
Meth__cg08617916__RASSF5	0.032871	0.034054	0.049301	0.02489	0.018803	0.025508	0.027982	0.019386	0.59591	0.024731	0.027565	0.043773	0.038359	0.022139	0.51671	0.024636	0.022765	0.038698	0.017394	0.019585	0.033288	0.025323	0.028773	0.027389	0.03728	0.025381	0.02267	0.048853	0.028942	0.027345	0.033122	0.034264	0.018404	0.078423	0.036519	0.026653	0.028292	0.063091	0.031705
Meth__cg00480115__FXYD3	0.082776	0.072281	0.061121	0.094854	0.066128	0.78722	0.082555	0.030276	0.18872	0.044941	0.89426	0.044201	0.077888	0.031536	0.19328	0.07426	0.94224	0.073401	0.82923	0.05642	0.063412	0.056171	0.95606	0.051927	0.45003	0.075174	0.11614	0.10733	0.08321	0.072513	0.056892	0.91596	0.083692	0.082676	0.12372	0.061677	0.064482	0.12063	0.068239
Meth__cg19108718__LOC317671	0.074302	0.064986	0.20374	0.078852	0.043462	0.46046	0.072306	0.48722	0.54821	0.065764	0.10197	0.10452	0.17647	0.060812	0.46408	0.092613	0.21625	0.261	0.12019	0.066817	0.060056	0.052087	0.11228	0.045571	0.17848	0.073747	0.14982	0.054916	0.069431	0.62161	0.47122	0.21876	0.067998	0.064785	0.093573	0.060661	0.05744	0.1177	0.057376
Meth__cg24311382__CTGF	0.064429	0.058769	0.93835	0.089286	0.077676	0.053586	0.089881	0.039353	0.068766	0.093828	0.057492	0.087349	0.095762	0.048359	0.064695	0.069608	0.039416	0.1878	0.053797	0.13355	0.083791	0.88036	0.063843	0.08913	0.11979	0.064545	0.33772	0.79925	0.14049	0.03803	0.043663	0.050034	0.063836	0.055517	0.80555	0.072508	0.089574	0.14802	0.066868
Meth__cg01424107__CDX2	0.69495	0.020252	0.94434	0.15582	0.83309	0.95519	0.92761	0.97417	0.034887	0.94898	0.036465	0.72232	0.92348	0.15486	0.20854	0.27301	0.024095	0.10616	0.035731	0.94038	0.93956	0.94353	0.15121	0.92523	0.66438	0.93799	0.20965	0.88366	0.061114	0.12352	0.027699	0.3505	0.026878	0.88992	0.26912	0.88144	0.37526	0.95753	0.4089
Meth__cg00078194__MDK	0.039446	0.029595	0.97929	0.037013	0.17435	0.031208	0.05647	0.027867	0.031958	0.036012	0.04997	0.075326	0.9577	0.44362	0.034093	0.98258	0.029853	0.068708	0.041246	0.42758	0.19223	0.048088	0.71521	0.033162	0.14433	0.08671	0.11531	0.66692	0.082329	0.03991	0.023772	0.031	0.027663	0.66351	0.099316	0.050628	0.10915	0.071328	0.084325
Meth__cg04944936__CXorf17	0.63171	0.070586	0.06134	0.058511	0.48188	0.043086	0.086623	0.062943	0.30137	0.73501	0.052215	0.23656	0.46338	0.50294	0.24766	0.71035	0.045081	0.46469	0.038917	0.042696	0.048784	0.62136	0.49388	0.57046	0.057942	0.54383	0.52121	0.5983	0.5219	0.58007	0.038287	0.4062	0.044465	0.040074	0.10829	0.5417	0.44659	0.5337	0.046341
Meth__cg04515986__FTHL17	0.22471	0.074083	0.42984	0.7539	0.29543	0.12107	0.476	0.66732	0.064315	0.070288	0.46355	0.33985	0.34989	0.27498	0.080234	0.58162	0.21457	0.12565	0.076205	0.078639	0.27108	0.11253	0.29667	0.30842	0.13478	0.10375	0.10141	0.21778	0.18017	0.071716	0.73861	0.065717	0.23057	0.21998	0.14742	0.0627	0.24675	0.27016	0.22589
Meth__cg13686042__SBF1	0.06485	0.089095	0.12733	0.12409	0.11843	0.24261	0.087322	0.048635	0.04418	0.10393	0.089672	0.18506	0.19512	0.055563	0.056491	0.20812	0.14685	0.08611	0.085718	0.19813	0.092376	0.37484	0.51925	0.14813	0.24416	0.11429	0.094009	0.099567	0.21524	0.052788	0.049274	0.059127	0.27112	0.097941	0.098288	0.07951	0.052833	0.069866	0.058541
Meth__cg02210123__RHOJ	0.53147	0.066054	0.49148	0.83874	0.46828	0.089181	0.77798	0.26223	0.10239	0.10681	0.12463	0.323	0.52915	0.21067	0.10814	0.12933	0.097066	0.15688	0.11567	0.093265	0.20944	0.73425	0.10262	0.083051	0.13993	0.53605	0.15593	0.73062	0.073558	0.076003	0.077368	0.13093	0.851	0.41626	0.34056	0.086456	0.71665	0.15943	0.75144
Meth__cg08198102__PTPLA	0.064132	0.078743	0.060418	0.065773	0.064796	0.048583	0.084346	0.18652	0.045791	0.072501	0.04805	0.081354	0.12002	0.077881	0.066861	0.057924	0.046283	0.1157	0.061796	0.048691	0.058496	0.075185	0.049376	0.25745	0.17854	0.079008	0.1241	0.33935	0.1754	0.060735	0.069712	0.058695	0.38274	0.25788	0.11971	0.067193	0.081191	0.21174	0.12925
Meth__cg22710329__ANUBL1	0.036687	0.032486	0.065261	0.13276	0.1133	0.76545	0.088169	0.045429	0.19783	0.073164	0.68619	0.029427	0.10624	0.049869	0.16592	0.032652	0.11097	0.053772	0.028082	0.029437	0.050549	0.058098	0.037842	0.031025	0.10166	0.04154	0.023631	0.07016	0.047594	0.032815	0.033429	0.025008	0.024091	0.027737	0.067157	0.12774	0.17496	0.055074	0.10573
Meth__cg26829529__SPACA3	0.29623	0.05739	0.11045	0.65482	0.54367	0.041314	0.094031	0.27477	0.15423	0.069102	0.20691	0.061576	0.17757	0.060478	0.11262	0.13883	0.083132	0.1116	0.083789	0.23704	0.26751	0.82232	0.04472	0.8268	0.083516	0.049004	0.056736	0.06385	0.17021	0.05492	0.055089	0.040196	0.40026	0.030528	0.076068	0.25067	0.0608	0.11409	0.064492
Meth__cg19491035__MANSC1	0.049896	0.071313	0.081784	0.098737	0.062017	0.77873	0.054388	0.041222	0.6619	0.1051	0.12321	0.048734	0.26908	0.034994	0.61721	0.057332	0.17452	0.10211	0.87587	0.057466	0.056411	0.21059	0.37682	0.19355	0.29425	0.039472	0.091332	0.095246	0.05673	0.40391	0.59553	0.65459	0.035741	0.058756	0.10958	0.066842	0.055849	0.37593	0.069679
Meth__cg11402505__FBXO27	0.47485	0.29216	0.14976	0.84515	0.80351	0.82899	0.84061	0.094634	0.11182	0.67404	0.37008	0.45237	0.49298	0.15513	0.13747	0.7186	0.072254	0.1782	0.093404	0.12246	0.22989	0.82511	0.60651	0.39183	0.14096	0.30902	0.25277	0.75541	0.41051	0.11577	0.11106	0.2069	0.15394	0.26316	0.21605	0.10107	0.2819	0.16446	0.74921
Meth__cg08262933__MORF4L2	0.34579	0.026737	0.088404	0.069919	0.13245	0.03148	0.04931	0.23675	0.024544	0.024482	0.055762	0.067093	0.090199	0.18613	0.030804	0.11673	0.20902	0.089588	0.065016	0.039557	0.046214	0.41351	0.054125	0.30845	0.074988	0.077931	0.057681	0.23724	0.099746	0.045839	0.072279	0.040763	0.060578	0.035098	0.10184	0.51733	0.10985	0.26233	0.053475
Meth__cg08422599__KCNIP1	0.91801	0.090108	0.93918	0.39888	0.057747	0.034586	0.92582	0.089735	0.048159	0.1056	0.22908	0.31855	0.91308	0.36446	0.048261	0.059054	0.04834	0.11237	0.037565	0.92581	0.92343	0.58399	0.39897	0.95432	0.86951	0.89442	0.24794	0.83168	0.22325	0.11225	0.087719	0.19877	0.58897	0.94847	0.36464	0.056015	0.38068	0.86301	0.51961
Meth__cg25886284__ZNF545	0.04275	0.048519	0.96449	0.39544	0.24791	0.039178	0.037598	0.75268	0.031042	0.032869	0.040551	0.10254	0.89866	0.96184	0.044673	0.21399	0.024414	0.07034	0.033035	0.96818	0.90039	0.50371	0.04078	0.12142	0.067242	0.0474	0.070279	0.81303	0.078997	0.035099	0.036234	0.14542	0.044458	0.59786	0.07542	0.039326	0.73093	0.080706	0.68346
Meth__cg11316784__NSD1	0.043442	0.059824	0.53614	0.060506	0.045549	0.55549	0.061369	0.099003	0.043981	0.043598	0.3151	0.1897	0.21759	0.79378	0.046249	0.10439	0.17857	0.056172	0.059161	0.031715	0.068033	0.18703	0.58279	0.032786	0.60528	0.044745	0.078297	0.1116	0.10608	0.035054	0.027386	0.034862	0.6874	0.042076	0.069287	0.046529	0.037363	0.076208	0.06229
Meth__cg01986577__ARNTL2	0.34672	0.074497	0.15497	0.85174	0.55043	0.58859	0.5119	0.8423	0.070234	0.75947	0.33265	0.27658	0.2693	0.13871	0.092252	0.31012	0.053701	0.068581	0.034539	0.763	0.2356	0.86693	0.25341	0.56576	0.069349	0.62554	0.45565	0.68782	0.20669	0.44821	0.029999	0.04295	0.67116	0.7756	0.26152	0.51562	0.5994	0.59938	0.74746
Meth__cg11674404__WDR17	0.08363	0.068108	0.56499	0.12047	0.055449	0.11351	0.051768	0.15756	0.075852	0.082287	0.063237	0.24617	0.74925	0.85422	0.087019	0.1571	0.21008	0.15514	0.1029	0.049212	0.068006	0.065104	0.47368	0.069677	0.098518	0.22415	0.16073	0.61053	0.095046	0.045455	0.043512	0.062399	0.84271	0.34288	0.13819	0.078837	0.092205	0.25371	0.098185
Meth__cg25336579__PSAT1	0.9919	0.0084031	0.013499	0.012204	0.0098963	0.0084534	0.71359	0.020124	0.0099149	0.52843	0.0091996	0.010519	0.044588	0.011167	0.0094261	0.86026	0.010623	0.026891	0.0069442	0.64271	0.66554	0.17218	0.015118	0.043154	0.02737	0.085843	0.024135	0.97378	0.017131	0.013092	0.0096125	0.0074779	0.010285	0.98243	0.019899	0.015016	0.4476	0.39873	0.64043
Meth__cg04101379__DZIP1	0.77623	0.052824	0.95091	0.76086	0.39284	0.037964	0.8545	0.056646	0.31928	0.92134	0.063343	0.24746	0.92436	0.90934	0.42273	0.61977	0.03582	0.53097	0.074231	0.94782	0.91433	0.92849	0.031014	0.93433	0.83833	0.90482	0.13518	0.8957	0.11241	0.048196	0.26308	0.073253	0.33511	0.8949	0.86862	0.1493	0.92521	0.90903	0.93218
Meth__cg21012874__SNCG	0.039843	0.40089	0.10547	0.9687	0.16422	0.9821	0.045003	0.98288	0.98256	0.86527	0.97982	0.47719	0.061464	0.95605	0.88611	0.68395	0.98531	0.24019	0.97728	0.89607	0.98038	0.9808	0.9665	0.023771	0.20866	0.07063	0.37075	0.95214	0.60302	0.97973	0.97642	0.92872	0.017025	0.74599	0.13787	0.027308	0.64295	0.07987	0.050501
Meth__cg06123346__ATP4A	0.072149	0.042943	0.40531	0.57984	0.37544	0.08304	0.096061	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.021091	0.049899	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.36028	0.11383	0.38825	0.09273	0.089856	0.10716	0.069293	0.10134	0.093641	0.053729	0.054402	0.093918	0.12284	0.12559	0.11846	0.097931	0.15137	0.063226
Meth__cg20797766__PRSS27	0.051354	0.071979	0.051667	0.23743	0.11662	0.053177	0.51569	0.063866	0.11939	0.33229	0.048387	0.050987	0.1294	0.2422	0.10135	0.090562	0.049602	0.07847	0.048181	0.2359	0.29862	0.7065	0.053939	0.064893	0.058605	0.44299	0.084003	0.2447	0.061582	0.043534	0.032722	0.048449	0.24227	0.045551	0.11572	0.045258	0.042974	0.088532	0.046119
Meth__cg15792688__FLJ90036	0.069229	0.061831	0.068795	0.055556	0.082868	0.069456	0.077081	0.066788	0.048999	0.082541	0.079577	0.087938	0.49915	0.12456	0.074905	0.10445	0.062911	0.13909	0.072129	0.06636	0.089121	0.07855	0.069198	0.067291	0.16413	0.061017	0.13047	0.11719	0.090639	0.056054	0.04205	0.10792	0.075969	0.05772	0.36722	0.0761	0.069679	0.13498	0.28142
Meth__cg27138018__HAPLN2	0.22953	0.14208	0.63967	0.7668	0.57385	0.48034	0.10897	0.25681	0.086971	0.74719	0.32511	0.53437	0.76718	0.054269	0.072633	0.54841	0.15047	0.10189	0.085138	0.086957	0.1279	0.90257	0.6651	0.17134	0.32951	0.12558	0.15876	0.098059	0.19967	0.053243	0.072264	0.074362	0.65672	0.72743	0.11171	0.48957	0.16772	0.5502	0.18507
Meth__cg08724563__RAX	0.1431	0.043422	0.080909	0.1511	0.09706	0.086692	0.2094	0.40924	0.048538	0.053441	0.37822	0.063287	0.096417	0.032449	0.063547	0.069422	0.039329	0.080651	0.044675	0.044465	0.049682	0.5772	0.052867	0.8604	0.16795	0.055255	0.073585	0.11848	0.10343	0.045847	0.043203	0.052759	0.070841	0.15467	0.052484	0.059403	0.045041	0.11456	0.10929
Meth__cg00980978__WFDC2	0.088172	0.026231	0.34048	0.55909	0.48795	0.83686	0.10991	0.038977	0.070796	0.041508	0.036367	0.10943	0.91981	0.24266	0.052917	0.91782	0.031863	0.045552	0.043786	0.42484	0.45859	0.11407	0.17567	0.10078	0.55269	0.10097	0.066757	0.92674	0.039973	0.084982	0.022222	0.06169	0.93241	0.82824	0.054206	0.046058	0.04779	0.16509	0.54063
Meth__cg12513379__OR10H2	0.69085	0.083767	0.16904	0.38896	0.21573	0.061329	0.19137	0.084651	0.053068	0.12463	0.17822	0.49441	0.64763	0.065285	0.056188	0.089216	0.097927	0.058676	0.077528	0.076603	0.10089	0.82221	0.063668	0.35341	0.078824	0.097393	0.1502	0.1616	0.088344	0.20351	0.063835	0.074153	0.56708	0.19274	0.14208	0.67574	0.13652	0.12126	0.14638
Meth__cg07038887__BLMH	0.042832	0.031825	0.18052	0.088872	0.024319	0.035491	0.056216	0.10456	0.040657	0.051502	0.048534	0.08102	0.071635	0.30433	0.043347	0.037984	0.026928	0.096362	0.031252	0.03985	0.056679	0.040141	0.048737	0.61776	0.12369	0.038661	0.095513	0.79848	0.048213	0.036176	0.038405	0.030929	0.12024	0.66729	0.0481	0.040471	0.045296	0.10511	0.043693
Meth__cg07065941__KLF10	0.06181	0.062867	0.078804	0.061321	0.064106	0.05965	0.078499	0.064929	0.063864	0.071387	0.075192	0.095364	0.091923	0.69896	0.07823	0.072182	0.063996	0.15809	0.067501	0.067116	0.066714	0.065323	0.070681	0.0656	0.11794	0.068533	0.12756	0.086968	0.11251	0.063031	0.054316	0.049776	0.055801	0.055872	0.10816	0.077082	0.065778	0.10113	0.064557
Meth__cg00840403__CHST4	0.68798	0.13743	0.64635	0.59808	0.72164	0.17181	0.29794	0.3626	0.13456	0.39528	0.29915	0.15736	0.72158	0.080954	0.15335	0.2376	0.089323	0.11359	0.1217	0.064861	0.3702	0.77542	0.10685	0.72535	0.12549	0.42741	0.14759	0.43117	0.24417	0.10142	0.10629	0.12731	0.81555	0.37496	0.2194	0.7805	0.36761	0.71773	0.39253
Meth__cg22374901__TESC	0.044337	0.038243	0.20756	0.40528	0.25748	0.063486	0.88629	0.7302	0.038204	0.039568	0.91139	0.1896	0.69537	0.067222	0.052804	0.059091	0.30593	0.1441	0.3871	0.10561	0.091574	0.43547	0.049762	0.11288	0.48576	0.07693	0.11239	0.8538	0.078453	0.0357	0.044207	0.036605	0.058642	0.13799	0.068246	0.06202	0.048696	0.61372	0.044533
Meth__cg11044163__CPVL	0.10946	0.015737	0.56512	0.12109	0.025069	0.073626	0.16207	0.87614	0.030765	0.11753	0.046187	0.18916	0.52967	0.022664	0.041742	0.79677	0.043919	0.070578	0.043763	0.14259	0.14957	0.87842	0.031927	0.034687	0.18569	0.53538	0.0767	0.22422	0.035185	0.031655	0.065776	0.063116	0.90433	0.28294	0.049965	0.037371	0.15322	0.2264	0.26292
Meth__cg08413469__DEPDC1	0.050925	0.034526	0.045295	0.048902	0.09574	0.039592	0.065748	0.33503	0.036583	0.044481	0.044743	0.050448	0.11153	0.031736	0.037922	0.04152	0.046236	0.058225	0.041636	0.046781	0.039668	0.031044	0.036562	0.044141	0.077649	0.053945	0.093881	0.067726	0.075663	0.029648	0.034646	0.036604	0.052399	0.051081	0.06485	0.051783	0.048298	0.068505	0.060747
Meth__cg26029902__RAB22A	0.1036	0.10546	0.91972	0.90512	0.90755	0.1061	0.90643	0.89697	0.097969	0.90052	0.75565	0.74412	0.88312	0.92352	0.1154	0.10469	0.91062	0.84888	0.098234	0.51652	0.41309	0.9218	0.12182	0.47996	0.12072	0.8695	0.15078	0.84095	0.1544	0.11048	0.11473	0.10476	0.89137	0.10636	0.82724	0.46042	0.87725	0.82509	0.72721
Meth__cg05497616__CAMK4	0.23717	0.022135	0.7814	0.056395	0.035643	0.027946	0.94392	0.03862	0.028898	0.037845	0.15906	0.18071	0.46835	0.093892	0.042658	0.043307	0.12138	0.14629	0.02589	0.95364	0.95527	0.52895	0.037387	0.13259	0.066106	0.038442	0.22038	0.8846	0.060328	0.034107	0.027111	0.025543	0.038833	0.51826	0.21694	0.4796	0.058139	0.8484	0.28978
Meth__cg02633817__FXYD3	0.10541	0.075244	0.11574	0.090704	0.077682	0.19723	0.092865	0.057599	0.5028	0.066457	0.87835	0.09057	0.078194	0.037933	0.50062	0.15298	0.81893	0.076626	0.071565	0.059768	0.10185	0.1057	0.93413	0.067147	0.55273	0.087961	0.09061	0.12634	0.15708	0.56874	0.061429	0.90469	0.10321	0.098254	0.1141	0.098319	0.081073	0.10564	0.092869
Meth__cg07389922__C17orf81	0.045093	0.045776	0.2337	0.061406	0.10304	0.052056	0.1319	0.13189	0.029533	0.6087	0.03231	0.092238	0.091302	0.032432	0.043595	0.058798	0.047433	0.060339	0.029826	0.080842	0.05901	0.075666	0.34978	0.070396	0.29574	0.089328	0.058381	0.11022	0.079362	0.028745	0.033359	0.049023	0.045342	0.05557	0.12258	0.16872	0.068105	0.075116	0.037123
Meth__cg26150490__LOC389852	0.47363	0.032293	0.066964	0.046695	0.044733	0.036374	0.030632	0.87656	0.39254	0.20546	0.051451	0.44765	0.46678	0.3573	0.33802	0.4172	0.030784	0.21582	0.029311	0.028562	0.049011	0.48951	0.19783	0.45055	0.088463	0.18736	0.33151	0.379	0.090775	0.17543	0.027169	0.42979	0.12673	0.030851	0.075728	0.4571	0.29115	0.37062	0.75091
Meth__cg09429185__ZNF286	0.025828	0.043045	0.13187	0.41319	0.016989	0.029436	0.025918	0.028083	0.11743	0.030392	0.026659	0.086336	0.090006	0.02299	0.084264	0.024733	0.019919	0.11676	0.025757	0.045228	0.035548	0.036491	0.046458	0.068779	0.54632	0.037472	0.033546	0.10111	0.025796	0.03025	0.043827	0.032096	0.021448	0.10026	0.05184	0.031805	0.029209	0.02854	0.021185
Meth__cg21505886__TMEM129	0.32557	0.7143	0.35856	0.91315	0.92434	0.19509	0.70824	0.079296	0.14013	0.83227	0.10212	0.81292	0.19002	0.90657	0.37613	0.076923	0.12779	0.1337	0.089418	0.80318	0.80628	0.82633	0.91276	0.94213	0.057758	0.38494	0.17951	0.19921	0.50657	0.049602	0.3363	0.053495	0.8068	0.091866	0.053859	0.9311	0.50598	0.78163	0.087374
Meth__cg26606552__CCDC22	0.5076	0.089099	0.028918	0.54778	0.090195	0.024674	0.081825	0.036246	0.093258	0.32689	0.047243	0.57375	0.16437	0.12978	0.20723	0.13143	0.12244	0.078603	0.02112	0.030842	0.028724	0.22877	0.10165	0.39589	0.07237	0.26411	0.13375	0.18605	0.11044	0.051655	0.028413	0.020058	0.38384	0.03385	0.039408	0.397	0.05545	0.85067	0.030667
Meth__cg19836808__S100A7	0.1007	0.029239	0.30429	0.48766	0.15662	0.024322	0.056017	0.12422	0.041285	0.045372	0.036956	0.30175	0.20595	0.017286	0.062784	0.058962	0.052161	0.038943	0.023663	0.15252	0.14406	0.64004	0.025433	0.60467	0.044653	0.036059	0.03812	0.056404	0.085762	0.071793	0.026687	0.022527	0.1777	0.10463	0.075774	0.035816	0.062023	0.02395	0.10381
Meth__cg23456306__EFNA2	0.57138	0.02774	0.030191	0.030948	0.029992	0.027907	0.031861	0.040391	0.022949	0.035293	0.031079	0.026271	0.055137	0.030529	0.026658	0.028518	0.021642	0.086184	0.072963	0.024011	0.030724	0.028103	0.042446	0.032874	0.51538	0.032866	0.32364	0.95307	0.066965	0.021604	0.031932	0.10671	0.034079	0.029046	0.052794	0.031257	0.027168	0.048753	0.03382
Meth__cg22836153__LOX	0.14909	0.02874	0.33349	0.04138	0.026808	0.016525	0.072613	0.028722	0.021927	0.033116	0.02377	0.041275	0.23921	0.029295	0.028212	0.034932	0.020888	0.12068	0.022516	0.018116	0.031725	0.45591	0.083414	0.032213	0.026908	0.036111	0.029037	0.37024	0.069737	0.02224	0.02662	0.032175	0.052228	0.95768	0.091444	0.029911	0.036991	0.053434	0.026043
Meth__cg16523424__TIMP1	0.1493	0.040275	0.065586	0.32885	0.055145	0.047555	0.23748	0.06765	0.040139	0.044866	0.054881	0.14177	0.086689	0.045369	0.044404	0.14249	0.049469	0.15741	0.045459	0.04027	0.05987	0.2159	0.04178	0.29016	0.13876	0.21291	0.060713	0.31999	0.37129	0.040895	0.041518	0.036713	0.32296	0.1195	0.061725	0.11783	0.15374	0.41034	0.092786
Meth__cg23337754__CRABP1	0.062927	0.054591	0.93268	0.73582	0.7854	0.93034	0.059451	0.68619	0.054607	0.90915	0.097064	0.17852	0.84696	0.18425	0.064542	0.23976	0.059255	0.075232	0.13186	0.90413	0.61722	0.11397	0.18937	0.0722	0.84685	0.29934	0.072416	0.83921	0.076587	0.056537	0.061463	0.052	0.72179	0.90654	0.43024	0.054368	0.4113	0.88804	0.66656
Meth__cg12631737__FUT4	0.05499	0.76829	0.97295	0.97311	0.60377	0.040392	0.23738	0.052053	0.1485	0.048691	0.052392	0.64829	0.91293	0.50387	0.31726	0.4562	0.044471	0.058611	0.090362	0.036976	0.047803	0.95471	0.036747	0.099263	0.047947	0.4206	0.066489	0.55817	0.13853	0.049532	0.08443	0.036949	0.26116	0.031153	0.11236	0.05282	0.35749	0.078711	0.88604
Meth__cg09879099__ONECUT2	0.047346	0.056047	0.059725	0.040808	0.040585	0.043551	0.19145	0.17484	0.039513	0.04429	0.05067	0.055696	0.11764	0.035629	0.045531	0.053679	0.046819	0.081474	0.18959	0.036017	0.05508	0.48012	0.052991	0.2437	0.082553	0.050957	0.078906	0.077869	0.059126	0.044723	0.042967	0.049087	0.037066	0.045624	0.056159	0.047155	0.044893	0.063577	0.048525
Meth__cg06030619__CORO1A	0.15295	0.37182	0.71924	0.16027	0.10143	0.13013	0.18908	0.068969	0.032731	0.057442	0.044567	0.08736	0.44796	0.1028	0.035416	0.23892	0.029197	0.096632	0.05578	0.062422	0.058594	0.092207	0.046207	0.050096	0.07973	0.1322	0.096441	0.35602	0.14403	0.04084	0.030757	0.078567	0.15487	0.30562	0.17014	0.055052	0.13924	0.22839	0.13891
Meth__cg04970117__SLC6A20	0.93259	0.035729	0.90868	0.43629	0.58236	0.8895	0.96842	0.60351	0.024633	0.979	0.29665	0.2883	0.96487	0.16862	0.021016	0.95635	0.028054	0.10192	0.096087	0.98238	0.97074	0.96689	0.051796	0.8029	0.95151	0.96299	0.092067	0.95375	0.061897	0.3956	0.027538	0.5821	0.55218	0.96721	0.77139	0.034661	0.62104	0.56434	0.96997
Meth__cg00230502__CCDC60	0.19391	0.087622	0.76147	0.49768	0.79667	0.16703	0.66808	0.76953	0.066473	0.063765	0.39227	0.55688	0.29992	0.03357	0.079347	0.096715	0.15764	0.12805	0.050639	0.21177	0.15081	0.75844	0.10199	0.80469	0.26889	0.10966	0.08415	0.46346	0.12832	0.078121	0.32898	0.072522	0.2305	0.61563	0.1591	0.053363	0.32229	0.60558	0.69709
Meth__cg24206256__MAT2B	0.52158	0.066845	0.17637	0.28212	0.5	0.06141	0.37757	0.1456	0.25318	0.09515	0.094113	0.11513	0.23888	0.07951	0.21923	0.16538	0.12147	0.14303	0.18736	0.099593	0.11989	0.85509	0.070985	0.099168	0.112	0.14464	0.25139	0.19945	0.15209	0.069214	0.11319	0.10876	0.88273	0.074436	0.18913	0.28893	0.23815	0.17983	0.65355
Meth__cg14957086__CSRP2	0.42073	0.039694	0.14935	0.68023	0.31904	0.038444	0.76258	0.081495	0.054735	0.041128	0.087751	0.10925	0.19149	0.038187	0.048351	0.063482	0.037782	0.24024	0.047606	0.29347	0.28174	0.86558	0.056625	0.1052	0.093498	0.056147	0.42739	0.4491	0.12038	0.026232	0.038784	0.054117	0.91317	0.85661	0.72696	0.061919	0.89075	0.27045	0.83599
Meth__cg00746083__CHD8	0.047919	0.046485	0.0497	0.040164	0.035523	0.041837	0.050546	0.042345	0.048052	0.04367	0.042765	0.030797	0.088698	0.030629	0.058451	0.033588	0.046863	0.097249	0.036376	0.039234	0.044381	0.046551	0.040603	0.033462	0.10109	0.041627	0.058406	0.06234	0.062673	0.049105	0.049147	0.59693	0.03542	0.043708	0.16164	0.057309	0.049414	0.11326	0.04643
Meth__cg14830952__E2F5	0.027307	0.021825	0.030559	0.027689	0.032675	0.028885	0.036781	0.035396	0.025245	0.040993	0.026965	0.025363	0.074837	0.020915	0.029238	0.035505	0.029813	0.066595	0.038667	0.03619	0.034547	0.029338	0.031008	0.024708	0.079117	0.035005	0.24489	0.059487	0.046633	0.0305	0.022524	0.026047	0.030464	0.024594	0.04211	0.036066	0.022355	0.059048	0.029449
