Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Meth__cg10731149__CYBRD1	0.052382	0.94934	0.045503	0.95274	0.96683	0.049284	0.94322	0.10096	0.8353	0.10978	0.082103	0.073044	0.17319	0.94427	0.061053	0.45443	0.88585	0.051862	0.079838	0.040109	0.95095	0.039326	0.044867	0.29174	0.084211	0.11336	0.10921	0.09856	0.80396	0.35629	0.036511	0.19357	0.060524	0.052561	0.029445	0.57742	0.082051	0.29278
Meth__cg09088508__RHOF	0.042013	0.037593	0.046926	0.60343	0.060755	0.91589	0.25242	0.89708	0.38124	0.035414	0.051848	0.034004	0.53088	0.40324	0.031122	0.044044	0.24163	0.090845	0.55854	0.66231	0.050087	0.89915	0.07243	0.25254	0.073053	0.033982	0.13503	0.38291	0.11409	0.10955	0.051481	0.22781	0.30832	0.087553	0.37091	0.43295	0.061865	0.034716
Meth__cg21201572__AGR2	0.087938	0.051537	0.61013	0.065894	0.11165	0.85673	0.10081	0.545	0.29263	0.054959	0.11769	0.2657	0.079256	0.11427	0.034188	0.085174	0.13194	0.59621	0.10874	0.72625	0.082409	0.86306	0.15998	0.077594	0.21651	0.83374	0.1035	0.07129	0.13683	0.27791	0.10468	0.79252	0.073901	0.057961	0.17283	0.045562	0.18669	0.074152
Meth__cg13401831__TUBA8	0.089891	0.11574	0.12125	0.10081	0.058129	0.56257	0.14034	0.85806	0.15308	0.050414	0.059648	0.085453	0.10738	0.87859	0.04026	0.061414	0.77545	0.088773	0.12582	0.051592	0.13765	0.911	0.62084	0.097664	0.10319	0.17637	0.12956	0.058307	0.10158	0.38464	0.075783	0.083333	0.85905	0.053901	0.11212	0.89552	0.10304	0.058723
Meth__cg08942875__OCIAD2	0.067471	0.041447	0.12451	0.046871	0.03278	0.71556	0.049001	0.27628	0.049346	0.02882	0.033582	0.10426	0.058834	0.096123	0.027846	0.036328	0.051815	0.066334	0.074235	0.51544	0.052846	0.13802	0.078126	0.044211	0.07579	0.1938	0.074273	0.040564	0.071624	0.056306	0.031321	0.059224	0.15112	0.032175	0.051049	0.027914	0.04127	0.049782
Meth__cg14809191__FOXQ1	0.43554	0.041688	0.95204	0.048513	0.042815	0.78409	0.057789	0.32981	0.90328	0.17658	0.046956	0.60458	0.12965	0.16284	0.061195	0.15093	0.95088	0.18302	0.37168	0.65249	0.045708	0.33481	0.49407	0.047219	0.037415	0.63268	0.13975	0.26408	0.049048	0.039517	0.03655	0.87237	0.32613	0.037594	0.037617	0.65894	0.070691	0.038386
Meth__cg27024922__POMT1	0.35866	0.053791	0.95298	0.038644	0.051627	0.10853	0.053425	0.19747	0.058968	0.062753	0.069308	0.032717	0.92374	0.57043	0.065804	0.21061	0.18514	0.63382	0.22614	0.398	0.092077	0.14145	0.87861	0.22923	0.10133	0.070561	0.10921	0.87649	0.047376	0.031045	0.36101	0.89291	0.21665	0.73928	0.0488	0.062304	0.83776	0.12865
Meth__cg24930915__RAB26	0.055301	0.028137	0.070923	0.0681	0.033641	0.82069	0.058106	0.53774	0.048173	0.033318	0.048106	0.063461	0.067462	0.089336	0.03663	0.037766	0.1468	0.048704	0.092121	0.74006	0.056591	0.51004	0.085656	0.055311	0.085333	0.042639	0.080416	0.07041	0.054122	0.044857	0.027772	0.027488	0.03112	0.031904	0.026501	0.029522	0.091675	0.067139
Meth__cg09800519__RXRA	0.045636	0.055858	0.068664	0.05533	0.042557	0.033839	0.056056	0.031547	0.65796	0.034851	0.063195	0.048292	0.065156	0.079254	0.027556	0.040034	0.048954	0.080741	0.10155	0.039768	0.062893	0.047127	0.061836	0.053847	0.077838	0.03242	0.072673	0.057419	0.10469	0.037543	0.035267	0.036751	0.0425	0.03474	0.044321	0.048073	0.042416	0.055927
Meth__cg00292662__LGALS1	0.053644	0.16456	0.056186	0.14659	0.065405	0.037183	0.045059	0.029247	0.039776	0.033552	0.066745	0.043177	0.060235	0.071709	0.031975	0.056345	0.036909	0.038611	0.079734	0.031378	0.38293	0.047001	0.078754	0.10599	0.05928	0.032826	0.13099	0.048632	0.07959	0.042994	0.036419	0.042809	0.057891	0.045981	0.035251	0.04278	0.054889	0.044615
Meth__cg22919370__HIST1H3I	0.37939	0.12404	0.68917	0.69837	0.42974	0.50362	0.43694	0.42647	0.64234	0.080202	0.68066	0.67206	0.18058	0.62628	0.08893	0.10456	0.064812	0.076887	0.14063	0.10291	0.14669	0.089069	0.38346	0.14632	0.18325	0.12787	0.33191	0.049731	0.30338	0.1052	0.065707	0.23896	0.10553	0.44444	0.32562	0.58408	0.27637	0.12602
Meth__cg00050312__PRKCA	0.028097	0.026335	0.038466	0.032752	0.022563	0.017088	0.054169	0.040089	0.032495	0.054865	0.02704	0.032714	0.030851	0.041956	0.11339	0.052831	0.035035	0.035211	0.11514	0.02094	0.043769	0.034114	0.052639	0.028	0.035893	0.026149	0.67863	0.057317	0.045687	0.018743	0.023689	0.031059	0.016448	0.019169	0.032856	0.024301	0.061506	0.027726
Meth__cg14892768__AXL	0.38564	0.21132	0.92694	0.91028	0.84973	0.043781	0.80681	0.11269	0.41124	0.18671	0.7753	0.72015	0.56411	0.88952	0.10517	0.19916	0.2274	0.052659	0.19196	0.042338	0.92226	0.083058	0.11057	0.8766	0.10859	0.065878	0.64986	0.72637	0.090576	0.051547	0.046393	0.051573	0.73256	0.1811	0.30216	0.69786	0.51304	0.41055
Meth__cg24358465__HIST1H2AG	0.047799	0.019637	0.065586	0.033708	0.91227	0.024192	0.86877	0.0553	0.039513	0.025315	0.98345	0.06696	0.040009	0.078318	0.99088	0.036839	0.026458	0.016321	0.037636	0.027891	0.036141	0.033947	0.055669	0.040663	0.07291	0.047039	0.052465	0.024491	0.077364	0.018767	0.02818	0.058729	0.057862	0.83743	0.027474	0.7382	0.94992	0.040383
Meth__cg21688264__SNAP91	0.033559	0.039291	0.50529	0.036969	0.038297	0.030115	0.94749	0.077555	0.96084	0.032683	0.051732	0.086014	0.039286	0.78374	0.94969	0.29757	0.032253	0.057619	0.1008	0.057335	0.04271	0.04142	0.64237	0.48976	0.14978	0.036289	0.88673	0.49578	0.066098	0.038972	0.026523	0.089027	0.44778	0.056055	0.91336	0.6887	0.051154	0.78888
Meth__cg10364513__RXRG	0.19848	0.042288	0.96685	0.21699	0.056336	0.95135	0.73901	0.85937	0.98419	0.11845	0.051935	0.70508	0.19318	0.96354	0.060505	0.088997	0.61707	0.24076	0.27146	0.3159	0.14545	0.11603	0.93203	0.54192	0.12531	0.52731	0.54939	0.85106	0.079117	0.22745	0.45531	0.42144	0.93674	0.041838	0.89174	0.94798	0.071121	0.062047
Meth__cg12534466__FLJ20551	0.053981	0.66251	0.067102	0.070952	0.054085	0.046844	0.051364	0.11236	0.052961	0.076325	0.058217	0.055355	0.071758	0.085578	0.048137	0.062044	0.052651	0.057773	0.12947	0.045243	0.072308	0.080551	0.10349	0.064047	0.14468	0.048528	0.071429	0.058635	0.14278	0.044439	0.04318	0.074108	0.046505	0.050901	0.066537	0.058598	0.093901	0.047486
Meth__cg24166097__NPM3	0.088623	0.12197	0.14269	0.074263	0.085901	0.050821	0.081244	0.22787	0.078624	0.1029	0.10826	0.10949	0.27509	0.7705	0.072014	0.30916	0.079809	0.090545	0.14536	0.090708	0.07428	0.067081	0.091625	0.07877	0.14247	0.060439	0.15209	0.087906	0.10381	0.086241	0.086689	0.088866	0.087317	0.92903	0.15454	0.096934	0.23795	0.073978
Meth__cg22023770__C6orf114	0.067032	0.50628	0.08098	0.072792	0.063693	0.074157	0.37197	0.035075	0.07698	0.098337	0.084264	0.35739	0.072396	0.10341	0.1075	0.097872	0.080733	0.074982	0.067855	0.084162	0.065638	0.082164	0.074784	0.094046	0.12042	0.075806	0.11791	0.081203	0.4835	0.084235	0.077498	0.078732	0.073092	0.089759	0.050386	0.061013	0.070817	0.087283
Meth__cg20769774__CYLD	0.068579	0.057231	0.046481	0.058532	0.070353	0.48758	0.059632	0.069791	0.053802	0.046377	0.045749	0.046662	0.093455	0.12679	0.047087	0.059177	0.047732	0.043587	0.045247	0.068386	0.051564	0.053009	0.09281	0.068624	0.1003	0.050243	0.12652	0.056915	0.06479	0.043957	0.24207	0.042989	0.050618	0.045811	0.049053	0.044188	0.10424	0.083713
Meth__cg26531804__SPINT1	0.03995	0.058876	0.051174	0.069009	0.098212	0.86782	0.081386	0.91317	0.059869	0.064649	0.11946	0.058388	0.10448	0.069069	0.038696	0.067437	0.067097	0.71657	0.093919	0.6145	0.064272	0.89994	0.8274	0.052344	0.090415	0.91043	0.081014	0.057834	0.098097	0.10971	0.16319	0.87992	0.079403	0.049731	0.045169	0.036535	0.077966	0.090223
Meth__cg17880859__RBBP7	0.019529	0.026886	0.037634	0.020551	0.54211	0.020805	0.033709	0.068095	0.029645	0.032852	0.020611	0.027507	0.033512	0.036361	0.70368	0.037323	0.019806	0.031177	0.062695	0.016466	0.026432	0.021115	0.041002	0.024099	0.021095	0.02737	0.47658	0.028624	0.79368	0.01426	0.022574	0.015394	0.024049	0.030707	0.60324	0.020633	0.12093	0.027505
Meth__cg03560597__DUSP18	0.042085	0.02706	0.060934	0.035615	0.031884	0.030287	0.037213	0.045672	0.021609	0.044244	0.044721	0.037787	0.04321	0.13906	0.043901	0.044272	0.041397	0.044044	0.046379	0.027875	0.037451	0.037389	0.05238	0.036016	0.10438	0.033398	0.22823	0.043913	0.10127	0.037236	0.034001	0.041279	0.030495	0.026903	0.05438	0.028659	0.062402	0.046687
Meth__cg23613317__LARP1	0.072952	0.096369	0.7824	0.13242	0.082979	0.88962	0.086897	0.88097	0.91516	0.43626	0.073621	0.88792	0.602	0.72989	0.10704	0.39995	0.41386	0.89715	0.39357	0.69157	0.097112	0.89771	0.81449	0.080833	0.14807	0.89272	0.18438	0.084588	0.16238	0.88573	0.11466	0.62775	0.12875	0.062958	0.089478	0.077075	0.13003	0.079965
Meth__cg04388983__P2RY2	0.14557	0.057278	0.11754	0.042575	0.097409	0.9494	0.13256	0.70649	0.39442	0.061794	0.066231	0.85873	0.20275	0.12077	0.045102	0.067568	0.085923	0.41023	0.10545	0.07997	0.053425	0.86588	0.11598	0.086735	0.1464	0.78777	0.15065	0.072275	0.095495	0.10455	0.049822	0.91001	0.10889	0.048928	0.058943	0.082451	0.21605	0.093489
Meth__cg04770504__DFNA5	0.52962	0.032854	0.60618	0.92466	0.48612	0.030053	0.95623	0.015783	0.9483	0.067309	0.064716	0.052992	0.074781	0.75957	0.22073	0.12752	0.052437	0.044207	0.36641	0.072843	0.93682	0.042381	0.083844	0.45295	0.13904	0.031199	0.92959	0.20119	0.073621	0.0367	0.027205	0.036375	0.57557	0.049225	0.94957	0.95233	0.5694	0.049665
Meth__cg11490446__PSEN1	0.037896	0.021383	0.10048	0.061765	0.043781	0.23366	0.038164	0.10295	0.32324	0.035874	0.037423	0.025894	0.10503	0.039048	0.019915	0.030825	0.027378	0.024574	0.038183	0.030983	0.031571	0.023819	0.41822	0.040075	0.04172	0.095509	0.029799	0.03889	0.054529	0.026187	0.022513	0.021016	0.045837	0.033235	0.037245	0.042352	0.047806	0.025453
Meth__cg06533629__KLF14	0.17621	0.039532	0.26272	0.85673	0.3659	0.06564	0.72954	0.1281	0.080183	0.044645	0.27901	0.44705	0.14286	0.21398	0.13723	0.046181	0.056756	0.038662	0.12338	0.86282	0.92009	0.052437	0.89187	0.092991	0.21251	0.058498	0.87637	0.067292	0.083275	0.081576	0.047524	0.87794	0.055787	0.58647	0.86976	0.53444	0.77791	0.41898
Meth__cg25013852__PGM1	0.033798	0.16499	0.038659	0.20266	0.20737	0.034664	0.62792	0.087899	0.033455	0.038614	0.089124	0.037773	0.027004	0.055789	0.029574	0.035654	0.042673	0.043044	0.068571	0.030089	0.043961	0.035194	0.12392	0.054929	0.062301	0.03225	0.065602	0.044687	0.072822	0.025293	0.035945	0.030531	0.68722	0.045869	0.75715	0.036455	0.1284	0.042625
Meth__cg24053587__PTPRO	0.26467	0.24165	0.87032	0.53874	0.44942	0.090618	0.76466	0.09189	0.15421	0.044302	0.088764	0.11011	0.077887	0.56497	0.098257	0.19426	0.093754	0.069557	0.12859	0.052304	0.78979	0.072575	0.71439	0.11281	0.14191	0.040202	0.62749	0.096024	0.097927	0.059165	0.034094	0.085157	0.7738	0.050913	0.77909	0.75946	0.39246	0.077007
Meth__cg13084429__VWA2	0.065969	0.066077	0.86142	0.098901	0.060597	0.90433	0.093978	0.84203	0.3681	0.084917	0.078803	0.30751	0.09552	0.36827	0.074335	0.081617	0.62306	0.080465	0.09725	0.18899	0.070183	0.20035	0.88151	0.067477	0.097299	0.086904	0.15017	0.075749	0.11047	0.088647	0.10833	0.14915	0.19733	0.048411	0.085972	0.7156	0.15128	0.064698
Meth__cg09441152__PQLC1	0.046401	0.16024	0.14594	0.11591	0.04213	0.046882	0.063189	0.030164	0.41019	0.16606	0.25134	0.059142	0.13843	0.31427	0.074494	0.12126	0.11387	0.12675	0.080542	0.053522	0.47201	0.047244	0.56516	0.065917	0.077737	0.054463	0.11418	0.54398	0.064336	0.036657	0.046912	0.25167	0.083817	0.049597	0.14795	0.11963	0.044027	0.056541
Meth__cg25659818__CCL4	0.64348	0.071226	0.50719	0.88175	0.84115	0.033458	0.80729	0.12327	0.27584	0.72093	0.49539	0.663	0.7181	0.76355	0.038782	0.37959	0.28534	0.88237	0.079532	0.091253	0.53988	0.046091	0.10963	0.5232	0.07104	0.18089	0.37225	0.081444	0.15759	0.1813	0.041318	0.051529	0.77771	0.063974	0.79773	0.50914	0.074679	0.53822
Meth__cg00359973__RIBC1	0.025379	0.017949	0.024557	0.02142	0.016603	0.019072	0.026402	0.012658	0.018789	0.02486	0.027839	0.027218	0.4599	0.027262	0.023147	0.024196	0.022022	0.021755	0.31293	0.019242	0.021578	0.028255	0.056242	0.018613	0.042494	0.019155	0.57153	0.017972	0.028887	0.018217	0.022714	0.028599	0.021157	0.021952	0.036419	0.025809	0.038156	0.025933
Meth__cg12300353__KCTD8	0.061157	0.020782	0.97341	0.030195	0.70852	0.64549	0.97831	0.2985	0.05313	0.015128	0.036799	0.97973	0.52772	0.67419	0.98654	0.34455	0.020822	0.67589	0.077853	0.32709	0.95447	0.042894	0.94808	0.83668	0.50178	0.033027	0.96404	0.93847	0.044636	0.019931	0.016044	0.41941	0.014403	0.018947	0.99016	0.98314	0.93671	0.48886
Meth__cg15309006__LOC63928	0.57507	0.094617	0.9591	0.41898	0.045934	0.78244	0.41741	0.64611	0.96667	0.12006	0.031713	0.96234	0.46776	0.26844	0.071943	0.0903	0.50591	0.43373	0.31914	0.34487	0.9536	0.23784	0.90237	0.13884	0.092423	0.51043	0.89879	0.67052	0.11321	0.059679	0.69948	0.22436	0.35886	0.030443	0.2648	0.68632	0.19995	0.032908
Meth__cg13519373__IL8RA	0.65017	0.17646	0.29247	0.76232	0.47924	0.041049	0.61609	0.13341	0.78401	0.54635	0.64313	0.091484	0.54679	0.51224	0.059573	0.33229	0.25267	0.17905	0.071901	0.049151	0.56273	0.04627	0.087659	0.22136	0.44723	0.087348	0.45568	0.37073	0.24355	0.041414	0.15415	0.10473	0.61995	0.1081	0.61863	0.669	0.14938	0.69893
Meth__cg23721140__ZNF514	0.043708	0.019812	0.035177	0.029179	0.018096	0.026533	0.031936	0.27165	0.071163	0.026545	0.027182	0.024779	0.018625	0.035588	0.018759	0.025246	0.031819	0.01987	0.05912	0.073107	0.029429	0.036923	0.20759	0.032947	0.040989	0.029432	0.18246	0.040257	0.038409	0.021452	0.027453	0.027861	0.019649	0.024145	0.015307	0.013379	0.1284	0.031128
Meth__cg17421623__C3orf9	0.046675	0.25988	0.49356	0.79181	0.16974	0.035664	0.051555	0.098171	0.040892	0.10701	0.14128	0.029248	0.041112	0.12045	0.28578	0.072706	0.12944	0.033606	0.051361	0.035977	0.13808	0.038673	0.076021	0.32242	0.12019	0.040486	0.053115	0.07767	0.20803	0.03135	0.031522	0.051941	0.87504	0.043513	0.13303	0.03547	0.062239	0.67052
Meth__cg10061117__SORL1	0.016696	0.013689	0.74631	0.021845	0.02058	0.44619	0.021847	0.47707	0.023665	0.01197	0.018013	0.081166	0.15029	0.11838	0.018924	0.01507	0.08672	0.042547	0.2004	0.01206	0.059021	0.033392	0.83941	0.011425	0.038462	0.83386	0.053218	0.064578	0.020979	0.024111	0.22595	0.029946	0.23923	0.014094	0.061367	0.01447	0.022636	0.016701
Meth__cg09892203__CACNG4	0.03815	0.045367	0.35151	0.033884	0.012595	0.0227	0.031697	0.022929	0.019305	0.028448	0.029881	0.15448	0.027304	0.061987	0.045048	0.028697	0.020398	0.019692	0.047486	0.046216	0.027866	0.024356	0.95743	0.028462	0.052228	0.023242	0.041663	0.43919	0.053451	0.018991	0.030834	0.024683	0.015878	0.026723	0.1078	0.033263	0.035747	0.027785
Meth__cg27401095__ZNF324	0.062033	0.045905	0.92247	0.65279	0.080484	0.83037	0.283	0.83697	0.30539	0.055785	0.43728	0.13858	0.71926	0.36453	0.032279	0.049851	0.67813	0.06705	0.21791	0.041098	0.082684	0.39545	0.81876	0.25418	0.026065	0.9019	0.36796	0.33342	0.087039	0.091137	0.54716	0.25399	0.31688	0.34763	0.21556	0.42045	0.063046	0.35577
Meth__cg09243900__RAB25	0.06656	0.044754	0.065745	0.069495	0.057205	0.92211	0.065311	0.92646	0.049319	0.053652	0.070708	0.36055	0.054334	0.088115	0.049814	0.051841	0.18874	0.90448	0.09224	0.8575	0.067266	0.92018	0.85421	0.07798	0.10981	0.91214	0.057734	0.06708	0.21213	0.43773	0.060403	0.88861	0.051223	0.050536	0.063018	0.053532	0.08133	0.061831
Meth__cg16606638__GALNT4	0.079436	0.077319	0.84126	0.1819	0.083024	0.35414	0.22825	0.85224	0.61832	0.87066	0.067714	0.074178	0.10135	0.16967	0.079571	0.6225	0.15194	0.0622	0.098831	0.09075	0.10298	0.46921	0.68167	0.1583	0.090167	0.8367	0.25429	0.49246	0.079357	0.055393	0.41218	0.80166	0.35094	0.055804	0.048433	0.064234	0.21955	0.53753
Meth__cg18468219__MARVELD3	0.033577	0.028951	0.026605	0.028166	0.029381	0.28501	0.029989	0.22191	0.030866	0.027268	0.02756	0.053451	0.036672	0.054105	0.020159	0.021587	0.030512	0.025697	0.029562	0.059622	0.023656	0.030759	0.80238	0.027317	0.053417	0.056248	0.073931	0.032325	0.080925	0.023279	0.019551	0.027746	0.031549	0.028076	0.038443	0.018417	0.053196	0.033844
Meth__cg02838492__KIF12	0.036195	0.063233	0.96731	0.61455	0.048227	0.96852	0.052254	0.94197	0.96362	0.92896	0.042802	0.95791	0.92256	0.94723	0.068182	0.75667	0.95485	0.97149	0.51175	0.96503	0.58426	0.7132	0.91032	0.05071	0.052868	0.97102	0.94632	0.95334	0.14717	0.6588	0.97778	0.96632	0.23819	0.051838	0.054832	0.028466	0.064142	0.07434
Meth__cg18602314__GFPT2	0.071848	0.11224	0.65143	0.48736	0.6961	0.32391	0.18614	0.17417	0.057962	0.033032	0.27946	0.065223	0.1209	0.26977	0.16824	0.043134	0.094129	0.035129	0.3272	0.031722	0.87288	0.048602	0.10731	0.42702	0.1271	0.026266	0.86885	0.18424	0.083512	0.25664	0.029872	0.085159	0.029205	0.080198	0.46992	0.42154	0.41071	0.040592
Meth__cg02397514__HES4	0.054613	0.034298	0.058817	0.033688	0.022799	0.034801	0.045608	0.038165	0.081664	0.025342	0.024197	0.042039	0.07116	0.040636	0.0235	0.030305	0.68297	0.045846	0.063478	0.40481	0.062256	0.062236	0.06668	0.042044	0.0472	0.027019	0.088115	0.041511	0.083226	0.056342	0.026103	0.064567	0.024413	0.020218	0.028117	0.02964	0.1284	0.031838
Meth__cg17701886__B3GNT5	0.77203	0.57047	0.094199	0.50322	0.86472	0.090658	0.86485	0.29272	0.038001	0.094171	0.43974	0.078217	0.050863	0.11302	0.62668	0.087743	0.08715	0.08563	0.11927	0.24784	0.3919	0.13302	0.17144	0.078535	0.099707	0.10409	0.38298	0.087877	0.37924	0.073483	0.07921	0.078909	0.12135	0.0473	0.84563	0.89075	0.75338	0.56443
Meth__cg01851385__CLCN4	0.38495	0.083991	0.1556	0.085001	0.089088	0.15873	0.14376	0.11979	0.56482	0.24625	0.11858	0.11858	0.28264	0.13463	0.080426	0.19848	0.45372	0.083712	0.24138	0.12816	0.12598	0.39723	0.19694	0.094779	0.14323	0.21829	0.24821	0.1236	0.16441	0.4461	0.15115	0.72041	0.11047	0.12975	0.1709	0.76486	0.267	0.083582
Meth__cg07448460__GGH	0.03751	0.06916	0.030907	0.050647	0.021593	0.019646	0.028427	0.075914	0.024761	0.046928	0.024202	0.037113	0.018109	0.067151	0.036812	0.19249	0.035148	0.026466	0.079213	0.028234	0.032092	0.031159	0.035744	0.038439	0.042667	0.026241	0.063548	0.031316	0.36163	0.026502	0.038211	0.024484	0.022609	0.040186	0.023593	0.020965	0.017875	0.026696
Meth__cg25538571__FLJ46365	0.63632	0.049414	0.77616	0.88542	0.86416	0.0529	0.79767	0.078845	0.85804	0.041181	0.69052	0.8142	0.66443	0.73608	0.11111	0.046419	0.79859	0.054017	0.52236	0.022744	0.68038	0.029014	0.081007	0.26716	0.13779	0.030813	0.78446	0.057782	0.069476	0.031466	0.042062	0.053154	0.91338	0.29328	0.075548	0.84342	0.065722	0.89729
Meth__cg04589904__ADRB1	0.047455	0.93216	0.14931	0.068982	0.49876	0.35488	0.43703	0.33696	0.043949	0.77546	0.43806	0.059447	0.060245	0.67706	0.049374	0.6764	0.9377	0.69009	0.22478	0.069116	0.54736	0.41958	0.11979	0.055497	0.065796	0.059638	0.9044	0.18695	0.82007	0.075616	0.88029	0.11783	0.62189	0.11626	0.93914	0.85841	0.080198	0.0695
Meth__cg02471507__CHMP4C	0.035746	0.026935	0.030717	0.031784	0.026769	0.81272	0.029804	0.16795	0.01592	0.0304	0.031117	0.031002	0.017	0.04383	0.028682	0.032691	0.032277	0.030156	0.087942	0.12144	0.025812	0.26732	0.069641	0.030847	0.057746	0.056311	0.061966	0.033128	0.047229	0.3071	0.023331	0.023198	0.02759	0.018538	0.036074	0.025682	0.10296	0.030768
Meth__cg16847051__CALCOCO1	0.082651	0.083728	0.18626	0.13481	0.15216	0.75993	0.30817	0.59489	0.11648	0.11773	0.32668	0.079456	0.1449	0.54118	0.06181	0.12502	0.12033	0.10126	0.12472	0.4407	0.14757	0.23609	0.32991	0.34717	0.12278	0.26422	0.18112	0.164	0.1718	0.059768	0.45184	0.075351	0.18929	0.19095	0.13322	0.35503	0.29647	0.077342
Meth__cg20777437__CDCP2	0.033855	0.049281	0.68261	0.55184	0.22595	0.75859	0.47886	0.82054	0.67682	0.028533	0.29262	0.047256	0.2345	0.36136	0.069201	0.032479	0.25573	0.23068	0.091008	0.083544	0.63745	0.61589	0.7462	0.30892	0.12561	0.24897	0.28617	0.31281	0.28674	0.56435	0.27528	0.3427	0.1418	0.0442	0.4126	0.048336	0.30368	0.15582
Meth__cg23918047__ARHGDIA	0.0805	0.080444	0.36151	0.19936	0.228	0.048334	0.41681	0.084957	0.055941	0.086743	0.3181	0.050184	0.89638	0.18314	0.36674	0.1395	0.11316	0.057127	0.143	0.048025	0.077102	0.23104	0.070739	0.34427	0.25006	0.065432	0.12769	0.21542	0.16436	0.043815	0.068906	0.058328	0.10345	0.35102	0.13146	0.07658	0.12806	0.54584
Meth__cg06428055__ELF4	0.57661	0.025155	0.025397	0.69954	0.54642	0.011146	0.031995	0.017532	0.40963	0.96472	0.49193	0.024339	0.025005	0.03261	0.60192	0.80519	0.46713	0.62134	0.13962	0.015785	0.030405	0.68889	0.029853	0.040481	0.51687	0.64428	0.50852	0.024428	0.040263	0.92509	0.018224	0.64925	0.018523	0.015942	0.60926	0.70956	0.071261	0.66081
Meth__cg00729875__PALMD	0.056225	0.044131	0.11814	0.060719	0.041295	0.21349	0.044042	0.78847	0.086511	0.074287	0.048998	0.056391	0.054384	0.094484	0.031948	0.080316	0.041287	0.038399	0.13316	0.86367	0.097621	0.049839	0.78617	0.052236	0.082859	0.86246	0.072088	0.062325	0.045568	0.18307	0.043954	0.26579	0.046397	0.028682	0.035103	0.044631	0.096911	0.057763
Meth__cg17166812__NDUFS2	0.054794	0.076204	0.7796	0.40362	0.082996	0.59875	0.028252	0.51294	0.4427	0.059238	0.15819	0.033123	0.5924	0.55252	0.019692	0.097334	0.03554	0.51934	0.12157	0.17111	0.60821	0.51534	0.42064	0.33425	0.10799	0.66023	0.061672	0.030113	0.16592	0.068168	0.12734	0.17616	0.71849	0.032159	0.033795	0.03004	0.14572	0.11037
Meth__cg13958614__FOXD1	0.19846	0.085385	0.092532	0.09293	0.044101	0.052312	0.88175	0.02738	0.14169	0.041184	0.062029	0.068294	0.032711	0.086414	0.89939	0.041285	0.086733	0.088682	0.16677	0.045584	0.5081	0.064971	0.86824	0.086926	0.63331	0.048672	0.48553	0.065197	0.12866	0.052463	0.046171	0.063003	0.048512	0.060332	0.57974	0.89858	0.5279	0.052637
Meth__cg14587868__TGM1	0.088428	0.072753	0.18882	0.47331	0.13028	0.74384	0.10767	0.41268	0.39387	0.059181	0.082194	0.75387	0.36723	0.26703	0.15344	0.10436	0.45122	0.68745	0.18133	0.10752	0.22176	0.79092	0.282	0.52407	0.19238	0.82735	0.32182	0.085768	0.098021	0.12654	0.71042	0.31176	0.058479	0.087768	0.30288	0.058632	0.22009	0.099312
Meth__cg22571217__DAPK1	0.27977	0.081953	0.71029	0.078159	0.1872	0.092441	0.79084	0.11034	0.054684	0.048756	0.063623	0.057939	0.057002	0.091208	0.056019	0.077244	0.055962	0.045023	0.095824	0.24183	0.6644	0.063875	0.66255	0.054923	0.37801	0.057809	0.15678	0.056165	0.1094	0.047364	0.035006	0.046276	0.036145	0.047098	0.48702	0.068969	0.048199	0.40344
Meth__cg08445039__FKBP9	0.024539	0.15646	0.025137	0.253	0.11233	0.021066	0.17194	0.027822	0.022698	0.1218	0.27434	0.025721	0.063485	0.055412	0.45705	0.11462	0.040185	0.022171	0.031954	0.017983	0.075508	0.025783	0.048216	0.2678	0.033913	0.020806	0.11476	0.054707	0.0719	0.028148	0.025528	0.019976	0.15165	0.049533	0.018147	0.035235	0.039834	0.02985
Meth__cg09119665__PNMA1	0.074471	0.02479	0.067259	0.22254	0.041526	0.035996	0.034891	0.022925	0.027115	0.10623	0.10094	0.034026	0.11903	0.08064	0.040353	0.12075	0.028031	0.031218	0.12066	0.043874	0.040826	0.027291	0.060222	0.16626	0.074424	0.034759	0.1246	0.04839	0.083763	0.031409	0.024951	0.029666	0.046853	0.35646	0.055285	0.042766	0.073021	0.056256
Meth__cg17841529__OSBPL8	0.066152	0.051997	0.069238	0.054559	0.053723	0.05344	0.048773	0.058635	0.035075	0.06442	0.049299	0.063091	0.06391	0.059428	0.04611	0.055575	0.049381	0.047524	0.10526	0.051185	0.057309	0.04477	0.070764	0.050946	0.064732	0.047105	0.18252	0.049563	0.094219	0.040719	0.049554	0.050755	0.046327	0.053336	0.089996	0.051282	0.5246	0.05131
