Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G2589__MAP1LC3A__MAP1LC3A	5.4336	7.1958	6.0458	0.63413	8.0698	1.1698	0.95044	5.8552	1.1291	0.5447	9.0622	2.5355	1.2561	0.14229	1.3253	2.4131	5.7958	3.7533	6.2558	0.28982	6.6626	2.6565	0.27231	1.1472	0.26588	2.9646	3.7384	7.5561	6.9562	0	6.105	5.1861	1.7702	2.0084	0.40504
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	7.078	4.9839	6.6086	2.0042	4.5416	3.1614	10.591	6.6121	8.0521	3.1614	5.7208	4.6667	4.6968	5.3382	6.9381	6.5567
RS_G170__PROM1__PROM1	6.3993	3.9981	0.79538	1.1372	0	0.49645	4.3908	0.20402	1.6844	0	1.9471	1.2635	0.70091	2.4703	5.2802	6.4962	1.5902	9.078	0	0	0.27198	7.017	0.46159	0.39789	0.31413	9.1413	4.5082	0	0.34762	0.15302	0.27662	0.66674	0.74765	3.6763	1.9301
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	3.9298	0.37376
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	0.93462	3.9073	3.1682	3.1583	0.39362	1.5436	4.3069	2.3864	0.83012	4.428	1.1176	0.17754	0	0	2.1558	0.96991	0.90457	2.6655	0	2.9342	1.3351
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.587	2.8368	6.2334	9.9177	2.4132	3.8373	5.0382	6.7193	6.0119	6.3541	7.4978	1.0676	4.4659	7.7589	3.6069	2.331	4.6968	5.3424	7.9558	1.0761	2.2186	3.1444	4.9445	2.392	1.7564	4.2999	6.3302	6.7753
RS_G2508__NTSR1__NTSR1	1.3246	5.0179	0.64197	1.934	0.12025	2.9231	0.62092	0.6549	0.13696	0.47215	0.11583	8.1986	1.0561	0	0	1.5179	0.82061	0.32384	2.1817	2.5628	0.13259	1.5976	0.99971	1.2335	0.22427	1.9421	0.88219	0.11781	3.3646	2.8194	0.28878	0.43836	0.075228	0.41548	0
RS_G9456__ESAM__ESAM	3.0999	7.3263	4.8154	1.7034	2.2405	2.6448	5.202	0.65953	1.5135	1.7182	2.2506	1.6495	4.313	3.497	0	3.9889	0.1375	5.2749	3.4482	1.8742	0.14219	4.5607	8.6426	5.3302	3.8334	1.5372	7.7329	1.8701	0.50499	0	3.5671	2.9747	4.9043	4.9846	3.9765
RS_G4418__TNNC1__TNNC1	7.2226	5.0273	0.68999	2.5897	1.6757	1.9519	1.5256	2.8095	2.0984	4.8172	2.9622	3.1841	6.4453	0	3.3824	7.7205	1.3897	3.3953	0.7113	2.1227	1.29	6.5433	2.2995	4.0797	3.6074	1.7452	3.716	3.0466	4.0773	0	3.363	3.2541	7.0446	1.5871	1.6021
RS_G16044__NXPH3__NXPH3	0.63973	1.6768	3.3225	4.9965	1.4449	1.8154	3.7241	2.1343	4.6757	4.5822	0.48173	0.35093	1.4048	1.158	2.7146	3.0732	2.7136	0.83939	3.4998	3.6032	7.6833	0.3628	2.3113	6.4008	3.532	2.5865	0	1.4849	1.5721	2.5857	2.0227	0.82821	1.8999	4.1853	1.3407
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	6.6008	5.9155	3.8127	5.874	4.967	4.503	5.1939	4.5255	4.0145	4.2857	5.8105	4.629	4.5804	5.8105	4.6899	5.1276
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	0	4.3288	4.8779	0.46004	0	0	0.476	0.27248	0	0.26614	0	0.56268	4.8187	2.0092	0.887	1.9107	4.6054	0	0	3.3152	0	0.88679	0	1.9153	1.3829	2.1176	2.0528	2.255
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	9.6008	7.9408	6.7415	0.4589	8.6745	4.204	5.4145	9.5072	1.276	2.3445	4.4718	5.1828	7.4045	10.2263	10.6767	6.5261
RS_G3953__GPRC5D__GPRC5D	2.6057	2.7512	2.6011	3.2717	0	2.0069	2.0219	4.3231	3.6325	3.1167	1.9299	4.4397	1.2847	1.6856	0	0	0	2.1575	3.41	2.534	3.6782	4.7138	2.7768	3.0597	3.4671	1.0356	2.661	0	0	2.8574	3.3235	3.671	0	0	0.34313
RS_G6622__BARX1__BARX1	0.22949	0	0	0.14871	0	0	0.23826	0	0.30134	0.36785	7.1091	3.5355	2.0759	0.38231	0.27778	1.3499	7.1959	0	0.31829	0.28343	0	0.33767	0	0	0	6.9059	0	5.4178	0	2.1329	4.5806	0.55638	0.58125	0	0
