Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__SLC19A2	7.8428	7.7834	6.555	8.6972	5.8688	8.05	5.9865	7.3949	6.009	8.1815	10.1415	8.0242	6.2908	7.3019	7.0936	7.6557	7.2335	6.9579	6.8503	6.6471	7.8194	8.4896	3.9396	7.9704	7.8213	8.2376	7.1089	7.2999	6.8343	7.3796	7.4287	7.1276	6.9377	7.6287	8.3672	8.0226	7.9977
EA_G__MCAM	5.2407	5.7795	5.3307	5.1883	5.6003	5.1722	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.1156	8.2544	7.2642	6.6063	6.1967	5.3892	5.3243	10.2004	7.8638	5.0728	5.3592	5.9372	5.5648	6.5817	8.8252	6.4371	6.1593	5.5898	5.4962	5.4539	5.5286	5.1903
EA_G__LRP1	7.3455	5.8054	6.5213	5.7512	7.2126	5.7528	6.4076	8.0052	8.9511	5.5205	5.6759	7.0528	6.8939	6.513	5.8578	5.5253	6.5772	8.0746	5.9964	8.4479	6.5123	6.3447	7.5366	5.8946	5.9961	6.6637	6.8374	5.9299	8.0212	7.0683	6.5519	5.9237	6.8541	6.1843	6.9752	6.0082	6.3535
EA_G__TFF1	11.84	6.7837	4.897	11.4404	5.4971	7.8702	4.3741	5.1241	5.0018	11.8255	12.4366	5.5277	5.3954	4.6693	5.167	8.9703	4.6936	4.9862	5.1043	4.7645	11.9278	12.3462	4.4746	5.7316	11.3324	5.6288	8.5496	6.452	5.3551	4.8953	4.847	5.5541	5.7562	7.7064	12.854	6.1027	12.0692
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	5.2856	9.8394	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	10.5858	9.7075	7.7263	6.2829	10.3923	9.6963
EA_G__EIF4E3	7.0364	5.4824	5.549	7.2474	4.5878	5.0746	5.3437	6.8688	5.5045	6.8369	7.0819	4.3997	5.1302	6.239	6.0991	6.1237	6.53	6.4791	4.8672	5.1393	7.2438	6.8172	5.9235	5.0888	6.9388	6.4891	8.7185	6.0213	5.1767	5.775	5.6633	7.2186	7.2701	7.191	8.1294	6.33	6.6383
EA_G__EPB41L4A	6.9861	4.8197	5.9817	7.0521	3.9585	5.7618	5.0865	4.4588	4.1933	8.3309	7.5778	3.9447	4.723	5.6705	6.4675	7.9628	5.5236	3.7847	6.6248	4.0786	4.8247	4.7297	3.733	5.7975	7.6741	9.1353	8.1433	5.9446	3.8929	8.5043	4.0766	8.061	7.4104	6.8676	6.1666	5.3605	5.4527
EA_G__ALDH4A1	6.6137	7.563	7.3057	9.6464	6.4231	8.4263	6.2446	7.1993	6.1997	8.3781	7.28	7.0017	6.8621	7.236	7.2316	8.1332	6.577	6.5174	8.276	6.5183	7.8706	7.9981	6.5559	6.44	8.6197	7.9773	10.1902	8.6634	6.6103	6.757	6.4059	6.8675	7.3929	8.1326	7.6348	9.4543	7.8978
EA_G__WNT5A	4.2203	5.7588	8.2415	4.3574	4.6156	3.8004	4.9342	4.0127	7.1312	3.588	3.8275	4.9674	4.6742	6.1426	5.2261	8.387	5.6833	8.2455	5.7529	9.2519	4.0882	4.4068	6.9374	5.785	4.2147	5.1055	4.6322	7.5613	6.4118	6.8442	7.2737	5.0865	4.6946	4.6565	3.9395	5.703	4.3353
EA_G__S100A4	7.436	7.1974	5.1217	5.0732	6.3472	7.2798	7.4983	6.2674	6.533	4.6036	4.3392	5.2873	5.2775	7.1519	4.9025	7.5715	6.4541	6.3144	6.0386	7.9102	5.121	5.1448	7.3002	5.6066	7.2439	7.4551	4.2037	9.3271	9.2706	6.0814	8.8714	5.8644	6.5472	6.6539	4.7041	4.8505	4.503
EA_G__DUSP4	9.9932	7.125	7.5013	9.0568	5.1766	4.955	5.4292	5.0907	6.0878	10.2274	5.8229	5.2952	6.8068	5.9002	7.3766	8.2583	6.3878	7.1002	5.4547	6.2007	6.8997	7.8034	5.814	7.5039	7.8407	7.3006	7.5279	6.9859	5.3203	6.7879	5.8581	7.6503	8.1669	6.9486	8.3026	7.7341	8.3719
EA_G__DLX3	5.9564	7.4632	6.5922	8.3925	5.6094	5.938	5.6328	5.5027	4.8388	7.9765	5.8754	6.3403	5.8666	5.3924	5.3154	6.1978	6.2199	5.0285	5.6926	4.7268	6.4653	7.0473	5.288	4.7899	7.0145	5.9772	6.8321	7.7375	5.3032	7.0645	5.2161	6.6169	6.2	7.7697	6.3741	5.8481	6.3974
EA_G__ZNF552	7.4897	6.2846	5.0135	6.6113	5.7557	7.2646	5.9294	6.3298	5.1079	7.3401	8.9754	5.1354	5.9876	6.8188	6.4273	6.7368	5.6621	6.2769	5.7796	5.5615	5.8853	5.7611	4.8218	5.4258	7.2799	7.4622	5.5762	6.7348	5.4915	6.2575	5.7401	6.6779	6.4069	7.702	7.8214	5.5955	6.8744
EA_G__CDH1	9.4474	3.8156	9.8271	10.2402	4.1816	8.2155	9.3623	7.7169	4.0645	9.8984	10.4438	8.4461	8.5324	9.4381	9.6232	4.383	8.3525	4.2405	9.6597	4.2637	9.9596	10.2763	4.0202	3.8114	11.1983	10.3286	7.0185	4.1026	4.9675	8.714	4.0229	10.3671	9.2285	9.8379	9.9968	10.6397	10.3255
EA_G__DCBLD1	8.0507	7.3596	8.504	6.569	6.654	6.1741	7.8853	7.573	8.619	7.2112	6.2603	8.716	7.3743	8.3283	9.1338	9.7068	8.8283	8.211	8.1033	9.1712	7.6008	7.0742	7.9422	9.4711	7.2718	7.6412	7.4242	6.6999	8.6572	10.4023	9.4362	7.1366	7.0277	6.9867	7.219	6.199	6.7029
EA_G__CDKN1A	7.6223	5.6813	6.1515	6.4516	5.5956	5.843	7.4914	7.5622	5.7902	6.163	6.0874	5.8016	7.2229	7.1044	6.6212	5.4977	7.7513	5.5767	6.2617	6.6892	7.3846	7.4505	6.1198	6.1107	7.3511	5.8232	6.166	5.8865	6.8653	5.5836	6.0481	7.0882	5.8646	6.8521	6.7727	7.4713	7.7466
EA_G__ACOT4	7.9904	7.5193	7.0833	8.1776	5.4917	7.1285	6.0694	5.512	4.9214	7.8169	7.2952	5.7055	6.1858	6.3676	5.3287	6.8359	5.1841	5.8504	6.5305	5.4131	6.8139	7.1462	6.7919	4.9953	6.0179	7.6577	7.627	7.675	5.6212	6.388	5.26	7.4645	6.8487	8.7934	8.7735	6.8973	6.3898
EA_G__RCAN1	8.3981	7.276	8.0798	5.9413	7.1087	6.4347	7.2862	6.3657	5.7634	6.2422	6.0939	8.7301	5.979	6.7756	7.0026	6.7504	6.2905	7.4835	8.3032	6.4474	6.406	5.9538	7.2709	6.5914	6.3447	7.4459	6.391	7.0801	7.2268	6.5082	7.1898	7.5662	6.6532	7.4684	6.9513	6.7413	6.1417
EA_G__7A5	10.3607	8.9896	8.1824	8.3314	3.2606	7.2942	7.6597	5.6095	3.7134	9.2592	6.5231	3.7622	8.2988	8.3687	9.8414	8.9054	8.2759	4.0236	9.6757	3.4441	6.8545	7.4974	3.1486	4.0122	7.6718	8.5499	7.1	8.7273	3.9994	6.9247	3.9668	9.2352	7.0569	8.1383	9.6843	7.3096	9.2036
EA_G__EFHD1	9.6927	10.4897	6.7838	10.8877	6.4363	11.3552	8.4531	10.9246	7.5588	10.9769	10.5969	8.0806	6.5687	7.1335	7.0749	10.7681	8.1233	6.512	6.812	6.1904	7.6784	9.8691	6.8011	7.1188	10.1568	10.3331	10.1827	10.9819	6.6063	7.3525	6.5382	10.3753	10.2061	10.8369	10.3846	11.0058	9.4912
EA_G__DNAJB4	5.6443	6.1035	6.4481	3.9001	7.9907	4.3378	5.2992	5.8049	7.7414	5.9526	5.3929	5.5614	6.4492	5.8692	5.7091	5.1111	6.1544	6.802	5.857	8.51	4.2631	4.0582	6.9904	7.3876	4.94	5.3639	3.9784	5.149	8.1583	6.4834	8.0232	6.7141	5.2226	5.0912	4.2958	4.3341	4.3752
EA_G__C1orf181	6.0922	6.8042	6.9163	6.2983	7.5148	6.2355	7.2417	6.3709	8.0289	6.8713	6.4078	7.3561	7.3965	8.3549	7.1615	6.9633	7.1618	9.3678	7.1704	8.0049	6.3537	5.9378	6.9216	9.0789	6.4776	7.2327	5.7429	7.3017	8.0185	7.5216	7.3962	7.1642	6.34	6.8331	6.3512	6.2779	6.1141
EA_G__PNPLA3	7.2811	5.5648	6.6519	4.9407	7.4872	5.7505	6.6264	7.5731	7.0269	4.619	8.8619	8.0043	6.6288	6.294	7.2937	6.9787	5.1807	7.2279	8.0173	6.3625	5.5723	5.0879	5.9585	4.9472	4.7538	7.3528	7.4951	5.7974	5.933	7.725	6.646	6.9222	8.0881	6.5966	5.8743	6.1496	6.9942
EA_G__MAPT	5.7018	5.1448	5.1469	6.9443	5.1979	8.0624	5.4416	6.2766	5.0627	4.9614	9.0827	5.6293	5.3387	5.1081	5.4602	5.7802	6.5011	5.2449	5.3896	5.4343	7.0464	7.1596	5.1361	5.4871	5.6839	6.2724	6.3443	5.4325	5.4093	5.6854	5.1477	6.9415	5.8018	5.8948	7.4277	7.6494	7.3209
EA_G__MAPK13	8.8569	5.7396	8.8783	8.9074	5.4127	8.4843	7.2281	6.6557	5.5989	8.9054	7.3132	5.6793	9.2513	7.9948	7.8879	7.9473	5.5743	5.7215	9.0168	5.3583	8.6374	7.9377	5.4413	8.6457	9.7135	9.2189	8.8961	6.4072	5.5621	8.1762	5.5973	8.9669	8.3048	8.7898	7.7641	8.6697	8.3449
SNP__NEUROD2	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
EA_G__CASKIN2	7.6011	7.3359	7.6148	7.5427	7.0714	7.8006	7.509	7.4029	7.4591	7.2616	8.3236	7.3482	7.4533	6.8615	7.0004	7.2135	7.2855	7.1834	7.3138	6.7536	8.5084	8.6303	7.2135	7.2308	8.7965	7.2082	8.7073	7.608	7.3409	7.3259	7.1055	7.711	7.4028	7.4153	7.9668	7.9551	7.8924
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
EA_G__MFGE8	7.6741	6.2973	7.9092	5.5622	7.8529	5.5358	8.7195	9.3836	9.1562	5.2872	6.4602	8.088	6.5464	6.5045	7.0548	5.6676	7.9345	7.665	8.5882	8.5229	6.1542	6.729	9.626	8.7395	6.6203	6.5256	6.2627	6.3128	7.3457	8.2244	8.164	6.711	7.0257	6.2964	8.3133	5.7129	6.0856
EA_G__ATP2C2	7.3612	7.1301	6.3762	8.2179	5.3497	7.7028	5.9351	5.1224	5.0997	8.4417	7.4719	5.2602	7.0346	7.169	5.8961	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	4.7757	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.3637	6.7796	7.0768	7.274	7.6677	6.6969
EA_G__TMPRSS3	9.8081	6.2517	4.6731	6.3099	4.3753	6.8658	4.1635	5.2231	4.4602	5.3789	6.8408	4.6199	4.668	6.3221	5.0635	6.0278	6.1435	4.2958	7.1903	3.9978	5.25	4.758	4.7685	4.1056	7.4917	9.4186	4.7655	5.2652	4.5343	9.1125	4.5138	7.5815	7.0602	5.4646	7.505	4.7394	4.7502
EA_G__ITGB4	9.418	7.3332	8.8243	7.8922	5.7337	7.0904	10.1247	6.484	5.9644	7.864	6.0882	5.9289	10.2166	9.0775	8.5747	7.4495	9.6808	6.7261	7.8758	5.8132	8.5065	8.6437	6.139	6.5248	8.9223	8.0396	7.9167	7.2476	5.8777	8.0557	6.1008	7.7881	8.5534	9.0083	7.3635	7.4592	8.1639
EA_G__RND1	7.3143	8.2366	5.1518	5.5848	5.2959	7.5678	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	4.321	5.229	6.9107	7.667	7.8736	8.9453	5.08	5.2271	5.1002	6.2849	5.9817	7.1618	8.9243	7.8627	6.9375
EA_G__RET	5.1584	5.1814	5.5357	8.6461	4.9343	6.3232	4.9258	5.2813	5.2108	8.4854	9.0567	5.1701	5.3684	5.0761	5.0234	5.0703	5.0608	5.1166	5.135	4.9039	7.3403	7.6896	5.6378	4.85	7.4975	7.579	6.8528	5.1818	5.2849	5.3792	5.1132	5.4329	6.6096	5.5486	8.0875	5.3716	5.2921
EA_G__LRIG1	9.1612	8.4644	7.5392	8.7042	7.0764	8.4047	7.6769	8.3325	7.3526	9.3453	9.2857	7.6133	6.3691	7.9605	7.5204	9.2238	7.7319	6.9662	7.6377	8.0083	7.897	7.9151	6.6753	7.0332	9.4991	6.4779	9.8144	7.5698	6.9521	7.7575	7.6009	8.9085	8.3308	9.4649	8.0402	8.882	9.1154
EA_G__GLIPR1	3.2087	3.7756	3.3277	3.4702	8.225	3.4968	6.1064	6.1439	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	5.3053	3.5767	6.5325	8.5465	4.8932	8.9965	3.6517	3.3135	7.2825	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	4.0555	3.3701	4.2331	3.4115	3.1647	3.5428
EA_G__ROR1	5.1251	5.3372	7.9662	5.2175	6.5973	5.439	7.28	10.4317	8.9012	4.743	5.6664	5.7236	6.7942	8.3774	7.9003	4.7319	7.7308	6.1285	7.9918	9.5253	5.5238	5.0728	7.725	9.3852	4.8051	6.7134	5.6738	5.391	5.9191	7.2763	8.7107	6.3405	6.0622	5.2006	5.3266	4.955	5.4154
EA_G__LIPH	8.4661	7.5135	7.6606	8.2321	3.6755	7.9496	6.4182	3.6525	4.0753	9.3901	7.1827	3.6134	6.0356	8.0156	8.1393	7.5421	6.9907	4.983	7.9823	3.51	5.738	6.1944	3.7329	6.2542	7.8334	9.0871	5.0663	7.6077	4.2029	4.7425	3.8212	9.8417	8.8942	8.1795	7.7175	7.6	5.5122
EA_G__ARRDC4	7.4046	6.8863	7.5975	8.4159	3.5491	5.5104	3.0726	3.1681	6.3627	7.2012	8.8288	6.7709	7.4121	6.26	3.0437	7.5604	8.7145	6.251	5.7705	6.0754	7.4979	8.2835	6.0863	6.4172	9.1734	8.6024	6.9325	6.7306	5.2931	7.6387	6.3655	8.0912	7.0782	6.2986	8.2375	7.3061	7.4518
EA_G__AKR1B1	4.6938	6.0548	11.1521	4.8622	8.2157	4.4619	4.565	6.3662	10.5992	4.6497	6.9879	7.0157	8.1308	9.1844	5.175	4.7671	8.4129	9.049	9.0045	9.0431	5.1215	5.0227	8.4728	8.1635	4.946	6.5897	5.4319	5.2901	8.4605	9.627	10.232	4.8857	5.1681	5.0863	4.8373	4.9029	5.9326
EA_G__CLDN3	8.0034	8.9717	6.0866	8.0567	5.2854	9.4834	7.6571	6.3263	4.6532	8.4969	8.109	5.5586	6.0856	7.1229	6.3996	5.3265	5.3363	5.0908	8.3048	4.9669	9.8602	9.8658	5.456	5.1811	9.0222	9.0383	8.3115	8.5947	5.1358	5.1889	5.4921	9.3196	7.4412	9.7707	9.9995	5.38	8.391
EA_G__SHOC2	8.4247	7.5361	7.0481	8.3611	8.0747	9.4246	8.3684	8.4544	7.8349	8.5793	9.6302	7.3436	8.4098	7.4352	7.9943	8.2786	7.8499	8.031	7.7147	7.5005	8.4802	8.306	8.5354	8.1462	9.1841	9.5098	9.3504	7.3695	8.7432	7.6348	8.4581	8.3973	7.9375	9.0894	9.1101	11.7756	10.8059
EA_G__TGFBR2	6.9434	7.122	8.3904	6.5636	7.6681	4.6862	8.3695	6.7089	8.3645	4.4748	5.3047	5.4067	7.9499	7.6715	8.5874	4.773	7.6865	7.6328	7.8443	8.9298	5.7233	6.4778	7.1766	8.7346	5.9185	7.2226	5.4298	6.893	8.0594	8.1697	9.4684	6.8625	5.8513	5.002	5.1139	4.6654	4.2384
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	6.3558	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	4.7053	5.652	5.7258	6.6445	4.8007	5.769
EA_G__ADAMTS2	6.1291	6.4219	6.3072	6.2602	7.6736	6.1679	6.1605	6.2747	7.8228	5.8276	6.0975	6.1593	6.3934	5.9939	6.1867	6.3238	6.2655	7.1276	6.3853	9.24	6.3816	6.4391	10.5608	6.1669	6.0913	5.8184	6.9592	6.5254	6.4858	6.4164	7.2845	6.3472	6.6946	6.26	6.1651	6.1176	6.2255
EA_G__TRIB2	6.3251	7.4633	7.6453	6.9795	7.0461	6.2604	8.149	7.1774	8.8205	6.4106	4.9665	8.0469	7.146	7.8377	7.5341	8.184	7.7129	8.4184	8.9656	8.5709	5.2595	6.1722	8.9665	8.0863	6.833	8.5039	7.8125	6.8634	7.1566	6.2633	6.061	7.083	6.4467	5.2126	6.9588	7.4249	7.903
EA_G__RNF152	7.4839	6.6624	3.2702	7.0206	2.8881	5.6834	4.6579	5.0095	4.0383	6.5905	5.7642	4.0942	4.144	3.8961	4.7975	6.3286	4.8239	3.7735	5.4662	5.6279	6.2533	6.3096	5.7009	4.3942	7.0318	7.0813	7.0719	6.9863	4.2134	3.9706	4.5148	7.6321	6.7821	6.4101	5.7235	7.0441	6.8405
EA_G__AMOT	7.4757	6.3747	6.7421	5.7743	6.6864	5.1458	7.2264	6.3119	6.6321	4.9711	6.104	6.3481	5.0213	5.5256	6.1404	7.617	6.0115	7.2629	7.7889	4.9164	5.2089	6.1396	6.908	4.8627	6.3627	6.935	5.8527	5.2869	5.6474	5.7734	4.8001	5.9797	7.0603	5.2387	6.6051	6.1945	6.9362
EA_G__ISOC1	7.1234	7.7312	7.7099	8.4881	7.1505	10.1811	6.8003	8.3692	6.4391	7.8247	9.2481	8.0613	7.4609	7.6971	7.3787	7.7585	7.7394	6.4754	6.4981	7.13	9.3042	9.2846	6.4466	8.0524	8.6912	8.875	8.4946	7.982	7.6054	7.2698	7.2342	7.5257	7.1917	8.0935	7.8404	9.2017	8.2137
EA_G__ALDH3B2	7.8751	9.1519	7.5805	11.3608	5.8866	9.7334	6.4255	8.223	6.1384	9.5823	7.6199	7.7955	6.3071	6.4469	7.0901	10.2674	6.2786	6.047	6.1466	5.7429	8.5602	9.6127	5.6515	5.9874	10.8628	9.2617	9.5867	8.9624	6.0873	8.4091	5.947	10.3339	9.1412	9.1133	9.2081	9.9559	8.9847
EA_G__SLC16A1	4.1518	4.5175	8.7535	4.621	8.3945	6.9479	8.2121	6.7131	8.0753	4.1803	6.0711	8.1756	8.6169	9.6833	7.5445	4.3803	8.5633	9.301	7.8102	8.2915	6.6982	6.3272	8.5674	4.2042	4.7554	9.2031	5.243	5.3943	8.0807	8.4519	8.8065	5.3618	6.7559	5.7245	3.8845	5.3972	7.3424
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	9.0295	7.7618	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	9.9529	8.058	8.253	8.0283	8.322	7.6632	9.634	9.1346	8.9559	7.528	8.7906	7.5289	7.9717	8.0361	7.5038
EA_G__CAV1	3.6635	4.5287	7.4287	3.8568	9.9104	3.712	9.7581	4.2532	9.9879	3.8194	5.4549	3.8847	9.7682	9.8034	7.7855	5.1202	8.3996	9.4259	7.3034	10.2473	5.8282	4.0921	9.7323	9.5902	3.6008	4.9392	4.3121	6.5569	9.6999	9.2782	9.5947	4.5306	4.1113	3.97	4.1412	3.5529	3.9582
EA_G__ORMDL3	8.742	9.4661	7.4855	11.4831	7.3014	8.1979	6.6416	7.9055	7.2593	8.4602	8.1771	7.8021	7.2506	8.1827	12.4038	8.7695	8.0969	8.429	7.8199	7.3423	7.8046	7.8203	7.7325	7.4686	7.6291	8.4639	8.7947	9.477	6.7234	6.7856	7.2867	7.7687	8.0333	8.8896	10.8822	9.0178	8.2547
EA_G__PLAC2	7.092	6.5212	6.272	6.2707	4.6991	6.5129	6.0206	4.7126	4.7023	7.6164	7.0925	4.4729	4.9591	5.5125	5.7204	6.3614	5.0401	4.0759	5.545	4.6795	6.094	5.7331	5.7395	4.412	7.2278	5.4979	5.6125	7.2238	5.2128	5.3025	5.0216	5.7468	6.1706	5.5055	7.3122	5.5028	5.7836
SNP__ZPBP2	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	-0.144	0.294	2.132	-0.034	0.021
EA_G__ETS1	3.8667	4.805	5.9815	3.8221	9.1987	3.7611	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.2609	8.9186	6.6496	6.1098	7.8626	4.2242	4.1251	8.5584	8.8462	3.44	3.778	4.6855	4.7509	7.741	7.9709	8.314	5.9158	4.288	4.0329	3.9583	4.1234	3.7159
SNP__GSDML	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	-0.144	0.294	2.132	-0.034	0.021
EA_G__STAC	4.6901	5.967	6.944	4.4744	8.7517	4.4143	8.7019	5.2245	6.8093	4.2275	4.1802	4.3895	5.9041	6.5323	7.7776	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	6.7276	7.5021	4.3421	4.3729	4.7293	6.4295	4.531	5.9112	7.5436	4.8691	4.9889	4.5177	4.371	4.5517	4.6534
EA_G__TJP3	9.3077	8.0518	7.766	8.3849	5.9377	7.9192	6.4262	6.6429	5.9521	9.8328	7.6407	6.3501	6.2599	7.1653	7.5222	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	5.7056	6.1169	8.5057	8.1059	8.1475	7.9939	6.014	7.1509	6.1539	7.4672	7.8886	8.6752	8.1957	8.4645	8.0411
EA_G__FSCN1	6.8308	6.9952	7.5474	7.1701	8.8985	6.7299	9.8533	9.8245	9.7445	6.454	7.0825	8.4576	11.4143	9.3293	9.3009	7.0833	8.7193	9.1685	9.4212	9.8571	7.5215	7.7422	9.6478	8.4388	6.817	7.4765	7.24	7.0958	7.3337	9.286	10.5846	7.894	7.1431	7.0679	6.8991	6.8126	8.0465
EA_G__SRD5A1	8.0855	7.7981	8.399	7.6275	7.4336	7.1454	8.3436	7.7263	8.1358	7.0578	6.9902	7.0641	7.5414	9.0122	7.6676	7.9855	7.9288	7.2715	10.5835	7.8071	7.3295	7.2067	8.68	7.457	8.0689	7.8639	6.0999	7.4931	7.124	5.9887	7.6524	7.4128	7.5333	6.3411	6.8793	6.9635	6.1703
EA_G__KIAA1754	5.6979	6.2297	6.5357	5.8518	6.9463	5.4686	6.2887	5.9089	7.0913	6.134	4.8143	5.9613	7.0933	6.3267	6.952	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	6.2668	7.5315	5.084	5.6017	5.8272	6.0504	8.4361	6.3043	7.7256	6.5976	5.8607	5.6484	5.4141	5.5	5.3359
EA_G__GPX3	7.5789	7.674	4.7153	4.74	4.6798	4.8372	4.8467	5.0002	4.8887	7.2128	5.9978	5.1039	8.1789	7.909	5.1258	5.1499	4.6263	6.2864	5.1306	4.8137	6.7304	7.1046	5.8952	6.3043	6.8691	6.8519	5.3461	6.5249	4.8553	5.1436	5.1288	7.0019	5.1866	7.0751	6.6847	4.8937	4.8702
EA_G__ZNF652	7.5137	6.6796	7.1304	9.1134	5.4265	8.0263	7.5657	6.1455	6.1679	10.4217	8.3293	6.9403	6.4695	6.4805	6.6269	7.371	6.6141	7.0294	6.8064	6.2259	7.3028	7.8102	6.7251	6.172	9.0124	7.6468	7.4323	6.5588	6.6853	6.6539	6.3657	8.4527	7.8613	7.2296	8.3435	8.7495	7.6069
EA_G__CACNA1H	6.0676	6.82	6.0921	7.2696	6.1214	6.1458	5.7582	6.1617	6.0673	6.1627	6.4997	7.3923	6.3318	5.8868	5.9737	6.1446	6.0735	5.927	6.2132	5.9137	8.2955	7.6072	7.4458	6.0461	7.8382	5.8969	6.8471	6.4679	6.0852	6.2573	6.1246	6.8889	6.8091	7.2879	8.0756	6.2936	7.955
EA_G__GPD1L	7.1581	8.4613	5.3985	8.9161	6.4188	7.7827	6.2488	5.9624	6.2165	8.38	7.4073	6.0314	6.2961	6.7928	7.0246	9.6036	7.1174	6.939	6.6889	6.1596	8.6801	8.5606	6.3214	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	7.3485	8.142	7.77	7.872	8.385	7.5835
EA_G__ARHGDIB	9.3221	7.326	5.6106	8.6407	3.5834	3.8462	6.8161	7.5929	4.7367	9.4766	6.9428	5.5031	9.3852	8.6345	8.5931	9.704	8.3655	3.2272	9.1806	5.202	3.6609	3.8323	5.2038	9.3124	8.8321	9.4396	6.8991	8.0265	3.7228	8.1047	5.9032	8.5306	8.6354	8.1153	7.3862	9.6877	7.2359
EA_G__XBP1	11.283	10.9214	8.6686	11.4285	8.6723	11.3432	8.5408	9.0517	9.4895	11.6752	10.8517	8.688	9.1233	8.734	9.1933	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	8.4505	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.1889	11.1636	10.9799	11.4501	11.6409	11.6006
EA_G__IFITM3	8.0008	8.4676	8.7968	6.6997	10.1761	5.4392	10.0522	9.5921	9.2931	7.5379	5.3662	9.9815	8.3001	8.9395	10.0223	8.1386	9.0546	8.0493	10.3647	10.1724	8.0075	8.4578	9.9472	8.788	7.3043	6.7504	5.8982	8.2512	6.167	9.3358	9.857	9.21	5.4554	6.7052	8.6924	5.6085	5.6528
SNP__C17orf37	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	-0.144	0.294	2.132	-0.034	0.021
