Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg02953306__CHRNA2	0.24721	0.051304	0.64863	0.33003	0.10299	0.6062	0.77982	0.5691	0.66408	0.72615	0.53678	0.11582	0.63711	0.31389	0.25777	0.034456	0.1395	0.1513	0.22275	0.1121	0.43819	0.35836	0.13932	0.045877	0.55479	0.49475	0.14808	0.75151	0.074565	0.18092	0.11222
Meth__cg14580567__HHIP	0.096272	0.066859	0.12158	0.044508	0.14202	0.86553	0.08369	0.062727	0.56452	0.053475	0.75277	0.048913	0.069216	0.059609	0.10254	0.044939	0.62919	0.52019	0.25405	0.31396	0.74115	0.84809	0.090094	0.055291	0.072687	0.62572	0.097641	0.23866	0.1001	0.10554	0.087369
Meth__cg25059792__EIF3S4	0.043772	0.050404	0.052069	0.042599	0.04774	0.049162	0.034025	0.058846	0.046674	0.041811	0.095153	0.037675	0.049517	0.041082	0.1381	0.085909	0.070405	0.10783	0.060858	0.28041	0.05936	0.13812	0.24721	0.039931	0.042792	0.040671	0.14755	0.054682	0.058491	0.14853	0.046829
Meth__cg13613532__MGC33948	0.06776	0.040194	0.076229	0.043335	0.055901	0.076623	0.05885	0.038203	0.045081	0.019873	0.19235	0.038265	0.041645	0.045364	0.096731	0.042331	0.054503	0.077496	0.06943	0.078737	0.063913	0.21448	0.071337	0.047061	0.048676	0.067656	0.09884	0.061718	0.11713	0.20214	0.071358
Meth__cg13346411__CCKBR	0.066818	0.14756	0.15095	0.057127	0.73007	0.9136	0.62445	0.078036	0.68153	0.17572	0.93559	0.090783	0.17702	0.10921	0.21587	0.56685	0.93747	0.62304	0.062098	0.92842	0.1005	0.93111	0.12328	0.083161	0.12615	0.61887	0.10122	0.095787	0.080483	0.67895	0.089535
Meth__cg11221265__SDHC	0.026522	0.020402	0.032742	0.022857	0.024752	0.034476	0.023156	0.036087	0.032121	0.02016	0.04643	0.018852	0.027934	0.026692	0.064613	0.028136	0.02864	0.047406	0.023267	0.26647	0.051612	0.039031	0.068996	0.023546	0.035436	0.028829	0.026788	0.035793	0.02559	0.041035	0.030988
Meth__cg00689340__RTKN	0.038929	0.02676	0.87497	0.034033	0.96472	0.049455	0.025938	0.041465	0.028578	0.029912	0.31671	0.026499	0.024874	0.040381	0.15025	0.92374	0.50346	0.41145	0.069199	0.90475	0.053077	0.081673	0.045367	0.060679	0.023721	0.022775	0.074508	0.040393	0.045558	0.064863	0.043098
Meth__cg03072378__DLX4	0.033566	0.021732	0.43746	0.032492	0.53204	0.16315	0.025965	0.023515	0.090525	0.10392	0.065397	0.0182	0.050918	0.026869	0.057983	0.022171	0.027632	0.076675	0.042898	0.17919	0.29263	0.44433	0.066465	0.026927	0.039264	0.16914	0.034639	0.038081	0.053852	0.052725	0.13477
Meth__cg26898336__TEKT3	0.95308	0.029224	0.98266	0.063814	0.80519	0.70378	0.93645	0.032748	0.036919	0.050669	0.97683	0.07038	0.98284	0.046784	0.026234	0.61164	0.94231	0.6148	0.041113	0.76068	0.97951	0.43679	0.041603	0.038823	0.46811	0.49031	0.040784	0.02952	0.9792	0.07093	0.976
Meth__cg06690548__SLC7A11	0.88412	0.063771	0.46673	0.7583	0.050909	0.16513	0.068711	0.12478	0.22934	0.68912	0.10014	0.023278	0.11721	0.03876	0.067405	0.046588	0.080929	0.067968	0.77568	0.085106	0.10005	0.23146	0.11176	0.035643	0.4378	0.053379	0.17929	0.86589	0.59637	0.061295	0.47044
Meth__cg11102782__ISYNA1	0.077613	0.94505	0.77766	0.19497	0.93632	0.56089	0.29082	0.18029	0.056707	0.80484	0.60305	0.05958	0.64879	0.14985	0.11592	0.74689	0.69789	0.71534	0.29631	0.93861	0.61064	0.1642	0.75188	0.15398	0.29019	0.071235	0.076232	0.09195	0.07963	0.88316	0.080821
Meth__cg24265806__DRCTNNB1A	0.057324	0.0407	0.042254	0.043639	0.039936	0.04874	0.069776	0.049883	0.053521	0.082972	0.050546	0.038867	0.055265	0.040134	0.045008	0.031492	0.048448	0.044931	0.047085	0.077853	0.054309	0.72126	0.040679	0.0554	0.052068	0.037858	0.068396	0.043446	0.044174	0.098081	0.041065
Meth__cg25028542__ANLN	0.051721	0.08799	0.29911	0.42848	0.10015	0.084771	0.028467	0.27231	0.036015	0.094752	0.089467	0.46978	0.041462	0.071209	0.24968	0.26446	0.18233	0.19365	0.089783	0.08837	0.17828	0.25517	0.15498	0.032963	0.16747	0.067245	0.059465	0.035635	0.34434	0.15808	0.41291
Meth__cg17124509__C17orf57	0.093344	0.25737	0.75056	0.11161	0.52074	0.16181	0.075895	0.097097	0.15793	0.1594	0.18327	0.12148	0.89554	0.068138	0.16678	0.1128	0.095174	0.098648	0.076563	0.29822	0.12438	0.25935	0.2171	0.13739	0.075809	0.13908	0.11144	0.15633	0.16555	0.35233	0.13809
Meth__cg11781389__LOC89944	0.21959	0.099528	0.38558	0.10339	0.95068	0.13398	0.21277	0.087184	0.1375	0.11131	0.86152	0.086186	0.12086	0.39887	0.35821	0.18693	0.14886	0.37012	0.075798	0.74409	0.28423	0.89972	0.1289	0.14035	0.082713	0.35859	0.31205	0.056351	0.22153	0.27942	0.65338
Meth__cg15553522__HSPA5BP1	0.063099	0.052509	0.045654	0.035478	0.069788	0.082858	0.024424	0.048164	0.053427	0.057639	0.099714	0.027673	0.052287	0.064135	0.10843	0.088017	0.052486	0.078019	0.049803	0.24168	0.058929	0.12441	0.089976	0.039906	0.03629	0.050897	0.10546	0.047308	0.050256	0.077438	0.072134
Meth__cg02420102__MGC33948	0.082726	0.042528	0.055973	0.055639	0.04901	0.081363	0.046265	0.060144	0.046593	0.047309	0.06407	0.044001	0.050068	0.062323	0.10846	0.044885	0.0665	0.085992	0.055904	0.088756	0.058132	0.10211	0.080685	0.042467	0.057438	0.070688	0.065749	0.056289	0.07585	0.15786	0.073504
Meth__cg03752885__DAPK3	0.31684	0.18018	0.1828	0.23016	0.092403	0.15304	0.12903	0.5557	0.43812	0.76245	0.30489	0.88106	0.20223	0.07884	0.13225	0.08197	0.35891	0.1451	0.53009	0.12034	0.30614	0.40683	0.14466	0.13532	0.15381	0.1874	0.31985	0.78868	0.16899	0.25336	0.21651
RS_G3659__HSD17B1__HSD17B1	5.8365	2.4827	4.4911	5.7119	4.0726	5.4731	3.7446	7.5683	4.2638	4.3834	3.8508	4.5426	4.2272	3.9286	3.54	4.533	5.73	4.4391	6.3999	4.764	4.834	4.7038	5.4724	6.7728	4.8417	4.1527	9.086	10.6507	5.8783	3.3506	4.547
Meth__cg01048931__ECOP	0.055339	0.050474	0.045858	0.052368	0.05	0.045899	0.072205	0.056208	0.058764	0.059137	0.14573	0.03128	0.050559	0.055357	0.080311	0.037444	0.054577	0.050224	0.031944	0.083465	0.046891	0.14795	0.051327	0.049781	0.031618	0.057617	0.086929	0.067578	0.049545	0.11506	0.044416
Meth__cg15271616__RUSC2	0.13098	0.49391	0.9521	0.29554	0.04772	0.72587	0.024892	0.087952	0.064239	0.17224	0.91622	0.97798	0.054902	0.063948	0.075962	0.041457	0.94693	0.91038	0.53619	0.067387	0.96119	0.9484	0.10792	0.054537	0.065008	0.25968	0.14849	0.67134	0.60355	0.93404	0.94667
Meth__cg13958614__FOXD1	0.19846	0.085385	0.09293	0.044101	0.052312	0.88175	0.14169	0.062029	0.068294	0.032711	0.086414	0.89939	0.086733	0.088682	0.16677	0.045584	0.47162	0.5081	0.59489	0.86824	0.086926	0.48553	0.12866	0.052463	0.046171	0.89858	0.5279	0.052637	0.058232	0.86205	0.061593
Meth__cg00128197__HADH2	0.49726	0.031298	0.033802	0.1722	0.036976	0.056692	0.059358	0.16276	0.044086	0.35085	0.30385	0.27068	0.031378	0.04334	0.24749	0.044675	0.029154	0.044457	0.40737	0.14037	0.038727	0.54257	0.19952	0.49615	0.033476	0.048549	0.073171	0.39988	0.26957	0.52233	0.039501
Meth__cg25912611__STK6	0.092496	0.048683	0.10033	0.26573	0.15684	0.79946	0.28236	0.3499	0.096405	0.38866	0.142	0.71766	0.15422	0.1028	0.16417	0.12542	0.071248	0.091432	0.096201	0.19509	0.28286	0.10009	0.079354	0.37039	0.063735	0.20694	0.12297	0.79417	0.094997	0.26453	0.058698
Meth__cg12391048__PRSS27	0.063758	0.060614	0.76358	0.27053	0.94683	0.49564	0.048251	0.19267	0.37107	0.078608	0.18226	0.73737	0.60333	0.88467	0.056981	0.95591	0.33725	0.58087	0.15431	0.93919	0.74681	0.80948	0.076096	0.41385	0.035576	0.059247	0.10236	0.04798	0.073585	0.13392	0.34728
Meth__cg11868900__EFCAB1	0.023309	0.027058	0.8824	0.46945	0.62427	0.9398	0.84832	0.22063	0.12091	0.24213	0.8845	0.076268	0.62378	0.18394	0.10111	0.22193	0.74977	0.83838	0.040455	0.90155	0.29433	0.77424	0.057656	0.040622	0.63276	0.36729	0.13717	0.024188	0.29751	0.3077	0.71562
Meth__cg25459323__SEPT3	0.02634	0.19304	0.19381	0.18771	0.14904	0.49818	0.068841	0.049872	0.039305	0.25566	0.33035	0.076515	0.099424	0.02308	0.043421	0.4998	0.22027	0.50742	0.56031	0.39835	0.3018	0.11581	0.05059	0.024766	0.47171	0.83091	0.53206	0.046016	0.16716	0.17073	0.24773
Meth__cg06319579__C17orf44	0.024016	0.090203	0.10698	0.058369	0.56739	0.073005	0.027274	0.043353	0.02307	0.057344	0.14755	0.11285	0.38068	0.026392	0.037586	0.032857	0.13858	0.055229	0.046158	0.31952	0.048204	0.046168	0.052841	0.046064	0.021128	0.041005	0.057175	0.046017	0.024555	0.072656	0.050881
Meth__cg00616129__STYK1	0.051211	0.044281	0.092377	0.044256	0.69054	0.077649	0.057729	0.064352	0.056382	0.052474	0.24573	0.029199	0.059216	0.094055	0.1153	0.28818	0.059272	0.064288	0.048423	0.20678	0.068774	0.31169	0.087672	0.042336	0.04816	0.084263	0.25701	0.055201	0.043259	0.12804	0.057516
Meth__cg04740359__NTF3	0.67843	0.38991	0.8808	0.76061	0.11359	0.61325	0.82815	0.12563	0.82837	0.88698	0.19111	0.046012	0.47189	0.36413	0.068614	0.034691	0.5113	0.55215	0.7022	0.18697	0.75567	0.1662	0.076645	0.34877	0.059185	0.27146	0.12815	0.2039	0.19684	0.14318	0.31254
Meth__cg07876586__PGRMC1	0.63535	0.034891	0.044841	0.23675	0.036419	0.04172	0.36015	0.6851	0.053259	0.023437	0.071414	0.039622	0.31687	0.6523	0.1287	0.038342	0.040102	0.042748	0.62632	0.069308	0.049312	0.52694	0.10979	0.6525	0.037663	0.44815	0.14286	0.70684	0.26423	0.58875	0.052589
Meth__cg25971347__FOXF1	0.67833	0.037432	0.7081	0.096829	0.96781	0.95307	0.036278	0.058082	0.054009	0.82019	0.77189	0.71525	0.075092	0.054463	0.06487	0.43271	0.97284	0.96086	0.91418	0.81899	0.92015	0.94408	0.062371	0.026631	0.029412	0.96403	0.8623	0.67481	0.40537	0.90016	0.3157
Meth__cg02973971__CXorf40B	0.43685	0.072903	0.061071	0.37253	0.050088	0.067518	0.68137	0.052708	0.06435	0.070705	0.10465	0.030929	0.31958	0.47369	0.10174	0.056022	0.043507	0.061503	0.38321	0.13709	0.05355	0.27019	0.099562	0.41854	0.04401	0.20927	0.15735	0.48312	0.32424	0.47868	0.060829
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	1.9051	9.5237	7.5667	3.3088	4.516	9.905	3.9209	4.1936	5.3523	3.0265	1.7987	2.6639	6.2951	1.4724	0	0	3.5915	10.3044	0	3.2789	2.4651	3.6558	0	0.78332
Meth__cg02440177__ZNF702	0.025566	0.027422	0.36053	0.024436	0.96091	0.034633	0.78677	0.035311	0.030193	0.064182	0.29848	0.017238	0.026461	0.37272	0.12008	0.33147	0.97392	0.53451	0.035711	0.93128	0.03106	0.95454	0.072712	0.039962	0.4511	0.0195	0.061703	0.028449	0.55042	0.11154	0.6685
Meth__cg01663469__C3orf15	0.17147	0.37193	0.89335	0.3437	0.81154	0.65834	0.85348	0.072535	0.64598	0.32268	0.82874	0.89595	0.88171	0.085992	0.52278	0.035151	0.097897	0.055134	0.43735	0.33405	0.85272	0.87464	0.22308	0.045952	0.045977	0.76815	0.073084	0.050009	0.8341	0.74383	0.84165
Meth__cg15364303__ROR1	0.08158	0.12653	0.36153	0.17383	0.10384	0.13587	0.078295	0.086126	0.069134	0.080279	0.31891	0.14466	0.090748	0.19744	0.096266	0.041889	0.083797	0.098747	0.20153	0.10972	0.063328	0.065983	0.13484	0.044444	0.80695	0.12043	0.11217	0.13114	0.18224	0.15544	0.093733
RS_G11297__AC017048.6__AC017048.6	2.5528	0	0.793	5.4763	0	4.546	2.2023	4.018	5.1196	0.6038	2.0777	0	0	0	1.8202	5.6593	4.7482	2.4931	1.293	7.776	3.7739	0	2.5884	5.7413	1.2249	4.8248	2.2602	4.0825	1.9459	0.82578	3.7537
Meth__cg18644543__HMHA1	0.039363	0.29096	0.16589	0.028711	0.92001	0.073734	0.082018	0.051529	0.051523	0.26737	0.4757	0.052454	0.90524	0.055734	0.050353	0.032903	0.91589	0.90362	0.039274	0.060338	0.068311	0.34415	0.087646	0.12564	0.15813	0.79568	0.058307	0.050158	0.042628	0.28692	0.037687
Meth__cg10530733__GPR173	0.37395	0.016204	0.37138	0.1511	0.061402	0.07803	0.073673	0.28679	0.44534	0.72474	0.17302	0.022888	0.22199	0.031623	0.03888	0.023633	0.12636	0.13418	0.7125	0.26934	0.17103	0.16755	0.055244	0.037207	0.018375	0.21285	0.041553	0.19587	0.030858	0.13603	0.030772
Meth__cg12315311__UNQ3033	0.30843	0.057364	0.25577	0.34328	0.17965	0.10387	0.096205	0.34729	0.29326	0.33085	0.073971	0.030781	0.13988	0.066726	0.095517	0.058333	0.39869	0.4246	0.53968	0.099672	0.091027	0.31528	0.12292	0.074312	0.050023	0.098762	0.2141	0.78133	0.088015	0.22365	0.33322
Meth__cg22284975__C7orf11	0.10886	0.13189	0.24543	0.14797	0.052907	0.43054	0.082591	0.08435	0.07701	0.042958	0.51493	0.31083	0.11364	0.055527	0.10126	0.058477	0.25675	0.19567	0.14313	0.69391	0.26733	0.62751	0.18829	0.065607	0.06079	0.47676	0.096369	0.47936	0.079652	0.57328	0.11172
Meth__cg09558502__OVGP1	0.2228	0.042807	0.35461	0.21353	0.076273	0.090016	0.52289	0.23822	0.10206	0.59322	0.22141	0.079143	0.10342	0.45608	0.077071	0.040114	0.14967	0.16152	0.62103	0.068871	0.15721	0.11159	0.08	0.069243	0.061096	0.43979	0.20798	0.14247	0.11449	0.1785	0.10048
Meth__cg27472295__TPBG	0.052107	0.050723	0.051335	0.051191	0.042135	0.081078	0.061172	0.076371	0.64742	0.068305	0.072947	0.028864	0.046323	0.051219	0.077779	0.043664	0.033694	0.050294	0.03414	0.11209	0.0385	0.11713	0.11433	0.057	0.056891	0.038626	0.17533	0.052389	0.03642	0.10307	0.040369
Meth__cg17671157__KCNK10	0.74727	0.01865	0.094947	0.030684	0.26661	0.45063	0.037772	0.0284	0.078859	0.17278	0.26089	0.46464	0.044997	0.029177	0.083798	0.05407	0.3019	0.67489	0.95107	0.57781	0.089179	0.73726	0.017785	0.022746	0.10578	0.48873	0.054487	0.050437	0.32074	0.67744	0.45821
RS_G6301__FOXJ1__FOXJ1	5.6708	0	0.21212	6.7649	0	0.10313	2.4244	1.2778	0	2.5285	0.56227	6.0037	7.7747	0.57963	0.091768	0.58323	0.65879	0.19747	4.5026	0	2.319	0.34123	0	1.0616	0	0.85241	5.7763	0.51842	6.4918	0.3283	5.4408
Meth__cg19410841__NKAP	0.46515	0.044852	0.054322	0.31844	0.04348	0.064924	0.34964	0.047334	0.053301	0.12015	0.079932	0.045393	0.27866	0.48458	0.11704	0.039815	0.043149	0.042003	0.46254	0.078546	0.061918	0.3929	0.081878	0.50533	0.046241	0.17151	0.15562	0.54824	0.39378	0.51666	0.049674
RS_G2581__WFDC2__WFDC2	5.881	0.54379	1.0823	3.5558	0	1.0374	7.1896	2.3983	10.9307	7.8153	0	0	0.61203	2.5221	10.1559	1.2948	6.1824	5.317	5.3322	1.7721	5.5543	1.9279	2.6788	1.7574	13.4728	0.64571	0.90703	4.815	7.0559	0.3768	1.9893
Meth__cg15840658__APBA1	0.074204	0.080116	0.057326	0.048096	0.60417	0.081125	0.093471	0.041468	0.044829	0.038062	0.11331	0.031751	0.046519	0.077648	0.074681	0.031839	0.037431	0.059179	0.043651	0.44059	0.066217	0.11808	0.1106	0.037689	0.12387	0.093522	0.064953	0.042235	0.04335	0.094875	0.05322
Meth__cg20485165__WFDC12	0.60352	0.02287	0.6111	0.44386	0.37527	0.105	0.94379	0.26209	0.30425	0.96059	0.79015	0.045389	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.87012	0.13672	0.14014	0.21203	0.040174	0.89291	0.44841	0.10655	0.045424	0.3905	0.22681	0.08654	0.22674
Meth__cg19427610__WIF1	0.42098	0.042019	0.49931	0.04754	0.93744	0.73269	0.39167	0.046224	0.64442	0.33511	0.76213	0.035453	0.95207	0.061769	0.095274	0.21467	0.58467	0.6568	0.12035	0.95829	0.33212	0.94201	0.10636	0.042244	0.51929	0.96181	0.34743	0.044572	0.5056	0.19366	0.56446
Meth__cg11326613__MGC31967	0.13431	0.16038	0.5388	0.2089	0.34237	0.11566	0.086861	0.099306	0.093489	0.15306	0.37025	0.074904	0.17422	0.18899	0.14415	0.10316	0.17761	0.14915	0.075543	0.77073	0.18182	0.13903	0.19241	0.080059	0.1202	0.12851	0.14237	0.10264	0.17114	0.20233	0.11525
Meth__cg24330042__GSTT1	0.037218	0.95827	0.029857	0.039205	0.022439	0.027888	0.96983	0.46694	0.39405	0.40323	0.26953	0.57037	0.029182	0.026275	0.56388	0.033413	0.028198	0.038691	0.037306	0.39598	0.025612	0.040762	0.1265	0.55394	0.029622	0.58437	0.28505	0.035035	0.017696	0.52174	0.031233
Meth__cg03853987__CHST10	0.097867	0.3835	0.19364	0.085206	0.088215	0.47994	0.069777	0.11241	0.12007	0.3089	0.52221	0.17737	0.082591	0.086417	0.21482	0.11118	0.097763	0.095915	0.21117	0.35382	0.17611	0.87024	0.13355	0.085144	0.086732	0.93939	0.22949	0.11347	0.15056	0.43055	0.13262
Meth__cg15604467__POU4F1	0.78584	0.048593	0.94927	0.89938	0.035643	0.95129	0.032875	0.056491	0.054447	0.024373	0.71962	0.87486	0.037323	0.053197	0.56988	0.063737	0.9615	0.95183	0.93508	0.89775	0.9208	0.90067	0.48903	0.040116	0.058519	0.90875	0.83994	0.92259	0.8356	0.90517	0.91006
Meth__cg02961200__DKFZp451M2119	0.032722	0.044799	0.2383	0.53361	0.11341	0.055275	0.033488	0.052724	0.044098	0.044088	0.37539	0.055445	0.033624	0.04872	0.11683	0.034583	0.39136	0.6062	0.080078	0.052003	0.16645	0.062366	0.096394	0.034812	0.0619	0.029799	0.17387	0.048578	0.33208	0.81185	0.36981
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	8.7856	8.1977	6.2577	5.6096	7.1473	5.7509	6.7727	5.928	3.3836	5.4681	6.386	6.6273	5.9329	7.033	5.945	6.155	2.8408	4.7669	7.8875	7.9949	6.493	9.2453	7.1473	8.7531
Meth__cg17644867__FOS	0.015389	0.071616	0.037426	0.027165	0.024728	0.067252	0.014074	0.019582	0.020779	0.027494	0.041774	0.019317	0.020363	0.012504	0.029831	0.021925	0.027999	0.018296	0.022094	0.051603	0.023834	0.072997	0.022672	0.020083	0.016038	0.015553	0.050692	0.0141	0.098335	0.07218	0.39144
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	4.6246	9.3298	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	0.44083	6.4009	0	0	0	0.88563	5.9345	0.59359	4.5095	0.20578	1.2093	2.4246	0.41488
Meth__cg04959788__PTCH2	0.042444	0.068602	0.54899	0.33578	0.92751	0.12292	0.1756	0.038348	0.48443	0.56798	0.90924	0.49105	0.88071	0.035067	0.053886	0.030871	0.88443	0.47983	0.1732	0.53891	0.25523	0.87366	0.058417	0.033209	0.13111	0.95284	0.094375	0.045804	0.24538	0.17629	0.82206
Meth__cg09306675__EYA2	0.90949	0.073008	0.3481	0.066997	0.71775	0.73174	0.53956	0.10154	0.090197	0.052058	0.21565	0.17816	0.34014	0.1896	0.13803	0.057715	0.90497	0.94582	0.71565	0.87472	0.068178	0.91869	0.08712	0.1122	0.16133	0.15213	0.088361	0.070535	0.49414	0.10651	0.18758
Meth__cg13325529__TMEM107	0.076742	0.42047	0.3633	0.072024	0.11309	0.091342	0.049394	0.32662	0.086824	0.092068	0.18074	0.065529	0.067955	0.057707	0.11625	0.047068	0.1112	0.15582	0.098501	0.1858	0.25999	0.45406	0.1418	0.053482	0.047343	0.30394	0.098318	0.099476	0.11082	0.20211	0.13745
Meth__cg20098887__RAB32	0.047053	0.036009	0.049393	0.047964	0.12618	0.068187	0.030681	0.053963	0.065091	0.040348	0.16177	0.037755	0.063343	0.03803	0.18564	0.48225	0.041954	0.056122	0.037527	0.10183	0.12463	0.59699	0.10451	0.034519	0.045659	0.04922	0.078421	0.046895	0.059258	0.083726	0.050608
Meth__cg00980978__WFDC2	0.088172	0.026231	0.55909	0.48795	0.83686	0.10991	0.038977	0.041508	0.036367	0.10943	0.91981	0.24266	0.91782	0.031863	0.045552	0.043786	0.42484	0.45859	0.10078	0.55269	0.10097	0.92674	0.039973	0.084982	0.022222	0.82824	0.054206	0.046058	0.04779	0.16509	0.54063
Meth__cg07191600__TRERF1	0.014164	0.013894	0.019883	0.017248	0.12214	0.018251	0.096777	0.015874	0.026885	0.011658	0.10168	0.025243	0.03228	0.022656	0.023284	0.027554	0.030162	0.023956	0.017762	0.041623	0.019646	0.036448	0.067917	0.018546	0.17648	0.016131	0.027742	0.022736	0.023539	0.026911	0.044985
Meth__cg05882522__EHD3	0.044777	0.052199	0.050309	0.039479	0.043897	0.050397	0.029213	0.042992	0.042242	0.076089	0.14728	0.044051	0.038286	0.044333	0.087678	0.040224	0.041039	0.047557	0.03661	0.62275	0.04693	0.11007	0.063491	0.043576	0.050294	0.059979	0.057177	0.042391	0.044985	0.14818	0.04886
Meth__cg05769161__B4GALNT3	0.084152	0.063291	0.086316	0.048758	0.94607	0.10674	0.38667	0.049691	0.071288	0.10787	0.13257	0.077471	0.051946	0.11121	0.11055	0.2229	0.088777	0.097242	0.068613	0.92315	0.061646	0.12965	0.094615	0.035299	0.0571	0.20694	0.057005	0.0855	0.069481	0.15385	0.21815
Meth__cg08056146__SOX7	0.89398	0.23643	0.65105	0.17343	0.89943	0.97038	0.083296	0.14337	0.62864	0.045337	0.93106	0.51354	0.56007	0.028877	0.092923	0.15546	0.97623	0.95465	0.96713	0.9327	0.91788	0.91658	0.1332	0.040554	0.027685	0.91664	0.86888	0.96465	0.90127	0.92215	0.95223
Meth__cg19439331__CXXC6	0.060526	0.044109	0.17056	0.038837	0.035538	0.060549	0.033045	0.052376	0.0463	0.029261	0.093309	0.0578	0.49513	0.034318	0.075938	0.029527	0.038891	0.047928	0.039464	0.7814	0.054497	0.22645	0.074185	0.0343	0.033641	0.21595	0.083065	0.041269	0.095941	0.069406	0.044586
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	3.4276	8.8942	8.2099	3.563	4.9196	4.938	10.6909	0.88895	13.8151	5.0202	3.678	5.5817	7.6313	5.1513	0.86484	2.4509	9.1319	9.7023	5.3568	5.7383	6.3313	5.3044	0	5.3749
Meth__cg21808053__DIRAS3	0.25428	0.028376	0.66978	0.15733	0.47488	0.15558	0.2733	0.3293	0.52381	0.36224	0.10959	0.21326	0.086288	0.68999	0.083697	0.042606	0.07919	0.16006	0.283	0.22977	0.10821	0.16906	0.054756	0.2821	0.25525	0.075532	0.10059	0.20857	0.077445	0.42074	0.061839
Meth__cg16847051__CALCOCO1	0.082651	0.083728	0.13481	0.15216	0.75993	0.30817	0.11648	0.32668	0.079456	0.1449	0.54118	0.06181	0.12033	0.10126	0.12472	0.4407	0.27869	0.14757	0.13095	0.32991	0.34717	0.18112	0.1718	0.059768	0.45184	0.35503	0.29647	0.077342	0.12592	0.14845	0.12123
Meth__cg13297865__ELOVL4	0.59645	0.029363	0.28758	0.02509	0.63476	0.68403	0.032604	0.021187	0.24412	0.091312	0.6325	0.03121	0.023648	0.032408	0.47151	0.021131	0.65944	0.49875	0.66542	0.95347	0.96565	0.94143	0.071198	0.019665	0.022951	0.032825	0.035149	0.023318	0.026539	0.72565	0.027604
Meth__cg10872212__KLHDC8B	0.052937	0.35565	0.9666	0.054085	0.07161	0.052395	0.051546	0.38073	0.040539	0.36394	0.46605	0.03561	0.1592	0.037316	0.076705	0.032984	0.85443	0.42076	0.049641	0.42667	0.61817	0.41011	0.3966	0.043269	0.1748	0.52489	0.054632	0.040216	0.045693	0.16072	0.055872
Meth__cg14520892__POLA	0.61299	0.20017	0.04567	0.43403	0.039164	0.060876	0.09978	0.6517	0.052943	0.76963	0.39867	0.25105	0.040861	0.081196	0.48999	0.49548	0.048336	0.065157	0.48743	0.29449	0.46358	0.38125	0.55582	0.59827	0.066901	0.016481	0.051443	0.45509	0.36996	0.59598	0.046401
RS_G9902__PLEKHG4B__PLEKHG4B	6.3025	1.1634	6.0986	2.2017	4.8105	1.1858	2.7352	0.79057	0.80203	3.1902	0.29089	2.4023	0.15565	6.0216	0.17461	2.09	1.2126	0.3254	2.5655	0.64973	0.83209	0.45843	2.5006	0.52445	0.43644	1.1431	7.1028	2.3368	0.7708	0.984	0.83625
Meth__cg18923230__RPL10	0.62399	0.023554	0.043631	0.4585	0.017375	0.031611	0.66507	0.64124	0.016674	0.014774	0.053254	0.021324	0.4007	0.47075	0.061184	0.03202	0.022993	0.022406	0.44733	0.046198	0.021166	0.21221	0.037277	0.52014	0.012045	0.12012	0.054411	0.63482	0.37616	0.62395	0.025374
Meth__cg05801573__SLITRK4	0.38878	0.048392	0.066849	0.25583	0.044247	0.060075	0.9147	0.41904	0.88456	0.85289	0.51438	0.51858	0.30925	0.3828	0.23393	0.078705	0.38061	0.46796	0.32886	0.86207	0.88896	0.21631	0.11823	0.4354	0.043055	0.9071	0.11619	0.48754	0.29216	0.47522	0.052595
Meth__cg09144786__WDR44	0.51967	0.02225	0.039478	0.030809	0.032003	0.038829	0.48705	0.084318	0.030546	0.046722	0.067029	0.036569	0.041792	0.20741	0.035555	0.034247	0.020313	0.034219	0.19471	0.048313	0.040349	0.059605	0.053143	0.36971	0.026088	0.11935	0.11221	0.12838	0.026035	0.47399	0.038709
Meth__cg15982419__RALBP1	0.44467	0.64928	0.47046	0.40804	0.55645	0.88673	0.53391	0.11134	0.20619	0.40334	0.90311	0.86828	0.067908	0.033909	0.067009	0.42059	0.23935	0.045581	0.11153	0.79283	0.49126	0.79932	0.25659	0.038107	0.037499	0.80557	0.0571	0.046709	0.93356	0.51083	0.95962
Meth__cg04481779__IL20RA	0.047772	0.59967	0.83159	0.045441	0.72447	0.30617	0.86055	0.044924	0.31768	0.20234	0.099597	0.14476	0.80557	0.58344	0.24047	0.8754	0.82208	0.60266	0.24568	0.8149	0.040514	0.34148	0.56377	0.38095	0.050281	0.6874	0.075503	0.10838	0.055176	0.28695	0.21684
