Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg24176563__EYA4	0.54329	0.05261	0.93914	0.56507	0.55589	0.90317	0.95479	0.04562	0.9548	0.055691	0.32932	0.46079	0.22987	0.11573	0.44633	0.11677	0.11541	0.90214	0.61711	0.48541	0.045827	0.61882	0.58573	0.24524	0.080306	0.95581	0.13066	0.059728	0.05876	0.56251	0.046048	0.52147	0.95914	0.92552	0.91407	0.10439	0.089605
Meth__cg21908259__FKBP11	0.056052	0.93424	0.97112	0.082507	0.97115	0.049553	0.98345	0.98306	0.6772	0.092084	0.062123	0.95497	0.97469	0.95902	0.048193	0.75609	0.043936	0.055737	0.064766	0.046264	0.97764	0.083364	0.95431	0.044301	0.080635	0.10646	0.50497	0.052578	0.058446	0.14368	0.98425	0.96863	0.69755	0.94251	0.78646	0.80961	0.97598
Meth__cg22374901__TESC	0.044337	0.038243	0.20756	0.40528	0.063486	0.88629	0.7302	0.038204	0.039568	0.91139	0.1896	0.69537	0.052804	0.059091	0.30593	0.1441	0.3871	0.10561	0.091574	0.43547	0.049762	0.11288	0.48576	0.07693	0.11239	0.8538	0.078453	0.0357	0.044207	0.036605	0.058642	0.089372	0.13799	0.068246	0.06202	0.048696	0.044533
Meth__cg02121427__LRRC15	0.17036	0.058151	0.54648	0.62453	0.072343	0.51388	0.66406	0.093584	0.23917	0.29768	0.72387	0.25263	0.074922	0.31442	0.65481	0.13715	0.040348	0.24688	0.50145	0.8732	0.67776	0.69201	0.24183	0.67445	0.068844	0.10749	0.064115	0.17112	0.068451	0.06156	0.3169	0.063455	0.13669	0.16599	0.53201	0.20882	0.16868
Meth__cg25438415__ZNF426	0.070015	0.090679	0.08714	0.075816	0.19702	0.53059	0.84598	0.040938	0.12223	0.047403	0.29237	0.42845	0.051325	0.30156	0.064637	0.086061	0.05507	0.57426	0.81733	0.082783	0.055819	0.062488	0.20527	0.091419	0.16167	0.17372	0.16938	0.046412	0.062479	0.067882	0.053887	0.068206	0.14518	0.18662	0.10851	0.07005	0.25475
Meth__cg18680834__ZNF536	0.10782	0.10304	0.696	0.7974	0.067696	0.25166	0.42894	0.042033	0.063217	0.12259	0.32469	0.092779	0.048415	0.085848	0.16835	0.065373	0.052953	0.43089	0.32644	0.1383	0.16823	0.25713	0.18838	0.10484	0.10896	0.22837	0.082445	0.050429	0.052874	0.087908	0.060699	0.041556	0.1595	0.24203	0.83542	0.096552	0.086406
Meth__cg03775422__MGC33530	0.90007	0.030786	0.87025	0.059655	0.83457	0.87258	0.81498	0.033323	0.04454	0.27618	0.48081	0.47647	0.083051	0.048824	0.33852	0.14019	0.058006	0.37787	0.41032	0.2794	0.058087	0.18704	0.61288	0.20808	0.076092	0.77813	0.052794	0.27651	0.28348	0.2948	0.076825	0.028021	0.57979	0.17367	0.034741	0.37984	0.42979
Meth__cg08210616__ZNF502	0.8538	0.071199	0.08054	0.83655	0.31149	0.8168	0.86536	0.079035	0.39156	0.83127	0.073918	0.63679	0.088518	0.082533	0.20359	0.23818	0.071943	0.75719	0.59422	0.25855	0.18191	0.4459	0.53921	0.083609	0.24635	0.58191	0.19133	0.092692	0.24043	0.10121	0.15523	0.086401	0.28857	0.11747	0.38156	0.28897	0.17659
Meth__cg11462865__KRT19	0.031823	0.028759	0.0391	0.035531	0.95435	0.030781	0.047942	0.030868	0.032821	0.95755	0.93461	0.91919	0.034999	0.028127	0.24073	0.067626	0.94788	0.029236	0.038049	0.02726	0.94805	0.021297	0.057149	0.036481	0.064091	0.060013	0.081121	0.39781	0.027201	0.95817	0.024946	0.021475	0.021707	0.032526	0.037706	0.031244	0.033128
Meth__cg19895197__C17orf37	0.12097	0.027105	0.052612	0.17916	0.36607	0.070428	0.050654	0.15171	0.055097	0.16683	0.062438	0.1223	0.13362	0.05675	0.056171	0.081476	0.053131	0.050904	0.1033	0.18281	0.060138	0.035021	0.27825	0.052837	0.083591	0.19023	0.045937	0.080409	0.038617	0.35903	0.070427	0.22274	0.04519	0.065801	0.057032	0.0666	0.10873
Meth__cg23578193__LGR6	0.11042	0.037091	0.57816	0.10668	0.62655	0.30678	0.50555	0.053826	0.092765	0.62422	0.56839	0.29728	0.05162	0.69831	0.046476	0.076956	0.063393	0.21195	0.24559	0.44904	0.67998	0.14063	0.37511	0.10597	0.10489	0.35977	0.071104	0.049839	0.035864	0.042982	0.053063	0.040993	0.45413	0.072044	0.042608	0.077217	0.070247
Meth__cg17880199__MYH11	0.97085	0.044188	0.57607	0.10291	0.95682	0.53513	0.97431	0.061021	0.03518	0.63545	0.14763	0.94845	0.073555	0.071717	0.15611	0.14667	0.75634	0.96393	0.96374	0.45369	0.10903	0.61508	0.93372	0.04454	0.083912	0.83758	0.067664	0.023554	0.053029	0.058644	0.056101	0.058564	0.34085	0.074549	0.037591	0.15811	0.8957
Meth__cg22130834__TTC22	0.078146	0.1155	0.44268	0.834	0.73052	0.7379	0.028127	0.020928	0.81486	0.031796	0.029854	0.7401	0.036495	0.7826	0.032337	0.050958	0.25154	0.89352	0.84627	0.68984	0.61594	0.024977	0.84952	0.52678	0.04702	0.87539	0.13808	0.076664	0.026437	0.1242	0.75613	0.024707	0.51795	0.071643	0.035208	0.08483	0.84881
Meth__cg12549513__BEX2	0.54079	0.028396	0.033925	0.034636	0.3997	0.033857	0.55361	0.040263	0.51523	0.36589	0.023252	0.066037	0.12509	0.13327	0.56606	0.092978	0.033879	0.021778	0.025912	0.56427	0.48116	0.54148	0.40189	0.032272	0.25706	0.90798	0.11721	0.028383	0.027284	0.12585	0.025912	0.023148	0.47009	0.048995	0.5893	0.48801	0.032015
Meth__cg11005826__IGF2AS	0.12698	0.062355	0.63848	0.22124	0.59868	0.15109	0.6061	0.089198	0.098934	0.84389	0.76533	0.74153	0.10114	0.20185	0.23364	0.17536	0.095636	0.69707	0.61976	0.16691	0.10685	0.25819	0.89915	0.88171	0.081839	0.73155	0.090395	0.072282	0.082935	0.096966	0.58137	0.090909	0.71136	0.16996	0.12167	0.10899	0.088751
Meth__cg15147435__FKBP11	0.04238	0.75404	0.93006	0.23907	0.93715	0.045509	0.95122	0.93722	0.61237	0.050658	0.11168	0.9116	0.94	0.91736	0.026205	0.30018	0.029111	0.14546	0.062569	0.03282	0.92115	0.073852	0.87415	0.037518	0.048481	0.13866	0.17469	0.033918	0.11256	0.079011	0.96818	0.9098	0.32756	0.9129	0.64025	0.58797	0.93368
Meth__cg01717150__KCNK9	0.24736	0.037899	0.082538	0.046334	0.678	0.0696	0.057418	0.03894	0.041914	0.60861	0.039762	0.19789	0.037478	0.039749	0.065094	0.080059	0.13174	0.034562	0.044662	0.045683	0.051193	0.13297	0.85351	0.066475	0.056206	0.19922	0.104	0.030106	0.059152	0.21111	0.037638	0.035009	0.063977	0.062078	0.057696	0.07604	0.054449
Meth__cg00042156__MGC16291	0.57086	0.041955	0.1013	0.84318	0.78103	0.61532	0.86331	0.95065	0.93317	0.88142	0.83943	0.1543	0.76674	0.84039	0.29624	0.073244	0.72791	0.57128	0.56745	0.11916	0.75069	0.9494	0.049534	0.31504	0.041277	0.32168	0.096966	0.7485	0.036559	0.16028	0.075569	0.063568	0.088962	0.72405	0.18328	0.89812	0.94495
Meth__cg12388309__PAK7	0.64133	0.037296	0.96342	0.045059	0.95939	0.48141	0.047496	0.030535	0.056302	0.56544	0.24587	0.57553	0.050639	0.059598	0.23611	0.078874	0.046396	0.059525	0.038338	0.16049	0.03363	0.032063	0.86544	0.048453	0.1493	0.93937	0.089527	0.044432	0.18299	0.082136	0.031687	0.041054	0.86846	0.12613	0.88866	0.035481	0.036439
Meth__cg01405761__MGC34646	0.54594	0.014283	0.69218	0.025292	0.23357	0.59516	0.26925	0.015937	0.017103	0.3788	0.6043	0.42727	0.016096	0.019143	0.57962	0.032729	0.014688	0.033805	0.11494	0.65877	0.031548	0.030573	0.23219	0.021092	0.025386	0.67182	0.02259	0.017007	0.023751	0.015093	0.010507	0.016527	0.2592	0.057914	0.055625	0.051028	0.020346
Meth__cg02275989__SMPDL3A	0.057368	0.039703	0.061206	0.047644	0.041642	0.058256	0.049989	0.031363	0.037626	0.05077	0.033234	0.066472	0.033907	0.038375	0.040604	0.069141	0.037439	0.033724	0.054785	0.29837	0.041518	0.028993	0.083352	0.064155	0.047963	0.080349	0.062851	0.038091	0.029675	0.048726	0.032497	0.033603	0.033012	0.14573	0.040801	0.043362	0.037214
Meth__cg10154655__PNPO	0.056631	0.046145	0.049304	0.051552	0.052015	0.051175	0.07136	0.048877	0.055477	0.46974	0.048815	0.083384	0.049676	0.89768	0.048464	0.12023	0.07029	0.043173	0.046245	0.049172	0.094385	0.03611	0.082513	0.056523	0.088387	0.11344	0.062434	0.043538	0.061946	0.074618	0.044842	0.037939	0.044175	0.067608	0.061545	0.040367	0.045093
Meth__cg00772000__NHLRC1	0.58081	0.054578	0.52575	0.16765	0.9414	0.24602	0.051304	0.053091	0.076156	0.93929	0.038042	0.19078	0.065872	0.067988	0.049809	0.095685	0.5535	0.050944	0.067655	0.66181	0.062218	0.054725	0.39402	0.057257	0.068588	0.46188	0.10618	0.050052	0.094645	0.66248	0.10693	0.046523	0.14605	0.064349	0.054167	0.83004	0.79088
Meth__cg14944362__PDYN	0.52131	0.051197	0.58031	0.7848	0.085092	0.29786	0.5295	0.05408	0.54058	0.48242	0.45676	0.55692	0.066734	0.53226	0.74576	0.10689	0.045704	0.20691	0.20253	0.34956	0.097846	0.46232	0.11009	0.23747	0.068511	0.36102	0.051414	0.33542	0.31969	0.05396	0.66086	0.055463	0.23521	0.071976	0.50574	0.18156	0.29701
Meth__cg09144786__WDR44	0.51967	0.02225	0.024237	0.039478	0.032003	0.038829	0.48705	0.036502	0.084318	0.030546	0.046722	0.067029	0.026737	0.041792	0.20741	0.035555	0.034247	0.020313	0.034219	0.24448	0.032925	0.19471	0.048313	0.040349	0.16501	0.059605	0.053143	0.36971	0.026088	0.095265	0.036111	0.033399	0.11935	0.11221	0.12838	0.026035	0.038709
Meth__cg05661838__MOS	0.55064	0.025489	0.40308	0.78511	0.43625	0.58524	0.83057	0.05344	0.22479	0.6783	0.24283	0.33786	0.13338	0.69459	0.13011	0.11346	0.035843	0.27015	0.2424	0.065474	0.64868	0.63439	0.46893	0.096899	0.057642	0.32947	0.058949	0.084129	0.48926	0.085487	0.37429	0.050467	0.46875	0.10784	0.60336	0.36567	0.58984
Meth__cg01989224__NDN	0.45159	0.026996	0.2787	0.85517	0.093224	0.76729	0.39205	0.494	0.049303	0.59774	0.075963	0.094887	0.3372	0.45342	0.047572	0.085618	0.019546	0.10191	0.063876	0.21493	0.040319	0.21016	0.10813	0.45465	0.024964	0.23036	0.054651	0.032998	0.034874	0.041378	0.027011	0.032643	0.13916	0.07397	0.032976	0.13108	0.055602
Meth__cg04619381__LOC222171	0.037973	0.032548	0.071711	0.046231	0.93383	0.038161	0.030702	0.046377	0.037402	0.93953	0.37159	0.063108	0.046029	0.61805	0.067463	0.094299	0.5224	0.037907	0.043977	0.035403	0.27583	0.028974	0.83896	0.03567	0.089903	0.1112	0.049406	0.20248	0.029939	0.086899	0.027421	0.027837	0.03116	0.087766	0.039522	0.030141	0.038457
Meth__cg15375239__SPINT2	0.020475	0.018406	0.021685	0.023529	0.98229	0.026117	0.027092	0.017962	0.022806	0.020587	0.021064	0.034616	0.025887	0.019327	0.03509	0.04637	0.809	0.011624	0.020801	0.020753	0.64301	0.01756	0.062814	0.022218	0.052746	0.058078	0.02872	0.023536	0.015891	0.21358	0.017346	0.019124	0.020768	0.046975	0.028818	0.020572	0.024469
Meth__cg08052882__NNT	0.083595	0.061372	0.41492	0.43711	0.061314	0.14996	0.045338	0.056063	0.062845	0.068001	0.053924	0.5782	0.05839	0.095711	0.064379	0.1259	0.055343	0.13923	0.078642	0.057424	0.054472	0.23906	0.082957	0.083239	0.11947	0.15829	0.15016	0.058553	0.094441	0.039927	0.44883	0.12813	0.52734	0.095033	0.29966	0.28936	0.1601
Meth__cg19762747__CRX	0.065714	0.041747	0.91989	0.8722	0.2789	0.59105	0.9651	0.06463	0.24793	0.75887	0.7918	0.81864	0.065925	0.65289	0.41084	0.078444	0.040971	0.69338	0.7425	0.19841	0.41831	0.13337	0.13594	0.5498	0.091106	0.23462	0.080654	0.56724	0.054998	0.053471	0.032252	0.060165	0.28129	0.1022	0.64437	0.37684	0.51971
Meth__cg23067535__FAM83A	0.048124	0.041366	0.06135	0.23531	0.9363	0.12719	0.94995	0.028146	0.083708	0.39822	0.61336	0.21697	0.20228	0.73704	0.95298	0.18288	0.89482	0.74221	0.59368	0.93871	0.9298	0.38987	0.88741	0.49916	0.29484	0.094499	0.29655	0.94186	0.035759	0.89209	0.9524	0.060873	0.66055	0.12819	0.88739	0.20083	0.26025
Meth__cg08197122__DCC1	0.028681	0.1817	0.035791	0.21942	0.029089	0.033455	0.030134	0.069591	0.14858	0.025072	0.013252	0.03857	0.048351	0.02045	0.018672	0.030422	0.043072	0.029773	0.024693	0.033851	0.034099	0.036945	0.046306	0.13954	0.047165	0.038079	0.046035	0.020744	0.04985	0.040604	0.086386	0.037986	0.037109	0.12396	0.03136	0.17734	0.12477
Meth__cg20295671__YPEL1	0.016122	0.018059	0.011932	0.019201	0.015515	0.017828	0.023154	0.016724	0.46206	0.37964	0.12028	0.22685	0.015421	0.01363	0.014147	0.041229	0.21881	0.014442	0.021829	0.019338	0.016047	0.013777	0.66664	0.047493	0.023377	0.027979	0.028497	0.015202	0.19984	0.018808	0.018946	0.013909	0.013432	0.032293	0.048609	0.018484	0.020313
Meth__cg17685628__NKX2-8	0.54428	0.039621	0.26255	0.76834	0.92649	0.9744	0.027368	0.043951	0.041278	0.97006	0.034573	0.087957	0.048967	0.70016	0.11673	0.098873	0.50623	0.56398	0.53786	0.048265	0.044662	0.059693	0.089324	0.037503	0.062636	0.79869	0.16278	0.053999	0.036772	0.43136	0.079615	0.028108	0.068333	0.6047	0.051606	0.63984	0.65709
Meth__cg22527345__CCDC71	0.12337	0.26579	0.3016	0.31347	0.65678	0.27544	0.53238	0.27467	0.127	0.086826	0.09185	0.20269	0.23948	0.082187	0.091867	0.13549	0.46073	0.16195	0.36656	0.093772	0.086464	0.090406	0.59279	0.35877	0.12256	0.17206	0.12566	0.073907	0.065019	0.12914	0.12812	0.058621	0.076275	0.1685	0.33856	0.098978	0.078384
Meth__cg05874450__POPDC3	0.24532	0.061565	0.042289	0.30328	0.42282	0.078017	0.030504	0.28913	0.071258	0.03249	0.42855	0.085886	0.14586	0.15251	0.033422	0.070481	0.21875	0.13784	0.12018	0.59825	0.041864	0.24416	0.070984	0.23088	0.093739	0.27808	0.10477	0.030456	0.031905	0.18971	0.44868	0.060835	0.034947	0.13821	0.40722	0.19759	0.13645
Meth__cg15177359__UNC13D	0.065523	0.056965	0.0659	0.093333	0.8037	0.3475	0.04475	0.06073	0.059748	0.49805	0.087488	0.076537	0.06726	0.12909	0.63824	0.11586	0.21557	0.15479	0.27762	0.76773	0.72095	0.17324	0.066462	0.64799	0.10036	0.49217	0.060928	0.60782	0.054165	0.21123	0.16979	0.062416	0.05719	0.066191	0.0658	0.51177	0.48641
Meth__cg11953868__WFDC10A	0.059146	0.038551	0.050684	0.38006	0.043733	0.052412	0.16878	0.22023	0.069179	0.094522	0.04771	0.079077	0.13089	0.051404	0.032378	0.059715	0.023739	0.038951	0.053248	0.64397	0.074504	0.027934	0.059852	0.050521	0.041631	0.11639	0.03257	0.046575	0.043033	0.048838	0.046444	0.029105	0.039638	0.042865	0.057131	0.038178	0.028133
Meth__cg10287137__P2RY2	0.067938	0.063533	0.062099	0.32292	0.98109	0.095625	0.88456	0.98442	0.20419	0.97353	0.096342	0.052086	0.73403	0.48662	0.95565	0.096174	0.91645	0.47092	0.25002	0.8018	0.93968	0.41041	0.56658	0.86736	0.074836	0.085569	0.079436	0.31346	0.96707	0.98061	0.16652	0.38076	0.033737	0.098815	0.099189	0.044937	0.23359
Meth__cg00540544__CSRP1	0.052805	0.58463	0.06892	0.034001	0.61403	0.065253	0.051289	0.60711	0.044918	0.55124	0.040902	0.12555	0.58394	0.045583	0.036929	0.073306	0.025514	0.67469	0.56619	0.03481	0.51533	0.035234	0.059426	0.057306	0.070176	0.13616	0.11627	0.034514	0.036143	0.020131	0.6876	0.032311	0.13467	0.11392	0.041238	0.055111	0.24582
Meth__cg12847373__EDNRB	0.85895	0.027074	0.83146	0.9035	0.59816	0.88263	0.92132	0.036666	0.028712	0.21163	0.16033	0.29703	0.21938	0.56753	0.035571	0.072003	0.084202	0.73413	0.46839	0.86947	0.03931	0.2967	0.49559	0.030866	0.20956	0.77878	0.043644	0.028827	0.044955	0.79076	0.88199	0.31549	0.81859	0.0612	0.5499	0.84802	0.8344
Meth__cg09812049__WIRE	0.023938	0.019731	0.026995	0.036766	0.062367	0.051729	0.078808	0.02462	0.029607	0.092234	0.03714	0.073303	0.032354	0.02384	0.029794	0.033848	0.021042	0.022336	0.022799	0.032191	0.048757	0.037373	0.10252	0.039059	0.042842	0.056269	0.03597	0.022326	0.023367	0.20108	0.037487	0.030814	0.027815	0.028462	0.092475	0.025206	0.027205
Meth__cg08314660__PKP3	0.046644	0.028778	0.037573	0.044512	0.97405	0.040461	0.0397	0.033567	0.052808	0.030695	0.03027	0.032239	0.027954	0.040536	0.058007	0.086497	0.035639	0.043956	0.057505	0.030062	0.67464	0.029927	0.067237	0.05354	0.036046	0.15997	0.036625	0.6669	0.029844	0.03991	0.039097	0.031995	0.025863	0.060417	0.041506	0.057496	0.061924
Meth__cg03098643__FAT	0.10453	0.073615	0.11261	0.11527	0.077117	0.10923	0.084216	0.064768	0.092288	0.10362	0.083648	0.11001	0.091744	0.47484	0.074371	0.12394	0.078482	0.10398	0.10087	0.13098	0.086336	0.068346	0.13437	0.078752	0.085846	0.14681	0.13906	0.083088	0.071788	0.074853	0.064286	0.06964	0.056633	0.84401	0.098434	0.077207	0.097672
Meth__cg18016365__GABRB1	0.051976	0.065391	0.83361	0.89243	0.74826	0.46298	0.70207	0.078495	0.89193	0.64321	0.1374	0.73407	0.30994	0.13515	0.67254	0.36298	0.6413	0.16484	0.2489	0.17277	0.092435	0.044613	0.82701	0.33013	0.20768	0.77276	0.07714	0.054442	0.87539	0.56719	0.58638	0.32891	0.69862	0.12115	0.18296	0.05488	0.28039
Meth__cg17186163__C10orf10	0.016208	0.022437	0.030217	0.023029	0.58884	0.027501	0.7366	0.032599	0.022818	0.023042	0.018668	0.034543	0.02798	0.020813	0.023767	0.054171	0.031824	0.029202	0.026506	0.024071	0.089774	0.029715	0.024726	0.024938	0.036166	0.044936	0.028471	0.028225	0.037625	0.025952	0.022721	0.027245	0.023944	0.040834	0.023355	0.020723	0.02282
Meth__cg14043602__OR1E1	0.57703	0.024617	0.25691	0.58446	0.13277	0.16469	0.29389	0.075915	0.051143	0.38708	0.40842	0.15936	0.10905	0.18437	0.36175	0.11518	0.032638	0.11672	0.27922	0.83412	0.12739	0.3733	0.089942	0.034555	0.10179	0.18162	0.062667	0.031521	0.12864	0.048792	0.312	0.030186	0.4667	0.036741	0.7227	0.21058	0.046003
Meth__cg18485485__DECR1	0.044509	0.077216	0.054683	0.042914	0.036239	0.033479	0.031036	0.038756	0.034941	0.039918	0.033685	0.049973	0.033716	0.03105	0.033783	0.083453	0.023206	0.02733	0.035264	0.034597	0.04784	0.035963	0.12384	0.040237	0.07734	0.053542	0.062994	0.040188	0.033275	0.052599	0.96812	0.028266	0.809	0.070752	0.048672	0.041291	0.040391
Meth__cg11027330__METRN	0.035977	0.17044	0.25765	0.57173	0.85753	0.51166	0.32589	0.14857	0.18866	0.63194	0.9183	0.82757	0.10723	0.52677	0.68417	0.24374	0.36082	0.21721	0.07408	0.20062	0.36269	0.090116	0.51115	0.24812	0.045396	0.036267	0.26737	0.052091	0.27114	0.69901	0.071844	0.057411	0.39572	0.099751	0.17845	0.097986	0.031241
Meth__cg12917695__HSPC268	0.031399	0.026793	0.02361	0.023393	0.03003	0.027682	0.42659	0.020179	0.030627	0.031381	0.03669	0.05717	0.022528	0.026343	0.023968	0.063065	0.014693	0.019355	0.021519	0.026906	0.022957	0.018039	0.057775	0.030768	0.048765	0.050704	0.0544	0.023365	0.019689	0.023695	0.015981	0.018073	0.019211	0.09243	0.03499	0.02668	0.029729
Meth__cg03602500__FLJ00060	0.11584	0.05722	0.11318	0.072757	0.12062	0.094706	0.40187	0.04751	0.071063	0.41951	0.6293	0.27524	0.048066	0.098106	0.2786	0.16778	0.0477	0.067395	0.11796	0.079068	0.065254	0.84499	0.23515	0.060248	0.10756	0.11128	0.069715	0.066575	0.079573	0.070224	0.050231	0.043165	0.13724	0.10147	0.10284	0.059836	0.06868
Meth__cg11285003__HCN1	0.076021	0.035795	0.90101	0.076644	0.63537	0.91933	0.92069	0.052142	0.21373	0.92123	0.33388	0.18006	0.046172	0.075699	0.048528	0.072012	0.13654	0.11062	0.1132	0.14165	0.07781	0.049488	0.64376	0.043658	0.086165	0.84442	0.060172	0.24829	0.099205	0.13568	0.49354	0.057832	0.6014	0.24794	0.089569	0.038745	0.053639
U133A__SNX7	7.2258	6.9361	6.6633	6.3575	8.2264	6.3147	7.2735	6.4903	7.5596	7.2552	8.1539	7.6537	5.9321	7.1316	8.3416	7.9242	8.5314	5.7752	7.1402	5.4831	8.5363	5.4501	9.0729	6.7602	6.3801	7.3553	7.4533	9.1969	8.5021	8.5449	5.1871	6.7639	5.9201	4.634	7.2475	6.574	7.2083
Meth__cg12297221__ART5	0.042027	0.025634	0.045768	0.039511	0.61185	0.039409	0.46169	0.028239	0.12014	0.038707	0.094664	0.60618	0.031896	0.92983	0.076585	0.11923	0.041161	0.037151	0.048903	0.46912	0.032726	0.025485	0.67314	0.27011	0.04252	0.63397	0.063942	0.10051	0.096813	0.06655	0.45319	0.025972	0.32842	0.079403	0.043279	0.050552	0.041117
Meth__cg20131968__CCDC47	0.075696	0.049002	0.094093	0.10157	0.27086	0.14443	0.16897	0.20481	0.39166	0.085405	0.10526	0.10726	0.16186	0.075864	0.037383	0.12556	0.0653	0.054949	0.069752	0.11687	0.061276	0.78444	0.26394	0.084914	0.12201	0.081447	0.064599	0.035906	0.059837	0.065405	0.075407	0.048234	0.025716	0.057344	0.072253	0.08221	0.29835
Meth__cg00216361__GAP43	0.18379	0.030707	0.054914	0.37669	0.092419	0.60721	0.94297	0.38119	0.044896	0.18937	0.71057	0.055361	0.25921	0.085214	0.036246	0.047988	0.32527	0.042178	0.03475	0.87407	0.04169	0.045706	0.59274	0.047788	0.069023	0.30754	0.08467	0.041953	0.31243	0.028402	0.74269	0.030134	0.067612	0.0449	0.035752	0.17588	0.36933
Meth__cg16363586__BST2	0.050365	0.70965	0.048868	0.90209	0.9133	0.071339	0.81724	0.038872	0.1887	0.059482	0.054172	0.097206	0.25715	0.65781	0.90906	0.065627	0.89566	0.75302	0.66259	0.36448	0.77492	0.057499	0.77939	0.83422	0.5775	0.11679	0.85704	0.89816	0.038653	0.042633	0.056982	0.051311	0.041434	0.13201	0.89138	0.052058	0.045429
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.23153	0.111	0.68219	0.11429	0.60047	0.12361	0.22276	0.48858	0.68238	0.34509	0.15534	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.7622	0.73994	0.40389	0.41105	0.17219	0.10304	0.12463	0.12452	0.20374	0.13461	0.41822	0.22229	0.12733	0.19544	0.19895	0.14034	0.11432	0.11508
Meth__cg06222851__OGDHL	0.96937	0.052471	0.066829	0.05974	0.033775	0.065778	0.086338	0.040493	0.052137	0.067732	0.09568	0.44063	0.053849	0.058263	0.053541	0.075173	0.053259	0.039567	0.047775	0.63989	0.057406	0.03987	0.85655	0.54469	0.084116	0.65858	0.072343	0.048491	0.040275	0.050835	0.047858	0.072034	0.044856	0.10886	0.055039	0.045636	0.050428
Meth__cg08003150__KCNQ2	0.57735	0.033158	0.05506	0.080472	0.41763	0.59189	0.21931	0.035814	0.039224	0.25153	0.29758	0.32232	0.11534	0.08787	0.10818	0.12274	0.065752	0.89188	0.93128	0.71006	0.076073	0.41563	0.84725	0.38055	0.079818	0.88354	0.13389	0.035019	0.035602	0.033011	0.039203	0.12563	0.57004	0.087575	0.038839	0.046418	0.04035
Meth__cg04195127__WFDC1	0.081364	0.060436	0.70986	0.62937	0.039273	0.36285	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.031148	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.062592	0.14335	0.027295	0.028976	0.03284	0.49539	0.032372	0.08684	0.074656	0.92969	0.08101	0.06488
Meth__cg04972979__C20orf54	0.040733	0.02114	0.035598	0.029815	0.8691	0.036616	0.027553	0.020339	0.055678	0.58367	0.031271	0.053565	0.028344	0.035829	0.73775	0.068248	0.15418	0.6191	0.52222	0.28448	0.48691	0.02758	0.70175	0.031899	0.04026	0.061221	0.032369	0.36709	0.069524	0.25004	0.025862	0.02299	0.029579	0.14144	0.045275	0.052696	0.035238
Meth__cg11868900__EFCAB1	0.023309	0.027058	0.95309	0.8824	0.62427	0.9398	0.84832	0.19491	0.22063	0.12091	0.24213	0.8845	0.1527	0.62378	0.18394	0.10111	0.22193	0.74977	0.83838	0.090877	0.040224	0.040455	0.90155	0.29433	0.030407	0.77424	0.057656	0.040622	0.63276	0.53345	0.023371	0.026061	0.36729	0.13717	0.024188	0.29751	0.71562
U133A__PKP1	5.6185	5.4542	5.1491	5.8326	5.2848	5.2597	7.7467	9.3023	5.4739	6.978	7.7906	5.5253	5.9841	5.1287	5.9929	8.6629	5.834	6.2676	5.9481	5.434	5.5739	5.8193	5.0695	5.8165	8.6627	5.6349	5.8531	5.6921	7.6646	5.5444	7.8001	5.6862	5.5104	5.5428	5.1191	5.8114	5.4465
Meth__cg00164898__MAPK11	0.047565	0.3592	0.10422	0.082924	0.052636	0.081587	0.043256	0.060949	0.069716	0.068483	0.066139	0.41898	0.077398	0.43111	0.063467	0.071175	0.21935	0.078524	0.084333	0.073898	0.2246	0.050812	0.14588	0.12746	0.10361	0.20292	0.16849	0.088681	0.28097	0.081	0.26367	0.10805	0.081592	0.14817	0.057129	0.052064	0.062842
Meth__cg12322132__IGF2AS	0.9583	0.044329	0.44399	0.15742	0.62217	0.6307	0.40707	0.035171	0.63687	0.84169	0.12581	0.50941	0.044583	0.049508	0.089289	0.53376	0.15401	0.96485	0.96367	0.43266	0.096698	0.52386	0.87332	0.64201	0.039995	0.94187	0.083211	0.035314	0.53712	0.044953	0.17032	0.034837	0.94848	0.88329	0.55256	0.042846	0.067009
Meth__cg05434957__ICA1	0.035827	0.026184	0.034448	0.04373	0.040651	0.04235	0.0215	0.018912	0.029876	0.11704	0.030555	0.055044	0.035894	0.030231	0.030502	0.082857	0.40494	0.018253	0.036237	0.027936	0.03367	0.036628	0.063144	0.037111	0.043478	0.065366	0.06217	0.032726	0.028683	0.44152	0.026206	0.023464	0.02192	0.05312	0.033323	0.027833	0.040962
