Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg09079275__ADAM19	0.047813	0.10363	0.53375	0.63676	0.437	0.50766	0.063764	0.08307	0.065665	0.065878	0.051629	0.56837	0.56993	0.12289	0.066784	0.14242	0.051003	0.2188	0.048747	0.89385	0.68232	0.12092	0.06675	0.10326	0.070426	0.49896	0.11127	0.054572	0.88326	0.69282	0.13358	0.049767	0.048513	0.1091	0.51243	0.43817	0.1721	0.33141	0.39666	0.25914
Meth__cg19853703__APOL6	0.05329	0.052015	0.86268	0.62189	0.37961	0.53261	0.029286	0.35644	0.033328	0.12244	0.049363	0.027104	0.062842	0.20074	0.043307	0.062307	0.040822	0.074659	0.10314	0.61029	0.80942	0.80816	0.084432	0.27724	0.098122	0.62571	0.076409	0.094405	0.64437	0.043787	0.097128	0.73407	0.038937	0.050933	0.0533	0.22655	0.09229	0.15987	0.53685	0.66599
Meth__cg22511633__TBL2	0.044452	0.020438	0.36543	0.093252	0.25315	0.041093	0.037667	0.069941	0.034176	0.30099	0.11731	0.037532	0.060881	0.057211	0.030978	0.046313	0.36192	0.048289	0.12109	0.043813	0.074612	0.42556	0.020346	0.028571	0.20837	0.1793	0.052916	0.034889	0.44088	0.034989	0.043202	0.021918	0.53199	0.04637	0.019959	0.027391	0.024873	0.020135	0.31147	0.049243
Meth__cg17178336__IHH	0.61387	0.028582	0.90685	0.17134	0.96965	0.92603	0.62491	0.52553	0.195	0.18511	0.87639	0.12403	0.84894	0.69061	0.11271	0.27313	0.10268	0.12101	0.39508	0.97388	0.96783	0.23202	0.047119	0.97119	0.92618	0.31319	0.17805	0.092676	0.94142	0.42287	0.076154	0.050118	0.18741	0.1085	0.10412	0.95549	0.64074	0.96003	0.66756	0.85305
Meth__cg11326613__MGC31967	0.13431	0.16038	0.5388	0.2089	0.34237	0.11566	0.31856	0.086861	0.090697	0.099306	0.093489	0.15306	0.37025	0.074904	0.086441	0.17422	0.18899	0.14415	0.10316	0.17761	0.14915	0.093786	0.13228	0.075543	0.77073	0.18182	0.17475	0.15006	0.13903	0.12528	0.19241	0.080059	0.1202	0.09936	0.17907	0.12851	0.14237	0.10264	0.17114	0.11525
Meth__cg11840168__RBBP8	0.048993	0.054104	0.049695	0.046063	0.041367	0.065166	0.028674	0.64666	0.049408	0.15165	0.066363	0.047699	0.060769	0.028273	0.054281	0.043169	0.053413	0.083865	0.041324	0.038405	0.056374	0.046242	0.067307	0.04622	0.079834	0.059438	0.077917	0.048465	0.090944	0.046095	0.11256	0.036059	0.045501	0.038751	0.041019	0.039186	0.091257	0.047627	0.04788	0.053652
Meth__cg14708847__PAK3	0.097577	0.054287	0.29157	0.10406	0.11505	0.13917	0.042194	0.32054	0.057297	0.073696	0.18852	0.071263	0.25378	0.074088	0.062732	0.094476	0.0383	0.14248	0.074511	0.13709	0.15196	0.22931	0.092495	0.28947	0.3284	0.08794	0.087172	0.063084	0.10855	0.074899	0.1202	0.057138	0.049746	0.085514	0.62163	0.054648	0.099965	0.41228	0.074513	0.29339
Meth__cg12398332__GPRC5B	0.065978	0.070101	0.1331	0.27324	0.16583	0.50779	0.096867	0.054	0.055445	0.23147	0.084337	0.12105	0.18043	0.049942	0.072294	0.088136	0.072325	0.11828	0.075926	0.15369	0.15271	0.088527	0.159	0.066953	0.40289	0.13978	0.092746	0.082556	0.1912	0.079659	0.07277	0.056415	0.058054	0.078043	0.10238	0.49303	0.21106	0.39202	0.19107	0.14552
Meth__cg09944147__COL27A1	0.042006	0.030654	0.030878	0.02397	0.040414	0.036199	0.040361	0.041829	0.024641	0.029691	0.027166	0.017138	0.20545	0.017186	0.027529	0.032692	0.022658	0.04581	0.021806	0.25151	0.18251	0.032478	0.040745	0.029851	0.044822	0.032234	0.066667	0.024403	0.21869	0.046559	0.037414	0.02303	0.040383	0.034424	0.027098	0.35651	0.056138	0.035906	0.032247	0.025104
Meth__cg17644867__FOS	0.015389	0.071616	0.037426	0.027165	0.024728	0.067252	0.02226	0.014074	0.020392	0.019582	0.020779	0.027494	0.041774	0.019317	0.021951	0.020363	0.012504	0.029831	0.021925	0.027999	0.018296	0.029164	0.021728	0.022094	0.051603	0.023834	0.051169	0.016434	0.072997	0.023636	0.022672	0.020083	0.016038	0.013932	0.016873	0.015553	0.050692	0.0141	0.098335	0.39144
Meth__cg04072323__SKIP	0.88689	0.028335	0.91358	0.32068	0.90501	0.89998	0.093651	0.62355	0.066119	0.060612	0.90847	0.14957	0.72901	0.64143	0.13411	0.87837	0.15339	0.094747	0.11595	0.70091	0.66166	0.57377	0.042592	0.89506	0.85324	0.57021	0.12044	0.45854	0.83308	0.23026	0.12888	0.059529	0.084511	0.092319	0.23877	0.80104	0.10335	0.51918	0.86247	0.81265
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.32747	0.16054	0.043837	0.91661	0.55406	0.055249	0.025571	0.52581	0.31239	0.17183	0.53049	0.034415	0.032459	0.34492	0.036044	0.064078	0.0634	0.49843	0.58161	0.56386	0.065736	0.18401	0.94513	0.055457	0.08382	0.27023	0.94443	0.056103	0.098284	0.031221	0.10139	0.058012	0.054921	0.59689	0.048349	0.036028	0.098418	0.20912
Meth__cg00422913__MGC14376	0.042526	0.038384	0.063655	0.072394	0.045425	0.10376	0.069189	0.042644	0.043759	0.51492	0.058264	0.083604	0.061227	0.051481	0.046906	0.05257	0.043472	0.11007	0.046092	0.048719	0.073047	0.06565	0.057362	0.096008	0.1094	0.052551	0.061111	0.042769	0.10351	0.046255	0.06442	0.042283	0.033254	0.053231	0.044644	0.052618	0.076129	0.068946	0.051414	0.043866
Meth__cg04096365__IFI30	0.023424	0.034122	0.043384	0.022103	0.032788	0.028267	0.078014	0.018112	0.02426	0.30813	0.020066	0.31459	0.039148	0.034322	0.020111	0.03429	0.034238	0.053942	0.017741	0.035546	0.040432	0.075196	0.023108	0.023804	0.051681	0.023705	0.061423	0.021492	0.046659	0.027679	0.065069	0.020448	0.020528	0.021221	0.1447	0.030026	0.045427	0.038636	0.077021	0.025167
Meth__cg11053574__NT5C3L	0.025659	0.021106	0.082851	0.02998	0.042406	0.037001	0.067114	0.054812	0.027077	0.032634	0.032111	0.043786	0.50984	0.021464	0.033069	0.027072	0.023923	0.038705	0.024043	0.041496	0.027006	0.042283	0.031597	0.66536	0.14417	0.062865	0.048873	0.052078	0.036276	0.042609	0.045724	0.024304	0.027189	0.016093	0.04041	0.029462	0.061398	0.034532	0.030079	0.042379
Meth__cg03684977__GRB7	0.025921	0.019566	0.042199	0.045407	0.9494	0.031885	0.88493	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.036198	0.16822	0.1049	0.9466	0.045443	0.91461	0.031285	0.067035	0.03012	0.95438	0.053879	0.8784	0.034811	0.072712	0.90919	0.038093	0.062852	0.038829	0.95271	0.032736	0.92172	0.29678	0.025857	0.037357	0.25562	0.028932	0.0395
Meth__cg15146752__EPHA2	0.032391	0.074348	0.1159	0.94551	0.048921	0.31998	0.04195	0.054266	0.30754	0.8883	0.051848	0.072361	0.04535	0.081348	0.26859	0.038475	0.031713	0.44245	0.026241	0.51802	0.46098	0.84987	0.037639	0.077356	0.14589	0.084067	0.10813	0.027041	0.14188	0.058056	0.11894	0.032378	0.022	0.02751	0.17507	0.030308	0.40559	0.74714	0.26615	0.63111
Meth__cg03809891__ZNF442	0.0615	0.036704	0.028202	0.044859	0.02521	0.033902	0.035331	0.91985	0.034977	0.042103	0.034236	0.019071	0.062547	0.031967	0.029877	0.25224	0.022149	0.045813	0.038526	0.027017	0.1284	0.034108	0.027235	0.025766	0.33109	0.039037	0.060401	0.031846	0.18776	0.031186	0.11737	0.032398	0.32604	0.031022	0.045428	0.048477	0.035787	0.044927	0.044676	0.042053
EA_G__TXNIP	11.4477	9.4899	11.1834	11.1451	8.2016	8.8252	10.3525	9.5002	6.4032	11.1727	9.0635	8.9978	9.1034	11.1923	11.4956	9.4844	7.1337	9.0548	6.1876	10.1424	10.7257	10.5609	8.7961	11.1666	10.0538	11.9748	11.7421	9.8831	10.2077	4.0258	9.9995	6.8938	10.3401	9.2695	10.9129	10.6894	9.2288	10.4638	11.0805	10.3522
Meth__cg26095194__DUSP1	0.043358	0.059945	0.042937	0.03439	0.037807	0.05374	0.027173	0.047449	0.037376	0.054187	0.03669	0.040258	0.074918	0.029864	0.048465	0.052023	0.040122	0.075249	0.035563	0.57985	0.053149	0.039777	0.070241	0.040244	0.074951	0.041773	0.086101	0.03858	0.062915	0.060087	0.09569	0.042364	0.031885	0.040379	0.034952	0.038651	0.074052	0.03998	0.032906	0.039474
Meth__cg04956511__PTPN6	0.03225	0.022618	0.038527	0.026983	0.9805	0.040832	0.98443	0.31457	0.053368	0.032539	0.095867	0.049161	0.040184	0.016814	0.047216	0.026186	0.98352	0.10567	0.98399	0.020275	0.032936	0.024559	0.97769	0.025787	0.59746	0.034722	0.058024	0.87859	0.060752	0.03491	0.07638	0.96965	0.021993	0.68302	0.033035	0.023815	0.062668	0.033818	0.028054	0.029209
Meth__cg19843429__OSBPL3	0.045508	0.034982	0.49253	0.040724	0.032161	0.5657	0.0382	0.033012	0.028611	0.051974	0.04058	0.019838	0.21767	0.24488	0.039519	0.033226	0.034016	0.18982	0.029494	0.95866	0.95319	0.076406	0.03933	0.033716	0.07351	0.044205	0.056436	0.032468	0.075967	0.033192	0.068426	0.035642	0.026856	0.024848	0.036571	0.026505	0.084487	0.039532	0.036396	0.040813
Meth__cg25856811__SPRR3	0.6084	0.049211	0.8658	0.82844	0.045792	0.80593	0.14177	0.90624	0.4204	0.3397	0.077968	0.34626	0.4183	0.037168	0.44997	0.064226	0.37601	0.19952	0.043158	0.51121	0.56574	0.56511	0.048869	0.094876	0.097966	0.11855	0.1227	0.36761	0.16018	0.19734	0.10823	0.049958	0.48066	0.042255	0.13483	0.21771	0.05794	0.84783	0.4933	0.56495
Meth__cg03752628__PTGFRN	0.30375	0.050089	0.34264	0.28567	0.46271	0.51286	0.48535	0.0293	0.023625	0.45468	0.18986	0.020968	0.028236	0.021066	0.025973	0.034109	0.033035	0.039067	0.019505	0.33659	0.62872	0.94448	0.35051	0.3617	0.61372	0.56719	0.041017	0.10282	0.036399	0.03018	0.056648	0.61895	0.021666	0.021672	0.12866	0.015998	0.096507	0.10413	0.13895	0.065712
EA_G__FAM83B	6.3988	4.2489	7.5482	6.1591	7.1767	8.1613	4.6994	8.9338	7.3558	9.0873	5.885	9.7395	9.0246	8.5407	4.7067	9.3121	4.5395	8.5196	4.3005	8.9319	9.9937	5.4213	5.593	7.5611	3.9742	10.6464	7.693	5.9038	6.9275	8.673	5.2107	4.5717	8.9613	4.6842	8.0655	7.971	7.8105	4.9443	9.305	8.0142
EA_G__SLC6A14	10.053	6.7845	7.1908	3.1261	3.2454	3.0854	3.0682	6.9892	3.3921	3.4058	3.5105	6.3838	4.1285	3.348	5.5825	6.0925	3.5952	9.6003	3.4275	4.0565	9.3262	4.5274	2.9599	4.3219	3.3093	6.9379	7.4097	3.5512	4.1824	6.7313	3.6594	3.5331	5.263	3.4851	4.0234	3.8522	4.3184	3.3215	3.6256	3.0924
Meth__cg25013852__PGM1	0.033798	0.16499	0.20266	0.20737	0.034664	0.62792	0.087899	0.033455	0.038614	0.089124	0.037773	0.027004	0.055789	0.029574	0.035654	0.042673	0.043044	0.068571	0.030089	0.03658	0.043961	0.080866	0.035194	0.048623	0.12392	0.054929	0.062301	0.03225	0.065602	0.044687	0.072822	0.025293	0.035945	0.030531	0.68722	0.036455	0.1284	0.042625	0.045959	0.055846
EA_G__ELL2	6.8523	5.9738	5.4848	6.3876	9.0239	5.5223	7.9779	7.8213	6.2642	5.1636	5.7827	7.7394	8.4219	6.5212	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4627	7.4624	6.6419	7.7774	5.8231	9.4469	8.0832	6.9037	7.3135	5.7191	7.9853	7.358	9.1605	9.5203	6.8344	5.428	6.024	5.6388	5.8718
Meth__cg17085299__IRF2BP1	0.0269	0.03524	0.027496	0.019446	0.043514	0.024419	0.029309	0.075292	0.021774	0.025828	0.032991	0.031415	0.084831	0.018586	0.025943	0.044839	0.033329	0.071074	0.030835	0.016122	0.03597	0.030013	0.044363	0.02709	0.071822	0.035723	0.073857	0.028508	0.090107	0.034491	0.05478	0.031112	0.035147	0.023621	0.02631	0.021749	0.090948	0.036204	0.029087	0.025268
EA_G__TFAP2C	8.4653	10.5778	10.7608	10.6184	7.8386	9.2186	7.3581	9.3715	8.6474	10.6646	9.1427	8.1918	9.9949	8.3308	9.229	8.6087	7.8509	8.6552	6.3748	9.5426	9.962	8.8983	9.3239	9.4242	7.7802	9.0826	7.7759	8.7367	8.0262	9.6231	10.7448	4.2527	8.6018	6.8846	9.3288	9.3561	9.5701	9.9779	8.6696	9.141
Meth__cg15812957__VCY	0.42279	0.03425	0.76853	0.14302	0.57044	0.66698	0.10936	0.68994	0.41637	0.12573	0.47066	0.48983	0.55757	0.35101	0.17564	0.054054	0.11915	0.051702	0.024909	0.067445	0.18313	0.5625	0.078002	0.67216	0.17733	0.13459	0.075352	0.050575	0.36418	0.45122	0.060613	0.053478	0.23819	0.019539	0.086548	0.26113	0.092133	0.87162	0.22573	0.41281
Meth__cg11504897__NRN1	0.71248	0.13355	0.23187	0.17096	0.73864	0.91686	0.17972	0.53527	0.10196	0.48291	0.55657	0.16727	0.18441	0.098846	0.19641	0.086957	0.24143	0.1365	0.85746	0.42814	0.2273	0.95321	0.10845	0.29889	0.92095	0.38222	0.18857	0.13666	0.94573	0.3091	0.20638	0.12034	0.11563	0.12634	0.48459	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg13332925__DKFZp451M2119	0.0326	0.025575	0.033151	0.55266	0.028838	0.034656	0.033415	0.029039	0.023799	0.034238	0.02602	0.037151	0.52361	0.63628	0.031155	0.028155	0.026429	0.071435	0.027443	0.9343	0.94636	0.02866	0.027364	0.023787	0.089595	0.0409	0.048574	0.026501	0.16669	0.029403	0.05525	0.021159	0.024082	0.022973	0.14995	0.022809	0.32809	0.040732	0.038052	0.1042
Meth__cg06077733__UBE2D1	0.030803	0.022016	0.025345	0.023715	0.021437	0.04381	0.024532	0.022737	0.023069	0.022123	0.024153	0.020056	0.044341	0.012682	0.023716	0.022981	0.019943	0.064511	0.018414	0.026926	0.043179	0.033513	0.028714	0.017311	0.063854	0.027431	0.068517	0.018028	0.18552	0.027031	0.0351	0.02057	0.017728	0.01849	0.02116	0.020124	0.056995	0.026407	0.018441	0.023121
Meth__cg13226172__CNTFR	0.062489	0.035069	0.12729	0.042493	0.41063	0.38706	0.06999	0.030558	0.029301	0.085995	0.05	0.049925	0.54452	0.034529	0.03218	0.035912	0.043286	0.045075	0.12076	0.82368	0.41256	0.040759	0.053382	0.31925	0.77833	0.12725	0.089055	0.05584	0.77305	0.070114	0.069852	0.048012	0.052166	0.31846	0.056498	0.46326	0.09584	0.20144	0.061841	0.054558
Meth__cg13266631__NEFL	0.20201	0.082271	0.86156	0.13673	0.80137	0.75452	0.25659	0.65261	0.061008	0.094752	0.78006	0.38033	0.55803	0.52204	0.082915	0.10272	0.38779	0.33361	0.071493	0.90998	0.86045	0.91249	0.12408	0.58814	0.87229	0.87171	0.19631	0.092692	0.87181	0.20947	0.10529	0.069969	0.064068	0.090119	0.15464	0.9192	0.23894	0.39673	0.080512	0.072003
Meth__cg23165541__DAPK2	0.070694	0.63639	0.88771	0.50523	0.76836	0.094653	0.1095	0.12262	0.053111	0.54039	0.19035	0.22985	0.43428	0.35936	0.12981	0.27045	0.075257	0.12894	0.068354	0.31365	0.30125	0.86869	0.31786	0.81823	0.48503	0.7134	0.096589	0.25396	0.25428	0.28468	0.64953	0.34539	0.17655	0.1213	0.55542	0.087963	0.20962	0.08648	0.56765	0.6288
EA_G__LAMA3	5.7582	5.5579	4.2184	5.7869	5.4644	5.921	5.0154	8.2205	4.7544	6.6558	4.3638	7.6528	7.2159	4.4619	6.1338	7.564	4.7692	7.0691	4.2558	4.6036	5.0835	6.5762	4.5143	5.1434	4.4574	5.8823	6.1132	5.5636	5.0278	4.7278	5.876	6.1251	7.4765	6.2387	4.6469	5.0869	6.2141	6.0862	6.2837	6.6314
Meth__cg09191327__PRDM12	0.1416	0.046303	0.62673	0.082976	0.67414	0.11369	0.22017	0.20272	0.04946	0.32927	0.82771	0.39084	0.51098	0.053303	0.060394	0.16305	0.058569	0.11473	0.041306	0.60734	0.90097	0.14292	0.87944	0.91551	0.73776	0.5809	0.093382	0.21649	0.59328	0.24683	0.053923	0.047043	0.056763	0.060515	0.050534	0.19945	0.19609	0.60013	0.49012	0.51112
Meth__cg27285599__FLJ13841	0.056612	0.050539	0.057414	0.042154	0.90618	0.059638	0.90522	0.88838	0.049905	0.062617	0.64787	0.1119	0.19066	0.22454	0.051407	0.71732	0.8969	0.20849	0.90339	0.050433	0.059802	0.060611	0.88602	0.047621	0.89484	0.064811	0.10026	0.90738	0.085314	0.061426	0.09468	0.71524	0.47178	0.85135	0.057365	0.11882	0.063553	0.061965	0.059326	0.11601
Meth__cg01535453__ACADS	0.50289	0.96803	0.92864	0.15151	0.97295	0.10014	0.079316	0.04812	0.08931	0.21009	0.093761	0.071077	0.93647	0.98089	0.36773	0.072031	0.050949	0.13158	0.048585	0.16734	0.12486	0.091584	0.11514	0.10465	0.58504	0.96465	0.097405	0.054503	0.94702	0.081264	0.93738	0.1287	0.076404	0.065188	0.090626	0.034667	0.73624	0.062523	0.96573	0.96446
Meth__cg24449371__CIB2	0.042218	0.048227	0.70524	0.093968	0.34212	0.066357	0.04668	0.042138	0.043959	0.051572	0.23552	0.044382	0.30098	0.038252	0.052218	0.034743	0.033628	0.057838	0.035396	0.081573	0.14274	0.17464	0.046349	0.066897	0.45108	0.090295	0.081546	0.04804	0.26017	0.10187	0.073337	0.028871	0.0354	0.059712	0.15376	0.074241	0.2243	0.059053	0.097395	0.078463
Meth__cg03959219__TSPYL4	0.084163	0.063144	0.062432	0.054619	0.056932	0.067293	0.08387	0.059897	0.057461	0.066477	0.074981	0.061282	0.59228	0.059318	0.064876	0.05347	0.053472	0.11391	0.056001	0.11536	0.067518	0.054266	0.068496	0.058678	0.06416	0.073916	0.11862	0.058869	0.10283	0.057028	0.10039	0.05494	0.06178	0.047397	0.047934	0.057052	0.14143	0.061551	0.074631	0.0652
Meth__cg04451988__C10orf38	0.2651	0.035638	0.034906	0.037936	0.029623	0.31883	0.052247	0.017351	0.031927	0.037607	0.030505	0.047006	0.15023	0.031889	0.041725	0.036418	0.029806	0.059099	0.04097	0.83954	0.41656	0.32813	0.033861	0.04486	0.11734	0.063575	0.068908	0.035207	0.74858	0.041012	0.073262	0.035735	0.033022	0.041173	0.029747	0.33554	0.050889	0.039311	0.038027	0.039363
Meth__cg19326876__ATP10A	0.075105	0.39586	0.92511	0.6768	0.64617	0.92422	0.16164	0.531	0.10144	0.15412	0.42273	0.050346	0.24828	0.26199	0.10292	0.56987	0.15598	0.16521	0.041021	0.92499	0.92184	0.13557	0.56219	0.25276	0.44042	0.87584	0.081671	0.56753	0.87249	0.45478	0.15692	0.038537	0.36495	0.2327	0.030015	0.032235	0.077351	0.65121	0.15746	0.48111
Meth__cg05922972__TSPAN3	0.035155	0.042797	0.17799	0.042105	0.028965	0.047341	0.046213	0.045611	0.060789	0.050935	0.041836	0.041003	0.071043	0.044609	0.040079	0.030367	0.034028	0.082556	0.025405	0.040859	0.048328	0.078263	0.047792	0.055429	0.10553	0.069773	0.087642	0.036619	0.13632	0.042966	0.053681	0.030643	0.029178	0.034433	0.04054	0.034103	0.067262	0.037981	0.036393	0.034771
Meth__cg16652259__DLX1	0.80576	0.071001	0.082154	0.11651	0.042321	0.94435	0.025148	0.082362	0.073501	0.07976	0.090017	0.164	0.57026	0.036538	0.077655	0.75286	0.050809	0.081784	0.03282	0.036225	0.24971	0.1169	0.065223	0.94228	0.88165	0.058792	0.086878	0.51676	0.075044	0.093424	0.15243	0.28526	0.067962	0.043117	0.049194	0.23883	0.0956	0.62267	0.63064	0.91683
Meth__cg05722552__NLGN1	0.077235	0.062436	0.86177	0.25377	0.29756	0.4849	0.13703	0.79152	0.085366	0.080921	0.17772	0.23223	0.6003	0.13934	0.066834	0.073643	0.044657	0.054617	0.072177	0.07149	0.17325	0.81502	0.079528	0.51795	0.082728	0.075348	0.086839	0.084046	0.54056	0.043346	0.14586	0.050413	0.060362	0.10112	0.73828	0.064076	0.13204	0.11576	0.38554	0.75785
Meth__cg17834752__KCNK9	0.92358	0.031918	0.14769	0.15411	0.95324	0.93431	0.16544	0.17107	0.3092	0.93626	0.9392	0.49097	0.69221	0.89259	0.30242	0.034774	0.041699	0.14859	0.088447	0.94218	0.78095	0.50213	0.074818	0.71079	0.90546	0.90962	0.26251	0.13134	0.93128	0.14627	0.064786	0.032203	0.03495	0.2715	0.028281	0.73673	0.57817	0.62605	0.51254	0.58975
Meth__cg17769238__H19	0.5687	0.056374	0.058196	0.56026	0.68583	0.058641	0.49863	0.0857	0.044526	0.056429	0.2829	0.91749	0.08813	0.042394	0.05686	0.048337	0.062036	0.080226	0.061436	0.045616	0.65488	0.2905	0.056617	0.3676	0.65721	0.064009	0.10131	0.052291	0.10529	0.060003	0.083783	0.04748	0.12101	0.068767	0.10757	0.52315	0.10133	0.89238	0.077552	0.092923
Meth__cg14913925__DKFZp727G131	0.089112	0.063094	0.25825	0.30663	0.061637	0.25035	0.139	0.11373	0.096056	0.065856	0.21571	0.29879	0.47305	0.059942	0.065597	0.046516	0.043833	0.13111	0.063443	0.47521	0.28069	0.061428	0.060909	0.14504	0.83104	0.15073	0.10626	0.059122	0.93213	0.7822	0.17018	0.049904	0.25388	0.062083	0.065784	0.45553	0.13228	0.11405	0.090224	0.19307
Meth__cg08132931__ADD2	0.57405	0.041512	0.39783	0.038083	0.61366	0.70325	0.039897	0.060746	0.038432	0.055316	0.076793	0.063322	0.61927	0.35167	0.046242	0.047636	0.041958	0.064777	0.062246	0.66354	0.55288	0.09088	0.075227	0.62142	0.39222	0.40567	0.10175	0.045637	0.79733	0.073662	0.065307	0.038033	0.03305	0.036807	0.67471	0.27854	0.29422	0.45561	0.62045	0.66157
Meth__cg23918047__ARHGDIA	0.0805	0.080444	0.19936	0.228	0.048334	0.41681	0.084957	0.055941	0.086743	0.3181	0.050184	0.89638	0.18314	0.36674	0.1395	0.11316	0.057127	0.143	0.048025	0.19508	0.077102	0.1653	0.23104	0.38138	0.070739	0.34427	0.25006	0.065432	0.12769	0.21542	0.16436	0.043815	0.068906	0.058328	0.10345	0.07658	0.12806	0.54584	0.069776	0.050827
Meth__cg03700462__HOXA1	0.95275	0.015658	0.59155	0.64649	0.40793	0.81138	0.017078	0.036591	0.054553	0.20787	0.019079	0.020412	0.9121	0.37361	0.35289	0.012428	0.016757	0.24016	0.015259	0.016337	0.023292	0.50746	0.019178	0.94136	0.82178	0.43747	0.06716	0.021541	0.76009	0.015272	0.060829	0.022495	0.015384	0.019508	0.42473	0.93461	0.66462	0.94285	0.68342	0.88521
Meth__cg11226328__EPB41	0.017257	0.01485	0.044922	0.046268	0.16931	0.026013	0.019858	0.014873	0.014841	0.11594	0.016469	0.023315	0.036008	0.015172	0.016896	0.028107	0.039486	0.028068	0.031555	0.038769	0.026875	0.026743	0.032457	0.019961	0.062059	0.032466	0.026021	0.024227	0.03998	0.032171	0.031025	0.02464	0.014963	0.018178	0.026181	0.015481	0.039994	0.02713	0.030474	0.026251
Meth__cg09351859__PARP8	0.10579	0.090519	0.095971	0.5013	0.41882	0.10527	0.075979	0.41797	0.08363	0.10061	0.10677	0.1286	0.15993	0.063706	0.11018	0.21349	0.09931	0.12556	0.064154	0.75058	0.71697	0.13637	0.10399	0.081267	0.47448	0.086571	0.12385	0.075108	0.44294	0.21563	0.10225	0.075216	0.063255	0.06034	0.087521	0.64062	0.15201	0.084198	0.37095	0.686
Meth__cg19257550__CA9	0.090458	0.1443	0.87251	0.89247	0.94201	0.45996	0.14604	0.89598	0.029667	0.96146	0.11819	0.57403	0.27787	0.053894	0.036555	0.072209	0.54327	0.075462	0.03547	0.44593	0.44319	0.96629	0.20083	0.2018	0.27067	0.61111	0.16722	0.25846	0.13708	0.035034	0.4319	0.97798	0.063335	0.032641	0.48655	0.88941	0.26254	0.82972	0.63365	0.89791
Meth__cg02723533__CCND1	0.015932	0.026104	0.6518	0.51424	0.98462	0.026745	0.94742	0.79339	0.98617	0.77529	0.98443	0.98863	0.93881	0.062791	0.94224	0.98802	0.98918	0.97175	0.98434	0.1761	0.15033	0.25454	0.98491	0.42618	0.044692	0.3249	0.099099	0.98554	0.086387	0.98654	0.073504	0.9629	0.99205	0.98104	0.49212	0.044368	0.13932	0.091317	0.45041	0.020733
Meth__cg09573435__SEMA6A	0.040111	0.041903	0.048487	0.029155	0.036231	0.04326	0.040468	0.058695	0.038078	0.045024	0.045264	0.054797	0.18362	0.034935	0.048845	0.052879	0.034162	0.08711	0.037728	0.043595	0.045805	0.06796	0.044967	0.053126	0.51144	0.054874	0.068871	0.046039	0.13176	0.054039	0.056822	0.038182	0.033393	0.19618	0.029428	0.0317	0.11444	0.049335	0.04557	0.044505
EA_G__EDARADD	6.0612	6.1693	6.7034	7.3104	5.2139	5.4741	5.341	4.8861	5.7205	5.9031	5.6679	7.1277	4.9895	6.2303	9.7576	5.308	5.2763	4.9989	5.3651	6.5377	6.8792	6.7378	5.8785	7.3308	4.8031	6.4493	7.5426	5.5491	6.4147	5.7907	6.3641	5.0378	6.1074	5.3734	4.704	8.6739	7.0946	6.762	6.6416	5.3495
Meth__cg04195127__WFDC1	0.081364	0.060436	0.62937	0.75313	0.039273	0.36285	0.18084	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.056954	0.031148	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.7235	0.062592	0.28567	0.14335	0.027295	0.028976	0.03284	0.49539	0.08684	0.074656	0.92969	0.08101	0.06488
EA_G__REPS2	6.5275	6.2241	7.1806	7.7358	4.5458	8.1946	5.5475	6.6843	6.0354	8.1252	6.6802	5.4823	7.2127	6.5473	7.2935	8.2511	4.7054	7.2418	5.2193	6.3946	6.8378	8.1829	4.8785	6.7219	5.5902	7.2359	9.1659	4.8798	6.6638	7.7952	6.8168	5.0851	6.4284	5.6297	5.5005	7.4447	7.3572	8.9063	6.1953	7.4236
Meth__cg24797830__COPS6	0.061261	0.048776	0.042513	0.06378	0.058214	0.063651	0.11191	0.31455	0.030179	0.047918	0.057464	0.25246	0.10317	0.03252	0.051572	0.03915	0.055397	0.10626	0.028622	0.035421	0.06096	0.051139	0.073975	0.035433	0.094399	0.083899	0.18454	0.049779	0.13402	0.075791	0.08604	0.048128	0.049664	0.043618	0.049612	0.027979	0.15007	0.070437	0.053903	0.039097
Meth__cg11400333__MGC33486	0.065965	0.04302	0.45569	0.058885	0.2758	0.41465	0.33516	0.24618	0.058689	0.047049	0.084294	0.099443	0.31316	0.040897	0.071531	0.10405	0.066271	0.086461	0.05712	0.59201	0.51235	0.037713	0.051732	0.20095	0.64432	0.17071	0.072002	0.045129	0.83763	0.22034	0.14143	0.039502	0.052292	0.044845	0.045176	0.13106	0.0561	0.03738	0.054691	0.054054
