Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__RDX	6.2849	7.0989	8.185	5.5424	9.8431	4.669	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	7.49	6.8925	7.3649	7.5288	7.2916	8.6552	8.7689	7.5706	7.8273	6.2957	6.3962	5.5619	7.7306	7.8101	6.6603	7.7876	6.9522	7.0507	7.4451	8.1581	6.8784	7.3748
SNP__TCAP	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
U133A__CLIC3	4.5666	8.3548	7.3076	6.491	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.3005	3.2852	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	3.6152	3.714	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	8.2999	4.2879	9.4402	9.412	5.9785	6.9891
U133A__RAB31	6.2413	8.0673	8.3752	5.1431	8.3412	5.7159	8.1732	6.3882	5.2803	6.3372	7.6547	6.0256	7.7825	5.7421	7.6507	9.5565	6.5396	8.4846	8.4498	8.1669	9.649	8.3981	8.3539	8.6618	5.3344	8.156	9.8536	8.2197	8.2362	6.1315	5.4669	6.4993	7.2702	5.4727	8.7646
U133A__MYL9	4.7297	4.7978	8.5122	4.3871	9.1832	8.8391	8.4341	4.0346	5.7648	9.6218	6.0583	4.625	4.5724	4.813	9.5538	8.1157	4.8778	9.6227	4.8854	4.7024	8.4701	7.1009	4.6393	6.8697	4.2936	4.5311	8.308	6.9483	4.9714	5.1012	4.7852	7.4332	7.2213	4.811	4.1039
U133A__IFITM3	8.4091	10.0146	9.7585	6.7167	10.6016	9.229	11.5006	11.4092	5.8711	11.2889	9.9326	10.9547	11.2264	10.0473	10.7809	9.3056	11.5373	10.4908	8.4582	9.9587	11.2401	10.0301	8.0254	9.296	7.2387	8.8782	8.5192	10.2196	10.8664	10.4517	5.3276	7.5005	10.6263	6.3289	7.5159
U133A__LMO4	7.4737	7.1325	7.3624	8.5532	9.7098	5.7002	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.6279	7.5364	7.9322	9.2733	7.7056	6.1979	8.918	6.745	6.2862	8.2001	7.5695	8.3962	6.7757	4.2304	6.628
U133A__RWDD1	7.4205	7.7046	8.7215	7.1539	7.8573	7.1267	6.7122	7.0839	7.2993	7.7228	7.3589	8.2412	8.0047	11.1379	8.4297	7.6919	7.4456	7.9971	8.4697	7.1268	8.1803	8.3264	7.9228	8.0948	8.1495	7.8762	8.1894	7.0984	8.5174	7.9832	8.9298	7.2329	7.6671	5.5182	7.5395
U133A__FTL	9.9572	7.7744	11.2056	10.0591	10.2013	8.6878	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	10.2633	11.4905	9.5794	9.595	8.687	7.3449	12.0038	10.5268	11.4457	9.9193	10.7519	8.3996	9.5434	9.0406	8.4759
SNP__PNMT	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
U133A__XIST	7.4954	9.2012	4.4356	3.8785	3.9121	4.3337	4.6098	8.5036	7.7232	4.3864	3.9876	4.0078	3.9	4.7839	7.027	8.1843	7.4679	4.8628	4.5531	7.1401	7.8189	4.3492	4.1485	7.8787	6.4632	7.1041	4.9547	3.8857	6.9101	3.7305	7.8729	4.508	8.1491	7.1912	4.174
U133A__RND3	9.2212	8.0358	9.2186	6.583	9.5701	6.3813	10.1356	7.1855	4.6386	8.8115	8.5677	9.8172	9.7581	10.8218	9.5237	9.8118	8.7922	10.6323	8.3719	7.8108	9.4195	9.0001	6.4467	7.7819	9.1513	7.8503	8.2474	8.9026	7.7138	9.437	9.2065	7.8362	7.1121	5.8681	5.3049
U133A__LGALS1	9.2382	7.7525	11.1622	5.8446	11.9757	12.336	12.1952	11.1399	10.6651	11.5613	8.1987	9.9206	10.3303	5.0472	11.7356	11.486	11.2154	12.9455	7.8464	8.893	12.5884	11.6327	5.2613	11.3986	10.2053	8.8885	12.472	11.6862	11.8188	9.8542	9.5798	11.0411	10.1593	6.0697	8.6626
SNP__PERLD1	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	-0.144	0.294	2.132	-0.034	0.021
