Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	0	3.3876	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	0	2.3343	4.6813	0	0	0.64866	1.9772	1.4403
Meth__cg19123107__C9orf7	0.061645	0.05413	0.096416	0.051142	0.25337	0.056468	0.10374	0.051023	0.38688	0.15531	0.21605	0.033673	0.21343	0.077856	0.098383	0.24419	0.042191	0.051523	0.056891	0.045087	0.2615	0.050667	0.14758	0.074956	0.079644	0.050669	0.044489	0.088986	0.11998	0.072717	0.066743
Meth__cg20011794__KCTD17	0.059768	0.057368	0.083727	0.033313	0.044643	0.054567	0.10359	0.05429	0.050068	0.036823	0.97554	0.03976	0.049411	0.038733	0.10093	0.041219	0.060655	0.055561	0.043887	0.038116	0.072312	0.049823	0.074966	0.091781	0.050566	0.057568	0.059961	0.026844	0.068872	0.062646	0.047605
Meth__cg08804892__TRAK1	0.082364	0.090348	0.10427	0.097829	0.82794	0.1116	0.05529	0.11557	0.77695	0.081284	0.76513	0.051124	0.36642	0.71374	0.19473	0.81278	0.09373	0.11522	0.10108	0.084757	0.11846	0.10479	0.43749	0.13632	0.35805	0.091835	0.36042	0.089379	0.1293	0.32967	0.76252
RS_G16925__AHNAK2__AHNAK2	2.7225	0.32426	0.85377	2.7863	5.6329	5.2479	8.636	4.4501	1.9293	4.1081	4.5002	0.58031	5.196	4.1838	4.2729	5.531	2.8578	2.6507	4.2443	6.7325	4.6099	0.72887	0.4055	0	9.8171	6.7573	4.612	1.6537	2.9451	2.6246	3.0882
RS_G21888__SLC44A4__SLC44A4	10.1997	2.5993	3.2179	3.4584	0.35858	1.975	0.68161	1.6234	1.0694	1.3511	0.95468	8.2946	0.2895	0.70528	5.6633	0.79152	1.3571	1.618	5.8168	4.6087	0.18325	5.3455	5.4773	5.7888	0.4787	1.0129	0.11083	1.277	2.3329	8.7733	7.8269
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	1.1011	8.7973	4.899	3.6758	0.55634	5.7246	5.4771	8.3731	1.2346	0	0	0.16809	3.2906	0	0.15241	0	1.528	1.3437	1.671	4.1672	3.3623	0.96833	0	0
Meth__cg03856723__PRKACA	0.032447	0.65268	0.77168	0.45647	0.15269	0.50155	0.10235	0.3254	0.02183	0.77696	0.64144	0.4814	0.11164	0.031434	0.23974	0.16736	0.65185	0.44084	0.70573	0.31859	0.18741	0.59833	0.36636	0.64016	0.027388	0.028534	0.091289	0.11185	0.034742	0.30181	0.22329
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	4.5123	3.2536	0	0	0	0	0	1.1027	0.83238	0	6.4478	0	0.45042	0	0	0	0	0	1.7475	0	2.7222	0.6426
Meth__cg08278554__C15orf48	0.13436	0.067825	0.18901	0.1068	0.66463	0.097548	0.079726	0.13213	0.2026	0.21694	0.13956	0.099415	0.11177	0.13967	0.19236	0.11736	0.11324	0.10687	0.10951	0.11735	0.17324	0.13395	0.42025	0.11251	0.065369	0.055095	0.093236	0.33122	0.15324	0.11851	0.10831
Meth__cg15321211__HNRPF	0.11341	0.11365	0.093893	0.12283	0.18765	0.16719	0.06077	0.58098	0.13109	0.74696	0.20806	0.067259	0.12905	0.065283	0.12856	0.58557	0.089875	0.076433	0.47576	0.10361	0.18355	0.10691	0.13825	0.099764	0.085665	0.10547	0.11551	0.12386	0.40103	0.14123	0.13374
Meth__cg23002761__FBLIM1	0.14246	0.87155	0.48758	0.54211	0.037717	0.38172	0.68325	0.63374	0.05524	0.096801	0.71362	0.59995	0.12471	0.05134	0.096554	0.022967	0.60053	0.4796	0.43121	0.12334	0.55076	0.96405	0.84412	0.4766	0.6225	0.027286	0.96406	0.97153	0.10773	0.96004	0.95284
Meth__cg17793621__ATP10A	0.084717	0.097461	0.94765	0.059434	0.80384	0.93564	0.34835	0.092305	0.095668	0.028191	0.26242	0.35796	0.10122	0.078653	0.15849	0.045524	0.92545	0.91576	0.090471	0.040004	0.25316	0.6293	0.83827	0.10726	0.066525	0.36951	0.047073	0.040707	0.11748	0.04993	0.13219
Meth__cg25802424__IRS2	0.043283	0.047576	0.043541	0.027299	0.029791	0.049234	0.1279	0.022605	0.044111	0.033331	0.04847	0.01974	0.030559	0.033917	0.080031	0.6298	0.035982	0.061895	0.027226	0.029713	0.10307	0.041487	0.094081	0.11017	0.031262	0.033797	0.018557	0.020757	0.044618	0.048736	0.028528
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	7.7127	0	0.67662	0	0	0	0	0.75343	0	1.9939	2.7482	1.1297	9.2795	0	12.9283	1.2589	9.6874	0	0	16.6899	11.1134	0	14.5809	5.6558
Meth__cg09440340__C1orf161	0.022491	0.013458	0.021681	0.062179	0.088401	0.068353	0.9465	0.060992	0.7782	0.014843	0.034168	0.020265	0.12442	0.5817	0.027292	0.026781	0.019244	0.040574	0.39264	0.021417	0.81055	0.02872	0.074397	0.046144	0.43185	0.63033	0.02574	0.10635	0.11755	0.043318	0.14199
Meth__cg07780118__AR	0.56814	0.069545	0.065229	0.15212	0.063224	0.057916	0.89651	0.084843	0.9078	0.90936	0.067031	0.053236	0.84324	0.63073	0.28426	0.057485	0.058025	0.050504	0.57915	0.60641	0.83944	0.048601	0.4298	0.085923	0.58034	0.14375	0.057823	0.73172	0.080478	0.38091	0.056126
Meth__cg26336164__FEM1A	0.040211	0.032944	0.036571	0.023017	0.025571	0.047094	0.030297	0.037017	0.042941	0.0391	0.04935	0.3787	0.032488	0.023507	0.099555	0.018237	0.038261	0.057352	0.024659	0.018587	0.06859	0.031935	0.097179	0.076489	0.020349	0.018377	0.026142	0.015206	0.15842	0.0295	0.026991
Meth__cg25173010__TXNIP	0.064127	0.052564	0.15058	0.043748	0.10269	0.064021	0.065867	0.082891	0.089496	0.16712	0.094139	0.033037	0.074769	0.080199	0.17526	0.05574	0.035088	0.070078	0.072198	0.04789	0.11551	0.11619	0.14449	0.088625	0.07335	0.10159	0.054608	0.053487	0.10545	0.038146	0.055058
Meth__cg22467534__UNC13D	0.028104	0.024009	0.045115	0.033378	0.85623	0.026172	0.022761	0.03249	0.28489	0.074543	0.05725	0.027266	0.026543	0.73111	0.048273	0.38167	0.034283	0.03045	0.26288	0.02613	0.053993	0.098107	0.046201	0.0431	0.036845	0.21106	0.022476	0.018774	0.042973	0.03516	0.039739
Meth__cg11176095__GPR126	0.042486	0.045632	0.050816	0.069097	0.030595	0.058334	0.042177	0.082013	0.03206	0.04607	0.10525	0.050563	0.060717	0.026962	0.092339	0.10639	0.030682	0.03291	0.60459	0.1201	0.084595	0.038413	0.080958	0.071633	0.3645	0.035957	0.052034	0.0436	0.079016	0.044189	0.074892
Meth__cg17150465__SCRIB	0.034725	0.021292	0.033943	0.022101	0.0258	0.038282	0.064524	0.032998	0.032794	0.016586	0.091965	0.023003	0.025744	0.027354	0.080899	0.022187	0.034032	0.03642	0.03302	0.021144	0.058742	0.034153	0.067222	0.11292	0.030212	0.022499	0.019593	0.029193	0.18147	0.032607	0.02765
Meth__cg24085207__FLJ32065	0.037443	0.019615	0.089346	0.035529	0.45836	0.040036	0.028684	0.040406	0.037523	0.15214	0.14323	0.050209	0.81289	0.081332	0.10212	0.031503	0.019926	0.025691	0.039828	0.046186	0.058004	0.027901	0.054471	0.058713	0.055118	0.029847	0.027184	0.036967	0.091033	0.038544	0.028508
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	0.31015	10.2082	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	0	4.227	6.4227	1.9942	0.17025	0	1.3084	2.2724
RS_G3853__C11orf41__C11orf41	0.10845	0.061167	0.16984	0.13559	1.3798	0	4.781	0.21235	5.1998	4.1824	1.2452	0.089237	1.3581	2.648	2.5653	6.7553	0.80288	0.11354	0	4.6097	0.14799	0	0	0.11867	2.9811	0.64591	0.3339	0.51858	0	0.27734	0.58324
Meth__cg18345369__PRSS22	0.032726	0.034802	0.032551	0.027661	0.6492	0.036381	0.030451	0.034181	0.052854	0.021631	0.054597	0.028297	0.028853	0.11819	0.064471	0.10441	0.033502	0.040577	0.042888	0.035459	0.94603	0.037314	0.12171	0.025288	0.10469	0.039087	0.041775	0.020294	0.047668	0.030151	0.034786
Meth__cg06952236__RASGRP1	0.045912	0.028653	0.062049	0.058521	0.052579	0.045622	0.034723	0.057618	0.039315	0.036958	0.10128	0.034401	0.056601	0.060256	0.080635	0.051868	0.047968	0.033446	0.083903	0.046892	0.082157	0.055249	0.05833	0.080435	0.039478	0.051613	0.038335	0.054398	0.12013	0.052235	0.051401
Meth__cg02416716__ZNF215	0.91816	0.023036	0.64033	0.28786	0.57204	0.79937	0.85627	0.032081	0.032959	0.083002	0.52098	0.04719	0.030464	0.027014	0.10126	0.024947	0.31384	0.28419	0.12859	0.44298	0.10415	0.39083	0.59773	0.08998	0.024963	0.022017	0.02818	0.67671	0.04453	0.18663	0.31316
Meth__cg15201877__PTGER3	0.065032	0.048954	0.57183	0.056042	0.85711	0.048288	0.33811	0.36802	0.9376	0.51732	0.49883	0.66739	0.55059	0.20214	0.18388	0.43361	0.60822	0.10259	0.35812	0.5666	0.88959	0.16044	0.55073	0.072141	0.47517	0.44755	0.045671	0.89585	0.048413	0.078791	0.50655
Meth__cg02659086__GSTP1	0.052051	0.95436	0.97224	0.13778	0.036788	0.96629	0.047196	0.90226	0.052811	0.9677	0.94578	0.83981	0.042404	0.039288	0.63693	0.029406	0.97373	0.85325	0.5216	0.75706	0.33856	0.96443	0.94974	0.85545	0.029615	0.031028	0.41521	0.97222	0.11642	0.4076	0.31387
RS_G5811__C3__C3	7.1207	1.6685	0.69203	2.2919	1.3461	1.109	9.5755	1.3027	11.5641	9.6169	3.7993	0.8653	8.5745	3.1161	10.7546	3.071	1.0739	0.71163	3.2606	5.4593	1.766	0.54314	1.4735	0.3753	3.3306	13.2011	3.4851	3.5917	3.7685	3.2756	2.3797
Meth__cg10158181__GRK4	0.040214	0.067407	0.035458	0.027198	0.034509	0.043769	0.2941	0.03983	0.039921	0.02576	0.063399	0.023576	0.049896	0.030369	0.042223	0.030129	0.035537	0.067131	0.024876	0.031096	0.1561	0.11813	0.10478	0.1227	0.025343	0.025994	0.026934	0.037978	0.10813	0.029983	0.033085
Meth__cg11272332__ZDHHC15	0.47773	0.035567	0.86806	0.059262	0.047065	0.94566	0.97323	0.19834	0.84716	0.14153	0.91414	0.64686	0.44716	0.35775	0.08317	0.031767	0.91234	0.71781	0.46537	0.44844	0.71055	0.22904	0.84791	0.26479	0.038254	0.11028	0.038024	0.6551	0.16672	0.14852	0.63717
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	7.6848	0.16774	6.9275	6.6173	8.08	1.1371	11.3032	0.69041	4.0757	7.3671	8.1143	6.6208	7.5349	6.2993	7.2189	7.299	9.0774	0.325	0	6.652	0	1.0173	6.7253	7.8146
Meth__cg07864632__TRIP12	0.048921	0.40984	0.079124	0.089538	0.046805	0.63421	0.068828	0.75428	0.048793	0.094144	0.15128	0.42627	0.053146	0.037898	0.088566	0.034536	0.27101	0.082685	0.26105	0.48553	0.38403	0.14376	0.10781	0.52663	0.043776	0.038172	0.098928	0.14466	0.099951	0.13061	0.20679
RS_G4607__VAX2__VAX2	1.4432	1.8844	3.974	3.8759	3.4125	0.22902	1.6805	2.1684	5.0317	4.534	4.1031	0	4.9933	2.1951	3.6814	2.863	5.0721	4.0924	4.878	6.8324	2.8868	3.6965	0	0	4.5437	4.884	2.8086	4.6918	4.6119	4.4224	3.2489
Meth__cg26619317__CNN3	0.061306	0.17624	0.12404	0.070568	0.034924	0.085185	0.11251	0.070503	0.086756	0.094087	0.10238	0.035552	0.03844	0.05748	0.12682	0.033487	0.95627	0.55772	0.034251	0.037382	0.10797	0.086033	0.2751	0.13681	0.031426	0.036168	0.041854	0.030139	0.12826	0.10226	0.76444
Meth__cg13812587__TMEM15	0.021888	0.02041	0.035598	0.018394	0.13909	0.023018	0.025876	0.033581	0.17319	0.12611	0.061947	0.013501	0.035624	0.027545	0.027425	0.083212	0.088824	0.02255	0.056354	0.089342	0.93648	0.035698	0.070668	0.048905	0.025296	0.051992	0.022901	0.025386	0.044408	0.027317	0.021766
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	14.5477	1.9333	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	3.1878	1.9663	2.5271	2.6641	1.4334	3.9827	11.9576	13.9006
Meth__cg02532648__BTG3	0.021159	0.016207	0.030196	0.020292	0.024968	0.036768	0.038099	0.015645	0.025724	0.02025	0.036118	0.0258	0.024366	0.018877	0.061175	0.020824	0.06802	0.11413	0.023226	0.04102	0.059141	0.03387	0.054337	0.11532	0.018438	0.012708	0.021289	0.024477	0.94716	0.043038	0.025222
Meth__cg15447479__SMO	0.037511	0.037473	0.044769	0.88615	0.041243	0.73816	0.038704	0.041266	0.037067	0.077548	0.87146	0.26508	0.033893	0.035529	0.052754	0.028739	0.97156	0.95926	0.19059	0.03088	0.71953	0.054877	0.58927	0.067262	0.030478	0.03379	0.03819	0.68982	0.063885	0.18123	0.56937
RS_G6259__MMP28__MMP28	0	0	0	1.6614	0	0	0	0.39913	0	6.8926	1.2407	0	0.21236	0.10499	3.6345	0.4363	0	0.62521	1.5814	1.8646	0	1.1152	0.35892	0	0	3.2915	2.044	0	2.4898	0.82317	0.15459
Meth__cg09479015__KIRREL2	0.54909	0.071672	0.9636	0.81224	0.031431	0.95752	0.93964	0.95909	0.0617	0.47166	0.9347	0.22125	0.25654	0.064565	0.18923	0.19374	0.95825	0.95868	0.050253	0.28474	0.87813	0.91586	0.92419	0.15898	0.053487	0.042169	0.039868	0.73594	0.88674	0.59731	0.92828
Meth__cg22385764__ASB8	0.49647	0.041256	0.072231	0.050955	0.050392	0.039274	0.043462	0.077239	0.10488	0.066422	0.40297	0.026359	0.067044	0.035499	0.13568	0.051764	0.033083	0.053638	0.90323	0.044772	0.095068	0.034967	0.0762	0.048723	0.048439	0.13734	0.048468	0.36541	0.26932	0.064382	0.053297
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	2.9942	6.2663	6.2607	5.9989	2.1991	6.9743	7.5755	6.7168	7.9861	5.7583	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.4578	10.7033	6.3785	4.8348	6.5854	3.1525	3.7385	3.6318
Meth__cg07914959__BACH2	0.085143	0.041838	0.039399	0.044817	0.064461	0.19227	0.43037	0.036117	0.049536	0.084316	0.19295	0.059964	0.041267	0.051626	0.074857	0.023577	0.040942	0.056775	0.047196	0.02933	0.085225	0.039893	0.53486	0.049045	0.040482	0.023907	0.035552	0.039836	0.11377	0.053128	0.050047
Meth__cg08077673__MEST	0.95817	0.048213	0.20735	0.042728	0.94893	0.52411	0.54511	0.043627	0.95779	0.53477	0.4909	0.029607	0.96253	0.066265	0.8485	0.80857	0.037336	0.051716	0.57478	0.070173	0.45657	0.062344	0.094008	0.056973	0.92465	0.95445	0.033123	0.93502	0.92845	0.038431	0.043868
Meth__cg09226684__KLK10	0.57287	0.087975	0.2924	0.10584	0.38722	0.10052	0.17463	0.10219	0.86567	0.72887	0.12721	0.13035	0.12659	0.27874	0.10526	0.2206	0.095399	0.12513	0.63634	0.36703	0.29566	0.11556	0.56308	0.076601	0.11019	0.11508	0.11836	0.11587	0.11765	0.1027	0.086381
Meth__cg23582408__EEF1A2	0.028026	0.019679	0.057877	0.017175	0.52197	0.026633	0.17694	0.029857	0.53601	0.29046	0.040594	0.02514	0.1007	0.02378	0.09362	0.36933	0.022963	0.02437	0.043828	0.024648	0.58233	0.024613	0.091762	0.10591	0.045674	0.02283	0.021821	0.27368	0.066046	0.021085	0.02731
Meth__cg10301990__UBXD6	0.057272	0.053883	0.19846	0.11042	0.30804	0.073521	0.16961	0.096185	0.20936	0.23339	0.20572	0.1484	0.10314	0.77876	0.18556	0.070806	0.097011	0.07035	0.086385	0.26304	0.66116	0.36199	0.08766	0.061687	0.30287	0.077175	0.084485	0.10174	0.08961	0.063254	0.053909
Meth__cg23696886__PDLIM2	0.051966	0.039249	0.26107	0.13832	0.9735	0.5155	0.032557	0.055546	0.095347	0.097972	0.051388	0.6537	0.91312	0.6115	0.17653	0.87224	0.040884	0.10372	0.1191	0.31686	0.051358	0.099373	0.64662	0.094395	0.97512	0.025989	0.077485	0.6598	0.068155	0.2086	0.32796
RS_G7745__IFI44L__IFI44L	0.23732	0	0	4.5645	0.60514	0	0.99127	2.0578	9.2152	3.916	4.217	4.1907	0.47385	1.9555	10.2427	1.0245	0	0.60717	0.55766	1.1744	1.9467	0	0	0	0	7.3195	7.3714	0.41582	0	0	0
Meth__cg24633648__MTAC2D1	0.075676	0.040389	0.06376	0.11797	0.69412	0.094272	0.04142	0.083461	0.1257	0.070099	0.11696	0.053223	0.045589	0.35537	0.16957	0.31406	0.047444	0.066361	0.05045	0.060225	0.73002	0.066655	0.10824	0.072547	0.07286	0.055271	0.063783	0.08184	0.11519	0.06952	0.060958
Meth__cg20353465__ABHD1	0.061278	0.055752	0.57764	0.064113	0.91169	0.071832	0.067365	0.06091	0.16949	0.1466	0.62978	0.038321	0.47702	0.18695	0.11046	0.07002	0.044507	0.056983	0.064846	0.050428	0.71759	0.089287	0.14539	0.17314	0.072143	0.29704	0.057168	0.048107	0.11635	0.061381	0.080226
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	5.2883	6.5749	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	0.22595	0.60314	1.5779	1.4391	0.050499	0.13512	4.8458	6.9805
Meth__cg17918089__SETDB1	0.014242	0.014435	0.024177	0.01544	0.01893	0.020985	0.014114	0.021878	0.028749	0.031799	0.041419	0.020925	0.021142	0.017756	0.031101	0.019561	0.013378	0.01913	0.039132	0.025723	0.038391	0.029852	0.036255	0.027739	0.024618	0.02915	0.028673	0.017813	0.020268	0.016747	0.019877
Meth__cg21298523__NUDT9	0.12382	0.063146	0.057798	0.0373	0.044429	0.048625	0.48951	0.088639	0.046311	0.49872	0.10542	0.044714	0.051721	0.04812	0.18475	0.078738	0.084196	0.13441	0.061821	0.085665	0.1114	0.1415	0.091292	0.083726	0.035919	0.045295	0.044183	0.057399	0.10251	0.10387	0.074881
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	4.6246	9.3298	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	2.4211	0.44083	6.4009	0	0	0	0.88563	5.9345	7.5377	0.59359	4.5095	1.2093	0.41488
Meth__cg10294836__DYRK1B	0.068206	0.072411	0.089036	0.11519	0.068847	0.0728	0.063415	0.088669	0.5352	0.44593	0.63623	0.059585	0.075541	0.5361	0.59604	0.93363	0.088167	0.078043	0.073339	0.072356	0.10307	0.088274	0.11697	0.13582	0.080727	0.90781	0.91942	0.084668	0.13494	0.59892	0.38215
Meth__cg06816106__SPDY1	0.062178	0.35728	0.049432	0.038993	0.50374	0.52731	0.94323	0.049243	0.50601	0.05957	0.65682	0.92734	0.033891	0.043542	0.088035	0.63764	0.052957	0.050008	0.29616	0.039297	0.87754	0.63851	0.92679	0.066452	0.058762	0.047409	0.055058	0.58384	0.092049	0.90264	0.92739
Meth__cg10574499__UNQ2446	0.080494	0.063905	0.86733	0.10141	0.87498	0.06002	0.071548	0.40517	0.83527	0.9072	0.82699	0.44862	0.13028	0.60758	0.098887	0.86099	0.21042	0.11561	0.060454	0.80447	0.46028	0.2012	0.20596	0.11782	0.49026	0.097717	0.1171	0.15228	0.38257	0.83868	0.79041
Meth__cg06111454__NFATC4	0.031008	0.91534	0.95181	0.89464	0.03078	0.95067	0.63793	0.7664	0.68037	0.95046	0.9205	0.94885	0.62251	0.9343	0.56835	0.032155	0.89111	0.95279	0.045378	0.0278	0.66808	0.96337	0.79922	0.83139	0.030141	0.028271	0.705	0.94151	0.067546	0.61776	0.92578
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	2.8689	0.19396	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.7276	0	0	5.413	3.5968	3.7252	4.8808	6.2929
Meth__cg08100497__NRG2	0.082239	0.10203	0.076843	0.058212	0.069965	0.12659	0.86455	0.06516	0.093373	0.049083	0.097177	0.085968	0.084077	0.09021	0.11653	0.055714	0.072834	0.080479	0.10524	0.080053	0.096696	0.09035	0.1278	0.12105	0.088212	0.073852	0.072947	0.13705	0.1061	0.1357	0.085384
Meth__cg13765785__SCN3B	0.89892	0.12824	0.61181	0.098868	0.82963	0.82203	0.53261	0.121	0.73936	0.17129	0.17427	0.091211	0.11728	0.45274	0.1343	0.25719	0.87833	0.88038	0.40906	0.096199	0.80561	0.81554	0.49012	0.15432	0.10611	0.12599	0.1155	0.090089	0.5102	0.25977	0.11249
Meth__cg00818693__TTC14	0.046846	0.050201	0.69562	0.036749	0.042307	0.40868	0.12799	0.044588	0.18129	0.036825	0.069172	0.7951	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.43952	0.041879	0.18086	0.049398	0.093109	0.061155	0.044491	0.037534	0.040019	0.037691	0.063503	0.036773	0.042388
Meth__cg21134096__RHEB	0.0591	0.80409	0.25685	0.050213	0.38983	0.59127	0.045855	0.099249	0.04698	0.095693	0.56663	0.058934	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.23865	0.057073	0.090781	0.87607	0.084052	0.61373	0.043105	0.059249	0.042279	0.13086	0.16298	0.059569	0.50062
Meth__cg01869233__C20orf75	0.03273	0.021875	0.071568	0.20221	0.65144	0.16595	0.037006	0.089934	0.2007	0.30119	0.14328	0.033478	0.090444	0.84355	0.088123	0.13321	0.060268	0.2599	0.8811	0.15896	0.053843	0.31982	0.10958	0.04419	0.36938	0.032932	0.033428	0.40993	0.049603	0.13	0.28838
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.05002	0.049315	0.88459	0.048568	0.98124	0.048619	0.95776	0.89548	0.85139	0.063695	0.96099	0.75764	0.70933	0.74376	0.10065	0.04704	0.086473	0.10301	0.57359	0.042971	0.13299	0.055699	0.054876	0.94499	0.080572	0.78281	0.094811	0.20177	0.14567
Meth__cg10387901__MRPS25	0.033595	0.05921	0.031606	0.014773	0.023985	0.032197	0.0304	0.021248	0.036563	0.029077	0.041673	0.017747	0.016904	0.05281	0.17586	0.014267	0.026348	0.054514	0.018186	0.017066	0.041987	0.048631	0.056608	0.031859	0.019924	0.015702	0.022981	0.016807	0.048043	0.026824	0.022334
Meth__cg18630040__PLA2G7	0.56273	0.027183	0.20499	0.027268	0.98021	0.97766	0.049739	0.034051	0.054795	0.034076	0.90862	0.97066	0.52333	0.035396	0.074531	0.41194	0.98758	0.98085	0.11719	0.072602	0.93275	0.97933	0.91843	0.080811	0.025052	0.027284	0.023318	0.96158	0.84633	0.044194	0.04144
Meth__cg16176600__FRK	0.044181	0.036175	0.040952	0.060506	0.1546	0.07307	0.025321	0.050741	0.056023	0.099583	0.052599	0.026039	0.028197	0.042439	0.057048	0.386	0.020193	0.063301	0.92401	0.029029	0.096493	0.036933	0.8219	0.071197	0.21121	0.036135	0.0301	0.70239	0.17272	0.096561	0.037256
Meth__cg00393585__FLJ31659	0.95343	0.055902	0.62407	0.069824	0.07966	0.94402	0.081417	0.14242	0.054598	0.59294	0.94524	0.97513	0.087639	0.056907	0.11318	0.68365	0.055946	0.080844	0.61724	0.072506	0.11131	0.75478	0.091897	0.19383	0.076888	0.036037	0.053524	0.064581	0.87486	0.9595	0.9565
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	0.96387	5.4059	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	0	0.70873	4.6982	7.9681	0	2.6526	0.57635	0
Meth__cg01343729__ZNF688	0.044454	0.034711	0.045827	0.026992	0.040532	0.049447	0.0427	0.042612	0.043152	0.029595	0.078233	0.030348	0.034202	0.04147	0.04124	0.030814	0.044338	0.059417	0.039439	0.042997	0.083293	0.054304	0.063305	0.062373	0.040295	0.035896	0.025627	0.025599	0.08369	0.050445	0.054042
RS_G13093__TM4SF1__TM4SF1	10.4225	8.9741	6.3961	10.5422	10.2741	5.8997	11.4386	7.7572	12.9126	9.4061	10.3038	6.8407	8.7437	10.129	12.1941	10.6962	5.09	6.0437	9.1954	9.319	10.9392	7.3568	10.462	7.2096	10.7158	7.7496	10.4649	9.9612	5.7164	8.242	3.2361
Meth__cg01968178__REEP1	0.035918	0.034781	0.038688	0.032186	0.17988	0.049902	0.1076	0.05595	0.17338	0.06864	0.12855	0.029539	0.099982	0.089925	0.12993	0.047491	0.054623	0.045606	0.072723	0.041694	0.59568	0.038283	0.13097	0.05461	0.037492	0.073046	0.02979	0.080094	0.053427	0.036759	0.038334
Meth__cg15050111__GRHL3	0.058224	0.06183	0.053993	0.044118	0.75841	0.050715	0.032393	0.053835	0.69291	0.031981	0.12237	0.03446	0.27897	0.31746	0.077671	0.44197	0.036401	0.038888	0.046585	0.039733	0.78785	0.053958	0.066621	0.053264	0.20215	0.050591	0.04695	0.044194	0.067298	0.04889	0.04907
Meth__cg00690893__RAB9A	0.70173	0.043269	0.050651	0.052859	0.089211	0.045608	0.1295	0.16813	0.07879	0.070588	0.1249	0.54745	0.060996	0.13982	0.3394	0.045038	0.086579	0.097735	0.54536	0.05855	0.083693	0.46278	0.15706	0.32351	0.036707	0.092952	0.1	0.043358	0.11612	0.38083	0.12457
RS_G1435__LAMP3__LAMP3	0.62064	1.9683	1.0047	1.3769	0.22252	1.1839	5.1333	2.8659	9.5505	5.5942	4.0768	1.8962	4.792	1.4715	6.877	0.97266	1.1293	1.0233	1.7863	2.7514	1.085	0.59349	0.78725	0	3.2642	2.8191	5.5633	4.535	5.5329	0.7314	0.65096
Meth__cg11371394__TGFBRAP1	0.21282	0.29094	0.17489	0.13506	0.07401	0.13518	0.87266	0.095182	0.14945	0.11114	0.11551	0.064398	0.083066	0.10158	0.16772	0.073544	0.16837	0.16078	0.3073	0.10512	0.1181	0.11324	0.33247	0.20006	0.06524	0.071573	0.060078	0.056359	0.15254	0.075212	0.085977
Meth__cg16256504__WNT6	0.021186	0.020227	0.14932	0.10305	0.4707	0.025662	0.031354	0.051071	0.029746	0.050093	0.20476	0.017817	0.022958	0.25353	0.027902	0.050548	0.031664	0.056626	0.35109	0.14201	0.36246	0.062115	0.12848	0.031964	0.05593	0.027539	0.023036	0.15582	0.029198	0.14485	0.23377
