Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg08210616__ZNF502	0.071199	0.83655	0.27249	0.31149	0.8168	0.46471	0.86536	0.079035	0.39156	0.83127	0.63679	0.62838	0.088518	0.082533	0.20359	0.23818	0.071943	0.75719	0.59422	0.25855	0.18191	0.4459	0.53921	0.083609	0.24635	0.069186	0.58191	0.088674	0.19133	0.092692	0.10121	0.15523	0.78034	0.28857	0.38156	0.28897	0.17659
Meth__cg01557297__SLC22A17	0.029478	0.048042	0.02043	0.57069	0.034454	0.011353	0.025227	0.020445	0.024879	0.026033	0.056705	0.03953	0.020349	0.037585	0.024676	0.13441	0.021003	0.02422	0.029557	0.019183	0.029957	0.032419	0.93921	0.026268	0.060867	0.031463	0.050417	0.021816	0.045115	0.028868	0.035557	0.019379	0.026387	0.030241	0.024615	0.02183	0.028634
Meth__cg24599739__DDT	0.55288	0.97456	0.13907	0.031453	0.4202	0.034325	0.97818	0.12049	0.96723	0.028793	0.95969	0.53901	0.37469	0.96726	0.025299	0.26369	0.60455	0.64339	0.96772	0.029468	0.55407	0.39723	0.048058	0.035868	0.055177	0.036279	0.047608	0.042648	0.43616	0.86588	0.020525	0.6929	0.95554	0.018443	0.035451	0.56346	0.95016
Meth__cg16551326__ERF	0.074043	0.06976	0.047699	0.070194	0.079486	0.045365	0.74801	0.071475	0.07655	0.064995	0.077651	0.098462	0.065641	0.065796	0.059959	0.10694	0.075253	0.061304	0.069724	0.067666	0.056107	0.055077	0.11871	0.069635	0.10728	0.060324	0.077079	0.062887	0.10058	0.067541	0.069666	0.051806	0.055866	0.048818	0.070986	0.069484	0.072862
Meth__cg11262815__CACNA1G	0.056209	0.28519	0.08788	0.1288	0.14564	0.061243	0.27805	0.13552	0.053037	0.44398	0.33091	0.26311	0.075125	0.058082	0.03946	0.13449	0.039083	0.37765	0.72037	0.09402	0.055508	0.83005	0.75535	0.075605	0.47601	0.032028	0.39922	0.31836	0.12736	0.036129	0.051841	0.031724	0.26954	0.12301	0.37002	0.21061	0.065138
Meth__cg07611177__LOC91137	0.050362	0.26388	0.036082	0.04992	0.49936	0.078388	0.58482	0.06368	0.070719	0.075976	0.18621	0.047776	0.13651	0.081587	0.26242	0.10044	0.055856	0.39974	0.35949	0.062921	0.07285	0.049064	0.30035	0.069695	0.099744	0.053196	0.45982	0.073982	0.10825	0.045894	0.066021	0.038849	0.1001	0.24253	0.05118	0.054944	0.05642
Meth__cg02661879__FLNC	0.027093	0.065155	0.03428	0.86047	0.9165	0.038033	0.81117	0.029506	0.95046	0.84259	0.90672	0.30645	0.037216	0.9563	0.033364	0.077961	0.022092	0.96026	0.95657	0.37733	0.38911	0.37636	0.10096	0.68195	0.074946	0.50412	0.94053	0.55298	0.053289	0.09066	0.049024	0.035429	0.93835	0.95108	0.054954	0.044405	0.24182
Meth__cg15898840__IGFBP3	0.03062	0.038406	0.020063	0.026767	0.053513	0.13902	0.032258	0.019318	0.067939	0.85913	0.058712	0.72887	0.02423	0.026125	0.038422	0.043459	0.015511	0.90299	0.71196	0.022423	0.019447	0.14952	0.057064	0.88567	0.082194	0.026233	0.80228	0.028154	0.04259	0.030117	0.8161	0.025539	0.86893	0.75182	0.031362	0.042242	0.032715
Meth__cg12005703__HEMK1	0.046387	0.053251	0.03948	0.046833	0.066937	0.063046	0.084505	0.049539	0.072152	0.12179	0.11588	0.057451	0.0547	0.049907	0.053892	0.12883	0.038037	0.068777	0.075291	0.061684	0.0725	0.029099	0.087202	0.065286	0.15057	0.037148	0.078273	0.054355	0.10863	0.038541	0.059562	0.83294	0.06926	0.062797	0.04377	0.040782	0.060187
Meth__cg26908611__MFSD2	0.061099	0.065551	0.048003	0.061391	0.10217	0.045208	0.068933	0.065001	0.057211	0.10597	0.48201	0.053181	0.061458	0.05412	0.065215	0.15355	0.047114	0.53612	0.5195	0.064292	0.12052	0.046577	0.12011	0.068758	0.1048	0.05722	0.1091	0.078659	0.090744	0.055505	0.053549	0.044893	0.069719	0.041563	0.055471	0.079075	0.065259
Meth__cg25766046__ROR2	0.067673	0.58464	0.059433	0.9783	0.56496	0.066035	0.078498	0.62785	0.088808	0.69946	0.66671	0.59906	0.60339	0.064875	0.08094	0.17866	0.10204	0.82514	0.58312	0.45415	0.058291	0.41851	0.94328	0.046652	0.047198	0.12832	0.060775	0.52059	0.25959	0.37691	0.10256	0.029614	0.9838	0.02841	0.046673	0.040112	0.044992
Meth__cg20477318__TIMM23	0.057025	0.0564	0.050666	0.048076	0.060968	0.053307	0.47	0.061137	0.060864	0.059416	0.083444	0.053651	0.057845	0.07594	0.052326	0.14513	0.064221	0.065849	0.059818	0.06919	0.059443	0.059068	0.12513	0.062921	0.097936	0.055039	0.10769	0.062919	0.108	0.044364	0.068026	0.041869	0.079296	0.065123	0.059458	0.071191	0.064622
Meth__cg19734228__DAPK1	0.071775	0.33332	0.19845	0.43517	0.90288	0.082591	0.03846	0.032479	0.83677	0.7755	0.17315	0.42422	0.036508	0.58932	0.031482	0.099833	0.58261	0.60488	0.6733	0.1075	0.20736	0.068408	0.74439	0.28333	0.094099	0.50759	0.17	0.55014	0.10997	0.031871	0.18585	0.25237	0.24067	0.44707	0.037416	0.2504	0.048396
Meth__cg20919799__CDKN1C	0.023225	0.14196	0.037997	0.6609	0.60686	0.66267	0.037621	0.045384	0.042184	0.69542	0.13176	0.049168	0.047097	0.04222	0.039305	0.14228	0.13852	0.9137	0.58992	0.051878	0.047471	0.25867	0.17487	0.062481	0.065342	0.048156	0.068128	0.04506	0.048356	0.033754	0.045682	0.061075	0.4954	0.039137	0.052828	0.053412	0.038702
