Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	0.78703	0	3.4776	6.4583	0.83997	0.7432	0.46893	1.5377	3.4339	0	0.35027	0.27625	3.0384	0.5823	0.30115	0	0	0	0.67601	2.4997	0	0.11701	0
Meth__cg10844844__KCNK5	0.045353	0.046784	0.1082	0.051501	0.93447	0.045847	0.078723	0.049055	0.048573	0.088788	0.14181	0.16412	0.071303	0.064668	0.16101	0.20365	0.061903	0.14163	0.04549	0.30666	0.17251	0.89048	0.096294	0.0512	0.29755	0.036102	0.070856	0.068318	0.056492	0.088064
Meth__cg25692323__ZNF485	0.087108	0.15162	0.033591	0.031858	0.44061	0.046127	0.78223	0.039526	0.59286	0.43867	0.47698	0.025165	0.39686	0.31686	0.13512	0.11028	0.035356	0.055794	0.045569	0.63543	0.037032	0.089084	0.11232	0.2858	0.65739	0.053071	0.060431	0.079449	0.040326	0.040716
Meth__cg19756611__DACH1	0.095627	0.069067	0.075	0.055656	0.44098	0.12446	0.10242	0.14299	0.3719	0.10405	0.67561	0.089351	0.12187	0.18908	0.29304	0.11199	0.18021	0.32505	0.13704	0.20269	0.10914	0.18781	0.12084	0.086326	0.10536	0.096503	0.62839	0.45718	0.066125	0.075395
RS_G10636__AC140077.17__AC140077.17	6.4734	6.1038	3.6772	4.9298	6.3114	4.3628	5.7212	3.3701	10.9558	6.1452	6.4867	6.0287	8.6229	7.1547	8.5327	8.2138	2.5573	6.7464	5.3674	4.1819	4.0261	2.353	3.5703	2.1811	7.9831	3.5627	4.4278	2.8825	1.3347	4.7804
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	3.1298	0.76268	0.3818	0.91582	3.4289	0.58332	0	0	0.90435	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	4.8409	0.23253	0	4.1265	0.80114	3.9769	3.6333	6.1201
Meth__cg09254939__KLK10	0.044632	0.043676	0.14564	0.062996	0.35368	0.087065	0.030581	0.038363	0.39856	0.44635	0.052992	0.045042	0.045447	0.054872	0.054031	0.10108	0.059771	0.16076	0.38318	0.4036	0.068699	0.63345	0.05664	0.040865	0.079262	0.029398	0.099017	0.039683	0.053187	0.046384
Meth__cg03506684__GYG2	0.036966	0.026298	0.1638	0.15588	0.44495	0.043124	0.46135	0.047063	0.071913	0.039994	0.3059	0.058454	0.28149	0.035642	0.056638	0.029302	0.040055	0.11596	0.02403	0.037114	0.0351	0.84213	0.041577	0.022527	0.12949	0.025073	0.16859	0.094951	0.031581	0.035981
Meth__cg14062083__KRTAP13-4	0.3599	0.092754	0.70426	0.18263	0.31269	0.51225	0.84213	0.088055	0.74122	0.56026	0.136	0.12687	0.26425	0.14473	0.1518	0.10203	0.11592	0.45137	0.63552	0.16262	0.10766	0.51998	0.11364	0.060177	0.76776	0.061087	0.1173	0.086162	0.093449	0.16195
Meth__cg13516796__ALG1	0.038439	0.036179	0.059161	0.027352	0.038872	0.054079	0.063369	0.040916	0.040391	0.056423	0.1077	0.039986	0.33044	0.038605	0.053128	0.045344	0.029656	0.048844	0.031935	0.075365	0.029482	0.052177	0.051481	0.029731	0.043033	0.032555	0.065336	0.062224	0.037478	0.043713
Meth__cg09511421__NDST4	0.16173	0.090701	0.12682	0.050981	0.14309	0.090736	0.89632	0.063819	0.31407	0.42035	0.28911	0.058659	0.17225	0.092474	0.12954	0.099766	0.14065	0.27532	0.068323	0.41758	0.14988	0.42646	0.11718	0.082781	0.16167	0.071374	0.13469	0.13721	0.10768	0.085979
Meth__cg22141781__NDUFA12	0.058643	0.042659	0.057406	0.051313	0.057991	0.056117	0.071823	0.05482	0.051136	0.14405	0.13102	0.054576	0.059838	0.048259	0.071503	0.054693	0.050803	0.58451	0.044706	0.1107	0.04114	0.13273	0.056392	0.04853	0.089934	0.036938	0.065523	0.1183	0.063455	0.053677
Meth__cg17237063__RBMS3	0.70869	0.14718	0.73318	0.40449	0.066645	0.54345	0.061277	0.117	0.1441	0.12215	0.48641	0.40868	0.10342	0.081801	0.16354	0.065667	0.17419	0.13245	0.12861	0.1527	0.49356	0.41227	0.18277	0.16661	0.12097	0.10533	0.16783	0.18462	0.084359	0.72981
Meth__cg17602451__BCL2	0.063162	0.035492	0.055695	0.10524	0.95404	0.070302	0.14865	0.038886	0.93365	0.79234	0.74046	0.21238	0.63814	0.27776	0.755	0.4052	0.046118	0.038418	0.10622	0.90867	0.054939	0.93449	0.1315	0.40849	0.21134	0.69178	0.94823	0.16002	0.61579	0.047757
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	2.7205	0	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	3.7323	0	0	0	0	2.9735	0	0.35491	0	0	0
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	2.0693	4.5062	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	7.078	4.9839	6.6086	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	5.7208	4.6968	5.3382	4.7611	6.9381
Meth__cg19970051__HBA1	0.52887	0.038643	0.1297	0.33388	0.95412	0.54839	0.20303	0.032471	0.55658	0.42618	0.45225	0.3863	0.4231	0.091629	0.097255	0.23547	0.54385	0.43529	0.55247	0.92627	0.33019	0.53001	0.13483	0.033057	0.049667	0.025773	0.60321	0.041169	0.46695	0.13514
Meth__cg12135976__SLC5A8	0.10476	0.036427	0.36855	0.069904	0.84155	0.085843	0.27382	0.055379	0.37644	0.21296	0.37959	0.058108	0.82463	0.08746	0.15652	0.048871	0.05466	0.79056	0.058791	0.77618	0.05712	0.85891	0.084426	0.047563	0.83301	0.10721	0.37227	0.11504	0.067123	0.82042
Meth__cg07426960__CCND1	0.038915	0.034313	0.061148	0.05649	0.802	0.03269	0.51761	0.057784	0.7324	0.78985	0.32441	0.025804	0.65707	0.79145	0.25366	0.26056	0.076663	0.072296	0.058951	0.06195	0.055254	0.077376	0.071411	0.58481	0.77327	0.03368	0.034752	0.037746	0.045133	0.050558
Meth__cg00654814__MGAT5B	0.32781	0.30066	0.22166	0.14141	0.17537	0.44658	0.40669	0.15223	0.55229	0.62627	0.53465	0.49528	0.68459	0.13182	0.28328	0.21317	0.14433	0.12696	0.14555	0.92998	0.13881	0.92162	0.16568	0.12747	0.11654	0.14366	0.92772	0.18906	0.29225	0.12686
Meth__cg16222762__SYT4	0.17267	0.021916	0.26269	0.018559	0.067924	0.77291	0.77192	0.043785	0.81931	0.16987	0.071897	0.026384	0.033438	0.031415	0.04331	0.46728	0.058907	0.94937	0.023498	0.070976	0.032227	0.87104	0.070314	0.025887	0.50553	0.022602	0.67382	0.043459	0.026137	0.43546
Meth__cg25425078__CCND2	0.45856	0.034367	0.035598	0.026528	0.87266	0.83851	0.4825	0.053571	0.96379	0.73606	0.31013	0.028619	0.035259	0.14911	0.12566	0.48323	0.3556	0.084561	0.21344	0.88162	0.066838	0.23801	0.077509	0.03316	0.093544	0.022315	0.37966	0.19065	0.06017	0.033882
Meth__cg19017177__SYT3	0.83935	0.033642	0.25781	0.091556	0.55079	0.20007	0.67034	0.15347	0.81423	0.86628	0.53745	0.05853	0.55355	0.09759	0.14816	0.030049	0.33931	0.20177	0.50537	0.35861	0.24349	0.58244	0.08615	0.067149	0.36296	0.029075	0.34628	0.078195	0.55519	0.13451
Meth__cg08274234__SEMA3E	0.085265	0.044997	0.075937	0.060092	0.91509	0.15701	0.90695	0.071748	0.56351	0.14329	0.12127	0.039332	0.30222	0.064244	0.17083	0.67295	0.061916	0.82206	0.060073	0.15993	0.090002	0.8938	0.15004	0.081272	0.51741	0.042068	0.068062	0.32359	0.091432	0.089763
Meth__cg24292612__DEFB1	0.063507	0.069412	0.10685	0.054987	0.12041	0.1115	0.82771	0.10842	0.30426	0.15574	0.11395	0.065728	0.27352	0.74428	0.21669	0.038147	0.099842	0.10707	0.23597	0.18566	0.13254	0.20125	0.11214	0.077188	0.85543	0.057	0.12164	0.11679	0.092473	0.073149
Meth__cg16749578__NR2F6	0.047014	0.13776	0.18009	0.040287	0.5636	0.40436	0.58969	0.19748	0.71566	0.31389	0.35272	0.12162	0.77029	0.13821	0.17449	0.77832	0.32035	0.14083	0.036552	0.24356	0.20468	0.53346	0.10127	0.6676	0.79278	0.061603	0.054052	0.18698	0.041777	0.090986
Meth__cg01726775__C1RL	0.033715	0.61205	0.51692	0.44691	0.037004	0.83469	0.036875	0.84225	0.031447	0.17154	0.051108	0.045411	0.038484	0.028107	0.058237	0.031359	0.87706	0.19241	0.28682	0.063158	0.84009	0.86029	0.54072	0.4782	0.042026	0.53985	0.17678	0.11507	0.86975	0.353
Meth__cg15796941__BTBD11	0.15774	0.078033	0.3507	0.069947	0.89959	0.13236	0.28175	0.067312	0.57902	0.073529	0.56289	0.15099	0.19079	0.18381	0.12547	0.15137	0.14914	0.20503	0.078304	0.87294	0.61737	0.8727	0.073303	0.072097	0.067705	0.060132	0.7019	0.11538	0.066267	0.065436
Meth__cg04959788__PTCH2	0.042444	0.068602	0.54899	0.33578	0.92751	0.12292	0.1756	0.038348	0.48443	0.56798	0.90924	0.49105	0.88071	0.035067	0.053886	0.030871	0.47983	0.045437	0.1732	0.53891	0.25523	0.87366	0.058417	0.033209	0.13111	0.050768	0.95284	0.094375	0.045804	0.24538
Meth__cg25423576__RFXDC1	0.39365	0.0176	0.13155	0.05609	0.56215	0.87674	0.71483	0.039989	0.58258	0.10995	0.79969	0.51217	0.81693	0.02117	0.08594	0.028931	0.4377	0.93514	0.07803	0.83154	0.56876	0.73886	0.047023	0.017841	0.036349	0.024309	0.87223	0.05479	0.033197	0.12934
Meth__cg01835489__KRT8	0.06704	0.15679	0.09875	0.092514	0.63088	0.16077	0.22344	0.24175	0.29513	0.35596	0.30668	0.050128	0.15735	0.6907	0.30785	0.78666	0.21642	0.28519	0.11809	0.6179	0.099801	0.17175	0.12744	0.55015	0.79709	0.21452	0.11894	0.074353	0.067795	0.087853
Meth__cg08623947__HCK	0.46022	0.016497	0.53048	0.50733	0.73532	0.29442	0.46864	0.028299	0.65191	0.1092	0.85986	0.03475	0.61058	0.059975	0.06071	0.022866	0.33405	0.87488	0.57094	0.64049	0.02841	0.78977	0.040277	0.027171	0.064801	0.020946	0.82913	0.64544	0.043624	0.47139
Meth__cg26358059__GSTO1	0.015776	0.021977	0.024424	0.018352	0.017575	0.025236	0.010474	0.019736	0.014779	0.013028	0.02783	0.011648	0.016893	0.018922	0.032669	0.0081889	0.021245	0.015288	0.012608	0.042338	0.01933	0.048054	0.04232	0.016267	0.010797	0.017046	0.013751	0.042579	0.016542	0.015483
Meth__cg11115427__PHYH	0.058683	0.051412	0.28891	0.33903	0.41661	0.24816	0.18162	0.060056	0.22801	0.47229	0.20066	0.24731	0.43934	0.1406	0.099289	0.076025	0.18093	0.3035	0.13769	0.18916	0.14221	0.36458	0.16467	0.033849	0.29227	0.048824	0.04716	0.083269	0.033531	0.084219
Meth__cg26399201__ANKRD43	0.048666	0.50248	0.12499	0.062503	0.77031	0.044063	0.15171	0.043418	0.53587	0.1427	0.30456	0.23522	0.12171	0.063837	0.13031	0.62294	0.47534	0.04805	0.18707	0.71196	0.077129	0.15715	0.17734	0.044773	0.051901	0.047877	0.89635	0.1518	0.038478	0.15736
Meth__cg12799835__FLJ31204	0.074972	0.036908	0.052135	0.029721	0.64925	0.08453	0.11915	0.17094	0.17595	0.083715	0.078836	0.028302	0.051141	0.054266	0.055504	0.07855	0.070827	0.20379	0.025749	0.095963	0.038348	0.24583	0.073947	0.069707	0.038801	0.037516	0.18095	0.09611	0.027178	0.053927
Meth__cg24513045__RGS19	0.083608	0.083497	0.159	0.084175	0.11268	0.11525	0.12807	0.15269	0.11476	0.22418	0.58096	0.13294	0.088628	0.090744	0.085213	0.064836	0.091657	0.11626	0.11488	0.35774	0.10674	0.10833	0.11627	0.10199	0.10092	0.08747	0.18491	0.13597	0.09079	0.092554
Meth__cg10065416__MPP3	0.044404	0.046311	0.2643	0.061988	0.10324	0.051555	0.13207	0.057924	0.19794	0.17655	0.49197	0.17379	0.12736	0.051081	0.1025	0.35759	0.16088	0.072821	0.16551	0.6319	0.27924	0.2525	0.12243	0.045379	0.040713	0.036255	0.033734	0.052989	0.051959	0.051496
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	0.21381	3.25	4.8008	0	0	2.4171	1.153	0	8.6324	0	0	0	0	0	0	0	5.6112	3.0385	0	0.5871	0	0	0
Meth__cg03591238__ZNHIT2	0.11275	0.056289	0.17682	0.12037	0.13511	0.10447	0.27574	0.40369	0.14552	0.43171	0.12903	0.091531	0.065458	0.10859	0.14562	0.068435	0.12506	0.73992	0.75405	0.16216	0.066739	0.096817	0.10798	0.063379	0.1609	0.065349	0.26657	0.083402	0.56418	0.088141
Meth__cg10822172__CREB5	0.29674	0.04953	0.128	0.079303	0.1405	0.15324	0.64048	0.1457	0.23612	0.44351	0.68499	0.087634	0.2327	0.35853	0.13978	0.086753	0.11935	0.87467	0.1292	0.28478	0.1395	0.17241	0.12219	0.11268	0.1568	0.097386	0.67446	0.19578	0.17871	0.10541
Meth__cg09688546__GLRB	0.029959	0.032274	0.030619	0.027644	0.56242	0.57345	0.11853	0.045646	0.73511	0.042423	0.063979	0.031296	0.034088	0.10483	0.034954	0.021624	0.028761	0.29359	0.030842	0.05554	0.040529	0.081107	0.048399	0.029049	0.04558	0.023231	0.49202	0.052901	0.028774	0.026643
RS_G3584__PSMD3__PSMD3	10.394	13.2512	13.2945	10.1974	9.4771	9.9499	9.5923	9.501	9.3141	10.4176	10.2489	8.9759	10.0743	10.7517	9.4688	9.7871	9.3173	9.8704	10.6303	10.2483	11.1783	11.1809	12.3601	10.3903	9.3166	9.9327	10.1746	10.5305	14.1566	9.9363
Meth__cg14494812__TOB1	0.072696	0.13068	0.048242	0.071856	0.93006	0.073532	0.96071	0.076621	0.8906	0.8944	0.55904	0.060396	0.9174	0.89707	0.84272	0.88012	0.12577	0.085239	0.27606	0.89721	0.03816	0.11702	0.23783	0.94165	0.89261	0.25878	0.070151	0.047287	0.087179	0.050452
Meth__cg07207789__CRISPLD2	0.071852	0.0416	0.27964	0.7222	0.85604	0.31603	0.85904	0.25904	0.53911	0.71975	0.3778	0.10866	0.50834	0.91253	0.087316	0.84012	0.18647	0.84036	0.21688	0.81184	0.5357	0.2125	0.085175	0.054089	0.1055	0.034067	0.79814	0.34204	0.35958	0.33383
RS_G10448__WDR66__WDR66	1.3746	0.18268	1.6086	4.0469	0.42893	1.7988	3.3738	1.5647	2.205	1.7485	3.0163	4.4632	3.1333	1.7256	1.0272	1.8378	3.0615	4.6684	1.9986	3.3445	1.963	2.4782	0	1.2067	4.3116	0.84815	1.8688	3.1701	2.5759	1.3732
Meth__cg06436504__DOC1	0.079046	0.056552	0.12424	0.12288	0.87227	0.19875	0.94964	0.13671	0.7351	0.39849	0.18633	0.2574	0.18136	0.89733	0.78138	0.87068	0.088829	0.45184	0.096903	0.86003	0.095732	0.35787	0.18246	0.90932	0.91649	0.057293	0.04387	0.1735	0.066534	0.075999
Meth__cg15177917__DAND5	0.072618	0.053579	0.32468	0.053425	0.31521	0.044261	0.44975	0.0674	0.56129	0.2634	0.14517	0.053194	0.13683	0.12792	0.082768	0.048202	0.14777	0.33144	0.49528	0.26877	0.26071	0.50388	0.091019	0.33094	0.32304	0.043829	0.11892	0.050053	0.19341	0.078483
Meth__cg23447996__SYK	0.13343	0.095417	0.14174	0.082443	0.55392	0.37867	0.55779	0.10152	0.7121	0.168	0.098669	0.20413	0.17038	0.43939	0.10948	0.085471	0.096425	0.57126	0.23115	0.34617	0.2493	0.84099	0.26182	0.11554	0.30635	0.061028	0.15646	0.11242	0.08708	0.1058
Meth__cg20233029__B4GALNT2	0.08791	0.13606	0.37841	0.39465	0.40053	0.092605	0.67229	0.14591	0.85239	0.1545	0.27535	0.24955	0.52908	0.066029	0.20249	0.11264	0.1416	0.43923	0.25661	0.5722	0.27617	0.38308	0.22649	0.056672	0.081369	0.11592	0.69819	0.32292	0.26261	0.14954
Meth__cg11390468__IFT57	0.401	0.53604	0.92269	0.089311	0.058763	0.59994	0.082902	0.0759	0.057234	0.083131	0.23275	0.04103	0.075385	0.11597	0.11125	0.062515	0.090021	0.08793	0.094261	0.10363	0.1935	0.86972	0.21241	0.041672	0.075542	0.06295	0.088105	0.12747	0.06842	0.1936
Meth__cg03977782__SIDT1	0.040169	0.037645	0.033482	0.030269	0.57341	0.036561	0.96698	0.030305	0.13062	0.049172	0.049439	0.025399	0.88735	0.047103	0.083703	0.20187	0.030908	0.03514	0.029256	0.30667	0.037486	0.065549	0.075402	0.029203	0.12691	0.026232	0.36544	0.19321	0.040147	0.035192
Meth__cg11664825__XKRX	0.17722	0.096793	0.09205	0.096687	0.88075	0.098305	0.27206	0.091495	0.49407	0.14275	0.17041	0.079918	0.55843	0.069412	0.17023	0.8466	0.090291	0.57322	0.51033	0.18605	0.098228	0.46842	0.15594	0.096656	0.085014	0.085555	0.56915	0.16789	0.578	0.33235
Meth__cg24889366__GNG13	0.039695	0.034513	0.040614	0.036974	0.55077	0.046729	0.60194	0.045447	0.58631	0.10593	0.20493	0.049939	0.85567	0.47782	0.094947	0.049739	0.042227	0.040644	0.16911	0.67336	0.16198	0.24133	0.068439	0.077284	0.038898	0.027773	0.026613	0.073254	0.034775	0.044332
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	1.4334	3.2103	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	3.2073	3.3572	0.86525	0.48697	1.694	1.73	1.6668	6.922	3.9209	3.0435	1.7889	1.0742	2.0271	3.8285
Meth__cg11378484__NIF3L1BP1	0.035581	0.030943	0.047147	0.066801	0.20017	0.23285	0.039545	0.085252	0.11566	0.29299	0.14909	0.018928	0.075277	0.039674	0.09896	0.30682	0.21977	0.12493	0.37555	0.18254	0.032678	0.025814	0.023977	0.029279	0.26621	0.036822	0.036382	0.030411	0.10374	0.0336
Meth__cg08997253__GRIN3A	0.48422	0.041323	0.048495	0.031791	0.4957	0.77281	0.87536	0.047896	0.56649	0.84917	0.50826	0.20303	0.15806	0.039889	0.1611	0.026198	0.2697	0.20887	0.10732	0.71348	0.25828	0.46237	0.050063	0.03237	0.14745	0.029329	0.48861	0.1127	0.17987	0.029336
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	6.6958	2.9664	4.0359	3.3238	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.5877	3.4442	5.5215	2.1837	5.1432	5.1427	9.0082	5.0971	6.6166	2.9836	8.2566	4.4144	7.2016	5.7162
Meth__cg14159818__C20orf27	0.010215	0.014143	0.012131	0.011949	0.011659	0.01039	0.01148	0.021526	0.018198	0.068221	0.21648	0.30314	0.043238	0.010965	0.027376	0.0092343	0.010463	0.87338	0.016824	0.018435	0.01367	0.020704	0.015126	0.011878	0.010772	0.0078357	0.55998	0.020829	0.015244	0.011811
Meth__cg07775675__SPHK1	0.048551	0.055529	0.053861	0.042589	0.067183	0.05313	0.040231	0.056432	0.059473	0.11486	0.10515	0.053409	0.3357	0.059047	0.16079	0.073765	0.051064	0.052185	0.074343	0.10666	0.048435	0.07519	0.087393	0.043561	0.052642	0.043429	0.32929	0.09382	0.047402	0.056309
Meth__cg09548084__SLC35B3	0.11731	0.13108	0.15551	0.032291	0.82495	0.049324	0.066265	0.054717	0.16529	0.074534	0.15806	0.04964	0.079438	0.077816	0.051967	0.32369	0.052886	0.3118	0.0724	0.64027	0.048713	0.17396	0.15207	0.048969	0.061442	0.030427	0.049005	0.23066	0.044722	0.069331
Meth__cg02788102__IGSF4	0.071202	0.041839	0.053094	0.038517	0.77721	0.058698	0.11647	0.05638	0.055367	0.085702	0.094622	0.064332	0.067174	0.067992	0.09037	0.043099	0.053569	0.054946	0.057098	0.94469	0.044247	0.64534	0.066956	0.044709	0.07711	0.038415	0.037806	0.060973	0.043101	0.041365
Meth__cg10331779__CTNND2	0.06659	0.099316	0.18014	0.15993	0.87058	0.10481	0.51129	0.37628	0.89389	0.74006	0.7559	0.062837	0.22118	0.21994	0.4923	0.11046	0.06099	0.13607	0.16091	0.74478	0.12159	0.092438	0.070883	0.047044	0.14561	0.44711	0.40548	0.34419	0.044982	0.24823
Meth__cg10362591__SLC6A2	0.57122	0.051729	0.29628	0.067504	0.91925	0.7833	0.72219	0.09965	0.96986	0.029585	0.81515	0.067457	0.9726	0.11233	0.092183	0.08092	0.55942	0.89769	0.060242	0.8717	0.62879	0.89168	0.11099	0.057239	0.2259	0.032911	0.85622	0.089044	0.050396	0.050068
Meth__cg15913671__TMEM105	0.032933	0.047566	0.029559	0.036126	0.83159	0.032356	0.76618	0.034253	0.39684	0.041762	0.1017	0.12901	0.30442	0.68508	0.056237	0.31969	0.03149	0.070627	0.022276	0.85427	0.030679	0.23043	0.072657	0.03801	0.14376	0.096498	0.021888	0.076386	0.034179	0.051423
Meth__cg00918005__REG3G	0.26406	0.031475	0.72241	0.02899	0.04975	0.41682	0.31524	0.047778	0.57417	0.41454	0.14365	0.12811	0.051394	0.034809	0.12534	0.040323	0.043386	0.39129	0.31686	0.16202	0.049876	0.3855	0.046597	0.039331	0.15312	0.038564	0.07183	0.096541	0.044771	0.056515
Meth__cg17398312__FRMPD4	0.9677	0.022062	0.22951	0.046295	0.97629	0.96382	0.92486	0.026541	0.88594	0.97378	0.87181	0.034329	0.19622	0.062622	0.27324	0.094964	0.54956	0.66576	0.97318	0.91684	0.31975	0.94793	0.036491	0.024208	0.93941	0.04872	0.87711	0.060824	0.61751	0.44059
Meth__cg06778853__PHF13	0.027601	0.037173	0.072523	0.032744	0.74723	0.045369	0.075857	0.065378	0.037821	0.35922	0.20064	0.035268	0.48976	0.11846	0.063346	0.49418	0.061301	0.046676	0.21715	0.77148	0.046739	0.073	0.1318	0.28619	0.032478	0.047873	0.46589	0.070447	0.046746	0.037272
Meth__cg00261781__MATN3	0.027808	0.031546	0.035295	0.025076	0.61913	0.038209	0.06914	0.032664	0.16167	0.043911	0.11105	0.019224	0.041018	0.028262	0.087354	0.022005	0.038633	0.35519	0.040424	0.08267	0.033184	0.18634	0.071805	0.045468	0.033762	0.02428	0.61425	0.062301	0.030843	0.031707
Meth__cg16792632__ESR2	0.035718	0.029948	0.59868	0.30521	0.95612	0.52194	0.97136	0.034783	0.95253	0.024418	0.93555	0.94686	0.96104	0.25205	0.09261	0.041479	0.37376	0.94034	0.94044	0.93251	0.95266	0.93221	0.066771	0.030124	0.026651	0.032851	0.96672	0.038431	0.026522	0.77117
Meth__cg12685753__TEKT1	0.070802	0.054663	0.49705	0.1292	0.89891	0.2017	0.41027	0.13821	0.80118	0.4034	0.33898	0.077705	0.46884	0.12483	0.090134	0.036312	0.1263	0.51615	0.1594	0.6563	0.086073	0.59434	0.15785	0.060512	0.041783	0.089455	0.27729	0.18082	0.091681	0.17144
Meth__cg05461841__LOC124220	0.033648	0.033748	0.041517	0.023088	0.58875	0.028438	0.33093	0.030119	0.18722	0.3864	0.83042	0.036252	0.51852	0.55548	0.018457	0.48161	0.072588	0.038674	0.02353	0.49481	0.027432	0.054307	0.057189	0.31228	0.088952	0.025407	0.032073	0.049677	0.046297	0.039787
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	0	1.6586	0	0.23401	1.2112	3.8501	6.5451	0	4.6149	4.8628	3.9665	0.66448	0	0.088941	0	0	0.09952	1.2267	2.57	0	4.8102	0.22955	0	4.5144	4.9451
Meth__cg02932689__MAP1LC3B	0.078632	0.072285	0.11092	0.040359	0.4567	0.061183	0.18403	0.088311	0.076246	0.30158	0.10306	0.4458	0.097151	0.090058	0.15259	0.47787	0.061417	0.081791	0.058834	0.34406	0.12479	0.13505	0.082098	0.045574	0.04582	0.051326	0.057201	0.095143	0.067881	0.051517
Meth__cg02756845__MAPK8IP2	0.13928	0.19146	0.25071	0.056626	0.40026	0.51618	0.43584	0.18548	0.11698	0.58127	0.78422	0.15463	0.082465	0.14007	0.1921	0.44619	0.34181	0.068071	0.24598	0.90323	0.16304	0.94498	0.17626	0.06414	0.56442	0.07821	0.15485	0.084175	0.099289	0.21921
Meth__cg06777274__ME2	0.05548	0.079919	0.17786	0.17367	0.050628	0.1184	0.093204	0.077168	0.048356	0.070268	0.075102	0.039005	0.058787	0.062069	0.099777	0.047872	0.087223	0.096783	0.1155	0.12939	0.16707	0.097755	0.27123	0.054252	0.046292	0.39787	0.059403	0.10523	0.059986	0.050919
RS_G424__FHL1__FHL1	2.0586	0.14817	0	0.62912	8.4195	0	7.8581	0.22544	5.2396	5.4999	1.6533	0	8.1859	4.294	0.90187	10.0365	2.4039	0.32044	3.163	4.1986	1.521	0.52788	0.9089	7.0593	5.007	3.6967	7.6498	0	4.6859	0.6065
Meth__cg01803238__BCL2	0.10467	0.1295	0.071791	0.083447	0.11265	0.12074	0.083825	0.090155	0.17945	0.34586	0.31669	0.14543	0.2026	0.053659	0.10265	0.14355	0.15659	0.091329	0.1404	0.2807	0.16777	0.71595	0.12337	0.062651	0.08085	0.089934	0.52861	0.3013	0.16081	0.079483
Meth__cg09260441__DOK5	0.25098	0.036079	0.54163	0.045636	0.58218	0.53284	0.89869	0.060763	0.90805	0.82305	0.62418	0.041916	0.80621	0.64448	0.42351	0.17883	0.44484	0.081425	0.2402	0.51073	0.076496	0.33512	0.056841	0.041397	0.28125	0.043712	0.91802	0.088283	0.45463	0.073591
Meth__cg03940103__CYP2S1	0.056395	0.05523	0.064649	0.045254	0.80052	0.059796	0.06363	0.063783	0.53828	0.055327	0.15819	0.05551	0.30153	0.081902	0.085589	0.099757	0.061644	0.080119	0.082603	0.11406	0.065175	0.12904	0.094064	0.085861	0.063532	0.053802	0.40804	0.13072	0.060995	0.080597
Meth__cg20832009__STARD8	0.53499	0.37558	0.39891	0.11073	0.74374	0.22402	0.91248	0.053078	0.9062	0.39707	0.5051	0.12134	0.61379	0.049285	0.23095	0.101	0.05527	0.48475	0.33775	0.18831	0.045327	0.47433	0.12688	0.04307	0.087091	0.052586	0.20839	0.11005	0.40659	0.078741
Meth__cg12245996__PRKCQ	0.071085	0.077545	0.28891	0.090797	0.38366	0.089219	0.67811	0.068277	0.089645	0.1675	0.40444	0.1205	0.1357	0.035996	0.04103	0.069421	0.10652	0.40097	0.078585	0.31449	0.066157	0.45142	0.12609	0.071602	0.14076	0.072685	0.45703	0.17849	0.37777	0.22595
Meth__cg13168683__JAKMIP1	0.070687	0.061809	0.078189	0.045138	0.4309	0.075542	0.26462	0.071844	0.072114	0.5188	0.093018	0.43878	0.066424	0.056308	0.093014	0.41207	0.060288	0.062711	0.041487	0.60196	0.079496	0.18201	0.067101	0.037643	0.45552	0.045224	0.035448	0.097381	0.077487	0.061911
Meth__cg15305511__EVC2	0.0444	0.049507	0.13006	0.086679	0.43689	0.56967	0.69158	0.42168	0.069873	0.30475	0.39571	0.17272	0.19398	0.068553	0.11403	0.064558	0.86134	0.59221	0.10047	0.11079	0.09734	0.098365	0.071815	0.056832	0.18836	0.19919	0.36113	0.071203	0.056033	0.092766
