Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg06745740__HGF	0.29978	0.044027	0.59438	0.072332	0.77124	0.43395	0.60991	0.76494	0.76497	0.14101	0.67729	0.17938	0.66156	0.16301	0.69123	0.46762	0.14987	0.74311	0.04926	0.10446	0.39733	0.69808	0.25872	0.14927	0.8513	0.48233	0.3444	0.058748	0.098878	0.84888	0.33275	0.69128	0.13428	0.084993	0.22309	0.21883	0.14132
Meth__cg10981541__FAM57A	0.060126	0.55295	0.36413	0.27348	0.070353	0.15834	0.087438	0.085296	0.051105	0.49372	0.070695	0.081517	0.13524	0.16576	0.1592	0.075785	0.10117	0.062562	0.081615	0.072357	0.085074	0.086747	0.30372	0.10165	0.066084	0.13714	0.092522	0.17388	0.061224	0.061899	0.058605	0.16103	0.057661	0.14745	0.10238	0.25613	0.17757
Meth__cg02589695__RASSF5	0.033423	0.10272	0.07987	0.16825	0.57948	0.3717	0.21042	0.69831	0.87714	0.085363	0.71149	0.564	0.59981	0.075248	0.71273	0.52476	0.34421	0.32223	0.22419	0.2147	0.58038	0.089552	0.06118	0.10929	0.7601	0.26957	0.38134	0.16174	0.13109	0.56875	0.2497	0.15757	0.71408	0.11908	0.12251	0.097257	0.35475
Meth__cg11248491__PSCD3	0.042708	0.018383	0.38364	0.17574	0.046197	0.033892	0.13684	0.054076	0.029423	0.14726	0.039878	0.020138	0.078379	0.023795	0.036249	0.031882	0.054524	0.022016	0.04583	0.061583	0.037086	0.076891	0.056884	0.037412	0.024253	0.10844	0.036462	0.073163	0.13691	0.03646	0.032454	0.024131	0.01923	0.095045	0.042663	0.11399	0.051073
Meth__cg03700462__HOXA1	0.95275	0.015658	0.59155	0.64649	0.40793	0.81138	0.017078	0.036591	0.054553	0.20787	0.019079	0.020412	0.9121	0.37361	0.35289	0.012428	0.24016	0.015259	0.016337	0.023292	0.019178	0.82178	0.43747	0.06716	0.021541	0.76009	0.015272	0.060829	0.022495	0.015384	0.019508	0.42473	0.93461	0.66462	0.94285	0.68342	0.88521
Meth__cg15983538__SEMA4A	0.055037	0.074217	0.22341	0.063748	0.84618	0.24595	0.80747	0.15183	0.050269	0.082469	0.094494	0.10354	0.11895	0.066634	0.054396	0.36339	0.14457	0.2754	0.097663	0.1093	0.86351	0.81885	0.082458	0.18724	0.85143	0.11087	0.072769	0.074811	0.21347	0.36508	0.757	0.076965	0.084733	0.11846	0.076692	0.066837	0.068948
Meth__cg20867633__GOLT1A	0.023741	0.020883	0.49381	0.026591	0.90501	0.023763	0.44125	0.031325	0.1937	0.02562	0.87031	0.44056	0.065728	0.02116	0.21964	0.18816	0.8748	0.5686	0.025314	0.036873	0.91243	0.96318	0.26601	0.046501	0.69421	0.042374	0.93202	0.027679	0.057544	0.93032	0.09821	0.62647	0.011707	0.073128	0.024699	0.027422	0.031829
Meth__cg01725199__GALNT12	0.056298	0.059126	0.056859	0.047271	0.66526	0.95712	0.17402	0.53485	0.048242	0.049222	0.040663	0.08049	0.065138	0.042637	0.036561	0.11609	0.16526	0.21285	0.037533	0.042685	0.03756	0.28815	0.066589	0.057481	0.051887	0.1149	0.85933	0.072391	0.053974	0.041709	0.081326	0.032944	0.8852	0.095015	0.04676	0.041405	0.051159
Meth__cg09437522__GNAS	0.025973	0.0093064	0.021717	0.019727	0.93471	0.026768	0.74538	0.024996	0.028118	0.016952	0.022925	0.021692	0.02981	0.013877	0.020105	0.090773	0.034796	0.10833	0.01134	0.013943	0.52074	0.93211	0.02187	0.048504	0.78086	0.041815	0.025521	0.034373	0.048922	0.03812	0.25625	0.016562	0.011324	0.049074	0.016555	0.026895	0.038832
Meth__cg13921352__FAM19A4	0.9379	0.046175	0.95403	0.62215	0.77864	0.94514	0.57563	0.032074	0.037555	0.057954	0.95515	0.058543	0.89168	0.14544	0.16645	0.04372	0.066022	0.32417	0.44345	0.12141	0.058084	0.69913	0.54808	0.11831	0.037928	0.79208	0.33741	0.047021	0.043063	0.037185	0.62217	0.037951	0.31038	0.33067	0.56353	0.68333	0.9302
Meth__cg16426459__MLPH	0.034597	0.027386	0.033862	0.022754	0.36942	0.037924	0.031083	0.18624	0.16764	0.031037	0.73854	0.60712	0.064189	0.019129	0.12043	0.035288	0.062134	0.40624	0.028268	0.034835	0.18509	0.059978	0.035243	0.044506	0.28636	0.059487	0.040321	0.060522	0.10869	0.37953	0.8922	0.028759	0.022398	0.063761	0.036298	0.025404	0.03785
Meth__cg24358465__HIST1H2AG	0.047799	0.019637	0.033708	0.91227	0.024192	0.86877	0.0553	0.039513	0.025315	0.98345	0.06696	0.040009	0.078318	0.99088	0.036839	0.026458	0.037636	0.027891	0.026439	0.036141	0.033947	0.055669	0.040663	0.07291	0.047039	0.052465	0.024491	0.077364	0.018767	0.02818	0.058729	0.057862	0.7382	0.94992	0.040383	0.068771	0.07563
Meth__cg27032352__C21orf94	0.40069	0.073468	0.6167	0.29524	0.12116	0.39229	0.25408	0.39763	0.27981	0.29751	0.16216	0.2605	0.20523	0.1362	0.23665	0.13492	0.13134	0.12285	0.084989	0.10967	0.12854	0.11471	0.30802	0.17554	0.10664	0.50315	0.071502	0.29741	0.046252	0.098029	0.10968	0.58196	0.10033	0.23805	0.12384	0.31018	0.23063
Meth__cg14910241__TGFBR2	0.046619	0.046993	0.061876	0.035779	0.035443	0.060184	0.017752	0.058019	0.043106	0.047243	0.049194	0.02772	0.057824	0.041114	0.048695	0.035291	0.066017	0.027507	0.05139	0.04637	0.042375	0.13485	0.044411	0.052797	0.042747	0.082742	0.041607	0.065971	0.039006	0.045447	0.032578	0.7439	0.95317	0.062044	0.14927	0.049561	0.050017
Meth__cg17329249__MAT2B	0.43882	0.063767	0.18057	0.33502	0.062172	0.26965	0.061891	0.14082	0.10166	0.089048	0.059352	0.060973	0.12022	0.077224	0.12257	0.1223	0.19623	0.083295	0.080666	0.077695	0.057183	0.11885	0.092842	0.11558	0.085806	0.13575	0.06245	0.12915	0.056557	0.080475	0.084414	0.83202	0.06758	0.08991	0.064329	0.15721	0.59465
Meth__cg24530795__FAM109A	0.036129	0.031058	0.59718	0.14687	0.041118	0.51464	0.044431	0.14188	0.067493	0.21908	0.051428	0.025048	0.27462	0.090531	0.1609	0.080627	0.070562	0.033762	0.16776	0.36138	0.04518	0.061208	0.2382	0.10726	0.040958	0.046833	0.2107	0.074235	0.041402	0.040602	0.036098	0.10335	0.33839	0.053037	0.12085	0.10674	0.16562
Meth__cg18846362__CA12	0.033493	0.084139	0.041844	0.032705	0.24464	0.042444	0.5963	0.29235	0.03868	0.039455	0.25556	0.10428	0.50464	0.052764	0.036898	0.38957	0.061906	0.035648	0.028781	0.035712	0.27967	0.09404	0.041325	0.076869	0.044194	0.14622	0.072166	0.059118	0.033327	0.037937	0.032895	0.10829	0.12114	0.1277	0.03916	0.032214	0.035911
Meth__cg27588902__GNMT	0.058048	0.03973	0.059082	0.037717	0.90206	0.060061	0.83138	0.33432	0.044743	0.05994	0.4563	0.089957	0.34472	0.040433	0.065569	0.095722	0.097106	0.66715	0.0811	0.055176	0.88413	0.85745	0.057628	0.10207	0.91152	0.063312	0.059835	0.17833	0.55038	0.062152	0.45054	0.12217	0.31538	0.054408	0.053664	0.058428	0.10562
Meth__cg01130192__ACO1	0.040878	0.52847	0.16667	0.37497	0.029263	0.053204	0.036237	0.030953	0.033556	0.11474	0.024571	0.10472	0.054967	0.013935	0.02795	0.04385	0.036226	0.017779	0.072178	0.048833	0.037187	0.044446	0.065356	0.036326	0.020777	0.17918	0.055142	0.14336	0.027928	0.019355	0.30824	0.024029	0.043975	0.069171	0.044027	0.23624	0.34702
Meth__cg26873164__SNAI1	0.047345	0.13833	0.20388	0.083101	0.774	0.076615	0.54286	0.10965	0.052494	0.064004	0.63402	0.28995	0.3935	0.03969	0.06858	0.18122	0.20486	0.80043	0.12643	0.10051	0.55017	0.29236	0.094837	0.11353	0.55479	0.093786	0.12779	0.1671	0.40104	0.40105	0.18248	0.10926	0.091599	0.086283	0.084615	0.11129	0.089908
Meth__cg07940485__SLC16A10	0.11166	0.036017	0.34702	0.10605	0.52061	0.63686	0.024482	0.027345	0.024312	0.045847	0.054061	0.079482	0.57382	0.042588	0.032369	0.064572	0.10027	0.030892	0.35834	0.25715	0.030037	0.056213	0.11645	0.12447	0.029649	0.94234	0.043365	0.054903	0.0304	0.03223	0.028962	0.037303	0.31033	0.15335	0.047313	0.15525	0.045009
Meth__cg21912567__GADD45G	0.046526	0.055281	0.04759	0.052642	0.87335	0.055904	0.49044	0.052709	0.043783	0.041176	0.045158	0.038445	0.083601	0.038842	0.049683	0.45331	0.091856	0.084758	0.036602	0.049243	0.054868	0.35421	0.050838	0.092088	0.049728	0.087449	0.048864	0.066041	0.048335	0.049884	0.05513	0.049538	0.053386	0.073784	0.046532	0.04809	0.05092
Meth__cg11037787__PLA2G2A	0.061681	0.054913	0.073241	0.11081	0.78775	0.27644	0.90217	0.65152	0.84399	0.45875	0.82123	0.61322	0.72965	0.055991	0.66903	0.79276	0.68594	0.096516	0.35543	0.41626	0.47349	0.28964	0.17341	0.063744	0.76309	0.40298	0.68992	0.072742	0.86431	0.82444	0.086145	0.13809	0.15997	0.19405	0.22104	0.093644	0.083798
Meth__cg02829654__LYST	0.049142	0.085526	0.142	0.058576	0.057669	0.074197	0.18269	0.068781	0.062955	0.089087	0.38344	0.053834	0.14276	0.036624	0.066425	0.070112	0.074229	0.083692	0.16366	0.31778	0.055514	0.079086	0.10563	0.10185	0.38991	0.111	0.088537	0.10375	0.075113	0.031195	0.087675	0.77864	0.16109	0.10942	0.15977	0.09974	0.21051
Meth__cg13199589__FAM80A	0.3697	0.072025	0.19773	0.047424	0.5103	0.12531	0.64731	0.10536	0.074688	0.058001	0.63869	0.24455	0.53767	0.052792	0.083171	0.11138	0.21162	0.28802	0.072774	0.052992	0.13013	0.75794	0.40241	0.24343	0.047975	0.20369	0.25421	0.094986	0.10598	0.22829	0.14476	0.34034	0.57235	0.060581	0.06234	0.064072	0.070337
Meth__cg03776551__ZNF396	0.052722	0.046698	0.044298	0.043275	0.38602	0.05003	0.10119	0.039166	0.046226	0.050817	0.056663	0.076986	0.074461	0.064772	0.05799	0.046796	0.10819	0.41123	0.034829	0.042873	0.061021	0.69493	0.056231	0.090896	0.043581	0.31837	0.056276	0.083859	0.045638	0.027916	0.0794	0.058902	0.050238	0.12923	0.042658	0.034421	0.044052
Meth__cg04969808__WNT7A	0.82159	0.05208	0.7245	0.55575	0.84841	0.84286	0.13265	0.05549	0.048102	0.056374	0.9426	0.14289	0.94404	0.039774	0.052643	0.045494	0.11054	0.051441	0.94255	0.96018	0.069702	0.93291	0.047318	0.068518	0.060361	0.96321	0.060642	0.076387	0.051545	0.064404	0.072895	0.82903	0.97139	0.56266	0.29071	0.060763	0.053
Meth__cg17469978__CAV1	0.073565	0.12553	0.565	0.4382	0.037877	0.50598	0.051535	0.03487	0.080347	0.056812	0.10298	0.040635	0.10294	0.1363	0.080225	0.76619	0.15253	0.032265	0.040709	0.064479	0.027848	0.095389	0.078602	0.24441	0.038223	0.87349	0.048117	0.27916	0.040379	0.02989	0.044724	0.89534	0.87243	0.097035	0.10157	0.38802	0.47909
Meth__cg14161730__TIMP1	0.35594	0.065045	0.83017	0.18896	0.052533	0.34067	0.47714	0.34679	0.059628	0.60511	0.4094	0.29915	0.20277	0.029091	0.07177	0.088999	0.10984	0.11697	0.46679	0.34934	0.074464	0.26938	0.69521	0.33319	0.044548	0.40898	0.72758	0.077682	0.062861	0.11654	0.091624	0.18186	0.25905	0.17409	0.4521	0.094962	0.28409
Meth__cg16312163__ALDH1L1	0.9282	0.75918	0.85219	0.66465	0.8855	0.82307	0.45254	0.93425	0.041358	0.89453	0.54004	0.44098	0.91043	0.12883	0.037791	0.6057	0.053629	0.036313	0.94776	0.91882	0.63885	0.79009	0.20781	0.058787	0.32264	0.48845	0.73665	0.047526	0.029801	0.028902	0.029733	0.44723	0.70742	0.073307	0.57187	0.52976	0.81315
Meth__cg22889448__EMR1	0.15658	0.0815	0.46728	0.10172	0.077471	0.17238	0.1838	0.85497	0.064704	0.10746	0.093557	0.3285	0.48162	0.076829	0.07674	0.37262	0.081442	0.081274	0.12371	0.17574	0.20249	0.081218	0.089414	0.10162	0.091943	0.10584	0.093689	0.11374	0.083968	0.078177	0.095814	0.11594	0.088272	0.23799	0.097588	0.15957	0.0981
Meth__cg11778001__NAB1	0.37777	0.081591	0.83849	0.81913	0.46567	0.63146	0.90794	0.11243	0.050648	0.46704	0.035807	0.051004	0.84956	0.56936	0.088967	0.045257	0.079548	0.55078	0.74356	0.55583	0.5126	0.35092	0.56894	0.08107	0.26175	0.37458	0.1284	0.19944	0.039828	0.032798	0.050908	0.89256	0.27698	0.06868	0.46968	0.50258	0.80287
Meth__cg23984130__	0.87046	0.095529	0.72027	0.68799	0.09196	0.2501	0.033302	0.14077	0.79307	0.37072	0.40109	0.40737	0.15511	0.06986	0.59756	0.18255	0.087997	0.10677	0.06664	0.10825	0.081875	0.13855	0.43358	0.19014	0.11467	0.11661	0.078565	0.087285	0.066827	0.10613	0.073952	0.82706	0.206	0.086814	0.46876	0.47577	0.48163
Meth__cg11861730__ETS1	0.91658	0.028466	0.27935	0.043268	0.029044	0.32269	0.080872	0.023461	0.037372	0.048721	0.029429	0.028986	0.070678	0.16406	0.036906	0.023908	0.091659	0.049262	0.15794	0.1759	0.041281	0.10106	0.083978	0.085335	0.035847	0.65114	0.039125	0.053607	0.062275	0.02708	0.028614	0.38237	0.16855	0.035026	0.24537	0.080189	0.061649
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.065169	0.05074	0.85064	0.057402	0.17242	0.13655	0.048869	0.063526	0.054964	0.073171	0.48746	0.050566	0.053618	0.2502	0.11372	0.0396	0.059929	0.061021	0.29748	0.78357	0.10287	0.090592	0.82813	0.083261	0.11235	0.10363	0.052823	0.46246	0.37905	0.38374	0.13478	0.032714	0.065922	0.08038	0.3179
Meth__cg01242619__PLEC1	0.071044	0.061516	0.069439	0.084677	0.67605	0.063481	0.32622	0.11441	0.054454	0.091508	0.059834	0.45772	0.27211	0.057477	0.08028	0.071249	0.09815	0.25432	0.066725	0.081414	0.8717	0.092243	0.081241	0.12029	0.094131	0.10837	0.082959	0.097254	0.094879	0.072633	0.8337	0.12354	0.052639	0.050233	0.12352	0.064944	0.058657
Meth__cg08704509__GRAMD3	0.055681	0.039858	0.062069	0.037727	0.079399	0.048905	0.16416	0.063963	0.07659	0.047564	0.034651	0.065022	0.10687	0.042373	0.089977	0.043982	0.085652	0.058147	0.030376	0.043478	0.073606	0.11156	0.051831	0.070787	0.91108	0.10973	0.060306	0.091142	0.38903	0.054866	0.17116	0.13359	0.028733	0.078189	0.0611	0.04899	0.048629
Meth__cg04925864__FAM65A	0.018517	0.025853	0.22859	0.018856	0.58082	0.16837	0.88245	0.79408	0.90217	0.26551	0.36228	0.96547	0.93747	0.37196	0.67479	0.98704	0.4199	0.041338	0.52541	0.27541	0.344	0.26477	0.077762	0.024482	0.18583	0.93092	0.53519	0.08283	0.011331	0.087687	0.75272	0.59302	0.010581	0.062417	0.058798	0.021011	0.019706
Meth__cg20691408__FADS3	0.087518	0.31352	0.20667	0.15676	0.71068	0.12306	0.54289	0.10885	0.14362	0.075152	0.54352	0.50962	0.64058	0.10108	0.11553	0.25786	0.27957	0.8942	0.07873	0.098925	0.37377	0.61182	0.12506	0.072936	0.7169	0.10372	0.1849	0.11515	0.058229	0.22139	0.14865	0.17724	0.5148	0.16667	0.063098	0.090255	0.1931
Meth__cg26359204__NKX6-1	0.58066	0.030883	0.0443	0.042788	0.032764	0.04482	0.05358	0.035977	0.03623	0.046696	0.04915	0.029088	0.1023	0.050034	0.039097	0.030202	0.1016	0.031087	0.050071	0.038271	0.034357	0.55527	0.042135	0.18222	0.039609	0.12852	0.037572	0.065814	0.027112	0.036606	0.03269	0.037171	0.040642	0.060669	0.37331	0.03924	0.045737
Meth__cg03190825__CYP4F11	0.033324	0.053288	0.64044	0.1891	0.21891	0.047499	0.097349	0.46114	0.042333	0.44838	0.43715	0.024387	0.064611	0.03596	0.041737	0.092708	0.053829	0.027457	0.18321	0.24464	0.24086	0.14223	0.5668	0.073298	0.61794	0.12444	0.055843	0.27776	0.034143	0.029805	0.030769	0.68884	0.034776	0.052946	0.35187	0.16346	0.063114
Meth__cg21844956__TRIM38	0.07912	0.036855	0.3832	0.096231	0.7444	0.68472	0.18489	0.074583	0.065012	0.58858	0.072637	0.084316	0.097211	0.30667	0.084162	0.059028	0.064305	0.048677	0.72754	0.428	0.10481	0.1021	0.11425	0.076518	0.51378	0.71723	0.042576	0.13375	0.87464	0.038596	0.067164	0.78574	0.082243	0.12897	0.29299	0.075249	0.55018
Meth__cg07033083__NSUN5C	0.096948	0.015998	0.055129	0.02405	0.14093	0.022408	0.13874	0.24338	0.24464	0.023407	0.21729	0.06594	0.10433	0.13149	0.21142	0.038041	0.0935	0.19238	0.018165	0.044791	0.17197	0.23847	0.11513	0.034488	0.014407	0.026985	0.067728	0.022702	0.039464	0.086762	0.13659	0.16032	0.015979	0.019928	0.017454	0.055679	0.021481
Meth__cg00728602__C6orf27	0.041176	0.021055	0.50642	0.042292	0.46772	0.052567	0.01984	0.032551	0.017423	0.31027	0.28674	0.028969	0.057646	0.12431	0.027004	0.044103	0.03172	0.020783	0.10466	0.064861	0.090871	0.067717	0.63547	0.097423	0.097835	0.74781	0.021624	0.077064	0.016863	0.02022	0.029141	0.25084	0.01598	0.061995	0.028333	0.56321	0.044319
Meth__cg18105315__MANEAL	0.4253	0.077494	0.038383	0.031072	0.028902	0.044332	0.036255	0.14801	0.49049	0.041007	0.033188	0.040889	0.40022	0.49921	0.46315	0.057531	0.069541	0.11497	0.027966	0.038252	0.4701	0.48079	0.037254	0.039547	0.040258	0.053673	0.41389	0.098297	0.28746	0.071387	0.71677	0.088101	0.030159	0.064114	0.045125	0.038735	0.039458
Meth__cg02583151__SIX1	0.60591	0.082594	0.071161	0.074756	0.069215	0.57347	0.054112	0.090384	0.071556	0.073474	0.062753	0.047101	0.12648	0.062215	0.066719	0.068041	0.10598	0.059013	0.66179	0.58103	0.069289	0.074162	0.072443	0.40809	0.05935	0.11319	0.042085	0.10839	0.070275	0.076424	0.060622	0.063249	0.064252	0.56042	0.065309	0.069648	0.072732
Meth__cg11879577__ARL6IP	0.091481	0.22247	0.17639	0.17902	0.13008	0.16823	0.46514	0.033371	0.053303	0.43612	0.049331	0.19038	0.30291	0.074795	0.067888	0.055335	0.14489	0.15251	0.59804	0.39463	0.10301	0.060851	0.3248	0.1469	0.040693	0.2377	0.075379	0.12886	0.030389	0.061196	0.59513	0.14811	0.10155	0.22058	0.37202	0.43772	0.48985
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.05625	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.021404	0.052564	0.040031	0.083991	0.043695	0.094988	0.10897	0.033359	0.078658	0.024166	0.071096	0.050638	0.035377	0.050896	0.047782	0.018715	0.049072	0.03811	0.094811	0.048468	0.055541	0.05024	0.038335	0.03692
Meth__cg15373633__DACH2	0.5765	0.056085	0.090805	0.083689	0.82138	0.075527	0.11905	0.63778	0.053526	0.041251	0.048181	0.17387	0.44461	0.98248	0.060905	0.10217	0.21831	0.059609	0.067686	0.085472	0.18026	0.65048	0.37481	0.096448	0.31309	0.33712	0.66983	0.071142	0.04386	0.026272	0.089994	0.069838	0.79327	0.18765	0.41247	0.043378	0.043051
Meth__cg24805239__DFNA5	0.50168	0.023478	0.83046	0.60905	0.031913	0.94933	0.031038	0.9772	0.15395	0.030798	0.048323	0.61842	0.79541	0.07443	0.11715	0.042801	0.057774	0.033517	0.91995	0.82814	0.021948	0.041359	0.48195	0.17694	0.027192	0.93299	0.091563	0.1934	0.027773	0.039433	0.068748	0.66947	0.87482	0.56428	0.035162	0.4661	0.81941
Meth__cg19310430__C11orf45	0.088996	0.041067	0.27917	0.62354	0.69087	0.62937	0.061315	0.057924	0.21192	0.65858	0.038275	0.15264	0.18408	0.043064	0.16544	0.067874	0.11705	0.66524	0.68789	0.78434	0.040158	0.44088	0.59428	0.12565	0.46641	0.19227	0.05335	0.063509	0.12635	0.035129	0.078541	0.61033	0.75161	0.36777	0.30176	0.33021	0.79632
Meth__cg23239828__SEC6L1	0.34781	0.087903	0.14009	0.053035	0.32962	0.24076	0.39449	0.17508	0.19158	0.11233	0.19712	0.2428	0.29876	0.23805	0.17267	0.09931	0.187	0.32336	0.082257	0.094343	0.20767	0.47802	0.088345	0.088053	0.078347	0.12592	0.16297	0.076335	0.049498	0.4243	0.080406	0.083078	0.13102	0.079655	0.093285	0.058868	0.052157
Meth__cg22862656__SCGB2A2	0.055845	0.047079	0.24138	0.22013	0.70361	0.095397	0.90261	0.84339	0.37538	0.36142	0.87111	0.17338	0.22479	0.069192	0.32953	0.46196	0.090973	0.84613	0.13823	0.13718	0.91532	0.82923	0.129	0.082081	0.91275	0.16283	0.43402	0.054846	0.59018	0.30056	0.88767	0.45253	0.146	0.12228	0.18009	0.076393	0.074453
Meth__cg03262773__RAD54L	0.08697	0.76596	0.13919	0.096693	0.20252	0.15235	0.14775	0.10997	0.37453	0.11753	0.40105	0.2514	0.59346	0.062978	0.36896	0.22246	0.14552	0.081149	0.16487	0.10138	0.6314	0.56093	0.20299	0.15419	0.80711	0.13423	0.42494	0.34471	0.11718	0.065746	0.14154	0.12164	0.35734	0.1822	0.091933	0.10678	0.10561
Meth__cg01095590__KIAA0040	0.028452	0.026931	0.02563	0.022823	0.92582	0.030997	0.54576	0.031168	0.037681	0.030684	0.030579	0.022806	0.045503	0.017471	0.038548	0.039101	0.090518	0.502	0.030534	0.034044	0.10943	0.11642	0.032536	0.059381	0.18044	0.04714	0.032293	0.056353	0.066512	0.02897	0.037021	0.032978	0.023304	0.070516	0.037211	0.027863	0.029322
Meth__cg11960393__LOX	0.15666	0.087492	0.1477	0.58112	0.04801	0.62885	0.16756	0.080711	0.075998	0.56311	0.062124	0.22654	0.70901	0.066188	0.066508	0.096932	0.088982	0.045912	0.0817	0.11082	0.10312	0.141	0.10906	0.098225	0.084004	0.12348	0.12993	0.11497	0.040866	0.05076	0.0732	0.87965	0.88385	0.1303	0.068359	0.15413	0.84381
Meth__cg04880063__SFXN3	0.050362	0.47603	0.57528	0.052925	0.34047	0.082453	0.53982	0.048412	0.11519	0.057213	0.062293	0.20464	0.48195	0.07018	0.15981	0.38446	0.074783	0.029924	0.1132	0.11232	0.14183	0.34229	0.13603	0.091298	0.64889	0.42607	0.1586	0.39456	0.030531	0.43567	0.099032	0.06425	0.12804	0.10191	0.046219	0.10504	0.057191
Meth__cg19491035__MANSC1	0.049896	0.071313	0.098737	0.062017	0.77873	0.054388	0.89223	0.041222	0.6619	0.1051	0.12321	0.048734	0.26908	0.034994	0.61721	0.057332	0.10211	0.87587	0.057466	0.056411	0.37682	0.29425	0.039472	0.091332	0.59262	0.095246	0.06565	0.05673	0.40391	0.59553	0.65459	0.035741	0.058756	0.10958	0.066842	0.055849	0.069679
Meth__cg11009736__MARCO	0.7946	0.15517	0.86937	0.814	0.099822	0.37041	0.25123	0.84742	0.87405	0.27409	0.26577	0.78835	0.65143	0.096534	0.68289	0.80658	0.55806	0.1399	0.16317	0.32106	0.14039	0.092022	0.15352	0.13977	0.098052	0.17827	0.19567	0.42683	0.099169	0.21964	0.26835	0.23179	0.21133	0.17632	0.81256	0.39554	0.26786
Meth__cg24762359__ATP12A	0.043633	0.045777	0.053002	0.050961	0.79009	0.05965	0.72965	0.065101	0.02265	0.051203	0.17341	0.087469	0.11009	0.09274	0.047168	0.065885	0.088496	0.067723	0.063903	0.045648	0.07127	0.71291	0.049236	0.11735	0.19816	0.28779	0.056819	0.07663	0.069001	0.088918	0.13563	0.095107	0.14606	0.10189	0.063937	0.044759	0.049915
Meth__cg12858460__EOMES	0.58499	0.065293	0.072857	0.090619	0.056546	0.88393	0.058137	0.10847	0.052943	0.5063	0.19194	0.11798	0.12651	0.9062	0.11369	0.052632	0.10912	0.43241	0.32198	0.4839	0.061381	0.8722	0.051759	0.67342	0.050642	0.57015	0.067829	0.16429	0.088974	0.050012	0.057154	0.052164	0.87869	0.52327	0.21166	0.58818	0.88564
Meth__cg00744433__CXADR	0.6776	0.055196	0.67523	0.41204	0.82627	0.40167	0.10215	0.36912	0.065359	0.10078	0.13918	0.18319	0.31677	0.10983	0.069799	0.10036	0.11555	0.082476	0.74362	0.71393	0.078513	0.21277	0.80919	0.71849	0.044451	0.16858	0.076957	0.17533	0.78153	0.047712	0.068662	0.83467	0.49955	0.15277	0.077679	0.39137	0.58026
Meth__cg25811575__EGR3	0.051364	0.40138	0.068503	0.059611	0.13782	0.074175	0.93162	0.052141	0.063951	0.061748	0.53387	0.043787	0.7944	0.066857	0.060304	0.22065	0.095893	0.07215	0.048956	0.050976	0.67381	0.098989	0.063081	0.086685	0.15864	0.91116	0.069126	0.23253	0.083038	0.41508	0.18185	0.067881	0.92618	0.11055	0.050224	0.14089	0.05699
Meth__cg07775675__SPHK1	0.048551	0.055529	0.053861	0.042589	0.067183	0.05313	0.11915	0.040231	0.089836	0.056432	0.059473	0.11486	0.10515	0.053409	0.078366	0.3357	0.16079	0.073765	0.049546	0.051064	0.04626	0.10666	0.048435	0.11741	0.091762	0.07519	0.066355	0.087393	0.043561	0.052642	0.041694	0.049244	0.32929	0.09382	0.047402	0.056309	0.041377
Meth__cg05468303__DGCR6	0.049874	0.36945	0.16823	0.083111	0.73025	0.081757	0.056791	0.13167	0.481	0.081883	0.037057	0.23862	0.30046	0.074132	0.38467	0.29121	0.17558	0.26363	0.099421	0.067009	0.10171	0.57943	0.048959	0.074846	0.46859	0.077299	0.40824	0.20432	0.042269	0.042834	0.65241	0.091826	0.048932	0.14376	0.072568	0.048064	0.057202
Meth__cg23843812__FLJ43582	0.076205	0.051596	0.12175	0.43118	0.48328	0.26401	0.07099	0.077203	0.036823	0.14489	0.053034	0.35818	0.33311	0.059343	0.051706	0.07426	0.22097	0.045782	0.47387	0.37129	0.14663	0.11787	0.31109	0.24535	0.17901	0.25626	0.07016	0.087721	0.042347	0.32327	0.052672	0.70902	0.13055	0.11797	0.27829	0.26723	0.50326
Meth__cg09450020__STEAP2	0.022785	0.015578	0.93432	0.36083	0.81103	0.47634	0.013172	0.01343	0.023725	0.033123	0.10367	0.098396	0.91274	0.029147	0.24402	0.06557	0.058243	0.019396	0.7363	0.3002	0.32012	0.073851	0.042039	0.26984	0.018805	0.92318	0.69985	0.10774	0.023599	0.025036	0.018218	0.69522	0.046527	0.04724	0.17802	0.12511	0.39546
Meth__cg12195135__ZNF584	0.052005	0.1843	0.24778	0.032994	0.09314	0.043879	0.051986	0.078969	0.14465	0.082288	0.091099	0.36462	0.14577	0.15476	0.12046	0.14182	0.18621	0.062988	0.045006	0.041766	0.8331	0.19054	0.068228	0.037739	0.21569	0.040329	0.086278	0.15872	0.030459	0.16438	0.052325	0.044603	0.052741	0.095492	0.04939	0.04306	0.026577
