Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04915182__RASGEF1C	0.10526	0.11001	0.09036	0.10625	0.070717	0.10016	0.10626	0.10282	0.073338	0.080964	0.068557	0.072418	0.31767	0.10633	0.072627	0.072721	0.10223	0.082921	0.37596	0.089229	0.081254	0.092239	0.63034	0.086743	0.10148	0.089253	0.083854	0.20637	0.40047	0.10326	0.049469	0.06866	0.12788	0.078187	0.083182	0.081568
Meth__cg25946389__MGMT	0.13481	0.054363	0.089186	0.089348	0.038073	0.85911	0.07045	0.12589	0.032555	0.34345	0.31759	0.23437	0.40713	0.31892	0.050419	0.059618	0.073203	0.10473	0.046331	0.056078	0.34657	0.20781	0.7252	0.51518	0.08872	0.4962	0.10458	0.04101	0.049504	0.44532	0.15239	0.42846	0.061298	0.047263	0.20401	0.048314
Meth__cg18191162__KIF6	0.058178	0.048068	0.50248	0.04475	0.048388	0.31756	0.061117	0.045522	0.053775	0.056646	0.058522	0.040651	0.075498	0.057448	0.054035	0.053002	0.048323	0.14192	0.18564	0.044743	0.055741	0.050986	0.19411	0.042388	0.08802	0.091578	0.12539	0.048837	0.23667	0.14933	0.053645	0.050542	0.070555	0.046582	0.054062	0.051042
Meth__cg15628498__ONECUT1	0.044189	0.049243	0.85187	0.26116	0.14195	0.5592	0.19014	0.066746	0.029858	0.11796	0.12353	0.064906	0.23646	0.030175	0.041867	0.045524	0.038329	0.069558	0.032406	0.34055	0.26186	0.47042	0.50973	0.17178	0.055294	0.44725	0.09711	0.30406	0.027976	0.039756	0.053326	0.26639	0.031895	0.048602	0.47326	0.63166
Meth__cg00293409__LRRC33	0.10637	0.12389	0.86929	0.65691	0.21398	0.59895	0.44672	0.55668	0.067927	0.67269	0.33423	0.19407	0.76821	0.054209	0.087808	0.63162	0.061193	0.14869	0.088835	0.82293	0.83828	0.5731	0.20387	0.78566	0.075699	0.61706	0.14417	0.093769	0.084287	0.079191	0.45592	0.53704	0.11194	0.070235	0.47122	0.60289
Meth__cg15286905__ACBD5	0.045109	0.046197	0.087907	0.055683	0.030575	0.044537	0.056776	0.016674	0.04584	0.079057	0.042954	0.21155	0.226	0.39777	0.035126	0.066611	0.036736	0.070844	0.045666	0.055208	0.042972	0.31335	0.074185	0.077442	0.079663	0.056661	0.064568	0.054701	0.030676	0.061923	0.084533	0.047935	0.074157	0.040066	0.039371	0.041097
Meth__cg17027046__ITPA	0.13265	0.13604	0.14694	0.13155	0.09837	0.099947	0.15497	0.11298	0.10451	0.38693	0.11572	0.075461	0.15534	0.10328	0.10824	0.15823	0.10651	0.19297	0.18887	0.16271	0.17405	0.13289	0.14937	0.17021	0.11414	0.25484	0.16724	0.10974	0.13318	0.15647	0.13469	0.131	0.16249	0.18342	0.20188	0.1652
Meth__cg22864416__CCNJ	0.024655	0.55512	0.033127	0.027465	0.020866	0.20422	0.73979	0.016255	0.028488	0.031771	0.028843	0.052009	0.057937	0.017477	0.025698	0.44586	0.025824	0.052171	0.024492	0.026853	0.023563	0.034529	0.036724	0.031486	0.042528	0.047775	0.059156	0.022056	0.015913	0.020155	0.021488	0.9851	0.085526	0.030284	0.562	0.96369
Meth__cg18669381__ARHGEF19	0.069456	0.054734	0.075065	0.066552	0.057513	0.34519	0.059887	0.050163	0.059713	0.060015	0.058052	0.054098	0.093711	0.047175	0.056972	0.069911	0.25933	0.09417	0.16583	0.051857	0.064602	0.63817	0.28585	0.057193	0.070347	0.093656	0.11594	0.10506	0.084705	0.06574	0.050169	0.051879	0.046164	0.075579	0.052313	0.061117
Meth__cg22857604__RASSF5	0.047281	0.042189	0.045553	0.045565	0.047172	0.043972	0.10977	0.049145	0.70329	0.11755	0.07708	0.064442	0.098638	0.038866	0.66258	0.046867	0.046701	0.10532	0.053461	0.043007	0.06377	0.04234	0.094734	0.075053	0.082684	0.080781	0.059358	0.06778	0.043227	0.090673	0.041499	0.23529	0.074316	0.04738	0.044747	0.056846
Meth__cg24884084__SPRR1B	0.26002	0.042383	0.72499	0.35597	0.18739	0.051433	0.090595	0.72339	0.23133	0.080472	0.062671	0.48203	0.47324	0.040528	0.20593	0.071565	0.062283	0.12855	0.059441	0.12311	0.14245	0.065592	0.095248	0.090493	0.11118	0.078917	0.061117	0.051745	0.27461	0.064665	0.74169	0.055212	0.13448	0.3535	0.080445	0.080071
Meth__cg00690280__WFDC10B	0.72502	0.11359	0.68846	0.82416	0.84792	0.048012	0.72424	0.66582	0.8318	0.22644	0.11209	0.72885	0.80378	0.070467	0.62682	0.21907	0.085552	0.11567	0.059601	0.50148	0.74715	0.090815	0.11733	0.6864	0.13112	0.45436	0.13587	0.25129	0.12862	0.077968	0.82131	0.228	0.063195	0.8396	0.44008	0.7434
Meth__cg12701101__DKFZp434N062	0.056583	0.37827	0.055595	0.048264	0.047404	0.048787	0.077891	0.046961	0.047016	0.059364	0.052324	0.064117	0.063682	0.22728	0.042986	0.069656	0.042142	0.090977	0.039136	0.58641	0.49672	0.05194	0.094735	0.057568	0.10236	0.099187	0.12739	0.048107	0.046445	0.042927	0.39867	0.043371	0.068347	0.056411	0.043811	0.4977
Meth__cg24387380__GABRA5	0.8703	0.098072	0.12174	0.83515	0.055052	0.068296	0.7505	0.31692	0.12544	0.17962	0.8	0.20725	0.11828	0.10306	0.12666	0.25162	0.16112	0.1326	0.089679	0.4154	0.36815	0.11355	0.10245	0.21664	0.11155	0.20479	0.14851	0.29151	0.042511	0.088707	0.094359	0.18989	0.34483	0.43818	0.24836	0.35064
Meth__cg11400333__MGC33486	0.065965	0.04302	0.35079	0.45569	0.058885	0.2758	0.41465	0.24618	0.058689	0.047049	0.084294	0.099443	0.31316	0.040897	0.071531	0.10405	0.066271	0.086461	0.05712	0.59201	0.51235	0.051732	0.64432	0.17071	0.072002	0.83763	0.14143	0.039502	0.052292	0.044845	0.045176	0.13106	0.0561	0.03738	0.054691	0.054054
Meth__cg15177359__UNC13D	0.065523	0.056965	0.0659	0.093333	0.26455	0.8037	0.3475	0.04475	0.06073	0.059748	0.49805	0.087488	0.076537	0.31256	0.06726	0.12909	0.63824	0.11586	0.21557	0.15479	0.27762	0.72095	0.066462	0.64799	0.10036	0.49217	0.060928	0.60782	0.054165	0.21123	0.16979	0.05719	0.066191	0.0658	0.51177	0.48641
Meth__cg17943999__GEM	0.07476	0.062339	0.42421	0.49964	0.12727	0.086988	0.18822	0.40744	0.070317	0.069114	0.05501	0.21257	0.52874	0.16367	0.080557	0.1603	0.046079	0.071139	0.044186	0.16387	0.12396	0.085832	0.074238	0.16534	0.070302	0.4976	0.08771	0.042679	0.072346	0.26144	0.38061	0.77267	0.06197	0.087563	0.11738	0.48304
Meth__cg23690380__PRMT5	0.074941	0.030251	0.077203	0.028722	0.050962	0.063567	0.063666	0.44444	0.067262	0.066382	0.091547	0.046987	0.066644	0.035101	0.07845	0.053597	0.070464	0.10846	0.076019	0.042414	0.042636	0.083003	0.11725	0.037547	0.1345	0.097994	0.065341	0.055595	0.060753	0.051823	0.030075	0.042839	0.19136	0.080253	0.074667	0.043905
Meth__cg20775840__G3BP	0.33315	0.76461	0.89491	0.61046	0.78393	0.043801	0.87326	0.039554	0.0669	0.87586	0.055963	0.31121	0.76442	0.91648	0.093758	0.17264	0.043532	0.14576	0.042279	0.8994	0.90585	0.4735	0.079699	0.88473	0.19061	0.11338	0.4335	0.04326	0.083685	0.23971	0.88254	0.71747	0.16407	0.20226	0.42057	0.71216
Meth__cg14520892__POLA	0.61299	0.20017	0.059127	0.04567	0.43403	0.039164	0.060876	0.09978	0.065072	0.6517	0.052943	0.76963	0.39867	0.25105	0.0624	0.040861	0.081196	0.48999	0.49548	0.048336	0.065157	0.03175	0.29449	0.46358	0.39449	0.38125	0.55582	0.59827	0.066901	0.57106	0.043553	0.016481	0.051443	0.45509	0.36996	0.046401
Meth__cg09079275__ADAM19	0.047813	0.10363	0.92705	0.53375	0.63676	0.437	0.50766	0.08307	0.065665	0.065878	0.051629	0.56837	0.56993	0.12289	0.066784	0.14242	0.051003	0.2188	0.048747	0.89385	0.68232	0.06675	0.070426	0.49896	0.11127	0.88326	0.13358	0.049767	0.048513	0.1091	0.51243	0.43817	0.1721	0.33141	0.39666	0.25914
Meth__cg10688991__DLX3	0.026993	0.026488	0.02806	0.024819	0.021609	0.95074	0.0288	0.032941	0.025792	0.02183	0.038336	0.028624	0.47622	0.019492	0.023509	0.042142	0.025973	0.059933	0.051161	0.02258	0.029232	0.051397	0.69906	0.024289	0.054361	0.13357	0.080332	0.030852	0.02895	0.058727	0.026255	0.041929	0.093033	0.025806	0.023467	0.031322
Meth__cg18742441__ATP6AP1	0.53696	0.042561	0.073406	0.058208	0.45354	0.035006	0.047845	0.39265	0.039127	0.59278	0.033873	0.12388	0.049031	0.029315	0.044027	0.34815	0.43068	0.098452	0.022796	0.038559	0.045413	0.64318	0.17487	0.045083	0.091664	0.25068	0.062218	0.43468	0.03522	0.22018	0.032075	0.18286	0.091587	0.5955	0.31134	0.043715
Meth__cg11876919__HMG20A	0.050887	0.042922	0.074101	0.066551	0.03582	0.092616	0.060717	0.05475	0.057946	0.063815	0.039288	0.05652	0.14124	0.034202	0.04994	0.045347	0.075193	0.079856	0.054234	0.037255	0.064521	0.048182	0.26171	0.083006	0.085111	0.1094	0.063845	0.035136	0.039639	0.052285	0.058299	0.044516	0.086826	0.046289	0.049088	0.057419
Meth__cg14520448__PQBP1	0.39252	0.061765	0.059192	0.027337	0.16958	0.013076	0.035256	0.049831	0.37615	0.55335	0.026432	0.23077	0.16081	0.51982	0.25194	0.4484	0.038134	0.3004	0.018621	0.023676	0.023211	0.14993	0.079016	0.29494	0.29865	0.34495	0.3456	0.29065	0.023667	0.14159	0.038905	0.057439	0.10963	0.21564	0.14055	0.031861
Meth__cg09439093__PECI	0.055394	0.047775	0.053815	0.044496	0.053148	0.037909	0.050021	0.075666	0.075373	0.056971	0.04644	0.062833	0.85966	0.025119	0.29592	0.037923	0.032026	0.89352	0.031884	0.043635	0.053285	0.041002	0.064686	0.045783	0.12749	0.17176	0.11785	0.045795	0.032694	0.038216	0.036071	0.035638	0.070685	0.049533	0.080687	0.057257
Meth__cg24371225__MGC42105	0.033896	0.071905	0.97614	0.035425	0.028658	0.83156	0.055265	0.98228	0.025216	0.028904	0.13387	0.077482	0.96836	0.021982	0.02793	0.97415	0.072064	0.048143	0.63021	0.026546	0.028956	0.43743	0.79978	0.042729	0.15431	0.95404	0.072919	0.063367	0.031444	0.31851	0.36367	0.97798	0.30713	0.031498	0.077025	0.43057
Meth__cg07671949__ESR1	0.087171	0.10258	0.90063	0.11318	0.11469	0.69243	0.12777	0.88143	0.084904	0.098113	0.89562	0.32943	0.7984	0.35407	0.12529	0.84228	0.90742	0.37754	0.3254	0.2919	0.11241	0.67899	0.77484	0.096199	0.25629	0.2133	0.14419	0.6613	0.69628	0.88281	0.82059	0.8234	0.21826	0.078114	0.53734	0.35653
Meth__cg00728602__C6orf27	0.041176	0.021055	0.044038	0.50642	0.042292	0.46772	0.052567	0.032551	0.017423	0.31027	0.28674	0.028969	0.057646	0.12431	0.027004	0.044103	0.019905	0.03172	0.020783	0.10466	0.064861	0.090871	0.067717	0.63547	0.097423	0.74781	0.077064	0.016863	0.02022	0.029141	0.25084	0.01598	0.061995	0.028333	0.56321	0.044319
Meth__cg06819200__ECE1	0.014046	0.99292	0.56207	0.023483	0.9417	0.011639	0.60389	0.73821	0.017067	0.015023	0.66515	0.0090021	0.81216	0.99263	0.53289	0.98685	0.0088203	0.65938	0.010677	0.99348	0.95171	0.69914	0.031728	0.013363	0.018153	0.016686	0.98419	0.072896	0.021184	0.010291	0.98918	0.99382	0.019895	0.01078	0.98258	0.98635
Meth__cg18371506__NRP2	0.039822	0.037218	0.17507	0.039518	0.031882	0.032596	0.045144	0.03544	0.049896	0.040578	0.038251	0.02648	0.37188	0.031061	0.033665	0.030511	0.040413	0.067701	0.030383	0.036234	0.043583	0.061666	0.071882	0.044063	0.059411	0.077796	0.077949	0.036395	0.032902	0.038557	0.053623	0.18425	0.065132	0.040073	0.03843	0.04932
Meth__cg09254939__KLK10	0.044632	0.043676	0.0433	0.14564	0.062996	0.35368	0.087065	0.030581	0.042455	0.038363	0.39856	0.44635	0.052992	0.045042	0.043756	0.045447	0.054872	0.054031	0.10108	0.037014	0.059771	0.059465	0.4036	0.068699	0.074197	0.63345	0.05664	0.040865	0.079262	0.095736	0.035869	0.099017	0.039683	0.053187	0.046384	0.052744
Meth__cg20504202__RP1-112K5.2	0.6035	0.33374	0.20108	0.077507	0.45707	0.05589	0.068889	0.068272	0.50073	0.061607	0.080945	0.52704	0.46621	0.42016	0.48383	0.62652	0.073952	0.51604	0.052244	0.051579	0.069657	0.49468	0.17559	0.48955	0.35466	0.55333	0.42335	0.57304	0.051607	0.19265	0.05197	0.050896	0.18188	0.51748	0.51726	0.058784
Meth__cg09875273__ERBB2	0.053791	0.015603	0.079565	0.026686	0.039669	0.037077	0.040262	0.041044	0.069294	0.080723	0.82974	0.067161	0.026325	0.016197	0.066076	0.03812	0.028524	0.058193	0.052415	0.046638	0.094865	0.064923	0.062746	0.019489	0.066418	0.023267	0.029278	0.053346	0.030688	0.040705	0.087138	0.03228	0.029851	0.019065	0.051128	0.050681
Meth__cg11654620__ECGF1	0.034691	0.02935	0.047408	0.12115	0.022133	0.84498	0.040417	0.027812	0.040953	0.037896	0.071013	0.63678	0.067802	0.030684	0.028817	0.9537	0.026206	0.077512	0.095929	0.96381	0.92112	0.044422	0.91725	0.050356	0.045037	0.062206	0.063223	0.035377	0.030248	0.037659	0.017839	0.032101	0.076504	0.028853	0.038435	0.039549
Meth__cg16691888__LRP2	0.10234	0.083452	0.94537	0.11679	0.082488	0.1596	0.11542	0.068816	0.099468	0.1054	0.13076	0.19194	0.51546	0.16409	0.085162	0.18765	0.06896	0.11247	0.11561	0.70466	0.1535	0.13928	0.12853	0.15183	0.18056	0.21705	0.097129	0.073807	0.060766	0.098087	0.10973	0.54842	0.19598	0.12633	0.27962	0.10203
Meth__cg19514928__TMEM56	0.058189	0.41431	0.36465	0.12108	0.36763	0.072098	0.072113	0.035581	0.023501	0.075241	0.059198	0.20255	0.26411	0.019722	0.058499	0.03382	0.17115	0.074574	0.057163	0.16359	0.42069	0.059831	0.060963	0.040917	0.29003	0.08923	0.3778	0.031663	0.025539	0.04152	0.18142	0.10721	0.037314	0.037811	0.040711	0.09938
Meth__cg02217814__LOC93343	0.089781	0.11873	0.08404	0.63072	0.088908	0.061089	0.099358	0.1104	0.069226	0.058682	0.10275	0.23487	0.26597	0.10304	0.082236	0.10924	0.1018	0.12184	0.087213	0.10675	0.1276	0.068686	0.1249	0.097452	0.25227	0.15937	0.13075	0.075863	0.081498	0.10126	0.11929	0.13642	0.19861	0.099442	0.15348	0.1042
Meth__cg10999429__ACVRL1	0.037431	0.018575	0.079092	0.21001	0.073447	0.043017	0.04854	0.51682	0.3533	0.029854	0.45684	0.3295	0.091968	0.013603	0.22276	0.12391	0.10588	0.025773	0.014509	0.051903	0.06923	0.048813	0.095569	0.041179	0.032978	0.063712	0.026466	0.028967	0.13284	0.022723	0.050522	0.043972	0.045827	0.023879	0.020012	0.023508
Meth__cg19391527__PNOC	0.14887	0.048461	0.60205	0.73781	0.35488	0.035851	0.19948	0.89399	0.39724	0.443	0.1034	0.45685	0.56831	0.06161	0.26554	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.31237	0.11577	0.16356	0.076018	0.11121	0.082147	0.045763	0.049613	0.045843	0.2461	0.10822	0.1407	0.16497	0.07463	0.065023
Meth__cg19572242__IRAK1	0.36002	0.053612	0.061108	0.060417	0.28595	0.038619	0.053545	0.24307	0.039273	0.39925	0.042687	0.068364	0.086222	0.0345	0.045933	0.27507	0.24364	0.10986	0.052148	0.026831	0.055154	0.39837	0.061197	0.063227	0.22512	0.24196	0.087979	0.31368	0.032502	0.17774	0.041393	0.13147	0.13971	0.43743	0.21774	0.041471
SNP__ADAM32	0.027	-0.542	-0.174	-0.204	1.083	0.534	0.98	-0.335	0.152	0.27	0.859	-0.54	-0.59	0.011	-0.036	-0.376	0.243	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.134	-0.446	0.072	-0.599	-0.199	-0.194	0.026	0.061	1.672	0.319	0.595	-0.507	-0.445
Meth__cg16584911__KIAA0828	0.087701	0.090017	0.10677	0.086627	0.06645	0.085049	0.092013	0.060132	0.090004	0.098036	0.090602	0.06975	0.10702	0.15511	0.09951	0.0818	0.089771	0.10482	0.076472	0.85802	0.097191	0.098097	0.07521	0.090355	0.095944	0.11	0.11141	0.094241	0.099482	0.098977	0.067572	0.062517	0.072701	0.085361	0.083883	0.096304
Meth__cg03160508__RHOD	0.021419	0.80453	0.03319	0.29692	0.022562	0.92197	0.078923	0.95821	0.018216	0.067687	0.28785	0.046384	0.069129	0.29034	0.018234	0.26828	0.080416	0.04714	0.16354	0.29472	0.1158	0.95363	0.53925	0.21547	0.033698	0.054176	0.7431	0.53411	0.018002	0.54044	0.023209	0.047963	0.062278	0.017331	0.022621	0.03428
Meth__cg13802364__RCOR2	0.031285	0.030625	0.043304	0.10941	0.022889	0.49949	0.030208	0.060092	0.023989	0.029125	0.66691	0.10108	0.12291	0.072249	0.024961	0.12217	0.033512	0.09256	0.025776	0.076266	0.048254	0.06024	0.53213	0.033446	0.066317	0.47796	0.03875	0.021674	0.028668	0.026489	0.026116	0.072751	0.041962	0.029523	0.028394	0.029282
Meth__cg09539438__NTRK2	0.026261	0.02504	0.83617	0.061234	0.019481	0.76229	0.025229	0.03363	0.020174	0.025004	0.70576	0.028097	0.045928	0.043432	0.023298	0.22773	0.014601	0.040628	0.020635	0.22077	0.034213	0.021244	0.94425	0.028781	0.066759	0.96782	0.029482	0.019351	0.019639	0.046841	0.010953	0.054516	0.038093	0.0332	0.022999	0.033682
Meth__cg08319991__UCHL1	0.18203	0.18583	0.93135	0.32746	0.25947	0.40383	0.9099	0.13856	0.043743	0.90655	0.4593	0.067999	0.87175	0.03932	0.062187	0.9119	0.044034	0.10094	0.073253	0.88841	0.88925	0.17515	0.79509	0.85093	0.12728	0.62477	0.091319	0.077381	0.25693	0.24908	0.11385	0.89806	0.1066	0.43867	0.45635	0.79802
Meth__cg21048501__MRPS24	0.037841	0.020228	0.023117	0.045037	0.021997	0.035122	0.062611	0.030979	0.027727	0.051528	0.018031	0.035859	0.034456	0.025585	0.020587	0.03624	0.027736	0.060623	0.027699	0.044936	0.068072	0.029925	0.047257	0.041446	0.051894	0.49254	0.033426	0.031442	0.039283	0.03151	0.042302	0.044146	0.063532	0.026612	0.028105	0.030981
Meth__cg07747970__LHX1	0.7622	0.029976	0.05113	0.29113	0.1294	0.79441	0.041637	0.72619	0.12003	0.037158	0.18214	0.062564	0.042196	0.21418	0.11249	0.45971	0.044269	0.066502	0.52237	0.024847	0.043308	0.035507	0.69174	0.035447	0.30372	0.059364	0.096926	0.039181	0.024415	0.033663	0.024681	0.035024	0.38939	0.63505	0.25127	0.28957
Meth__cg03099492__CYP26A1	0.048356	0.073171	0.95931	0.057698	0.040474	0.11744	0.054329	0.5228	0.055474	0.055887	0.8242	0.45891	0.51093	0.044951	0.044156	0.70409	0.069005	0.098044	0.062279	0.33081	0.635	0.54251	0.76864	0.064386	0.070854	0.092221	0.094251	0.05599	0.045839	0.05598	0.19924	0.4786	0.058857	0.05271	0.071262	0.05543
Meth__cg17691309__TPM2	0.03294	0.76953	0.98931	0.26103	0.40371	0.01125	0.96656	0.0070313	0.079102	0.97584	0.02105	0.17779	0.69849	0.87889	0.058989	0.49445	0.0089085	0.083176	0.0072849	0.62705	0.50383	0.56232	0.78885	0.53653	0.015549	0.89765	0.037592	0.0096596	0.015437	0.0089968	0.37138	0.81764	0.2468	0.046372	0.58112	0.9726
Meth__cg24386906__SART2	0.043405	0.044546	0.072987	0.047901	0.052926	0.039613	0.066165	0.036239	0.043976	0.048308	0.051714	0.060821	0.14419	0.052253	0.043069	0.048629	0.047209	0.0962	0.037265	0.044455	0.057235	0.063188	0.081193	0.06653	0.12565	0.12437	0.077717	0.04015	0.040438	0.048883	0.042073	0.49231	0.12646	0.054099	0.079397	0.063826
Meth__cg10409680__HLA-C	0.14972	0.15559	0.21806	0.028539	0.046745	0.065655	0.2889	0.038886	0.033831	0.026226	0.090105	0.050842	0.12636	0.12424	0.043426	0.073505	0.1251	0.16149	0.07138	0.10314	0.16271	0.12213	0.39808	0.04168	0.18222	0.088581	0.25543	0.11642	0.068339	0.096213	0.21608	0.03029	0.16159	0.18741	0.05537	0.075478
Meth__cg04316754__MMP24	0.076012	0.77175	0.67424	0.23765	0.058498	0.050072	0.82349	0.74232	0.08473	0.11823	0.60426	0.16298	0.6944	0.15214	0.092782	0.081032	0.058621	0.13042	0.080535	0.23671	0.15995	0.1666	0.89965	0.12989	0.13892	0.8717	0.34772	0.058404	0.063844	0.27422	0.10202	0.18638	0.13247	0.099308	0.52074	0.38984
Meth__cg05839235__NPR3	0.94423	0.69438	0.96745	0.18726	0.18034	0.9	0.51399	0.074024	0.074166	0.36121	0.41251	0.52018	0.48438	0.074671	0.056807	0.9577	0.044466	0.10347	0.39893	0.97492	0.96997	0.10205	0.93935	0.11051	0.35804	0.88617	0.48394	0.062261	0.037313	0.52794	0.049904	0.59615	0.58132	0.099142	0.5614	0.81469
Meth__cg06048156__ITGB3	0.61284	0.077247	0.90222	0.052252	0.040181	0.043626	0.41676	0.063778	0.044474	0.036365	0.054858	0.083131	0.10401	0.037463	0.045009	0.040261	0.043169	0.098183	0.12554	0.64073	0.58413	0.058672	0.58089	0.049134	0.083581	0.81678	0.13203	0.050015	0.36238	0.032029	0.040771	0.88857	0.11774	0.046679	0.14872	0.51607
Meth__cg08785133__PORCN	0.50111	0.36279	0.049685	0.035351	0.37923	0.032731	0.037277	0.056237	0.54243	0.49595	0.031407	0.45237	0.42455	0.61905	0.46958	0.56302	0.033042	0.53011	0.033498	0.042394	0.024949	0.036705	0.071107	0.47996	0.43826	0.43407	0.46147	0.47108	0.030765	0.52729	0.026539	0.04721	0.052619	0.46079	0.43755	0.037542
Meth__cg24182328__VMO1	0.83631	0.092834	0.61648	0.11632	0.24508	0.10554	0.26325	0.78837	0.26213	0.31852	0.49089	0.75471	0.68768	0.78271	0.24995	0.10628	0.095662	0.19148	0.079912	0.2083	0.15334	0.11162	0.13166	0.10424	0.1384	0.35245	0.10805	0.09706	0.063003	0.14362	0.554	0.75315	0.23879	0.11319	0.33202	0.40392
Meth__cg01340005__SOX2	0.021458	0.014427	0.059582	0.028035	0.023693	0.90991	0.029604	0.023274	0.020664	0.031615	0.023128	0.041721	0.089	0.021564	0.027265	0.036847	0.25878	0.038462	0.1237	0.014977	0.030026	0.059487	0.044706	0.024451	0.039803	0.048588	0.042602	0.018769	0.020482	0.015469	0.022386	0.074096	0.052971	0.02502	0.041217	0.021993
Meth__cg12928668__SEMA6A	0.043554	0.048792	0.05353	0.090734	0.043503	0.28077	0.046763	0.0527	0.041831	0.054404	0.042131	0.27182	0.39182	0.04403	0.051287	0.054465	0.079792	0.10655	0.053829	0.043711	0.050618	0.054303	0.47015	0.048189	0.080767	0.10668	0.082776	0.040243	0.049438	0.27049	0.03911	0.20805	0.064716	0.051717	0.044511	0.040754
Meth__cg12434587__MGMT	0.044359	0.089996	0.041647	0.02983	0.02179	0.037536	0.043572	0.0805	0.020295	0.024599	0.03138	0.020007	0.92319	0.018222	0.031756	0.03234	0.02558	0.099123	0.3332	0.016708	0.030064	0.049823	0.95279	0.73644	0.049577	0.56548	0.078149	0.022983	0.020755	0.39411	0.025296	0.025528	0.062322	0.033549	0.028268	0.035301
Meth__cg03691812__CORO1A	0.043263	0.047566	0.1702	0.046825	0.040054	0.098639	0.076073	0.067152	0.050864	0.046158	0.045748	0.095977	0.24867	0.03547	0.048019	0.073498	0.041581	0.097391	0.19917	0.050139	0.049022	0.06103	0.1108	0.05319	0.05734	0.2185	0.07514	0.032781	0.033893	0.098366	0.040002	0.14639	0.063231	0.08075	0.0493	0.063577
Meth__cg21717724__PSMD5	0.23575	0.12843	0.12557	0.08866	0.18649	0.93545	0.61188	0.61714	0.27949	0.63833	0.12859	0.22455	0.1264	0.089113	0.26464	0.14981	0.084044	0.14588	0.27287	0.10255	0.105	0.19771	0.86552	0.14558	0.20127	0.14775	0.127	0.1007	0.13224	0.13804	0.087146	0.12712	0.21689	0.12831	0.2321	0.22897
Meth__cg22238923__DOK1	0.063592	0.081867	0.16007	0.1135	0.17504	0.86249	0.31524	0.96851	0.037779	0.12613	0.077809	0.66478	0.15439	0.11768	0.040173	0.69312	0.3389	0.13285	0.61351	0.61461	0.50268	0.075334	0.082563	0.24701	0.078956	0.64915	0.065121	0.038827	0.33994	0.12634	0.21145	0.03517	0.10262	0.038826	0.34544	0.59538
Meth__cg07336230__KIF6	0.024464	0.02009	0.58879	0.02483	0.020693	0.62038	0.02295	0.017445	0.020632	0.028275	0.025191	0.023444	0.071728	0.013368	0.016427	0.017532	0.02612	0.040115	0.1424	0.018858	0.021892	0.022818	0.43548	0.023726	0.076774	0.063778	0.096128	0.026364	0.048927	0.083348	0.029205	0.019267	0.047812	0.026576	0.026591	0.024531
Meth__cg20931907__LOC340602	0.47844	0.17287	0.78384	0.91524	0.52281	0.2503	0.927	0.96729	0.56024	0.37128	0.87518	0.80924	0.093101	0.082047	0.41487	0.32491	0.87743	0.084626	0.03864	0.65959	0.46881	0.06594	0.08117	0.17426	0.03031	0.79872	0.085845	0.64467	0.041988	0.018789	0.95779	0.94606	0.073337	0.78237	0.34536	0.52764
Meth__cg15894661__PHACS	0.05208	0.03538	0.045026	0.39876	0.036684	0.35302	0.044514	0.040851	0.029841	0.038923	0.03564	0.038363	0.10574	0.032947	0.041752	0.032524	0.035111	0.16927	0.034996	0.033318	0.043403	0.044271	0.081859	0.07312	0.067075	0.049284	0.090285	0.037762	0.030314	0.03985	0.091557	0.05431	0.053298	0.05115	0.05746	0.37486
Meth__cg11248413__NEUROG1	0.30689	0.042813	0.65653	0.62548	0.34935	0.93005	0.94129	0.49637	0.017294	0.029883	0.98498	0.078604	0.97274	0.12222	0.031279	0.57477	0.15276	0.053866	0.23015	0.97408	0.96778	0.16478	0.9326	0.71091	0.037029	0.95133	0.065678	0.017504	0.043457	0.75746	0.019552	0.36227	0.082327	0.75852	0.90823	0.92376
Meth__cg15993674__PRNP	0.041368	0.053461	0.055806	0.042644	0.026067	0.036188	0.77186	0.043488	0.032044	0.043972	0.058662	0.021037	0.068111	0.059228	0.051102	0.034804	0.061908	0.08417	0.032059	0.033837	0.041762	0.053851	0.086135	0.045542	0.061629	0.14878	0.046405	0.031098	0.03351	0.033882	0.030453	0.045524	0.057076	0.036874	0.039851	0.034553
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.384	0.122	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	-0.3	-0.32	-0.289	0.37	0.095
