Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg10061117__SORL1	0.016696	0.013689	0.021845	0.02058	0.44619	0.021847	0.47707	0.023665	0.01197	0.018013	0.081166	0.15029	0.11838	0.018924	0.01507	0.08672	0.042547	0.2004	0.01206	0.052458	0.059021	0.17787	0.033392	0.018312	0.83941	0.011425	0.038462	0.83386	0.053218	0.064578	0.020979	0.024111	0.22595	0.029946	0.23923	0.01447	0.016701	0.01898	0.031188
Meth__cg19836808__S100A7	0.1007	0.029239	0.48766	0.15662	0.024322	0.056017	0.073963	0.12422	0.041285	0.045372	0.036956	0.30175	0.20595	0.017286	0.062784	0.058962	0.052161	0.038943	0.023663	0.15252	0.14406	0.64004	0.025433	0.60467	0.044653	0.036059	0.03812	0.15132	0.056404	0.11649	0.085762	0.071793	0.026687	0.022527	0.1777	0.10463	0.035816	0.062023	0.10381
Meth__cg16431978__KRTAP13-3	0.91546	0.11336	0.8727	0.56309	0.1856	0.65723	0.080421	0.96686	0.91576	0.1252	0.78814	0.15811	0.14538	0.31256	0.76757	0.4421	0.12492	0.17376	0.1301	0.16782	0.12839	0.20757	0.13594	0.67848	0.11816	0.12601	0.20477	0.2414	0.14899	0.12889	0.11274	0.12642	0.60003	0.12696	0.92747	0.092801	0.11294	0.29879	0.41199
Meth__cg04806409__TFF3	0.035557	0.032561	0.037521	0.040256	0.20564	0.04612	0.71755	0.95338	0.89698	0.035348	0.92937	0.9571	0.89681	0.01691	0.7252	0.93439	0.90995	0.57602	0.024878	0.058667	0.065771	0.034808	0.89202	0.020017	0.068755	0.04151	0.039454	0.91409	0.067252	0.93328	0.050082	0.16536	0.10699	0.044257	0.026628	0.097849	0.031009	0.061523	0.041831
Meth__cg07826255__SGCA	0.12084	0.13586	0.37489	0.133	0.32957	0.1215	0.15059	0.43688	0.2815	0.11288	0.22782	0.43508	0.18446	0.044563	0.20495	0.14602	0.096187	0.19176	0.087977	0.18765	0.11497	0.70799	0.38558	0.54626	0.093098	0.12479	0.09612	0.20654	0.23299	0.15066	0.20104	0.044899	0.08299	0.08604	0.13116	0.15485	0.10367	0.080553	0.062261
Meth__cg26035633__IDH3G	0.53748	0.037724	0.060025	0.35633	0.043745	0.051194	0.036267	0.45845	0.037241	0.036467	0.050468	0.047269	0.071095	0.03592	0.053053	0.23319	0.52479	0.073813	0.027394	0.041052	0.042388	0.48293	0.50091	0.47907	0.067374	0.046656	0.1565	0.45992	0.36233	0.045338	0.073171	0.28616	0.032082	0.48678	0.041707	0.23734	0.55112	0.22088	0.043195
Meth__cg14944362__PDYN	0.52131	0.051197	0.7848	0.56997	0.085092	0.29786	0.44355	0.5295	0.05408	0.54058	0.48242	0.45676	0.55692	0.051408	0.066734	0.53226	0.74576	0.10689	0.045704	0.20691	0.20253	0.34956	0.097846	0.46232	0.11009	0.23747	0.068511	0.63648	0.36102	0.12177	0.051414	0.33542	0.31969	0.05396	0.66086	0.23521	0.50574	0.18156	0.29701
Meth__cg15918284__GABRA2	0.45595	0.15203	0.19495	0.12283	0.85051	0.14431	0.13415	0.8068	0.16448	0.16949	0.80545	0.76004	0.80759	0.13131	0.12571	0.20732	0.39633	0.20341	0.075253	0.56961	0.16018	0.71029	0.43451	0.25594	0.77339	0.12687	0.23835	0.37193	0.57914	0.74523	0.22204	0.08749	0.096931	0.32074	0.90243	0.59516	0.12506	0.1464	0.29992
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.16354	0.47553	0.12248	0.14807	0.28099	0.53892	0.44097	0.092901	0.1176	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.14918	0.80384	0.83939	0.11046	0.10566	0.079673	0.13832	0.20462	0.15314	0.11629	0.054128	0.11648	0.16649	0.22973	0.14059	0.09937	0.10644
Meth__cg16098981__C20orf39	0.93383	0.049778	0.1066	0.20465	0.92638	0.28716	0.28357	0.7094	0.16107	0.26281	0.91523	0.90905	0.8715	0.1678	0.14211	0.089095	0.17456	0.082899	0.48487	0.062318	0.075775	0.77274	0.36276	0.90963	0.86515	0.61572	0.277	0.65167	0.8099	0.87572	0.045376	0.30144	0.13973	0.1838	0.42659	0.90207	0.056569	0.30928	0.067088
Meth__cg15379858__ChGn	0.034158	0.046692	0.92586	0.041229	0.59018	0.56407	0.94389	0.3365	0.029173	0.069172	0.89134	0.0633	0.079984	0.67597	0.34419	0.90874	0.925	0.058807	0.43564	0.82734	0.60529	0.077124	0.8902	0.86754	0.82727	0.86775	0.18682	0.91491	0.85081	0.050316	0.082776	0.88362	0.032444	0.49223	0.84771	0.9235	0.059573	0.74675	0.81435
Meth__cg05628549__PRKCDBP	0.96622	0.16524	0.97629	0.95506	0.49809	0.95208	0.033323	0.033661	0.08577	0.95679	0.046064	0.12535	0.92706	0.19141	0.17949	0.10098	0.03508	0.16353	0.035199	0.9726	0.95186	0.92398	0.10358	0.59688	0.047314	0.96435	0.18426	0.049415	0.92927	0.91566	0.18792	0.040717	0.028187	0.047584	0.5329	0.97579	0.97006	0.93959	0.9393
Meth__cg02298008__RAB39B	0.15791	0.045931	0.93266	0.042213	0.078589	0.93239	0.85528	0.36331	0.044234	0.041493	0.93111	0.35221	0.9317	0.13331	0.34704	0.42699	0.52363	0.26662	0.64557	0.03693	0.053385	0.47017	0.44053	0.46933	0.89591	0.68902	0.085989	0.45843	0.91525	0.49476	0.081628	0.10285	0.069743	0.10072	0.19078	0.95667	0.54927	0.55151	0.053087
Meth__cg05467106__ZNF689	0.03998	0.026783	0.042974	0.032659	0.037575	0.048336	0.026246	0.041516	0.033057	0.035487	0.040088	0.035275	0.097456	0.033029	0.46327	0.039855	0.040319	0.087814	0.035601	0.036081	0.051963	0.04813	0.043126	0.027629	0.072122	0.045504	0.096008	0.03887	0.082959	0.04879	0.040969	0.034326	0.03541	0.036824	0.90994	0.039746	0.042457	0.036204	0.040134
Meth__cg15591678__ZNF365	0.045456	0.038047	0.051857	0.031996	0.027104	0.06728	0.016928	0.16114	0.028694	0.03978	0.13224	0.037335	0.059131	0.030876	0.037238	0.04704	0.044199	0.071727	0.020145	0.034748	0.05722	0.039664	0.041542	0.027923	0.38684	0.051325	0.054407	0.032637	0.081023	0.065555	0.080352	0.044335	0.031421	0.033085	0.038016	0.031968	0.034266	0.037224	0.053463
Meth__cg11271605__STEAP4	0.046232	0.04751	0.89655	0.19108	0.78839	0.58266	0.50309	0.89553	0.038741	0.10316	0.65723	0.044431	0.12967	0.076346	0.45765	0.53793	0.48499	0.094155	0.26472	0.38049	0.04715	0.8804	0.18123	0.036601	0.85433	0.88027	0.059989	0.4923	0.077904	0.038027	0.069616	0.2029	0.031428	0.29262	0.63425	0.79415	0.083531	0.056251	0.074633
Meth__cg00718440__CDKN2A	0.082699	0.06867	0.082562	0.032447	0.041457	0.078407	0.021018	0.1032	0.052125	0.038478	0.17803	0.065664	0.069042	0.033795	0.073457	0.039581	0.56842	0.16204	0.027694	0.030568	0.059905	0.056444	0.11585	0.036998	0.61271	0.06185	0.065171	0.031144	0.080973	0.036306	0.071986	0.49263	0.038048	0.22234	0.031875	0.026792	0.036668	0.048871	0.072829
Meth__cg13079099__LENG9	0.06386	0.063436	0.55981	0.067534	0.039791	0.087789	0.39867	0.13031	0.038198	0.090822	0.051568	0.066179	0.10136	0.044979	0.045064	0.25189	0.47491	0.064798	0.033387	0.076653	0.11074	0.065334	0.36591	0.036515	0.083508	0.13122	0.069746	0.041342	0.074596	0.50887	0.10832	0.087696	0.036214	0.040015	0.50637	0.029008	0.072104	0.042091	0.07312
Meth__cg18008766__SFRS7	0.93794	0.65197	0.35486	0.31917	0.092334	0.081997	0.64976	0.051055	0.15963	0.32073	0.75879	0.083979	0.79344	0.10204	0.17399	0.24228	0.041624	0.26093	0.49768	0.61497	0.20795	0.9351	0.18885	0.30848	0.32658	0.2224	0.10026	0.47739	0.48924	0.64117	0.08337	0.03797	0.086509	0.85003	0.12013	0.78142	0.13269	0.70919	0.90627
Meth__cg02480835__NUPL2	0.066285	0.034255	0.08286	0.10304	0.084646	0.10836	0.097539	0.069515	0.043454	0.46425	0.044495	0.046651	0.1935	0.47989	0.046915	0.057189	0.044007	0.058654	0.06183	0.046684	0.087042	0.079056	0.033645	0.046101	0.089418	0.063613	0.10249	0.038802	0.12462	0.058034	0.038129	0.050655	0.061903	0.085794	0.049617	0.075129	0.043861	0.32405	0.33023
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.05002	0.049315	0.88459	0.048568	0.95166	0.98124	0.31235	0.048619	0.95776	0.89548	0.85139	0.063695	0.29594	0.96099	0.75764	0.70933	0.74376	0.10065	0.04704	0.086473	0.95444	0.10301	0.57359	0.042971	0.084074	0.74397	0.13299	0.79485	0.055699	0.054876	0.94499	0.067977	0.55097	0.78281	0.039587	0.20177	0.14567
Meth__cg06458239__ZNF549	0.43971	0.34477	0.088235	0.071857	0.077251	0.18788	0.25118	0.25353	0.088664	0.105	0.1127	0.27128	0.76912	0.86412	0.098113	0.11943	0.088847	0.16911	0.089392	0.3321	0.45223	0.11938	0.16015	0.1103	0.17288	0.07723	0.15114	0.07967	0.16894	0.12672	0.60782	0.1318	0.099195	0.11842	0.070947	0.17311	0.36771	0.72946	0.77059
Meth__cg03764506__ESRRA	0.039344	0.036598	0.35552	0.035821	0.035231	0.044699	0.029889	0.032525	0.026526	0.037967	0.048631	0.03972	0.0792	0.027015	0.037308	0.03218	0.031805	0.040586	0.027003	0.024792	0.031429	0.03655	0.049853	0.034617	0.094586	0.034602	0.041694	0.038732	0.096832	0.04367	0.071278	0.031333	0.024233	0.036245	0.24995	0.030978	0.04156	0.039515	0.040214
Meth__cg26524263__KLK13	0.60994	0.023823	0.66982	0.041592	0.91851	0.6977	0.086641	0.98306	0.15382	0.048747	0.95948	0.055531	0.47873	0.083503	0.16693	0.50895	0.64084	0.14918	0.02655	0.04059	0.072943	0.28728	0.034579	0.042637	0.82722	0.71275	0.039297	0.58756	0.92359	0.74415	0.043248	0.032329	0.066301	0.022074	0.91483	0.83352	0.024133	0.040653	0.033829
Meth__cg22889448__EMR1	0.15658	0.0815	0.46728	0.10172	0.077471	0.17238	0.1838	0.85497	0.064704	0.10746	0.093557	0.3285	0.48162	0.076829	0.07674	0.37262	0.24796	0.081442	0.081274	0.12371	0.17574	0.23575	0.20249	0.29782	0.081218	0.089414	0.10162	0.091943	0.10584	0.093689	0.11374	0.083968	0.078177	0.095814	0.11594	0.088272	0.097588	0.15957	0.0981
Meth__cg06110728__NELL2	0.064612	0.044152	0.098365	0.042428	0.47362	0.56305	0.14221	0.3592	0.062757	0.068335	0.60621	0.43884	0.45239	0.46736	0.079277	0.069219	0.11539	0.21797	0.36092	0.085679	0.052666	0.13197	0.058454	0.035267	0.5171	0.049122	0.20846	0.91055	0.16766	0.41931	0.091417	0.060146	0.035157	0.081041	0.060132	0.06004	0.061305	0.066498	0.056571
Meth__cg20856834__OR12D3	0.45013	0.078551	0.33772	0.047889	0.068294	0.29556	0.060949	0.85452	0.32433	0.16548	0.41601	0.1267	0.17212	0.044538	0.34907	0.39893	0.19428	0.12907	0.051487	0.10456	0.11555	0.090675	0.57459	0.77038	0.13654	0.077639	0.072189	0.13203	0.092895	0.050205	0.18239	0.103	0.33074	0.078133	0.31164	0.44699	0.19622	0.20189	0.19971
Meth__cg02998425__ADAM21	0.91957	0.022214	0.87992	0.61775	0.060832	0.59729	0.097906	0.96052	0.88027	0.34254	0.65188	0.48407	0.28164	0.037316	0.54179	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.92567	0.03813	0.94117	0.0625	0.22864	0.034629	0.12901	0.2955	0.061863	0.058077	0.14016	0.24169	0.031694	0.77112	0.36878	0.51482	0.55082	0.31261
Meth__cg17841529__OSBPL8	0.066152	0.051997	0.054559	0.053723	0.05344	0.048773	0.058635	0.035075	0.06442	0.049299	0.063091	0.06391	0.059428	0.04611	0.055575	0.049381	0.047524	0.10526	0.051185	0.048138	0.057309	0.79971	0.04477	0.042466	0.070764	0.050946	0.064732	0.047105	0.18252	0.049563	0.094219	0.040719	0.049554	0.050755	0.046327	0.051282	0.05131	0.25144	0.32482
Meth__cg05828624__REG1A	0.59271	0.11688	0.88003	0.090413	0.14558	0.76402	0.15907	0.66054	0.74007	0.12989	0.31849	0.62568	0.14474	0.20107	0.55594	0.33424	0.12905	0.24965	0.12652	0.090954	0.10497	0.14491	0.1295	0.47312	0.20518	0.1462	0.25992	0.11551	0.70619	0.1276	0.1746	0.51529	0.8387	0.16111	0.66509	0.11224	0.14362	0.3206	0.17422
Meth__cg15916628__ZNF579	0.095861	0.053042	0.25998	0.14837	0.83925	0.11582	0.83382	0.78023	0.12223	0.06546	0.6025	0.47647	0.4974	0.050293	0.1257	0.65217	0.53378	0.20199	0.27212	0.36003	0.3678	0.39849	0.65202	0.088502	0.41145	0.32094	0.20163	0.40801	0.51963	0.62289	0.080961	0.058166	0.48489	0.075974	0.36066	0.17208	0.070472	0.074426	0.21342
Meth__cg02643667__TFF1	0.049689	0.57512	0.052204	0.036582	0.76102	0.042216	0.91022	0.95344	0.93152	0.055862	0.93106	0.88398	0.84968	0.060999	0.76543	0.93325	0.94093	0.82079	0.061044	0.07162	0.048112	0.3084	0.88231	0.13065	0.24647	0.06176	0.16652	0.91611	0.088214	0.90776	0.52603	0.91637	0.93211	0.42609	0.04603	0.3582	0.046928	0.1667	0.071197
Meth__cg19793718__DHX37	0.037902	0.030976	0.033947	0.021048	0.029823	0.059933	0.036579	0.54873	0.028615	0.036075	0.037243	0.032275	0.054424	0.024497	0.040988	0.031869	0.033622	0.042117	0.026887	0.028301	0.035992	0.042439	0.035392	0.037272	0.057492	0.031864	0.053198	0.028339	0.10482	0.041652	0.054937	0.037327	0.032375	0.029113	0.02371	0.024257	0.027	0.036394	0.040428
Meth__cg07947930__PRELP	0.071486	0.059942	0.049466	0.069864	0.3019	0.081853	0.59593	0.10897	0.21375	0.12068	0.17468	0.31818	0.50206	0.071639	0.11258	0.10712	0.30012	0.10647	0.26646	0.057208	0.050774	0.11247	0.6021	0.057294	0.303	0.1002	0.13788	0.70515	0.046347	0.10619	0.17596	0.54051	0.10003	0.15366	0.17886	0.12723	0.05361	0.098588	0.060339
Meth__cg14191360__MET	0.074269	0.079447	0.23731	0.3502	0.098274	0.29223	0.12701	0.0907	0.087811	0.24633	0.061253	0.15179	0.15869	0.15742	0.088577	0.06649	0.069356	0.17442	0.65138	0.20591	0.10988	0.68728	0.078171	0.089577	0.11971	0.12666	0.11876	0.12379	0.41116	0.073449	0.29776	0.078853	0.05694	0.10438	0.19202	0.52356	0.31882	0.10881	0.19243
Meth__cg17926057__PSMD10	0.37465	0.087146	0.083926	0.13458	0.047606	0.0918	0.12532	0.36963	0.34149	0.058351	0.07136	0.10898	0.056519	0.077197	0.27227	0.13347	0.42402	0.10237	0.0554	0.047796	0.065163	0.42341	0.063651	0.25364	0.11716	0.087226	0.15945	0.39047	0.21799	0.070349	0.10719	0.37117	0.082033	0.28758	0.095664	0.14717	0.43687	0.090699	0.080417
Meth__cg09818732__FLJ20489	0.02806	0.017138	0.037056	0.037984	0.58179	0.031083	0.71407	0.13142	0.063002	0.037696	0.063854	0.22171	0.25541	0.020774	0.046568	0.051205	0.095746	0.068301	0.020227	0.022965	0.032293	0.62861	0.20839	0.045145	0.11189	0.038082	0.036495	0.072578	0.051163	0.12857	0.041563	0.02249	0.27622	0.071662	0.051277	0.030331	0.025479	0.034151	0.035593
Meth__cg22392276__CKB	0.23319	0.12478	0.30238	0.15917	0.55243	0.13457	0.6537	0.21355	0.30754	0.16049	0.5853	0.36398	0.25454	0.1331	0.25028	0.91543	0.21123	0.16592	0.13176	0.56019	0.50097	0.10661	0.20941	0.70243	0.27523	0.15951	0.22565	0.77044	0.14917	0.22206	0.19189	0.1349	0.25993	0.099782	0.18811	0.12	0.10335	0.12824	0.12499
Meth__cg01080862__IL13RA1	0.63108	0.041291	0.067451	0.35671	0.040136	0.06374	0.03574	0.37682	0.20329	0.061867	0.055195	0.12928	0.058288	0.029839	0.17039	0.31397	0.69882	0.30109	0.039444	0.045187	0.060622	0.65366	0.089867	0.61732	0.12826	0.06659	0.51573	0.61524	0.63357	0.054455	0.12348	0.6518	0.056768	0.56916	0.047761	0.44259	0.70939	0.3053	0.053125
Meth__cg05385377__TMEM51	0.24074	0.27722	0.41854	0.65565	0.61868	0.62256	0.097014	0.21245	0.039417	0.45604	0.056117	0.030242	0.063114	0.48718	0.072975	0.35251	0.03409	0.096687	0.22355	0.55106	0.54275	0.080689	0.5007	0.10193	0.16517	0.60126	0.098014	0.056236	0.39074	0.077572	0.16636	0.048656	0.049815	0.21393	0.47404	0.37095	0.10301	0.099321	0.12459
Meth__cg16363586__BST2	0.050365	0.70965	0.90209	0.21016	0.9133	0.071339	0.44402	0.81724	0.038872	0.1887	0.059482	0.054172	0.097206	0.032788	0.25715	0.65781	0.90906	0.065627	0.89566	0.75302	0.66259	0.36448	0.77492	0.057499	0.77939	0.83422	0.5775	0.91016	0.11679	0.889	0.85704	0.89816	0.038653	0.042633	0.056982	0.041434	0.89138	0.052058	0.045429
Meth__cg08462247__MYEOV2	0.049983	0.045671	0.057271	0.048431	0.04244	0.053238	0.078987	0.11957	0.21983	0.062364	0.066574	0.12452	0.063824	0.095431	0.1647	0.04631	0.13	0.090085	0.045453	0.035637	0.051327	0.060563	0.063584	0.058912	0.48551	0.060363	0.080536	0.044466	0.095276	0.086973	0.081346	0.065839	0.034881	0.061839	0.04657	0.04852	0.061357	0.047894	0.042385
Meth__cg02217159__KHDRBS2	0.39619	0.031793	0.92741	0.45692	0.58372	0.83821	0.33029	0.9614	0.19287	0.050885	0.86094	0.73576	0.25459	0.91372	0.20181	0.59603	0.31553	0.36988	0.040216	0.11533	0.12334	0.55324	0.15697	0.42473	0.80883	0.36369	0.076979	0.077051	0.86539	0.2321	0.057263	0.5262	0.47622	0.053831	0.60673	0.34206	0.40433	0.65143	0.6091
Meth__cg01962826__GRM4	0.089279	0.041097	0.91302	0.85921	0.16539	0.36231	0.80337	0.61775	0.066617	0.10677	0.56963	0.87606	0.67403	0.05137	0.28991	0.39556	0.3827	0.18528	0.032925	0.82683	0.49211	0.93213	0.81244	0.66667	0.55652	0.69927	0.16187	0.21267	0.91452	0.248	0.096121	0.12707	0.12124	0.036327	0.83718	0.76304	0.87814	0.2542	0.050127
Meth__cg24269657__F7	0.056111	0.051511	0.058098	0.042606	0.76352	0.059921	0.91985	0.87133	0.6965	0.060556	0.90854	0.66978	0.25574	0.046489	0.6288	0.79262	0.90838	0.25658	0.50243	0.058108	0.061339	0.069809	0.87754	0.049397	0.13595	0.056497	0.10795	0.64252	0.098957	0.11771	0.074924	0.16098	0.61849	0.20395	0.056495	0.060671	0.061808	0.052704	0.05492
Meth__cg13553204__CNKSR1	0.041228	0.045273	0.073766	0.063382	0.86385	0.057016	0.60734	0.24909	0.78677	0.045206	0.089074	0.3069	0.1417	0.093023	0.57068	0.13901	0.84734	0.10381	0.60519	0.077939	0.069682	0.054692	0.87802	0.066912	0.54061	0.068242	0.068323	0.81208	0.12214	0.13878	0.064973	0.89909	0.059324	0.50846	0.053721	0.038417	0.060363	0.048049	0.040235
Meth__cg06436504__DOC1	0.079046	0.056552	0.12424	0.12288	0.87227	0.19875	0.85724	0.94964	0.88928	0.13671	0.7351	0.39849	0.18633	0.2574	0.65473	0.18136	0.89733	0.78138	0.87068	0.23943	0.088829	0.45184	0.89468	0.096903	0.86003	0.095732	0.32077	0.93191	0.35787	0.054114	0.18246	0.90932	0.91649	0.92343	0.41926	0.04387	0.066534	0.075999	0.12581
Meth__cg09847584__RIMBP2	0.14844	0.14004	0.76719	0.087589	0.53735	0.44389	0.16702	0.92924	0.13057	0.12138	0.17769	0.92905	0.1513	0.10953	0.25569	0.14112	0.4265	0.19029	0.12452	0.3383	0.23848	0.88833	0.12446	0.41708	0.19052	0.10845	0.21743	0.15135	0.55853	0.14609	0.19856	0.09904	0.12152	0.10418	0.074831	0.15038	0.41408	0.12594	0.19967
Meth__cg06605933__BOLA1	0.16806	0.11106	0.80618	0.022171	0.75707	0.03593	0.31328	0.1942	0.50101	0.043222	0.18517	0.16805	0.55694	0.035501	0.46207	0.044658	0.64832	0.1283	0.64727	0.020406	0.03114	0.90724	0.11932	0.029323	0.94454	0.053552	0.053465	0.6499	0.099984	0.069542	0.08659	0.028718	0.032107	0.33653	0.77526	0.030164	0.030355	0.040927	0.042308
Meth__cg09967877__SYT12	0.025161	0.024028	0.031161	0.042502	0.42293	0.042959	0.95275	0.96831	0.031525	0.031037	0.17665	0.40282	0.077616	0.019046	0.038019	0.83445	0.035141	0.12787	0.055234	0.018193	0.030394	0.043409	0.91797	0.030766	0.32507	0.5612	0.026786	0.85579	0.0358	0.030296	0.47117	0.14314	0.016036	0.1659	0.78782	0.66579	0.035828	0.027042	0.028901
Meth__cg06392241__NUDT4	0.037071	0.2122	0.36074	0.059876	0.69862	0.036818	0.56387	0.053551	0.15241	0.055729	0.037144	0.036972	0.49877	0.034849	0.13808	0.0433	0.030092	0.061519	0.052156	0.76523	0.91822	0.76771	0.086548	0.19022	0.063345	0.18239	0.18511	0.047697	0.46601	0.17958	0.12156	0.037729	0.032977	0.10012	0.031323	0.049791	0.12321	0.22327	0.28627
Meth__cg09146695__LEF1	0.070533	0.055806	0.062928	0.054207	0.81078	0.063236	0.28404	0.057627	0.056393	0.05299	0.050982	0.038734	0.16538	0.051988	0.063566	0.059044	0.057906	0.19928	0.05163	0.057019	0.10165	0.044202	0.077701	0.047051	0.20767	0.075889	0.13036	0.063021	0.15056	0.075607	0.085915	0.043407	0.054221	0.068213	0.05358	0.06466	0.097543	0.072622	0.073252
Meth__cg26536259__BMP2	0.91127	0.37105	0.79242	0.26363	0.25961	0.89456	0.28221	0.10762	0.28997	0.094719	0.18882	0.21197	0.57007	0.085135	0.25391	0.21741	0.10102	0.39774	0.11133	0.23163	0.31336	0.16767	0.1979	0.11973	0.25374	0.3539	0.31621	0.12209	0.85133	0.13575	0.19877	0.074471	0.34383	0.10531	0.10351	0.82718	0.09267	0.27421	0.50707
Meth__cg11245384__PDYN	0.86312	0.066053	0.89532	0.88465	0.094195	0.26345	0.044085	0.76342	0.073097	0.066185	0.77291	0.90333	0.85056	0.029049	0.060988	0.46021	0.80444	0.054863	0.030367	0.63045	0.72225	0.7801	0.31964	0.90877	0.062818	0.65494	0.044724	0.77863	0.65352	0.13748	0.061499	0.49019	0.052625	0.23523	0.87577	0.4575	0.77727	0.40554	0.67478
Meth__cg19072037__NAT10	0.0186	0.015408	0.018854	0.022291	0.022081	0.021414	0.039947	0.011107	0.31185	0.021539	0.017964	0.029885	0.048581	0.02275	0.20768	0.012417	0.017375	0.057756	0.0168	0.014962	0.021878	0.015759	0.022143	0.014989	0.046863	0.024574	0.01553	0.012682	0.043156	0.01594	0.021902	0.01958	0.015885	0.015676	0.016014	0.017389	0.020175	0.021264	0.020776
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.63909	0.10767	0.27788	0.21835	0.24533	0.77333	0.19201	0.13245	0.25376	0.23782	0.2509	0.16485	0.2089	0.20077	0.22465	0.14815	0.16475	0.13124	0.15774	0.78845	0.20112	0.16157	0.45484	0.1721	0.13881	0.14153	0.29889	0.10098	0.087942	0.10622	0.20464	0.34642	0.53417	0.10853	0.12659	0.14646	0.14324
Meth__cg24424381__PEX11A	0.089511	0.056338	0.44298	0.081081	0.055615	0.056644	0.19016	0.061267	0.12479	0.077559	0.035714	0.077298	0.099895	0.083744	0.087299	0.050523	0.065277	0.078566	0.066484	0.05665	0.066631	0.061401	0.066579	0.03801	0.091021	0.074637	0.084975	0.048172	0.11212	0.070513	0.11181	0.040479	0.064661	0.074451	0.084826	0.10573	0.071278	0.057838	0.069481
Meth__cg08785534__GAL	0.1055	0.081009	0.30548	0.077289	0.40194	0.40151	0.51383	0.54361	0.10039	0.086872	0.11865	0.46917	0.27501	0.078074	0.085538	0.23006	0.1809	0.10602	0.073618	0.46172	0.3938	0.25457	0.66759	0.14043	0.5964	0.15616	0.13734	0.068319	0.55575	0.37042	0.12793	0.081558	0.079649	0.092146	0.1935	0.19008	0.087473	0.090697	0.085967
Meth__cg02087637__PCDHB8	0.17018	0.046429	0.66776	0.053328	0.52232	0.059564	0.14355	0.77164	0.57761	0.053685	0.38439	0.28127	0.25206	0.43005	0.46818	0.34244	0.14409	0.11185	0.053446	0.052109	0.22731	0.19168	0.54082	0.33235	0.2761	0.12983	0.14554	0.11501	0.51415	0.11813	0.055992	0.061474	0.16923	0.30892	0.34837	0.25306	0.18119	0.11399	0.16054
Meth__cg03959219__TSPYL4	0.084163	0.063144	0.062432	0.054619	0.056932	0.067293	0.08387	0.059897	0.057461	0.066477	0.074981	0.061282	0.59228	0.059318	0.064876	0.05347	0.053472	0.11391	0.056001	0.11536	0.067518	0.054266	0.068496	0.058678	0.06416	0.073916	0.11862	0.058869	0.10283	0.057028	0.10039	0.05494	0.06178	0.047397	0.047934	0.057052	0.061551	0.074631	0.0652
Meth__cg27519236__KIFC3	0.10299	0.91867	0.71866	0.098568	0.032391	0.5963	0.065059	0.037754	0.037947	0.041388	0.049771	0.03909	0.91267	0.53276	0.06246	0.037426	0.029542	0.1546	0.036692	0.92174	0.89375	0.047158	0.049547	0.059077	0.10197	0.85888	0.084071	0.043157	0.84109	0.38627	0.43408	0.028421	0.02837	0.033542	0.9424	0.94481	0.39809	0.92052	0.89771
Meth__cg19504245__TNNT1	0.043725	0.032642	0.055356	0.16695	0.53309	0.19196	0.70505	0.73818	0.030327	0.052454	0.40707	0.18212	0.32398	0.027369	0.03452	0.62319	0.081711	0.069246	0.021464	0.059518	0.050608	0.63732	0.37427	0.15018	0.18813	0.11592	0.04706	0.68104	0.62889	0.061136	0.070463	0.26304	0.035674	0.028584	0.12166	0.41956	0.11489	0.20805	0.38972
Meth__cg17960516__FLJ33718	0.057672	0.05988	0.065058	0.14031	0.85009	0.077792	0.60216	0.079292	0.075765	0.058749	0.95668	0.08268	0.81451	0.048638	0.066086	0.95973	0.10917	0.099423	0.040861	0.035983	0.097565	0.14482	0.83766	0.041303	0.20457	0.073781	0.081603	0.58538	0.50231	0.085494	0.13201	0.061241	0.058477	0.10952	0.85898	0.044269	0.044351	0.047378	0.070134
Meth__cg19850348__PYGO1	0.31615	0.14007	0.42853	0.97505	0.7649	0.9711	0.039583	0.028318	0.030396	0.60668	0.069781	0.17975	0.90867	0.20063	0.037791	0.148	0.02743	0.091027	0.026268	0.98509	0.91555	0.93423	0.038671	0.51867	0.34811	0.046197	0.060478	0.083915	0.97267	0.6682	0.083177	0.028262	0.78028	0.69095	0.62217	0.97874	0.13546	0.71824	0.86988
Meth__cg22477971__C1QB	0.66867	0.042449	0.58753	0.35406	0.055725	0.27506	0.51855	0.509	0.061315	0.09166	0.092337	0.26225	0.63026	0.056075	0.066922	0.48365	0.47889	0.14958	0.058087	0.24202	0.24173	0.90206	0.13627	0.37689	0.10715	0.21514	0.090168	0.072436	0.096581	0.21141	0.090375	0.25924	0.056673	0.09606	0.33709	0.56406	0.10687	0.11169	0.079979
