Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21816539__GRIK1	0.037614	0.023693	0.81503	0.033832	0.81599	0.94282	0.65967	0.066341	0.056615	0.94723	0.90416	0.74076	0.13158	0.042463	0.55839	0.072512	0.48767	0.40532	0.38703	0.41607	0.79924	0.057605	0.051462	0.87938	0.060328	0.4204	0.1186	0.45577	0.42489	0.037047	0.846	0.080432	0.9322	0.16571	0.052811
Meth__cg09980622__BOLA1	0.023931	0.34484	0.10743	0.031365	0.53191	0.021035	0.01828	0.021614	0.030523	0.021905	0.090047	0.14219	0.019059	0.020891	0.31537	0.040071	0.41375	0.018911	0.018726	0.063277	0.94718	0.036582	0.047871	0.042128	0.032978	0.013227	0.01368	0.074218	0.74002	0.021886	0.030271	0.05996	0.054698	0.022798	0.018315
Meth__cg01316819__PPP1R1A	0.037477	0.037677	0.2771	0.046132	0.7817	0.061649	0.14029	0.02421	0.029383	0.68795	0.037441	0.14005	0.025476	0.03676	0.079654	0.04681	0.024924	0.045167	0.042491	0.07169	0.81215	0.037742	0.051481	0.15112	0.030439	0.029705	0.026341	0.03482	0.034872	0.024592	0.037277	0.049889	0.027558	0.032024	0.024718
Meth__cg26044825__NFIC	0.022681	0.037918	0.097244	0.036034	0.49348	0.40532	0.41409	0.020677	0.16148	0.022904	0.87572	0.85771	0.032873	0.46277	0.016223	0.081449	0.024923	0.060014	0.10037	0.43411	0.13427	0.055571	0.053543	0.038411	0.056092	0.053524	0.032279	0.40234	0.10641	0.023455	0.017	0.083641	0.028623	0.024191	0.021492
Meth__cg17240454__SPDEF	0.071921	0.080569	0.84438	0.16096	0.85402	0.15374	0.85936	0.8863	0.68586	0.87125	0.79173	0.60177	0.76141	0.80445	0.85362	0.74246	0.25603	0.40124	0.61252	0.90162	0.4453	0.12263	0.14173	0.21596	0.14137	0.86674	0.67935	0.17641	0.29944	0.093849	0.058771	0.15884	0.098917	0.068695	0.068567
Meth__cg00901493__YBX2	0.035067	0.036062	0.056282	0.60146	0.95157	0.047868	0.036085	0.04268	0.056777	0.047596	0.10758	0.090122	0.0475	0.32026	0.10358	0.1237	0.43951	0.034767	0.055342	0.85617	0.83843	0.43328	0.053123	0.10598	0.046332	0.50119	0.085473	0.95672	0.09875	0.04392	0.033836	0.076683	0.037995	0.051802	0.054314
Meth__cg25097436__RTN1	0.044815	0.035826	0.86765	0.06943	0.81228	0.047293	0.037354	0.028906	0.041697	0.95459	0.40301	0.88476	0.033497	0.58102	0.08775	0.063855	0.57475	0.37478	0.094887	0.16159	0.93724	0.039698	0.087454	0.43322	0.060129	0.021722	0.037376	0.037202	0.87959	0.031647	0.75402	0.32727	0.029665	0.17156	0.22704
Meth__cg15164103__MEST	0.10477	0.061122	0.079719	0.10935	0.83768	0.32679	0.77847	0.089425	0.070967	0.7729	0.22371	0.18813	0.080125	0.48316	0.093475	0.086716	0.73864	0.069605	0.075672	0.80676	0.39966	0.082264	0.074784	0.13324	0.084048	0.85847	0.074231	0.16068	0.24663	0.062201	0.4498	0.49294	0.075451	0.06903	0.080966
Meth__cg23706211__CELSR2	0.066642	0.084048	0.56494	0.28676	0.72559	0.41593	0.44019	0.10187	0.049425	0.88545	0.47567	0.17902	0.10198	0.41362	0.25575	0.055823	0.14088	0.053288	0.10859	0.87533	0.7673	0.2634	0.15691	0.45314	0.1834	0.50101	0.071149	0.27864	0.062123	0.095748	0.43932	0.18096	0.11298	0.090696	0.058996
Meth__cg10316381__SNX10	0.045696	0.041532	0.045158	0.050536	0.84289	0.049226	0.049896	0.036634	0.041314	0.047838	0.036284	0.085114	0.041305	0.049113	0.044935	0.061016	0.14083	0.03641	0.048294	0.074795	0.20982	0.043141	0.057357	0.098512	0.07882	0.034613	0.039113	0.041578	0.050691	0.036098	0.039323	0.10144	0.043427	0.041017	0.04794
Meth__cg26976437__LY6K	0.92	0.36664	0.51035	0.94032	0.049234	0.91669	0.071885	0.058947	0.6243	0.94053	0.3568	0.13629	0.49273	0.27238	0.047109	0.38557	0.037731	0.95662	0.92655	0.040696	0.10805	0.90331	0.42161	0.88879	0.28287	0.094598	0.046038	0.061018	0.91234	0.028568	0.91782	0.76721	0.94558	0.90714	0.91439
Meth__cg23410627__CH25H	0.16686	0.050078	0.90113	0.33952	0.62966	0.47918	0.3827	0.053508	0.058414	0.55094	0.84985	0.79756	0.092927	0.88582	0.055145	0.25632	0.86562	0.22197	0.17741	0.5326	0.40902	0.21704	0.092065	0.50919	0.16451	0.19503	0.045523	0.50972	0.33364	0.037071	0.77874	0.27431	0.37751	0.27841	0.76518
Meth__cg12149391__DLG1	0.060346	0.038427	0.053483	0.04438	0.93464	0.049628	0.31277	0.056491	0.040136	0.060142	0.046278	0.087053	0.052887	0.093855	0.031438	0.11233	0.81696	0.030249	0.038581	0.25081	0.14355	0.047258	0.094878	0.070872	0.099385	0.068792	0.044634	0.058814	0.056233	0.05123	0.040331	0.055792	0.047398	0.055051	0.047404
Meth__cg02932689__MAP1LC3B	0.078632	0.072285	0.22101	0.11092	0.4567	0.061183	0.18403	0.11555	0.088311	0.076246	0.30158	0.10306	0.11325	0.097151	0.090058	0.15259	0.47787	0.042837	0.061417	0.17061	0.34406	0.12479	0.079357	0.13505	0.082098	0.045574	0.04582	0.079906	0.074795	0.051326	0.057201	0.095143	0.067881	0.051517	0.054965
Meth__cg05621401__RET	0.071251	0.067762	0.09261	0.045105	0.8755	0.071494	0.31809	0.044376	0.97801	0.49979	0.82926	0.97039	0.040055	0.050204	0.19726	0.077992	0.036639	0.048155	0.034938	0.16556	0.91516	0.048311	0.07058	0.092155	0.050925	0.048221	0.03728	0.034182	0.096162	0.054113	0.89685	0.070896	0.083552	0.051518	0.20906
Meth__cg07947930__PRELP	0.071486	0.059942	0.80974	0.049466	0.3019	0.081853	0.10897	0.21375	0.12068	0.17468	0.31818	0.50206	0.11258	0.10712	0.30012	0.10647	0.26646	0.057208	0.050774	0.6021	0.303	0.1002	0.13788	0.046347	0.17596	0.54051	0.10003	0.15366	0.17886	0.071328	0.12723	0.13558	0.05361	0.098588	0.060339
Meth__cg25553916__FLJ22318	0.089485	0.11383	0.16207	0.18897	0.71702	0.14667	0.33907	0.50594	0.16439	0.44825	0.69358	0.21934	0.41497	0.20196	0.29046	0.1814	0.85917	0.16831	0.091174	0.82307	0.65092	0.093989	0.23545	0.18641	0.17264	0.32593	0.49938	0.53574	0.12093	0.14055	0.11189	0.12436	0.1739	0.087772	0.10441
Meth__cg27650434__MYCL1	0.052684	0.093831	0.10222	0.076676	0.76885	0.055397	0.066424	0.056666	0.049452	0.21114	0.031609	0.22678	0.055824	0.04359	0.12496	0.088428	0.17654	0.03897	0.095279	0.13566	0.36209	0.041912	0.05087	0.11246	0.079981	0.081907	0.034023	0.43382	0.27734	0.027185	0.28439	0.060747	0.43772	0.037503	0.045684
Meth__cg25856811__SPRR3	0.6084	0.049211	0.09487	0.8658	0.045792	0.80593	0.90624	0.4204	0.3397	0.077968	0.34626	0.4183	0.44997	0.064226	0.37601	0.19952	0.043158	0.51121	0.56574	0.048869	0.097966	0.11855	0.1227	0.16018	0.10823	0.049958	0.48066	0.042255	0.13483	0.046424	0.21771	0.05794	0.84783	0.4933	0.56495
Meth__cg25302419__CTNND2	0.058073	0.044977	0.54982	0.051625	0.6297	0.061789	0.19767	0.040079	0.049605	0.63671	0.43027	0.59746	0.037522	0.053229	0.05934	0.089802	0.15474	0.033818	0.05774	0.052459	0.82575	0.062717	0.083876	0.095206	0.092656	0.046281	0.050856	0.18075	0.038879	0.039399	0.046631	0.080322	0.053202	0.040636	0.053892
Meth__cg26832142__PDE4B	0.039839	0.030698	0.91361	0.36816	0.68915	0.89389	0.31579	0.025867	0.14514	0.7837	0.29854	0.81112	0.026565	0.57034	0.066057	0.03924	0.039552	0.40735	0.38396	0.04727	0.7346	0.59466	0.054698	0.35789	0.10481	0.062459	0.48475	0.14725	0.73007	0.21742	0.57489	0.11086	0.049226	0.46234	0.16418
Meth__cg03160740__VIPR1	0.093005	0.080052	0.54206	0.11252	0.84787	0.13392	0.1234	0.43309	0.067363	0.16082	0.16407	0.13815	0.41646	0.54279	0.40417	0.23208	0.58672	0.052557	0.11759	0.30774	0.14144	0.093679	0.070031	0.14282	0.1167	0.10994	0.09667	0.25902	0.050429	0.046761	0.0489	0.069621	0.044773	0.16847	0.062449
Meth__cg19282714__PADI2	0.036268	0.034236	0.041509	0.036846	0.53278	0.034192	0.026023	0.031094	0.043401	0.93971	0.024015	0.076939	0.037422	0.03922	0.19361	0.072585	0.032299	0.029928	0.039278	0.63815	0.50691	0.044423	0.058041	0.10107	0.056917	0.037873	0.023819	0.23553	0.038279	0.033351	0.029424	0.077267	0.040268	0.032652	0.043961
Meth__cg20981893__HSD11B2	0.066224	0.053157	0.3302	0.20499	0.22805	0.061573	0.10165	0.059054	0.113	0.065682	0.063152	0.39372	0.06911	0.66833	0.136	0.098285	0.5346	0.06016	0.075455	0.071306	0.16137	0.068261	0.097838	0.12189	0.13813	0.067901	0.059038	0.06317	0.073996	0.066363	0.84051	0.089926	0.067626	0.064512	0.059206
Meth__cg20775254__PROM2	0.036543	0.049188	0.044304	0.082275	0.91298	0.083349	0.093197	0.09339	0.21263	0.54263	0.18692	0.057629	0.15647	0.053723	0.92152	0.086994	0.4843	0.19737	0.12521	0.9104	0.85301	0.063473	0.064675	0.066948	0.059881	0.69326	0.039992	0.90239	0.11714	0.074019	0.032574	0.13097	0.17237	0.050218	0.040371
Meth__cg06023257__GAB2	0.02621	0.039296	0.31432	0.072996	0.4323	0.51052	0.056091	0.023484	0.1023	0.22371	0.036277	0.27059	0.029087	0.52117	0.051717	0.077693	0.021551	0.11625	0.034183	0.039764	0.66093	0.038974	0.068157	0.5831	0.059994	0.066581	0.029387	0.043053	0.38825	0.024611	0.14613	0.11043	0.025373	0.35641	0.11151
Meth__cg12400881__PPL	0.037612	0.042573	0.048674	0.041596	0.90836	0.043749	0.056685	0.026984	0.035215	0.43935	0.043209	0.046124	0.03587	0.03371	0.054953	0.056037	0.15321	0.02647	0.042615	0.62091	0.8052	0.03743	0.067464	0.077351	0.04651	0.35634	0.026324	0.41415	0.028904	0.024277	0.025551	0.098641	0.033588	0.027178	0.045866
Meth__cg05627103__KIAA1984	0.047472	0.1654	0.6284	0.044339	0.96261	0.057034	0.1107	0.087317	0.042011	0.24665	0.6406	0.44824	0.12031	0.24799	0.11654	0.076936	0.47367	0.044525	0.065835	0.60136	0.67416	0.049384	0.066557	0.20082	0.13686	0.083784	0.04565	0.89997	0.041602	0.034596	0.051008	0.13584	0.049454	0.048894	0.048718
Meth__cg14480463__INT1	0.05151	0.051719	0.066076	0.066422	0.36022	0.22159	0.076463	0.069965	0.42863	0.067079	0.12536	0.1765	0.08427	0.14729	0.042483	0.10224	0.060826	0.037778	0.24581	0.080324	0.83368	0.075356	0.097029	0.27733	0.067438	0.053546	0.046725	0.22561	0.05536	0.16177	0.061321	0.097855	0.072866	0.059171	0.065532
Meth__cg10951619__FAM5C	0.26611	0.056186	0.20346	0.10926	0.83588	0.1214	0.36509	0.085425	0.19165	0.32089	0.20645	0.47664	0.099781	0.56795	0.09	0.24176	0.17204	0.24914	0.19525	0.16094	0.59223	0.14799	0.33596	0.36968	0.1029	0.14526	0.31904	0.24864	0.71609	0.076741	0.6712	0.13338	0.063958	0.089048	0.11531
Meth__cg03972838__FLJ20232	0.028581	0.017815	0.020966	0.021194	0.6982	0.020481	0.68681	0.021515	0.022309	0.44842	0.05059	0.041092	0.019283	0.22533	0.95374	0.020229	0.083936	0.062454	0.17862	0.68524	0.53528	0.083977	0.062417	0.024011	0.022876	0.019499	0.17901	0.025816	0.4774	0.016249	0.014743	0.037481	0.04039	0.023372	0.023045
Meth__cg08785534__GAL	0.1055	0.081009	0.13738	0.30548	0.40194	0.40151	0.54361	0.10039	0.086872	0.11865	0.46917	0.27501	0.085538	0.23006	0.1809	0.10602	0.073618	0.46172	0.3938	0.66759	0.5964	0.15616	0.13734	0.55575	0.12793	0.081558	0.079649	0.092146	0.1935	0.19688	0.19008	0.14138	0.087473	0.090697	0.085967
Meth__cg27239921__CACNA1D	0.034528	0.062555	0.55841	0.048714	0.43247	0.082039	0.047785	0.040342	0.041819	0.24238	0.42047	0.47978	0.048632	0.1361	0.057302	0.086615	0.028382	0.025757	0.034833	0.15358	0.61769	0.04431	0.068597	0.085981	0.087463	0.31044	0.082892	0.066992	0.10038	0.034011	0.033637	0.047886	0.039523	0.035209	0.034658
Meth__cg19224837__GSC	0.02	0.019276	0.1644	0.021441	0.85176	0.02875	0.98193	0.023671	0.022954	0.027655	0.022564	0.082629	0.020639	0.051783	0.024256	0.047767	0.058909	0.015927	0.022751	0.02445	0.95346	0.021332	0.038482	0.2785	0.073118	0.024932	0.026849	0.056662	0.017273	0.021094	0.052714	0.11116	0.029034	0.025353	0.026633
Meth__cg23009046__PVRL1	0.051279	0.035336	0.062094	0.045271	0.55211	0.039865	0.083399	0.040135	0.039767	0.047347	0.048359	0.055888	0.039181	0.044328	0.041531	0.078621	0.051568	0.055572	0.049612	0.56487	0.066464	0.041561	0.047242	0.057129	0.049326	0.065406	0.053949	0.068141	0.035533	0.056914	0.035763	0.032687	0.040062	0.039754	0.039478
Meth__cg21529807__CEACAM4	0.70078	0.05845	0.045091	0.80248	0.027494	0.063861	0.046347	0.040513	0.044357	0.078231	0.037869	0.16283	0.038055	0.054103	0.043335	0.095366	0.046887	0.18177	0.16558	0.11671	0.055377	0.093377	0.059216	0.1276	0.078246	0.06243	0.054774	0.041566	0.22294	0.036262	0.40508	0.086351	0.43294	0.18032	0.17143
Meth__cg13804316__XKR8	0.058245	0.24737	0.061794	0.67695	0.58144	0.066757	0.058392	0.049589	0.073537	0.16236	0.34174	0.2567	0.060084	0.11254	0.12879	0.084186	0.255	0.063254	0.063769	0.58141	0.68213	0.069225	0.099423	0.11592	0.22438	0.096406	0.06594	0.19116	0.1257	0.067534	0.047966	0.073903	0.076583	0.053742	0.069663
Meth__cg26831415__EFHA2	0.95279	0.035889	0.95199	0.9649	0.024531	0.9594	0.035559	0.5797	0.036742	0.054854	0.065959	0.54088	0.56758	0.034476	0.051866	0.14235	0.024772	0.90309	0.76736	0.035667	0.039973	0.11471	0.071332	0.91688	0.072047	0.038069	0.032897	0.046137	0.53392	0.037606	0.96193	0.069995	0.95675	0.55147	0.40207
Meth__cg22585988__PVRL4	0.026399	0.015309	0.036963	0.019419	0.95734	0.0235	0.017342	0.014845	0.01694	0.88553	0.019854	0.03884	0.018761	0.061356	0.95308	0.026903	0.74041	0.024257	0.019638	0.94787	0.96822	0.03107	0.039588	0.031959	0.024859	0.93885	0.019266	0.93054	0.015303	0.019277	0.016235	0.046166	0.02521	0.022484	0.018927
Meth__cg17307280__DRD1	0.048513	0.047482	0.90773	0.24782	0.77153	0.12499	0.4048	0.041618	0.059489	0.27415	0.15414	0.40566	0.060018	0.058299	0.29007	0.10353	0.035994	0.059734	0.060758	0.065043	0.71227	0.056171	0.071211	0.23534	0.04542	0.037255	0.060048	0.12583	0.3365	0.029071	0.35975	0.16453	0.055823	0.066301	0.083616
Meth__cg04316770__RUTBC3	0.07362	0.036757	0.050119	0.05093	0.050212	0.038797	0.029675	0.05589	0.080775	0.039653	0.052097	0.068823	0.040156	0.036751	0.04153	0.054643	0.032921	0.047344	0.066458	0.055492	0.067366	0.052866	0.067964	0.051952	0.070943	0.036691	0.033718	0.028197	0.024673	0.02485	0.043646	0.36136	0.06413	0.065053	0.068788
Meth__cg21932800__TMEM32	0.029884	0.024562	0.50425	0.35685	0.66349	0.028256	0.2922	0.085399	0.54561	0.038026	0.12899	0.4627	0.13485	0.050301	0.17966	0.2822	0.81542	0.051257	0.03352	0.047413	0.48186	0.24806	0.1921	0.44997	0.10571	0.032049	0.034051	0.19343	0.13456	0.036587	0.11793	0.030922	0.41378	0.24778	0.043954
Meth__cg24371157__PDCD4	0.037293	0.036518	0.70389	0.043776	0.048147	0.046362	0.036602	0.057385	0.062081	0.049714	0.054293	0.4906	0.07121	0.048697	0.15137	0.06501	0.035686	0.039228	0.045381	0.039812	0.068499	0.04663	0.04699	0.051958	0.078257	0.025666	0.028157	0.043668	0.1997	0.13097	0.040118	0.051364	0.033665	0.032428	0.035241
Meth__cg21680178__GPATC3	0.15601	0.092107	0.11547	0.12098	0.080269	0.11461	0.06246	0.090757	0.12173	0.11899	0.20898	0.080478	0.12796	0.11897	0.096213	0.13613	0.063925	0.080854	0.12552	0.10273	0.12814	0.1224	0.11898	0.11907	0.1035	0.08152	0.10038	0.11248	0.064523	0.08174	0.052427	0.22876	0.13995	0.53229	0.52623
Meth__cg15415545__SULT1A3	0.020369	0.014745	0.36321	0.35894	0.82904	0.030074	0.016929	0.039043	0.32225	0.029564	0.44373	0.028019	0.0338	0.017808	0.18224	0.20138	0.92205	0.01505	0.018125	0.28623	0.86958	0.19884	0.026295	0.20525	0.019147	0.055262	0.023503	0.74812	0.016246	0.1177	0.011199	0.048458	0.019089	0.017998	0.021266
Meth__cg01172899__SLC16A14	0.058537	0.38384	0.34659	0.11106	0.86698	0.11523	0.17485	0.071455	0.21945	0.12243	0.35792	0.77848	0.10135	0.44428	0.13639	0.10199	0.39893	0.53061	0.20053	0.86897	0.5538	0.089871	0.12688	0.17717	0.34775	0.63182	0.093569	0.6174	0.22436	0.11467	0.44468	0.14427	0.45268	0.096006	0.15851
Meth__cg03752885__DAPK3	0.31684	0.18018	0.11941	0.1828	0.092403	0.15304	0.12903	0.79441	0.5557	0.43812	0.76245	0.30489	0.63549	0.20223	0.07884	0.13225	0.08197	0.35891	0.1451	0.18026	0.12034	0.30614	0.16601	0.40683	0.14466	0.13532	0.15381	0.13524	0.095045	0.18212	0.1874	0.31985	0.78868	0.16899	0.21651
Meth__cg24889366__GNG13	0.039695	0.034513	0.50619	0.040614	0.55077	0.046729	0.60194	0.047528	0.045447	0.58631	0.10593	0.20493	0.054546	0.85567	0.47782	0.094947	0.049739	0.049619	0.042227	0.93341	0.67336	0.16198	0.056211	0.24133	0.068439	0.077284	0.038898	0.027971	0.029247	0.027773	0.026613	0.073254	0.034775	0.044332	0.042113
Meth__cg27420236__RPRM	0.045339	0.039058	0.94996	0.91628	0.77288	0.83467	0.02843	0.038177	0.042327	0.96255	0.59307	0.82287	0.051712	0.80851	0.45226	0.25472	0.25177	0.083172	0.68829	0.73754	0.89236	0.15033	0.050382	0.92771	0.052215	0.042465	0.027799	0.74537	0.1749	0.025989	0.73172	0.60873	0.074945	0.33443	0.6836
Meth__cg27352992__CNTN1	0.042816	0.035149	0.90203	0.17669	0.55338	0.91177	0.03267	0.039046	0.045571	0.91466	0.087924	0.613	0.30131	0.78699	0.38165	0.09659	0.050707	0.48573	0.53393	0.109	0.63095	0.047929	0.111	0.8543	0.06868	0.30876	0.041616	0.14289	0.83866	0.052234	0.79448	0.1869	0.06391	0.044901	0.31737
Meth__cg12420104__DMRT3	0.073473	0.092382	0.84257	0.082733	0.79487	0.87356	0.087773	0.23352	0.92395	0.70284	0.062046	0.6163	0.21152	0.5986	0.2283	0.23611	0.2454	0.82661	0.66072	0.18161	0.82187	0.072507	0.087129	0.85991	0.084873	0.064502	0.085397	0.3665	0.054338	0.053723	0.92075	0.46785	0.21158	0.12569	0.055898
Meth__cg06297145__NFXL1	0.060312	0.065239	0.064789	0.062356	0.34523	0.063467	0.31602	0.057896	0.070435	0.0688	0.040503	0.1336	0.060489	0.069778	0.053358	0.12335	0.098599	0.029313	0.068873	0.065849	0.15411	0.057537	0.096957	0.15414	0.090646	0.072449	0.084064	0.25811	0.11832	0.039501	0.087537	0.15296	0.059483	0.052094	0.060776
Meth__cg09264112__GCHFR	0.026848	0.017341	0.45866	0.02911	0.029893	0.02691	0.20277	0.77288	0.040599	0.90311	0.89147	0.33502	0.56673	0.89826	0.96592	0.053579	0.12262	0.035768	0.031224	0.69901	0.94071	0.03592	0.032637	0.042022	0.038985	0.024046	0.046633	0.014271	0.28163	0.60827	0.33646	0.094851	0.031284	0.02296	0.032635
Meth__cg00910067__SLC7A10	0.089718	0.040066	0.89636	0.40303	0.85569	0.3011	0.37025	0.13343	0.19514	0.84059	0.098422	0.83527	0.11129	0.76737	0.161	0.10741	0.062435	0.84157	0.6575	0.58646	0.73893	0.25924	0.039404	0.81522	0.064539	0.11343	0.087924	0.23914	0.086224	0.049898	0.71674	0.094464	0.17835	0.097774	0.34671
Meth__cg04920951__GSTP1	0.048824	0.96021	0.93295	0.97818	0.025767	0.95247	0.04546	0.033123	0.96571	0.038848	0.97486	0.94719	0.51936	0.044415	0.031491	0.79751	0.028069	0.98045	0.9702	0.053745	0.52595	0.96846	0.05241	0.94234	0.7162	0.034196	0.034418	0.029016	0.030542	0.81158	0.97561	0.95089	0.5607	0.71908	0.66412
Meth__cg25202471__TFAP2A	0.030078	0.031534	0.028187	0.030373	0.15422	0.034675	0.10213	0.030532	0.038847	0.068341	0.033752	0.073881	0.036176	0.030232	0.034938	0.14517	0.032871	0.040402	0.029881	0.11758	0.72783	0.030821	0.048685	0.078497	0.054195	0.031461	0.028159	0.20512	0.033828	0.03583	0.028514	0.095081	0.03927	0.034791	0.031076
Meth__cg22747092__BTBD14A	0.066853	0.073927	0.12421	0.1518	0.56384	0.30988	0.7968	0.27614	0.78217	0.23982	0.83994	0.42701	0.22008	0.60845	0.74513	0.31623	0.099537	0.10642	0.097232	0.69742	0.17587	0.1659	0.16141	0.17375	0.10307	0.092598	0.87719	0.22614	0.14464	0.045229	0.060754	0.17285	0.13433	0.052666	0.049025
Meth__cg06765514__PIP5KL1	0.077247	0.053407	0.3816	0.93923	0.80887	0.047066	0.64847	0.05297	0.062667	0.4128	0.11675	0.85998	0.052455	0.4528	0.88948	0.37044	0.42452	0.33446	0.35148	0.83762	0.76912	0.62994	0.12395	0.75707	0.16938	0.051432	0.047863	0.31923	0.056965	0.21963	0.089286	0.41999	0.089891	0.33044	0.7119
Meth__cg11271605__STEAP4	0.046232	0.04751	0.05755	0.89655	0.78839	0.58266	0.89553	0.038741	0.10316	0.65723	0.044431	0.12967	0.45765	0.53793	0.48499	0.094155	0.26472	0.38049	0.04715	0.18123	0.85433	0.88027	0.059989	0.077904	0.069616	0.2029	0.031428	0.29262	0.63425	0.044047	0.79415	0.064368	0.083531	0.056251	0.074633
Meth__cg16792632__ESR2	0.035718	0.029948	0.95826	0.59868	0.95612	0.52194	0.97136	0.022108	0.034783	0.95253	0.024418	0.93555	0.06673	0.96104	0.25205	0.09261	0.041479	0.71494	0.37376	0.15126	0.93251	0.95266	0.063022	0.93221	0.066771	0.030124	0.026651	0.67136	0.7076	0.032851	0.96672	0.038431	0.026522	0.77117	0.95744
Meth__cg15443822__ATP2A3	0.11411	0.020918	0.83824	0.03511	0.42492	0.58817	0.65203	0.026584	0.24768	0.38707	0.85906	0.61688	0.1263	0.44717	0.64477	0.053686	0.021063	0.025446	0.026281	0.74845	0.44131	0.025094	0.21788	0.10346	0.059711	0.022819	0.12921	0.063191	0.023694	0.022467	0.60681	0.037795	0.024403	0.039703	0.034722
Meth__cg19756611__DACH1	0.095627	0.069067	0.87363	0.075	0.44098	0.12446	0.10242	0.2628	0.14299	0.3719	0.10405	0.67561	0.15766	0.12187	0.18908	0.29304	0.11199	0.10305	0.18021	0.22252	0.20269	0.10914	0.16379	0.18781	0.12084	0.086326	0.10536	0.50165	0.10397	0.096503	0.62839	0.45718	0.066125	0.075395	0.087789
Meth__cg24664861__SPAG16	0.91909	0.066144	0.083536	0.27235	0.052921	0.06337	0.93838	0.93134	0.053205	0.055477	0.16061	0.33806	0.89507	0.065931	0.035272	0.10352	0.22072	0.934	0.91332	0.054229	0.068532	0.066695	0.099881	0.078176	0.097921	0.044594	0.044963	0.055876	0.86942	0.04578	0.055977	0.10935	0.90545	0.45099	0.54221
Meth__cg18273501__FAM26B	0.049582	0.045317	0.86736	0.10918	0.8052	0.21469	0.034865	0.039578	0.042972	0.63049	0.3559	0.76174	0.20148	0.74436	0.050414	0.26157	0.038391	0.033766	0.049309	0.1569	0.76683	0.053818	0.05555	0.82157	0.13178	0.041952	0.03153	0.58419	0.03932	0.49452	0.043615	0.65162	0.040988	0.10422	0.046008
Meth__cg25433648__S100A14	0.03044	0.026604	0.10647	0.16025	0.94223	0.055891	0.30945	0.45602	0.26354	0.83972	0.045571	0.050158	0.4016	0.12497	0.95036	0.03351	0.93421	0.097126	0.1801	0.92799	0.92623	0.04067	0.063969	0.074511	0.047159	0.94661	0.040479	0.94406	0.029319	0.025748	0.029064	0.59538	0.046193	0.045928	0.031767
Meth__cg16098981__C20orf39	0.93383	0.049778	0.92823	0.1066	0.92638	0.28716	0.7094	0.16107	0.26281	0.91523	0.90905	0.8715	0.14211	0.089095	0.17456	0.082899	0.48487	0.062318	0.075775	0.36276	0.86515	0.61572	0.277	0.8099	0.045376	0.30144	0.13973	0.1838	0.42659	0.25788	0.90207	0.84405	0.056569	0.30928	0.067088
Meth__cg10862848__GNMT	0.083171	0.10758	0.48497	0.098375	0.96915	0.093602	0.45752	0.09722	0.094028	0.76394	0.27473	0.6165	0.1132	0.28875	0.39957	0.098237	0.90082	0.29732	0.077794	0.93883	0.9181	0.08944	0.069352	0.086146	0.10795	0.74142	0.33027	0.83493	0.40653	0.082896	0.93574	0.17859	0.11195	0.1462	0.56722
Meth__cg11290225__KIFC2	0.048408	0.060785	0.12296	0.05349	0.15557	0.062983	0.054476	0.040027	0.056977	0.062114	0.15846	0.070515	0.059301	0.068292	0.090054	0.13942	0.25664	0.044343	0.058374	0.43829	0.084896	0.048852	0.054712	0.12934	0.075581	0.3163	0.050335	0.21842	0.050168	0.054251	0.04105	0.10904	0.4664	0.045297	0.04944
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.02211	0.96997	0.44437	0.022308	0.017753	0.023152	0.025652	0.020637	0.01437	0.046187	0.38274	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.022132	0.070125	0.27073	0.033892	0.046394	0.42333	0.024494	0.026142	0.017821	0.020707	0.02023	0.017814	0.048953	0.02274	0.43695	0.75832
Meth__cg02144298__CEBPA	0.026815	0.27616	0.96878	0.026384	0.79954	0.031583	0.054669	0.030458	0.027448	0.95093	0.029435	0.25962	0.031324	0.59886	0.039555	0.070757	0.25899	0.043693	0.044909	0.79439	0.92121	0.038606	0.1832	0.041017	0.049153	0.23957	0.10649	0.50185	0.021368	0.016416	0.024446	0.077262	0.032353	0.020997	0.02493
Meth__cg16896647__SYK	0.072898	0.48735	0.43435	0.085575	0.84097	0.12443	0.27077	0.078088	0.07859	0.64417	0.20749	0.12465	0.09316	0.069591	0.34136	0.1777	0.079736	0.068824	0.074584	0.16972	0.77392	0.065318	0.048418	0.31739	0.22521	0.074038	0.36683	0.14139	0.19789	0.058953	0.071548	0.08991	0.050745	0.15692	0.10775
Meth__cg27324619__PIB5PA	0.047257	0.043591	0.094461	0.047492	0.12244	0.047148	0.16717	0.047999	0.0649	0.11139	0.07087	0.074558	0.046968	0.060777	0.060336	0.060397	0.054293	0.053668	0.085555	0.78296	0.075022	0.04459	0.11672	0.081483	0.070625	0.076199	0.054197	0.07682	0.02863	0.05745	0.041031	0.10701	0.057936	0.044118	0.04228
