Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	ZR751	ZR75B
Meth__cg02423618__SPATA8	0.84123	0.14181	0.37424	0.03516	0.086949	0.45914	0.038567	0.84248	0.036517	0.045686	0.55982	0.53618	0.24524	0.052777	0.18975	0.61471	0.46168	0.1039	0.034927	0.081105	0.17011	0.052916	0.12945	0.46601	0.27635	0.21346	0.0967	0.18001	0.3266	0.34413	0.36264	0.4239	0.63763	0.055877	0.042837	0.087993	0.052625	0.36104	0.30162
Meth__cg02566518__FUT11	0.083125	0.18464	0.26722	0.11705	0.028089	0.10853	0.16688	0.39525	0.028404	0.72416	0.054286	0.73613	0.42972	0.44435	0.064953	0.035959	0.040253	0.061337	0.019856	0.38456	0.2871	0.040991	0.055775	0.27346	0.39536	0.67766	0.059914	0.020067	0.090326	0.036597	0.047979	0.026362	0.024455	0.45565	0.24963	0.17247	0.46567	0.16176	0.92916
Meth__cg25263140__AIM1	0.045789	0.041196	0.038248	0.053733	0.30767	0.046804	0.036562	0.075164	0.040773	0.047534	0.61723	0.057065	0.073345	0.033579	0.042269	0.053569	0.038047	0.15353	0.042279	0.75208	0.76968	0.5888	0.048576	0.1826	0.099821	0.040884	0.073858	0.050344	0.089957	0.03952	0.062028	0.041071	0.037072	0.035131	0.24139	0.054844	0.10611	0.047453	0.76992
Meth__cg24206256__MAT2B	0.52158	0.066845	0.28212	0.5	0.06141	0.37757	0.12295	0.1456	0.25318	0.09515	0.094113	0.11513	0.23888	0.07951	0.21923	0.16538	0.12147	0.14303	0.18736	0.099593	0.11989	0.85509	0.070985	0.099168	0.112	0.14464	0.25139	0.13449	0.19945	0.11801	0.15209	0.069214	0.11319	0.10876	0.88273	0.074436	0.18913	0.23815	0.65355
Meth__cg09635067__RAB7L1	0.37195	0.088844	0.28203	0.092874	0.077472	0.35877	0.32673	0.13386	0.29269	0.071825	0.096503	0.13018	0.21215	0.052568	0.27087	0.23832	0.068717	0.21446	0.42165	0.38621	0.14646	0.16842	0.12962	0.33593	0.52889	0.29518	0.31518	0.057209	0.76291	0.13613	0.14356	0.046473	0.11134	0.065559	0.041937	0.70944	0.076915	0.10347	0.124
Meth__cg00509616__Gcom1	0.29205	0.033922	0.88548	0.071435	0.91385	0.11751	0.17458	0.27239	0.18596	0.16979	0.1143	0.025977	0.77106	0.036787	0.1386	0.24021	0.09505	0.051962	0.2118	0.048608	0.19127	0.59703	0.090349	0.49243	0.14805	0.73675	0.041759	0.027337	0.93723	0.054042	0.053455	0.059725	0.038471	0.023229	0.047496	0.86558	0.037171	0.33752	0.17867
Meth__cg14830952__E2F5	0.027307	0.021825	0.027689	0.032675	0.028885	0.036781	0.02599	0.035396	0.025245	0.040993	0.026965	0.025363	0.074837	0.020915	0.029238	0.035505	0.029813	0.066595	0.038667	0.03619	0.034547	0.029338	0.031008	0.024708	0.079117	0.035005	0.24489	0.024282	0.059487	0.033381	0.046633	0.0305	0.022524	0.026047	0.030464	0.024594	0.04211	0.022355	0.029449
Meth__cg14886269__TNFRSF18	0.042351	0.025473	0.03258	0.10259	0.96802	0.042171	0.96133	0.12157	0.0574	0.03677	0.15326	0.80301	0.95068	0.033289	0.039393	0.66825	0.21731	0.13363	0.099593	0.092529	0.49496	0.072624	0.96751	0.033194	0.88311	0.081009	0.074214	0.96939	0.15228	0.70402	0.066534	0.46372	0.037254	0.96402	0.15348	0.96421	0.073925	0.036588	0.031228
Meth__cg26954174__CARD15	0.13211	0.06679	0.54645	0.29619	0.82761	0.51913	0.36345	0.6878	0.19285	0.066857	0.10567	0.066309	0.15922	0.12767	0.1526	0.16524	0.47391	0.082013	0.197	0.66403	0.35469	0.10198	0.84217	0.18737	0.22941	0.20111	0.11898	0.69372	0.44461	0.11791	0.099246	0.63913	0.046006	0.11981	0.091632	0.071004	0.18774	0.14956	0.10857
Meth__cg24068372__LOC349136	0.8477	0.051241	0.45726	0.097925	0.63174	0.69218	0.80595	0.92824	0.059541	0.061344	0.91491	0.50124	0.8908	0.054972	0.065705	0.78863	0.056575	0.174	0.069926	0.81568	0.75095	0.72471	0.06966	0.73136	0.84662	0.07374	0.19202	0.6808	0.89893	0.87469	0.097022	0.058381	0.10776	0.12176	0.43912	0.87202	0.25901	0.19681	0.49989
Meth__cg15271616__RUSC2	0.13098	0.49391	0.9521	0.29554	0.04772	0.72587	0.17638	0.024892	0.28476	0.087952	0.064239	0.17224	0.91622	0.97798	0.8458	0.054902	0.063948	0.075962	0.041457	0.94693	0.91038	0.046825	0.075623	0.53619	0.067387	0.96119	0.10173	0.050982	0.9484	0.075115	0.10792	0.054537	0.065008	0.5604	0.97325	0.25968	0.14849	0.60355	0.94667
Meth__cg12920798__MGC4093	0.048056	0.044558	0.05989	0.040139	0.038613	0.058589	0.087124	0.035438	0.048553	0.052086	0.058841	0.062374	0.061759	0.039929	0.052057	0.041184	0.041687	0.16888	0.036092	0.03356	0.047421	0.048075	0.070231	0.056931	0.075983	0.21387	0.078277	0.060235	0.099981	0.060589	0.098574	0.046703	0.05286	0.054739	0.039756	0.05988	0.25023	0.043222	0.046443
Meth__cg22737001__RUNX3	0.23676	0.016459	0.46618	0.68693	0.86932	0.91541	0.028864	0.029351	0.018012	0.6389	0.12132	0.030675	0.59539	0.61805	0.024514	0.8745	0.02458	0.052339	0.43279	0.94893	0.94275	0.56004	0.022151	0.85008	0.84026	0.03935	0.048515	0.20889	0.80171	0.043925	0.030664	0.017864	0.017447	0.78063	0.022366	0.80608	0.36982	0.21405	0.62661
Meth__cg03751799__SRPRB	0.070363	0.049246	0.10586	0.025767	0.055498	0.099713	0.14907	0.042254	0.057333	0.073961	0.040834	0.029842	0.097832	0.046074	0.055158	0.072583	0.034396	0.075538	0.063462	0.035133	0.083026	0.082957	0.068647	0.035199	0.16208	0.067206	0.1142	0.050122	0.11249	0.068571	0.11011	0.040728	0.062845	0.05953	0.052509	0.041112	0.054777	0.097764	0.08709
Meth__cg01048931__ECOP	0.055339	0.050474	0.045858	0.052368	0.05	0.045899	0.10638	0.072205	0.038789	0.056208	0.058764	0.059137	0.14573	0.03128	0.044823	0.050559	0.055357	0.080311	0.037444	0.054577	0.050224	0.041505	0.045171	0.031944	0.083465	0.046891	0.10643	0.045883	0.14795	0.35382	0.051327	0.049781	0.031618	0.03761	0.061682	0.057617	0.086929	0.049545	0.044416
Meth__cg08548888__MYD88	0.077687	0.065282	0.52453	0.10426	0.7097	0.7001	0.22477	0.24066	0.081678	0.085967	0.089083	0.31097	0.15785	0.059	0.082005	0.18224	0.083503	0.1528	0.097357	0.16513	0.11618	0.17724	0.43181	0.13201	0.52875	0.087104	0.16567	0.45447	0.12146	0.084628	0.078477	0.13257	0.077423	0.090284	0.098318	0.11264	0.14744	0.080733	0.087002
Meth__cg16366323__DUSP3	0.026599	0.054927	0.24496	0.05718	0.066949	0.25043	0.1743	0.42048	0.17967	0.1742	0.052782	0.052466	0.14712	0.036113	0.14143	0.11644	0.055743	0.082447	0.032447	0.14843	0.14457	0.057202	0.055501	0.052067	0.4366	0.22279	0.088275	0.087794	0.13516	0.086609	0.089235	0.032648	0.033791	0.060502	0.15125	0.1314	0.059645	0.058233	0.055752
Meth__cg26145103__MGC17839	0.14059	0.12166	0.13567	0.08871	0.059656	0.11753	0.25898	0.079743	0.10048	0.095255	0.065266	0.225	0.5347	0.15073	0.20551	0.074565	0.13375	0.13088	0.093479	0.10958	0.12628	0.09215	0.12646	0.14906	0.19199	0.17669	0.18643	0.092348	0.082828	0.086872	0.17795	0.13116	0.057956	0.075701	0.78272	0.072837	0.24147	0.17285	0.11168
Meth__cg15307169__FLJ33718	0.073548	0.050877	0.051239	0.070941	0.69106	0.060061	0.9086	0.09695	0.042059	0.063531	0.89869	0.057389	0.59809	0.034791	0.043969	0.89608	0.060712	0.13345	0.046469	0.038531	0.064771	0.078535	0.61595	0.036666	0.1383	0.047383	0.10307	0.39346	0.33753	0.076736	0.10192	0.091706	0.052589	0.057061	0.67656	0.039901	0.12464	0.048448	0.055858
Meth__cg03733371__LIPH	0.12903	0.070169	0.081199	0.10036	0.88043	0.10206	0.26923	0.098958	0.73551	0.075837	0.28314	0.066642	0.11345	0.073408	0.62091	0.11177	0.14967	0.20016	0.69613	0.066053	0.18488	0.49265	0.30006	0.07796	0.21229	0.12836	0.14965	0.72108	0.47876	0.1253	0.076242	0.6706	0.10821	0.22865	0.34394	0.10876	0.2043	0.11652	0.11507
Meth__cg13283751__GPX5	0.12995	0.074523	0.1328	0.048683	0.059169	0.062791	0.13562	0.62298	0.080724	0.083962	0.21459	0.097074	0.10346	0.040134	0.05962	0.29864	0.27312	0.081818	0.09078	0.080036	0.13345	0.071497	0.12722	0.1617	0.11189	0.11761	0.10529	0.13307	0.19563	0.085018	0.074883	0.046573	0.074776	0.071628	0.10304	0.088776	0.087511	0.12187	0.16982
Meth__cg12970724__CRLF1	0.18414	0.1995	0.2333	0.15144	0.14997	0.26664	0.86362	0.11832	0.15185	0.22066	0.1635	0.21525	0.91856	0.13901	0.14745	0.77523	0.16088	0.18223	0.24064	0.97925	0.96566	0.74539	0.33932	0.1744	0.57247	0.16081	0.17203	0.16288	0.96139	0.14201	0.197	0.2138	0.19945	0.14619	0.70784	0.91115	0.11842	0.16404	0.17979
Meth__cg27138018__HAPLN2	0.22953	0.14208	0.7668	0.57385	0.48034	0.10897	0.52718	0.25681	0.086971	0.74719	0.32511	0.53437	0.76718	0.054269	0.072633	0.54841	0.15047	0.10189	0.085138	0.086957	0.1279	0.90257	0.6651	0.17134	0.32951	0.12558	0.15876	0.74058	0.098059	0.30715	0.19967	0.053243	0.072264	0.074362	0.65672	0.72743	0.11171	0.16772	0.18507
Meth__cg00950621__STARD5	0.024157	0.023132	0.02823	0.027589	0.024549	0.028139	0.066513	0.40429	0.35068	0.026499	0.029263	0.022548	0.050525	0.019711	0.28407	0.023087	0.023266	0.052345	0.021486	0.023401	0.021776	0.027555	0.021203	0.024265	0.059233	0.028453	0.053718	0.026971	0.12265	0.033292	0.024026	0.015008	0.016656	0.022192	0.029483	0.026908	0.044273	0.02961	0.034727
Meth__cg19764555__AHNAK	0.015786	0.013627	0.013621	0.012317	0.92115	0.25822	0.56782	0.86872	0.82266	0.022453	0.89386	0.9196	0.17739	0.0087408	0.61081	0.66885	0.52653	0.69919	0.089433	0.55467	0.68601	0.11748	0.46231	0.086698	0.04377	0.062636	0.033308	0.78325	0.53152	0.68834	0.015092	0.52003	0.019059	0.099917	0.060696	0.64981	0.021225	0.033927	0.049729
Meth__cg06700462__PHKA2	0.53936	0.025774	0.02037	0.29101	0.020366	0.032276	0.023073	0.035646	0.032594	0.55434	0.032115	0.52365	0.47651	0.59157	0.034386	0.021725	0.03405	0.41247	0.023275	0.03034	0.02764	0.02792	0.31782	0.4917	0.047007	0.45939	0.44944	0.033325	0.39253	0.027063	0.4991	0.54043	0.02103	0.53323	0.49359	0.025242	0.057615	0.45206	0.023999
Meth__cg20451680__ESM1	0.037003	0.034106	0.26275	0.058571	0.65004	0.39665	0.032466	0.60197	0.03539	0.040287	0.26607	0.036502	0.44458	0.093172	0.039852	0.068104	0.045381	0.1974	0.030059	0.090307	0.057026	0.5887	0.050935	0.040149	0.82883	0.044645	0.048839	0.15689	0.90169	0.05998	0.053453	0.042288	0.042627	0.050183	0.69006	0.50923	0.073683	0.058981	0.15398
Meth__cg25167643__PTPRZ1	0.42579	0.023721	0.036077	0.038648	0.9717	0.049006	0.24638	0.51684	0.024411	0.40961	0.11793	0.29993	0.95423	0.092718	0.02288	0.050973	0.067288	0.13872	0.14126	0.96905	0.83698	0.32023	0.049245	0.05998	0.23539	0.45591	0.14051	0.035746	0.95403	0.85364	0.026042	0.046826	0.034178	0.033877	0.032037	0.87612	0.60659	0.045447	0.039756
Meth__cg07103493__SLC27A6	0.12742	0.039827	0.066102	0.037818	0.77589	0.4841	0.79274	0.37388	0.05482	0.040525	0.11641	0.069084	0.21351	0.021769	0.091951	0.031826	0.053556	0.18692	0.044589	0.042318	0.055946	0.16537	0.088848	0.046461	0.91009	0.54444	0.099343	0.037441	0.89868	0.75145	0.067811	0.042018	0.038286	0.099857	0.51965	0.56352	0.29719	0.13504	0.37456
Meth__cg05414338__HIST1H3F	0.60347	0.031339	0.2621	0.052012	0.3111	0.94794	0.29032	0.9634	0.039356	0.072074	0.08588	0.041301	0.11476	0.037403	0.045279	0.053873	0.036576	0.09373	0.04079	0.039576	0.058381	0.053358	0.029482	0.67251	0.94036	0.0696	0.057976	0.058684	0.078125	0.042179	0.10316	0.038202	0.029771	0.035888	0.046505	0.96038	0.080978	0.92602	0.92765
Meth__cg11565248__RPS6KA3	0.52333	0.059523	0.077648	0.2153	0.025604	0.056253	0.0148	0.030186	0.023487	0.083811	0.05273	0.42235	0.4507	0.75854	0.029827	0.024589	0.02602	0.25814	0.51615	0.021986	0.038924	0.55399	0.31585	0.47543	0.087549	0.45383	0.35763	0.02515	0.68629	0.036945	0.4211	0.51384	0.023891	0.50042	0.52048	0.030005	0.16776	0.36121	0.054287
Meth__cg11490446__PSEN1	0.037896	0.021383	0.061765	0.043781	0.23366	0.038164	0.10295	0.32324	0.035874	0.037423	0.025894	0.10503	0.039048	0.019915	0.030825	0.027378	0.024574	0.038183	0.030983	0.016902	0.031571	0.046477	0.023819	0.019262	0.41822	0.040075	0.04172	0.095509	0.029799	0.03889	0.054529	0.026187	0.022513	0.021016	0.045837	0.042352	0.047806	0.037003	0.062268
Meth__cg19220825__AQP5	0.064032	0.094118	0.62962	0.72047	0.2318	0.76998	0.51888	0.10565	0.076288	0.81843	0.094796	0.10178	0.33837	0.092819	0.067891	0.068574	0.49701	0.12272	0.074411	0.48536	0.86969	0.92877	0.41935	0.083123	0.11195	0.31203	0.36948	0.30585	0.69459	0.07055	0.59071	0.43217	0.13144	0.081922	0.29515	0.060621	0.027069	0.76475	0.26299
Meth__cg04251363__ST3GAL6	0.045003	0.057533	0.044295	0.0329	0.076319	0.65211	0.03922	0.032695	0.045546	0.034476	0.047927	0.026205	0.11785	0.032934	0.037977	0.032687	0.037823	0.072133	0.024691	0.060281	0.043043	0.066771	0.049578	0.027946	0.050552	0.030341	0.056459	0.027996	0.83887	0.038637	0.060896	0.02464	0.02913	0.034404	0.0896	0.25334	0.065134	0.041736	0.031418
Meth__cg25033972__RIPK4	0.45568	0.42398	0.13054	0.22472	0.071904	0.51815	0.10128	0.04601	0.10906	0.2705	0.1482	0.092322	0.83056	0.082893	0.13059	0.80448	0.10513	0.22132	0.14335	0.53434	0.69156	0.86373	0.080329	0.26521	0.12278	0.63071	0.14233	0.27007	0.61365	0.8272	0.12389	0.044764	0.11773	0.10218	0.92049	0.89442	0.090748	0.21505	0.20724
Meth__cg17083853__SURF1	0.043858	0.032182	0.03588	0.028949	0.032111	0.048025	0.046743	0.054253	0.034059	0.048602	0.038668	0.056631	0.090769	0.016735	0.040619	0.04125	0.026911	0.083515	0.025074	0.037744	0.049991	0.0383	0.064906	0.025149	0.40756	0.033472	0.069564	0.042659	0.079254	0.06448	0.064278	0.026407	0.02974	0.032267	0.033984	0.032291	0.060012	0.046421	0.04627
Meth__cg02477931__C11orf39	0.27199	0.15943	0.13895	0.063608	0.31335	0.23517	0.49433	0.61446	0.054242	0.10923	0.54276	0.49468	0.40102	0.063204	0.073703	0.45545	0.75866	0.18247	0.10205	0.42408	0.31083	0.14232	0.10133	0.25736	0.21763	0.11198	0.16191	0.23465	0.37425	0.064216	0.11873	0.14566	0.054311	0.070357	0.092428	0.52027	0.066029	0.31097	0.47541
Meth__cg26825755__ACSM2	0.31943	0.03162	0.84684	0.7752	0.053456	0.58444	0.068011	0.049958	0.68454	0.13401	0.045287	0.043953	0.059708	0.18246	0.49248	0.069407	0.035246	0.077886	0.064191	0.051009	0.1656	0.84363	0.42737	0.066698	0.11771	0.051618	0.1197	0.040541	0.11221	0.10191	0.079982	0.037198	0.089463	0.048921	0.62579	0.057464	0.092606	0.17431	0.17911
Meth__cg16442715__MAP3K7IP1	0.053033	0.049112	0.054028	0.071809	0.057086	0.074865	0.24359	0.059634	0.061144	0.071546	0.068272	0.076884	0.087923	0.061216	0.053575	0.079582	0.041953	0.0709	0.096818	0.085878	0.064795	0.099976	0.088764	0.072408	0.26068	0.099394	0.082411	0.34597	0.080509	0.087916	0.11999	0.053878	0.059078	0.070177	0.092867	0.065169	0.045762	0.059728	0.067049
Meth__cg08744726__FLJ12700	0.085767	0.089567	0.4759	0.051034	0.342	0.083552	0.14282	0.53417	0.056563	0.064584	0.043244	0.066193	0.35954	0.059284	0.068691	0.12546	0.053415	0.075891	0.039204	0.043687	0.064147	0.83789	0.67004	0.053504	0.066693	0.049708	0.081563	0.48208	0.21139	0.069379	0.38265	0.043439	0.04774	0.045966	0.093682	0.25025	0.097665	0.069636	0.060473
Meth__cg03167275__CXADR	0.054828	0.066197	0.052805	0.29368	0.086342	0.079974	0.1901	0.077376	0.056392	0.44429	0.096213	0.067061	0.092291	0.043455	0.059087	0.067486	0.062356	0.073852	0.59917	0.10243	0.19546	0.16075	0.10562	0.074668	0.14597	0.043237	0.078301	0.061714	0.083742	0.063209	0.081477	0.07698	0.046956	0.092662	0.05923	0.043437	0.07334	0.039805	0.055588
Meth__cg24450312__RASSF5	0.49124	0.036195	0.30652	0.11893	0.78908	0.3895	0.53264	0.15656	0.090412	0.20297	0.92502	0.18315	0.10764	0.087164	0.077038	0.089647	0.62789	0.093418	0.055666	0.94947	0.94853	0.13002	0.17165	0.31611	0.35838	0.23858	0.10943	0.11624	0.94361	0.089355	0.11248	0.1645	0.10554	0.12131	0.096111	0.82535	0.074901	0.11202	0.45996
Meth__cg06369854__VDR	0.029446	0.021127	0.018947	0.018749	0.71806	0.025756	0.60524	0.07521	0.029784	0.038634	0.056331	0.035591	0.093949	0.015155	0.029955	0.022465	0.028632	0.04964	0.02092	0.020115	0.02831	0.020435	0.085285	0.016034	0.31025	0.023854	0.023014	0.13431	0.032362	0.30372	0.029367	0.03793	0.022905	0.019063	0.28702	0.026721	0.078208	0.026495	0.023301
Meth__cg01626227__TRIM4	0.033758	0.025452	0.93983	0.029868	0.024662	0.023858	0.048264	0.023639	0.029236	0.025055	0.026639	0.023678	0.036466	0.017242	0.021974	0.20268	0.022787	0.077252	0.020814	0.17071	0.20569	0.029558	0.030919	0.024839	0.046493	0.027077	0.049041	0.023438	0.044662	0.027494	0.0381	0.030202	0.022382	0.028731	0.23008	0.65921	0.02556	0.026308	0.02409
Meth__cg04683240__HLX1	0.028066	0.021614	0.04166	0.019313	0.038197	0.73655	0.11792	0.29582	0.028968	0.066514	0.027207	0.049622	0.068583	0.029631	0.032511	0.043798	0.025771	0.06718	0.030909	0.41685	0.492	0.039769	0.029875	0.021544	0.80357	0.042211	0.052421	0.030051	0.047359	0.040581	0.039211	0.02512	0.032145	0.029154	0.030483	0.49069	0.055399	0.024625	0.02705
Meth__cg02548238__LOX	0.94641	0.028359	0.028724	0.029565	0.02109	0.32224	0.059967	0.024565	0.032578	0.2065	0.035898	0.036902	0.33137	0.028435	0.030646	0.030061	0.018623	0.070601	0.019165	0.30517	0.035546	0.63777	0.044554	0.45547	0.048387	0.033546	0.047319	0.045862	0.83689	0.036548	0.033262	0.02566	0.026249	0.033985	0.054841	0.98253	0.054222	0.032797	0.038618
Meth__cg01249910__SAT2	0.049269	0.045489	0.053164	0.063537	0.038227	0.057715	0.063647	0.045675	0.067821	0.057726	0.044319	0.041105	0.059713	0.022435	0.056651	0.04606	0.040219	0.073389	0.059124	0.68711	0.33758	0.057894	0.051686	0.044432	0.050085	0.052545	0.079278	0.04242	0.10682	0.05205	0.076337	0.049122	0.036987	0.061708	0.48695	0.030332	0.066372	0.057437	0.048274
Meth__cg11435943__SERPINB12	0.77236	0.24573	0.78713	0.23176	0.16466	0.38161	0.35574	0.90562	0.83846	0.069951	0.71287	0.59789	0.80716	0.0683	0.81433	0.79753	0.56648	0.78634	0.061008	0.064836	0.0921	0.077073	0.12015	0.89067	0.089528	0.13956	0.14836	0.19027	0.085134	0.093158	0.4448	0.064237	0.85702	0.40448	0.85601	0.059529	0.1136	0.36422	0.21775
Meth__cg07070940__HDHD1A	0.3084	0.03601	0.047146	0.061441	0.058295	0.059325	0.040895	0.079238	0.045486	0.055406	0.053998	0.033704	0.070456	0.025632	0.049367	0.046493	0.049016	0.12948	0.028173	0.030773	0.062481	0.075691	0.073258	0.047059	0.072038	0.061071	0.048797	0.034012	0.099074	0.060113	0.063751	0.04666	0.049146	0.027454	0.079512	0.42112	0.11216	0.045319	0.034666
Meth__cg06720956__ONECUT1	0.69629	0.035124	0.059915	0.047998	0.12812	0.083339	0.082592	0.14147	0.08733	0.053945	0.087014	0.12964	0.18929	0.043261	0.089146	0.047918	0.096703	0.16964	0.052604	0.28098	0.053564	0.1007	0.067269	0.058809	0.86628	0.08792	0.50528	0.31739	0.61568	0.68312	0.10156	0.05459	0.058722	0.23207	0.050416	0.13783	0.16072	0.48861	0.6749
Meth__cg01284619__HCN2	0.30017	0.048357	0.19783	0.065139	0.39067	0.045976	0.20503	0.030622	0.036318	0.036095	0.10012	0.13306	0.64599	0.037053	0.03639	0.07208	0.2863	0.12604	0.081077	0.075137	0.075927	0.12211	0.62411	0.025182	0.46125	0.054039	0.10778	0.19325	0.36696	0.09099	0.056931	0.031285	0.076365	0.051942	0.12019	0.059081	0.03752	0.044953	0.034558
Meth__cg00566759__DSC2	0.045727	0.040057	0.04299	0.040193	0.68145	0.060306	0.46685	0.04043	0.41054	0.046556	0.26696	0.024057	0.095197	0.027341	0.45053	0.039958	0.034663	0.15487	0.068746	0.31687	0.085516	0.52607	0.82543	0.077865	0.066476	0.044856	0.086668	0.55866	0.085027	0.038771	0.069257	0.061074	0.026735	0.053228	0.071199	0.90761	0.10777	0.048051	0.043513
Meth__cg06626655__RSPO1	0.036934	0.032071	0.40267	0.063857	0.38028	0.29163	0.261	0.31562	0.044301	0.39414	0.37117	0.0854	0.34804	0.038715	0.031966	0.22506	0.19832	0.081928	0.028437	0.63908	0.77662	0.59339	0.095253	0.915	0.31595	0.068344	0.054922	0.50837	0.37668	0.13166	0.05825	0.026372	0.03746	0.032354	0.030087	0.52495	0.13501	0.12859	0.056027
Meth__cg01062029__ROR2	0.099696	0.049869	0.9046	0.81198	0.87369	0.45367	0.04447	0.19604	0.067585	0.84831	0.76419	0.58383	0.86382	0.041673	0.092974	0.53794	0.45332	0.13059	0.52004	0.77297	0.81856	0.28611	0.15586	0.59242	0.8088	0.05922	0.048778	0.44275	0.12965	0.56869	0.07186	0.090808	0.036074	0.060439	0.61582	0.29668	0.12344	0.49891	0.39369
Meth__cg14174099__SLC8A3	0.93505	0.030799	0.037643	0.072794	0.58138	0.06282	0.66246	0.03186	0.041145	0.049264	0.44845	0.029918	0.64616	0.033684	0.044094	0.035667	0.035792	0.11201	0.035598	0.43067	0.041758	0.1017	0.037166	0.19851	0.93496	0.044654	0.065807	0.041864	0.96189	0.048339	0.069653	0.033557	0.034865	0.04554	0.061844	0.605	0.071253	0.05978	0.040633
Meth__cg19914607__SLC38A3	0.063957	0.36973	0.34744	0.40292	0.80303	0.27385	0.37022	0.92876	0.20083	0.12527	0.065338	0.61582	0.87968	0.10005	0.26564	0.50357	0.085543	0.15626	0.17657	0.87032	0.62744	0.23301	0.16575	0.2621	0.52035	0.12127	0.22256	0.37543	0.12744	0.13947	0.19611	0.29456	0.10212	0.065826	0.34169	0.62972	0.11129	0.45889	0.69383
Meth__cg24302095__GRB10	0.06489	0.051205	0.047546	0.029591	0.63873	0.050778	0.06299	0.080556	0.030749	0.043046	0.04297	0.02527	0.092839	0.024899	0.045068	0.0607	0.038821	0.070095	0.035586	0.032112	0.055065	0.045298	0.075666	0.029679	0.11851	0.051284	0.12166	0.041928	0.092344	0.048139	0.086894	0.038223	0.029107	0.038236	0.031696	0.038642	0.058417	0.053679	0.0459
Meth__cg25490410__TUBGCP5	0.092013	0.057788	0.051061	0.070312	0.053542	0.10195	0.094185	0.06364	0.084958	0.10013	0.096794	0.062924	0.13335	0.058345	0.090924	0.066634	0.075971	0.46874	0.077118	0.096588	0.10223	0.41286	0.074085	0.054317	0.59474	0.12023	0.16935	0.058844	0.18042	0.086715	0.074097	0.052736	0.042808	0.090417	0.081692	0.066612	0.17719	0.087184	0.086256
Meth__cg05028467__SNCB	0.069949	0.032665	0.040205	0.057493	0.084202	0.95999	0.37732	0.48398	0.05304	0.073071	0.88306	0.74426	0.91553	0.040778	0.048597	0.27705	0.038852	0.086779	0.061881	0.8867	0.95356	0.045153	0.058612	0.063126	0.91617	0.57481	0.058576	0.034084	0.88817	0.15551	0.1394	0.05801	0.03771	0.03522	0.86913	0.97644	0.1885	0.092824	0.21008
Meth__cg08268099__OLFM1	0.96476	0.044572	0.97416	0.95793	0.73638	0.3297	0.9207	0.66605	0.041722	0.9515	0.54783	0.52823	0.94993	0.049595	0.05705	0.8194	0.9319	0.11733	0.074352	0.97256	0.9648	0.92614	0.95548	0.97769	0.063968	0.91011	0.2654	0.95727	0.31922	0.082569	0.10252	0.047404	0.080053	0.062455	0.057533	0.96159	0.67758	0.88771	0.92629
Meth__cg01169726__DLX5	0.96128	0.030374	0.50845	0.26026	0.94571	0.61766	0.17244	0.070582	0.40429	0.070498	0.11493	0.63912	0.51239	0.085131	0.33881	0.24832	0.15024	0.29706	0.35559	0.58171	0.91216	0.1299	0.06164	0.43304	0.91128	0.11245	0.052549	0.96973	0.91812	0.51135	0.11154	0.054232	0.058802	0.6086	0.12088	0.83464	0.21306	0.089958	0.13981
Meth__cg05843340__KENAE	0.016524	0.013311	0.016587	0.0095935	0.014558	0.01576	0.32262	0.01953	0.0105	0.017661	0.01406	0.010438	0.027129	0.0094656	0.01434	0.012499	0.014683	0.039396	0.0091764	0.017502	0.021026	0.01228	0.023924	0.013096	0.023921	0.016427	0.027282	0.018799	0.025273	0.014836	0.024998	0.0099348	0.01339	0.0094371	0.01015	0.01374	0.027977	0.017617	0.015062
Meth__cg09429185__ZNF286	0.025828	0.043045	0.41319	0.016989	0.029436	0.025918	0.029093	0.028083	0.11743	0.030392	0.026659	0.086336	0.090006	0.02299	0.084264	0.024733	0.019919	0.11676	0.025757	0.045228	0.035548	0.036491	0.046458	0.068779	0.54632	0.037472	0.033546	0.032555	0.10111	0.026632	0.025796	0.03025	0.043827	0.032096	0.021448	0.10026	0.05184	0.029209	0.021185
Meth__cg08445039__FKBP9	0.024539	0.15646	0.253	0.11233	0.021066	0.17194	0.027822	0.022698	0.1218	0.27434	0.025721	0.063485	0.055412	0.45705	0.11462	0.040185	0.022171	0.031954	0.017983	0.065292	0.075508	0.034731	0.025783	0.38301	0.048216	0.2678	0.033913	0.020806	0.11476	0.054707	0.0719	0.028148	0.025528	0.019976	0.15165	0.035235	0.039834	0.043117	0.038743
Meth__cg00981643__MECP2	0.051567	0.044453	0.10694	0.080365	0.55692	0.079952	0.17772	0.47161	0.54768	0.51136	0.05493	0.27566	0.18742	0.061093	0.41689	0.065431	0.27238	0.095313	0.056604	0.18392	0.32693	0.32786	0.55551	0.43497	0.43315	0.1762	0.090773	0.34	0.68706	0.41009	0.15919	0.14172	0.034935	0.077214	0.099667	0.095197	0.098695	0.13073	0.051566
