Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg11102782__ISYNA1	0.94505	0.77766	0.93632	0.56089	0.29082	0.050347	0.18029	0.056707	0.80484	0.60305	0.31337	0.64879	0.14985	0.11592	0.74689	0.69789	0.71534	0.13406	0.37839	0.29631	0.61064	0.29641	0.1642	0.75188	0.15398	0.29019	0.85091	0.66736	0.15576	0.071235	0.076232	0.09195	0.07963	0.080821
Meth__cg16413777__RSAD1	0.046368	0.059944	0.098999	0.043365	0.051924	0.067895	0.037717	0.03667	0.20587	0.10095	0.054706	0.037463	0.034233	0.072414	0.032481	0.043902	0.04122	0.27746	0.05573	0.044942	0.042598	0.088858	0.088889	0.087094	0.030713	0.046716	0.040655	0.0449	0.045773	0.04574	0.040933	0.042785	0.045721	0.036815
Meth__cg16052901__VPS52	0.088658	0.1773	0.076799	0.25979	0.087564	0.075146	0.17407	0.14191	0.61015	0.14114	0.11793	0.10292	0.11618	0.21448	0.11184	0.079422	0.12025	0.76145	0.41109	0.28173	0.38881	0.24825	0.26655	0.14052	0.051725	0.071487	0.10558	0.080844	0.1847	0.090505	0.19627	0.29047	0.13631	0.094028
Meth__cg01430807__NDUFB8	0.054908	0.053791	0.053378	0.062019	0.85707	0.054659	0.066056	0.042361	0.030025	0.074312	0.053386	0.050715	0.047918	0.1135	0.052723	0.36544	0.30709	0.06443	0.10707	0.055917	0.057971	0.068291	0.082187	0.072265	0.055522	0.057354	0.04571	0.056613	0.067802	0.047491	0.071446	0.063882	0.051496	0.049933
Meth__cg05508558__CR2	0.047035	0.41425	0.15455	0.19303	0.56419	0.12843	0.22008	0.13928	0.27273	0.64131	0.11012	0.42987	0.19946	0.10586	0.051002	0.085644	0.083333	0.22345	0.099276	0.11159	0.11374	0.057042	0.098428	0.053953	0.19841	0.17483	0.0797	0.53681	0.057602	0.27892	0.078403	0.1375	0.1526	0.12794
Meth__cg21298523__NUDT9	0.063146	0.057798	0.044429	0.048625	0.48951	0.065423	0.088639	0.046311	0.49872	0.10542	0.085815	0.051721	0.04812	0.18475	0.078738	0.084196	0.13441	0.061821	0.45366	0.085665	0.1415	0.13985	0.091292	0.083726	0.035919	0.045295	0.043241	0.054428	0.044183	0.057399	0.10251	0.41872	0.10387	0.074881
Meth__cg03872376__ZP4	0.14235	0.78115	0.78385	0.60791	0.83556	0.81024	0.12848	0.88164	0.14253	0.48752	0.67218	0.82968	0.91546	0.63965	0.092523	0.082792	0.11629	0.11087	0.21717	0.77396	0.10067	0.15342	0.22584	0.28165	0.11564	0.64087	0.54188	0.075434	0.061517	0.08604	0.18011	0.12263	0.5854	0.4338
Meth__cg08554462__BCL2	0.073747	0.070793	0.058769	0.059458	0.077097	0.064577	0.070253	0.090657	0.13991	0.17626	0.06327	0.079239	0.054292	0.11103	0.035566	0.09622	0.096034	0.048317	0.090979	0.067386	0.095792	0.35033	0.10487	0.139	0.059037	0.048556	0.051248	0.06123	0.06217	0.052687	0.11137	0.086595	0.04209	0.054102
Meth__cg05997860__ADAM21	0.034324	0.67978	0.057585	0.36837	0.78136	0.67081	0.080261	0.16681	0.2504	0.21527	0.45761	0.20881	0.4499	0.053191	0.062792	0.1216	0.19866	0.78004	0.098212	0.76245	0.21511	0.069855	0.07838	0.12316	0.28709	0.042182	0.19056	0.80283	0.06036	0.38118	0.14421	0.19574	0.43065	0.30075
Meth__cg02992596__MGC27016	0.10004	0.70822	0.54188	0.62371	0.9746	0.79594	0.5682	0.72987	0.53501	0.46932	0.54155	0.32167	0.94944	0.12063	0.072472	0.1069	0.082572	0.31172	0.68305	0.89042	0.24036	0.052738	0.23194	0.045455	0.94295	0.91627	0.090861	0.51927	0.034204	0.040779	0.061692	0.40398	0.31819	0.42164
Meth__cg21134096__RHEB	0.80409	0.25685	0.38983	0.59127	0.045855	0.058559	0.099249	0.04698	0.095693	0.56663	0.055846	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.23865	0.21641	0.057073	0.87607	0.14538	0.084052	0.61373	0.043105	0.059249	0.56939	0.072567	0.042279	0.13086	0.16298	0.087719	0.059569	0.50062
Meth__cg20349695__FUT10	0.012993	0.42122	0.01937	0.021342	0.012166	0.015874	0.021011	0.015909	0.02813	0.025639	0.01459	0.014716	0.011963	0.045104	0.014302	0.018734	0.017447	0.017998	0.022282	0.016851	0.032614	0.031999	0.038351	0.040267	0.021045	0.01472	0.017202	0.015988	0.022193	0.010125	0.017051	0.023048	0.020079	0.018279
Meth__cg12806521__NOL1	0.056634	0.1138	0.057596	0.054416	0.029199	0.042962	0.12873	0.040126	0.071139	0.11042	0.051551	0.081995	0.043453	0.090572	0.032191	0.28415	0.14483	0.10007	0.049801	0.29781	0.22026	0.10521	0.17379	0.11053	0.038996	0.031496	0.044016	0.11548	0.087669	0.032114	0.17215	0.1168	0.089207	0.048874
Meth__cg11395975__GBL	0.034344	0.11565	0.28425	0.060928	0.027946	0.046218	0.1291	0.042245	0.41641	0.092656	0.041966	0.070303	0.039528	0.07389	0.060691	0.22306	0.051657	0.056885	0.34777	0.062602	0.11292	0.1472	0.063583	0.049755	0.025424	0.036659	0.077395	0.051474	0.05039	0.065031	0.13087	0.071772	0.041667	0.038416
Meth__cg07811750__CAMTA2	0.031831	0.034943	0.031312	0.032992	0.03511	0.029144	0.039052	0.03218	0.037874	0.051606	0.031724	0.028936	0.027001	0.074733	0.022086	0.035725	0.031828	0.040366	0.34109	0.03957	0.039785	0.05353	0.055657	0.062623	0.033799	0.015064	0.034591	0.037837	0.023725	0.025007	0.03293	0.04211	0.036696	0.029039
Meth__cg12984356__MAN2A2	0.10579	0.21084	0.15038	0.18736	0.039325	0.12741	0.23878	0.128	0.3152	0.4074	0.11713	0.17632	0.070319	0.10677	0.071006	0.12907	0.083804	0.085645	0.54611	0.22999	0.070505	0.077392	0.11561	0.2459	0.061926	0.066053	0.093851	0.065317	0.27912	0.043992	0.098265	0.18827	0.058543	0.073477
Meth__cg18742893__BOC	0.39857	0.09935	0.47725	0.049853	0.11183	0.037497	0.032157	0.069315	0.06078	0.46219	0.052132	0.061946	0.04017	0.096697	0.027492	0.15682	0.15909	0.20008	0.062119	0.08413	0.073657	0.073529	0.27083	0.21159	0.036891	0.040247	0.049779	0.080242	0.18272	0.67899	0.12106	0.16094	0.16792	0.067659
Meth__cg16254764__HDAC11	0.35404	0.33949	0.58448	0.33472	0.071122	0.051738	0.41974	0.10743	0.18726	0.29733	0.053306	0.12764	0.18143	0.10093	0.41816	0.20419	0.1015	0.11679	0.53411	0.16922	0.22976	0.15606	0.10128	0.27037	0.087496	0.049194	0.2059	0.14756	0.049529	0.042039	0.065211	0.070167	0.07984	0.065108
Meth__cg02787991__SECTM1	0.18488	0.026153	0.96814	0.042584	0.044024	0.074472	0.031037	0.049332	0.92143	0.47398	0.15186	0.97851	0.039412	0.088431	0.75888	0.98264	0.97566	0.93836	0.65454	0.076346	0.045131	0.050306	0.044211	0.34759	0.93727	0.14753	0.032048	0.4267	0.028649	0.032564	0.08004	0.048461	0.20476	0.36561
Meth__cg01261503__POLG2	0.17823	0.10034	0.091284	0.099676	0.061334	0.083586	0.11814	0.095438	0.20519	0.19569	0.13162	0.10018	0.063872	0.10043	0.07802	0.11722	0.15459	0.62448	0.093648	0.47394	0.10707	0.15409	0.1421	0.16383	0.052749	0.063636	0.09043	0.14866	0.11963	0.16216	0.21183	0.12271	0.24593	0.084346
Meth__cg03109316__ZNF80	0.032029	0.81772	0.37761	0.63533	0.94863	0.86852	0.33488	0.89647	0.8656	0.098093	0.64841	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.91522	0.10745	0.93575	0.057851	0.040985	0.16853	0.041155	0.31333	0.56294	0.04333	0.23592	0.040553	0.036595	0.10319	0.045468	0.2955	0.23653
Meth__cg00311768__TSTA3	0.19853	0.70767	0.66789	0.3497	0.67668	0.21182	0.77743	0.071736	0.86943	0.36088	0.24303	0.3347	0.5905	0.13027	0.081038	0.42845	0.43043	0.18172	0.8973	0.7883	0.74237	0.16358	0.14426	0.51164	0.081686	0.092009	0.11472	0.36966	0.4348	0.11911	0.13438	0.85424	0.074186	0.074599
Meth__cg11521965__PTN	0.049189	0.79344	0.68448	0.87009	0.90276	0.26815	0.051856	0.83304	0.41866	0.52133	0.26012	0.62688	0.12195	0.066036	0.14149	0.11575	0.17241	0.29391	0.13568	0.70797	0.50655	0.11315	0.87319	0.088534	0.39417	0.72083	0.3686	0.89923	0.13909	0.26983	0.14866	0.070537	0.12301	0.41454
Meth__cg18994063__TIMD4	0.047759	0.59289	0.050082	0.42186	0.1573	0.62668	0.058894	0.4267	0.060698	0.13494	0.46083	0.1469	0.087909	0.083951	0.056706	0.068852	0.07902	0.83333	0.053434	0.85484	0.052632	0.078865	0.18043	0.092432	0.040194	0.052854	0.066362	0.46739	0.02762	0.12386	0.25469	0.083102	0.41102	0.30503
Meth__cg06256735__MFAP5	0.054363	0.83534	0.054447	0.40666	0.75335	0.80821	0.52194	0.69524	0.39655	0.63729	0.59187	0.28157	0.83392	0.12696	0.090909	0.23179	0.1657	0.8784	0.092885	0.84331	0.21824	0.24171	0.19701	0.049099	0.058668	0.20204	0.19564	0.72083	0.058917	0.29616	0.29286	0.1269	0.34018	0.17583
Meth__cg27544190__C21orf63	0.48067	0.16569	0.48942	0.043413	0.035357	0.048907	0.06769	0.070186	0.026404	0.32621	0.050449	0.46492	0.042147	0.065794	0.095496	0.691	0.2639	0.44935	0.87002	0.28211	0.30576	0.051297	0.094259	0.21809	0.32103	0.031556	0.25807	0.059266	0.037006	0.32055	0.09009	0.23378	0.054075	0.042667
Meth__cg13958676__LGI3	0.22383	0.073201	0.25966	0.091353	0.051706	0.050821	0.060293	0.20248	0.11048	0.59609	0.052319	0.86251	0.051722	0.20498	0.060953	0.061911	0.063718	0.3422	0.57316	0.058934	0.081216	0.18546	0.19411	0.17506	0.043923	0.073551	0.057438	0.045343	0.060289	0.80496	0.16731	0.064349	0.050769	0.057136
Meth__cg05113908__GYG2	0.094824	0.31793	0.73876	0.20034	0.96189	0.34539	0.098929	0.20064	0.081133	0.4775	0.25363	0.9317	0.19622	0.17743	0.15845	0.16336	0.19239	0.1237	0.1103	0.093584	0.10199	0.1633	0.90699	0.1546	0.094074	0.20469	0.095945	0.77014	0.20862	0.86119	0.19361	0.13113	0.1264	0.14189
Meth__cg18236079__HS3ST3A1	0.073629	0.90971	0.84876	0.19731	0.96818	0.90567	0.08753	0.95732	0.4757	0.84987	0.88027	0.61015	0.059594	0.073691	0.031005	0.054587	0.37981	0.16461	0.033795	0.91083	0.061645	0.077132	0.52272	0.13333	0.61643	0.055402	0.047339	0.52972	0.065678	0.30225	0.6918	0.070319	0.68931	0.93073
Meth__cg08713365__C20orf98	0.94502	0.073696	0.074873	0.073038	0.057827	0.05411	0.19674	0.045309	0.73051	0.55673	0.1444	0.11394	0.024031	0.15315	0.043415	0.054649	0.073952	0.094064	0.71115	0.073027	0.099758	0.12282	0.18604	0.70029	0.072593	0.09547	0.057797	0.040076	0.14329	0.040494	0.15762	0.094914	0.077108	0.081311
Meth__cg25225238__GRM3	0.071088	0.58193	0.12087	0.32116	0.53629	0.45122	0.10699	0.70752	0.148	0.30114	0.3757	0.082604	0.067422	0.067659	0.065458	0.15061	0.11333	0.24907	0.075851	0.33462	0.34339	0.12112	0.3155	0.079736	0.077087	0.27349	0.20521	0.76859	0.062975	0.083049	0.12667	0.30463	0.31582	0.41367
Meth__cg04351979__CTXN1	0.029721	0.049884	0.025434	0.034915	0.038649	0.029566	0.033712	0.033655	0.055359	0.064566	0.036792	0.026401	0.046204	0.099346	0.12873	0.034185	0.038206	0.028725	0.36952	0.020473	0.037381	0.051998	0.041901	0.06586	0.017654	0.048179	0.047773	0.021085	0.057918	0.019903	0.039339	0.043951	0.02753	0.028023
Meth__cg22807551__MTUS1	0.074946	0.098704	0.67547	0.10119	0.061192	0.061141	0.084248	0.27057	0.26279	0.14027	0.065728	0.070366	0.11147	0.22573	0.34668	0.074419	0.095445	0.12417	0.28114	0.044105	0.13292	0.14413	0.37845	0.13546	0.10364	0.07834	0.097692	0.036926	0.11762	0.087488	0.24869	0.10152	0.074892	0.058882
Meth__cg07473550__TSC22D3	0.016473	0.028401	0.020023	0.020098	0.65864	0.64283	0.033287	0.07385	0.025958	0.020218	0.61816	0.60445	0.028789	0.029552	0.016486	0.018698	0.025661	0.53245	0.062506	0.56387	0.024237	0.34936	0.29779	0.043735	0.025185	0.01832	0.61961	0.019343	0.015335	0.19163	0.064532	0.016674	0.046759	0.020305
Meth__cg13701109__ADAMTS19	0.018903	0.055004	0.18874	0.24112	0.96278	0.91934	0.87656	0.92794	0.69267	0.21145	0.80902	0.85603	0.73933	0.048582	0.037379	0.022471	0.041177	0.95568	0.77842	0.29171	0.91566	0.10796	0.90196	0.49176	0.056011	0.7378	0.10084	0.052097	0.48102	0.24382	0.82171	0.23262	0.85142	0.88267
Meth__cg21681756__NDUFS3	0.021694	0.034081	0.023013	0.025551	0.038838	0.022771	0.018764	0.020997	0.13012	0.046731	0.021069	0.042711	0.014149	0.03987	0.01954	0.035886	0.022108	0.027688	0.031852	0.02153	0.027769	0.024249	0.026615	0.03527	0.022426	0.017286	0.017601	0.013951	0.026956	0.012959	0.021655	0.020534	0.02401	0.023996
Meth__cg14254380__WDR63	0.046052	0.88093	0.46538	0.242	0.90131	0.83057	0.045373	0.90849	0.03678	0.88498	0.84804	0.66562	0.044148	0.08439	0.036995	0.48935	0.39888	0.34756	0.046215	0.046214	0.59523	0.072641	0.70897	0.061912	0.3812	0.45932	0.045714	0.11454	0.046252	0.42898	0.4597	0.055993	0.85482	0.68666
Meth__cg21144270__STK25	0.41828	0.47474	0.73184	0.10241	0.036276	0.30878	0.028001	0.046637	0.23249	0.67774	0.23523	0.19537	0.094801	0.056708	0.59726	0.76257	0.4735	0.039779	0.50112	0.35155	0.64701	0.038566	0.059304	0.28555	0.028661	0.64258	0.55952	0.031213	0.022501	0.029769	0.028557	0.03039	0.031961	0.028785
Meth__cg14228840__MICA	0.023157	0.036382	0.38086	0.017343	0.018118	0.021284	0.027693	0.028581	0.026185	0.080635	0.018808	0.019766	0.014817	0.051007	0.01764	0.033124	0.0294	0.026792	0.037771	0.035943	0.036049	0.026062	0.040532	0.039561	0.024087	0.018384	0.02654	0.021377	0.020272	0.016692	0.040811	0.026669	0.02853	0.030651
Meth__cg14290291__FLJ14346	0.31131	0.7444	0.058838	0.16883	0.067331	0.58199	0.58522	0.043189	0.93611	0.16594	0.55084	0.10055	0.068959	0.11206	0.27938	0.59682	0.41146	0.36889	0.64319	0.88753	0.44022	0.13236	0.32494	0.43768	0.048229	0.056747	0.070885	0.77447	0.46164	0.048553	0.26317	0.81094	0.12102	0.051987
Meth__cg16474696__MGC3207	0.058452	0.049367	0.044868	0.044151	0.031971	0.045977	0.070651	0.03388	0.12665	0.087298	0.03148	0.056742	0.037619	0.046766	0.048054	0.05464	0.046023	0.061549	0.03997	0.071871	0.061843	0.073918	0.057622	0.12082	0.03082	0.027241	0.033762	0.046292	0.042381	0.056488	0.12926	0.33942	0.058547	0.079142
Meth__cg20345446__OSBPL5	0.30513	0.39977	0.45432	0.15928	0.487	0.073898	0.065904	0.23599	0.79346	0.117	0.046122	0.079407	0.046067	0.074235	0.051726	0.40541	0.30336	0.41197	0.59235	0.3587	0.29511	0.087521	0.2807	0.28744	0.57384	0.035188	0.038367	0.30329	0.18995	0.053581	0.17594	0.056968	0.10933	0.053195
Meth__cg23520347__RASSF5	0.085193	0.089418	0.058612	0.18758	0.19662	0.8897	0.081296	0.2579	0.13838	0.26018	0.75869	0.090133	0.079889	0.11119	0.052917	0.061477	0.068687	0.081012	0.068603	0.047668	0.072775	0.1452	0.15499	0.10271	0.078609	0.061125	0.11054	0.07425	0.051624	0.63003	0.13294	0.059078	0.056935	0.092565
Meth__cg25483003__ENTPD2	0.026395	0.046992	0.96981	0.048842	0.038498	0.043032	0.048717	0.041365	0.31006	0.59165	0.061762	0.037064	0.60325	0.06407	0.96028	0.15813	0.095541	0.060063	0.97156	0.035769	0.23298	0.073487	0.066875	0.079761	0.090844	0.019244	0.30212	0.044924	0.021951	0.019893	0.05442	0.043149	0.025799	0.026923
Meth__cg11498740__MOAP1	0.049228	0.072508	0.046765	0.057562	0.046047	0.074143	0.049708	0.059379	0.099683	0.10704	0.077345	0.049466	0.043377	0.11953	0.055062	0.066126	0.10063	0.041934	0.24319	0.1682	0.057947	0.066824	0.11708	0.089974	0.039059	0.042731	0.045976	0.046498	0.033282	0.042946	0.10518	0.27981	0.04332	0.039011
Meth__cg02217159__KHDRBS2	0.031793	0.92741	0.58372	0.83821	0.9614	0.19287	0.050885	0.86094	0.73576	0.25459	0.20181	0.59603	0.31553	0.36988	0.040216	0.11533	0.12334	0.55324	0.15697	0.42473	0.36369	0.076979	0.86539	0.057263	0.5262	0.47622	0.053831	0.60673	0.032707	0.34206	0.047607	0.40433	0.65143	0.6091
Meth__cg22036988__SPSB4	0.078695	0.059889	0.68919	0.30342	0.053682	0.050337	0.057473	0.29666	0.085314	0.5456	0.054626	0.044687	0.048457	0.11242	0.052317	0.57336	0.45725	0.69607	0.055666	0.61958	0.07137	0.2208	0.73275	0.10911	0.049	0.26783	0.051385	0.043573	0.054903	0.52604	0.54387	0.065419	0.056159	0.059932
Meth__cg14751914__SMAD7	0.098322	0.09491	0.093116	0.11597	0.086595	0.060545	0.13853	0.10086	0.12714	0.32427	0.075006	0.098813	0.050336	0.23043	0.075779	0.069323	0.12053	0.098639	0.12651	0.12163	0.12512	0.14862	0.12142	0.23139	0.058167	0.086795	0.09683	0.11391	0.07846	0.095265	0.17216	0.098485	0.073814	0.076112
Meth__cg11710969__ARMC3	0.082711	0.32786	0.80515	0.11978	0.89114	0.47855	0.32377	0.25021	0.098169	0.54712	0.36784	0.29108	0.087545	0.13719	0.068522	0.097703	0.086486	0.22676	0.14867	0.35322	0.80108	0.12575	0.29249	0.11603	0.07869	0.4129	0.47717	0.3272	0.066487	0.37041	0.15152	0.06728	0.81731	0.74778
Meth__cg15623573__APBA1	0.068754	0.061486	0.05284	0.056363	0.046848	0.045999	0.06761	0.057619	0.058986	0.16833	0.051816	0.056102	0.03869	0.066826	0.049248	0.08094	0.065373	0.0918	0.058635	0.049587	0.069018	0.10635	0.13252	0.090755	0.056057	0.047143	0.030155	0.039894	0.060311	0.16521	0.078265	0.072951	0.068679	0.060709
Meth__cg19803984__SNRPN	0.035401	0.94727	0.28995	0.9018	0.85965	0.87738	0.06949	0.71909	0.47013	0.1563	0.77396	0.31977	0.36252	0.084808	0.044217	0.067084	0.12952	0.18273	0.073982	0.44604	0.8846	0.062084	0.76663	0.050456	0.069516	0.052778	0.071532	0.085922	0.065363	0.088879	0.21584	0.046319	0.10863	0.1844
Meth__cg16961218__ATP9B	0.020655	0.025483	0.50987	0.025031	0.020299	0.021383	0.025181	0.024554	0.0367	0.46338	0.022979	0.021227	0.022096	0.051022	0.017593	0.019285	0.029479	0.022422	0.03104	0.02371	0.032359	0.034758	0.025598	0.038565	0.014736	0.019567	0.013065	0.0277	0.021702	0.017934	0.063306	0.030285	0.02904	0.026061
Meth__cg19693015__CHMP6	0.04065	0.048606	0.042635	0.037997	0.033594	0.038907	0.038848	0.046139	0.044415	0.088061	0.042331	0.036592	0.042892	0.060533	0.043132	0.038161	0.046767	0.041279	0.77307	0.032776	0.056447	0.13005	0.11849	0.089589	0.036918	0.032417	0.030945	0.039887	0.029974	0.035804	0.080067	0.044427	0.040911	0.03701
Meth__cg00815605__ACOT2	0.54777	0.076174	0.39865	0.085456	0.058386	0.081464	0.10247	0.067716	0.071762	0.64658	0.094285	0.10197	0.064734	0.16954	0.34172	0.74117	0.53552	0.061944	0.085858	0.19467	0.078571	0.093013	0.11946	0.27994	0.079772	0.065903	0.47917	0.10204	0.063582	0.055901	0.08671	0.07937	0.064324	0.075357
Meth__cg06973760__NFATC1	0.034355	0.050539	0.68325	0.036838	0.024909	0.037539	0.042823	0.042099	0.31619	0.20018	0.031522	0.12778	0.018161	0.044193	0.02771	0.050947	0.047183	0.041948	0.05996	0.044804	0.041752	0.04842	0.043722	0.045161	0.030218	0.030586	0.080671	0.027856	0.026032	0.035688	0.046819	0.043404	0.027479	0.029052
Meth__cg16941656__FRY	0.0387	0.028619	0.32865	0.035665	0.050888	0.021199	0.049521	0.04079	0.043203	0.062344	0.032293	0.03841	0.029781	0.045592	0.034829	0.036483	0.040941	0.042773	0.058192	0.028879	0.042235	0.088804	0.055596	0.046702	0.029869	0.021585	0.023941	0.04222	0.98805	0.055731	0.16598	0.051974	0.045369	0.032213
Meth__cg06776256__GPRC5A	0.074574	0.063896	0.29139	0.075699	0.050217	0.066788	0.086817	0.085077	0.089929	0.10942	0.078506	0.43728	0.060285	0.12743	0.20024	0.099037	0.076254	0.10767	0.2572	0.071626	0.072625	0.12106	0.10875	0.17121	0.14364	0.069428	0.64701	0.068366	0.075381	0.066563	0.068457	0.085082	0.063787	0.078433
Meth__cg21085553__PARP8	0.082001	0.084505	0.31254	0.068419	0.093769	0.062455	0.07962	0.099532	0.12169	0.15889	0.066783	0.086795	0.073913	0.11369	0.069023	0.08005	0.10163	0.16659	0.089048	0.087004	0.088082	0.1263	0.60177	0.13107	0.067232	0.069225	0.057916	0.058143	0.067285	0.073574	0.12166	0.088342	0.12246	0.15881
Meth__cg06793062__CNTNAP4	0.087703	0.88208	0.084605	0.81059	0.27456	0.040622	0.41517	0.86697	0.22813	0.11681	0.03515	0.22075	0.21319	0.044883	0.031768	0.030684	0.36119	0.9084	0.034443	0.84856	0.50738	0.062114	0.83422	0.069705	0.23254	0.60134	0.92679	0.87488	0.034563	0.26958	0.028479	0.041662	0.70416	0.62346
Meth__cg02740947__RAD51L3	0.23699	0.17625	0.067159	0.11225	0.053225	0.057056	0.60812	0.041207	0.50942	0.21985	0.082054	0.06429	0.05331	0.1156	0.058145	0.06827	0.063116	0.051388	0.52306	0.29096	0.09352	0.064385	0.069519	0.31224	0.049966	0.046204	0.045986	0.15014	0.043641	0.039042	0.082446	0.067041	0.049636	0.055852
Meth__cg15963417__PAH	0.078877	0.92213	0.10638	0.46597	0.063465	0.28482	0.044465	0.45146	0.088165	0.38167	0.20179	0.20184	0.063891	0.10837	0.041924	0.061297	0.047867	0.50728	0.079005	0.040359	0.04574	0.077445	0.11132	0.12881	0.11704	0.048509	0.09583	0.73546	0.051777	0.63394	0.086293	0.043721	0.052594	0.32439
Meth__cg15589354__KIAA0133	0.055824	0.13861	0.18098	0.13592	0.26174	0.10436	0.088921	0.043706	0.23593	0.13114	0.086058	0.076634	0.063542	0.13614	0.086377	0.10056	0.10036	0.085051	0.12378	0.091181	0.18391	0.20642	0.089328	0.1429	0.082258	0.036398	0.086526	0.39082	0.12493	0.075672	0.12804	0.56532	0.068287	0.072417
Meth__cg07408740__OGDH	0.085573	0.11141	0.88218	0.57542	0.8921	0.24561	0.11485	0.38082	0.17523	0.48876	0.21611	0.15348	0.081979	0.13724	0.088368	0.069114	0.10553	0.16616	0.20705	0.074488	0.097212	0.19107	0.20541	0.1626	0.39404	0.17874	0.12798	0.52531	0.13036	0.47363	0.21852	0.086835	0.1208	0.278
Meth__cg11368946__GCAT	0.082114	0.082398	0.1313	0.11937	0.10955	0.095322	0.11644	0.23599	0.57901	0.27468	0.10094	0.11038	0.10908	0.46038	0.22816	0.13024	0.086622	0.13608	0.076342	0.34053	0.16158	0.097483	0.15176	0.18156	0.048945	0.059816	0.086075	0.10011	0.15255	0.046471	0.080353	0.098343	0.13465	0.14687
Meth__cg22646528__DTNA	0.039171	0.027792	0.17431	0.031678	0.014819	0.031174	0.042326	0.075074	0.12532	0.085997	0.032968	0.047898	0.038246	0.059582	0.045315	0.034192	0.04314	0.02509	0.077705	0.046754	0.061854	0.099845	0.067619	0.084514	0.054112	0.025322	0.032593	0.058256	0.040356	0.066968	0.11367	0.037351	0.024918	0.028962
Meth__cg23154002__ZNF278	0.024697	0.033188	0.084381	0.033205	0.02858	0.031064	0.035027	0.032432	0.42695	0.075681	0.03157	0.027422	0.027751	0.046574	0.12151	0.031831	0.036838	0.039811	0.078336	0.027387	0.035482	0.039195	0.061125	0.044929	0.030377	0.021017	0.054103	0.021761	0.023277	0.026945	0.055526	0.03428	0.033645	0.03455
Meth__cg12164282__PXDN	0.046064	0.3242	0.052728	0.95826	0.052586	0.43905	0.033855	0.98032	0.084798	0.043843	0.34267	0.97095	0.035614	0.043387	0.029765	0.12223	0.047652	0.24873	0.035864	0.03535	0.054987	0.03331	0.92111	0.058146	0.18982	0.022964	0.20999	0.020494	0.030807	0.82865	0.079412	0.048988	0.047517	0.054313
Meth__cg07518362__NOTCH2	0.027442	0.027299	0.27741	0.022307	0.022396	0.01314	0.017268	0.023212	0.015352	0.029565	0.015175	0.013278	0.012831	0.018879	0.013487	0.018043	0.024454	0.019967	0.026805	0.021084	0.01867	0.025708	0.03557	0.024007	0.016317	0.01199	0.01027	0.010191	0.018921	0.0089036	0.034182	0.015069	0.01827	0.015041
Meth__cg25632203__ZNF643	0.03827	0.025286	0.026707	0.026011	0.050668	0.023437	0.026468	0.028795	0.071146	0.1544	0.0232	0.026273	0.018417	0.054711	0.025265	0.046118	0.033945	0.032505	0.037731	0.043125	0.031763	0.055652	0.06694	0.044682	0.02734	0.023402	0.02041	0.03294	0.023493	0.022807	0.1778	0.043308	0.055676	0.038553
Meth__cg13686042__SBF1	0.089095	0.12409	0.24261	0.087322	0.048635	0.04418	0.10393	0.089672	0.18506	0.19512	0.056491	0.20812	0.14685	0.08611	0.085718	0.19813	0.092376	0.37484	0.51925	0.14813	0.11429	0.094009	0.099567	0.21524	0.052788	0.049274	0.059127	0.27112	0.052415	0.097941	0.098288	0.07951	0.052833	0.058541
Meth__cg19722847__IPO8	0.11886	0.7914	0.096187	0.10601	0.14134	0.12719	0.17755	0.098031	0.14126	0.32511	0.11375	0.076266	0.11076	0.16343	0.054473	0.34345	0.4008	0.49013	0.13249	0.22918	0.43178	0.20404	0.13512	0.17256	0.052326	0.092653	0.066695	0.78089	0.28104	0.10927	0.24737	0.11082	0.097746	0.099538
Meth__cg19586576__GJA7	0.079222	0.14902	0.059649	0.48894	0.034191	0.057893	0.065835	0.057062	0.066527	0.083288	0.0656	0.058015	0.049937	0.15354	0.04531	0.90986	0.89585	0.49588	0.061299	0.63074	0.059534	0.17144	0.83192	0.18916	0.052065	0.047207	0.054728	0.075097	0.060338	0.80923	0.11115	0.091493	0.060062	0.052767
Meth__cg21081971__TRPC4	0.043517	0.50349	0.033386	0.2046	0.91151	0.6903	0.066184	0.48096	0.87163	0.39908	0.64922	0.846	0.1264	0.21642	0.25508	0.15932	0.50336	0.3215	0.10642	0.14985	0.070343	0.24892	0.39469	0.1183	0.041845	0.34303	0.34292	0.55647	0.041122	0.85987	0.40881	0.094181	0.074425	0.26834
Meth__cg06545845__ARL8A	0.058878	0.06704	0.041079	0.056426	0.06889	0.038614	0.071672	0.048029	0.12395	0.25994	0.055407	0.050071	0.044708	0.071822	0.034758	0.072418	0.08698	0.12048	0.050749	0.079907	0.1782	0.092529	0.20403	0.10369	0.042104	0.048107	0.040766	0.21521	0.066726	0.05247	0.19544	0.38756	0.050166	0.052014
