Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
Meth__cg13315690__OVCA2	0.19103	0.37044	0.049405	0.080886	0.78441	0.18395	0.071853	0.11116	0.089173	0.54405	0.3066	0.071451	0.15929	0.15673	0.084825	0.11092	0.51624	0.081696	0.099542	0.044745	0.074683	0.19333	0.22498	0.24594	0.2174	0.16224	0.35986	0.25804	0.071794	0.49617	0.86087	0.11977	0.4887	0.30404	0.23454
Meth__cg27610561__SLC2A10	0.19747	0.059762	0.43409	0.89157	0.86669	0.89039	0.92983	0.49355	0.9582	0.89256	0.90539	0.74825	0.55302	0.8837	0.95718	0.89835	0.95577	0.39821	0.68533	0.93255	0.93058	0.043882	0.85798	0.069955	0.066386	0.92863	0.10163	0.89548	0.6479	0.94005	0.70686	0.027151	0.028574	0.057998	0.075305
Meth__cg20769774__CYLD	0.057231	0.058532	0.070353	0.48758	0.069791	0.053802	0.046377	0.045749	0.046662	0.093455	0.12679	0.047087	0.059177	0.047732	0.043587	0.045247	0.068386	0.049424	0.051564	0.14866	0.053009	0.10675	0.09281	0.068624	0.1003	0.050243	0.12652	0.056915	0.043957	0.24207	0.042989	0.050618	0.044188	0.1083	0.064867
Meth__cg19635869__RRAGD	0.65266	0.24296	0.092861	0.91755	0.73368	0.92978	0.046223	0.040964	0.74487	0.33961	0.15038	0.070387	0.046819	0.89541	0.067337	0.10179	0.69999	0.93688	0.89746	0.4563	0.11462	0.93876	0.072896	0.774	0.14106	0.041176	0.94432	0.076577	0.52863	0.65119	0.095015	0.2764	0.95668	0.37532	0.93142
Meth__cg14443380__SEMA7A	0.030909	0.073805	0.059749	0.50841	0.054301	0.094988	0.038502	0.037365	0.06231	0.062726	0.071277	0.041851	0.034151	0.047741	0.055607	0.083156	0.042327	0.076836	0.06675	0.052893	0.045596	0.11904	0.094359	0.072615	0.083132	0.036568	0.19714	0.036095	0.043735	0.036619	0.040755	0.032419	0.0436	0.043717	0.048338
Meth__cg20077393__CGN	0.054677	0.049024	0.025824	0.073702	0.30312	0.28852	0.024293	0.055547	0.018115	0.14477	0.30111	0.017583	0.033959	0.038077	0.10669	0.074375	0.18008	0.024362	0.02058	0.02065	0.036632	0.020771	0.073872	0.062615	0.030092	0.17081	0.11475	0.12249	0.02779	0.037023	0.26601	0.019004	0.062745	0.17956	0.36055
Meth__cg03334529__ZNF663	0.039588	0.57758	0.50113	0.066829	0.23648	0.57124	0.55366	0.83326	0.71107	0.18991	0.32847	0.13317	0.27852	0.22534	0.75796	0.11349	0.056673	0.80807	0.65107	0.75636	0.24708	0.045362	0.15977	0.080281	0.075898	0.63627	0.23548	0.18697	0.065758	0.068386	0.052277	0.83853	0.33265	0.42397	0.25728
Meth__cg07479491__BMP6	0.14583	0.079577	0.059683	0.32676	0.096881	0.10416	0.062404	0.14305	0.12947	0.080248	0.11879	0.064159	0.070484	0.061756	0.19593	0.14439	0.075005	0.080783	0.063483	0.10042	0.090694	0.071269	0.18136	0.10462	0.14899	0.075157	0.85463	0.055642	0.074336	0.13393	0.084705	0.10088	0.077657	0.08842	0.079141
Meth__cg07098866__MEGF11	0.042016	0.049351	0.031156	0.029925	0.049776	0.080562	0.036313	0.031753	0.15258	0.055644	0.17166	0.031826	0.038348	0.032649	0.03955	0.13148	0.030223	0.85353	0.92375	0.038303	0.045192	0.29918	0.61283	0.10212	0.18954	0.030303	0.88862	0.053067	0.038662	0.32576	0.042489	0.041256	0.67323	0.036953	0.043358
Meth__cg23736819__LOC115648	0.38207	0.17536	0.13854	0.066759	0.24652	0.94201	0.091487	0.080875	0.1414	0.1614	0.17739	0.11674	0.12037	0.09912	0.14015	0.1822	0.074194	0.44372	0.11088	0.096552	0.098056	0.10443	0.23149	0.14996	0.23837	0.17697	0.16985	0.15861	0.084142	0.091939	0.18723	0.17848	0.23408	0.14021	0.15335
Meth__cg18902090__PCDHAC1	0.023113	0.96224	0.60704	0.022709	0.045723	0.077536	0.018075	0.018725	0.026515	0.023254	0.032571	0.53116	0.15072	0.019143	0.026846	0.028291	0.19569	0.97266	0.71883	0.022225	0.028379	0.018412	0.79821	0.5787	0.043878	0.021606	0.041495	0.02204	0.024402	0.023278	0.58983	0.010517	0.71235	0.72298	0.69105
Meth__cg10604333__ZNF222	0.18439	0.19594	0.14595	0.27022	0.53802	0.85411	0.28584	0.035988	0.23396	0.15854	0.55959	0.031111	0.27641	0.15831	0.032595	0.090339	0.04266	0.41509	0.10704	0.39237	0.079712	0.18697	0.15024	0.11728	0.10539	0.066859	0.27014	0.23306	0.045127	0.065336	0.52183	0.11871	0.25671	0.18306	0.49693
Meth__cg18847227__SUMF1	0.078243	0.53021	0.7828	0.47356	0.86429	0.11952	0.13682	0.12755	0.063727	0.80042	0.62148	0.37115	0.14898	0.071465	0.26955	0.10547	0.04041	0.31438	0.28081	0.09141	0.043038	0.87259	0.13778	0.6525	0.367	0.067671	0.3841	0.42063	0.051826	0.057851	0.053043	0.31203	0.067418	0.74238	0.43138
Meth__cg26755715__FEZ2	0.034596	0.052396	0.046453	0.051064	0.19428	0.095547	0.058489	0.054825	0.054416	0.066775	0.10611	0.026585	0.065388	0.036295	0.048653	0.050138	0.040746	0.03118	0.03874	0.053507	0.047954	0.044417	0.10179	0.041611	0.057393	0.025008	0.086685	0.042713	0.043376	0.044459	0.3332	0.023675	0.048422	0.066841	0.035122
Meth__cg13540795__ZNF432	0.017852	0.28804	0.026527	0.024267	0.05217	0.24017	0.037396	0.01932	0.024456	0.12413	0.44574	0.014051	0.065159	0.035483	0.01922	0.029232	0.026442	0.39425	0.066854	0.019858	0.042224	0.11634	0.072803	0.027691	0.030331	0.031433	0.175	0.028083	0.025857	0.025909	0.032879	0.01728	0.23992	0.22863	0.14961
Meth__cg13230584__GSTK1	0.041508	0.040973	0.033092	0.4368	0.059604	0.040381	0.036709	0.050709	0.0429	0.075725	0.076675	0.031833	0.047107	0.033066	0.057116	0.093831	0.046041	0.035212	0.050861	0.048757	0.05335	0.040498	0.069823	0.055609	0.11058	0.040962	0.094859	0.059583	0.051194	0.054052	0.061982	0.048531	0.050513	0.045791	0.064174
Meth__cg25668368__KCNH7	0.04058	0.085612	0.27845	0.16357	0.07412	0.92504	0.057117	0.059123	0.67214	0.55174	0.37535	0.04663	0.054511	0.06809	0.15599	0.14818	0.093626	0.70869	0.87559	0.049065	0.092681	0.47694	0.51305	0.49964	0.283	0.14797	0.4845	0.059207	0.055493	0.44866	0.10568	0.86668	0.88131	0.84626	0.82177
Meth__cg02729352__ZNF432	0.035899	0.38553	0.040366	0.045263	0.088523	0.33365	0.034326	0.045764	0.074835	0.058303	0.60185	0.033227	0.13633	0.056146	0.047628	0.12461	0.045	0.62046	0.049038	0.043394	0.075684	0.052107	0.11144	0.048654	0.11876	0.050744	0.13846	0.053701	0.045135	0.055451	0.069763	0.039731	0.54918	0.10493	0.064306
Meth__cg12745769__LOC115648	0.38543	0.047963	0.029075	0.038392	0.32327	0.90274	0.051261	0.043931	0.048902	0.055787	0.33126	0.043975	0.12864	0.043078	0.042615	0.077347	0.036365	0.50834	0.1767	0.038088	0.042411	0.044574	0.13944	0.043466	0.079838	0.24399	0.1114	0.052668	0.048351	0.042468	0.090933	0.044926	0.13212	0.088889	0.074802
Meth__cg23472215__GSTM3	0.56457	0.055776	0.14641	0.025161	0.67026	0.038587	0.036474	0.030071	0.034445	0.040584	0.40898	0.10797	0.048955	0.031129	0.026909	0.10024	0.044006	0.56795	0.29839	0.61805	0.029364	0.032767	0.54706	0.64027	0.058351	0.032662	0.93623	0.031703	0.03064	0.02969	0.1299	0.027068	0.57497	0.66593	0.6511
Meth__cg21547708__SSTR2	0.038871	0.045408	0.048724	0.24227	0.11412	0.73159	0.037803	0.034868	0.87615	0.054963	0.21157	0.02298	0.098399	0.043131	0.041006	0.20603	0.096059	0.052637	0.15175	0.036895	0.037412	0.16676	0.49081	0.043419	0.061865	0.04567	0.65496	0.05362	0.0451	0.05147	0.038826	0.0344	0.21638	0.042647	0.037754
Meth__cg21491308__TEX101	0.059627	0.29142	0.1313	0.69302	0.41703	0.40108	0.043856	0.14095	0.25863	0.29641	0.40573	0.042865	0.14331	0.33692	0.64141	0.052303	0.070131	0.099004	0.10894	0.16375	0.17181	0.41995	0.34839	0.068798	0.078149	0.22838	0.21021	0.090121	0.24074	0.089704	0.063375	0.051042	0.64626	0.139	0.17735
Meth__cg22325823__RAB37	0.093464	0.087387	0.075529	0.11383	0.16724	0.30468	0.051852	0.085725	0.18705	0.40726	0.31453	0.035302	0.069061	0.041353	0.1028	0.1274	0.062796	0.0622	0.12184	0.11289	0.032859	0.68931	0.17544	0.042417	0.082756	0.054545	0.13217	0.066717	0.03444	0.15916	0.10568	0.086235	0.097666	0.097337	0.047311
Meth__cg07520161__TMTC3	0.018532	0.0175	0.017506	0.017442	0.03217	0.35194	0.018137	0.018895	0.019083	0.033705	0.026243	0.018093	0.020542	0.014928	0.012283	0.032577	0.013368	0.016296	0.018473	0.018104	0.023128	0.022545	0.030646	0.021987	0.020643	0.016583	0.033886	0.01917	0.023568	0.018828	0.021266	0.01464	0.013955	0.023246	0.017811
Meth__cg09875273__ERBB2	0.015603	0.026686	0.039669	0.037077	0.14528	0.041044	0.069294	0.080723	0.82974	0.067161	0.026325	0.016197	0.066076	0.03812	0.028524	0.058193	0.052415	0.046638	0.094865	0.038746	0.064923	0.051511	0.062746	0.019489	0.066418	0.045151	0.023267	0.068215	0.053346	0.030688	0.040705	0.087138	0.03228	0.051128	0.050681
Meth__cg07017374__FLT3	0.083311	0.060403	0.047054	0.97612	0.90699	0.056919	0.063262	0.076683	0.96014	0.82494	0.64938	0.15263	0.069241	0.10864	0.13835	0.085498	0.78864	0.77244	0.23776	0.2561	0.076083	0.77401	0.91193	0.46411	0.10883	0.056966	0.34125	0.055712	0.14959	0.50336	0.18898	0.045968	0.28135	0.066198	0.07724
Meth__cg18338311__LOC124842	0.04059	0.23458	0.06371	0.97054	0.09927	0.68595	0.051291	0.041261	0.11123	0.3006	0.4102	0.36796	0.043832	0.040905	0.36711	0.088694	0.038925	0.60362	0.20367	0.048231	0.074186	0.11944	0.90221	0.062539	0.039092	0.054216	0.94658	0.82352	0.053301	0.38971	0.10705	0.036214	0.60768	0.067191	0.051424
Meth__cg09126273__PTPRO	0.30398	0.46189	0.65742	0.38191	0.14157	0.72992	0.036822	0.054889	0.50649	0.10509	0.92802	0.33892	0.20028	0.0661	0.076456	0.076437	0.039343	0.3697	0.88595	0.12271	0.066495	0.76812	0.85599	0.12975	0.1118	0.056873	0.89101	0.077999	0.044483	0.030581	0.2032	0.90772	0.94327	0.50577	0.56538
Meth__cg22315542__MLR1	0.17793	0.12438	0.12101	0.24624	0.42929	0.1778	0.07639	0.051701	0.19531	0.403	0.18027	0.060431	0.080622	0.082248	0.086285	0.14135	0.12447	0.12989	0.088667	0.35001	0.080255	0.087125	0.2717	0.075376	0.14655	0.11219	0.63347	0.12398	0.1129	0.070808	0.12473	0.40135	0.69838	0.28303	0.77482
Meth__cg27458888__UBE3A	0.020601	0.038275	0.022256	0.029771	0.083882	0.0172	0.11041	0.033832	0.027467	0.020448	0.031997	0.031247	0.098498	0.024627	0.019545	0.037647	0.017377	0.021171	0.03105	0.031211	0.043092	0.025181	0.039339	0.056781	0.033051	0.073229	0.067106	0.20469	0.023956	0.021329	0.029563	0.025171	0.019168	0.021238	0.022462
Meth__cg24217877__FLJ44674	0.028463	0.75603	0.56483	0.30806	0.20173	0.80987	0.034915	0.054981	0.11222	0.50427	0.24625	0.0308	0.10866	0.031482	0.24472	0.15172	0.028622	0.040353	0.61893	0.74591	0.055148	0.78265	0.086526	0.27733	0.061323	0.17765	0.48363	0.034216	0.53031	0.52631	0.062652	0.048344	0.83095	0.38286	0.046532
Meth__cg08315187__PERP	0.041443	0.13342	0.11816	0.068624	0.17086	0.024142	0.091989	0.14431	0.055677	0.071585	0.14883	0.070936	0.051311	0.080282	0.052831	0.10138	0.084859	0.049191	0.06626	0.62912	0.14238	0.067724	0.085269	0.053857	0.13029	0.073423	0.075186	0.058249	0.053501	0.055854	0.078218	0.072752	0.066288	0.13256	0.072313
Meth__cg07559730__ZNF702	0.032904	0.11117	0.030824	0.95345	0.90134	0.37557	0.023909	0.031679	0.032483	0.07003	0.15689	0.026413	0.029214	0.04217	0.033252	0.11605	0.038797	0.90193	0.52733	0.051608	0.060022	0.032846	0.84614	0.040887	0.20019	0.07172	0.39281	0.050015	0.064961	0.06517	0.12627	0.033353	0.027915	0.27905	0.45986
Meth__cg07665060__C19orf33	0.05151	0.20478	0.063283	0.94207	0.087968	0.63742	0.90236	0.91242	0.94627	0.082497	0.39291	0.97696	0.83931	0.86601	0.96715	0.73605	0.94632	0.040952	0.030675	0.038753	0.96065	0.030799	0.07358	0.93584	0.041275	0.72858	0.95227	0.91037	0.63912	0.033814	0.021959	0.87736	0.03132	0.86245	0.90554
Meth__cg05743054__MLF1	0.016014	0.018668	0.020608	0.016677	0.020763	0.011521	0.016633	0.017396	0.01444	0.018971	0.032202	0.026438	0.01637	0.015162	0.017432	0.019099	0.012699	0.031076	0.013997	0.018154	0.022194	0.013665	0.02667	0.020527	0.028839	0.011377	0.019654	0.015776	0.018008	0.015305	0.014378	0.011157	0.015735	0.01922	0.019645
Meth__cg25853078__OPCML	0.064238	0.33795	0.064953	0.33362	0.57407	0.85871	0.055807	0.10961	0.74045	0.21309	0.35957	0.087047	0.14653	0.086981	0.27013	0.22229	0.15928	0.45661	0.18863	0.80299	0.14083	0.81731	0.47337	0.4804	0.096709	0.21277	0.45134	0.16148	0.13364	0.24738	0.15101	0.070885	0.79136	0.43726	0.64338
Meth__cg26317056__NNT	0.055491	0.55634	0.036311	0.018655	0.024725	0.017847	0.014912	0.02522	0.01554	0.021288	0.87207	0.024688	0.02351	0.016711	0.01383	0.021878	0.01632	0.070977	0.018506	0.016436	0.018922	0.099927	0.033076	0.022403	0.024529	0.015676	0.064226	0.026965	0.018131	0.020783	0.01993	0.51761	0.71881	0.28717	0.084842
Meth__cg08849126__GPRC5A	0.025324	0.027972	0.028806	0.025705	0.023805	0.014929	0.023874	0.023841	0.18768	0.023348	0.039825	0.024632	0.025093	0.49446	0.019768	0.035209	0.033916	0.018127	0.027137	0.026265	0.39572	0.021181	0.0245	0.027973	0.029902	0.021979	0.039553	0.03266	0.023479	0.025092	0.020607	0.021099	0.024693	0.024251	0.027201
Meth__cg08303146__KCNQ1	0.048115	0.21635	0.4735	0.96695	0.30288	0.28033	0.047283	0.04163	0.64482	0.0408	0.26745	0.046158	0.044247	0.034387	0.091319	0.17111	0.61866	0.41212	0.26686	0.58689	0.058562	0.30841	0.81257	0.043584	0.3912	0.043011	0.56791	0.064859	0.10335	0.33842	0.31554	0.032307	0.32661	0.47495	0.48473
Meth__cg20006825__PTMS	0.17076	0.51109	0.2769	0.052906	0.088229	0.04141	0.51662	0.11289	0.39822	0.16432	0.61181	0.045276	0.44153	0.591	0.037886	0.15899	0.043832	0.076216	0.088082	0.32826	0.15244	0.1193	0.074093	0.424	0.077062	0.56937	0.095686	0.71044	0.056796	0.033999	0.18178	0.23142	0.057742	0.12579	0.35427
Meth__cg08016383__ADAMTS17	0.04519	0.051874	0.046604	0.31104	0.20737	0.34222	0.035785	0.045656	0.083771	0.054869	0.073367	0.051187	0.035347	0.034938	0.083373	0.094781	0.11657	0.036478	0.051005	0.031454	0.047476	0.074686	0.12999	0.048032	0.079	0.041586	0.89942	0.03676	0.19627	0.14047	0.051553	0.044775	0.033165	0.039635	0.040142
Meth__cg01322134__WNT3A	0.054177	0.081977	0.042682	0.76468	0.19866	0.19086	0.036575	0.059634	0.69004	0.032743	0.65963	0.084855	0.03244	0.049331	0.060454	0.13778	0.064287	0.78131	0.47134	0.066028	0.044296	0.92695	0.91768	0.065161	0.28062	0.26202	0.93662	0.089021	0.27127	0.053939	0.061807	0.027247	0.68693	0.38549	0.6287
Meth__cg11465163__DIRAS3	0.06072	0.093347	0.90494	0.93095	0.67295	0.9565	0.059287	0.11851	0.31337	0.13374	0.15741	0.046408	0.18689	0.7676	0.064369	0.24141	0.4082	0.84391	0.62443	0.51426	0.21475	0.91791	0.88533	0.24476	0.21985	0.26922	0.89606	0.07436	0.47171	0.42907	0.51041	0.5962	0.38943	0.50104	0.50297
Meth__cg00775197__MGC33600	0.094818	0.09025	0.069916	0.6017	0.77533	0.34106	0.079099	0.056413	0.62196	0.19303	0.50474	0.099555	0.079988	0.26688	0.12961	0.13149	0.47228	0.11181	0.10776	0.076611	0.17667	0.28462	0.79665	0.065904	0.085405	0.26594	0.7657	0.10989	0.24588	0.30259	0.36511	0.11406	0.4405	0.16662	0.47504
Meth__cg23705973__HIST1H1D	0.058888	0.15626	0.073741	0.050208	0.14912	0.80963	0.04408	0.063432	0.3926	0.17699	0.75145	0.031164	0.054065	0.059188	0.041565	0.098835	0.066998	0.071805	0.07755	0.074766	0.091388	0.39666	0.6933	0.11009	0.12933	0.051409	0.19443	0.049791	0.040961	0.071554	0.072997	0.071925	0.86153	0.88109	0.75314
Meth__cg04135543__ORF1-FL49	0.057364	0.076793	0.049092	0.051687	0.029358	0.042427	0.063198	0.064968	0.050934	0.083085	0.088832	0.051926	0.057226	0.0523	0.039255	0.11914	0.044838	0.042399	0.049463	0.048807	0.32611	0.050827	0.1018	0.065032	0.060521	0.05249	0.10965	0.078422	0.048129	0.041682	0.041909	0.051491	0.039753	0.044733	0.049719
Meth__cg19703610__DSCAML1	0.24812	0.2232	0.37245	0.85778	0.87979	0.81196	0.17179	0.053586	0.86234	0.44318	0.72734	0.13115	0.19351	0.10846	0.35461	0.18387	0.77046	0.51029	0.53758	0.043074	0.63744	0.18443	0.84052	0.11507	0.091023	0.0841	0.85151	0.49469	0.12175	0.43823	0.60651	0.084903	0.62244	0.29074	0.33527
Meth__cg26538116__LRPPRC	0.013873	0.020616	0.016053	0.022645	0.087912	0.031506	0.026834	0.030835	0.021924	0.053447	0.037597	0.013214	0.019927	0.012244	0.015212	0.034952	0.022212	0.011629	0.014915	0.018556	0.020924	0.023701	0.029283	0.022885	0.040498	0.016873	0.047689	0.016861	0.029568	0.032021	0.17087	0.017974	0.01043	0.023026	0.022067
Meth__cg03916421__LOC132321	0.14129	0.7987	0.36333	0.067992	0.84382	0.91477	0.58828	0.20056	0.064751	0.63743	0.12794	0.082798	0.5582	0.07092	0.095403	0.12179	0.047896	0.60073	0.52897	0.40041	0.21486	0.88353	0.1439	0.22643	0.40693	0.058695	0.24038	0.38099	0.91544	0.48313	0.20992	0.50572	0.08497	0.62423	0.56263
Meth__cg03192551__CGI-69	0.37818	0.94186	0.91837	0.067224	0.62138	0.037424	0.64133	0.93083	0.048387	0.49776	0.5771	0.93743	0.59144	0.6476	0.08292	0.27532	0.062931	0.82364	0.60592	0.92657	0.45696	0.12414	0.059511	0.7956	0.23197	0.040489	0.10326	0.83569	0.033137	0.033867	0.76488	0.032031	0.030667	0.033806	0.038808
Meth__cg06720956__ONECUT1	0.035124	0.059915	0.047998	0.12812	0.082592	0.14147	0.08733	0.053945	0.087014	0.12964	0.18929	0.043261	0.089146	0.047918	0.096703	0.16964	0.052604	0.28098	0.053564	0.1007	0.067269	0.058809	0.86628	0.08792	0.50528	0.31739	0.61568	0.68312	0.05459	0.058722	0.23207	0.050416	0.13783	0.48861	0.6749
Meth__cg26829529__SPACA3	0.05739	0.65482	0.54367	0.041314	0.087275	0.27477	0.15423	0.069102	0.20691	0.061576	0.17757	0.060478	0.11262	0.13883	0.083132	0.1116	0.083789	0.23704	0.26751	0.82232	0.04472	0.8268	0.083516	0.049004	0.056736	0.10035	0.06385	0.062257	0.05492	0.055089	0.040196	0.40026	0.030528	0.0608	0.064492
Meth__cg06659128__TMLHE	0.18596	0.059871	0.2368	0.048365	0.035748	0.55131	0.049165	0.047611	0.051343	0.044203	0.073135	0.23238	0.14463	0.066249	0.32084	0.083865	0.044344	0.038144	0.052428	0.22536	0.054815	0.44761	0.27706	0.28572	0.07622	0.044332	0.30655	0.05289	0.056996	0.038613	0.057604	0.29489	0.52212	0.51227	0.47187
Meth__cg23357981__GRP	0.01566	0.47298	0.35196	0.91534	0.56583	0.98119	0.072103	0.04143	0.958	0.22139	0.4799	0.047754	0.19082	0.070769	0.053814	0.032942	0.13515	0.87393	0.64513	0.12795	0.12351	0.96979	0.73569	0.16788	0.036359	0.19499	0.70066	0.27937	0.039033	0.31639	0.055747	0.030609	0.66	0.49541	0.57488
Meth__cg01663968__CTSZ	0.042954	0.061075	0.73201	0.67571	0.089664	0.31116	0.73933	0.36671	0.78695	0.056506	0.10379	0.42341	0.57354	0.65803	0.035074	0.11067	0.053656	0.94142	0.91087	0.14184	0.49429	0.063647	0.072266	0.064281	0.057491	0.039672	0.28843	0.057087	0.057934	0.026953	0.039768	0.56736	0.030465	0.077066	0.05692
Meth__cg19096540__MGC13017	0.09422	0.75392	0.1712	0.54554	0.26774	0.065441	0.58328	0.18323	0.16179	0.15491	0.15358	0.2121	0.49781	0.23624	0.079016	0.16417	0.056289	0.23029	0.18468	0.19607	0.77549	0.25848	0.13354	0.23991	0.090784	0.28827	0.15538	0.084848	0.040395	0.052558	0.45048	0.38987	0.083627	0.1709	0.13319
Meth__cg11375079__GLRX5	0.024102	0.020251	0.027949	0.028803	0.029412	0.69896	0.022245	0.029712	0.025697	0.030102	0.038921	0.022213	0.027196	0.021771	0.023872	0.047037	0.025666	0.028343	0.0293	0.02838	0.03121	0.02375	0.032672	0.028351	0.037435	0.027044	0.02869	0.020642	0.028949	0.029694	0.031133	0.020196	0.021932	0.027797	0.028376
Meth__cg11195662__C9orf65	0.070837	0.055792	0.059488	0.055207	0.25964	0.39299	0.0485	0.079631	0.062169	0.085007	0.47418	0.049453	0.058764	0.085125	0.057154	0.2244	0.045499	0.47161	0.093895	0.084411	0.16951	0.074679	0.72766	0.055132	0.11834	0.12949	0.86925	0.073419	0.82733	0.053091	0.066161	0.055667	0.17029	0.25635	0.30596
Meth__cg11868900__EFCAB1	0.027058	0.8824	0.46945	0.62427	0.85269	0.84832	0.19491	0.22063	0.12091	0.24213	0.8845	0.076268	0.1527	0.62378	0.18394	0.10111	0.22193	0.74977	0.83838	0.090877	0.040224	0.040455	0.90155	0.29433	0.030407	0.04775	0.77424	0.065224	0.040622	0.63276	0.53345	0.023371	0.36729	0.29751	0.71562
Meth__cg27581839__AMOT	0.056427	0.077821	0.18017	0.055763	0.070887	0.50527	0.072586	0.062519	0.065599	0.10607	0.094585	0.11606	0.081513	0.11164	0.39542	0.16512	0.083702	0.78505	0.063987	0.54016	0.057	0.52701	0.83109	0.072167	0.16493	0.04838	0.3588	0.069041	0.58847	0.071729	0.25963	0.39472	0.43162	0.1876	0.05216
Meth__cg12485020__CHRDL1	0.053198	0.090293	0.045714	0.39668	0.26433	0.66446	0.052497	0.039799	0.18407	0.42578	0.86638	0.061901	0.053141	0.43714	0.49411	0.13854	0.050778	0.9177	0.85746	0.095324	0.23066	0.4349	0.62496	0.076721	0.32688	0.49046	0.36207	0.075423	0.4523	0.072056	0.47785	0.47567	0.59695	0.28027	0.51007
Meth__cg25519930__CACNA1C	0.1516	0.1745	0.24566	0.052825	0.42934	0.41897	0.38761	0.12746	0.43859	0.37836	0.81628	0.25466	0.31206	0.23124	0.057624	0.24221	0.050924	0.15058	0.068363	0.051652	0.052172	0.41072	0.74454	0.074286	0.43016	0.046319	0.86231	0.55939	0.035125	0.31445	0.50461	0.28068	0.56883	0.27228	0.20956
Meth__cg04967538__CXorf42	0.039703	0.05402	0.035018	0.38563	0.055103	0.49988	0.4299	0.03621	0.033622	0.058288	0.034483	0.052419	0.38697	0.27452	0.47479	0.064237	0.045986	0.047678	0.03314	0.50586	0.041016	0.44988	0.082932	0.044671	0.10233	0.031432	0.33749	0.031943	0.4896	0.05465	0.1115	0.063054	0.18861	0.27442	0.031448
Meth__cg13631913__MGC4399	0.041971	0.05122	0.040847	0.040257	0.047024	0.030056	0.048442	0.051784	0.061405	0.041198	0.071269	0.034304	0.042264	0.059108	0.044827	0.088994	0.86521	0.044421	0.046878	0.050107	0.043776	0.053428	0.06871	0.055672	0.075952	0.04283	0.10945	0.048185	0.039139	0.039631	0.035981	0.049546	0.036803	0.044258	0.044436
Meth__cg12717203__FLJ90036	0.064389	0.058223	0.042992	0.054485	0.92724	0.072632	0.045731	0.081594	0.068526	0.094778	0.4145	0.048693	0.063246	0.11811	0.063833	0.14165	0.06494	0.044504	0.046156	0.051309	0.059661	0.085313	0.12003	0.05779	0.11022	0.046884	0.12707	0.049311	0.047037	0.067493	0.40166	0.037106	0.056737	0.063011	0.50748
Meth__cg07962315__C9orf95	0.15506	0.16199	0.26362	0.21944	0.4078	0.89363	0.15111	0.56813	0.13489	0.26133	0.17246	0.11179	0.14763	0.088816	0.12244	0.15631	0.17203	0.15609	0.15068	0.31338	0.1385	0.17739	0.77727	0.28687	0.1878	0.10089	0.20255	0.17	0.54772	0.08348	0.10296	0.5149	0.32731	0.40709	0.56198
Meth__cg01288598__CD83	0.3655	0.10609	0.044789	0.046575	0.1085	0.066256	0.049637	0.064826	0.064818	0.026919	0.28311	0.077964	0.13052	0.38137	0.06831	0.09081	0.069785	0.050612	0.053892	0.38511	0.081921	0.083412	0.093132	0.045176	0.048712	0.13851	0.11183	0.080971	0.055012	0.044087	0.085932	0.12635	0.047704	0.059693	0.065338
Meth__cg22063989__RSPO1	0.043065	0.13711	0.28111	0.91868	0.41285	0.8919	0.060033	0.096963	0.76231	0.29448	0.52891	0.025439	0.057106	0.10122	0.59492	0.11636	0.033021	0.80867	0.63778	0.08198	0.052736	0.090757	0.8498	0.71662	0.14392	0.19856	0.84864	0.2911	0.035869	0.026346	0.062748	0.088502	0.69824	0.12857	0.099931
Meth__cg18505908__APBA1	0.24306	0.056974	0.045108	0.47438	0.12756	0.07002	0.047326	0.041126	0.058838	0.051684	0.10344	0.04519	0.047707	0.059158	0.056537	0.071102	0.039062	0.036532	0.059503	0.050445	0.069157	0.040883	0.4521	0.071555	0.12265	0.043192	0.083978	0.04566	0.043179	0.32934	0.057928	0.057941	0.11683	0.056414	0.046936
Meth__cg22998811__ZNF563	0.040086	0.061128	0.068037	0.057604	0.093248	0.51485	0.054579	0.0604	0.071131	0.057623	0.077184	0.049519	0.066667	0.039648	0.048526	0.089547	0.034858	0.073139	0.053793	0.044833	0.056941	0.048642	0.062258	0.070731	0.079641	0.042665	0.20029	0.059521	0.054097	0.032789	0.062919	0.070102	0.053841	0.072502	0.087828
Meth__cg03969797__MKRN3	0.029543	0.907	0.04523	0.23261	0.33425	0.46503	0.053947	0.089675	0.088269	0.40897	0.089109	0.036943	0.077239	0.030338	0.055966	0.09046	0.042816	0.68999	0.4292	0.43007	0.053492	0.43303	0.065146	0.14949	0.14559	0.02898	0.22583	0.085596	0.29547	0.052284	0.11317	0.06341	0.43829	0.27137	0.21105
Meth__cg23234999__MKRN3	0.040847	0.87865	0.041571	0.59504	0.89441	0.71373	0.039561	0.043172	0.068693	0.91211	0.054248	0.036018	0.41703	0.052273	0.037484	0.39414	0.04849	0.84198	0.60138	0.69573	0.060926	0.80434	0.069891	0.050902	0.28299	0.051347	0.47672	0.047486	0.5914	0.16391	0.051769	0.042296	0.63573	0.61096	0.60674
