Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg23943360__LDLR	0.058636	0.052358	0.057643	0.045888	0.04803	0.040153	0.065059	0.04855	0.043867	0.086023	0.05105	0.10123	0.055668	0.053474	0.051127	0.10179	0.71864	0.054228	0.052322	0.28392	0.041635	0.032677	0.085141	0.060815	0.08642	0.067578	0.14379	0.045736	0.049141	0.058505	0.079037	0.048248	0.048827	0.10914	0.065752	0.06311	0.081008
Meth__cg22176895__PROX1	0.23675	0.044831	0.045768	0.067417	0.17701	0.1415	0.35456	0.21944	0.31933	0.070297	0.36309	0.069574	0.306	0.049042	0.053297	0.29066	0.048237	0.6371	0.58544	0.29647	0.051348	0.26091	0.38708	0.05369	0.09373	0.36935	0.12499	0.040209	0.16567	0.045734	0.053547	0.056271	0.60114	0.18737	0.076971	0.29045	0.52935
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.42933	0.25908	0.72085	0.61114	0.65806	0.91216	0.023928	0.91239	0.95223	0.023076	0.020014	0.61629	0.4037	0.061959	0.024246	0.78425	0.7095	0.95563	0.050173	0.53177	0.49897	0.86351	0.033887	0.80283	0.034795	0.01863	0.018953	0.055841	0.60859	0.023614	0.47313	0.050931	0.025819	0.17143	0.17611
Meth__cg22737001__RUNX3	0.23676	0.016459	0.049468	0.46618	0.68693	0.86932	0.91541	0.029351	0.018012	0.6389	0.12132	0.030675	0.024514	0.8745	0.02458	0.052339	0.43279	0.94893	0.94275	0.56004	0.022151	0.85008	0.84026	0.03935	0.048515	0.80171	0.030664	0.017864	0.017447	0.78063	0.022366	0.015022	0.80608	0.36982	0.94884	0.21405	0.62661
Meth__cg07408740__OGDH	0.098194	0.085573	0.09206	0.11141	0.1206	0.88218	0.57542	0.8921	0.24561	0.11485	0.38082	0.17523	0.21611	0.15348	0.081979	0.13724	0.088368	0.069114	0.10553	0.16616	0.20705	0.074488	0.18149	0.097212	0.19107	0.20541	0.1626	0.39404	0.17874	0.12798	0.52531	0.13036	0.47363	0.21852	0.086835	0.1208	0.278
Meth__cg16221059__PLS3	0.056314	0.039921	0.04572	0.046808	0.058762	0.033043	0.078294	0.042657	0.042063	0.077511	0.037135	0.019971	0.052313	0.048394	0.1212	0.07502	0.024477	0.61928	0.88016	0.1364	0.10365	0.4695	0.049249	0.043355	0.21578	0.2512	0.073839	0.048688	0.034555	0.041643	0.050444	0.037923	0.26528	0.042883	0.4384	0.067225	0.038261
Meth__cg13765785__SCN3B	0.89892	0.12824	0.19658	0.61181	0.098868	0.82963	0.82203	0.53261	0.42545	0.121	0.73936	0.17129	0.33211	0.11728	0.45274	0.1343	0.25719	0.87833	0.88038	0.40906	0.15386	0.096199	0.80561	0.81554	0.18991	0.49012	0.15432	0.10611	0.12599	0.17136	0.10558	0.1155	0.090089	0.5102	0.11201	0.25977	0.11249
Meth__cg00755043__C9orf121	0.05035	0.047861	0.59091	0.063999	0.041875	0.9187	0.051084	0.041654	0.052494	0.053272	0.056753	0.032799	0.062836	0.051176	0.63684	0.050077	0.72139	0.037972	0.053746	0.043739	0.047299	0.04244	0.43104	0.068807	0.06717	0.10959	0.10686	0.051228	0.025177	0.058101	0.034547	0.04507	0.056522	0.12817	0.065268	0.058326	0.061525
Meth__cg02407785__PCDH9	0.52833	0.033818	0.40731	0.041748	0.027527	0.032856	0.054492	0.054282	0.080155	0.051476	0.067144	0.040662	0.068397	0.033772	0.079073	0.074411	0.71309	0.047827	0.058793	0.21565	0.091215	0.080708	0.095721	0.051153	0.084875	0.85861	0.080851	0.027169	0.038757	0.060456	0.036303	0.031627	0.49321	0.55594	0.019188	0.039944	0.05551
Meth__cg07872652__CNIH2	0.11246	0.11742	0.97101	0.090942	0.068616	0.088866	0.081363	0.083948	0.058783	0.10788	0.091944	0.69163	0.055992	0.072072	0.073184	0.13595	0.050787	0.83856	0.39876	0.12689	0.074314	0.12508	0.50716	0.39189	0.11901	0.15755	0.18605	0.063286	0.041526	0.10596	0.061914	0.78287	0.076108	0.11855	0.13248	0.12748	0.12359
Meth__cg15911500__ERCC1	0.026427	0.023171	0.02487	0.026662	0.015932	0.026057	0.033482	0.021475	0.021184	0.027832	0.030527	0.014429	0.024922	0.022717	0.023284	0.058698	0.025258	0.021377	0.027175	0.032181	0.027892	0.018377	0.046999	0.029633	0.047349	0.18119	0.039812	0.023737	0.023298	0.023614	0.020614	0.024038	0.021302	0.051994	0.02905	0.02528	0.027288
U133A__FXYD5	9.4366	8.8706	10.2383	6.3544	6.9093	10.5229	6.5905	9.7949	7.3967	6.6968	9.5407	9.0421	7.8566	10.3211	8.4657	10.2902	9.5227	6.2427	6.8433	6.25	10.5826	6.4736	9.5884	6.6844	7.9084	8.14	8.7157	7.1906	10.2745	9.6556	8.4212	8.9687	6.5669	8.3634	9.4597	6.2665	6.3151
Meth__cg13701273__EPHA5	0.41893	0.018622	0.51225	0.044628	0.052431	0.03038	0.22876	0.49233	0.036069	0.047927	0.13666	0.53666	0.031196	0.032021	0.030827	0.041329	0.034339	0.44073	0.13078	0.2791	0.030151	0.13004	0.21419	0.051659	0.033665	0.13911	0.040729	0.02349	0.025059	0.20354	0.03356	0.031121	0.45242	0.14488	0.081297	0.1848	0.26072
Meth__cg22637507__ALKBH3	0.049824	0.044614	0.051901	0.97334	0.033821	0.03337	0.96315	0.03484	0.036422	0.061856	0.96759	0.041901	0.047963	0.04185	0.040926	0.055837	0.044967	0.045995	0.05522	0.049704	0.045853	0.048359	0.060074	0.052309	0.055813	0.073731	0.071458	0.41642	0.042329	0.044213	0.032597	0.0497	0.43141	0.054762	0.057438	0.049564	0.049703
Meth__cg17051321__BNC1	0.45085	0.39084	0.92526	0.17565	0.10929	0.62397	0.89172	0.44196	0.52343	0.35057	0.29887	0.0709	0.39755	0.74781	0.059286	0.11766	0.4834	0.36821	0.41297	0.50976	0.06867	0.58107	0.87146	0.5197	0.10076	0.79931	0.12124	0.4026	0.044778	0.054929	0.047233	0.087025	0.8755	0.3858	0.19108	0.38141	0.44092
Meth__cg00567749__CSPG2	0.31959	0.062123	0.8552	0.29593	0.22741	0.14775	0.85842	0.051685	0.1442	0.61527	0.45644	0.60011	0.18311	0.84773	0.052642	0.36783	0.058871	0.84183	0.54248	0.17109	0.080247	0.70058	0.78676	0.56475	0.12826	0.85537	0.34906	0.055763	0.050755	0.074334	0.87734	0.35208	0.58371	0.39576	0.10578	0.85412	0.85893
Meth__cg08044694__BRD4	0.049629	0.042114	0.072398	0.36281	0.79788	0.95779	0.10976	0.054526	0.03676	0.64726	0.11625	0.035122	0.038668	0.050353	0.044292	0.071429	0.92309	0.91053	0.86396	0.87122	0.079952	0.95588	0.89029	0.59508	0.19285	0.5738	0.097434	0.18144	0.075269	0.046951	0.88443	0.055871	0.047357	0.14776	0.88839	0.43545	0.53972
Meth__cg08434234__DGKI	0.48377	0.057961	0.95658	0.75676	0.069044	0.87959	0.95099	0.08616	0.046879	0.037298	0.79998	0.066076	0.087275	0.058654	0.0382	0.46108	0.55595	0.96209	0.47158	0.69024	0.053554	0.44406	0.93243	0.55726	0.35366	0.92159	0.087408	0.036901	0.052236	0.52779	0.050861	0.040185	0.96535	0.64154	0.6127	0.074712	0.22273
Meth__cg05839235__NPR3	0.94423	0.69438	0.96745	0.18726	0.18034	0.9	0.51399	0.074024	0.074166	0.36121	0.41251	0.52018	0.056807	0.9577	0.044466	0.10347	0.39893	0.97492	0.96997	0.90099	0.10205	0.80975	0.93935	0.11051	0.35804	0.88617	0.48394	0.062261	0.037313	0.52794	0.049904	0.026498	0.59615	0.58132	0.099142	0.5614	0.81469
Meth__cg12128839__HOXA5	0.42399	0.021367	0.93402	0.3294	0.068863	0.17941	0.75023	0.082916	0.037535	0.45235	0.049615	0.063589	0.082415	0.0542	0.040746	0.065036	0.054855	0.033724	0.047571	0.717	0.034689	0.90451	0.7006	0.31274	0.19495	0.56165	0.20212	0.049434	0.042827	0.072845	0.031061	0.26506	0.90385	0.59131	0.052489	0.89954	0.89038
Meth__cg10918202__BAALC	0.10975	0.064619	0.97706	0.42254	0.11541	0.95743	0.95832	0.60031	0.032097	0.072132	0.85239	0.35475	0.082532	0.20623	0.19251	0.13856	0.19962	0.92956	0.60084	0.55204	0.063076	0.13485	0.9222	0.46875	0.038511	0.95832	0.16976	0.12011	0.085302	0.3778	0.43844	0.05026	0.94694	0.065863	0.070004	0.43982	0.57864
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.35555	0.32747	0.16054	0.043837	0.91661	0.055249	0.025571	0.52581	0.31239	0.17183	0.032459	0.34492	0.036044	0.064078	0.0634	0.49843	0.58161	0.56386	0.065736	0.18401	0.94513	0.055457	0.08382	0.94443	0.098284	0.031221	0.10139	0.058012	0.054921	0.10049	0.59689	0.048349	0.036028	0.098418	0.20912
Meth__cg08422599__KCNIP1	0.91801	0.090108	0.93918	0.39888	0.057747	0.034586	0.92582	0.089735	0.048159	0.1056	0.22908	0.31855	0.048261	0.059054	0.04834	0.11237	0.037565	0.92581	0.92343	0.58399	0.39897	0.95432	0.86951	0.89442	0.24794	0.83168	0.22325	0.11225	0.087719	0.19877	0.58897	0.046147	0.94847	0.36464	0.056015	0.38068	0.51961
Meth__cg03256955__TGFBR2	0.055375	0.084128	0.069305	0.14645	0.36047	0.048731	0.20211	0.042862	0.059697	0.37092	0.078094	0.084879	0.091266	0.050714	0.032389	0.081879	0.051855	0.33582	0.10314	0.92199	0.057966	0.31687	0.10633	0.45152	0.10365	0.28386	0.10283	0.053641	0.046627	0.042829	0.68823	0.052677	0.88452	0.084514	0.19387	0.15027	0.76893
Meth__cg03100146__SH3BGRL3	0.13854	0.074489	0.10848	0.094915	0.07665	0.084637	0.11242	0.074855	0.10898	0.13091	0.10653	0.099975	0.10771	0.11664	0.09435	0.11231	0.075244	0.086184	0.095613	0.10801	0.095427	0.10503	0.12161	0.10126	0.11761	0.11847	0.10544	0.084907	0.092777	0.078182	0.079589	0.092773	0.057981	0.73907	0.10823	0.10778	0.080269
Meth__cg02678356__ZXDA	0.29701	0.043702	0.10362	0.056422	0.066667	0.037763	0.075501	0.45734	0.054539	0.12074	0.081891	0.20761	0.061081	0.24076	0.49635	0.055219	0.047721	0.057352	0.054584	0.10822	0.061154	0.30278	0.11519	0.31519	0.13309	0.18107	0.063474	0.060632	0.036862	0.046807	0.057	0.046909	0.16189	0.092453	0.065141	0.070534	0.062658
Meth__cg09754413__RNF182	0.52061	0.078875	0.88807	0.38098	0.13669	0.043119	0.81428	0.10896	0.16347	0.13314	0.54797	0.14382	0.14404	0.34766	0.052158	0.11597	0.42179	0.70165	0.70021	0.87644	0.22684	0.75151	0.3453	0.2409	0.43985	0.66826	0.17378	0.05675	0.11934	0.53729	0.54945	0.077711	0.8306	0.33042	0.083261	0.27329	0.20727
U133A__DDIT4	7.5309	9.4689	6.8728	9.5108	6.8696	10.5424	8.9504	7.5289	10.2985	7	9.2058	8.6661	6.091	10.2213	7.4198	8.3905	6.1963	7.3089	8.6375	7.2565	7.6621	8.6169	6.395	8.1399	8.6558	9.5738	9.6591	9.6427	10.4824	8.3328	9.356	9.8628	9.6722	6.2074	10.9391	9.3186	8.7454
Meth__cg08797471__DAPK1	0.80824	0.076237	0.84185	0.1122	0.05904	0.7454	0.48532	0.048839	0.080762	0.074662	0.12939	0.062992	0.098447	0.071923	0.084055	0.14986	0.51893	0.80396	0.29405	0.081095	0.089703	0.072648	0.92606	0.08167	0.1103	0.10853	0.090526	0.064949	0.14302	0.10207	0.05559	0.065318	0.055736	0.32017	0.082333	0.079283	0.069249
Meth__cg14764661__MRC2	0.23022	0.070608	0.90005	0.63036	0.43995	0.028614	0.71593	0.043478	0.21353	0.91882	0.41204	0.20403	0.16919	0.054793	0.021784	0.29415	0.029233	0.86795	0.66311	0.71308	0.030227	0.76292	0.31665	0.83346	0.38775	0.80433	0.067731	0.025495	0.030041	0.14614	0.84397	0.20798	0.87605	0.50349	0.041548	0.91217	0.93832
Meth__cg15952487__CD1B	0.27438	0.072705	0.091175	0.13806	0.068041	0.074874	0.080741	0.094737	0.18166	0.10217	0.10027	0.068672	0.13882	0.062033	0.064368	0.12495	0.074458	0.062592	0.20631	0.097916	0.09888	0.60156	0.13841	0.10241	0.16562	0.27382	0.1732	0.078906	0.097504	0.088953	0.066371	0.061657	0.093637	0.10665	0.084911	0.36496	0.25602
Meth__cg11269533__FEV	0.52321	0.044956	0.93562	0.36622	0.24473	0.44352	0.21792	0.49375	0.11571	0.35519	0.89488	0.92941	0.10223	0.30395	0.11843	0.088356	0.056259	0.57328	0.63056	0.39893	0.6132	0.65292	0.26296	0.17334	0.056307	0.61421	0.066267	0.084647	0.12253	0.096677	0.09612	0.052689	0.20341	0.10092	0.83756	0.41576	0.25578
Meth__cg06717231__ZNF559	0.11932	0.028852	0.024842	0.02882	0.030196	0.026468	0.034909	0.18271	0.025482	0.037195	0.96613	0.033217	0.076422	0.021242	0.019754	0.049795	0.021104	0.9688	0.10405	0.021466	0.022895	0.023481	0.046386	0.42289	0.045355	0.038395	0.07178	0.021478	0.022934	0.032374	0.025225	0.028473	0.020321	0.047896	0.034627	0.046453	0.10916
Meth__cg18011401__CACNA1A	0.41824	0.12281	0.66107	0.22775	0.14641	0.59581	0.2772	0.75298	0.11086	0.14315	0.41369	0.26497	0.14789	0.19966	0.17938	0.15257	0.24529	0.19523	0.5527	0.14151	0.084356	0.54354	0.33096	0.10239	0.17612	0.40921	0.26265	0.074167	0.073152	0.078882	0.077844	0.10889	0.28901	0.11699	0.55277	0.12221	0.092852
Meth__cg19799744__ENPP5	0.055069	0.031166	0.74929	0.03344	0.039153	0.91254	0.039288	0.02116	0.083871	0.0451	0.20477	0.041393	0.042998	0.048122	0.11803	0.078211	0.071251	0.049401	0.045432	0.036182	0.1773	0.050097	0.43944	0.050625	0.046424	0.34024	0.0753	0.029887	0.032526	0.1542	0.029218	0.030646	0.040398	0.039582	0.040293	0.064056	0.055044
U133A__ATP2B4	5.5028	6.4581	5.6892	6.2711	6.5316	7.4579	6.2252	7.9768	8.6033	6.5555	8.1858	7.6065	6.0514	7.1387	6.0959	8.4166	6.8174	5.3141	5.5657	5.8025	7.2595	6.0334	5.3436	5.9318	5.2475	6.1616	5.4998	6.1145	6.4583	7.7021	5.4258	5.834	6.194	5.4313	5.9803	6.754	6.4627
Meth__cg04609859__HOXB4	0.93434	0.03755	0.044684	0.64059	0.036734	0.031238	0.82236	0.87354	0.48533	0.42034	0.32749	0.94638	0.41116	0.11962	0.030202	0.074571	0.44629	0.89809	0.69944	0.30421	0.28431	0.94034	0.75829	0.63583	0.04459	0.48567	0.070417	0.29009	0.036709	0.21774	0.38674	0.043763	0.048776	0.72442	0.10772	0.47201	0.83944
Meth__cg15211677__WBP5	0.45542	0.19011	0.18929	0.78651	0.22845	0.074427	0.83179	0.32824	0.077169	0.070183	0.50791	0.33225	0.077633	0.18857	0.22611	0.13559	0.17421	0.88133	0.86704	0.85698	0.09927	0.85508	0.2229	0.15594	0.1641	0.79668	0.27009	0.14588	0.17932	0.12219	0.77056	0.13707	0.23263	0.28316	0.91907	0.15518	0.50606
Meth__cg24022829__EIF2AK2	0.034446	0.040496	0.04257	0.032329	0.023174	0.029164	0.037218	0.030927	0.022309	0.036434	0.031708	0.021254	0.040129	0.035226	0.031498	0.053026	0.025615	0.022603	0.030898	0.046149	0.034846	0.020118	0.068579	0.037231	0.033753	0.068525	0.096588	0.023905	0.026224	0.028242	0.02028	0.021955	0.02499	0.051923	0.027482	0.033233	0.17931
U133A__PHGDH	7.4108	7.1537	10.3442	8.105	6.4854	8.4641	6.9078	7.2091	9.3914	8.3536	7.7658	8.4218	7.1137	7.4823	8.446	9.7916	7.6953	7.2645	6.7722	5.8624	7.797	6.6487	6.6278	8.0502	7.8655	7.9675	6.7189	9.1647	8.0666	6.5386	9.6919	9.7963	8.2777	7.7695	7.4865	7.2748	7.6427
U133A__AKR1C1	7.1431	7.4936	9.7287	6.9009	6.8428	6.9592	6.8648	8.8214	9.5937	6.993	6.9124	9.4036	6.7947	9.3672	10.5533	8.2823	10.5717	6.8776	7.8026	10.3287	9.2501	8.2671	6.5743	7.7902	8.1125	7.0886	6.9583	7.1779	9.3422	9.1273	9.812	11.7895	7.2018	7.2829	6.5776	6.7722	6.5749
Meth__cg00818693__TTC14	0.046846	0.050201	0.086617	0.69562	0.036749	0.042307	0.40868	0.12799	0.040366	0.044588	0.18129	0.036825	0.048675	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.43952	0.040718	0.041879	0.18086	0.049398	0.054295	0.093109	0.061155	0.044491	0.037534	0.05244	0.036759	0.040019	0.037691	0.063503	0.044973	0.036773	0.042388
Meth__cg27574244__TBCD	0.34118	0.046897	0.82213	0.24567	0.56653	0.17712	0.079214	0.28563	0.024957	0.43485	0.064948	0.035292	0.040108	0.031412	0.481	0.055559	0.18957	0.10449	0.048398	0.032168	0.11866	0.023458	0.2287	0.35303	0.066742	0.28535	0.084697	0.030381	0.04182	0.036235	0.023388	0.049868	0.025687	0.16931	0.049962	0.22718	0.21139
Meth__cg17880199__MYH11	0.97085	0.044188	0.57607	0.10291	0.2384	0.95682	0.53513	0.97431	0.061021	0.03518	0.63545	0.14763	0.073555	0.071717	0.15611	0.14667	0.75634	0.96393	0.96374	0.45369	0.10903	0.61508	0.93372	0.04454	0.083912	0.83758	0.067664	0.023554	0.053029	0.058644	0.056101	0.058564	0.34085	0.074549	0.037591	0.15811	0.8957
Meth__cg25473396__MPG	0.22116	0.38866	0.61936	0.617	0.43326	0.70085	0.40837	0.031927	0.5742	0.5083	0.16368	0.17392	0.51468	0.11679	0.050247	0.10385	0.015296	0.21512	0.33065	0.71829	0.034695	0.5937	0.032377	0.65229	0.27277	0.79813	0.43867	0.022141	0.016362	0.014739	0.089029	0.063592	0.17705	0.1831	0.71466	0.41193	0.18544
Meth__cg19055231__STAC	0.76327	0.065162	0.039476	0.92712	0.13442	0.038438	0.92847	0.023621	0.050088	0.089373	0.90614	0.053059	0.051187	0.49542	0.040867	0.089246	0.029941	0.35623	0.40602	0.29855	0.081727	0.92573	0.09228	0.63863	0.10303	0.86768	0.29445	0.068551	0.030101	0.032966	0.91124	0.088744	0.6006	0.055533	0.11865	0.93164	0.88249
Meth__cg03403539__NUPL2	0.060468	0.032806	0.06058	0.044529	0.047143	0.049754	0.056506	0.047327	0.042551	0.094404	0.050881	0.045378	0.054075	0.062246	0.047288	0.16388	0.033645	0.040159	0.047235	0.057692	0.045579	0.046046	0.12298	0.057048	0.10361	0.096398	0.051509	0.043946	0.055213	0.045481	0.043929	0.037803	0.031427	0.093188	0.049207	0.07523	0.28206
Meth__cg00002426__SLMAP	0.067202	0.056657	0.057735	0.22468	0.36535	0.038872	0.14852	0.063399	0.08233	0.098221	0.094675	0.054976	0.17127	0.064319	0.062067	0.066066	0.54875	0.84705	0.088564	0.90197	0.18975	0.92733	0.073475	0.18956	0.047982	0.12424	0.12973	0.90957	0.052474	0.045397	0.64229	0.046751	0.061264	0.77762	0.89998	0.098025	0.09051
Meth__cg14409083__EMP1	0.067273	0.06337	0.052726	0.075731	0.39193	0.051675	0.51612	0.036715	0.78596	0.20777	0.22821	0.11627	0.64419	0.053113	0.048662	0.087173	0.053692	0.66194	0.81815	0.90805	0.060606	0.063316	0.099467	0.41683	0.08257	0.83522	0.064879	0.035296	0.033361	0.048788	0.54295	0.044556	0.68149	0.14069	0.075024	0.20706	0.76781
Meth__cg06423920__ZNF312	0.50503	0.038173	0.89145	0.91933	0.31646	0.62801	0.72646	0.91804	0.2341	0.052373	0.68003	0.30496	0.20367	0.065479	0.43489	0.089205	0.038407	0.62044	0.5444	0.47993	0.42147	0.60753	0.52895	0.37669	0.11561	0.83895	0.069809	0.040349	0.16369	0.044197	0.45987	0.03262	0.3724	0.070108	0.7639	0.29709	0.50457
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	6.2989	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785	6.4466
Meth__cg11178443__RANGNRF	0.030637	0.03461	0.075514	0.033594	0.025033	0.026982	0.038779	0.024396	0.0352	0.084957	0.9477	0.057261	0.03242	0.031681	0.027732	0.066637	0.023605	0.60898	0.2001	0.03405	0.062884	0.034837	0.09169	0.039851	0.061308	0.074625	0.045381	0.025172	0.027469	0.03273	0.036156	0.033818	0.030059	0.092211	0.039718	0.051147	0.037921
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	2.9041	5.2215	8.0058	4.0984	4.7334	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	7.9187	6.4257	8.156
Meth__cg07173760__CLC	0.85294	0.074468	0.8818	0.86159	0.72466	0.16355	0.55666	0.8167	0.069154	0.80985	0.75884	0.38393	0.095068	0.57006	0.49753	0.13051	0.080074	0.52379	0.47237	0.8362	0.16694	0.77631	0.21042	0.26306	0.16993	0.20637	0.19648	0.084687	0.090962	0.073798	0.60811	0.068363	0.63343	0.20498	0.61305	0.50033	0.36769
Meth__cg15835825__HTR5A	0.48817	0.021318	0.37036	0.033924	0.023469	0.38002	0.10816	0.25905	0.051796	0.068626	0.95032	0.94695	0.045872	0.029224	0.087145	0.19671	0.58156	0.026856	0.034611	0.045935	0.047394	0.18776	0.90975	0.047415	0.046015	0.84146	0.096713	0.021488	0.044247	0.04272	0.037484	0.022528	0.47019	0.071116	0.46369	0.25661	0.024693
Meth__cg17846100__MT	0.042812	0.053208	0.043474	0.030663	0.023374	0.027307	0.038344	0.041368	0.027673	0.031494	0.040442	0.027155	0.089107	0.028154	0.09837	0.061271	0.073878	0.028025	0.070933	0.023066	0.03773	0.037832	0.38601	0.034195	0.045976	0.073101	0.06985	0.033935	0.031721	0.036877	0.014931	0.031799	0.034888	0.044041	0.031736	0.025055	0.052445
Meth__cg07441272__RPL39L	0.042224	0.033307	0.044468	0.043366	0.53714	0.039679	0.045926	0.046928	0.047607	0.03887	0.048469	0.019696	0.052705	0.037108	0.032084	0.081814	0.055742	0.50935	0.54759	0.94602	0.041652	0.034704	0.060393	0.6933	0.075626	0.92816	0.060886	0.036279	0.037798	0.044385	0.038941	0.4771	0.022741	0.21115	0.040636	0.9393	0.9303
Meth__cg13158571__CYP4X1	0.04061	0.22216	0.94788	0.043895	0.028983	0.71473	0.76414	0.03723	0.029636	0.30967	0.65769	0.76576	0.026072	0.24715	0.049216	0.068625	0.022797	0.84663	0.89114	0.92693	0.088618	0.12825	0.54104	0.8731	0.069048	0.75053	0.051412	0.257	0.024996	0.046543	0.80389	0.033404	0.045871	0.2217	0.062353	0.43288	0.88393
Meth__cg04543012__TFCP2	0.055556	0.55941	0.082686	0.066756	0.5058	0.044228	0.66306	0.049007	0.049809	0.82217	0.069782	0.039964	0.29501	0.042294	0.041877	0.097796	0.041207	0.83399	0.84444	0.079434	0.060277	0.052965	0.069326	0.22594	0.080071	0.089238	0.18701	0.043906	0.047447	0.051229	0.35903	0.04341	0.045533	0.2268	0.048305	0.45878	0.80361
Meth__cg00666746__SYDE1	0.41238	0.030133	0.324	0.66617	0.77062	0.073923	0.94867	0.052147	0.036128	0.34151	0.067596	0.032832	0.043688	0.091044	0.17529	0.024571	0.13046	0.65223	0.57288	0.97031	0.082913	0.3788	0.094208	0.75963	0.13832	0.94463	0.05243	0.078448	0.021204	0.074675	0.95397	0.042409	0.93969	0.29767	0.14649	0.041897	0.28929
Meth__cg24194539__AIM1	0.037978	0.026937	0.038245	0.044614	0.076916	0.79651	0.03263	0.94132	0.026101	0.03213	0.94127	0.036529	0.035299	0.32562	0.35816	0.048863	0.94717	0.95832	0.95981	0.46597	0.029222	0.20987	0.059496	0.03478	0.041673	0.047207	0.054174	0.022069	0.02665	0.032126	0.025229	0.026935	0.092502	0.074891	0.034574	0.051854	0.94992
Meth__cg26964989__LAMC3	0.13422	0.056934	0.19489	0.18776	0.13778	0.11679	0.50335	0.073598	0.063742	0.066166	0.09557	0.10822	0.062059	0.099223	0.051958	0.10549	0.060044	0.60803	0.32609	0.23296	0.14154	0.41343	0.251	0.13127	0.054478	0.20378	0.080211	0.065109	0.073943	0.057463	0.20833	0.053549	0.078943	0.18182	0.081662	0.26382	0.34133
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	4.8618	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	4.3322	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	10.7187	6.9184	4.8221	4.5797	4.5998	4.8576	4.5338
Meth__cg11778001__NAB1	0.37777	0.081591	0.91967	0.83849	0.81913	0.46567	0.63146	0.11243	0.050648	0.46704	0.035807	0.051004	0.088967	0.045257	0.032913	0.079548	0.55078	0.74356	0.55583	0.82083	0.5126	0.56383	0.35092	0.56894	0.08107	0.37458	0.19944	0.039828	0.032798	0.050908	0.89256	0.090355	0.27698	0.06868	0.46968	0.50258	0.80287
Meth__cg00393585__FLJ31659	0.95343	0.055902	0.092526	0.62407	0.069824	0.07966	0.94402	0.081417	0.062926	0.14242	0.054598	0.59294	0.14452	0.087639	0.056907	0.11318	0.68365	0.055946	0.080844	0.61724	0.079235	0.072506	0.11131	0.75478	0.092233	0.091897	0.19383	0.076888	0.036037	0.65067	0.08468	0.053524	0.064581	0.87486	0.09852	0.9595	0.9565
Meth__cg23960723__ECHDC3	0.067377	0.038616	0.1158	0.06417	0.032388	0.21748	0.055628	0.64639	0.026747	0.042848	0.051285	0.049624	0.03476	0.064827	0.1	0.037319	0.04442	0.36377	0.10256	0.047722	0.041852	0.049829	0.11576	0.045844	0.045896	0.4537	0.088295	0.042982	0.033878	0.046647	0.036181	0.030985	0.041909	0.072105	0.054344	0.041332	0.039727
Meth__cg18234011__IGF2BP2	0.040404	0.04082	0.045853	0.073175	0.28956	0.48471	0.65407	0.058214	0.031957	0.52741	0.052621	0.037659	0.044744	0.034888	0.03809	0.099908	0.54853	0.55724	0.37489	0.48094	0.047052	0.15897	0.063702	0.048972	0.13208	0.93012	0.044831	0.040665	0.033117	0.053642	0.028713	0.034206	0.3195	0.49515	0.034382	0.44291	0.61639
Meth__cg20536369__TIMM13	0.053221	0.043085	0.13534	0.064207	0.041554	0.042386	0.073922	0.056214	0.039259	0.045423	0.050641	0.034572	0.049144	0.037994	0.070527	0.11658	0.037308	0.53798	0.64654	0.048919	0.074156	0.038716	0.1171	0.067292	0.088741	0.092256	0.059011	0.055172	0.040247	0.036262	0.035774	0.042191	0.038108	0.10908	0.046861	0.046187	0.045589
U133A__TNFSF10	7.4048	4.6934	4.1345	5.0365	6.1542	4.0584	3.8828	6.6466	7.8221	4.4769	3.9907	8.5859	7.3273	7.1749	4.0838	9.3001	4.0692	4.215	4.7545	4.8323	5.926	5.2022	4.1125	6.5527	7.1184	5.5367	4.2591	3.9032	3.8381	4.2542	7.4595	8.7164	7.4724	4.6913	7.1343	4.5162	3.8928
