Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg21832243__TTC3	0.13711	0.23406	0.60887	0.15828	0.12552	0.37517	0.15572	0.62452	0.12283	0.13416	0.2152	0.59431	0.81122	0.14937	0.13027	0.82389	0.63473	0.36332	0.16294	0.13184	0.17234	0.70032	0.088712	0.29372	0.17443	0.27817	0.14617	0.1795	0.11292	0.15256	0.19602	0.12761	0.16153	0.13714	0.092547	0.21091	0.25585	0.12703
Meth__cg09558502__OVGP1	0.2228	0.042807	0.39044	0.35461	0.21353	0.076273	0.090016	0.52289	0.4775	0.23822	0.10206	0.59322	0.22141	0.079143	0.38367	0.10342	0.45608	0.077071	0.040114	0.14967	0.16152	0.085782	0.62103	0.068871	0.15721	0.10783	0.11159	0.08	0.069243	0.061096	0.065828	0.49916	0.43979	0.20798	0.14247	0.11449	0.1785	0.10048
Meth__cg05824432__DCI	0.019346	0.016696	0.020649	0.3849	0.012316	0.01226	0.015821	0.013191	0.021814	0.013955	0.015063	0.012296	0.028283	0.020884	0.015266	0.022785	0.015018	0.023184	0.015114	0.014229	0.018289	0.018468	0.027712	0.037641	0.33763	0.02521	0.037819	0.018713	0.015807	0.016297	0.013691	0.013744	0.014737	0.038246	0.015	0.31724	0.028558	0.021634
Meth__cg09103232__SLC2A4	0.036767	0.037674	0.039148	0.044732	0.031089	0.032379	0.033718	0.026588	0.030548	0.033028	0.032765	0.029001	0.083767	0.041179	0.037465	0.033184	0.40682	0.08353	0.025092	0.026692	0.038924	0.032525	0.028173	0.057958	0.082017	0.053928	0.054939	0.061117	0.032231	0.077927	0.030462	0.033071	0.027056	0.076999	0.032583	0.037265	0.049603	0.033666
Meth__cg01457653__FBXL8	0.041555	0.033098	0.051651	0.046222	0.023081	0.03133	0.032637	0.035027	0.26402	0.036515	0.043949	0.11998	0.042685	0.033714	0.28132	0.03374	0.038457	0.061688	0.021199	0.01999	0.033852	0.035437	0.030395	0.041426	0.023677	0.055176	0.026149	0.10249	0.031087	0.020633	0.024299	0.028314	0.023192	0.15866	0.047198	0.028723	0.056733	0.045724
Meth__cg15202954__VGCNL1	0.093219	0.3787	0.10201	0.95781	0.097981	0.67191	0.94787	0.057675	0.15616	0.11458	0.21149	0.11687	0.44592	0.95607	0.19531	0.068708	0.084924	0.51367	0.094101	0.93288	0.93658	0.12817	0.12064	0.18383	0.82348	0.17466	0.87852	0.21743	0.085475	0.078324	0.12145	0.79869	0.83787	0.13167	0.17544	0.10514	0.14489	0.10226
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.44344	0.24251	0.10174	0.055282	0.15708	0.056399	0.098716	0.088239	0.065786	0.054996	0.12076	0.39745	0.095326	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.071996	0.90614	0.098395	0.92625	0.1153	0.13813	0.4426	0.04858	0.055241	0.081668	0.89899	0.33643	0.28333	0.90603	0.49976	0.12136	0.92407
Meth__cg15659828__CHID1	0.031983	0.82973	0.91518	0.60429	0.18566	0.15583	0.86786	0.24036	0.04156	0.63189	0.1185	0.25951	0.7647	0.7991	0.06873	0.24347	0.051726	0.1722	0.022345	0.88012	0.5906	0.81583	0.11381	0.1285	0.90994	0.070723	0.080018	0.57824	0.49755	0.067502	0.10886	0.42256	0.88394	0.10818	0.066312	0.20056	0.32722	0.41708
Meth__cg14521746__PAK1	0.099382	0.088479	0.15853	0.14112	0.11165	0.73455	0.19692	0.26231	0.074202	0.085545	0.10893	0.075577	0.22298	0.12995	0.096247	0.1225	0.098257	0.13365	0.064688	0.12664	0.12104	0.086868	0.090978	0.19698	0.083449	0.090397	0.38476	0.094374	0.075414	0.057927	0.079138	0.35536	0.14835	0.081608	0.088249	0.24834	0.17888	0.36644
Meth__cg01313514__WNT3A	0.091376	0.085871	0.27245	0.23682	0.14767	0.53563	0.42434	0.12758	0.088736	0.14152	0.48374	0.15241	0.31624	0.43144	0.088258	0.11186	0.10527	0.18663	0.09703	0.42068	0.32235	0.11874	0.35549	0.76716	0.22156	0.078638	0.5199	0.12472	0.055606	0.098717	0.15969	0.23753	0.50164	0.34497	0.10719	0.2075	0.16147	0.31793
Meth__cg24012925__SRXN1	0.050023	0.0451	0.041669	0.17578	0.052594	0.052255	0.07719	0.13862	0.52473	0.063853	0.055148	0.092252	0.057688	0.033539	0.42956	0.038842	0.050779	0.074825	0.038497	0.032214	0.054045	0.065359	0.052727	0.068253	0.050267	0.10289	0.062277	0.088528	0.05543	0.045392	0.05193	0.045689	0.030097	0.076538	0.04704	0.041267	0.079753	0.044257
Meth__cg05655556__PSMD2	0.035216	0.020781	0.6779	0.02286	0.040361	0.67511	0.066694	0.015707	0.035528	0.026307	0.028017	0.026397	0.068919	0.021416	0.039495	0.027331	0.034055	0.046803	0.23696	0.018182	0.027427	0.034824	0.040163	0.044703	0.035487	0.055613	0.055383	0.034268	0.027349	0.028213	0.04013	0.03038	0.12958	0.02911	0.032508	0.044776	0.04859	0.098772
Meth__cg18411898__RPRM	0.27427	0.088606	0.89262	0.55683	0.078838	0.87328	0.1282	0.15635	0.056582	0.061511	0.46853	0.12099	0.41784	0.53437	0.25039	0.19416	0.097957	0.15457	0.045423	0.22225	0.093484	0.16754	0.70045	0.84688	0.32516	0.11864	0.41887	0.092534	0.058549	0.14193	0.24063	0.4771	0.50232	0.090339	0.059221	0.11531	0.12694	0.070105
Meth__cg23001457__MRGPRX1	0.56745	0.025138	0.20091	0.49503	0.22909	0.093443	0.12523	0.57016	0.74211	0.040234	0.3621	0.72664	0.56755	0.029578	0.48841	0.087781	0.32956	0.10127	0.041804	0.072944	0.12366	0.057339	0.40613	0.0726	0.077363	0.042915	0.18964	0.076821	0.058205	0.54903	0.051217	0.65457	0.24099	0.13333	0.54483	0.15924	0.11888	0.341
Meth__cg16847051__CALCOCO1	0.082651	0.083728	0.18626	0.13481	0.15216	0.75993	0.30817	0.11648	0.11773	0.32668	0.079456	0.1449	0.54118	0.06181	0.12502	0.12033	0.10126	0.12472	0.4407	0.27869	0.14757	0.23609	0.13095	0.32991	0.34717	0.12278	0.18112	0.1718	0.059768	0.45184	0.075351	0.18929	0.35503	0.29647	0.077342	0.12592	0.14845	0.12123
Meth__cg13704271__CCDC28B	0.05914	0.069742	0.059896	0.061467	0.056064	0.05364	0.06867	0.072118	0.04817	0.053364	0.050635	0.051571	0.19142	0.045548	0.054576	0.30432	0.045148	0.12891	0.039807	0.23333	0.065661	0.054205	0.052037	0.14157	0.060159	0.13396	0.094844	0.094998	0.043506	0.052666	0.062698	0.057708	0.61522	0.072651	0.070695	0.06842	0.13061	0.38382
Meth__cg17274064__ERG	0.56482	0.22398	0.65635	0.52368	0.8089	0.57103	0.68241	0.092712	0.05631	0.092781	0.097777	0.10206	0.52895	0.061598	0.14377	0.54582	0.055983	0.10688	0.054	0.28692	0.72993	0.10943	0.32475	0.22768	0.31796	0.32259	0.39023	0.3847	0.041497	0.044772	0.13844	0.83079	0.6423	0.11588	0.058197	0.74596	0.25902	0.66832
Meth__cg05473175__IGSF4C	0.046076	0.052027	0.11974	0.071286	0.045399	0.18165	0.064613	0.086266	0.04952	0.061139	0.088411	0.078922	0.18728	0.044003	0.042118	0.060238	0.093113	0.079009	0.28109	0.061272	0.096972	0.10589	0.17319	0.49919	0.088519	0.10081	0.12079	0.11098	0.055213	0.067944	0.059205	0.046052	0.21542	0.1142	0.10428	0.050092	0.085238	0.061318
Meth__cg07473550__TSC22D3	0.62662	0.016473	0.031824	0.028401	0.057485	0.020023	0.020098	0.65864	0.64283	0.033287	0.07385	0.025958	0.020218	0.019423	0.61816	0.60445	0.028789	0.029552	0.016486	0.018698	0.025661	0.062506	0.56387	0.023899	0.024237	0.34936	0.29779	0.043735	0.025185	0.01832	0.61961	0.019343	0.19163	0.064532	0.016674	0.046759	0.05048	0.020305
Meth__cg13562911__ELOVL2	0.049263	0.048088	0.98037	0.87337	0.04196	0.56401	0.044175	0.064134	0.035483	0.042783	0.98119	0.3748	0.92931	0.33561	0.15625	0.75494	0.037767	0.17098	0.65235	0.4113	0.04182	0.50997	0.77915	0.95752	0.044541	0.08326	0.95565	0.077842	0.039186	0.58079	0.49356	0.18315	0.96407	0.077983	0.34261	0.44802	0.072384	0.13416
Meth__cg03734660__CRABP2	0.021001	0.043242	0.037173	0.025448	0.01693	0.25767	0.11123	0.027057	0.014933	0.02311	0.03045	0.029795	0.063752	0.019229	0.023639	0.022011	0.019808	0.040931	0.022809	0.023702	0.028424	0.69475	0.019533	0.070357	0.030435	0.055451	0.046411	0.063229	0.024151	0.015677	0.017253	0.082062	0.039026	0.04118	0.023294	0.021683	0.057158	0.1767
Meth__cg20775959__ARNT2	0.041385	0.042429	0.97207	0.54629	0.53867	0.65814	0.96476	0.53138	0.041451	0.17724	0.11019	0.41137	0.9337	0.075043	0.096933	0.62703	0.03487	0.090656	0.39759	0.49602	0.45619	0.74213	0.21919	0.61962	0.26723	0.063498	0.95049	0.05348	0.18238	0.27348	0.17558	0.49897	0.77686	0.44664	0.075668	0.54006	0.36169	0.92581
Meth__cg10193817__IGSF4	0.050422	0.04554	0.59896	0.046009	0.032754	0.6459	0.057136	0.14848	0.036415	0.041918	0.039782	0.038267	0.14666	0.043466	0.040859	0.087531	0.095038	0.1301	0.035418	0.042102	0.050282	0.049955	0.031078	0.90713	0.053709	0.11095	0.58288	0.080589	0.058643	0.75149	0.065649	0.041797	0.044357	0.092259	0.043948	0.042985	0.081231	0.049848
Meth__cg27493997__CRABP2	0.065803	0.78384	0.14119	0.1829	0.060297	0.65479	0.53323	0.05447	0.048193	0.076055	0.23681	0.090231	0.35135	0.05901	0.05765	0.36234	0.071291	0.12126	0.098763	0.046387	0.061918	0.93286	0.061029	0.09975	0.086985	0.12127	0.096971	0.68633	0.89263	0.086781	0.1555	0.43194	0.27219	0.16882	0.052039	0.12791	0.38225	0.52165
Meth__cg27132814__C20orf79	0.51757	0.051434	0.56885	0.79757	0.68384	0.051717	0.34161	0.87841	0.89837	0.46006	0.25412	0.6612	0.3957	0.051443	0.79917	0.56897	0.25382	0.36356	0.044186	0.5387	0.57262	0.069459	0.89586	0.066365	0.18178	0.10308	0.2409	0.087176	0.090596	0.37188	0.086993	0.48375	0.23175	0.16645	0.34709	0.26514	0.35671	0.29013
Meth__cg00066816__IL12B	0.060987	0.047143	0.14915	0.52105	0.10585	0.5711	0.50049	0.08661	0.058991	0.058147	0.095852	0.58085	0.83323	0.067166	0.068351	0.084994	0.11857	0.12041	0.86557	0.082321	0.16143	0.88479	0.37083	0.27145	0.072914	0.11443	0.79863	0.083999	0.054437	0.061571	0.1298	0.35338	0.88138	0.21251	0.23852	0.095459	0.83358	0.047229
Meth__cg27472295__TPBG	0.052107	0.050723	0.06512	0.051335	0.051191	0.042135	0.081078	0.061172	0.051831	0.076371	0.64742	0.068305	0.072947	0.028864	0.064352	0.046323	0.051219	0.077779	0.043664	0.033694	0.050294	0.057399	0.03414	0.11209	0.0385	0.055496	0.11713	0.11433	0.057	0.056891	0.039789	0.050497	0.038626	0.17533	0.052389	0.03642	0.10307	0.040369
Meth__cg17028039__FGFR2	0.050646	0.048923	0.13568	0.052679	0.022386	0.053655	0.069251	0.098945	0.024904	0.029627	0.058372	0.081978	0.44574	0.052268	0.032882	0.026051	0.062633	0.10308	0.084958	0.83562	0.63652	0.08665	0.038725	0.79827	0.12265	0.027594	0.094379	0.066874	0.043496	0.038375	0.05635	0.02269	0.089948	0.083218	0.026224	0.035392	0.06332	0.062106
Meth__cg17926057__PSMD10	0.37465	0.087146	0.065148	0.083926	0.13458	0.047606	0.0918	0.36963	0.34149	0.058351	0.07136	0.10898	0.056519	0.077197	0.27227	0.13347	0.42402	0.10237	0.0554	0.047796	0.065163	0.063651	0.25364	0.11716	0.087226	0.15945	0.21799	0.10719	0.37117	0.082033	0.28758	0.095664	0.14717	0.097862	0.43687	0.090699	0.45403	0.080417
Meth__cg09874752__SFRP5	0.57191	0.042928	0.94819	0.65626	0.045226	0.51225	0.81316	0.2371	0.038552	0.11061	0.63952	0.070351	0.89858	0.054809	0.041333	0.53221	0.055901	0.082062	0.037566	0.94747	0.95539	0.90829	0.47688	0.91906	0.60734	0.074098	0.91788	0.088973	0.040454	0.063402	0.067201	0.063371	0.27297	0.87262	0.048482	0.55043	0.93414	0.076095
Meth__cg20881888__ZMYND10	0.029907	0.0187	0.034666	0.4262	0.031289	0.56993	0.031474	0.030219	0.028307	0.036122	0.68542	0.51105	0.8715	0.015415	0.031063	0.05161	0.044217	0.073877	0.020707	0.23688	0.036455	0.4117	0.04478	0.15812	0.036873	0.064326	0.63565	0.02877	0.018317	0.047208	0.68422	0.56163	0.13429	0.046769	0.02482	0.26196	0.69495	0.6122
Meth__cg25104511__RAPGEFL1	0.064361	0.24522	0.9248	0.41814	0.20045	0.87367	0.084129	0.79937	0.20696	0.077803	0.086703	0.27825	0.91657	0.23729	0.39753	0.67236	0.27857	0.71054	0.88338	0.19075	0.32765	0.53373	0.1191	0.70096	0.71905	0.051364	0.92851	0.33478	0.089073	0.059186	0.53769	0.14582	0.13208	0.14408	0.12347	0.37113	0.6022	0.095883
Meth__cg01653445__BAI2	0.045048	0.04977	0.11115	0.054524	0.049362	0.10711	0.043242	0.041562	0.040475	0.038162	0.090995	0.37094	0.47494	0.029728	0.036472	0.099126	0.075106	0.095353	0.19504	0.04406	0.077159	0.054621	0.1431	0.47052	0.041934	0.052408	0.11824	0.082661	0.036506	0.086057	0.43086	0.044631	0.035405	0.092047	0.048189	0.041716	0.14913	0.04589
Meth__cg15925792__MX1	0.20244	0.11755	0.075898	0.54847	0.044598	0.94985	0.39509	0.63298	0.060162	0.057055	0.069225	0.095481	0.92546	0.035366	0.13187	0.94774	0.075935	0.097526	0.067286	0.97231	0.96384	0.059381	0.078945	0.52474	0.9413	0.21081	0.52754	0.088316	0.09591	0.04533	0.074556	0.084864	0.96213	0.082803	0.071599	0.53152	0.14824	0.93859
Meth__cg22153873__BCL11A	0.0673	0.099437	0.20097	0.24819	0.06205	0.071267	0.082577	0.065485	0.0739	0.050632	0.072285	0.097186	0.092802	0.10852	0.081467	0.082761	0.095767	0.1322	0.067061	0.086666	0.099017	0.070637	0.085467	0.095633	0.079548	0.12646	0.18637	0.090547	0.065122	0.055805	0.060273	0.044397	0.53579	0.11899	0.085684	0.073244	0.20007	0.070167
Meth__cg15639045__SLC16A11	0.042255	0.69664	0.92913	0.090577	0.04616	0.57759	0.54115	0.42466	0.044167	0.050149	0.92871	0.53107	0.8592	0.032248	0.038511	0.86783	0.53228	0.48241	0.035962	0.54867	0.57126	0.85121	0.052023	0.31752	0.41117	0.057593	0.073142	0.6487	0.22265	0.10489	0.037451	0.56639	0.74025	0.074734	0.050864	0.16575	0.078605	0.62163
Meth__cg08132931__ADD2	0.57405	0.041512	0.52487	0.39783	0.038083	0.61366	0.70325	0.060746	0.038432	0.055316	0.076793	0.063322	0.61927	0.35167	0.046242	0.047636	0.041958	0.064777	0.062246	0.66354	0.55288	0.075227	0.62142	0.39222	0.40567	0.10175	0.79733	0.065307	0.038033	0.03305	0.036807	0.67471	0.27854	0.29422	0.45561	0.62045	0.057509	0.66157
Meth__cg00705255__LILRA3	0.079573	0.020935	0.15606	0.16186	0.084411	0.13796	0.065866	0.31857	0.15839	0.23221	0.19382	0.24518	0.18484	0.026289	0.10327	0.040847	0.22533	0.045391	0.016294	0.13969	0.10351	0.21793	0.57036	0.13642	0.080941	0.031848	0.19013	0.039407	0.044758	0.07772	0.059568	0.12565	0.082497	0.12773	0.24853	0.071079	0.15479	0.064809
Meth__cg20346726__MGC13040	0.091096	0.054526	0.63767	0.48837	0.043847	0.47739	0.89758	0.04627	0.096095	0.067232	0.10718	0.076101	0.75205	0.041316	0.10588	0.13047	0.06144	0.089813	0.050245	0.46831	0.20247	0.073317	0.11208	0.76866	0.84372	0.08678	0.63292	0.11006	0.085203	0.052329	0.047407	0.23534	0.56007	0.53681	0.061	0.36925	0.086601	0.83546
Meth__cg10332700__ZNF415	0.035117	0.022465	0.036316	0.041575	0.033044	0.029478	0.57692	0.93108	0.019652	0.026517	0.038838	0.024063	0.57526	0.020916	0.030413	0.73733	0.022714	0.078255	0.030419	0.97781	0.82416	0.032108	0.039064	0.8533	0.035206	0.1009	0.92346	0.061649	0.028517	0.079028	0.097376	0.026179	0.2717	0.04483	0.035901	0.34846	0.10643	0.16907
Meth__cg04057858__UNQ9391	0.52954	0.063359	0.13584	0.081237	0.067658	0.058364	0.084049	0.69903	0.57845	0.066551	0.21483	0.40487	0.096306	0.067123	0.50882	0.12681	0.56305	0.12076	0.057171	0.16738	0.21623	0.061958	0.70593	0.19246	0.066868	0.14272	0.15455	0.10218	0.055169	0.054401	0.046362	0.064549	0.069307	0.19634	0.26696	0.082934	0.10285	0.15108
Meth__cg05436231__CD164L2	0.036745	0.033462	0.085137	0.97276	0.031019	0.97605	0.032285	0.3342	0.02452	0.035896	0.032724	0.25671	0.058847	0.02565	0.028591	0.034449	0.97612	0.68014	0.59779	0.041168	0.028935	0.92365	0.026628	0.92422	0.72805	0.047919	0.90624	0.11738	0.26959	0.47549	0.49218	0.025109	0.025292	0.059684	0.040048	0.9676	0.93131	0.97134
Meth__cg23815845__ARHGEF5	0.01908	0.018252	0.032457	0.032017	0.016705	0.63352	0.022059	0.035141	0.021825	0.02257	0.020534	0.029756	0.043231	0.021796	0.029728	0.19029	0.038138	0.065235	0.02457	0.02613	0.032922	0.093376	0.022039	0.59579	0.028056	0.040764	0.039187	0.025036	0.094531	0.04581	0.25862	0.03163	0.045095	0.049661	0.027504	0.035787	0.064259	0.035411
Meth__cg17686885__TOM1L1	0.040621	0.50217	0.88862	0.2265	0.091196	0.64305	0.059217	0.61575	0.07488	0.062885	0.30154	0.62502	0.84488	0.076522	0.11631	0.32774	0.07878	0.17543	0.82955	0.37578	0.17563	0.52035	0.17762	0.5	0.070471	0.10541	0.062608	0.31996	0.039205	0.44549	0.5052	0.2576	0.68656	0.13697	0.072017	0.23937	0.35777	0.12526
Meth__cg07034561__TSGA2	0.056775	0.38666	0.065821	0.18486	0.060193	0.31463	0.12257	0.0553	0.058861	0.069462	0.2285	0.16652	0.47887	0.091668	0.077407	0.1039	0.052806	0.088841	0.12387	0.183	0.070143	0.10363	0.062209	0.28575	0.12444	0.094074	0.10136	0.24463	0.061044	0.048923	0.046206	0.071468	0.079915	0.10736	0.06207	0.10261	0.13234	0.12586
Meth__cg01610488__TRPA1	0.041199	0.03081	0.9613	0.59223	0.61699	0.96919	0.67171	0.8952	0.040932	0.033815	0.08101	0.86478	0.47396	0.41511	0.041214	0.080871	0.65036	0.077756	0.72955	0.76094	0.46519	0.20157	0.54063	0.94493	0.26999	0.089601	0.91695	0.066169	0.34267	0.04788	0.67104	0.052203	0.70271	0.039784	0.10414	0.89264	0.52315	0.9252
Meth__cg05228408__CLCN6	0.2548	0.18508	0.10262	0.17733	0.12086	0.3351	0.22947	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.040542	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.73759	0.28341	0.35072	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.11229	0.10744	0.14941	0.068446	0.19596	0.10838
Meth__cg25234611__VWA1	0.053738	0.060393	0.074122	0.066693	0.03264	0.70029	0.086847	0.0865	0.030314	0.034411	0.054661	0.066806	0.1455	0.019649	0.029569	0.045859	0.17135	0.12495	0.046871	0.037073	0.10688	0.073983	0.029507	0.45749	0.237	0.043431	0.093895	0.090326	0.042727	0.05151	0.21792	0.030977	0.038856	0.064098	0.054239	0.03569	0.10569	0.054792
Meth__cg12589433__AR	0.44381	0.027046	0.81131	0.04076	0.058053	0.052533	0.045763	0.46362	0.28693	0.056102	0.8656	0.94835	0.064918	0.031479	0.24679	0.81144	0.41988	0.2769	0.038885	0.046393	0.046603	0.083511	0.58539	0.8606	0.039352	0.053199	0.51362	0.04685	0.4956	0.059393	0.058625	0.033684	0.53319	0.079243	0.35938	0.058683	0.55447	0.051816
Meth__cg15107670__WT1	0.053213	0.054168	0.96065	0.17682	0.032441	0.91972	0.073532	0.90547	0.027855	0.042317	0.035896	0.060036	0.059098	0.26788	0.039876	0.53886	0.035817	0.10451	0.050362	0.92885	0.92805	0.04799	0.06588	0.61239	0.65837	0.073527	0.91366	0.085809	0.036039	0.036495	0.074619	0.035605	0.50228	0.62801	0.5361	0.045836	0.8464	0.05948
Meth__cg07129274__HIST1H2AL	0.049187	0.049462	0.046648	0.051429	0.035589	0.65051	0.060958	0.13018	0.099983	0.055141	0.54419	0.20406	0.093182	0.032047	0.069797	0.039087	0.027379	0.05721	0.1124	0.039586	0.040726	0.05647	0.3677	0.67278	0.064246	0.038914	0.10603	0.074199	0.33269	0.033296	0.071039	0.050206	0.039048	0.14582	0.15737	0.061731	0.042398	0.077545
Meth__cg07558455__ANKRD38	0.15664	0.055732	0.95922	0.18515	0.06569	0.91346	0.83406	0.97891	0.047595	0.47034	0.045722	0.032759	0.29193	0.028676	0.042149	0.58766	0.061025	0.089104	0.25065	0.85432	0.85269	0.54229	0.26311	0.85373	0.070127	0.11501	0.89199	0.069522	0.044892	0.025405	0.21701	0.039612	0.48337	0.17379	0.051345	0.36084	0.42911	0.59838
Meth__cg25033972__RIPK4	0.45568	0.42398	0.34749	0.13054	0.22472	0.071904	0.51815	0.04601	0.10906	0.2705	0.1482	0.092322	0.83056	0.082893	0.13059	0.80448	0.10513	0.22132	0.14335	0.53434	0.69156	0.080329	0.26521	0.12278	0.63071	0.14233	0.61365	0.12389	0.044764	0.11773	0.10218	0.92049	0.89442	0.090748	0.10702	0.21505	0.36925	0.20724
Meth__cg19008809__SFMBT1	0.048727	0.05519	0.44319	0.074018	0.050377	0.25449	0.051378	0.066333	0.038637	0.04583	0.053085	0.042252	0.48829	0.034643	0.048907	0.15596	0.038894	0.12535	0.059779	0.025831	0.04505	0.80762	0.057445	0.72819	0.059904	0.045474	0.10179	0.094487	0.045494	0.039766	0.059305	0.062412	0.24287	0.078519	0.047842	0.043088	0.1878	0.058132
Meth__cg21388029__CREG2	0.032214	0.021701	0.60958	0.61866	0.034425	0.61708	0.84035	0.024369	0.043634	0.75231	0.85046	0.11918	0.77981	0.046468	0.036466	0.12819	0.038497	0.062291	0.90395	0.63681	0.10997	0.047242	0.069761	0.86786	0.17337	0.051252	0.89601	0.062427	0.032023	0.034585	0.95716	0.25381	0.93372	0.065786	0.23403	0.18135	0.25006	0.80393
Meth__cg16691888__LRP2	0.10234	0.083452	0.94537	0.11679	0.082488	0.1596	0.11542	0.068816	0.099468	0.1054	0.13076	0.19194	0.51546	0.16409	0.085162	0.18765	0.06896	0.11247	0.11561	0.70466	0.1535	0.13928	0.22279	0.12853	0.15183	0.18056	0.21705	0.097129	0.073807	0.060766	0.098087	0.10973	0.54842	0.19598	0.12633	0.27962	0.17906	0.10203
Meth__cg01952458__ATP6V1B2	0.038435	0.026395	0.14334	0.045603	0.031212	0.095782	0.064643	0.032258	0.066073	0.039679	0.032992	0.043816	0.30601	0.040062	0.06752	0.086647	0.10588	0.19456	0.031139	0.043176	0.060499	0.054376	0.025517	0.33849	0.064317	0.05412	0.088571	0.032444	0.021745	0.016592	0.03386	0.018672	0.067746	0.034506	0.032694	0.063793	0.096003	0.063991
Meth__cg23257840__ZNF264	0.032251	0.027767	0.045963	0.033824	0.023047	0.032769	0.037956	0.057439	0.025413	0.031327	0.036666	0.024798	0.71011	0.52463	0.030077	0.037886	0.036586	0.052029	0.028818	0.55682	0.52515	0.039278	0.031221	0.077844	0.038622	0.055162	0.079802	0.087776	0.03557	0.035987	0.035105	0.026488	0.020056	0.040508	0.037695	0.038697	0.050261	0.036146
Meth__cg11434468__XKR6	0.018609	0.021771	0.04579	0.13437	0.027097	0.33928	0.20769	0.02529	0.01416	0.036975	0.030579	0.049948	0.030287	0.032723	0.01799	0.023821	0.018368	0.058774	0.017093	0.022497	0.028633	0.0358	0.10195	0.16903	0.040518	0.036558	0.72715	0.060516	0.023191	0.047487	0.018495	0.022559	0.22185	0.048328	0.023195	0.030218	0.31419	0.023338
Meth__cg06800962__TM4SF1	0.10009	0.078313	0.27907	0.091478	0.075285	0.16879	0.10368	0.066951	0.15292	0.053961	0.097168	0.18063	0.15181	0.064778	0.11637	0.13165	0.30188	0.09103	0.27086	0.13012	0.15477	0.51565	0.1444	0.13005	0.25901	0.12445	0.14823	0.17442	0.08307	0.066552	0.19496	0.17715	0.13479	0.17179	0.12656	0.094084	0.21886	0.11006
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.02211	0.96997	0.020964	0.44437	0.022308	0.017753	0.023152	0.025652	0.020637	0.01437	0.046187	0.019694	0.38274	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.022132	0.038819	0.070125	0.27073	0.033892	0.046394	0.42333	0.024494	0.026142	0.017821	0.020707	0.017814	0.048953	0.02274	0.43695	0.055653	0.75832
Meth__cg09954385__ARHGAP8	0.03109	0.039965	0.055902	0.051209	0.043854	0.9561	0.038548	0.023385	0.035268	0.054908	0.035858	0.02178	0.11495	0.033616	0.039014	0.03697	0.085249	0.052367	0.36927	0.045303	0.065968	0.49609	0.036857	0.85666	0.049664	0.064871	0.097719	0.037356	0.34896	0.035681	0.4105	0.13529	0.032121	0.18021	0.03763	0.051959	0.12796	0.041044
Meth__cg24120841__THRB	0.057397	0.066886	0.075848	0.054997	0.04358	0.12483	0.04948	0.063247	0.043986	0.050531	0.053722	0.033462	0.075647	0.037354	0.044584	0.070019	0.050685	0.066366	0.37474	0.048701	0.053956	0.051134	0.037088	0.11061	0.074596	0.067531	0.097556	0.090242	0.038217	0.050062	0.03865	0.046057	0.038241	0.04901	0.054855	0.046254	0.071602	0.04669
Meth__cg05882522__EHD3	0.044777	0.052199	0.078977	0.050309	0.039479	0.043897	0.050397	0.029213	0.043153	0.042992	0.042242	0.076089	0.14728	0.044051	0.052467	0.038286	0.044333	0.087678	0.040224	0.041039	0.047557	0.045012	0.03661	0.62275	0.04693	0.084146	0.11007	0.063491	0.043576	0.050294	0.041987	0.055646	0.059979	0.057177	0.042391	0.044985	0.14818	0.04886
Meth__cg10316381__SNX10	0.045696	0.041532	0.045158	0.050536	0.02985	0.84289	0.049226	0.049896	0.036634	0.041314	0.047838	0.036284	0.085114	0.025201	0.041305	0.049113	0.044935	0.061016	0.14083	0.03641	0.048294	0.074795	0.038615	0.20982	0.043141	0.057357	0.098512	0.07882	0.034613	0.039113	0.041578	0.050691	0.039323	0.10144	0.043427	0.041017	0.10155	0.04794
Meth__cg08604885__TRIM4	0.038462	0.022602	0.036225	0.92411	0.032267	0.038442	0.03088	0.027872	0.032513	0.036775	0.027763	0.075	0.11964	0.012138	0.0332	0.13361	0.043384	0.074588	0.11002	0.077152	0.1717	0.037991	0.034416	0.043303	0.053072	0.051325	0.055192	0.048843	0.030605	0.026606	0.033019	0.12985	0.68453	0.085746	0.045621	0.039393	0.089219	0.034833
